PROBE	Gene Symbol	GENE  - NAME	Expected score (dExp)	Observed score(d)	Numerator(r)	Denominator (s+s0)	Fold change	q-value (%)
36564_at	IBRDC3	IBRDC3 - IBR domain containing 3	-0.29960492	-1.408788	-1.5254064	1.0827793	0.3498697	0
37622_r_at	PSIP1	PSIP1 - PC4 and SFRS1 interacting protein 1	0.07525067	-1.4071766	-1.6723427	1.1884383	0.3468611	0
37662_at	UBE2G1	UBE2G1 - ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)	0.5081569	-1.406559	-1.650503	1.1734332	0.34278303	0
40146_at	RAP1B	RAP1B - RAP1B, member of RAS oncogene family	0.042995516	-1.4060514	-1.8808095	1.3376535	0.36192772	0
38251_at	MYL6B	MYL6B - myosin, light polypeptide 6B, alkali, smooth muscle and non-muscle	-0.3802098	-1.4048145	-1.5098455	1.0747651	0.36146697	0
41071_at	SPINK2	SPINK2 - serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	0.45331457	-1.4006374	-1.5077901	1.0765028	0.3550903	0
1803_at	CDC2	CDC2 - cell division cycle 2, G1 to S and G2 to M	0.052015565	-1.400438	-1.6635191	1.1878563	0.36077437	0
1505_at	TYMS	TYMS - thymidylate synthetase	0.48524633	-1.3968242	-1.6150444	1.1562259	0.36840922	0
1212_at	GSTZ1	GSTZ1 - glutathione transferase zeta 1 (maleylacetoacetate isomerase)	-0.034679413	-1.3966765	-1.5922203	1.1400064	0.35262927	0
41122_at	AOF2	AOF2 - amine oxidase (flavin containing) domain 2	-0.16111189	-1.3930135	-1.5927081	1.1433544	0.35281262	0
39046_at	H2AFV	H2AFV - H2A histone family, member V	-0.051525883	-1.3928277	-1.6067053	1.1535563	0.3382698	0
37231_at	DLG7	DLG7 - discs, large homolog 7 (Drosophila)	0.24046466	-1.3922616	-1.6588502	1.1914787	0.36324495	0
38989_at	C3orf37	C3orf37 - Chromosome 3 open reading frame 37	-0.046787243	-1.3890716	-1.5643618	1.1261923	0.36284363	0
35249_at	CCNE2	CCNE2 - cyclin E2	-0.05450712	-1.3889381	-1.6586924	1.1942163	0.36701438	0
651_at	RPA3	RPA3 - replication protein A3, 14kDa	-0.3850706	-1.3865165	-1.5265107	1.1009684	0.35686827	0
39262_at	SAC3D1	SAC3D1 - SAC3 domain containing 1	-0.099308655	-1.3862358	-1.5682003	1.1312652	0.35251155	0
38277_at	PPP3CB	PPP3CB - protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	-0.17882022	-1.3853897	-1.4397659	1.0392498	0.37358972	0
981_at	MCM4	MCM4 - MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	0.1923573	-1.3845648	-1.6668967	1.2039138	0.36753818	0
34780_at	PLXNB2	PLXNB2 - plexin B2	-0.15433665	-1.3829888	-1.4929154	1.0794848	0.36377126	0
1993_s_at	BRCA1	BRCA1 - breast cancer 1, early onset	-0.20050444	-1.3810879	-1.582747	1.1460147	0.36507225	0
39102_at	GPSM2	GPSM2 - G-protein signalling modulator 2 (AGS3-like, C. elegans)	0.14701252	-1.3807477	-1.7035103	1.2337593	0.36837494	0
34763_at	CSPG6	CSPG6 - chondroitin sulfate proteoglycan 6 (bamacan)	-0.041170657	-1.3769157	-1.8707807	1.3586749	0.3735317	0
32703_at	PLK4	PLK4 - polo-like kinase 4 (Drosophila)	-0.29611778	-1.3729044	-1.7422385	1.2690166	0.35661033	0
1850_at	MLH1	MLH1 - mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	0.09282868	-1.3720745	-1.5787332	1.1506177	0.3344703	0
860_at	MSH2	MSH2 - mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	0.46521512	-1.3716627	-1.7287198	1.2603097	0.36792058	0
39969_at	HIST1H4C	HIST1H4C - histone 1, H4c	0.13990396	-1.3705748	-1.5476065	1.129166	0.35999492	0
37458_at	CDC45L	CDC45L - CDC45 cell division cycle 45-like (S. cerevisiae)	0.072884426	-1.369416	-1.5655322	1.1432116	0.37969378	0
38940_at	SPBC25	SPBC25 - spindle pole body component 25 homolog (S. cerevisiae)	0.3598164	-1.3680651	-1.6976779	1.2409335	0.3759105	0
35627_at	SNTA1	SNTA1 - syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	0.2850023	-1.367348	-1.6408064	1.1999918	0.35561743	0
41583_at	FEN1	FEN1 - flap structure-specific endonuclease 1	-0.07437747	-1.3661768	-1.6903319	1.2372717	0.37411663	0
39354_at	PRDX6	PRDX6 - peroxiredoxin 6	-0.5224095	-1.366167	-1.5240434	1.1155616	0.36823255	0
34147_g_at	OGG1	OGG1 - 8-oxoguanine DNA glycosylase	0.07703024	-1.3661177	-1.4505796	1.0618262	0.36841524	0
34383_at	USP1	USP1 - ubiquitin specific peptidase 1	0.12082677	-1.3650756	-1.6981189	1.2439743	0.36266392	0
38084_at	CBX3	CBX3 - chromobox homolog 3 (HP1 gamma homolog, Drosophila) /// similar to chromobox homolog 3	0.103026666	-1.364418	-1.7249537	1.2642413	0.36639944	0
36576_at	H2AFY	H2AFY - H2A histone family, member Y	0.32704192	-1.3634611	-1.5560377	1.141241	0.36742622	0
40427_at	COX17	COX17 - COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	-0.23845786	-1.357555	-1.6561103	1.2199212	0.34661987	0
34891_at	DYNLL1	DYNLL1 - dynein, light chain, LC8-type 1	0.021431591	-1.355636	-1.9213487	1.4173043	0.35428125	0
1424_s_at	YWHAH	YWHAH - tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	0.028419526	-1.3487477	-1.6885569	1.2519442	0.38303235	0
37051_at	KCNN3	KCNN3 - potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	-0.13412915	-1.3479004	-1.4932961	1.1078683	0.3742539	0
39036_g_at	EDD1	EDD1 - E3 ubiquitin protein ligase, HECT domain containing, 1	0.20231056	-1.3467108	-1.6662269	1.2372566	0.37102816	0
40410_at	DCTN3	DCTN3 - dynactin 3 (p22)	-0.32013214	-1.3460623	-1.5876809	1.1795003	0.37202975	0
33252_at	MCM3	MCM3 - MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	-0.19681351	-1.3434767	-1.6148607	1.2020013	0.3752983	0
429_f_at	TUBB2A	TUBB2A - tubulin, beta 2A /// tubulin, beta 4 /// tubulin, beta 2B	0.03251625	-1.3434572	-1.4753582	1.0981803	0.36974043	0
653_at	RFC5	RFC5 - replication factor C (activator 1) 5, 36.5kDa	-0.043567576	-1.3428658	-1.8772408	1.3979362	0.38567588	0
40279_at	VGLL4	VGLL4 - vestigial like 4 (Drosophila)	0.2370887	-1.3426574	-1.5258899	1.13647	0.37071416	0
32205_at	PRKRA	PRKRA - protein kinase, interferon-inducible double stranded RNA dependent activator	0.15816505	-1.340984	-1.5730317	1.1730429	0.38729277	0
652_g_at	RPA3	RPA3 - replication protein A3, 14kDa	-0.33506283	-1.3384248	-1.5195282	1.1353108	0.3775677	0
AFFX-BioB-3_at	---	--- - ---	-0.18089806	-1.3363599	-2.4028523	1.7980578	0.057553977	0
40915_r_at	CDC2	CDC2 - cell division cycle 2, G1 to S and G2 to M	-0.24763533	-1.3357923	-1.592442	1.192133	0.3798924	0
40697_at	CCNA2	CCNA2 - cyclin A2	-0.29420266	-1.3345548	-1.4751031	1.1053147	0.38698563	0
1250_at	PRKDC	PRKDC - protein kinase, DNA-activated, catalytic polypeptide	0.04028387	-1.3340819	-1.7450231	1.308033	0.37063023	0
1738_at	CDC25A	CDC25A - cell division cycle 25A	0.006575191	-1.3340617	-1.346948	1.0096594	0.39302462	0
38334_g_at	OGG1	OGG1 - 8-oxoguanine DNA glycosylase	0.26315072	-1.3322358	-1.5655208	1.1751078	0.38174573	0
40864_at	RAC1	RAC1 - ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	-0.3987151	-1.3306476	-1.4890075	1.1190096	0.37392768	0
288_s_at	LBR	LBR - lamin B receptor	-0.15226366	-1.3305498	-1.4045322	1.0556028	0.38694268	0
38350_f_at	TUBA2	TUBA2 - tubulin, alpha 2	-0.25805455	-1.3293815	-1.4647803	1.101851	0.38601035	0
40874_at	CDV3	CDV3 - CDV3 homolog (mouse)	-0.06407277	-1.329239	-1.6048901	1.2073752	0.36590907	0
37631_at	MYO1E	MYO1E - myosin IE	0.49035233	-1.3286527	-1.4897286	1.1212325	0.3794172	0
35312_at	MCM2	MCM2 - MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	0.3011695	-1.3282827	-1.5324523	1.1537094	0.38305262	0
37282_at	MAD2L1	MAD2L1 - MAD2 mitotic arrest deficient-like 1 (yeast)	-0.510983	-1.3280321	-1.6280607	1.2259196	0.38400787	0
39375_g_at	GTSE1	GTSE1 - G-2 and S-phase expressed 1	-0.2838012	-1.3249508	-1.4059978	1.0611697	0.38845292	0
1990_g_at	BRCA2	BRCA2 - breast cancer 2, early onset	0.48059696	-1.324781	-1.6076238	1.2135016	0.384155	0
41278_at	ACTL6A	ACTL6A - actin-like 6A	0.08056874	-1.323466	-1.5677052	1.1845452	0.38260353	0
39269_at	RFC3	RFC3 - replication factor C (activator 1) 3, 38kDa	0.643244	-1.3230062	-1.5200737	1.1489544	0.38016775	0
33247_at	PSMD14	PSMD14 - proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	-0.10081596	-1.3214343	-1.6027887	1.2129159	0.38908452	0
37928_at	NFYB	NFYB - nuclear transcription factor Y, beta	-0.082766734	-1.3200436	-1.562905	1.1839799	0.3486374	0
41860_at		RP11-484I6.3 - hypothetical protein BC015148	0.16386592	-1.3199723	-1.4835703	1.1239406	0.37949097	0
40091_at	BCL6	BCL6 - B-cell CLL/lymphoma 6 (zinc finger protein 51)	-0.49504787	-1.3197426	-1.3651145	1.0343794	0.39937562	0
39715_at	---	--- - CDNA clone IMAGE:4842353	0.033266544	-1.3190246	-1.5249698	1.1561345	0.37314114	0
861_g_at	MSH2	MSH2 - mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	-0.29215696	-1.3188157	-1.5379021	1.1661236	0.3832909	0
40323_at	CD38	CD38 - CD38 molecule	-0.002245357	-1.3181664	-1.3542262	1.027356	0.4002163	0
1710_s_at	TOP1	TOP1 - topoisomerase (DNA) I	-0.026104871	-1.3179246	-1.547447	1.1741544	0.3583957	0
37899_at	TYMS	TYMS - thymidylate synthetase	-0.03143434	-1.3177537	-1.5087488	1.1449399	0.3883003	0
35193_at	RCBTB2	RCBTB2 - regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	0.09945392	-1.3166577	-1.4157712	1.0752766	0.38702568	0
39142_at	NUDT21	NUDT21 - nudix (nucleoside diphosphate linked moiety X)-type motif 21	-0.37953267	-1.3149506	-1.6982299	1.2914782	0.3605247	0
34893_at	NDUFV2	NDUFV2 - NADH dehydrogenase (ubiquinone) flavoprotein 2, 24kDa	0.62296087	-1.3135575	-1.6461449	1.2531959	0.3808439	0
38479_at	ANP32B	ANP32B - acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	-0.087171465	-1.3123052	-1.4470234	1.1026577	0.3623013	0
36535_at	MFAP1	MFAP1 - microfibrillar-associated protein 1	-0.10086572	-1.3072003	-2.0036366	1.5327693	0.43007696	0
2003_s_at	MSH6	MSH6 - mutS homolog 6 (E. coli)	0.23063596	-1.3029708	-1.4306676	1.0980045	0.3864205	0
34347_at	C3orf60	C3orf60 - chromosome 3 open reading frame 60	0.046274364	-1.3009863	-1.5595307	1.1987295	0.38477364	0
31906_at	HSBP1	HSBP1 - heat shock factor binding protein 1	-0.25263777	-1.2988069	-1.6677805	1.2840866	0.3882553	0
2012_s_at	PRKDC	PRKDC - protein kinase, DNA-activated, catalytic polypeptide	0.31401503	-1.2984746	-1.605205	1.2362237	0.3744743	0
35385_at	COQ7	COQ7 - coenzyme Q7 homolog, ubiquinone (yeast)	-0.14509428	-1.2984471	-1.527917	1.1767265	0.38017228	0
39377_at	MRPS27	MRPS27 - mitochondrial ribosomal protein S27	0.3912427	-1.297203	-1.4924259	1.1504953	0.35860583	0
32164_at	EXT1	EXT1 - exostoses (multiple) 1	-0.22901732	-1.2968205	-1.4424409	1.1122903	0.39107636	0
39257_at	KLF12	KLF12 - Kruppel-like factor 12	-0.2658391	-1.2966574	-1.4925326	1.1510617	0.37422022	0
38116_at	KIAA0101	KIAA0101 - KIAA0101	0.06562427	-1.2940136	-1.4807158	1.1442814	0.40065235	0
223_at	UBE2L3	UBE2L3 - ubiquitin-conjugating enzyme E2L 3	0.16050859	-1.2938167	-1.473156	1.1386126	0.38722488	0
38982_at	TERF2IP	TERF2IP - telomeric repeat binding factor 2, interacting protein	0.30595008	-1.2928181	-1.4830289	1.1471288	0.3802102	0
39346_at	KHDRBS1	KHDRBS1 - KH domain containing, RNA binding, signal transduction associated 1	-0.29358912	-1.29011	-1.676039	1.2991443	0.37894014	0
37686_s_at	UNG	UNG - uracil-DNA glycosylase	0.024202237	-1.2897457	-1.7207966	1.3342139	0.39702883	0
41146_at	PARP1	PARP1 - poly (ADP-ribose) polymerase family, member 1	-0.27871355	-1.2894381	-1.5679331	1.2159816	0.37681225	0
34356_at	SURB7	SURB7 - SRB7 suppressor of RNA polymerase B homolog (yeast)	0.11207575	-1.2878036	-2.068881	1.606519	0.42130637	0
35233_r_at	CETN3	CETN3 - centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	0.006297283	-1.2876736	-1.9390237	1.5058348	0.38092723	0
38085_at	CBX3	CBX3 - chromobox homolog 3 (HP1 gamma homolog, Drosophila) /// similar to chromobox homolog 3	-0.051004667	-1.2872206	-1.5294998	1.1882188	0.39241305	0
1287_at	PARP1	PARP1 - poly (ADP-ribose) polymerase family, member 1	0.13996406	-1.2862449	-1.6387297	1.2740418	0.38887593	0
35033_at	GCNT2	GCNT2 - glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	0.02569025	-1.2850065	-1.4933624	1.1621438	0.38865024	0
33367_s_at	AZIN1	AZIN1 - antizyme inhibitor 1	0.45187485	-1.2823039	-1.5230808	1.1877689	0.36095464	0
40924_at	TMEM118	TMEM118 - transmembrane protein 118	-0.10411761	-1.2819327	-1.3467332	1.050549	0.40019512	0
604_at	BRCA1	BRCA1 - breast cancer 1, early onset	-0.46995187	-1.2805238	-1.5409558	1.2033793	0.39074272	0
907_at	ADA	ADA - adenosine deaminase	0.122436784	-1.2803715	-1.4910946	1.1645796	0.39478013	0
38368_at	DUT	DUT - dUTP pyrophosphatase	-0.004886641	-1.2801028	-1.3196157	1.030867	0.4092671	0
41855_at	HAT1	HAT1 - histone acetyltransferase 1	0.16031756	-1.2788659	-1.6529849	1.2925396	0.4017015	0
40129_at	PRKDC	PRKDC - protein kinase, DNA-activated, catalytic polypeptide	0.30525947	-1.2779167	-1.6491597	1.2905064	0.37658474	0
38744_at	SHFM1	SHFM1 - split hand/foot malformation (ectrodactyly) type 1	-0.07837064	-1.2749617	-1.4780059	1.1592551	0.39617905	0
40348_s_at	ANP32E	ANP32E - acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	-0.027460985	-1.2725512	-1.4324844	1.1256793	0.4022525	0
237_s_at	PPP2CA	PPP2CA - protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	0.36043444	-1.2686775	-1.4541602	1.1462016	0.39311948	0
35804_at	ASH2L	ASH2L - ash2 (absent, small, or homeotic)-like (Drosophila)	0.26595685	-1.2683524	-1.76207	1.389259	0.40299076	0
36453_at	KBTBD11	KBTBD11 - kelch repeat and BTB (POZ) domain containing 11	-0.2253553	-1.2672268	-1.4941642	1.1790819	0.40520442	0
38268_at	SLC1A1	SLC1A1 - solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	-0.23785256	-1.2640562	-1.4195329	1.1229982	0.39757183	0
37717_at	HNRPM	HNRPM - heterogeneous nuclear ribonucleoprotein M	0.01592448	-1.2632674	-1.2916664	1.0224806	0.4126588	0
37646_at	POLD3	POLD3 - polymerase (DNA-directed), delta 3, accessory subunit	0.18933898	-1.2625431	-1.6829947	1.3330196	0.4052585	0
40072_at	MRPS31	MRPS31 - mitochondrial ribosomal protein S31	-0.12912378	-1.2616814	-1.559061	1.2357011	0.39015746	0
41480_at	RAD51C	RAD51C - RAD51 homolog C (S. cerevisiae)	0.083930954	-1.261488	-1.7770321	1.4086795	0.414463	0
38863_at	RFC5	RFC5 - replication factor C (activator 1) 5, 36.5kDa	0.18134232	-1.2597268	-1.3895454	1.1030531	0.38959777	0
1450_g_at	PSMA4	PSMA4 - proteasome (prosome, macropain) subunit, alpha type, 4	0.06173947	-1.258515	-1.5774062	1.2533869	0.40362296	0
32777_at	WRB	WRB - tryptophan rich basic protein	-0.035530884	-1.2585061	-1.7828895	1.4166714	0.38263363	0
34803_at	USP12	USP12 - ubiquitin specific peptidase 12	0.103283025	-1.2539861	-1.3610182	1.0853535	0.3911292	0
41569_at	DNAJC9	DNAJC9 - DnaJ (Hsp40) homolog, subfamily C, member 9	0.09674223	-1.2536976	-1.2944967	1.032543	0.4104179	0
36922_at	RRM2	RRM2 - ribonucleotide reductase M2 polypeptide	-0.24989831	-1.2531359	-1.3911271	1.1101167	0.3948589	0
39677_at	GINS1	GINS1 - GINS complex subunit 1 (Psf1 homolog)	0.36905384	-1.251533	-1.4372292	1.1483749	0.41242278	0
40036_at	MAGOH	MAGOH - mago-nashi homolog, proliferation-associated (Drosophila)	-0.1267918	-1.2509133	-1.514698	1.2108737	0.40386662	0
31853_at	EED	EED - embryonic ectoderm development	-0.4389867	-1.2502004	-1.7060597	1.364629	0.42224765	0
35227_at	RBBP8	RBBP8 - retinoblastoma binding protein 8	0.02531624	-1.2497853	-1.4087074	1.1271595	0.40850535	0
37913_at	DHFR	DHFR - dihydrofolate reductase	-0.09641745	-1.2491561	-1.395777	1.117376	0.40145722	0
1840_g_at	---	--- - ---	-0.033251047	-1.2485151	-1.5172378	1.2152338	0.3959446	0
37350_at	PSMD10	PSMD10 - proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	0.29584053	-1.2475117	-1.8100832	1.4509548	0.40022016	0
41159_at	CLTC	CLTC - clathrin, heavy polypeptide (Hc)	0.39334106	-1.2473555	-1.4982874	1.2011712	0.39891514	0
1536_at	CDC6	CDC6 - CDC6 cell division cycle 6 homolog (S. cerevisiae)	0.10786261	-1.2430149	-1.3509431	1.0868278	0.41547278	0
38481_at	RPA1	RPA1 - replication protein A1, 70kDa	0.034080114	-1.2426876	-1.5628842	1.2576647	0.37761918	0
39038_at	FBLN5	FBLN5 - fibulin 5	0.012995745	-1.2421218	-1.373027	1.1053883	0.40283975	0
36099_at	SFRS1	SFRS1 - splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	0.034787294	-1.2414991	-1.5991342	1.2880672	0.41147134	0
31605_at	LOC171220	LOC171220 - destrin-2 pseudogene	-0.03815462	-1.2411884	-1.5054686	1.2129251	0.387519	0
39926_at	SMAD5	SMAD5 - SMAD, mothers against DPP homolog 5 (Drosophila)	-0.08201597	-1.2360942	-1.7805536	1.4404675	0.3745778	0
1940_at	KRAS	KRAS - v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	-0.07134874	-1.2344731	-1.4132712	1.1448376	0.40145808	0
31655_at	---	--- - ---	0.24359663	-1.2344065	-1.7879419	1.4484223	0.40357882	0
32599_at	TSC1	TSC1 - tuberous sclerosis 1	0.021997789	-1.2339644	-1.300252	1.0537192	0.40631613	0
685_f_at	H2-ALPHA	H2-ALPHA - alpha-tubulin isotype H2-alpha	-0.03829322	-1.2321184	-1.3485137	1.0944676	0.4100579	0
39702_at	RPP30	RPP30 - ribonuclease P/MRP 30kDa subunit	0.061597563	-1.2318585	-1.5082881	1.2244005	0.40656754	0
41479_s_at	RAD51C	RAD51C - RAD51 homolog C (S. cerevisiae)	-0.10753656	-1.2317991	-1.647862	1.3377684	0.40182334	0
37923_at	APOM	APOM - apolipoprotein M	0.31643453	-1.2306348	-1.5572631	1.2654145	0.3688153	0
35991_at	LSM6	LSM6 - LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.26816082	-1.229941	-1.7060984	1.3871384	0.4245682	0
38981_at	NDUFB3	NDUFB3 - NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa	-0.068008885	-1.2285984	-1.5020053	1.2225357	0.40233094	0
34755_at	PARP2	PARP2 - poly (ADP-ribose) polymerase family, member 2	0.24054609	-1.228533	-1.3402905	1.0909683	0.41598836	0
35272_at	GNG5	GNG5 - guanine nucleotide binding protein (G protein), gamma 5	-0.11540514	-1.2277576	-1.4444716	1.1765121	0.4048447	0
32577_s_at	PSMC3IP	PSMC3IP - PSMC3 interacting protein	-0.16745512	-1.2262492	-1.4526672	1.1846428	0.38842094	0
37249_at	PDE8B	PDE8B - phosphodiesterase 8B	-0.13906316	-1.2258366	-1.4655023	1.1955119	0.37076166	0
37743_at	FEZ1	FEZ1 - fasciculation and elongation protein zeta 1 (zygin I)	0.10244585	-1.2233704	-1.3354875	1.0916461	0.41982388	0
1449_at	PSMA4	PSMA4 - proteasome (prosome, macropain) subunit, alpha type, 4	-0.0513817	-1.2215005	-1.5329989	1.2550129	0.40340772	0
40086_at	WAPAL	WAPAL - wings apart-like homolog (Drosophila)	-0.05549147	-1.2212139	-1.8239691	1.4935706	0.46832615	0
41126_at	SLC1A4	SLC1A4 - solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0.006484358	-1.2205261	-1.4552214	1.1922903	0.41709948	0
1544_at	BLM	BLM - Bloom syndrome	0.095274866	-1.2161136	-1.5462615	1.2714779	0.40761104	0
40727_at	ANAPC10	ANAPC10 - anaphase promoting complex subunit 10	-0.23953974	-1.2155191	-1.6562424	1.3625803	0.4166278	0
34191_at	DCP2	DCP2 - DCP2 decapping enzyme homolog (S. cerevisiae)	0.4567936	-1.2148483	-1.5957322	1.3135239	0.39796102	0
40133_s_at	GRHPR	GRHPR - glyoxylate reductase/hydroxypyruvate reductase	0.26269853	-1.2144921	-1.2980891	1.068833	0.4245358	0
325_s_at	---	--- - ---	-0.095708646	-1.213154	-1.4663705	1.2087258	0.41544393	0
1775_at	POLA2	POLA2 - polymerase (DNA directed), alpha 2 (70kD subunit)	-0.33805248	-1.2109566	-1.3134184	1.0846123	0.41693717	0
39332_at	TUBB2B	TUBB2B - tubulin, beta 2B	0.17875229	-1.208071	-1.4127581	1.169433	0.32120404	0
36608_at	MDH1	MDH1 - malate dehydrogenase 1, NAD (soluble)	0.4287816	-1.2079582	-1.3585695	1.1246825	0.4168575	0
32683_at	TMPO	TMPO - thymopoietin	-0.22039141	-1.2072859	-1.3179016	1.0916234	0.4034507	0
982_at	MCM5	MCM5 - MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	0.39647532	-1.2065756	-1.45546	1.2062733	0.41667905	0
32803_at	CNIH	CNIH - cornichon homolog (Drosophila)	0.08519734	-1.2058814	-1.3087368	1.0852948	0.4214308	0
740_at	HTR3A	HTR3A - 5-hydroxytryptamine (serotonin) receptor 3A	-0.17627719	-1.2054983	-1.2416837	1.0300169	0.42734146	0
40010_s_at	AFF2	AFF2 - AF4/FMR2 family, member 2	0.12853366	-1.2045194	-1.4838562	1.2319072	0.39758816	0
1833_at	CDK2	CDK2 - cyclin-dependent kinase 2	0.09862262	-1.2036734	-1.5490034	1.2868968	0.40591696	0
890_at	UBE2A	UBE2A - ubiquitin-conjugating enzyme E2A (RAD6 homolog)	0.35415706	-1.2032546	-1.6145763	1.341841	0.4427486	0
712_s_at	---	--- - ---	-0.11106325	-1.2030196	-1.5628793	1.2991303	0.3973684	0
36357_at	EXOD1	EXOD1 - exonuclease domain containing 1	-0.18369181	-1.1997007	-1.501812	1.2518222	0.3753153	0
31832_at	KIAA0286	KIAA0286 - KIAA0286 protein	-0.18441229	-1.1987095	-1.4021535	1.1697192	0.41905022	0
36077_at	RABL4	RABL4 - RAB, member of RAS oncogene family-like 4	-0.31861928	-1.1982938	-1.6805575	1.4024587	0.43462345	0
1516_g_at	---	--- - ---	0.1173636	-1.1982448	-1.575423	1.3147756	0.43072185	0
38485_at	NDUFC1	NDUFC1 - NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa	-0.002153678	-1.1967968	-1.5400848	1.286839	0.42775962	0
34362_at	SLC2A5	SLC2A5 - solute carrier family 2 (facilitated glucose/fructose transporter), member 5	-0.3721177	-1.1949536	-1.1687701	0.97808826	0.44632804	0
40169_at	M6PRBP1	M6PRBP1 - mannose-6-phosphate receptor binding protein 1	0.16688967	-1.1946561	-1.2406864	1.0385301	0.4186065	0
32849_at	SMC1L1	SMC1L1 - SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	-0.38126832	-1.192768	-1.6597595	1.3915192	0.4097959	0
41060_at	CCNE1	CCNE1 - cyclin E1	0.0700926	-1.1927205	-1.4149832	1.1863493	0.43144524	0
39079_at	ERH	ERH - enhancer of rudimentary homolog (Drosophila)	0.20731366	-1.1913742	-1.3966429	1.1722958	0.4254179	0
36098_at	SFRS1	SFRS1 - splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	-0.5753154	-1.1907523	-1.3756324	1.1552633	0.42388052	0
39417_at	CDC2L6	CDC2L6 - cell division cycle 2-like 6 (CDK8-like)	-0.1723761	-1.1899457	-1.2879765	1.0823826	0.40679905	0
41019_at	PDCL	PDCL - phosducin-like	0.2608369	-1.1895878	-1.7158049	1.4423524	0.46823254	0
1928_s_at	SMAD2	SMAD2 - SMAD, mothers against DPP homolog 2 (Drosophila)	0.11862858	-1.1891209	-1.3222998	1.1119978	0.4047401	0
41200_at	SCARB1	SCARB1 - scavenger receptor class B, member 1	0.015312714	-1.1890143	-1.2860769	1.0816329	0.41943276	0
40122_at	SYNCRIP	SYNCRIP - synaptotagmin binding, cytoplasmic RNA interacting protein	-0.14038393	-1.188845	-1.3414996	1.1284057	0.43078128	0
33290_at	INPP5B	INPP5B - inositol polyphosphate-5-phosphatase, 75kDa	-0.29919052	-1.1887946	-1.3966409	1.1748378	0.40922627	0
33799_at	SIAH2	SIAH2 - seven in absentia homolog 2 (Drosophila)	0.30572483	-1.1873097	-1.3493237	1.1364547	0.43162894	0
	---	--- - ---	0.39730123	-1.1864089	-2.0391307	1.7187419	0.07009514	0
41199_s_at	SFPQ	SFPQ - splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	-9.13E-04	-1.1856341	-1.4341298	1.2095889	0.42833754	0
32575_at	NAP1L4	NAP1L4 - nucleosome assembly protein 1-like 4	0.09106781	-1.1840267	-1.3122966	1.1083336	0.40995175	0
31732_at	RLN2	RLN2 - relaxin 2	0.18375576	-1.182993	-1.5161233	1.2815995	0.42440015	0
39602_at	MYRIP	MYRIP - myosin VIIA and Rab interacting protein	-0.13900769	-1.1824851	-1.4080554	1.1907595	0.37797064	0
32338_at	DKFZP564C152	DKFZP564C152 - DKFZP564C152 protein	-0.15324177	-1.180869	-1.4593911	1.235862	0.4062106	0
41862_at	hCAP-D3	hCAP-D3 - KIAA0056 protein	0.22861993	-1.1806905	-1.2267733	1.0390303	0.4355923	0
34994_at	BRWD1	BRWD1 - bromodomain and WD repeat domain containing 1	-0.090221815	-1.1776052	-1.460711	1.2404082	0.41844028	0
40533_at	BIRC5	BIRC5 - Baculoviral IAP repeat-containing 5 (survivin)	-0.111270666	-1.1775609	-1.4572861	1.2375462	0.32910845	0
36710_at	CAMP	CAMP - cathelicidin antimicrobial peptide	-0.074763805	-1.1766105	-1.3139347	1.1167117	0.4290567	0
