Gene Symbol	Name	Perou et al, Nature 2000	Sorlie et al, PNAS 2003	Perreard et al, Breast Cancer Research 2006	Hu et al, BMC Genomics 2006	Gene Used in PCR and Gene Set Minimization
CLTC	Clathrin, heavy chain (Hc)	0	0	0	1	0
CLU	Clusterin	0	0	0	1	0
CMAS	Cytidine monophosphate N-acetylneuraminic acid synthetase	0	0	0	1	0
CMTM6	CKLF-like MARVEL transmembrane domain containing 6	0	0	0	1	0
CMTM7	CKLF-like MARVEL transmembrane domain containing 7	0	0	0	1	0
CNIH	Cornichon homolog (Drosophila)	0	0	0	1	0
CNIH4	Cornichon homolog 4 (Drosophila)	0	1	1	1	0
CNKSR3	CNKSR family member 3	0	0	0	1	0
CNN1	Calponin 1, basic, smooth muscle	1	0	0	0	0
CNN3	Calponin 3, acidic	0	1	1	0	0
CNOT10	CCR4-NOT transcription complex, subunit 10	0	0	0	1	0
CNOT2	CCR4-NOT transcription complex, subunit 2	0	0	0	1	0
CNOT7	CCR4-NOT transcription complex, subunit 7	0	0	0	1	0
CNP	2,3-cyclic nucleotide 3 phosphodiesterase	0	0	0	1	0
CNTNAP1	Contactin associated protein 1	1	0	0	0	0
CNTNAP2	Contactin associated protein-like 2	0	0	0	1	0
COASY	Coenzyme A synthase	0	0	0	1	0
COL11A1	Collagen, type XI, alpha 1	1	0	0	0	0
COL11A2	Collagen, type XI, alpha 2	0	0	0	1	0
COL17A1	Collagen, type XVII, alpha 1	1	0	0	0	0
COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)	0	0	0	1	0
COL6A3	Collagen, type VI, alpha 3	0	1	1	0	0
COL9A1	Collagen, type IX, alpha 1	0	0	0	1	0
COL9A3	Collagen, type IX, alpha 3	0	0	0	1	0
COLEC12	Collectin sub-family member 12	1	1	1	0	0
COMMD10	COMM domain containing 10	0	0	0	1	0
COMMD4	COMM domain containing 4	0	1	1	0	0
COMMD5	COMM domain containing 5	0	0	0	1	0
COPA	Coatomer protein complex, subunit alpha	0	1	1	0	0
COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)	0	0	0	1	0
COQ2	Coenzyme Q2 homolog, prenyltransferase (yeast)	0	0	0	1	0
CORO6	Coronin 6	0	0	0	1	0
COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	0	0	0	1	0
COX4NB	COX4 neighbor	0	0	0	1	0
COX5A	Cytochrome c oxidase subunit Va	0	0	0	1	0
COX6A1	Cytochrome c oxidase subunit VIa polypeptide 1	0	0	0	1	0
COX6C	Cytochrome c oxidase subunit VIc	1	1	1	1	1
COX7A2	Cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	0	0	0	1	0
CP	Ceruloplasmin (ferroxidase)	1	1	1	0	0
CPA3	Carboxypeptidase A3 (mast cell)	0	1	1	0	0
CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	0	0	0	1	0
CPB1	Carboxypeptidase B1 (tissue)	0	0	0	1	0
CPEB3	Cytoplasmic polyadenylation element binding protein 3	0	0	0	1	0
CPEB4	Cytoplasmic polyadenylation element binding protein 4	0	0	0	1	0
CPSF3	Cleavage and polyadenylation specific factor 3, 73kDa	0	0	0	1	0
CRABP1	Cellular retinoic acid binding protein 1	1	1	1	0	0
CRABP2	Cellular retinoic acid binding protein 2	1	1	1	0	0
CRAT	Carnitine acetyltransferase	1	1	1	0	0
CREB3L4	CAMP responsive element binding protein 3-like 4	0	0	0	1	0
CRIP1	Cysteine-rich protein 1 (intestinal)	0	0	0	1	0
CRYAB	Crystallin, alpha B	1	0	0	0	0
CRYZ	Crystallin, zeta (quinone reductase)	0	0	0	1	0
CSDA	Cold shock domain protein A	0	1	1	1	1
CSE1L	CSE1 chromosome segregation 1-like (yeast)	0	0	0	1	0
CSK	C-src tyrosine kinase	0	0	0	1	0
CSRP1	Cysteine and glycine-rich protein 1	0	0	0	1	0
CSRP2	Cysteine and glycine-rich protein 2	0	0	0	1	0
CST6	Cystatin E/M	0	0	0	1	0
CSTB	Cystatin B (stefin B)	0	0	0	1	0
CTAG2	Cancer/testis antigen 2	0	0	0	1	0
CTBP2	C-terminal binding protein 2	0	0	0	1	0
CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	0	0	1	0	0
CTNNA1	Catenin (cadherin-associated protein), alpha 1, 102kDa	0	0	0	1	0
CTNNAL1	Catenin (cadherin-associated protein), alpha-like 1	0	0	0	1	0
CTNND2	Catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	0	0	0	1	0
CTPS	CTP synthase	0	1	1	1	1
CTSA	Cathepsin A	0	0	0	1	0
CTSH	Cathepsin H	0	1	1	0	0
CTSK	Cathepsin K	1	0	0	0	0
CTSL2	Cathepsin L2	0	0	0	1	1
CTSS	Cathepsin S	0	0	0	1	0
CTTN	Cortactin	0	0	0	1	0
CUL1	Cullin 1	0	1	1	0	0
CX3CL1	Chemokine (C-X3-C motif) ligand 1	1	1	1	1	0
CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	1	1	1	0	0
CXCL9	Chemokine (C-X-C motif) ligand 9	0	0	0	1	0
CXorf39	Chromosome X open reading frame 39	0	0	0	1	0
CXXC4	CXXC finger 4	0	0	0	1	0
CXXC5	CXXC finger 5	0	0	0	1	1
CYB561	Cytochrome b-561	0	0	0	1	0
CYB5A	Cytochrome b5 type A (microsomal)	1	1	1	1	0
CYB5D2	Cytochrome b5 domain containing 2	0	0	0	1	0
CYB5R1	Cytochrome b5 reductase 1	0	0	0	1	0
CYBRD1	Cytochrome b reductase 1	0	1	1	0	0
CYC1	Cytochrome c-1	0	0	0	1	0
CYFIP2	Cytoplasmic FMR1 interacting protein 2	0	1	1	0	0
CYHR1	Cysteine/histidine-rich 1	0	0	0	1	0
CYP2A13	Cytochrome P450, family 2, subfamily A, polypeptide 13	0	0	0	1	0
CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7	1	1	1	0	0
CYP4X1	Cytochrome P450, family 4, subfamily X, polypeptide 1	0	0	0	1	0
DACH1	Dachshund homolog 1 (Drosophila)	0	0	0	1	0
DAP3	Death associated protein 3	0	0	0	1	0
DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides	0	0	0	1	0
DAZAP2	DAZ associated protein 2	0	0	0	1	0
DBF4	DBF4 homolog (S. cerevisiae)	0	0	0	1	0
DBI	Diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	0	0	0	1	0
DBN1	Drebrin 1	0	0	0	1	0
DBNDD2	Dysbindin (dystrobrevin binding protein 1) domain containing 2	0	0	0	1	0
DCPS	Decapping enzyme, scavenger	0	0	0	1	0
DCUN1D5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	0	0	0	1	0
DDB1	Damage-specific DNA binding protein 1, 127kDa	0	1	1	0	0
DDHD2	DDHD domain containing 2	0	0	0	1	0
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	0	0	0	1	0
DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	0	0	0	1	0
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	0	0	0	1	0
DEF6	Differentially expressed in FDCP 6 homolog (mouse)	0	0	0	1	0
DEGS1	Degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	1	1	1	0	0
DGAT2	Diacylglycerol O-acyltransferase homolog 2 (mouse)	1	0	0	0	0
DGKI	Diacylglycerol kinase, iota	0	0	0	1	0
DGUOK	Deoxyguanosine kinase	0	1	0	0	0
DHCR7	7-dehydrocholesterol reductase	0	0	0	1	0
DHRS7	Dehydrogenase/reductase (SDR family) member 7	0	0	0	1	0
DHRS7B	Dehydrogenase/reductase (SDR family) member 7B	0	1	0	0	0
DIDO1	Death inducer-obliterator 1	1	1	1	0	0
DIO1	Deiodinase, iodothyronine, type I	1	0	0	0	0
DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)	0	1	1	0	0
DIRC1	Disrupted in renal carcinoma 1	0	0	0	1	0
DKFZp761P0423	Homolog of rat pragma of Rnd2	0	0	0	1	0
DKFZp762E1312	Hypothetical protein DKFZp762E1312	0	0	0	0	1
DKFZP779L1068	PRO0845	1	0	0	0	0
DLG7	Discs, large homolog 7 (Drosophila)	0	0	0	0	1
DLK1	Delta-like 1 homolog (Drosophila)	0	0	0	1	0
DLX5	Distal-less homeobox 5	0	0	0	1	0
DMD	Dystrophin (muscular dystrophy, Duchenne and Becker types)	1	0	0	0	0
DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	0	0	0	1	0
DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	0	0	0	1	0
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	0	0	0	1	1
DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	0	0	0	1	0
DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19	0	0	0	1	0
DNALI1	Dynein, axonemal, light intermediate chain 1	0	0	0	1	1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	0	0	0	1	0
DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like	0	0	0	1	0
DOK4	Docking protein 4	0	1	1	0	0
DOM3Z	Dom-3 homolog Z (C. elegans)	0	1	1	0	0
DPT	Dermatopontin	1	0	0	0	0
DPYSL2	Dihydropyrimidinase-like 2	1	0	0	0	0
DQX1	DEAQ box polypeptide 1 (RNA-dependent ATPase)	0	0	0	1	0
DSC2	Desmocollin 2	0	1	1	0	0
DSCR1	Down syndrome critical region gene 1	0	0	0	1	0
DSCR1L2	Down syndrome critical region gene 1-like 2	0	0	0	1	0
DSG2	Desmoglein 2	1	0	0	0	0
DSP	Desmoplakin	0	0	0	1	0
DST	Dystonin	1	0	0	0	0
DTL	Denticleless homolog (Drosophila)	0	0	0	1	0
DUSP14	Dual specificity phosphatase 14	1	0	0	0	0
DUSP23	Dual specificity phosphatase 23	0	0	0	1	0
DUSP4	Dual specificity phosphatase 4	1	1	1	1	0
DUSP6	Dual specificity phosphatase 6	1	0	0	1	0
DVL1	Dishevelled, dsh homolog 1 (Drosophila)	0	0	0	1	0
DYNLL2	Dynein, light chain, LC8-type 2	1	0	0	0	0
DYRK4	Dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4	0	0	0	1	0
E2F1	E2F transcription factor 1	0	0	0	0	1
E2F5	E2F transcription factor 5, p130-binding	1	0	0	0	0
EAF2	ELL associated factor 2	0	0	0	1	0
EBNA1BP2	EBNA1 binding protein 2	1	1	1	0	0
ECE1	Endothelin converting enzyme 1	0	1	1	0	0
ECHDC1	Enoyl Coenzyme A hydratase domain containing 1	1	1	1	1	0
ECHDC2	Enoyl Coenzyme A hydratase domain containing 2	1	1	1	0	0
ECHDC3	Enoyl Coenzyme A hydratase domain containing 3	0	0	0	1	0
ECSIT	ECSIT homolog (Drosophila)	0	0	0	1	0
EDNRB	Endothelin receptor type B	1	0	0	0	0
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	0	0	0	1	0
EFHC1	EF-hand domain (C-terminal) containing 1	0	0	0	1	0
EFNA4	Ephrin-A4	0	0	0	1	0
EFNB2	Ephrin-B2	0	1	1	0	0
EFS	Embryonal Fyn-associated substrate	0	0	0	1	0
EFTUD2	Elongation factor Tu GTP binding domain containing 2	0	0	0	1	0
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1	0	0	0	1
EGLN3	Egl nine homolog 3 (C. elegans)	1	0	0	0	0
EIF2C2	Eukaryotic translation initiation factor 2C, 2	0	0	0	1	0
EIF2C4	Eukaryotic translation initiation factor 2C, 4	0	0	0	1	0
EIF4A3	Eukaryotic translation initiation factor 4A, isoform 3	0	0	0	1	0
EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	0	0	0	1	0
EIF4G1	Eukaryotic translation initiation factor 4 gamma, 1	0	0	0	1	0
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	0	1	1	1	0
ELAC1	ElaC homolog 1 (E. coli)	0	0	0	1	0
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	0	1	1	0	0
ELL2	Elongation factor, RNA polymerase II, 2	0	0	0	1	0
ELL3	Elongation factor RNA polymerase II-like 3	0	0	0	1	0
ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	0	0	0	1	1
EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	0	0	0	1	0
EN1	Engrailed homeobox 1	0	0	0	1	0
ENAH	Enabled homolog (Drosophila)	0	0	0	1	0
ENC1	Ectodermal-neural cortex (with BTB-like domain)	1	0	0	0	0
ENDOD1	Endonuclease domain containing 1	0	0	0	1	0
ENOX1	Ecto-NOX disulfide-thiol exchanger 1	0	0	0	1	0
ENPP5	Ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)	0	1	0	0	0
ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	0	1	1	0	0
ENY2	Enhancer of yellow 2 homolog (Drosophila)	0	0	0	1	0
EPAS1	Endothelial PAS domain protein 1	1	0	0	0	0
EPB41	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	0	1	1	0	0
EPHX2	Epoxide hydrolase 2, cytoplasmic	1	1	0	1	0
EPN3	Epsin 3	0	0	0	1	1
EPOR	Erythropoietin receptor	0	1	1	0	0
EPR1	Effector cell peptidase receptor 1	0	0	0	1	0
EPYC	Epiphycan	1	0	0	0	0
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	1	1	1	1	1
ERLIN2	ER lipid raft associated 2	0	0	0	1	0
ESF1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	0	0	0	1	0
ESR1	Estrogen receptor 1	1	1	1	1	1
ETFA	Electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	1	1	1	1	0
ETFB	Electron-transfer-flavoprotein, beta polypeptide	1	0	0	0	0
EXO1	Exonuclease 1	0	0	0	1	1
EXOSC9	Exosome component 9	0	0	0	1	0
EXT2	Exostoses (multiple) 2	0	1	1	1	0
EZH2	Enhancer of zeste homolog 2 (Drosophila)	0	0	0	1	0
F11R	F11 receptor	0	1	1	0	0
F2R	Coagulation factor II (thrombin) receptor	0	1	1	0	0
F2RL1	Coagulation factor II (thrombin) receptor-like 1	1	0	0	0	0
F9	Coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)	0	0	0	1	0
FA2H	Fatty acid 2-hydroxylase	0	0	0	1	0
FAAH	Fatty acid amide hydrolase	1	0	0	0	0
FAAH2	Fatty acid amide hydrolase 2	0	0	0	1	0
FABP3	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	1	0	0	0	0
FABP4	Fatty acid binding protein 4, adipocyte	1	0	0	0	0
FABP7	Fatty acid binding protein 7, brain	1	1	1	1	0
FADD	Fas (TNFRSF6)-associated via death domain	1	1	1	1	0
FADS2	Fatty acid desaturase 2	1	0	0	0	0
FAH	Fumarylacetoacetate hydrolase (fumarylacetoacetase)	1	0	0	0	0
FAM107B	Family with sequence similarity 107, member B	0	0	0	1	0
FAM110A	Family with sequence similarity 110, member A	0	1	1	0	0
FAM111A	Family with sequence similarity 111, member A	0	0	0	1	0
FAM112B	Family with sequence similarity 112, member B	0	0	0	1	0
FAM117A	Family with sequence similarity 117, member A	0	0	0	1	0
FAM120A	Family with sequence similarity 120A	0	0	0	1	0
FAM129A	Family with sequence similarity 129, member A	0	0	0	1	0
FAM134B	Family with sequence similarity 134, member B	0	0	0	1	0
FAM13A1	Family with sequence similarity 13, member A1	1	0	0	0	0
FAM26F	Family with sequence similarity 26, member F	0	0	0	1	0
FAM36A	Family with sequence similarity 36, member A	0	0	0	1	0
FAM38A	Family with sequence similarity 38, member A	0	1	1	0	0
FAM3A	Family with sequence similarity 3, member A	0	0	0	1	0
FAM3B	Family with sequence similarity 3, member B	0	0	0	1	0
FAM3C	Family with sequence similarity 3, member C	0	0	0	1	0
FAM46C	Family with sequence similarity 46, member C	0	0	0	1	0
FAM49B	Family with sequence similarity 49, member B	1	0	0	1	0
FAM54A	Family with sequence similarity 54, member A	0	0	0	1	1
FAM55C	Family with sequence similarity 55, member C	0	0	0	1	0
FAM60A	Family with sequence similarity 60, member A	0	0	0	1	0
FAM63A	Family with sequence similarity 63, member A	0	0	0	1	0
FAM77C	Family with sequence similarity 77, member C	0	0	0	1	0
FANCA	Fanconi anemia, complementation group A	0	0	0	1	0
FANCE	Fanconi anemia, complementation group E	0	0	0	1	0
FASN	Fatty acid synthase	1	0	0	0	0
FBL	Fibrillarin	0	0	0	1	0
FBLN2	Fibulin 2	0	0	1	0	0
FBP1	Fructose-1,6-bisphosphatase 1	0	1	0	1	1
FBRS	Fibrosin	0	0	0	1	0
FBXL20	F-box and leucine-rich repeat protein 20	0	0	0	1	0
FBXO16	F-box protein 16	0	0	0	1	0
FBXO25	F-box protein 25	0	0	0	1	0
FCGBP	Fc fragment of IgG binding protein	1	0	0	0	0
FCRL5	Fc receptor-like 5	0	0	0	1	0
FDXR	Ferredoxin reductase	0	0	0	1	0
FECH	Ferrochelatase (protoporphyria)	0	1	1	0	0
FEM1B	Fem-1 homolog b (C. elegans)	0	0	0	1	0
FER1L3	Fer-1-like 3, myoferlin (C. elegans)	0	1	1	0	0
FGF12	Fibroblast growth factor 12	0	0	0	1	0
FGF13	Fibroblast growth factor 13	0	0	0	1	0
FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	1	0	0	0	0
FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	1	0	0	0	0
FGFR4	Fibroblast growth factor receptor 4	0	1	1	0	1
FGG	Fibrinogen gamma chain	1	0	0	0	0
FHL1	Four and a half LIM domains 1	1	0	0	0	0
FHOD1	Formin homology 2 domain containing 1	0	0	0	1	0
FJX1	Four jointed box 1 (Drosophila)	0	1	0	0	0
FKBP11	FK506 binding protein 11, 19 kDa	0	1	1	1	0
FLJ00038	CXYorf1-related protein	0	1	1	0	0
FLJ10292	Mago-nashi homolog 2	0	0	0	1	0
FLJ10324	FLJ10324 protein	0	0	0	1	0
FLJ10916	Hypothetical protein FLJ10916	0	0	0	1	0
FLJ11151	Hypothetical protein FLJ11151	0	0	0	1	0
FLJ13137	Hypothetical gene supported by AK125122	0	0	0	1	0
FLJ14668	Hypothetical protein FLJ14668	0	0	0	1	0
FLJ20035	Hypothetical protein FLJ20035	0	0	0	1	0
FLJ20273	RNA-binding protein	0	0	0	1	0
FLJ20323	Hypothetical protein FLJ20323	0	0	0	1	0
FLJ20366	Hypothetical protein FLJ20366	1	0	0	0	0
FLJ20920	Hypothetical protein FLJ20920	1	1	1	0	0
FLJ21062	Hypothetical protein FLJ21062	0	1	1	1	0
FLJ22222	Hypothetical protein FLJ22222	0	0	0	1	0
FLJ25076	Similar to CG4502-PA	1	1	1	0	0
FLJ38359	Hypothetical protein FLJ38359	0	0	0	1	0
FLNB	Filamin B, beta (actin binding protein 278)	0	1	1	0	0
FLOT2	Flotillin 2	1	1	1	0	0
FLT1	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	0	1	1	0	0
FMO5	Flavin containing monooxygenase 5	1	1	1	0	0
FMOD	Fibromodulin	1	1	1	0	0
FN1	Fibronectin 1	1	0	0	0	0
FOLR1	Folate receptor 1 (adult)	1	0	0	1	0
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	1	0	0	0	0
FOXA1	Forkhead box A1	1	1	1	1	1
FOXA3	Forkhead box A3	0	1	1	0	0
FOXC1	Forkhead box C1	0	1	1	1	1
FOXD1	Forkhead box D1	0	0	0	1	0
FOXP1	Forkhead box P1	0	0	0	1	0
FREQ	Frequenin homolog (Drosophila)	0	0	0	1	0
FTO	Fat mass and obesity associated	0	0	0	1	0
FUBP1	Far upstream element (FUSE) binding protein 1	0	0	0	1	0
FUCA1	Fucosidase, alpha-L- 1, tissue	0	0	0	1	0
FVT1	Follicular lymphoma variant translocation 1	0	1	1	0	0
FXYD3	FXYD domain containing ion transport regulator 3	0	1	1	0	0
FXYD6	FXYD domain containing ion transport regulator 6	0	0	0	1	0
FYCO1	FYVE and coiled-coil domain containing 1	0	0	0	1	0
FZD1	Frizzled homolog 1 (Drosophila)	0	1	0	0	0
FZD10	Frizzled homolog 10 (Drosophila)	0	0	0	1	0
FZD6	Frizzled homolog 6 (Drosophila)	1	1	1	0	0
FZD7	Frizzled homolog 7 (Drosophila)	0	0	0	1	1
FZD8	Frizzled homolog 8 (Drosophila)	1	1	0	0	0
FZD9	Frizzled homolog 9 (Drosophila)	0	0	0	1	0
GABARAPL2	GABA(A) receptor-associated protein-like 2	0	0	0	1	0
GABRE	Gamma-aminobutyric acid (GABA) A receptor, epsilon	0	0	1	0	0
GABRP	Gamma-aminobutyric acid (GABA) A receptor, pi	0	1	1	0	0
GAD1	Glutamate decarboxylase 1 (brain, 67kDa)	1	0	0	0	0
GALE	UDP-galactose-4-epimerase	0	0	0	1	0
GALNT10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	0	1	1	0	0
GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	0	0	0	1	0
GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	0	0	0	1	0
GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1	1	1	0	0
GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	0	0	0	1	1
GAMT	Guanidinoacetate N-methyltransferase	0	0	0	1	0
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	0	0	0	1	0
GARS	Glycyl-tRNA synthetase	0	1	1	1	0
GART	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	0	0	0	1	0
GAS2L1	Growth arrest-specific 2 like 1	0	0	1	0	0
GATA3	GATA binding protein 3	1	1	1	1	1
GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	0	0	0	1	0
GBA	Glucosidase, beta; acid (includes glucosylceramidase)	0	0	0	1	0
GCAT	Glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	1	0	0	0	0
GDAP2	Ganglioside induced differentiation associated protein 2	1	0	0	0	0
GDI2	GDP dissociation inhibitor 2	0	0	0	1	0
GFRA1	GDNF family receptor alpha 1	1	0	0	0	0
GGA1	Golgi associated, gamma adaptin ear containing, ARF binding protein 1	0	0	0	1	0
GGH	Gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)	1	1	1	0	0
GINS3	GINS complex subunit 3 (Psf3 homolog)	0	0	0	1	0
GJB1	Gap junction protein, beta 1, 32kDa	1	0	0	0	0
GKAP1	G kinase anchoring protein 1	0	0	0	1	0
GLCCI1	Glucocorticoid induced transcript 1	0	0	0	1	0
GLDC	Glycine dehydrogenase (decarboxylating)	0	1	1	0	0
GLG1	Golgi apparatus protein 1	0	0	0	1	0
GLTSCR2	Glioma tumor suppressor candidate region gene 2	0	0	0	1	0
GLUD1	Glutamate dehydrogenase 1	0	1	1	0	0
GNAS	GNAS complex locus	1	0	1	0	0
GNB2L1	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	0	1	1	0	0
GNB4	Guanine nucleotide binding protein (G protein), beta polypeptide 4	0	0	0	1	0
GNPNAT1	Glucosamine-phosphate N-acetyltransferase 1	0	1	0	0	0
GNS	Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	0	1	0	0	0
GOLPH2	Golgi phosphoprotein 2	0	0	0	1	0
GOT2	Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	1	0	0	0	0
GPATCH1	G patch domain containing 1	0	0	0	1	0
GPD1	Glycerol-3-phosphate dehydrogenase 1 (soluble)	1	0	0	0	0
GPI	Glucose phosphate isomerase	0	1	1	0	0
GPR125	G protein-coupled receptor 125	0	0	0	1	0
GPR160	G protein-coupled receptor 160	1	0	0	1	1
GPR56	G protein-coupled receptor 56	0	0	0	1	0
GPRC5C	G protein-coupled receptor, family C, group 5, member C	0	0	0	1	0
GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	0	0	0	1	1
GPT	Glutamic-pyruvate transaminase (alanine aminotransferase)	0	0	0	1	0
GPT2	Glutamic pyruvate transaminase (alanine aminotransferase) 2	0	0	0	1	0
GPX3	Glutathione peroxidase 3 (plasma)	1	0	0	0	0
GPX4	Glutathione peroxidase 4 (phospholipid hydroperoxidase)	0	1	1	0	0
GPX7	Glutathione peroxidase 7	0	0	0	1	0
GRB14	Growth factor receptor-bound protein 14	0	0	0	1	0
GRB7	Growth factor receptor-bound protein 7	1	1	1	1	1
GRIA1	Glutamate receptor, ionotropic, AMPA 1	0	1	1	0	0
GRIA2	Glutamate receptor, ionotropic, AMPA 2	0	1	1	0	0
GRLF1	Glucocorticoid receptor DNA binding factor 1	0	1	1	0	0
GSC	Goosecoid	0	0	0	1	0
GSDML	Gasdermin-like	0	0	0	1	0
GSK3B	Glycogen synthase kinase 3 beta	0	0	0	1	0
GSN	Gelsolin (amyloidosis, Finnish type)	1	0	0	0	0
GSTA2	Glutathione S-transferase A2	0	0	0	1	0
GSTA4	Glutathione S-transferase A4	1	1	1	0	0
GSTK1	Glutathione S-transferase kappa 1	0	0	0	1	0
GSTM1	Glutathione S-transferase M1	1	0	0	0	1
GSTM2	Glutathione S-transferase M2 (muscle)	1	1	1	0	0
GSTM3	Glutathione S-transferase M3 (brain)	0	1	1	1	1
GSTM4	Glutathione S-transferase M4	1	1	1	0	0
GSTP1	Glutathione S-transferase pi	0	1	1	1	0
GSTT1	Glutathione S-transferase theta 1	1	1	1	1	0
GTF2H2	General transcription factor IIH, polypeptide 2, 44kDa	1	1	1	0	0
GTF2IP1	General transcription factor II, i, pseudogene 1	0	0	0	1	0
GTF3A	General transcription factor IIIA	0	0	0	1	0
GTPBP3	GTP binding protein 3 (mitochondrial)	0	0	0	1	0
GTPBP4	GTP binding protein 4	0	0	0	1	1
GULP1	GULP, engulfment adaptor PTB domain containing 1	0	0	1	0	0
GUSB	Glucuronidase, beta	0	0	0	0	0
GYG1	Glycogenin 1	0	1	1	0	0
H19	H19, imprinted maternally expressed untranslated mRNA	1	1	1	0	0
H1F0	H1 histone family, member 0	0	1	1	1	0
H2AFV	H2A histone family, member V	0	0	0	1	0
H2AFY	H2A histone family, member Y	0	0	0	1	0
H2AFZ	H2A histone family, member Z	0	0	0	1	0
H2BFS	H2B histone family, member S	0	0	0	1	0
H3F3B	H3 histone, family 3B (H3.3B)	0	0	0	1	0
HACL1	2-hydroxyacyl-CoA lyase 1	0	0	0	1	0
HAGH	Hydroxyacylglutathione hydrolase	0	0	0	1	0
HBG1	Hemoglobin, gamma A	0	0	0	1	0
HCFC1R1	Host cell factor C1 regulator 1 (XPO1 dependent)	0	1	1	0	0
hCG_18290	HCG18290	0	1	1	0	0
hCG_27695	HCG27695	0	0	0	1	0
HDAC2	Histone deacetylase 2	0	0	0	1	0
HDC	Histidine decarboxylase	0	0	0	1	0
HEATR3	HEAT repeat containing 3	0	0	0	1	0
