Probe Set ID	Gene Symbol	Fold Change	Gene Title
227263_at	C8orf58	0.562321343	chromosome 8 open reading frame 58
232098_at	DST	0.560940199	dystonin
232055_at	SFXN1	0.560083351	sideroflexin 1
208894_at	HLA-DRA	0.560079625	major histocompatibility complex, class II, DR alpha
208782_at	FSTL1	0.559224556	follistatin-like 1
200768_s_at	MAT2A	0.558363382	methionine adenosyltransferase II, alpha
202409_at	IGF2	0.558207191	insulin-like growth factor 2 (somatomedin A)
209206_at	SEC22B	0.557769637	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)
203300_x_at	AP1S2	0.557342104	adaptor-related protein complex 1, sigma 2 subunit
64883_at	MOSPD2	0.554665436	motile sperm domain containing 2
227272_at	C15orf52	0.554339791	chromosome 15 open reading frame 52
218819_at	INTS6	0.554209229	integrator complex subunit 6
213873_at	DCBLD2	0.55410099	discoidin, CUB and LCCL domain containing 2
205266_at	LIF	0.554076667	leukemia inhibitory factor (cholinergic differentiation factor)
222449_at	PMEPA1	0.553682951	prostate transmembrane protein, androgen induced 1
210346_s_at	CLK4	0.553612572	CDC-like kinase 4
213428_s_at	COL6A1	0.553015254	collagen, type VI, alpha 1
204497_at	ADCY9	0.552509569	adenylate cyclase 9
221645_s_at	ZNF83	0.551208843	zinc finger protein 83
210377_at	ACSM3	0.550777125	acyl-CoA synthetase medium-chain family member 3
235424_at	---	0.54728922	Transcribed locus
1556102_x_at	LOC286434	0.546298505	hypothetical protein LOC286434
220770_s_at	LOC63920	0.545282237	transposon-derived Buster3 transposase-like
1555742_at	---	0.544450791	---
227404_s_at	EGR1	0.542092945	Early growth response 1
1552938_at	ZIC5	0.540523068	Zic family member 5 (odd-paired homolog, Drosophila)
236629_at	C1orf69	0.540212264	chromosome 1 open reading frame 69
212538_at	DOCK9	0.539423161	dedicator of cytokinesis 9
204547_at	RAB40B	0.538276285	RAB40B, member RAS oncogene family
214500_at	H2AFY	0.538252457	H2A histone family, member Y
228751_at	CLK4	0.536755622	CDC-like kinase 4
224831_at	CPEB4	0.533460062	cytoplasmic polyadenylation element binding protein 4
205072_s_at	XRCC4	0.532243467	X-ray repair complementing defective repair in Chinese hamster cells 4
210150_s_at	LAMA5	0.530482021	laminin, alpha 5
212912_at	RPS6KA2	0.529632671	ribosomal protein S6 kinase, 90kDa, polypeptide 2
205355_at	ACADSB	0.52930174	acyl-Coenzyme A dehydrogenase, short/branched chain
230264_s_at	AP1S2	0.527999816	adaptor-related protein complex 1, sigma 2 subunit
201983_s_at	EGFR	0.527703238	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
203043_at	ZBED1	0.526965705	zinc finger, BED-type containing 1
208650_s_at	CD24	0.526919438	CD24 molecule
204361_s_at	SKAP2	0.525368503	src kinase associated phosphoprotein 2
203895_at	PLCB4	0.525208808	phospholipase C, beta 4
212253_x_at	DST	0.524851677	dystonin
204602_at	DKK1	0.523588427	dickkopf homolog 1 (Xenopus laevis)
1553536_at	MBNL2	0.523493954	Muscleblind-like 2 (Drosophila)
205439_at	GSTT2	0.522517775	glutathione S-transferase theta 2
239106_at	CA5BL	0.521988507	Carbonic anhydrase VB-like
210130_s_at	TM7SF2	0.521782606	transmembrane 7 superfamily member 2
226283_at	WDR51B	0.520579966	WD repeat domain 51B
203801_at	MRPS14	0.520226823	mitochondrial ribosomal protein S14
222239_s_at	INTS6	0.51844784	integrator complex subunit 6
205659_at	HDAC9	0.518177174	histone deacetylase 9
202935_s_at	SOX9	0.516637138	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)
226198_at	TOM1L2	0.516320785	target of myb1-like 2 (chicken)
210869_s_at	MCAM	0.514644809	melanoma cell adhesion molecule
225171_at	ARHGAP18	0.513078124	Rho GTPase activating protein 18
234491_s_at	SAV1	0.512450295	salvador homolog 1 (Drosophila)
244533_at	---	0.510640903	---
211356_x_at	LEPR	0.510445072	leptin receptor
212798_s_at	ANKMY2	0.510234167	ankyrin repeat and MYND domain containing 2
230258_at	GLIS3	0.506764858	GLIS family zinc finger 3
211355_x_at	LEPR	0.505908524	leptin receptor
202998_s_at	ENTPD4 /// LOXL2	0.504107587	lysyl oxidase-like 2 /// ectonucleoside triphosphate diphosphohydrolase 4
203695_s_at	DFNA5	0.503246334	deafness, autosomal dominant 5
213468_at	ERCC2	0.501244793	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
227256_at	USP31	0.499056402	ubiquitin specific peptidase 31
1569369_at	ZFYVE28	0.499050615	zinc finger, FYVE domain containing 28
239212_at	LTV1	0.49654779	LTV1 homolog (S. cerevisiae)
228949_at	GPR177	0.49613252	G protein-coupled receptor 177
227468_at	CPT1C	0.495961019	carnitine palmitoyltransferase 1C
219008_at	C2orf43	0.495852764	chromosome 2 open reading frame 43
228425_at	LOC654433	0.49548402	hypothetical LOC654433
218851_s_at	WDR33	0.495198972	WD repeat domain 33
209760_at	KIAA0922	0.494386379	KIAA0922
218276_s_at	SAV1	0.493878509	salvador homolog 1 (Drosophila)
204759_at	RCBTB2	0.493832706	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
219305_x_at	FBXO2	0.492453845	F-box protein 2
203710_at	ITPR1	0.491702354	inositol 1,4,5-triphosphate receptor, type 1
228885_at	MAMDC2	0.491508825	MAM domain containing 2
232172_at	LOC401577	0.491230123	hypothetical protein LOC401577
203624_at	SFRS17A	0.487950548	splicing factor, arginine/serine-rich 17A
224469_s_at	INF2	0.487546563	inverted formin, FH2 and WH2 domain containing
209771_x_at	CD24	0.487261254	CD24 molecule
208944_at	TGFBR2	0.485778045	transforming growth factor, beta receptor II (70/80kDa)
221760_at	MAN1A1	0.485617061	Mannosidase, alpha, class 1A, member 1
205018_s_at	MBNL2	0.485050485	muscleblind-like 2 (Drosophila)
228415_at	AP1S2	0.484712218	adaptor-related protein complex 1, sigma 2 subunit
205832_at	CPA4	0.484671447	carboxypeptidase A4
244764_at	HIVEP3	0.483847921	Human immunodeficiency virus type I enhancer binding protein 3
203049_s_at	KIAA0372	0.48264391	KIAA0372
235419_at	---	0.481028864	Transcribed locus
213094_at	GPR126	0.480869489	G protein-coupled receptor 126
214374_s_at	PPFIBP1	0.479941486	PTPRF interacting protein, binding protein 1 (liprin beta 1)
203640_at	MBNL2	0.479903291	muscleblind-like 2 (Drosophila)
215193_x_at	hCG_1998957 /// HLA-DQB1 /// HLA-DQB2 /// HLA-DRB1 /// HLA-DRB2 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100133484 /// LOC100133583 /// LOC100133661 /// LOC100133811 /// LOC730415 /// RNASE2 /// ZNF749	0.47845542	major histocompatibility complex, class II, DQ beta 1 /// major histocompatibility complex, class II, DQ beta 2 /// major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 2 (pseudogene) /// major histocompatibility complex, class II, DR beta 3 /// major histocompatibility complex, class II, DR beta 4 /// major histocompatibility complex, class II, DR beta 5 /// ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) /// zinc finger protein 749 /// hypothetical protein LOC730415 /// similar to Major histocompatibility complex, class II, DR beta 4 /// similar to major histocompatibility complex, class II, DQ beta 1 /// similar to HLA class II histocompatibility antigen, DR-W53 beta chain /// similar to hCG1992647
202617_s_at	MECP2	0.476896044	methyl CpG binding protein 2 (Rett syndrome)
209101_at	CTGF	0.475943027	connective tissue growth factor
202786_at	STK39	0.474444348	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
225548_at	SHROOM3	0.468653546	shroom family member 3
235264_at	HCFC2	0.465766763	host cell factor C2
227145_at	LOXL4	0.465687194	lysyl oxidase-like 4
224724_at	SULF2	0.46532068	sulfatase 2
202800_at	SLC1A3	0.462778811	solute carrier family 1 (glial high affinity glutamate transporter), member 3
203974_at	HDHD1A	0.462257334	haloacid dehalogenase-like hydrolase domain containing 1A
225256_at	---	0.460745823	CDNA FLJ41369 fis, clone BRCAN2006117
206343_s_at	NRG1	0.459513688	neuregulin 1
205352_at	SERPINI1	0.458969513	serpin peptidase inhibitor, clade I (neuroserpin), member 1
266_s_at	CD24	0.458399414	CD24 molecule
225790_at	MSRB3	0.45504384	methionine sulfoxide reductase B3
210269_s_at	SFRS17A	0.453410405	splicing factor, arginine/serine-rich 17A
225778_at	---	0.452948467	CDNA FLJ39093 fis, clone NT2RP7020112
222872_x_at	OBFC2A	0.452620286	oligonucleotide/oligosaccharide-binding fold containing 2A
211800_s_at	USP4	0.451241903	ubiquitin specific peptidase 4 (proto-oncogene)
215016_x_at	DST	0.450834832	dystonin
209159_s_at	NDRG4	0.450601159	NDRG family member 4
209470_s_at	GPM6A	0.450455651	glycoprotein M6A
212412_at	PDLIM5	0.449054495	PDZ and LIM domain 5
226646_at	KLF2	0.448522394	Kruppel-like factor 2 (lung)
233085_s_at	OBFC2A	0.448466007	oligonucleotide/oligosaccharide-binding fold containing 2A
225664_at	COL12A1	0.447985543	collagen, type XII, alpha 1
204790_at	SMAD7	0.447738427	SMAD family member 7
224823_at	MYLK	0.446907264	myosin light chain kinase
201340_s_at	ENC1	0.44688604	ectodermal-neural cortex (with BTB-like domain)
219371_s_at	KLF2	0.442772484	Kruppel-like factor 2 (lung)
229958_at	CLN8	0.442430766	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)
227333_at	---	0.442028099	CDNA: FLJ23546 fis, clone LNG08361
206414_s_at	DDEF2	0.440863425	development and differentiation enhancing factor 2
244503_at	---	0.44014586	Transcribed locus
229713_at	---	0.436517682	Transcribed locus, strongly similar to XP_001145575.1 PREDICTED: hypothetical protein [Pan troglodytes]
204702_s_at	NFE2L3	0.43473322	nuclear factor (erythroid-derived 2)-like 3
222835_at	THSD4	0.434452737	thrombospondin, type I, domain containing 4
206918_s_at	CPNE1	0.432904334	copine I
231879_at	COL12A1	0.432514943	collagen, type XII, alpha 1
204061_at	PRKX	0.426481859	protein kinase, X-linked
228496_s_at	CRIM1	0.424678389	Cysteine rich transmembrane BMP regulator 1 (chordin-like)
225373_at	C10orf54	0.423766788	chromosome 10 open reading frame 54
231767_at	HOXB4	0.422501762	homeobox B4
208116_s_at	MAN1A1	0.419619446	mannosidase, alpha, class 1A, member 1
206785_s_at	KLRC1 /// KLRC2	0.418079088	killer cell lectin-like receptor subfamily C, member 1 /// killer cell lectin-like receptor subfamily C, member 2
218501_at	ARHGEF3	0.417210005	Rho guanine nucleotide exchange factor (GEF) 3
209894_at	LEPR	0.416850005	leptin receptor
222696_at	AXIN2	0.413380509	axin 2 (conductin, axil)
219351_at	SEDLP /// TRAPPC2 /// ZNF547	0.412596299	trafficking protein particle complex 2 /// spondyloepiphyseal dysplasia, late, pseudogene /// zinc finger protein 547
244322_at	FLJ43663	0.412515609	Hypothetical LOC378805
201341_at	ENC1	0.410813738	ectodermal-neural cortex (with BTB-like domain)
204724_s_at	COL9A3	0.408667627	collagen, type IX, alpha 3
242005_at	---	0.408322439	Transcribed locus
202551_s_at	CRIM1	0.404658217	cysteine rich transmembrane BMP regulator 1 (chordin-like)
209506_s_at	NR2F1	0.401319006	nuclear receptor subfamily 2, group F, member 1
233364_s_at	---	0.397888779	CDNA FLJ38472 fis, clone FEBRA2022148
225776_at	---	0.394165477	CDNA FLJ39093 fis, clone NT2RP7020112
1558281_a_at	TMEM184A	0.393184864	transmembrane protein 184A
240421_x_at	---	0.381518044	CDNA clone IMAGE:5268630
213075_at	OLFML2A	0.379848947	olfactomedin-like 2A
202628_s_at	SERPINE1	0.372972204	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
1554704_at	ATP8B3	0.370559659	ATPase, class I, type 8B, member 3
202552_s_at	CRIM1	0.368838167	cysteine rich transmembrane BMP regulator 1 (chordin-like)
235230_at	---	0.366485686	CDNA FLJ34317 fis, clone FEBRA2008475
226747_at	TXNDC16	0.362841703	thioredoxin domain containing 16
231931_at	PRDM15	0.362462736	PR domain containing 15
203242_s_at	PDLIM5	0.361688716	PDZ and LIM domain 5
211681_s_at	PDLIM5	0.357112478	PDZ and LIM domain 5
213135_at	TIAM1	0.357101219	T-cell lymphoma invasion and metastasis 1
219637_at	ARMC9	0.356728438	armadillo repeat containing 9
226425_at	CLIP4	0.353076538	CAP-GLY domain containing linker protein family, member 4
203637_s_at	MID1	0.353048995	midline 1 (Opitz/BBB syndrome)
228121_at	---	0.351778794	CDNA FLJ11812 fis, clone HEMBA1006364
235287_at	CDK6	0.350824848	cyclin-dependent kinase 6
213316_at	KIAA1462	0.349989817	KIAA1462
212845_at	SAMD4A	0.349955719	sterile alpha motif domain containing 4A
202359_s_at	SNX19	0.349728492	sorting nexin 19
204867_at	GCHFR	0.348918984	GTP cyclohydrolase I feedback regulator
218718_at	PDGFC	0.348710302	platelet derived growth factor C
212907_at	SLC30A1	0.34049754	Solute carrier family 30 (zinc transporter), member 1
242671_at	---	0.339401193	---
225381_at	LOC399959	0.337081066	hypothetical gene supported by BX647608
236471_at	NFE2L3	0.335771553	nuclear factor (erythroid-derived 2)-like 3
203636_at	MID1	0.335532951	midline 1 (Opitz/BBB syndrome)
205366_s_at	HOXB6	0.329813436	homeobox B6
213982_s_at	RABGAP1L	0.328418515	RAB GTPase activating protein 1-like
227996_at	FARP1	0.327420392	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
1563467_at	---	0.323941329	MRNA; cDNA DKFZp451G0810 (from clone DKFZp451G0810)
231766_s_at	COL12A1	0.321581775	collagen, type XII, alpha 1
244841_at	SEC24A	0.32151212	SEC24 related gene family, member A (S. cerevisiae)
216325_x_at	RTEL1	0.318692703	regulator of telomere elongation helicase 1
1569629_x_at	LOC389906 /// LOC441528 /// LOC728687 /// LOC729162	0.318400402	similar to Serine/threonine-protein kinase PRKX (Protein kinase PKX1) /// hypothetical protein LOC441528 /// similar to hCG1981372 /// similar to LOC389906 protein
203788_s_at	SEMA3C	0.318162609	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
242321_at	---	0.315726712	Full length insert cDNA clone ZE03F06
219836_at	ZBED2	0.313516815	zinc finger, BED-type containing 2
221994_at	PDLIM5	0.312870127	PDZ and LIM domain 5
236129_at	GALNT5	0.308744917	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
204455_at	DST	0.30499801	dystonin
222854_s_at	GEMIN8	0.304262761	gem (nuclear organelle) associated protein 8
1555673_at	KAP2.1B /// KRTAP2-1 /// KRTAP2-4 /// LOC644350 /// LOC728285 /// LOC728934 /// LOC730755	0.303758496	keratin associated protein 2-1 /// keratin associated protein 2-4 /// keratin associated protein 2.1B /// hypothetical LOC644350 /// similar to keratin associated protein /// hypothetical LOC728934 /// similar to keratin associated protein 2-4
202627_s_at	SERPINE1	0.297409986	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
231841_s_at	KIAA1462	0.286230657	KIAA1462
204619_s_at	VCAN	0.283008241	versican
212094_at	PEG10	0.282258863	paternally expressed 10
219321_at	MPP5	0.261338623	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)
218963_s_at	KRT23	0.257296614	keratin 23 (histone deacetylase inducible)
219703_at	MNS1	0.256425069	meiosis-specific nuclear structural 1
228904_at	HOXB3	0.25255557	homeobox B3
234219_at	---	0.251462286	CDNA: FLJ21345 fis, clone COL02694
214332_s_at	TSFM	0.251386135	Ts translation elongation factor, mitochondrial
222719_s_at	PDGFC	0.250243004	platelet derived growth factor C
226092_at	MPP5	0.245414173	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)
202925_s_at	PLAGL2	0.232509099	pleiomorphic adenoma gene-like 2
214036_at	---	0.227694546	CDNA: FLJ22256 fis, clone HRC02860
213325_at	PVRL3	0.218795011	poliovirus receptor-related 3
235046_at	---	0.21737305	Transcribed locus
201438_at	COL6A3	0.216821416	collagen, type VI, alpha 3
211571_s_at	VCAN	0.21407036	versican
205399_at	DCLK1	0.208783309	doublecortin-like kinase 1
205376_at	INPP4B	0.205138391	inositol polyphosphate-4-phosphatase, type II, 105kDa
213684_s_at	PDLIM5	0.201809075	PDZ and LIM domain 5
204620_s_at	VCAN	0.201304446	versican
212848_s_at	C9orf3	0.198454486	chromosome 9 open reading frame 3
230748_at	SLC16A6	0.197242981	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
221731_x_at	VCAN	0.193217309	versican
203803_at	PCYOX1	0.192893085	prenylcysteine oxidase 1
225911_at	NPNT	0.175913783	nephronectin
244163_at	SEMA3A	0.172782064	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
201109_s_at	THBS1	0.171499268	thrombospondin 1
215646_s_at	VCAN	0.169839582	versican
201110_s_at	THBS1	0.169211868	thrombospondin 1
226189_at	ITGB8	0.160014848	integrin, beta 8
206579_at	ZNF192	0.156773579	zinc finger protein 192
219626_at	MAP7D3	0.152134542	MAP7 domain containing 3
216236_s_at	SLC2A14 /// SLC2A3	0.150695811	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
207038_at	SLC16A6	0.147210823	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)
243299_at	---	0.145909873	Transcribed locus
229800_at	DCLK1	0.145704859	Doublecortin-like kinase 1
201042_at	TGM2	0.145294407	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
227955_s_at	---	0.13846675	CDNA: FLJ22256 fis, clone HRC02860
229435_at	GLIS3	0.1357404	GLIS family zinc finger 3
202499_s_at	SLC2A3	0.134888021	solute carrier family 2 (facilitated glucose transporter), member 3
222088_s_at	SLC2A14 /// SLC2A3	0.13270099	solute carrier family 2 (facilitated glucose transporter), member 3 /// solute carrier family 2 (facilitated glucose transporter), member 14
206805_at	SEMA3A	0.130934547	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
206029_at	ANKRD1	0.121018325	ankyrin repeat domain 1 (cardiac muscle)
201108_s_at	THBS1	0.106199134	thrombospondin 1
206504_at	CYP24A1	0.100369405	cytochrome P450, family 24, subfamily A, polypeptide 1
202498_s_at	SLC2A3	0.100176378	solute carrier family 2 (facilitated glucose transporter), member 3
1564360_a_at	LOC339260	0.099129973	Hypothetical gene supported by BC072410
1564359_a_at	LOC339260	0.089091396	Hypothetical gene supported by BC072410
238419_at	PHLDB2	0.075264036	pleckstrin homology-like domain, family B, member 2
229669_at	LOC440416	0.074787259	hypothetical gene supported by BC072410
236012_at	PSMF1	0.067843079	Proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
242334_at	NLRP4	0.058216461	NLR family, pyrin domain containing 4
227480_at	SUSD2	0.048381639	sushi domain containing 2
235764_at	---	0.048115192	Transcribed locus
229667_s_at	HOXB8	0.044705992	homeobox B8
