HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
GZMA	ENSG00000145649	Granzyme A precursor (EC 3.4.21.78) (Cytotoxic T-lymphocyte proteinase 1) (Hanukkah factor) (H factor) (HF) (Granzyme-1) (CTL tryptase) (Fragmentin-1).	5.5	4.5E-09	6.5E-05
PTGER2	ENSG00000125384	Prostaglandin E2 receptor, EP2 subtype (Prostanoid EP2 receptor) (PGE receptor, EP2 subtype).	10.6	4.6E-09	1.3E-04
ZNF313	ENSG00000124226	Zinc finger protein 313 (RING finger protein 114).	2.0	4.7E-09	1.3E-04
PBEF1	ENSG00000105835	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12) (NAmPRTase) (Nampt) (Pre-B cell-enhancing factor) (Pre-B-cell colony-enhancing factor 1) (Visfatin).	3.7	4.8E-09	6.5E-05
C1QC	ENSG00000159189	Complement C1q subcomponent subunit C precursor.	6.4	4.8E-09	3.2E-05
NA	ENSG00000166347	Cytochrome b5.	2.6	5.2E-09	1.3E-04
NANS	ENSG00000095380	Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminic acid synthase) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase).	2.3	5.3E-09	1.5E-04
MGAT1	ENSG00000131446	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I).	2.2	5.3E-09	1.5E-04
FUCA2	ENSG00000001036	Plasma alpha-L-fucosidase precursor (EC 3.2.1.51) (Alpha-L-fucosidase 2) (Alpha-L-fucoside fucohydrolase 2).	2.3	5.4E-09	9.7E-05
DNASE1L1	ENSG00000013563	Deoxyribonuclease I-like 1 precursor (EC 3.1.21.-) (DNase I-like 1) (Muscle-specific DNase I-like) (DNase X) (XIB).	2.1	5.7E-09	1.2E-04
FER1L3	ENSG00000138119	Myoferlin (Fer-1-like protein 3).	13.8	5.7E-09	1.1E-04
BID	ENSG00000015475	BH3-interacting domain death agonist (BID) (p22 BID) [Contains: BH3-interacting domain death agonist p15 (p15 BID); BH3-interacting domain death agonist p13 (p13 BID); BH3-interacting domain death agonist p11 (p11 BID)].	2.5	6.0E-09	1.5E-04
PCBD1	ENSG00000166228	Pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96) (PHS) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)	2.3	6.0E-09	1.2E-04
ITFG1	ENSG00000129636	T-cell immunomodulatory protein precursor (Protein TIP).	1.9	6.0E-09	8.7E-05
TMEM135	ENSG00000166575		1.7	6.1E-09	9.7E-05
APOL3	ENSG00000128284	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1).	3.8	6.1E-09	3.2E-05
PVRL2	ENSG00000130202	Poliovirus receptor-related protein 2 precursor (Herpes virus entry mediator B) (HveB) (Nectin-2) (CD112 antigen).	4.6	6.1E-09	1.5E-04
MS4A4A	ENSG00000110079	Membrane-spanning 4-domains subfamily A member 4A (Four-span transmembrane protein 1) (CD20 antigen-like 1).	11.9	6.2E-09	1.4E-04
SLC38A6	ENSG00000139974	N system amino acid transporter NAT-1	3.9	6.3E-09	9.7E-05
H2AFY	ENSG00000113648	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205).	2.6	6.3E-09	6.5E-05
TNFAIP6	ENSG00000123610	Tumor necrosis factor-inducible protein TSG-6 precursor (TNF-stimulated gene 6 protein) (Hyaluronate-binding protein).	76.9	6.4E-09	9.7E-05
NA	ENSG00000188811	NA	2.1	6.4E-09	9.7E-05
MITF	ENSG00000187098	Microphthalmia-associated transcription factor.	4.3	6.4E-09	1.6E-04
CXCL10	ENSG00000169245	Small inducible cytokine B10 precursor (CXCL10) (10 kDa interferon-gamma-induced protein) (Gamma-IP10) (IP-10) [Contains: CXCL10(1-73)].	7.7	6.6E-09	1.6E-04
IFNAR1	ENSG00000142166	Interferon-alpha/beta receptor alpha chain precursor (IFN-alpha-REC).	2.2	6.7E-09	9.7E-05
EXOC5	ENSG00000070367	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10).	1.6	6.9E-09	9.7E-05
DYNLT1	ENSG00000146425	Dynein light chain Tctex-type 1 (T-complex testis-specific protein 1 homolog) (Protein CW-1).	2.1	7.0E-09	9.7E-05
SUCNR1	ENSG00000198829	Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like).	23.9	7.1E-09	1.6E-04
GPR137B	ENSG00000077585	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1).	3.1	7.2E-09	9.7E-05
RHEB	ENSG00000106615	GTP-binding protein Rheb (Ras homolog enriched in brain).	1.4	7.3E-09	1.6E-04
SLC17A5	ENSG00000119899	Sialin (Solute carrier family 17 member 5) (Sodium/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59).	2.6	7.5E-09	9.7E-05
RAB1A	ENSG00000138069	Ras-related protein Rab-1A (YPT1-related protein).	1.9	7.5E-09	1.3E-04
VAMP5	ENSG00000168899	Vesicle-associated membrane protein 5 (VAMP-5) (Myobrevin).	4.7	7.6E-09	6.5E-05
SLC38A6	ENSG00000139974	N system amino acid transporter NAT-1	3.9	6.3E-09	9.7E-05
H2AFY	ENSG00000113648	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205).	2.6	6.3E-09	6.5E-05
TNFAIP6	ENSG00000123610	Tumor necrosis factor-inducible protein TSG-6 precursor (TNF-stimulated gene 6 protein) (Hyaluronate-binding protein).	76.9	6.4E-09	9.7E-05
NA	ENSG00000188811	NA	2.1	6.4E-09	9.7E-05
MITF	ENSG00000187098	Microphthalmia-associated transcription factor.	4.3	6.4E-09	1.6E-04
CXCL10	ENSG00000169245	Small inducible cytokine B10 precursor (CXCL10) (10 kDa interferon-gamma-induced protein) (Gamma-IP10) (IP-10) [Contains: CXCL10(1-73)].	7.7	6.6E-09	1.6E-04
IFNAR1	ENSG00000142166	Interferon-alpha/beta receptor alpha chain precursor (IFN-alpha-REC).	2.2	6.7E-09	9.7E-05
EXOC5	ENSG00000070367	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10).	1.6	6.9E-09	9.7E-05
DYNLT1	ENSG00000146425	Dynein light chain Tctex-type 1 (T-complex testis-specific protein 1 homolog) (Protein CW-1).	2.1	7.0E-09	9.7E-05
SUCNR1	ENSG00000198829	Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like).	23.9	7.1E-09	1.6E-04
GPR137B	ENSG00000077585	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1).	3.1	7.2E-09	9.7E-05
RHEB	ENSG00000106615	GTP-binding protein Rheb (Ras homolog enriched in brain).	1.4	7.3E-09	1.6E-04
SLC17A5	ENSG00000119899	Sialin (Solute carrier family 17 member 5) (Sodium/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59).	2.6	7.5E-09	9.7E-05
RAB1A	ENSG00000138069	Ras-related protein Rab-1A (YPT1-related protein).	1.9	7.5E-09	1.3E-04
VAMP5	ENSG00000168899	Vesicle-associated membrane protein 5 (VAMP-5) (Myobrevin).	4.7	7.6E-09	6.5E-05
SLC1A3	ENSG00000079215	Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (Glial glutamate transporter) (GLAST-1).	6.7	7.8E-09	1.4E-04
TFEC	ENSG00000105967	transcription factor EC isoform b	3.5	7.9E-09	1.2E-04
CLN3	ENSG00000188603	Protein CLN3 (Battenin) (Batten disease protein).	1.5	7.9E-09	9.7E-05
RAB18	ENSG00000099246	Ras-related protein Rab-18.	1.7	8.0E-09	1.6E-04
HCK	ENSG00000101336	Tyrosine-protein kinase HCK (EC 2.7.10.2) (p59-HCK/p60-HCK) (Hemopoietic cell kinase).	3.9	8.2E-09	1.6E-04
ABCA1	ENSG00000165029	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ATP-binding cassette 1) (ABC-1) (Cholesterol efflux regulatory protein).	3.9	8.4E-09	9.7E-05
RDX	ENSG00000137710	Radixin.	3.9	8.5E-09	3.2E-05
SLC39A11	ENSG00000133195	solute carrier family 39 (metal ion transporter), member 11	3.3	8.6E-09	9.7E-05
CYBB	ENSG00000165168	Cytochrome b-245 heavy chain (p22 phagocyte B-cytochrome) (Neutrophil cytochrome b 91 kDa polypeptide) (CGD91-phox) (gp91-phox) (gp91-1) (Heme-binding membrane glycoprotein gp91phox) (Cytochrome b(558) subunit beta) (Cytochrome b558 subunit beta)	2.8	8.8E-09	2.3E-04
RIN2	ENSG00000132669	Ras and Rab interactor 2 (Ras interaction/interference protein 2) (Ras inhibitor JC265) (Ras association domain family 4).	4.6	9.0E-09	2.3E-04
MT1L	ENSG00000169715	Metallothionein-1E (MT-1E) (Metallothionein-IE) (MT-IE).	22.4	9.9E-09	1.2E-04
GNG10	ENSG00000059769	Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-10 subunit precursor.	1.9	1.0E-08	2.4E-04
IBRDC1	ENSG00000146373	IBR domain-containing protein 1.	4.8	1.0E-08	3.2E-05
NA	ENSG00000043822	phosphatidylinositol 4-kinase type II	3.2	1.1E-08	2.7E-04
UBADC1	ENSG00000130560	ubiquitin associated domain containing 1	1.5	1.1E-08	2.8E-04
TNFAIP2	ENSG00000185215	Tumor necrosis factor, alpha-induced protein 2 (Primary response gene B94 protein).	5.3	1.2E-08	2.9E-04
DOCK4	ENSG00000128512	Dedicator of cytokinesis protein 4.	5.9	1.2E-08	2.9E-04
NA	ENSG00000204437	NA	9.0	1.2E-08	1.5E-04
SH3GLB1	ENSG00000097033	SH3 domain GRB2-like protein B1 (EC 2.3.1.-) (Endophilin B1) (Bax-interacting factor 1) (Bif-1).	1.6	1.3E-08	2.8E-04
SLC15A3	ENSG00000110446	solute carrier family 15, member 3	3.6	1.3E-08	9.7E-05
SLC30A1	ENSG00000170385	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1).	10.1	1.3E-08	3.0E-04
TMED7	ENSG00000134970	Transmembrane emp24 domain-containing protein 7 precursor.	3.6	1.4E-08	1.9E-04
DUSP3	ENSG00000108861	Dual specificity protein phosphatase 3 (EC 3.1.3.48) (EC 3.1.3.16) (Dual specificity protein phosphatase VHR).	5.1	1.4E-08	1.2E-04
NCOA4	ENSG00000138293	Nuclear receptor coactivator 4 (NCoA-4) (70 kDa androgen receptor coactivator) (70 kDa AR-activator) (Ret-activating protein ELE1).	1.6	1.4E-08	2.9E-04
PICALM	ENSG00000073921	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein).	2.2	1.4E-08	3.2E-04
DYSF	ENSG00000135636	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1).	5.0	1.4E-08	3.2E-05
SIRPB1	ENSG00000101307	Signal-regulatory protein beta-1 precursor (SIRP-beta-1) (CD172b antigen).	6.5	1.4E-08	1.3E-04
GLRX	ENSG00000173221	Glutaredoxin-1 (Thioltransferase-1) (TTase-1).	2.2	1.5E-08	2.3E-04
STOM	ENSG00000148175	Erythrocyte band 7 integral membrane protein (Stomatin) (Protein 7.2b).	2.4	1.5E-08	9.7E-05
HEXB	ENSG00000049860	Beta-hexosaminidase beta chain precursor (EC 3.2.1.52) (N-acetyl-beta-glucosaminidase) (Beta-N-acetylhexosaminidase) (Hexosaminidase B) (Cervical cancer proto-oncogene 7) (HCC-7)	2.7	1.5E-08	1.5E-04
NA	ENSG00000122378	Protein C10orf58 precursor.	2.6	1.6E-08	3.6E-04
CHMP5	ENSG00000086065	Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (Vacuolar protein sorting 60) (Vps60) (hVps60) (SNF7 domain-containing protein 2).	2.0	1.6E-08	4.2E-04
NA	ENSG00000168994	Uncharacterized protein C6orf145.	2.5	1.6E-08	4.1E-04
IFI6	ENSG00000126709	Interferon-induced protein 6-16 precursor (Ifi-6-16) (Interferon alpha-inducible protein 6).	4.7	1.7E-08	3.0E-04
CASP5	ENSG00000137757	Caspase-5 precursor (EC 3.4.22.-) (CASP-5) (ICH-3 protease) (TY protease) (ICE(rel)-III) [Contains: Caspase-5 subunit p20; Caspase-5 subunit p10].	20.0	1.7E-08	3.2E-05
SIRPA	ENSG00000198053	Tyrosine-protein phosphatase non-receptor type substrate 1 precursor (SHP substrate 1) (SHPS-1) (Inhibitory receptor SHPS-1) (Signal-regulatory protein alpha-1) (Sirp-alpha-1) (Sirp-alpha-2) (Sirp-alpha-3) (MyD-1 antigen)	5.0	1.8E-08	3.6E-04
LGALS3	ENSG00000131981	Galectin-3 (Galactose-specific lectin 3) (Mac-2 antigen) (IgE-binding protein) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Laminin-binding protein) (Lectin L-29) (L-31) (Galactoside-binding protein) (GALBP).	3.0	1.9E-08	9.7E-05
LRP1	ENSG00000123384	Low-density lipoprotein receptor-related protein 1 precursor (LRP) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD91 antigen).	6.3	1.9E-08	4.3E-04
C1orf38	ENSG00000130775	Induced by contact to basement membrane 1 protein (Protein ICB-1).	2.7	2.0E-08	9.7E-05
MOV10	ENSG00000155363	Putative helicase MOV-10 (EC 3.6.1.-) (Moloney leukemia virus 10 protein).	1.7	2.0E-08	4.7E-04
CD38	ENSG00000004468	ADP-ribosyl cyclase 1 (EC 3.2.2.5) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (Lymphocyte differentiation antigen CD38) (T10) (Acute lymphoblastic leukemia cells antigen CD38).	5.4	2.0E-08	9.7E-05
CARD12	ENSG00000091106	Caspase recruitment domain-containing protein 12 (Ice protease-activating factor) (Ipaf) (CARD, LRR, and NACHT-containing protein) (Clan protein).	6.0	2.0E-08	2.8E-04
TXN	ENSG00000136810	Thioredoxin (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP).	3.2	2.1E-08	2.6E-04
PFKFB4	ENSG00000114268	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 (6PF-2-K/Fru-2,6-P2ASE testis-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)].	6.0	2.1E-08	2.2E-05
CD74	ENSG00000019582	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (p33) (CD74 antigen).	2.8	2.2E-08	5.2E-04
GBP5	ENSG00000154451	Interferon-induced guanylate-binding protein 5 (GTP-binding protein 5) (Guanine nucleotide-binding protein 5) (GBP-TA antigen).	4.9	2.2E-08	1.2E-04
LGALS3BP	ENSG00000108679	Galectin-3-binding protein precursor (Lectin galactoside-binding soluble 3-binding protein) (Mac-2-binding protein) (Mac-2 BP) (MAC2BP) (Tumor-associated antigen 90K).	3.8	2.3E-08	1.2E-04
PTAFR	ENSG00000169403	Platelet-activating factor receptor (PAF-R).	6.2	2.3E-08	1.2E-04
NAGA	ENSG00000198951	Alpha-N-acetylgalactosaminidase precursor (EC 3.2.1.49) (Alpha-galactosidase B).	2.7	2.4E-08	5.2E-04
GZMH	ENSG00000100450	Granzyme H precursor (EC 3.4.21.-) (Cytotoxic T-lymphocyte proteinase) (Cathepsin G-like 2) (CTSGL2) (CCP-X) (Cytotoxic serine protease C) (CSP-C).	9.1	2.4E-08	6.1E-04
RNF149	ENSG00000163162	ring finger protein 149	1.6	2.4E-08	9.7E-05
DPYD	ENSG00000188641	Dihydropyrimidine dehydrogenase [NADP+] precursor (EC 1.3.1.2) (DPD) (DHPDHase) (Dihydrouracil dehydrogenase) (Dihydrothymine dehydrogenase).	2.6	2.5E-08	4.5E-04
DHRS10	ENSG00000087076	Dehydrogenase/reductase SDR family member 10 (EC 1.1.-.-) (Retinal short-chain dehydrogenase/reductase retSDR3).	2.5	2.5E-08	5.8E-04
TNFSF10	ENSG00000121858	Tumor necrosis factor ligand superfamily member 10 (TNF-related apoptosis-inducing ligand) (TRAIL protein) (Apo-2 ligand) (Apo-2L) (CD253 antigen).	3.6	2.5E-08	3.0E-04
PDZD11	ENSG00000120509	PDZ domain-containing protein 11.	1.6	2.6E-08	3.0E-04
GBP1	ENSG00000117228	Interferon-induced guanylate-binding protein 1 (GTP-binding protein 1) (Guanine nucleotide-binding protein 1) (HuGBP-1).	3.0	2.6E-08	6.1E-04
PPGB	ENSG00000064601	Lysosomal protective protein precursor (EC 3.4.16.5) (Cathepsin A) (Carboxypeptidase C) (Protective protein for beta-galactosidase) [Contains: Lysosomal protective protein 32 kDa chain; Lysosomal protective protein 20 kDa chain].	2.2	2.6E-08	4.5E-04
UBC	ENSG00000150991	Ubiquitin.	1.3	2.7E-08	4.5E-04
CD47	ENSG00000196776	Leukocyte surface antigen CD47 precursor (Integrin-associated protein) (IAP) (Antigenic surface determinant protein OA3) (MER6).	1.8	2.7E-08	9.7E-05
FGL2	ENSG00000127951	Fibroleukin precursor (Fibrinogen-like protein 2) (pT49).	6.0	2.7E-08	5.8E-04
RRAGD	ENSG00000025039	Ras-related GTP-binding protein D (Rag D).	3.3	2.7E-08	6.4E-04
NAGLU	ENSG00000108784	Alpha-N-acetylglucosaminidase precursor (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Contains: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form].	2.5	2.8E-08	6.6E-04
SART2	ENSG00000111817	Squamous cell carcinoma antigen recognized by T-cells 2 precursor (SART-2).	2.9	2.9E-08	3.6E-04
AOAH	ENSG00000136250	Acyloxyacyl hydrolase precursor (EC 3.1.1.77) [Contains: Acyloxyacyl hydrolase small subunit; Acyloxyacyl hydrolase large subunit].	4.5	2.9E-08	2.1E-04
SLC35F5	ENSG00000115084	solute carrier family 35, member F5	1.8	2.9E-08	6.7E-04
PLEKHQ1	ENSG00000169094	PH domain-containing protein	2.1	3.0E-08	6.7E-04
CSF1R	ENSG00000182578	Macrophage colony-stimulating factor 1 receptor precursor (CSF-1-R) (EC 2.7.10.1) (Fms proto-oncogene) (c-fms) (CD115 antigen).	4.2	3.0E-08	6.4E-04
PLOD1	ENSG00000083444	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 precursor (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1).	2.6	3.0E-08	3.1E-04
CLEC12A	ENSG00000172322	myeloid inhibitory C-type lectin-like receptor isoform beta	22.7	3.1E-08	1.3E-04
NA	ENSG00000047621	NA	1.9	3.1E-08	4.0E-04
CD300C	ENSG00000167850	CMRF35-A antigen precursor (CMRF-35) (CD300c antigen).	5.5	3.2E-08	6.3E-04
NPC2	ENSG00000119655	Epididymal secretory protein E1 precursor (Niemann-Pick disease type C2 protein) (hE1).	1.9	3.3E-08	7.4E-04
FZD1	ENSG00000157240	Frizzled-1 precursor (Fz-1) (hFz1) (FzE1).	5.0	3.3E-08	4.7E-04
ATP6V1B2	ENSG00000147416	Vacuolar ATP synthase subunit B, brain isoform (EC 3.6.3.14) (V-ATPase B2 subunit) (Vacuolar proton pump B isoform 2) (Endomembrane proton pump 58 kDa subunit) (HO57).	2.9	3.6E-08	2.5E-04
CD274	ENSG00000120217	Programmed cell death 1 ligand 1 precursor (Programmed death ligand 1) (PD-L1) (PDCD1 ligand 1) (B7 homolog 1) (B7-H1) (CD274 antigen).	6.6	3.7E-08	5.2E-04
FCGR1A	ENSG00000150337	High affinity immunoglobulin gamma Fc receptor I precursor (Fc-gamma RI) (FcRI) (IgG Fc receptor I) (CD64 antigen).	35.3	3.8E-08	9.7E-05
STARD3NL	ENSG00000010270	MLN64 N-terminal domain homolog (STARD3 N-terminal-like protein).	1.8	3.8E-08	4.7E-04
C10orf119	ENSG00000197771	NA	1.5	3.8E-08	8.0E-04
C15orf24	ENSG00000134153	Uncharacterized protein C15orf24 precursor.	1.6	3.8E-08	7.4E-04
SDHB	ENSG00000117118	Succinate dehydrogenase [ubiquinone] iron-sulfur protein, mitochondrial precursor (EC 1.3.5.1) (Ip) (Iron-sulfur subunit of complex II).	2.1	3.8E-08	2.5E-04
P2RY6	ENSG00000171631	P2Y purinoceptor 6 (P2Y6).	6.6	3.9E-08	5.4E-05
IDO	ENSG00000131203	Indoleamine 2,3-dioxygenase (EC 1.13.11.42) (IDO) (Indoleamine-pyrrole 2,3-dioxygenase).	9.0	3.9E-08	1.6E-04
RAB7	ENSG00000075785	Ras-related protein Rab-7.	1.7	4.0E-08	6.8E-04
SAMSN1	ENSG00000155307	SAM domain-containing protein SAMSN-1 (SAM domain, SH3 domain and nuclear localisation signals protein 1) (SH3-SAM adaptor protein) (Hematopoietic adaptor containing SH3 and SAM domains 1).	3.0	4.0E-08	2.8E-04
AP2S1	ENSG00000042753	AP-2 complex subunit sigma-1 (Adapter-related protein complex 2 sigma-1 subunit) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (Plasma membrane adaptor AP-2 17 kDa protein) (HA2 17 kDa subunit)	1.6	4.2E-08	1.1E-04
BATF2	ENSG00000168062	basic leucine zipper transcription factor, ATF-like 2	7.0	4.3E-08	5.7E-04
FUT4	ENSG00000196371	Alpha-(1,3)-fucosyltransferase (EC 2.4.1.-) (Galactoside 3-L-fucosyltransferase) (Fucosyltransferase 4) (FUCT-IV) (Fuc-TIV) (ELAM-1 ligand fucosyltransferase).	2.2	4.3E-08	4.3E-04
NA	ENSG00000157107	FCH domain only 2	3.9	4.5E-08	4.0E-04
CENPA	ENSG00000115163	Centromere protein A (CENP-A) (Centromere autoantigen A).	2.3	4.6E-08	9.7E-05
KMO	ENSG00000117009	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase).	3.9	4.6E-08	8.0E-04
PIGT	ENSG00000124155	GPI transamidase component PIG-T precursor (Phosphatidylinositol-glycan biosynthesis, class T protein).	1.4	4.7E-08	4.5E-04
LGALS8	ENSG00000116977	Galectin-8 (Gal-8) (Prostate carcinoma tumor antigen 1) (PCTA-1) (Po66 carbohydrate-binding protein) (Po66-CBP).	1.9	5.1E-08	6.8E-04
CENTA2	ENSG00000184060	Centaurin-alpha 2.	5.6	5.2E-08	8.0E-04
NA	ENSG00000180263	FYVE, RhoGEF and PH domain-containing protein 6 (Zinc finger FYVE domain-containing protein 24).	3.6	5.3E-08	9.2E-04
PLXNC1	ENSG00000136040	Plexin-C1 precursor (Virus-encoded semaphorin protein receptor).	2.5	5.3E-08	9.2E-04
HSBP1	ENSG00000166530	Heat shock factor binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13).	1.7	5.3E-08	4.5E-04
GRN	ENSG00000030582	Granulins precursor (Proepithelin) (PEPI) [Contains: Acrogranin; Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Granulin B); Granulin-4 (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)].	3.1	5.4E-08	5.2E-04
SH3BP2	ENSG00000087266	SH3 domain-binding protein 2 (3BP-2).	2.2	5.4E-08	9.7E-04
FAM105A	ENSG00000145569	NA	3.4	5.5E-08	7.4E-04
TMSB10	ENSG00000034510	Thymosin beta-10.	1.3	5.6E-08	9.2E-04
MKNK1	ENSG00000079277	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (Mnk1).	1.9	5.6E-08	8.7E-04
DERA	ENSG00000023697	Putative deoxyribose-phosphate aldolase (EC 4.1.2.4) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase) (DERA).	1.4	5.9E-08	8.6E-04
ARHGAP18	ENSG00000146376	Rho GTPase activating protein 18	2.0	6.0E-08	2.7E-04
CTSD	ENSG00000117984	Cathepsin D precursor (EC 3.4.23.5) [Contains: Cathepsin D light chain; Cathepsin D heavy chain].	3.4	6.4E-08	1.0E-03
ABHD5	ENSG00000011198	Abhydrolase domain-containing protein 5.	2.3	6.5E-08	9.5E-04
RAB31	ENSG00000168461	Ras-related protein Rab-31 (Rab-22B).	3.1	6.6E-08	1.0E-03
TMEM144	ENSG00000164124	NA	5.8	6.8E-08	3.2E-05
DBNDD2	ENSG00000204070	Dysbindin domain-containing protein 2 (HSMNP1).	2.6	6.8E-08	5.7E-04
TBXAS1	ENSG00000059377	Thromboxane-A synthase (EC 5.3.99.5) (TXA synthase) (TXS) (Cytochrome P450 5A1).	4.5	6.8E-08	1.6E-04
NA	ENSG00000119321	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (Fragment).	2.6	6.8E-08	9.7E-05
OSTM1	ENSG00000081087	Osteopetrosis-associated transmembrane protein 1 precursor.	2.2	6.9E-08	9.7E-05
TSHZ3	ENSG00000121297	Teashirt homolog 3 (Zinc finger protein 537).	9.1	7.0E-08	2.5E-04
PDCD1LG2	ENSG00000197646	Programmed cell death 1 ligand 2 precursor (Programmed death ligand 2) (PD-L2) (PD-1-ligand 2) (PDCD1 ligand 2) (Butyrophilin B7-DC) (B7-DC) (CD273 antigen).	11.8	7.1E-08	1.2E-04
SFXN3	ENSG00000107819	Sideroflexin-3.	2.4	7.1E-08	3.8E-04
TK2	ENSG00000166548	Thymidine kinase 2, mitochondrial precursor (EC 2.7.1.21) (Mt-TK).	1.8	7.4E-08	2.3E-04
CCRL2	ENSG00000121797	C-C chemokine receptor-like 2 (Putative MCP-1 chemokine receptor) (Chemokine receptor CCR11) (Chemokine receptor X).	11.9	7.4E-08	7.4E-04
LOXL3	ENSG00000115318	Lysyl oxidase homolog 3 precursor (EC 1.4.3.-) (Lysyl oxidase-like protein 3).	2.2	7.6E-08	8.9E-04
RHOU	ENSG00000116574	ras homolog gene family, member U	7.2	7.6E-08	3.0E-04
PLAUR	ENSG00000011422	Urokinase plasminogen activator surface receptor precursor (uPAR) (U-PAR) (Monocyte activation antigen Mo3) (CD87 antigen).	10.0	7.8E-08	2.6E-04
NA	ENSG00000122694	Golgi-associated plant pathogenesis-related protein 1 (Golgi-associated PR-1 protein) (GAPR-1) (Glioma pathogenesis-related protein 2) (GliPR 2).	2.4	7.9E-08	6.8E-04
SEPX1	ENSG00000198736	Methionine-R-sulfoxide reductase (EC 1.8.4.-) (Selenoprotein X 1).	2.3	9.0E-08	3.6E-04
ACSL1	ENSG00000151726	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Palmitoyl-CoA ligase 1) (Long-chain fatty acid CoA ligase 2) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Acyl-CoA synthetase 1) (ACS1) (Palmitoyl-CoA ligase 2).	7.5	9.2E-08	9.7E-05
KCNMA1	ENSG00000156113	Calcium-activated potassium channel subunit alpha 1 (Calcium-activated potassium channel, subfamily M subunit alpha 1) (Maxi K channel) (MaxiK) (BK channel) (K(VCA)alpha) (BKCA alpha) (KCa1.1) (Slowpoke homolog) (Slo homolog) (Slo-alpha) (Slo1) (hSlo).	3.6	9.6E-08	1.5E-04
GCH1	ENSG00000131979	GTP cyclohydrolase I (EC 3.5.4.16) (GTP-CH-I).	4.8	9.7E-08	8.7E-05
NA	ENSG00000023318	Thioredoxin domain-containing protein 4 precursor (Endoplasmic reticulum resident protein ERp44).	1.6	9.8E-08	9.2E-04
