Category	Term	Count in Selected Genes	Count in Total Population	P-value	Gene	Title
GO	non-membrane-bound organelle	18	604	0.005934468	85377	MICAL-like 1
GO	non-membrane-bound organelle	18	604	0.005934468	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	non-membrane-bound organelle	18	604	0.005934468	9221	nucleolar and coiled-body phosphoprotein 1
GO	non-membrane-bound organelle	18	604	0.005934468	9948	WD repeat domain 1
GO	tRNA-specific ribonuclease activity	2	10	0.009889893	10799	ribonuclease P 40kDa subunit
GO	tRNA-specific ribonuclease activity	2	10	0.009889893	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	mitochondrial membrane organization and biogenesis	2	10	0.009889893	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	mitochondrial membrane organization and biogenesis	2	10	0.009889893	26515	fracture callus 1 homolog (rat)
GO	mitochondrion	13	416	0.012796001	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	mitochondrion	13	416	0.012796001	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	mitochondrion	13	416	0.012796001	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	mitochondrion	13	416	0.012796001	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	mitochondrion	13	416	0.012796001	204	adenylate kinase 2
GO	mitochondrion	13	416	0.012796001	26515	fracture callus 1 homolog (rat)
GO	mitochondrion	13	416	0.012796001	3954	leucine zipper-EF-hand containing transmembrane protein 1
GO	mitochondrion	13	416	0.012796001	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	mitochondrion	13	416	0.012796001	51373	mitochondrial ribosomal protein S17
GO	mitochondrion	13	416	0.012796001	51651	Bcl-2 inhibitor of transcription
GO	mitochondrion	13	416	0.012796001	6059	ATP-binding cassette, sub-family E (OABP), member 1
GO	mitochondrion	13	416	0.012796001	6183	mitochondrial ribosomal protein S12
GO	mitochondrion	13	416	0.012796001	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	cholesterol metabolism	4	59	0.013075017	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	cholesterol metabolism	4	59	0.013075017	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	cholesterol metabolism	4	59	0.013075017	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	cholesterol metabolism	4	59	0.013075017	3422	isopentenyl-diphosphate delta isomerase 1
GO	intramolecular transferase activity	2	12	0.014213349	5373	phosphomannomutase 2
GO	intramolecular transferase activity	2	12	0.014213349	80324	pseudouridylate synthase 1
GO	NLS-dependent protein nuclear import complex	1	1	0.015482553	10514	MYB binding protein (P160) 1a
GO	acylglycerol lipase activity	1	1	0.015482553	11343	monoglyceride lipase
GO	importin-alpha export receptor activity	1	1	0.015482553	1434	CSE1 chromosome segregation 1-like (yeast)
GO	sterol 14-demethylase activity	1	1	0.015482553	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	actomyosin	1	1	0.015482553	1627	drebrin 1
GO	dihydrolipoyllysine-residue succinyltransferase activity	1	1	0.015482553	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	S-succinyltransferase activity	1	1	0.015482553	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	phosphoribosylamine-glycine ligase activity	1	1	0.015482553	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	phosphoribosylformylglycinamidine cyclo-ligase activity	1	1	0.015482553	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	phosphoribosylglycinamide formyltransferase activity	1	1	0.015482553	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	adenosylmethionine decarboxylase activity	1	1	0.015482553	262	adenosylmethionine decarboxylase 1
GO	spermine biosynthesis	1	1	0.015482553	262	adenosylmethionine decarboxylase 1
GO	spermine metabolism	1	1	0.015482553	262	adenosylmethionine decarboxylase 1
GO	hydroxymethylglutaryl-CoA reductase (NADPH) activity	1	1	0.015482553	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	carotenoid biosynthesis	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	carotenoid metabolism	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	isopentenyl-diphosphate delta-isomerase activity	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	polyisoprenoid biosynthesis	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	polyisoprenoid metabolism	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	terpene biosynthesis	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	terpene metabolism	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	terpenoid biosynthesis	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	terpenoid metabolism	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	tetraterpenoid biosynthesis	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	tetraterpenoid metabolism	1	1	0.015482553	3422	isopentenyl-diphosphate delta isomerase 1
GO	positive regulation of survival gene product activity	1	1	0.015482553	3560	interleukin 2 receptor, beta
GO	tRNA (guanine-N7-)-methyltransferase activity	1	1	0.015482553	4234	methyltransferase like 1
GO	[methionine synthase] reductase activity	1	1	0.015482553	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	1	1	0.015482553	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	NADPH dehydrogenase (quinone) activity	1	1	0.015482553	4835	NAD(P)H dehydrogenase, quinone 2
GO	aminoacyl-tRNA hydrolase activity	1	1	0.015482553	51651	Bcl-2 inhibitor of transcription
GO	U-plasminogen activator receptor activity	1	1	0.015482553	5329	plasminogen activator, urokinase receptor
GO	GDP-mannose biosynthesis	1	1	0.015482553	5373	phosphomannomutase 2
GO	GDP-mannose metabolism	1	1	0.015482553	5373	phosphomannomutase 2
GO	nucleotide-sugar biosynthesis	1	1	0.015482553	5373	phosphomannomutase 2
GO	inositol 1,3,4,5 tetrakisphosphate binding	1	1	0.015482553	55803	centaurin, alpha 2
GO	ethanolamine-phosphate cytidylyltransferase activity	1	1	0.015482553	5833	phosphate cytidylyltransferase 2, ethanolamine
GO	C-4 methylsterol oxidase activity	1	1	0.015482553	6307	sterol-C4-methyl oxidase-like
GO	mevalonate transporter activity	1	1	0.015482553	6566	solute carrier family 16 (monocarboxylic acid transporters), member 1
GO	mevalonate transport	1	1	0.015482553	6566	solute carrier family 16 (monocarboxylic acid transporters), member 1
GO	methotrexate transporter activity	1	1	0.015482553	6573	solute carrier family 19 (folate transporter), member 1
GO	vitamin D3 receptor activity	1	1	0.015482553	7421	vitamin D (1,25- dihydroxyvitamin D3) receptor
GO	apolipoprotein E receptor activity	1	1	0.015482553	7804	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
GO	apolipoprotein receptor activity	1	1	0.015482553	7804	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
GO	tRNA-pseudouridine synthase activity	1	1	0.015482553	80324	pseudouridylate synthase 1
GO	negative regulation of glucose import	1	1	0.015482553	8682	phosphoprotein enriched in astrocytes 15
GO	D-erythro-sphingosine kinase activity	1	1	0.015482553	8877	sphingosine kinase 1
GO	positive regulation of mitotic cell cycle	1	1	0.015482553	8877	sphingosine kinase 1
GO	positive regulation of muscle contraction	1	1	0.015482553	8877	sphingosine kinase 1
GO	positive regulation of smooth muscle contraction	1	1	0.015482553	8877	sphingosine kinase 1
GO	sphingosine metabolism	1	1	0.015482553	8877	sphingosine kinase 1
GO	prenyl-dependent CAAX protease activity	1	1	0.015482553	9986	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)
GO	isomerase activity	5	97	0.017312726	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	isomerase activity	5	97	0.017312726	1736	dyskeratosis congenita 1, dyskerin
GO	isomerase activity	5	97	0.017312726	3422	isopentenyl-diphosphate delta isomerase 1
GO	isomerase activity	5	97	0.017312726	5373	phosphomannomutase 2
GO	isomerase activity	5	97	0.017312726	80324	pseudouridylate synthase 1
GO	biosynthesis	18	686	0.019973479	1503	CTP synthase
GO	biosynthesis	18	686	0.019973479	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	biosynthesis	18	686	0.019973479	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	biosynthesis	18	686	0.019973479	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	biosynthesis	18	686	0.019973479	262	adenosylmethionine decarboxylase 1
GO	biosynthesis	18	686	0.019973479	3035	histidyl-tRNA synthetase
GO	biosynthesis	18	686	0.019973479	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	biosynthesis	18	686	0.019973479	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	biosynthesis	18	686	0.019973479	3422	isopentenyl-diphosphate delta isomerase 1
GO	biosynthesis	18	686	0.019973479	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	biosynthesis	18	686	0.019973479	51373	mitochondrial ribosomal protein S17
GO	biosynthesis	18	686	0.019973479	5373	phosphomannomutase 2
GO	biosynthesis	18	686	0.019973479	5833	phosphate cytidylyltransferase 2, ethanolamine
GO	biosynthesis	18	686	0.019973479	6183	mitochondrial ribosomal protein S12
GO	biosynthesis	18	686	0.019973479	6307	sterol-C4-methyl oxidase-like
GO	biosynthesis	18	686	0.019973479	7965	JTV1 gene
GO	biosynthesis	18	686	0.019973479	80308	Fad1, flavin adenine dinucleotide synthetase, homolog (yeast)
GO	biosynthesis	18	686	0.019973479	8891	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa
GO	ligase activity, forming phosphoric ester bonds	3	38	0.020723192	10061	ATP-binding cassette, sub-family F (GCN20), member 2
GO	ligase activity, forming phosphoric ester bonds	3	38	0.020723192	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	ligase activity, forming phosphoric ester bonds	3	38	0.020723192	3035	histidyl-tRNA synthetase
GO	mitochondrion organization and biogenesis	2	15	0.021935332	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	mitochondrion organization and biogenesis	2	15	0.021935332	26515	fracture callus 1 homolog (rat)
GO	cytokine and chemokine mediated signaling pathway	2	15	0.021935332	3560	interleukin 2 receptor, beta
GO	cytokine and chemokine mediated signaling pathway	2	15	0.021935332	7804	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
GO	cellular_component	98	5417	0.024314721	10061	ATP-binding cassette, sub-family F (GCN20), member 2
GO	cellular_component	98	5417	0.024314721	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	cellular_component	98	5417	0.024314721	10439	olfactomedin 1
GO	cellular_component	98	5417	0.024314721	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	cellular_component	98	5417	0.024314721	10514	MYB binding protein (P160) 1a
GO	cellular_component	98	5417	0.024314721	10528	nucleolar protein 5A (56kDa with KKE/D repeat)
GO	cellular_component	98	5417	0.024314721	10785	WD repeat domain 4
GO	cellular_component	98	5417	0.024314721	10799	ribonuclease P 40kDa subunit
GO	cellular_component	98	5417	0.024314721	10915	transcription elongation regulator 1
GO	cellular_component	98	5417	0.024314721	11007	hepatitis delta antigen-interacting protein A
GO	cellular_component	98	5417	0.024314721	11015	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
GO	cellular_component	98	5417	0.024314721	11033	centaurin, alpha 1
GO	cellular_component	98	5417	0.024314721	1434	CSE1 chromosome segregation 1-like (yeast)
GO	cellular_component	98	5417	0.024314721	1465	cysteine and glycine-rich protein 1
GO	cellular_component	98	5417	0.024314721	1627	drebrin 1
GO	cellular_component	98	5417	0.024314721	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	cellular_component	98	5417	0.024314721	1736	dyskeratosis congenita 1, dyskerin
GO	cellular_component	98	5417	0.024314721	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	cellular_component	98	5417	0.024314721	1876	E2F transcription factor 6
GO	cellular_component	98	5417	0.024314721	1959	early growth response 2 (Krox-20 homolog, Drosophila)
GO	cellular_component	98	5417	0.024314721	1960	early growth response 3
GO	cellular_component	98	5417	0.024314721	204	adenylate kinase 2
GO	cellular_component	98	5417	0.024314721	2119	ets variant gene 5 (ets-related molecule)
GO	cellular_component	98	5417	0.024314721	2274	four and a half LIM domains 2
GO	cellular_component	98	5417	0.024314721	22984	programmed cell death 11
GO	cellular_component	98	5417	0.024314721	23076	KIAA0179
GO	cellular_component	98	5417	0.024314721	23210	phosphatidylserine receptor
GO	cellular_component	98	5417	0.024314721	23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	23404	exosome component 2
GO	cellular_component	98	5417	0.024314721	23481	pescadillo homolog 1, containing BRCT domain (zebrafish)
GO	cellular_component	98	5417	0.024314721	25888	zinc finger protein 473
GO	cellular_component	98	5417	0.024314721	262	adenosylmethionine decarboxylase 1
GO	cellular_component	98	5417	0.024314721	26515	fracture callus 1 homolog (rat)
GO	cellular_component	98	5417	0.024314721	27346	hypothetical protein MAC30
GO	cellular_component	98	5417	0.024314721	2817	glypican 1
GO	cellular_component	98	5417	0.024314721	29095	ORM1-like 2 (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	29107	NTF2-like export factor 1
GO	cellular_component	98	5417	0.024314721	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	cellular_component	98	5417	0.024314721	3163	heme oxygenase (decycling) 2
GO	cellular_component	98	5417	0.024314721	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	cellular_component	98	5417	0.024314721	3422	isopentenyl-diphosphate delta isomerase 1
GO	cellular_component	98	5417	0.024314721	3954	leucine zipper-EF-hand containing transmembrane protein 1
GO	cellular_component	98	5417	0.024314721	4016	lysyl oxidase-like 1
GO	cellular_component	98	5417	0.024314721	402055	similar to SRR1-like protein
GO	cellular_component	98	5417	0.024314721	4175	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	4234	methyltransferase like 1
GO	cellular_component	98	5417	0.024314721	4487	msh homeo box homolog 1 (Drosophila)
GO	cellular_component	98	5417	0.024314721	4552	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
GO	cellular_component	98	5417	0.024314721	4839	nucleolar protein 1, 120kDa
GO	cellular_component	98	5417	0.024314721	51042	zinc finger protein 593
GO	cellular_component	98	5417	0.024314721	51154	chromosome 1 open reading frame 33
GO	cellular_component	98	5417	0.024314721	51373	mitochondrial ribosomal protein S17
GO	cellular_component	98	5417	0.024314721	51388	comparative gene identification transcript 37
GO	cellular_component	98	5417	0.024314721	51491	hypothetical protein HSPC111
GO	cellular_component	98	5417	0.024314721	51651	Bcl-2 inhibitor of transcription
GO	cellular_component	98	5417	0.024314721	5411	pinin, desmosome associated protein
GO	cellular_component	98	5417	0.024314721	54475	notchless homolog 1 (Drosophila)
GO	cellular_component	98	5417	0.024314721	55299	brix domain containing 2
GO	cellular_component	98	5417	0.024314721	56342	peter pan homolog (Drosophila)
GO	cellular_component	98	5417	0.024314721	5833	phosphate cytidylyltransferase 2, ethanolamine
GO	cellular_component	98	5417	0.024314721	58517	RNA binding motif protein 25
GO	cellular_component	98	5417	0.024314721	59	actin, alpha 2, smooth muscle, aorta
GO	cellular_component	98	5417	0.024314721	6059	ATP-binding cassette, sub-family E (OABP), member 1
GO	cellular_component	98	5417	0.024314721	6183	mitochondrial ribosomal protein S12
GO	cellular_component	98	5417	0.024314721	6307	sterol-C4-methyl oxidase-like
GO	cellular_component	98	5417	0.024314721	64318	nucleolar complex associated 3 homolog (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	6432	splicing factor, arginine/serine-rich 7, 35kDa
GO	cellular_component	98	5417	0.024314721	65083	nucleolar protein family 6 (RNA-associated)
GO	cellular_component	98	5417	0.024314721	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	cellular_component	98	5417	0.024314721	6722	serum response factor (c-fos serum response element-binding transcription factor)
GO	cellular_component	98	5417	0.024314721	7168	tropomyosin 1 (alpha)
GO	cellular_component	98	5417	0.024314721	72	actin, gamma 2, smooth muscle, enteric
GO	cellular_component	98	5417	0.024314721	7414	vinculin
GO	cellular_component	98	5417	0.024314721	7421	vitamin D (1,25- dihydroxyvitamin D3) receptor
GO	cellular_component	98	5417	0.024314721	7851	mal, T-cell differentiation protein-like
GO	cellular_component	98	5417	0.024314721	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	cellular_component	98	5417	0.024314721	79954	nucleolar protein 10
GO	cellular_component	98	5417	0.024314721	80324	pseudouridylate synthase 1
GO	cellular_component	98	5417	0.024314721	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	81688	chromosome 6 open reading frame 62
GO	cellular_component	98	5417	0.024314721	81875	interferon stimulated exonuclease gene 20kDa-like 2
GO	cellular_component	98	5417	0.024314721	8260	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	84617	tubulin, beta 6
GO	cellular_component	98	5417	0.024314721	85377	MICAL-like 1
GO	cellular_component	98	5417	0.024314721	8555	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
GO	cellular_component	98	5417	0.024314721	8682	phosphoprotein enriched in astrocytes 15
GO	cellular_component	98	5417	0.024314721	8880	far upstream element (FUSE) binding protein 1
GO	cellular_component	98	5417	0.024314721	896	cyclin D3
GO	cellular_component	98	5417	0.024314721	9134	cyclin E2
GO	cellular_component	98	5417	0.024314721	9136	RNA, U3 small nucleolar interacting protein 2
GO	cellular_component	98	5417	0.024314721	9188	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21
GO	cellular_component	98	5417	0.024314721	9221	nucleolar and coiled-body phosphoprotein 1
GO	cellular_component	98	5417	0.024314721	9277	WD repeat domain 46
GO	cellular_component	98	5417	0.024314721	9355	LIM homeobox 2
GO	cellular_component	98	5417	0.024314721	9454	homer homolog 3 (Drosophila)
GO	cellular_component	98	5417	0.024314721	9933	KIAA0020
GO	cellular_component	98	5417	0.024314721	9948	WD repeat domain 1
GO	cellular_component	98	5417	0.024314721	9986	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)
GO	telomere maintenance	2	17	0.027843499	1736	dyskeratosis congenita 1, dyskerin
GO	telomere maintenance	2	17	0.027843499	3184	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
GO	actin filament	2	17	0.027843499	59	actin, alpha 2, smooth muscle, aorta
GO	actin filament	2	17	0.027843499	72	actin, gamma 2, smooth muscle, enteric
GO	ribonuclease activity	3	43	0.028667269	10799	ribonuclease P 40kDa subunit
GO	ribonuclease activity	3	43	0.028667269	23404	exosome component 2
GO	ribonuclease activity	3	43	0.028667269	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	mitochondrial membrane	4	76	0.030143502	10061	ATP-binding cassette, sub-family F (GCN20), member 2
GO	mitochondrial membrane	4	76	0.030143502	55803	centaurin, alpha 2
GO	mitochondrial membrane	4	76	0.030143502	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	mitochondrial membrane	4	76	0.030143502	9673	KIAA0446 gene product
GO	nucleocytoplasmic shuttling complex	1	2	0.030726594	10514	MYB binding protein (P160) 1a
GO	prenylated protein tyrosine phosphatase activity	1	2	0.030726594	11156	protein tyrosine phosphatase type IVA, member 3
GO	CTP synthase activity	1	2	0.030726594	1503	CTP synthase
GO	oxoglutarate dehydrogenase complex	1	2	0.030726594	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	phenylalanine-tRNA ligase activity	1	2	0.030726594	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	phenylalanyl-tRNA aminoacylation	1	2	0.030726594	2193	phenylalanine-tRNA synthetase-like, alpha subunit
GO	nucleolar preribosome, small subunit precursor	1	2	0.030726594	23076	KIAA0179
GO	nucleolar preribosome	1	2	0.030726594	23076	KIAA0179
GO	preribosome	1	2	0.030726594	23076	KIAA0179
GO	cyclo-ligase activity	1	2	0.030726594	2618	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
GO	histidine-tRNA ligase activity	1	2	0.030726594	3035	histidyl-tRNA synthetase
GO	histidyl-tRNA aminoacylation	1	2	0.030726594	3035	histidyl-tRNA synthetase
GO	hydroxymethylglutaryl-CoA synthase activity	1	2	0.030726594	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	heme oxidation	1	2	0.030726594	3163	heme oxygenase (decycling) 2
GO	heme oxygenase (decyclizing) activity	1	2	0.030726594	3163	heme oxygenase (decycling) 2
GO	NAD(P)H dehydrogenase (quinone) activity	1	2	0.030726594	4835	NAD(P)H dehydrogenase, quinone 2
GO	mannose biosynthesis	1	2	0.030726594	5373	phosphomannomutase 2
GO	phosphomannomutase activity	1	2	0.030726594	5373	phosphomannomutase 2
GO	phosphatidylinositol-3,4,5-triphosphate binding	1	2	0.030726594	55803	centaurin, alpha 2
GO	reduced folate carrier activity	1	2	0.030726594	6573	solute carrier family 19 (folate transporter), member 1
GO	pseudouridine synthase activity	1	2	0.030726594	80324	pseudouridylate synthase 1
GO	RNA splicing, via endonucleolytic cleavage and ligation	1	2	0.030726594	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	tRNA splicing	1	2	0.030726594	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	tRNA-intron endonuclease activity	1	2	0.030726594	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	tRNA-intron endonuclease complex	1	2	0.030726594	80746	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)
GO	internal protein amino acid acetylation	1	2	0.030726594	8260	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)
GO	positive regulation of fibroblast proliferation	1	2	0.030726594	8877	sphingosine kinase 1
GO	regulation of fibroblast proliferation	1	2	0.030726594	8877	sphingosine kinase 1
GO	sphinganine kinase activity	1	2	0.030726594	8877	sphingosine kinase 1
GO	sphingoid catabolism	1	2	0.030726594	8877	sphingosine kinase 1
GO	sodium-dependent multivitamin transporter activity	1	2	0.030726594	8884	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
GO	bicarbonate transport	1	2	0.030726594	9497	solute carrier family 4, sodium bicarbonate cotransporter, member 7
GO	actin filament organization	2	18	0.031009866	1627	drebrin 1
GO	actin filament organization	2	18	0.031009866	6624	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	6566	solute carrier family 16 (monocarboxylic acid transporters), member 1
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	6573	solute carrier family 19 (folate transporter), member 1
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	8682	phosphoprotein enriched in astrocytes 15
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	8884	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
GO	electrochemical potential-driven transporter activity	6	155	0.03350416	9497	solute carrier family 4, sodium bicarbonate cotransporter, member 7
GO	porter activity	6	155	0.03350416	6566	solute carrier family 16 (monocarboxylic acid transporters), member 1
GO	porter activity	6	155	0.03350416	6573	solute carrier family 19 (folate transporter), member 1
GO	porter activity	6	155	0.03350416	79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
GO	porter activity	6	155	0.03350416	8682	phosphoprotein enriched in astrocytes 15
GO	porter activity	6	155	0.03350416	8884	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
GO	porter activity	6	155	0.03350416	9497	solute carrier family 4, sodium bicarbonate cotransporter, member 7
GO	rhythmic process	2	19	0.034311036	1960	early growth response 3
GO	rhythmic process	2	19	0.034311036	402055	similar to SRR1-like protein
GO	anti-apoptosis	4	80	0.035452029	3560	interleukin 2 receptor, beta
GO	anti-apoptosis	4	80	0.035452029	57019	cytokine induced apoptosis inhibitor 1
GO	anti-apoptosis	4	80	0.035452029	8682	phosphoprotein enriched in astrocytes 15
GO	anti-apoptosis	4	80	0.035452029	8877	sphingosine kinase 1
GO	lipid biosynthesis	6	158	0.036279871	1595	cytochrome P450, family 51, subfamily A, polypeptide 1
GO	lipid biosynthesis	6	158	0.036279871	3156	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
GO	lipid biosynthesis	6	158	0.036279871	3157	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
GO	lipid biosynthesis	6	158	0.036279871	3422	isopentenyl-diphosphate delta isomerase 1
GO	lipid biosynthesis	6	158	0.036279871	5833	phosphate cytidylyltransferase 2, ethanolamine
GO	lipid biosynthesis	6	158	0.036279871	6307	sterol-C4-methyl oxidase-like
GO	intracellular membrane-bound organelle	64	3379	0.036449173	10105	peptidylprolyl isomerase F (cyclophilin F)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	10439	olfactomedin 1
GO	intracellular membrane-bound organelle	64	3379	0.036449173	10440	translocase of inner mitochondrial membrane 17 homolog A (yeast)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	10799	ribonuclease P 40kDa subunit
GO	intracellular membrane-bound organelle	64	3379	0.036449173	10915	transcription elongation regulator 1
GO	intracellular membrane-bound organelle	64	3379	0.036449173	11015	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
GO	intracellular membrane-bound organelle	64	3379	0.036449173	11033	centaurin, alpha 1
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1434	CSE1 chromosome segregation 1-like (yeast)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1465	cysteine and glycine-rich protein 1
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1678	translocase of inner mitochondrial membrane 8 homolog A (yeast)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1743	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1876	E2F transcription factor 6
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1959	early growth response 2 (Krox-20 homolog, Drosophila)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	1960	early growth response 3
GO	intracellular membrane-bound organelle	64	3379	0.036449173	204	adenylate kinase 2
GO	intracellular membrane-bound organelle	64	3379	0.036449173	2119	ets variant gene 5 (ets-related molecule)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	2274	four and a half LIM domains 2
GO	intracellular membrane-bound organelle	64	3379	0.036449173	22984	programmed cell death 11
GO	intracellular membrane-bound organelle	64	3379	0.036449173	23076	KIAA0179
GO	intracellular membrane-bound organelle	64	3379	0.036449173	23210	phosphatidylserine receptor
GO	intracellular membrane-bound organelle	64	3379	0.036449173	23212	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
GO	intracellular membrane-bound organelle	64	3379	0.036449173	23404	exosome component 2
