Probe Set	Gene Symbol	Gene Title
221962_s_at	UBE2H	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
212074_at	UNC84A	unc-84 homolog A (C. elegans)
220079_s_at	USP48	ubiquitin specific peptidase 48
226063_at	VAV2	vav 2 guanine nucleotide exchange factor
220917_s_at	WDR19	WD repeat domain 19
219809_at	WDR55	WD repeat domain 55
226564_at	ZFAT	zinc finger and AT hook domain containing
201857_at	ZFR	zinc finger RNA binding protein
214795_at	ZMYND8	zinc finger, MYND-type containing 8
231369_at	ZNF333	Zinc finger protein 333
227195_at	ZNF503	zinc finger protein 503
229817_at	ZNF608	zinc finger protein 608
225945_at	ZNF655	zinc finger protein 655
218639_s_at	ZXDC	ZXD family zinc finger C
1556304_s_at	NA	NA
1559049_a_at	NA	NA
1559067_a_at	NA	NA
1561486_at	NA	NA
1562745_at	NA	NA
1563340_at	NA	NA
213484_at	NA	NA
216565_x_at	NA	NA
224811_at	NA	NA
224996_at	NA	NA
226542_at	NA	NA
226974_at	NA	NA
227492_at	NA	NA
227615_at	NA	NA
227943_at	NA	NA
228049_x_at	NA	NA
230407_at	NA	NA
230486_at	NA	NA
230874_at	NA	NA
232979_at	NA	NA
234423_x_at	NA	NA
235505_s_at	NA	NA
235824_at	NA	NA
236192_at	NA	NA
236330_at	NA	NA
236398_s_at	NA	NA
236553_at	NA	NA
237571_at	NA	NA
238668_at	NA	NA
239209_at	NA	NA
239277_at	NA	NA
239555_at	NA	NA
239669_at	NA	NA
239988_at	NA	NA
240671_at	NA	NA
241464_s_at	NA	NA
241948_at	NA	NA
242351_at	NA	NA
242708_at	NA	NA
243806_at	NA	NA
244037_at	NA	NA
244650_at	NA	NA
