Rank	High in	p-value	FDR (%)	Probe set ID	Gene Symbol	Gene Description
311	Pos	0.0012635	0.9484	209604_s_at	GATA3	GATA binding protein 3
312	Pos	0.00064807	0.9484	225883_at	ATG16L2	ATG16 autophagy related 16-like 2 (S. cerevisiae)
313	Pos	0.00006548	0.9484	209627_s_at	OSBPL3	oxysterol binding protein-like 3
314	Pos	0.00213666	0.9484	201170_s_at	BHLHB2	basic helix-loop-helix domain containing, class B, 2
315	Pos	0.00022148	0.9484	226267_at	JDP2	jun dimerization protein 2
316	Pos	0.00005968	0.9484	232614_at	---	CDNA FLJ12049 fis, clone HEMBB1001996
317	Pos	0.00041778	0.9484	204689_at	HHEX	hematopoietically expressed homeobox
318	Pos	0.00010226	0.9484	205462_s_at	HPCAL1	hippocalcin-like 1
319	Neg	0.00020534	0.9484	210279_at	GPR18	G protein-coupled receptor 18
320	Neg	0.00643099	0.9484	208703_s_at	APLP2	amyloid beta (A4) precursor-like protein 2
321	Pos	0.00011574	0.9484	207986_x_at	CYB561	cytochrome b-561
322	Neg	0.00001756	0.9484	218344_s_at	RCOR3	REST corepressor 3
323	Neg	0.00082334	0.9484	225147_at	PSCD3	pleckstrin homology, Sec7 and coiled-coil domains 3
324	Pos	0.00102169	0.9484	202371_at	TCEAL4	transcription elongation factor A (SII)-like 4
325	Pos	0.00410051	0.9484	205407_at	RECK	reversion-inducing-cysteine-rich protein with kazal motifs
326	Pos	0.00005631	0.9484	227502_at	KIAA1147	KIAA1147
327	Pos	0.00127566	0.9484	224697_at	WDR22	WD repeat domain 22
328	Pos	0.00100198	0.9484	228412_at	LOC643072	hypothetical LOC643072
329	Pos	0.00229906	0.9484	236395_at	---	Transcribed locus
330	Pos	0.00064807	0.9484	207761_s_at	METTL7A	methyltransferase like 7A
331	Neg	0.00097307	0.9484	209383_at	DDIT3	DNA-damage-inducible transcript 3
332	Pos	0.00104176	0.9484	227001_at	NPAL2	NIPA-like domain containing 2
333	Pos	0.00011574	0.9484	241916_at	---	Transcribed locus
334	Pos	0.00060391	0.9484	201328_at	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
335	Pos	0.00089972	0.9484	228623_at	---	Transcribed locus
336	Neg	0.00001012	0.9484	226233_at	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2
337	Neg	0.00042213	0.9484	204998_s_at	ATF5	activating transcription factor 5
338	Pos	0.00215637	0.9484	218400_at	OAS3	2-5-oligoadenylate synthetase 3, 100kDa
339	Pos	0.00019238	0.9484	243279_at	---	Transcribed locus
340	Pos	0.00251794	0.9484	230161_at	---	Transcribed locus
341	Neg	0.00019449	0.9484	228049_x_at	---	Transcribed locus, strongly similar to XP_001172939.1 PREDICTED: hypothetical protein [Pan troglodytes]
342	Neg	0.00023374	0.9484	226118_at	CENPO	centromere protein O
343	Pos	0.00003596	0.9484	209195_s_at	ADCY6	adenylate cyclase 6
344	Pos	0.00000409	0.9484	227132_at	ZNF706	zinc finger protein 706
345	Neg	0.00611754	0.9484	215772_x_at	SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit
346	Pos	0.00039664	0.9484	212326_at	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)
347	Pos	0.00049267	0.9484	209933_s_at	CD300A	CD300a molecule
348	Neg	0.00028636	0.9484	220719_at	FLJ13769	hypothetical protein FLJ13769
349	Pos	0.00009998	0.9484	243356_at	---	Transcribed locus
350	Neg	0.00144382	0.9484	204735_at	PDE4A	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
351	Neg	0.00196658	0.9484	203505_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
352	Pos	0.00003863	0.9484	1555420_a_at	KLF7	Kruppel-like factor 7 (ubiquitous)
