Probe Set ID	Gene Title	Symbol	Location	Entrez	Pearson r	P-Value	Spearman r	P-Value	Pearson r	P-Value	Spearman r	P-Value
234184_at	Low density lipoprotein-related protein 1B (deleted in tumors)	LRP1B	2q21.2	53353	-0.38152	0.0044	-0.38131	0.0044	-0.3615	0.0072	-0.30102	0.027
234192_s_at	G kinase anchoring protein 1	GKAP1	9q21.32	80318	0.32097	0.018	0.29365	0.0311	0.35748	0.008	0.29787	0.0287
235053_at	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11	17q22	1353	0.36381	0.0068	0.40117	0.0026	0.27605	0.0433	0.27598	0.0434
235352_at	CDNA FLJ31593 fis, clone NT2RI2002481	---	---	---	0.32555	0.0163	0.35059	0.0093	0.38352	0.0042	0.36539	0.0066
235387_at	glutathione S-transferase, C-terminal domain containing	GSTCD	4q24	79807	0.33831	0.0123	0.33561	0.0131	0.46932	0.0003	0.48288	0.0002
235612_at	Transcribed locus, moderately similar to XP_514612.1 PREDICTED: similar to Rnpc2 protein [Pan troglodytes]	---	---	---	0.37124	0.0057	0.36722	0.0063	0.52221	0.0001	0.40136	0.0026
235902_at	Similar to Neuronal acetylcholine receptor protein, beta-4 subunit precursor (Neuronal acetylcholine receptor non-alpha-2 chain) (N-alpha 2)	LOC645172	---	645172	0.34245	0.0113	0.31334	0.021	0.32241	0.0174	0.34395	0.0109
235956_at	KIAA1377	KIAA1377	11q22.1	57562	0.32046	0.0182	0.38131	0.0044	0.33614	0.013	0.39712	0.0029
235976_at	SLIT and NTRK-like family, member 6	SLITRK6	13q31.1	84189	0.35792	0.0079	0.42942	0.0012	0.51493	0.0001	0.56717	0.0001
236029_at	FAT tumor suppressor homolog 3 (Drosophila)	FAT3	11q14.3	120114	0.30676	0.0241	0.30073	0.0271	0.3932	0.0033	0.29795	0.0287
236325_at	KIAA1377	KIAA1377	11q22.1	57562	0.38322	0.0042	0.35017	0.0094	0.34062	0.0117	0.38301	0.0043
236376_at	Transcribed locus	---	---	---	-0.317	0.0195	-0.3403	0.0118	-0.43622	0.001	-0.43904	0.0009
236656_s_at	Full length insert cDNA YI37C01	---	---	---	0.37437	0.0053	0.49769	0.0001	0.36484	0.0067	0.3941	0.0032
236838_at	Homo sapiens, clone IMAGE:4940467, mRNA	---	---	---	-0.36353	0.0069	-0.35316	0.0088	-0.40978	0.0021	-0.40422	0.0024
237400_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	ATP5S	14q22.1	27109	0.35815	0.0078	0.3493	0.0096	0.49802	0.0001	0.45899	0.0005
237444_at	Transcribed locus	---	---	---	0.30144	0.0268	0.33598	0.013	0.31547	0.0201	0.30935	0.0228
237488_at	Heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	14q11.2	3183	-0.36787	0.0062	-0.30126	0.0269	-0.51384	0.0001	-0.46457	0.0004
237861_at	Zinc finger protein 23 (KOX 16)	ZNF23	16q22	7571	-0.29506	0.0303	-0.33663	0.0128	-0.38214	0.0044	-0.39342	0.0032
238333_s_at	Mitochondrial GTPase 1 homolog (S. cerevisiae)	MTG1	10q26.3	92170	0.43372	0.0011	0.4612	0.0004	0.32533	0.0164	0.36443	0.0067
238497_at	transmembrane protein 136	TMEM136	11q23.3	219902	0.32787	0.0155	0.28706	0.0353	0.44676	0.0007	0.37224	0.0056
238601_at	Transcribed locus	---	---	---	0.32256	0.0174	0.30615	0.0244	0.40329	0.0025	0.34696	0.0102
238681_at	glycerophosphodiest er phosphodiesterase domain containing 1	GDPD1	17q22	284161	0.31266	0.0213	0.27941	0.0407	0.34641	0.0103	0.34544	0.0105
238712_at	Forkhead box P1	FOXP1	3p14.1	27086	0.32352	0.017	0.37973	0.0046	0.372	0.0056	0.36989	0.0059
238722_x_at	N-acyl-phosphatidylethanol amine-hydrolyzing phospholipase D	NAPE-PLD	7q22.1	222236	0.32114	0.0179	0.26835	0.0498	0.40166	0.0026	0.40357	0.0025
238839_at	orthodenticle homolog 1 (Drosophila)	OTX1	2p13	5013	-0.30114	0.0269	-0.30891	0.023	-0.40311	0.0025	-0.38065	0.0045
239344_at	Cerebellin 1 precursor	CBLN1	16q12.1	869	-0.31868	0.0188	-0.34601	0.0104	-0.34686	0.0102	-0.33942	0.012
239349_at	C1q and tumor necrosis factor related protein 7	C1QTNF7	4p16-p15	114905	0.35581	0.0083	0.30794	0.0235	0.45482	0.0005	0.39442	0.0032
239644_at	Hypothetical protein FLJ37440	FLJ37440	2q13	129804	0.3427	0.0112	0.34321	0.0111	0.34833	0.0098	0.35356	0.0087
239717_at	Cholinergic receptor, nicotinic, alpha 10	CHRNA10	11p15.5	57053	-0.45349	0.0006	-0.36327	0.0069	-0.35621	0.0082	-0.37424	0.0053
239822_at	CDNA clone IMAGE:4816129	---	---	---	0.28709	0.0353	0.2924	0.0319	0.46903	0.0003	0.4601	0.0005
239847_at	CDNA clone IMAGE:6186815	---	---	---	0.35577	0.0083	0.29398	0.031	0.51198	0.0001	0.37523	0.0052
240242_at	Transcribed locus	---	---	---	0.39902	0.0028	0.43168	0.0011	0.42267	0.0015	0.28386	0.0375
240501_at	Transcribed locus, weakly similar to NP_689672.2 hypothetical protein MGC45438 [Homo sapiens]	---	---	---	-0.46513	0.0004	-0.44527	0.0007	-0.48438	0.0002	-0.56116	0.0001
240630_at	Retinoic acid receptor, alpha	RARA	17q21	5914	-0.35454	0.0085	-0.27903	0.041	-0.49266	0.0002	-0.49261	0.0002
241434_at	Intracisternal A particle-promoted polypeptide	IPP	1p34-p32	3652	0.41871	0.0016	0.38653	0.0039	0.31037	0.0224	0.27144	0.0471
241640_at	B-cell receptor-associated protein 29	BCAP29	7q22-q31	55973	-0.3513	0.0092	-0.34361	0.011	-0.43854	0.0009	-0.56721	0.0001
242133_s_at	Lymphocyte-specific protein 1	LSP1	2p11.1	654342	0.41264	0.0019	0.38088	0.0045	0.36218	0.0071	0.40235	0.0026
242177_at	Transcribed locus	---	---	---	-0.34788	0.0099	-0.30097	0.027	-0.30122	0.0269	-0.32057	0.0181
242424_at	LETM1 domain containing 1	LETMD1	12q13.13	25875	0.33381	0.0136	0.3419	0.0114	0.31736	0.0194	0.36298	0.007
242500_at	---	---	---	---	0.37545	0.0051	0.46175	0.0004	0.42808	0.0012	0.50817	0.0001
242504_at	Lipoprotein, Lp(a)-like 2	LPAL2	6q26-q27	80350	-0.40833	0.0022	-0.39533	0.0031	-0.51767	0.0001	-0.58647	0.0001
242525_at	---	---	---	---	-0.28837	0.0345	-0.28429	0.0372	-0.42101	0.0015	-0.32324	0.0171
242683_at	hypothetical gene supported by AK095347	FLJ38028	18p11.31	400643	-0.27786	0.0419	-0.39333	0.0033	-0.41817	0.0017	-0.50141	0.0001
243100_at	5-nucleotidase, cytosolic IB	NT5C1B	2p24.2	93034	-0.39635	0.003	-0.33827	0.0124	-0.36072	0.0074	-0.28716	0.0353
244437_at	Chromosome 12 open reading frame 62	C12orf62	12q13.13	84987	-0.2993	0.0279	-0.30211	0.0264	-0.36137	0.0073	-0.32267	0.0173
244473_at	Activating transcription factor 7	ATF7	12q13	11016	0.31333	0.0211	0.37345	0.0054	0.37037	0.0058	0.39079	0.0035
244667_at	CDNA FLJ35683 fis, clone SPLEN2019131	---	---	---	-0.35566	0.0083	-0.35423	0.0086	-0.40672	0.0023	-0.36171	0.0072
244685_at	Angel homolog 1 (Drosophila)	ANGEL1	14q24.3	23357	-0.45393	0.0006	-0.41045	0.0021	-0.47904	0.0002	-0.45289	0.0006
32540_at	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)	PPP3CC	8p21.3	5533	-0.31369	0.0209	-0.30403	0.0254	-0.46211	0.0004	-0.45858	0.0005
45288_at	abhydrolase domain containing 6	ABHD6	3p14.3	57406	0.36108	0.0073	0.37875	0.0047	0.42399	0.0014	0.36611	0.0065
64432_at	chromosome 12 open reading frame 47	C12orf47	12q24.12	51275	0.32227	0.0175	0.35819	0.0078	0.37763	0.0049	0.41612	0.0018
