Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
TMEM64	225972_at	0.775037076	0.000641599	gb:AA524005 /DB_XREF=gi:2264933 /DB_XREF=ng32c05.s1 /CLONE=IMAGE:936488 /FEA=EST /CNT=154 /TID=Hs.88594.0 /TIER=Stack /STK=11 /UG=Hs.88594 /UG_TITLE=ESTs
TFAP2C	205286_at	1.445079562	0.000672777	gb:U85658.1 /DB_XREF=gi:2058552 /FEA=FLmRNA /CNT=41 /TID=Hs.61796.0 /TIER=FL /STK=0 /UG=Hs.61796 /LL=7022 /UG_GENE=TFAP2C /DEF=Human transcription factor ERF-1 mRNA, complete cds. /PROD=ERF-1 /FL=gb:NM_003222.1 gb:U85658.1
LTK	207106_s_at	0.833476218	0.000672777	gb:NM_002344.1 /DB_XREF=gi:4505044 /GEN=LTK /FEA=FLmRNA /CNT=8 /TID=Hs.210.0 /TIER=FL /STK=3 /UG=Hs.210 /LL=4058 /DEF=Homo sapiens leukocyte tyrosine kinase (LTK), mRNA. /PROD=leukocyte tyrosine kinase /FL=gb:NM_002344.1
SH3PXD2A	224817_at	0.74694507	0.000672777	gb:W93554 /DB_XREF=gi:1422694 /DB_XREF=zd95e03.s1 /CLONE=IMAGE:357244 /FEA=mRNA /CNT=144 /TID=Hs.146233.0 /TIER=Stack /STK=66 /UG=Hs.146233 /UG_TITLE=Homo sapiens cDNA: FLJ22130 fis, clone HEP19632
Unknown (231369_at)	231369_at	0.567251897	0.000672777	gb:BG149482 /DB_XREF=gi:12661512 /DB_XREF=nad29d02.x1 /CLONE=IMAGE:3366939 /FEA=EST /CNT=11 /TID=Hs.128437.0 /TIER=Stack /STK=11 /UG=Hs.128437 /UG_TITLE=ESTs
DNAJC1	222621_at	0.977504924	0.000737038	gb:BF591419 /DB_XREF=gi:11683743 /DB_XREF=7h57a03.x1 /CLONE=IMAGE:3320044 /FEA=FLmRNA /CNT=112 /TID=Hs.13015.0 /TIER=Stack /STK=10 /UG=Hs.13015 /LL=64215 /UG_GENE=DNAJL1 /UG_TITLE=hypothetical protein similar to mouse Dnajl1 /FL=gb:NM_022365.1
Unknown (243931_at)	243931_at	0.948680329	0.000776962	gb:R64696 /DB_XREF=gi:836575 /DB_XREF=yi22f12.r1 /CLONE=IMAGE:140015 /FEA=EST /CNT=6 /TID=Hs.188785.0 /TIER=ConsEnd /STK=0 /UG=Hs.188785 /UG_TITLE=ESTs
HOXA3	235521_at	2.001118993	0.000792966	gb:AW137982 /DB_XREF=gi:6142300 /DB_XREF=UI-H-BI1-acl-b-07-0-UI.s1 /CLONE=IMAGE:2714461 /FEA=EST /CNT=12 /TID=Hs.222446.0 /TIER=ConsEnd /STK=3 /UG=Hs.222446 /UG_TITLE=ESTs
TNFRSF14	209354_at	0.562151071	0.000809727	gb:BC002794.1 /DB_XREF=gi:12803894 /FEA=FLmRNA /CNT=128 /TID=Hs.279899.0 /TIER=FL+Stack /STK=63 /UG=Hs.279899 /LL=8764 /UG_GENE=TNFRSF14 /DEF=Homo sapiens, tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator), clone MGC:3753, mRNA, complete cds. /PROD=tumor necrosis factor receptor superfamily,member 14 (herpesvirus entry mediator) /FL=gb:U81232.1 gb:NM_003820.1 gb:BC002794.1 gb:AF153978.1 gb:U70321.1
PLCB4	203896_s_at	1.347275765	0.000924533	gb:NM_000933.1 /DB_XREF=gi:4505866 /GEN=PLCB4 /FEA=FLmRNA /CNT=95 /TID=Hs.283006.0 /TIER=FL /STK=1 /UG=Hs.283006 /LL=5332 /DEF=Homo sapiens phospholipase C, beta 4 (PLCB4), mRNA. /PROD=phospholipase C, beta 4 /FL=gb:NM_000933.1 gb:L41349.1
TNFRSF18	224553_s_at	1.068249264	0.000937889	gb:AF117297.1 /DB_XREF=gi:4378799 /FEA=FLmRNA /CNT=1 /TID=Hs.212680.2 /TIER=FL /STK=0 /UG=Hs.212680 /LL=8784 /UG_GENE=TNFRSF18 /DEF=Homo sapiens TNF receptor superfamily activation-inducible protein mRNA, complete cds. /PROD=TNF receptor superfamily activation-inducibleprotein /FL=gb:AF117297.1
LTK	217184_s_at	0.930904731	0.001145713	gb:X52213.1 /DB_XREF=gi:34421 /GEN=ltk /FEA=mRNA /CNT=1 /TID=Hs.210.2 /TIER=ConsEnd /STK=0 /UG=Hs.210 /LL=4058 /UG_TITLE=leukocyte tyrosine kinase /DEF=H.sapiens ltk mRNA.
HOXA4	206289_at	1.382213795	0.00115584	gb:NM_002141.1 /DB_XREF=gi:4504458 /GEN=HOXA4 /FEA=FLmRNA /CNT=21 /TID=Hs.77637.0 /TIER=FL /STK=7 /UG=Hs.77637 /LL=3201 /DEF=Homo sapiens homeo box A4 (HOXA4), mRNA. /PROD=homeo box A4 /FL=gb:NM_002141.1 gb:M74297.1
CPNE8	241706_at	1.237196925	0.0012408	gb:AA431782 /DB_XREF=gi:2115490 /DB_XREF=zw80f01.s1 /CLONE=IMAGE:782521 /FEA=EST /CNT=10 /TID=Hs.98760.0 /TIER=ConsEnd /STK=1 /UG=Hs.98760 /UG_TITLE=ESTs, Weakly similar to CNE3_HUMAN COPINE III (H.sapiens)
FLJ12053	233259_at	1.040710254	0.0012408	gb:AK022115.1 /DB_XREF=gi:10433438 /FEA=mRNA /CNT=3 /TID=Hs.301468.0 /TIER=ConsEnd /STK=0 /UG=Hs.301468 /UG_TITLE=Homo sapiens cDNA FLJ12053 fis, clone HEMBB1002043 /DEF=Homo sapiens cDNA FLJ12053 fis, clone HEMBB1002043.
DNAJC1	222620_s_at	0.937347184	0.0012408	gb:BF591419 /DB_XREF=gi:11683743 /DB_XREF=7h57a03.x1 /CLONE=IMAGE:3320044 /FEA=FLmRNA /CNT=112 /TID=Hs.13015.0 /TIER=Stack /STK=10 /UG=Hs.13015 /LL=64215 /UG_GENE=DNAJL1 /UG_TITLE=hypothetical protein similar to mouse Dnajl1 /FL=gb:NM_022365.1
LOC643977	235291_s_at	1.209540437	0.001342176	gb:BE875232 /DB_XREF=gi:10324008 /DB_XREF=601488533F1 /CLONE=IMAGE:3890600 /FEA=EST /CNT=17 /TID=Hs.268180.0 /TIER=ConsEnd /STK=0 /UG=Hs.268180 /UG_TITLE=ESTs
HOXA2	214457_at	1.045129826	0.001438474	gb:NM_006735.1 /DB_XREF=gi:10140846 /GEN=HOXA2 /FEA=FLmRNA /CNT=17 /TID=Hs.58116.0 /TIER=FL /STK=1 /UG=Hs.58116 /LL=3199 /DEF=Homo sapiens homeo box A2 (HOXA2), mRNA. /PROD=homeo box A2 /FL=gb:NM_006735.1
TGFA	205016_at	1.038809065	0.001495606	gb:NM_003236.1 /DB_XREF=gi:4507460 /GEN=TGFA /FEA=FLmRNA /CNT=49 /TID=Hs.170009.0 /TIER=FL /STK=0 /UG=Hs.170009 /LL=7039 /DEF=Homo sapiens transforming growth factor, alpha (TGFA), mRNA. /PROD=transforming growth factor, alpha /FL=gb:NM_003236.1 gb:K03222.1 gb:M31172.1 gb:BC005308.1
PLCB4	203895_at	1.482764988	0.001554123	gb:AL535113 /DB_XREF=gi:12798606 /DB_XREF=AL535113 /CLONE=CS0DF008YC23 (3 prime) /FEA=FLmRNA /CNT=95 /TID=Hs.283006.0 /TIER=Stack /STK=30 /UG=Hs.283006 /LL=5332 /UG_GENE=PLCB4 /UG_TITLE=phospholipase C, beta 4 /FL=gb:NM_000933.1 gb:L41349.1
FLJ42957	237591_at	0.635691563	0.001554123	gb:AI821565 /DB_XREF=gi:5440644 /DB_XREF=zt29h02.x5 /CLONE=IMAGE:723795 /FEA=EST /CNT=10 /TID=Hs.87440.0 /TIER=ConsEnd /STK=5 /UG=Hs.87440 /UG_TITLE=ESTs
SPG3A	223340_at	0.999075371	0.00160921	gb:AF131801.1 /DB_XREF=gi:4406631 /FEA=FLmRNA /CNT=100 /TID=Hs.241503.0 /TIER=FL+Stack /STK=18 /UG=Hs.241503 /LL=51062 /UG_GENE=LOC51062 /DEF=Homo sapiens clone 25221 mRNA sequence, complete cds. /PROD=Unknown /FL=gb:NM_015915.1 gb:AF131801.1
CLEC2B	209732_at	1.07200647	0.001733017	gb:BC005254.1 /DB_XREF=gi:13528920 /FEA=FLmRNA /CNT=70 /TID=Hs.85201.0 /TIER=FL+Stack /STK=18 /UG=Hs.85201 /LL=9976 /UG_GENE=CLECSF2 /DEF=Homo sapiens, Similar to C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced), clone MGC:12289, mRNA, complete cds. /PROD=Similar to C-type (calcium dependent,carbohydrate-recognition domain) lectin, superfamilymember 2 (activation-induced) /FL=gb:BC005254.1 gb:AB015628.1 gb:NM_005127.1
TMF1	213024_at	0.566226073	0.001841754	gb:BF593908 /DB_XREF=gi:11686232 /DB_XREF=nab48b03.x1 /CLONE=IMAGE:3268948 /FEA=FLmRNA /CNT=73 /TID=Hs.267632.0 /TIER=Stack /STK=9 /UG=Hs.267632 /LL=7110 /UG_GENE=TMF1 /UG_TITLE=TATA element modulatory factor 1 /FL=gb:L01042.1 gb:NM_007114.1
SNX30	226249_at	0.963997421	0.001888555	gb:AI674625 /DB_XREF=gi:4875105 /DB_XREF=wd18e06.x1 /CLONE=IMAGE:2328514 /FEA=EST /CNT=52 /TID=Hs.101937.1 /TIER=Stack /STK=25 /UG=Hs.101937 /LL=10736 /UG_GENE=SIX2 /UG_TITLE=sine oculis homeobox (Drosophila) homolog 2
CPNE8	228365_at	1.372333285	0.001898577	gb:AI765180 /DB_XREF=gi:5231689 /DB_XREF=wi72c05.x1 /CLONE=IMAGE:2398856 /FEA=EST /CNT=17 /TID=Hs.71818.0 /TIER=Stack /STK=8 /UG=Hs.71818 /UG_TITLE=ESTs
SERPINE1	1568765_at	1.101197805	0.001899276	gb:BC020765.1 /DB_XREF=gi:21594260 /TID=Hs2.400429.1 /CNT=14 /FEA=mRNA /TIER=ConsEnd /STK=1 /UG=Hs.400429 /UG_TITLE=Homo sapiens, clone IMAGE:4711115, mRNA /DEF=Homo sapiens, clone IMAGE:4711115, mRNA.
HOXA5	213844_at	2.250198503	0.001956651	gb:NM_019102.1 /DB_XREF=gi:9506790 /GEN=HOXA5 /FEA=FLmRNA /CNT=39 /TID=Hs.37034.0 /TIER=FL+Stack /STK=18 /UG=Hs.37034 /LL=3202 /DEF=Homo sapiens homeo box A5 (HOXA5), mRNA. /PROD=homeobox protein (HOX-1.3) /FL=gb:NM_019102.1
AREG	205239_at	1.90852584	0.001985735	gb:NM_001657.1 /DB_XREF=gi:4502198 /GEN=AREG /FEA=FLmRNA /CNT=38 /TID=Hs.270833.0 /TIER=FL+Stack /STK=9 /UG=Hs.270833 /LL=374 /DEF=Homo sapiens amphiregulin (schwannoma-derived growth factor) (AREG), mRNA. /PROD=amphiregulin (schwannoma-derived growth factor) /FL=gb:M30704.1 gb:NM_001657.1
ZNF521	226677_at	4.47370467	4.87E-22	gb:AF141339.1 /DB_XREF=gi:12239350 /FEA=mRNA /CNT=56 /TID=Hs.26799.0 /TIER=Stack /STK=18 /UG=Hs.26799 /LL=25925 /UG_GENE=DKFZP564D0764 /DEF=Homo sapiens LYST-interacting protein LIP3 mRNA, partial cds. /PROD=LYST-interacting protein LIP3
ZNF521	226676_at	4.180612641	1.85E-21	gb:AK021452.1 /DB_XREF=gi:10432641 /FEA=mRNA /CNT=56 /TID=Hs.26799.0 /TIER=Stack /STK=13 /UG=Hs.26799 /LL=25925 /UG_GENE=DKFZP564D0764 /UG_TITLE=DKFZP564D0764 protein /DEF=Homo sapiens cDNA FLJ11390 fis, clone HEMBA1000561, weakly similar to ZINC FINGER PROTEIN 91.
CARD11	223514_at	1.969846353	1.94E-09	gb:AF322641.1 /DB_XREF=gi:12382772 /FEA=FLmRNA /CNT=42 /TID=Hs.293867.0 /TIER=FL+Stack /STK=20 /UG=Hs.293867 /DEF=Homo sapiens caspase recruitment domain protein 11 mRNA, complete cds. /PROD=caspase recruitment domain protein 11 /FL=gb:AF322641.1
COL9A1	243932_at	2.018195691	1.11E-08	gb:AI286254 /DB_XREF=gi:3924487 /DB_XREF=qu91a02.x1 /CLONE=IMAGE:1979402 /FEA=EST /CNT=3 /TID=Hs.149809.0 /TIER=ConsEnd /STK=3 /UG=Hs.149809 /UG_TITLE=ESTs
PBX3	204082_at	1.885842921	2.09E-08	gb:NM_006195.1 /DB_XREF=gi:5453851 /GEN=PBX3 /FEA=FLmRNA /CNT=75 /TID=Hs.294101.0 /TIER=FL+Stack /STK=9 /UG=Hs.294101 /LL=5090 /DEF=Homo sapiens pre-B-cell leukemia transcription factor 3 (PBX3), mRNA. /PROD=pre-B-cell leukemia transcription factor 3 /FL=gb:NM_006195.1
TBL1X	213400_s_at	2.677367147	1.26E-07	gb:AV753028 /DB_XREF=gi:10910876 /DB_XREF=AV753028 /CLONE=NPDBCD07 /FEA=EST /CNT=89 /TID=Hs.76536.1 /TIER=ConsEnd /STK=0 /UG=Hs.76536 /LL=6907 /UG_GENE=TBL1 /UG_TITLE=transducin (beta)-like 1
OCIAD2	225314_at	1.477410162	2.83E-07	gb:BG291649 /DB_XREF=gi:13049586 /DB_XREF=602385778F1 /CLONE=IMAGE:4514827 /FEA=EST /CNT=104 /TID=Hs.95835.0 /TIER=Stack /STK=77 /UG=Hs.95835 /UG_TITLE=ESTs, Weakly similar to unnamed protein product (H.sapiens)
SLU7	212592_at	3.915241653	3.16E-07	gb:AV733266 /DB_XREF=gi:10850811 /DB_XREF=AV733266 /CLONE=cdAAJG04 /FEA=EST /CNT=270 /TID=Hs.76325.1 /TIER=Stack /STK=67 /UG=Hs.76325 /LL=10569 /UG_GENE=SLU7 /UG_TITLE=step II splicing factor SLU7
PIP4K2C	218942_at	2.09893304	4.54E-07	gb:NM_024779.1 /DB_XREF=gi:13376135 /GEN=FLJ22055 /FEA=FLmRNA /CNT=49 /TID=Hs.144502.0 /TIER=FL /STK=0 /UG=Hs.144502 /LL=79837 /DEF=Homo sapiens hypothetical protein FLJ22055 (FLJ22055), mRNA. /PROD=hypothetical protein FLJ22055 /FL=gb:NM_024779.1
FLJ23834	235650_at	2.101898066	5.38E-07	gb:AL538683 /DB_XREF=gi:12867201 /DB_XREF=AL538683 /CLONE=CS0DF037YJ09 (5 prime) /FEA=EST /CNT=13 /TID=Hs.12496.0 /TIER=ConsEnd /STK=1 /UG=Hs.12496 /UG_TITLE=ESTs, Weakly similar to ALU4_HUMAN ALU SUBFAMILY SB2 SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
SCN3A	210432_s_at	2.920687841	1.20E-06	gb:AF225986.1 /DB_XREF=gi:12642271 /GEN=SCN3A /FEA=FLmRNA /CNT=8 /TID=Hs.300717.1 /TIER=FL /STK=0 /UG=Hs.300717 /LL=6328 /DEF=Homo sapiens voltage-gated sodium channel alpha subunit splice variant SCN3A-s (SCN3A) mRNA, complete cds, alternatively spliced. /PROD=voltage-gated sodium channel alpha subunitsplice variant SCN3A-s /FL=gb:AF225986.1
SEF2	212387_at	1.872204863	4.51E-06	gb:BG495771 /DB_XREF=gi:13457287 /DB_XREF=602540396F1 /CLONE=IMAGE:4671599 /FEA=mRNA /CNT=240 /TID=Hs.289068.0 /TIER=Stack /STK=26 /UG=Hs.289068 /UG_TITLE=Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272
Unknown (230441_at)	230441_at	1.178759479	4.51E-06	gb:AI890356 /DB_XREF=gi:5595520 /DB_XREF=wm84c05.x1 /CLONE=IMAGE:2442632 /FEA=EST /CNT=11 /TID=Hs.127804.0 /TIER=Stack /STK=11 /UG=Hs.127804 /UG_TITLE=ESTs, Weakly similar to T17233 hypothetical protein DKFZp434I216.1 (H.sapiens)
Unknown (242846_at)	242846_at	1.34662266	7.20E-06	gb:T52027 /DB_XREF=gi:653887 /DB_XREF=yb29h11.s1 /CLONE=IMAGE:72645 /FEA=EST /CNT=6 /TID=Hs.271795.0 /TIER=ConsEnd /STK=3 /UG=Hs.271795 /UG_TITLE=ESTs, Weakly similar to ALU1_HUMAN ALU SUBFAMILY J SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
CSMD1	241960_at	2.504962411	7.39E-06	gb:AA705177 /DB_XREF=gi:2715095 /DB_XREF=zj96c05.s1 /CLONE=IMAGE:462728 /FEA=EST /CNT=7 /TID=Hs.194104.0 /TIER=ConsEnd /STK=3 /UG=Hs.194104 /UG_TITLE=ESTs, Weakly similar to T09456 intrinsic factor-B12 receptor Cubilin precursor (H.sapiens)
ADARB1	203865_s_at	2.530064262	1.16E-05	gb:NM_015833.1 /DB_XREF=gi:7669476 /GEN=ADARB1 /FEA=FLmRNA /CNT=92 /TID=Hs.85302.0 /TIER=FL+Stack /STK=52 /UG=Hs.85302 /LL=104 /DEF=Homo sapiens adenosine deaminase, RNA-specific, B1 (homolog of rat RED1) (ADARB1), transcript variant DRABA2b, mRNA. /PROD=RNA-specific adenosine deaminase B1, isoformDRABA2b /FL=gb:U76421.1 gb:U82121.1 gb:NM_015833.1
HZF12	1552634_a_at	1.009475201	1.16E-05	gb:NM_033204.2 /DB_XREF=gi:24475858 /TID=Hs2.164284.1 /CNT=21 /FEA=FLmRNA /TIER=FL /STK=2 /LL=94039 /UG_GENE=HZF12 /UG=Hs.164284 /UG_TITLE=zinc finger protein 12 /DEF=Homo sapiens zinc finger protein 12 (HZF12), mRNA. /FL=gb:NM_033204.2 gb:BC011502.1 gb:AY149174.1
SEF2	213891_s_at	2.138735301	1.20E-05	gb:AI927067 /DB_XREF=gi:5663031 /DB_XREF=wo87f01.x1 /CLONE=IMAGE:2462329 /FEA=EST /CNT=21 /TID=Hs.289068.1 /TIER=Stack /STK=14 /UG=Hs.289068 /UG_TITLE=Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272
KIF21B	204411_at	1.832810184	1.20E-05	gb:NM_017596.1 /DB_XREF=gi:8922142 /GEN=KIAA0449 /FEA=FLmRNA /CNT=65 /TID=Hs.169182.0 /TIER=FL+Stack /STK=17 /UG=Hs.169182 /LL=23046 /DEF=Homo sapiens KIAA0449 protein (KIAA0449), mRNA. /PROD=hypothetical protein DKFZp434J212 /FL=gb:NM_017596.1
RAB11FIP4	224482_s_at	1.589027525	1.20E-05	gb:BC006240.1 /DB_XREF=gi:13623278 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900940.231 /TIER=FL /STK=0 /DEF=Homo sapiens, clone MGC:11316, mRNA, complete cds. /PROD=Unknown (protein for MGC:11316) /FL=gb:BC006240.1
VMD2L3	1555492_a_at	1.478049996	1.23E-05	gb:AF440758.1 /DB_XREF=gi:21734843 /TID=Hs2.122128.2 /CNT=1 /FEA=FLmRNA /TIER=FL /STK=1 /LL=144453 /UG_GENE=VMD2L3 /UG=Hs.122128 /DEF=Homo sapiens vitelliform macular dystrophy 2-like protein 3 mRNA, complete cds. /PROD=vitelliform macular dystrophy 2-like protein 3 /FL=gb:AF440758.1
Unknown (213808_at)	213808_at	1.870210276	2.06E-05	gb:BE674466 /DB_XREF=gi:10035007 /DB_XREF=7e04e01.x1 /CLONE=IMAGE:3281496 /FEA=mRNA /CNT=33 /TID=Hs.12514.0 /TIER=Stack /STK=15 /UG=Hs.12514 /UG_TITLE=Homo sapiens clone 23688 mRNA sequence
BTBD3	202946_s_at	1.369697514	2.12E-05	gb:NM_014962.1 /DB_XREF=gi:7662401 /GEN=KIAA0952 /FEA=FLmRNA /CNT=169 /TID=Hs.7935.0 /TIER=FL+Stack /STK=69 /UG=Hs.7935 /LL=22903 /DEF=Homo sapiens KIAA0952 protein (KIAA0952), mRNA. /PROD=KIAA0952 protein /FL=gb:AB023169.1 gb:NM_014962.1
DLM1	242020_s_at	1.362838235	2.14E-05	gb:AI925506 /DB_XREF=gi:5661470 /DB_XREF=wo31d03.x1 /CLONE=IMAGE:2456933 /FEA=EST /CNT=5 /TID=Hs.195098.0 /TIER=ConsEnd /STK=0 /UG=Hs.195098 /UG_TITLE=ESTs
TBL1	201869_s_at	1.63595431	2.17E-05	gb:BF593932 /DB_XREF=gi:11686256 /DB_XREF=nab48e09.x1 /CLONE=IMAGE:3269104 /FEA=FLmRNA /CNT=253 /TID=Hs.76536.0 /TIER=Stack /STK=42 /UG=Hs.76536 /LL=6907 /UG_GENE=TBL1 /UG_TITLE=transducin (beta)-like 1 /FL=gb:NM_005647.1
IGLJ3	215379_x_at	2.317115492	2.73E-05	gb:AV698647 /DB_XREF=gi:10300618 /DB_XREF=AV698647 /CLONE=GKCBJC12 /FEA=mRNA /CNT=4 /TID=Hs.289110.4 /TIER=ConsEnd /STK=0 /UG=Hs.289110 /LL=28831 /UG_GENE=IGLJ3 /UG_TITLE=immunoglobulin lambda joining 3
Unknown (240143_at)	240143_at	1.843791102	4.81E-05	gb:AA721252 /DB_XREF=gi:2737387 /DB_XREF=nz72d06.s1 /CLONE=IMAGE:1301003 /FEA=EST /CNT=5 /TID=Hs.291502.0 /TIER=ConsEnd /STK=4 /UG=Hs.291502 /UG_TITLE=ESTs
TIEG2	218486_at	1.910181729	7.33E-05	gb:AA149594 /DB_XREF=gi:1720413 /DB_XREF=zo30d02.s1 /CLONE=IMAGE:588387 /FEA=FLmRNA /CNT=101 /TID=Hs.12229.0 /TIER=Stack /STK=43 /UG=Hs.12229 /LL=8462 /UG_GENE=TIEG2 /UG_TITLE=TGFB inducible early growth response 2 /FL=gb:NM_003597.1 gb:AF272830.1 gb:AF028008.1
DTX3	235721_at	1.611847283	7.33E-05	gb:N62126 /DB_XREF=gi:1209939 /DB_XREF=yz61h05.s1 /CLONE=IMAGE:287577 /FEA=EST /CNT=9 /TID=Hs.48461.0 /TIER=ConsEnd /STK=5 /UG=Hs.48461 /UG_TITLE=ESTs
SEF2	212386_at	2.028266175	7.86E-05	gb:BF592782 /DB_XREF=gi:11685106 /DB_XREF=7j94d06.x1 /CLONE=IMAGE:3442594 /FEA=mRNA /CNT=240 /TID=Hs.289068.0 /TIER=Stack /STK=9 /UG=Hs.289068 /UG_TITLE=Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272
PIP5K1B	229116_at	1.614345523	7.86E-05	gb:AI670947 /DB_XREF=gi:4850678 /DB_XREF=wb12b11.x1 /CLONE=IMAGE:2305437 /FEA=EST /CNT=19 /TID=Hs.78406.1 /TIER=Stack /STK=11 /UG=Hs.78406 /LL=8395 /UG_GENE=PIP5K1B /UG_TITLE=phosphatidylinositol-4-phosphate 5-kinase, type I, beta
CSMD1	231223_at	2.998007788	8.79E-05	gb:R41565 /DB_XREF=gi:816865 /DB_XREF=yf88e01.s1 /CLONE=IMAGE:29531 /FEA=EST /CNT=8 /TID=Hs.21925.0 /TIER=Stack /STK=8 /UG=Hs.21925 /UG_TITLE=ESTs
GOLGA8E	213737_x_at	1.982831494	8.99E-05	gb:AI620911 /DB_XREF=gi:4630037 /DB_XREF=tu05d12.x1 /CLONE=IMAGE:2250167 /FEA=EST /CNT=25 /TID=Hs.205125.0 /TIER=Stack /STK=11 /UG=Hs.205125 /UG_TITLE=ESTs
C13orf18	44790_s_at	2.412766684	0.000103745	Cluster Incl. AI129310:qc48a05.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1712816 /clone_end=3  /gb=AI129310 /gi=3597824 /ug=Hs.234923 /len=811
TCF4	222146_s_at	1.889432012	0.000111127	gb:AK026674.1 /DB_XREF=gi:10439577 /FEA=mRNA /CNT=11 /TID=Hs.326198.1 /TIER=ConsEnd /STK=0 /UG=Hs.326198 /LL=6925 /UG_GENE=TCF4 /UG_TITLE=transcription factor 4 /DEF=Homo sapiens cDNA: FLJ23021 fis, clone LNG01014, highly similar to HUMSEF21B Human SEF2-1B protein (SEF2-1B) mRNA.
Unknown (236815_at)	236815_at	1.478540519	0.000150806	gb:N62830 /DB_XREF=gi:1210659 /DB_XREF=yy66g09.s1 /CLONE=IMAGE:278560 /FEA=EST /CNT=5 /TID=Hs.48646.0 /TIER=ConsEnd /STK=5 /UG=Hs.48646 /UG_TITLE=ESTs
ZAP70	214032_at	1.105777937	0.00015567	gb:AI817942 /DB_XREF=gi:5437110 /DB_XREF=wk41f07.x1 /CLONE=IMAGE:2417989 /FEA=mRNA /CNT=19 /TID=Hs.234569.0 /TIER=Stack /STK=10 /UG=Hs.234569 /LL=7535 /UG_GENE=ZAP70 /UG_TITLE=zeta-chain (TCR) associated protein kinase (70 kD)
Unknown (1569652_at)	1569652_at	1.623275553	0.000157557	gb:BC030550.1 /DB_XREF=gi:22539718 /TID=Hs2.382134.1 /CNT=4 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.382134 /UG_TITLE=Homo sapiens, Similar to myeloidlymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 3, clone IMAGE:5212069, mRNA /DEF=Homo sapiens, Similar to myeloidlymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 3, clone IMAGE:5212069, mRNA.
BEST3	224520_s_at	1.751020329	0.000174297	gb:BC006440.1 /DB_XREF=gi:13623640 /FEA=FLmRNA /CNT=1 /TID=HsAffx.901083.489 /TIER=FL /STK=0 /DEF=Homo sapiens, clone MGC:13168, mRNA, complete cds. /PROD=Unknown (protein for MGC:13168) /FL=gb:BC006440.1
PLEKHG4B	236255_at	1.306581883	0.000184462	gb:BG026457 /DB_XREF=gi:12414089 /DB_XREF=602291846F1 /CLONE=IMAGE:4386586 /FEA=EST /CNT=10 /TID=Hs.109057.0 /TIER=ConsEnd /STK=7 /UG=Hs.109057 /UG_TITLE=ESTs, Weakly similar to ALU5_HUMAN ALU SUBFAMILY SC SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)
CSMD1	1553405_a_at	2.094623327	0.000190994	gb:NM_033225.1 /DB_XREF=gi:15100167 /GEN=CSMD1 /TID=Hs2.123468.1 /CNT=2 /FEA=FLmRNA /TIER=FL /STK=1 /LL=64478 /UG=Hs.123468 /DEF=Homo sapiens CUB and Sushi multiple domains 1 (CSMD1), mRNA. /PROD=CUB and Sushi multiple domains 1 /FL=gb:NM_033225.1
JAG1	209099_x_at	1.861050424	0.000239029	gb:U73936.1 /DB_XREF=gi:1695273 /GEN=HJ1 /FEA=FLmRNA /CNT=199 /TID=Hs.91143.0 /TIER=FL+Stack /STK=38 /UG=Hs.91143 /LL=182 /DEF=Homo sapiens Jagged 1 (HJ1) mRNA, complete cds. /PROD=Jagged 1 /FL=gb:AF003837.1 gb:U61276.1 gb:NM_000214.1 gb:U73936.1 gb:AF028593.1
ZNF521	1561002_at	1.468550607	0.000282193	gb:AF143873.1 /DB_XREF=gi:4895015 /TID=Hs2.384042.1 /CNT=3 /FEA=mRNA /TIER=ConsEnd /STK=2 /UG=Hs.384042 /UG_TITLE=Homo sapiens clone IMAGE:111722 mRNA sequence /DEF=Homo sapiens clone IMAGE:111722 mRNA sequence.
IGLJ3	209138_x_at	2.305006069	0.000282473	gb:M87790.1 /DB_XREF=gi:185363 /FEA=FLmRNA /CNT=660 /TID=Hs.181125.0 /TIER=FL+Stack /STK=584 /UG=Hs.181125 /LL=3535 /UG_GENE=IGL@ /DEF=Human (hybridoma H210) anti-hepatitis A immunoglobulin lambda chain variable region, constant region, complementarity-determining regions mRNA, complete cds. /PROD=immunoglobulin lambda-chain /FL=gb:M87790.1
SEF2…	212385_at	2.01721077	0.000323629	gb:AU118026 /DB_XREF=gi:10933043 /DB_XREF=AU118026 /CLONE=HEMBA1002729 /FEA=mRNA /CNT=240 /TID=Hs.289068.0 /TIER=Stack /STK=8 /UG=Hs.289068 /UG_TITLE=Homo sapiens cDNA FLJ11918 fis, clone HEMBB1000272
