Gene	MG_U74Av2	Normal_NNK	Tumor_NNK	Fold change	p value_NNK	GO term
C3ar1	103707_at	327.83	531.25	1.62	0.0002	response to external stimulus
Cklfsf6	160312_at	1971.85	3434.32	1.74	<0.0001	response to external stimulus
Cklfsf8	104626_at	2052.9	3635.05	1.77	<0.0001	response to external stimulus
Entpd1	160774_at	849.05	1508.78	1.78	<0.0001	response to external stimulus
Ccl3	102424_at	245.63	451.3	1.84	0.0005	response to external stimulus
Il1a	94755_at	320.15	610.77	1.91	0.0003	response to external stimulus
Krt2-8	101009_at	4593.38	8798.2	1.92	0.0001	response to external stimulus
Hc	103458_at	1951.98	4018.55	2.06	0.0001	response to external stimulus
Ii	101054_at	29338.6	62732.38	2.14	<0.0001	response to external stimulus
Chi3l3	92694_at	15853.7	34375.5	2.17	0.0025	response to external stimulus
Myc	104712_at	198.95	443.83	2.23	<0.0001	response to external stimulus
Procr	98018_at	926.53	2122.63	2.29	0.0001	response to external stimulus
F7	92918_at	1728.98	3971.25	2.3	<0.0001	response to external stimulus
Ccr5	102718_at	71.75	168.22	2.34	0.0006	response to external stimulus
Lbp	96123_at	3288.48	7784.9	2.37	0.0001	response to external stimulus
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	response to external stimulus
Ccl6	92849_at	1184.23	2956.75	2.5	0.0001	response to external stimulus
H2-DMa	93092_at	5678.6	14216.55	2.5	<0.0001	response to external stimulus
Tnfrsf1b	94928_at	1528.3	3995.82	2.61	<0.0001	response to external stimulus
Lcp1	94278_at	5659.8	15922.93	2.81	<0.0001	response to external stimulus
Cxcl2	101160_at	105.48	322.2	3.05	0.0002	response to external stimulus
Cd14	98088_at	4108.85	13853.95	3.37	0.0001	response to external stimulus
C1qa	98562_at	2873.38	9717.72	3.38	<0.0001	response to external stimulus
Ccl12	93717_at	154.35	538	3.49	<0.0001	response to external stimulus
H2-Ea	102904_at	405.35	1602.55	3.95	0.0001	response to external stimulus
Cxcl1	95348_at	399.9	5442.53	13.61	<0.0001	response to external stimulus
Ccl17	97783_at	133.55	2060.55	15.43	0.0003	response to external stimulus
Cxcl1	95349_g_at	167.33	3796.05	22.69	0.0001	response to external stimulus
Ggtla1	102968_at	17.35	452.8	26.1	0.0003	response to external stimulus
Col17a1	160594_at	447.75	72.8	-6.15	<0.0001	cell adhesion
Pcdha6	160610_at	1308.85	222.57	-5.88	<0.0001	cell adhesion
Tek	102720_at	7860.5	1352	-5.81	<0.0001	cell adhesion
Pcdha6	97756_s_at	372.05	66.22	-5.62	0.0002	cell adhesion
Pcdha6	101650_at	1761.15	321.8	-5.47	<0.0001	cell adhesion
Cldn5	104516_at	19887.75	4012.9	-4.96	<0.0001	cell adhesion
Icam2	99053_at	5847.13	1320.98	-4.43	<0.0001	cell adhesion
Tyro3	96766_s_at	462.03	104.4	-4.43	0.0002	cell adhesion
Xlkd1	160583_at	5098.98	1199.15	-4.25	0.0001	cell adhesion
Cdh5	104083_at	20193.88	4890.6	-4.13	<0.0001	cell adhesion
F5	102748_at	96.8	26.7	-3.63	<0.0001	cell adhesion
Eng	100134_at	34680.58	9623.03	-3.6	<0.0001	cell adhesion
Vtn	98549_at	478.25	134.9	-3.55	<0.0001	cell adhesion
Omd	93369_at	107.2	31	-3.46	0.0001	cell adhesion
Kitl	99577_at	7900.53	2439.23	-3.24	<0.0001	cell adhesion
Pscd3	103433_at	6428.25	1987.3	-3.23	0.0001	cell adhesion
Cspg2	100019_at	624.05	196.63	-3.17	0.0036	cell adhesion
Stab1	96885_at	1927.3	632.93	-3.05	<0.0001	cell adhesion
Col13a1	102261_f_at	3442.53	1214.1	-2.84	0.0001	cell adhesion
Sh3d4	98848_at	1623.68	572.65	-2.84	<0.0001	cell adhesion
Col13a1	102262_r_at	694.25	250.5	-2.77	<0.0001	cell adhesion
Dpt	96742_at	2083.05	768.18	-2.71	<0.0001	cell adhesion
Gp5	100740_at	116.68	43.7	-2.67	0.0039	cell adhesion
Fbln2	100928_at	1065.48	415.8	-2.56	0.0016	cell adhesion
Aoc3	102327_at	463.88	185.15	-2.51	0.0006	cell adhesion
C1qr1	93454_at	10391.78	4298.6	-2.42	<0.0001	cell adhesion
Vwf	103499_at	7085.68	3002.72	-2.36	<0.0001	cell adhesion
Gp1bb	160649_at	114.5	52.3	-2.19	0.0013	cell adhesion
Mpdz	93887_at	844.23	401.02	-2.11	<0.0001	cell adhesion
Tnxb	102916_s_at	3279.83	1595.33	-2.06	0.0004	cell adhesion
Lama2	92366_at	966.18	470.5	-2.05	<0.0001	cell adhesion
Ptpru	100454_at	2911.45	1439.45	-2.02	<0.0001	cell adhesion
Col4a5	93220_at	1299.1	672.25	-1.93	<0.0001	cell adhesion
Reln	96591_at	500.8	262.38	-1.91	0.0005	cell adhesion
Plekhc1	96774_at	4633.85	2437.35	-1.9	<0.0001	cell adhesion
Cntn1	92936_at	190.8	103.87	-1.84	0.0001	cell adhesion
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	cell adhesion
A430096B0	97826_at	1149.85	652.68	-1.76	0.0001	cell adhesion
Vcl	94963_at	13427.5	7628.32	-1.76	0.0004	cell adhesion
Ddr2	92969_at	1486.5	847.35	-1.75	<0.0001	cell adhesion
Itga3	104210_at	2900.83	1717.88	-1.69	0.0003	cell adhesion
Mcam	160458_at	5656.78	3383.13	-1.67	<0.0001	cell adhesion
Dsg2	104480_at	726.6	435.15	-1.67	0.0001	cell adhesion
Lamb1-1	101948_at	842.48	510.28	-1.65	0.0002	cell adhesion
Stab1	96886_at	1785.4	1115.88	-1.6	0.0008	cell adhesion
Jup	104121_at	8191.53	5148.92	-1.59	0.0001	cell adhesion
Lama4	104587_at	2330.9	1465.32	-1.59	<0.0001	cell adhesion
Gpld1	95566_at	186.25	117.97	-1.58	0.0001	cell adhesion
Fert2	99321_at	242.58	154.7	-1.57	<0.0001	cell adhesion
Pkp4	96187_at	4505.98	2894.03	-1.56	0.0001	cell adhesion
Efs	96195_at	975.63	659.58	-1.48	<0.0001	cell adhesion
Rhob	101030_at	12876.73	8895.57	-1.45	0.0001	cell adhesion
Pros1	104728_at	2851.35	1993.92	-1.43	0.0033	cell adhesion
Itga3	104211_at	3280.68	2345.35	-1.4	0.0016	cell adhesion
Aplp2	93498_s_at	19800.83	14279.8	-1.39	0.0003	cell adhesion
Vcl	94964_at	1060.25	771.2	-1.37	0.0002	cell adhesion
Itgb5	100601_at	4083.6	3011.35	-1.36	0.0003	cell adhesion
Catns	98152_at	19933.05	15082.63	-1.32	<0.0001	cell adhesion
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	cell adhesion
Alcam	104407_at	3016.8	4284	1.42	0.0001	cell adhesion
Scarb2	101389_at	3645.08	5460.77	1.5	<0.0001	cell adhesion
Itga7	93061_at	1148.68	1752.5	1.53	<0.0001	cell adhesion
Col1a1	94305_at	4372.48	7100.3	1.62	0.0031	cell adhesion
Ptprf	96272_at	4881	8370.68	1.71	0.0003	cell adhesion
Ssx2ip	96724_r_at	840.18	1450.5	1.73	<0.0001	cell adhesion
Ptpns1	103070_at	2016.88	3621.92	1.8	<0.0001	cell adhesion
Itgax	104308_at	2112.83	4232.3	2	<0.0001	cell adhesion
Cpxm1	103492_at	74.33	154.57	2.08	0.0008	cell adhesion
D7Ertd458e	94643_at	119.1	254.8	2.14	0.0002	cell adhesion
Lamc2	100428_at	6915.75	17750.33	2.57	0.0001	cell adhesion
Spp1	97519_at	6130.75	15774.05	2.57	<0.0001	cell adhesion
Celsr1	103516_at	287.5	762.98	2.65	<0.0001	cell adhesion
Col15a1	99637_at	608.88	1747.1	2.87	0.0001	cell adhesion
Lamb3	92759_at	3319.05	11454.35	3.45	0.0002	cell adhesion
Itgae	93961_at	157.73	579.68	3.68	0.0001	cell adhesion
Mybph	92374_at	79.43	292.23	3.68	0.0001	cell adhesion
Cd44	103005_s_at	620.83	2377.87	3.83	<0.0001	cell adhesion
Adn	99671_at	3093.85	52.9	-58.48	0.0004	immune response
Tnfrsf6	102921_s_at	687.08	193.27	-3.55	<0.0001	immune response
H2-T24	94746_at	260.15	84.5	-3.08	<0.0001	immune response
Stab1	96885_at	1927.3	632.93	-3.05	<0.0001	immune response
Hp	96092_at	37380.1	12387.82	-3.02	0.0001	immune response
Cxcl12	100112_at	4097.5	1406.2	-2.91	0.0001	immune response
Plp	92801_at	114.23	41.9	-2.73	0.0005	immune response
Cfh	101853_f_at	1359.58	524.7	-2.59	<0.0001	immune response
Ifi203	93321_at	343.6	146.88	-2.34	<0.0001	immune response
Ccl21a	103012_at	4474.4	1987.67	-2.25	0.0004	immune response
Ccl27	100973_i_at	489.55	251.6	-1.95	0.0009	immune response
Efnb1	98407_at	3189.78	1650.6	-1.93	<0.0001	immune response
Il11ra1	93874_s_at	2710.73	1471	-1.84	<0.0001	immune response
Chst2	102639_at	608.78	336.2	-1.81	<0.0001	immune response
Tnfsf10	94112_at	796.65	461.08	-1.73	<0.0001	immune response
Serping1	99081_at	16186.38	9811.53	-1.65	<0.0001	immune response
Edg3	92352_at	3766.3	2327.58	-1.62	0.0007	immune response
Itpkb	104395_at	9335.13	5788.18	-1.61	<0.0001	immune response
Stab1	96886_at	1785.4	1115.88	-1.6	0.0008	immune response
Crry	101879_s_at	1946.65	1230.85	-1.58	0.0004	immune response
Tnfsf12	93917_at	2692.28	1703.98	-1.58	<0.0001	immune response
Hfe	104014_at	1875.18	1210.7	-1.55	0.0004	immune response
Ifitm3	160253_at	29520.78	20274.15	-1.46	<0.0001	immune response
Tollip	160809_at	1464	1026.65	-1.43	<0.0001	immune response
Tnfrsf1a	92793_at	3558.63	2574.2	-1.38	<0.0001	immune response
Ifi35	100013_at	2099.18	1579.67	-1.33	0.004	immune response
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	immune response
Plaa	160169_at	625.18	786.1	1.26	0.0019	immune response
Casp3	98437_at	1047.9	1411.22	1.35	0.0003	immune response
Ap3b1	103878_at	4533.18	6554.07	1.45	<0.0001	immune response
C3ar1	103707_at	327.83	531.25	1.62	0.0002	immune response
Ccl3	102424_at	245.63	451.3	1.84	0.0005	immune response
Il1a	94755_at	320.15	610.77	1.91	0.0003	immune response
Egr1	98579_at	944.05	1917.13	2.03	0.0014	immune response
Hc	103458_at	1951.98	4018.55	2.06	0.0001	immune response
Ii	101054_at	29338.6	62732.38	2.14	<0.0001	immune response
Chi3l3	92694_at	15853.7	34375.5	2.17	0.0025	immune response
Hmgb3	98038_at	3494.83	7790.92	2.23	0.0001	immune response
Psme1	101510_at	4440.65	9985.7	2.25	0.0002	immune response
Il1rn	93871_at	699.65	1574.95	2.25	<0.0001	immune response
Tnfsf11	93416_at	103.48	240.4	2.32	0.0013	immune response
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	immune response
Ccl6	92849_at	1184.23	2956.75	2.5	0.0001	immune response
H2-DMa	93092_at	5678.6	14216.55	2.5	<0.0001	immune response
Tnfrsf1b	94928_at	1528.3	3995.82	2.61	<0.0001	immune response
H2-Aa	92866_at	15888.68	48220.07	3.03	0.0001	immune response
Cxcl2	101160_at	105.48	322.2	3.05	0.0002	immune response
Cd14	98088_at	4108.85	13853.95	3.37	0.0001	immune response
C1qa	98562_at	2873.38	9717.72	3.38	<0.0001	immune response
Ccl12	93717_at	154.35	538	3.49	<0.0001	immune response
Csf2	92948_at	149.85	534.47	3.57	<0.0001	immune response
Ifi30	97444_at	1341.55	4856.63	3.62	<0.0001	immune response
H2-DMb1	101868_i_at	1122.1	4082.4	3.64	<0.0001	immune response
H2-Eb1	94285_at	4534.73	17445	3.85	<0.0001	immune response
H2-Ea	102904_at	405.35	1602.55	3.95	0.0001	immune response
H2-Ab1	100998_at	4282.3	20480.37	4.78	0.0001	immune response
H2-DMb1	98035_g_at	3905.48	19400.6	4.97	0.0001	immune response
H2-DMb1	98034_at	300.6	1722.85	5.73	0.0001	immune response
Cxcl1	95348_at	399.9	5442.53	13.61	<0.0001	immune response
Tnfsf9	92415_at	192.2	2781.37	14.47	0.0001	immune response
Ccl17	97783_at	133.55	2060.55	15.43	0.0003	immune response
Cxcl1	95349_g_at	167.33	3796.05	22.69	0.0001	immune response
Ggtla1	102968_at	17.35	452.8	26.1	0.0003	immune response
Fgf7	99435_at	666.25	186	-3.58	<0.0001	cell proliferation
Figf	92365_at	3219.15	923.15	-3.49	<0.0001	cell proliferation
Kit	99956_at	6214.5	1943.15	-3.2	<0.0001	cell proliferation
Cxcl12	100112_at	4097.5	1406.2	-2.91	0.0001	cell proliferation
Sphk1	103839_at	456.68	173.4	-2.63	<0.0001	cell proliferation
Fgfr1	97509_f_at	914.7	349.43	-2.62	<0.0001	cell proliferation
Hgf	102898_at	220.6	97.75	-2.26	<0.0001	cell proliferation
Numb	99955_at	2713.28	1335	-2.03	<0.0001	cell proliferation
Efnb1	98407_at	3189.78	1650.6	-1.93	<0.0001	cell proliferation
Notch1	97497_at	5603.65	2913.25	-1.92	<0.0001	cell proliferation
Nfkbia	101554_at	5980.38	3336.13	-1.79	<0.0001	cell proliferation
Ddr2	92969_at	1486.5	847.35	-1.75	<0.0001	cell proliferation
Pdgfa	94932_at	4358.48	2501.7	-1.74	0.0001	cell proliferation
Vegfc	94712_at	453.4	262.18	-1.73	0.0001	cell proliferation
Edg3	92352_at	3766.3	2327.58	-1.62	0.0007	cell proliferation
Zmynd11	97484_at	7052.63	4380.9	-1.61	<0.0001	cell proliferation
Lrp1	101073_at	7108.1	4485.87	-1.58	<0.0001	cell proliferation
Ilk	101499_at	2669.93	1688.48	-1.58	<0.0001	cell proliferation
Nfkbia	104149_at	4554.9	2885.37	-1.58	0.0034	cell proliferation
Tgfb2	93300_at	356.13	228.87	-1.56	0.0003	cell proliferation
Tgfb3	102751_at	2558.43	1696.35	-1.51	0.0002	cell proliferation
Nde1	94910_at	2145.85	1466.55	-1.46	0.0012	cell proliferation
Ifitm3	160253_at	29520.78	20274.15	-1.46	<0.0001	cell proliferation
Egfr	101842_g_at	597.85	448.37	-1.33	0.0004	cell proliferation
Mina	101439_at	1044.23	810.9	-1.29	<0.0001	cell proliferation
Gspt2	103261_at	699.55	582.23	-1.2	0.0039	cell proliferation
Crip2	101593_at	3155.23	2372.35	-1.33	0.0002	cell proliferation
Pes1	160788_at	581.43	717.93	1.23	0.0005	cell proliferation
Cdk4	160538_at	6083.78	7712.6	1.27	0.0014	cell proliferation
Casp3	98437_at	1047.9	1411.22	1.35	0.0003	cell proliferation
Trp53	104275_g_at	499.83	679.23	1.36	0.0002	cell proliferation
Mitf	101159_at	333.15	474.17	1.42	<0.0001	cell proliferation
Fgfr2	93091_s_at	2356.48	3458.7	1.47	<0.0001	cell proliferation
Pla2g1b	160120_i_at	9189.98	13500.38	1.47	0.0002	cell proliferation
Hhex	98408_at	554.6	876.25	1.58	<0.0001	cell proliferation
D17Wsu10	96318_at	2278.85	3781.37	1.66	<0.0001	cell proliferation
Btg1	93104_at	2489.4	4137.4	1.66	0.0002	cell proliferation
Lzf	97228_at	1856.93	3348.25	1.8	<0.0001	cell proliferation
Ifrd2	104760_at	1467.83	2667.27	1.82	<0.0001	cell proliferation
Il1a	94755_at	320.15	610.77	1.91	0.0003	cell proliferation
Cebpa	98447_at	14463.03	28464.37	1.97	<0.0001	cell proliferation
Fgfr2	93090_at	8324.43	17573.48	2.11	0.0001	cell proliferation
Myc	104712_at	198.95	443.83	2.23	<0.0001	cell proliferation
Frk	92959_at	124.8	289.62	2.32	<0.0001	cell proliferation
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	cell proliferation
Lrp2	103377_at	2486.7	6358.9	2.56	<0.0001	cell proliferation
Tnfrsf1b	94928_at	1528.3	3995.82	2.61	<0.0001	cell proliferation
Cdca7	95063_at	410.6	1136.33	2.77	<0.0001	cell proliferation
Uhrf1	99564_at	255.93	1459.57	5.7	0.0004	cell proliferation
Ereg	98802_at	26.45	619.65	23.43	0.0003	cell proliferation
Fsp27	102016_at	182.33	13.93	-13.09	0.0018	cell death
Tbx3	103538_at	638.9	161.85	-3.95	<0.0001	cell death
Tnfrsf6	102921_s_at	687.08	193.27	-3.55	<0.0001	cell death
Tbx2	104655_at	2882.13	981.28	-2.94	<0.0001	cell death
Gadd45b	161666_f_at	2720.05	935.12	-2.91	<0.0001	cell death
Sphk1	103839_at	456.68	173.4	-2.63	<0.0001	cell death
Unc5c	103742_at	1072.9	448.7	-2.39	<0.0001	cell death
Notch1	97497_at	5603.65	2913.25	-1.92	<0.0001	cell death
Bnip2	93064_at	3494.8	1984.17	-1.76	0.0001	cell death
Tnfsf10	94112_at	796.65	461.08	-1.73	<0.0001	cell death
Pea15	100548_at	3955	2309.57	-1.71	0.0001	cell death
Tnfsf12	93917_at	2692.28	1703.98	-1.58	<0.0001	cell death
Rhob	101030_at	12876.73	8895.57	-1.45	0.0001	cell death
Tnfrsf1a	92793_at	3558.63	2574.2	-1.38	<0.0001	cell death
Dpf2	96073_at	7561.55	5809.32	-1.3	0.0028	cell death
Prss25	104102_at	1226.43	945.5	-1.3	0.001	cell death
Dad1	96008_at	10140.88	12359.35	1.22	0.0002	cell death
Lyzs	100611_at	22610.48	30274.6	1.34	0.0006	cell death
Casp3	98437_at	1047.9	1411.22	1.35	0.0003	cell death
Trp53	104275_g_at	499.83	679.23	1.36	0.0002	cell death
Cradd	102952_g_at	1224.93	1670.63	1.36	0.0002	cell death
Siva	97828_at	2243.33	3141.1	1.4	0.0002	cell death
Ddx41	160663_at	299.05	425.15	1.42	0.0017	cell death
Mitf	101159_at	333.15	474.17	1.42	<0.0001	cell death
Traf4	100005_at	1577.03	2258.95	1.43	0.0001	cell death
Bcap29	160876_at	1671.8	2407.75	1.44	<0.0001	cell death
Birc3	160645_at	806.1	1186.5	1.47	0.0019	cell death
Hif1a	98628_f_at	10556.45	16323.77	1.55	<0.0001	cell death
Hif1a	98629_f_at	10322.05	16378.62	1.59	<0.0001	cell death
Qars	94868_at	2398.18	3813.7	1.59	<0.0001	cell death
Dap	93842_at	6554.48	10759.57	1.64	<0.0001	cell death
Traf1	94186_at	602.98	1066.65	1.77	0.0003	cell death
Yars	160697_at	1288.03	2418.4	1.88	0.0002	cell death
Brca1	102976_at	130.2	249.03	1.91	<0.0001	cell death
Gdnf	92738_at	1004.85	1930.45	1.92	<0.0001	cell death
Hc	103458_at	1951.98	4018.55	2.06	0.0001	cell death
Myc	104712_at	198.95	443.83	2.23	<0.0001	cell death
Bcl2a1a	93869_s_at	3115.83	7703.27	2.47	0.0001	cell death
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	cell death
Tnfrsf1b	94928_at	1528.3	3995.82	2.61	<0.0001	cell death
Bcl2a1a	102914_s_at	4668.53	13927.07	2.98	<0.0001	cell death
Igf1	95546_g_at	135.48	463.78	3.42	0.0006	cell death
Clu	95286_at	2594.4	12203.65	4.7	<0.0001	cell death
Cideb	102329_at	61.7	348.8	5.65	0.0001	cell death
Igfbp5	100566_at	7141.5	1235.85	-5.78	<0.0001	cellular morphogenesis
Foxj1	98831_at	2090.63	458.25	-4.56	<0.0001	cellular morphogenesis
Fhl1	97498_at	21515.85	5806.35	-3.71	<0.0001	cellular morphogenesis
Ndn	101059_at	668	202.87	-3.29	0.0001	cellular morphogenesis
Gap43	102389_s_at	1058.9	326.65	-3.24	<0.0001	cellular morphogenesis
Igfbp2	98627_at	10414.93	3308.98	-3.15	0.0001	cellular morphogenesis
Epb4.1	160379_at	2694.05	1028.8	-2.62	<0.0001	cellular morphogenesis
Hgf	102898_at	220.6	97.75	-2.26	<0.0001	cellular morphogenesis
Igfbp4	101571_g_at	3327.5	1584.6	-2.1	<0.0001	cellular morphogenesis
Macf1	98402_at	14434.83	7527.05	-1.92	<0.0001	cellular morphogenesis
Reln	96591_at	500.8	262.38	-1.91	0.0005	cellular morphogenesis
Plekhc1	96774_at	4633.85	2437.35	-1.9	<0.0001	cellular morphogenesis
Emp1	97426_at	12599.63	6722.7	-1.87	0.0001	cellular morphogenesis
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	cellular morphogenesis
Vcl	94963_at	13427.5	7628.32	-1.76	0.0004	cellular morphogenesis
Pdgfa	94932_at	4358.48	2501.7	-1.74	0.0001	cellular morphogenesis
Palm	98454_at	1826.78	1061.98	-1.72	<0.0001	cellular morphogenesis
Prss11	96920_at	3406.38	2042.4	-1.67	0.0001	cellular morphogenesis
Ilk	101499_at	2669.93	1688.48	-1.58	<0.0001	cellular morphogenesis
Tgfb2	93300_at	356.13	228.87	-1.56	0.0003	cellular morphogenesis
Tgfb3	102751_at	2558.43	1696.35	-1.51	0.0002	cellular morphogenesis
Fyn	100133_at	1785.95	1202.55	-1.49	0.0022	cellular morphogenesis
Vcl	94964_at	1060.25	771.2	-1.37	0.0002	cellular morphogenesis
Egfr	101842_g_at	597.85	448.37	-1.33	0.0004	cellular morphogenesis
Glce	103739_at	1454.65	1091.22	-1.33	0.0001	cellular morphogenesis
Rhoq	104725_at	2295.8	1743.7	-1.32	0.0035	cellular morphogenesis
Epb4.1l2	101500_at	1541.9	1188.57	-1.3	0.0019	cellular morphogenesis
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	cellular morphogenesis
Igfbp4	94222_at	1552.3	1110.6	-1.4	0.0001	cellular morphogenesis
Ddx41	160663_at	299.05	425.15	1.42	0.0017	cellular morphogenesis
Ogfr	160668_at	1338.28	1931.6	1.44	0.0001	cellular morphogenesis
Itga7	93061_at	1148.68	1752.5	1.53	<0.0001	cellular morphogenesis
Dab2	98045_s_at	1213.28	1913.58	1.58	0.0002	cellular morphogenesis
Crb3	104584_f_at	408.8	660.95	1.62	<0.0001	cellular morphogenesis
Socs2	99475_at	8354.68	13640.58	1.63	0.0002	cellular morphogenesis
Spec1	97817_at	3868.18	6381.3	1.65	<0.0001	cellular morphogenesis
Wig1	92262_at	1710.93	3147.53	1.84	0.0002	cellular morphogenesis
Shc1	104350_at	2350.68	5741.02	2.44	<0.0001	cellular morphogenesis
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	cellular morphogenesis
Shc1	93713_at	958.25	2422.13	2.53	0.0001	cellular morphogenesis
Rhou	96747_at	501.68	1308.9	2.61	0.0001	cellular morphogenesis
Nov	100507_at	545.68	2530.58	4.64	0.0001	cellular morphogenesis
Cckar	92252_at	1517.53	179.95	-8.43	<0.0001	cell motility
Tek	102720_at	7860.5	1352	-5.81	<0.0001	cell motility
Enah	93864_s_at	20.63	3.58	-5.77	0.0001	cell motility
Robo1	103675_at	100.28	27.32	-3.67	0.0001	cell motility
Tie1	99936_at	6195.33	2007.15	-3.09	0.0001	cell motility
Cxcl12	100112_at	4097.5	1406.2	-2.91	0.0001	cell motility
Nr2f1	102715_at	336.13	116.72	-2.88	0.0014	cell motility
Flt1	98452_at	3534.73	1388.05	-2.55	<0.0001	cell motility
Unc5c	103742_at	1072.9	448.7	-2.39	<0.0001	cell motility
Amot	95531_at	803.18	346.55	-2.32	<0.0001	cell motility
Ccl21a	103012_at	4474.4	1987.67	-2.25	0.0004	cell motility
Sema3a	98835_at	1078.3	493.88	-2.18	0.0002	cell motility
Ablim1	103574_at	1588.05	749.7	-2.12	0.0005	cell motility
Kdr	104265_at	2002.58	963.9	-2.08	<0.0001	cell motility
Lama2	92366_at	966.18	470.5	-2.05	<0.0001	cell motility
Efnb1	98407_at	3189.78	1650.6	-1.93	<0.0001	cell motility
Flt1	98453_at	1535.7	799.35	-1.92	<0.0001	cell motility
Macf1	98402_at	14434.83	7527.05	-1.92	<0.0001	cell motility
Reln	96591_at	500.8	262.38	-1.91	0.0005	cell motility
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	cell motility
Vcl	94963_at	13427.5	7628.32	-1.76	0.0004	cell motility
Itga3	104210_at	2900.83	1717.88	-1.69	0.0003	cell motility
Gas8	93937_at	606.25	366.62	-1.65	<0.0001	cell motility
Lama4	104587_at	2330.9	1465.32	-1.59	<0.0001	cell motility
Tgfb2	93300_at	356.13	228.87	-1.56	0.0003	cell motility
Stmn1	97909_at	6933.08	4804.1	-1.44	0.0002	cell motility
Itga3	104211_at	3280.68	2345.35	-1.4	0.0016	cell motility
Vcl	94964_at	1060.25	771.2	-1.37	0.0002	cell motility
Epha4	104673_at	496.1	398.43	-1.25	0.0016	cell motility
Rac1	101555_at	32854.18	26872.5	-1.22	<0.0001	cell motility
Actr3	97904_at	13947.65	18996.52	1.36	0.0001	cell motility
Alcam	104407_at	3016.8	4284	1.42	0.0001	cell motility
Vasp	101982_at	6466.63	10342.65	1.6	<0.0001	cell motility
Actr2	96896_at	3679.13	6431.78	1.75	0.0023	cell motility
Ptpns1	103070_at	2016.88	3621.92	1.8	<0.0001	cell motility
Yars	160697_at	1288.03	2418.4	1.88	0.0002	cell motility
D7Ertd458e	94643_at	119.1	254.8	2.14	0.0002	cell motility
Strbp	103330_at	219.93	479.97	2.18	0.0001	cell motility
Gria1	92943_at	718.28	60.53	-11.87	<0.0001	cell-cell signaling
Atp1a2	99481_at	509	81.65	-6.23	<0.0001	cell-cell signaling
Rapgef4	92659_at	363.2	76.08	-4.77	0.0001	cell-cell signaling
Fgfr4	92937_at	852	198.85	-4.28	<0.0001	cell-cell signaling
Wnt11	103490_at	127.73	35.87	-3.56	<0.0001	cell-cell signaling
Gja4	104729_at	2841.28	995	-2.86	0.0003	cell-cell signaling
Plp	92801_at	114.23	41.9	-2.73	0.0005	cell-cell signaling
Fgfr1	97509_f_at	914.7	349.43	-2.62	<0.0001	cell-cell signaling
Naalad2	161079_at	285.05	117.93	-2.42	0.0001	cell-cell signaling
Gja7	104635_r_at	194.38	84.03	-2.31	0.0002	cell-cell signaling
Pclo	97753_at	41.65	18.75	-2.22	0.0001	cell-cell signaling
Ltbp4	97347_at	12875.18	6365	-2.02	<0.0001	cell-cell signaling
Vamp2	98926_at	4494.6	2356.25	-1.91	0.0003	cell-cell signaling
Snap25bp	160792_at	3252.33	1737.65	-1.87	<0.0001	cell-cell signaling
Wnt3a	102667_at	580.8	322.67	-1.8	<0.0001	cell-cell signaling
Maoa	93749_at	3401.83	2042.1	-1.67	0.0005	cell-cell signaling
Fyn	100133_at	1785.95	1202.55	-1.49	0.0022	cell-cell signaling
Gna11	102196_at	1307.35	882.65	-1.48	0.0006	cell-cell signaling
Dhh	161111_f_at	1528.6	1152.57	-1.33	0.0002	cell-cell signaling
Mbp	96310_at	2945.3	4259.88	1.45	<0.0001	cell-cell signaling
Fgfr2	93091_s_at	2356.48	3458.7	1.47	<0.0001	cell-cell signaling
Gdnf	92738_at	1004.85	1930.45	1.92	<0.0001	cell-cell signaling
Chrnb1	93705_at	1042.7	2003.92	1.92	<0.0001	cell-cell signaling
Egr2	102661_at	874.23	1682.12	1.92	0.0002	cell-cell signaling
Gja1	100064_f_at	6799.08	14298.9	2.1	<0.0001	cell-cell signaling
Fgfr2	93090_at	8324.43	17573.48	2.11	0.0001	cell-cell signaling
Il1rn	93871_at	699.65	1574.95	2.25	<0.0001	cell-cell signaling
Gja1	100065_r_at	383.93	866.68	2.26	<0.0001	cell-cell signaling
Gjb2	98423_at	337.75	1072.23	3.17	<0.0001	cell-cell signaling
Gjb1	93771_at	227.7	769.53	3.38	0.0005	cell-cell signaling
Gjb3	104232_at	226.73	969.07	4.27	<0.0001	cell-cell signaling
Ccl21a	103012_at	4474.4	1987.67	-2.25	0.0004	regulation of cell differentiation
Notch3	92956_at	2852.3	1369.45	-2.08	<0.0001	regulation of cell differentiation
Notch1	97497_at	5603.65	2913.25	-1.92	<0.0001	regulation of cell differentiation
Wnt3a	102667_at	580.8	322.67	-1.8	<0.0001	regulation of cell differentiation
Itpkb	104395_at	9335.13	5788.18	-1.61	<0.0001	regulation of cell differentiation
