Gene Symbol	GenBank ID	Affy ID	Fold change	P value	Gene Title
NUP205	AW008531	212247_at	1.45	1.06E-03	nucleoporin 205kDa
OAS1	NM_016816	202869_at	1.86	9.39E-04	2,5-oligoadenylate synthetase 1, 40/46kDa
OAS2	NM_016817	204972_at	1.56	9.50E-04	2-5-oligoadenylate synthetase 2, 69/71kDa
ODC1	NM_002539	200790_at	1.81	6.70E-04	ornithine decarboxylase 1
OLFM1	NM_006334	205591_at	0.76	4.12E-03	olfactomedin 1
OLFM1	R38389	213131_at	0.67	7.06E-03	olfactomedin 1
OR7E37P	AW874308	217499_x_at	1.5	2.48E-03	olfactory receptor, family 7, subfamily E, member 37
OSBPL8	AL049923	212582_at	0.64	5.61E-04	oxysterol binding protein-like 8
PADI2	AL049569	209791_at	1.5	6.51E-03	peptidyl arginine deiminase, type II
PAICS	NM_006452	201014_s_at	1.54	9.32E-03	phosphoribosylaminoimidazole succinocarboxamide synthetase
PARP12	NM_022750	218543_s_at	1.54	2.70E-03	poly (ADP-ribose) polymerase family, member 12
PCID1	NM_006360	202232_s_at	1.4	3.21E-03	PCI domain containing 1 (herpesvirus entry mediator)
PDE4A	NM_006202	204735_at	0.65	2.70E-03	phosphodiesterase 4A, cAMP-specific
PDIA5	NM_006810	203857_s_at	1.37	8.36E-03	protein disulfide isomerase family A, member 5
PDIA6	BE910010	208638_at	1.39	1.50E-03	protein disulfide isomerase family A, member 6
PDIA6	BC001312	208639_x_at	1.45	3.51E-03	protein disulfide isomerase family A, member 6
PDIA6	AK026926	216640_s_at	1.46	5.00E-03	protein disulfide isomerase family A, member 6
PDIA6	NM_005742	207668_x_at	1.37	7.95E-03	protein disulfide isomerase family A, member 6
PEX6	D83703	320_at	1.32	7.11E-03	peroxisomal biogenesis factor 6
PFAAP5	AW084068	214753_at	0.73	3.61E-03	phosphonoformate immuno-associated protein 5
PHF16	NM_014735	204866_at	1.74	2.06E-03	PHD finger protein 16
PHGDH	NM_006623	201397_at	1.6	4.59E-03	phosphoglycerate dehydrogenase
PLAA	AF145020	209533_s_at	1.44	2.92E-04	phospholipase A2-activating protein
PLAGL1	NM_002656	207002_s_at	0.58	3.50E-03	pleiomorphic adenoma gene-like 1 (Zac1)
PLCH1	AW665865	214745_at	1.29	7.64E-03	phospholipase C, eta 1
POU2AF1	NM_006235	205267_at	2.31	2.88E-03	POU domain, class 2, associating factor 1
PPA1	NM_021129	217848_s_at	1.39	4.73E-03	pyrophosphatase (inorganic) 1
PPARD	L07592	37152_at	1.23	9.11E-03	peroxisome proliferative activated receptor, delta
PPAT	U00238	209434_s_at	1.42	1.13E-03	phosphoribosyl pyrophosphate amidotransferase
PPIG	AW340788	208993_s_at	0.73	2.37E-03	peptidylprolyl isomerase G (cyclophilin G)
PPM1G	NM_002707	200913_at	1.26	3.53E-03	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
PRC1	NM_003981	218009_s_at	1.78	2.68E-03	protein regulator of cytokinesis 1
PRO1843	NM_018507	219599_at	0.61	9.27E-05	hypothetical protein PRO1843
PRPF4B	Z25435	211090_s_at	1.23	7.74E-03	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
PSMB9	NM_002800	204279_at	1.77	3.04E-03	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)
PSMC2	NM_002803	201068_s_at	1.3	8.81E-03	proteasome (prosome, macropain) 26S subunit, ATPase, 2
PSMD12	AI446530	202352_s_at	1.48	3.17E-03	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
PSMD12	NM_002816	202353_s_at	1.35	7.71E-03	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12
PSMD3	NM_002809	201388_at	1.65	8.71E-03	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3
PSPHL	NM_003832	205048_s_at	5.95	3.46E-10	phosphoserine phosphatase-like
PTP4A2	BF795101	208615_s_at	0.71	7.78E-03	protein tyrosine phosphatase type IVA, member 2
PTPRK	NM_002844	203038_at	1.8	6.30E-03	protein tyrosine phosphatase, receptor type, K
PTPRN2	AF007555	203030_s_at	0.77	6.79E-03	protein tyrosine phosphatase, receptor type, N polypeptide 2
PTS	M97655	209694_at	1.38	8.04E-03	6-pyruvoyltetrahydropterin synthase
PUS7	NM_019042	218984_at	1.54	2.21E-04	pseudouridylate synthase 7 homolog
QDPR	BC000576	209123_at	0.57	2.74E-03	quinoid dihydropteridine reductase
RAB13	NM_002870	202252_at	0.75	9.63E-04	RAB13, member RAS oncogene family
RAD51AP1	BE966146	204146_at	1.54	6.27E-03	RAD51 associated protein 1
RAPGEF3	U78168	210051_at	0.76	1.99E-03	Rap guanine nucleotide exchange factor (GEF) 3
RB1	NM_000321	203132_at	0.73	4.39E-03	retinoblastoma 1 (including osteosarcoma)
RBM14	NM_006328	204178_s_at	1.26	6.18E-03	RNA binding motif protein 14
RCOR3	NM_018254	218344_s_at	0.73	9.51E-03	REST corepressor 3
REPS2	NM_004726	205645_at	0.62	4.44E-04	RALBP1 associated Eps domain containing 2
RIS1	BF062629	213338_at	1.71	4.33E-03	Ras-induced senescence 1
RNASE4	AI761728	213397_x_at	0.52	1.47E-03	ribonuclease, RNase A family, 4
RNASE4	NM_002937	205158_at	0.68	9.49E-03	ribonuclease, RNase A family, 4
ROD1	AW190873	214697_s_at	1.38	3.48E-03	ROD1 regulator of differentiation 1
	NM_016542	218499_at	1.65	5.62E-03	Mst3 and SOK1-related kinase
RPIA	AI692341	212973_at	1.34	5.73E-03	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)
RPL13	AI186735	212734_x_at	0.77	7.83E-03	ribosomal protein L13
RPP40	NM_006638	213427_at	1.49	1.84E-03	ribonuclease P 40kDa subunit
RPS19	BE259729	213414_s_at	1.27	3.21E-03	ribosomal protein S19
RPS19	NM_001022	202649_x_at	1.23	8.90E-03	ribosomal protein S19
RRAS2	AI431643	212590_at	1.38	2.24E-03	related RAS viral (r-ras) oncogene homolog 2
RRM2	BE966236	201890_at	2.43	2.12E-04	ribonucleotide reductase M2 polypeptide
RRM2	BC001886	209773_s_at	2.02	5.79E-04	ribonucleotide reductase M2 polypeptide
RSAD2	AI337069	213797_at	2.14	9.29E-04	radical S-adenosyl methionine domain containing 2
RTCD1	NM_003729	203594_at	1.41	6.57E-03	RNA terminal phosphate cyclase domain 1
S100P	NM_005980	204351_at	3.15	1.11E-03	S100 calcium binding protein P
SACM1L	NM_014016	202797_at	0.71	7.31E-04	SAC1 suppressor of actin mutations 1-like
SAT	BE971383	213988_s_at	1.39	7.96E-03	spermidine/spermine N1-acetyltransferase
SCGB2A1	NM_002407	205979_at	0.3	7.84E-04	secretoglobin, family 2A, member 1
SCP2	AI753792	212589_at	1.47	9.50E-03	sterol carrier protein 2
SCUBE2	AI424243	219197_s_at	0.44	1.75E-03	signal peptide, CUB domain, EGF-like 2
SDC1	NM_002997	201287_s_at	1.56	8.16E-03	syndecan 1
SERBP1	NM_015640	217725_x_at	1.32	8.93E-03	SERPINE1 mRNA binding protein 1
SEZ6L2	NM_012410	218720_x_at	0.7	8.69E-03	seizure related 6 homolog (mouse)-like 2
SF3B1	AW003030	214305_s_at	0.77	5.44E-03	splicing factor 3b, subunit 1, 155kDa
SF3B3	NM_012426	200687_s_at	1.39	4.52E-03	splicing factor 3b, subunit 3, 130kDa
SFRS6	AL031681	208804_s_at	0.76	7.98E-03	splicing factor, arginine/serine-rich 6
SH3BGRL	AL515318	201311_s_at	0.68	5.79E-03	SH3 domain binding glutamic acid-rich protein like
SH3BGRL	NM_003022	201312_s_at	0.71	9.85E-03	SH3 domain binding glutamic acid-rich protein like
SHMT2	AW190316	214095_at	1.31	1.33E-03	serine hydroxymethyltransferase 2 (mitochondrial)
SHMT2	NM_005412	214437_s_at	1.46	3.18E-03	serine hydroxymethyltransferase 2 (mitochondrial)
SLC27A3	BC003654	222217_s_at	0.71	2.29E-04	solute carrier family 27 (fatty acid transporter), member 3
SLC30A1	AI972416	212907_at	0.73	8.31E-03	solute carrier family 30 (zinc transporter), member 1
SLC35F2	NM_017515	218826_at	1.33	7.74E-04	solute carrier family 35, member F2
SLC39A7	NM_006979	202667_s_at	1.6	1.20E-03	solute carrier family 39 (zinc transporter), member 7
SLC5A6	NM_021095	204087_s_at	1.58	1.85E-04	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
SLC7A1	AA148507	212295_s_at	1.4	7.71E-04	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
SLC7A5	AB018009	201195_s_at	2.05	1.14E-03	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
SMARCA4	AF254822	215714_s_at	1.33	3.95E-03	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCD3	NM_003078	204099_at	0.63	1.87E-03	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
SNED1	N73970	213488_at	0.76	7.42E-03	sushi, nidogen and EGF-like domains 1
SNX1	NM_003099	201716_at	0.78	4.79E-03	sorting nexin 1
SOS1	L13857	212777_at	1.52	5.21E-05	son of sevenless homolog 1 (Drosophila)
SOX11	AI360875	204913_s_at	2.41	8.37E-04	SRY (sex determining region Y)-box 11
SOX11	AW157202	204914_s_at	1.83	2.09E-03	SRY (sex determining region Y)-box 11
SOX4	AL136179	201417_at	1.5	4.55E-03	SRY (sex determining region Y)-box 4
SPAG5	NM_006461	203145_at	1.55	8.04E-04	sperm associated antigen 5
SPATA20	NM_022827	218164_at	0.7	4.13E-03	spermatogenesis associated 20
SPCS3	NM_021928	218817_at	1.27	4.13E-03	signal peptidase complex subunit 3 homolog (S. cerevisiae)
SPP1	M83248	209875_s_at	0.4	2.46E-03	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)
SRPK1	NM_003137	202200_s_at	1.37	6.00E-03	SFRS protein kinase 1
SRPR	NM_003139	200918_s_at	1.27	7.94E-03	signal recognition particle receptor (docking protein)
SSBP1	NM_003143	202591_s_at	1.46	2.39E-03	single-stranded DNA binding protein 1
SSR1	AW006345	200890_s_at	1.42	5.57E-03	signal sequence receptor, alpha (transloconassociated protein alpha)
STAG2	BC001765	209023_s_at	0.76	6.96E-03	stromal antigen 2
STAG2	BC000795	221610_s_at	1.49	3.75E-03	signal-transducing adaptor protein-2
STAT1	NM_007315	200887_s_at	1.69	6.52E-04	signal transducer and activator of transcription 1, 91kDa
STAT1	BC002704	209969_s_at	1.84	3.24E-03	signal transducer and activator of transcription 1, 91kDa
STOM	M81635	201061_s_at	0.68	6.67E-03	stomatin
STYK1	NM_018423	220030_at	1.79	1.00E-03	serine/threonine/tyrosine kinase 1
SYCP2	NM_014258	206546_at	0.64	2.56E-03	synaptonemal complex protein 2
SYT17	NM_016524	205613_at	0.57	5.42E-04	synaptotagmin XVII
TACSTD1	NM_002354	201839_s_at	2.5	2.44E-03	tumor-associated calcium signal transducer 1
TAP1	NM_000593	202307_s_at	1.78	5.89E-04	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
TAP2	M74447	204769_s_at	1.48	2.15E-03	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
TAP2	NM_000544	204770_at	1.22	5.66E-03	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
TBC1D5	AI300084	201814_at	0.72	1.64E-04	TBC1 domain family, member 5
TBC1D8	NM_007063	204526_s_at	0.72	8.90E-03	TBC1 domain family, member 8 (with GRAM domain)
TBRG4	NM_004749	220789_s_at	1.27	4.37E-03	transforming growth factor beta regulator 4
TCP1	BF224073	222010_at	1.43	7.37E-04	t-complex 1
TDRD3	AU156998	214028_x_at	0.77	6.90E-03	tudor domain containing 3
TDRD3	NM_030794	208089_s_at	0.71	9.97E-03	tudor domain containing 3
TES	NM_015641	202720_at	1.43	4.15E-03	testis derived transcript (3 LIM domains)
TFDP1	R60866	212330_at	1.46	3.75E-03	transcription factor Dp-1
THBD	NM_000361	203887_s_at	0.49	1.20E-05	thrombomodulin
THRAP4	AI023317	213043_s_at	1.72	4.54E-04	thyroid hormone receptor associated protein 4
TIMM23	NM_006327	218118_s_at	1.33	5.20E-03	translocase of inner mitochondrial membrane 23 homolog
TM2D1	AA012917	213883_s_at	0.78	8.34E-03	TM2 domain containing 1
TMED2	NM_006815	204427_s_at	1.34	4.53E-03	transmembrane emp24 domain trafficking protein 2
TMEM121	NM_025268	219663_s_at	0.8	8.65E-03	transmembrane protein 121
TMEM127	NM_017849	219460_s_at	0.81	3.75E-03	transmembrane protein 127
TMEM132A	NM_017870	218834_s_at	1.44	2.97E-03	transmembrane protein 132A
TMPO	AW272611	203432_at	1.48	3.58E-04	thymopoietin
TNXB	BE044614	213451_x_at	0.63	3.01E-03	tenascin XB
TNXB	M25813	216333_x_at	0.67	4.73E-03	tenascin XB
TOP2A	AU159942	201291_s_at	1.89	8.91E-03	topoisomerase (DNA) II alpha 170kDa
TOPORS	NM_005802	204071_s_at	1.29	9.69E-03	topoisomerase I binding, arginine/serine-rich
TOR1AIP1	AK023204	212408_at	0.78	5.87E-03	torsin A interacting protein 1
TOR1AIP1	AK021613	212409_s_at	0.83	7.87E-03	torsin A interacting protein 1
TRAF5	NM_004619	204352_at	0.65	4.36E-03	TNF receptor-associated factor 5
TRAK1	NM_014965	202080_s_at	0.77	6.71E-03	trafficking protein, kinesin binding 1
TRIAP1	NM_016399	218403_at	1.37	5.01E-03	TP53 regulated inhibitor of apoptosis 1
TRPC1	NM_003304	205803_s_at	0.73	8.58E-03	transient receptor potential cation channel, subfamily C, member 1
TRPV6	NM_014274	206827_s_at	1.49	2.00E-03	transient receptor potential cation channel, subfamily V, member 6
TSPAN31	NM_005981	203227_s_at	0.72	1.78E-03	tetraspanin 31
TSPAN4	BC000389	209263_x_at	0.73	5.08E-03	tetraspanin 4
TSPAN8	NM_004616	203824_at	2.09	7.36E-03	tetraspanin 8
TSPYL5	AI096375	213122_at	1.67	3.97E-03	TSPY-like 5
TSR1	NM_018128	218156_s_at	1.37	4.55E-03	TSR1, 20S rRNA accumulation, homolog (S.cerevisiae)
TTK	NM_003318	204822_at	1.62	2.38E-03	TTK protein kinase
U2AF2	NM_007279	218381_s_at	1.32	5.88E-03	U2 small nuclear RNA auxiliary factor 2
UBAP2	NM_018449	219192_at	1.61	1.31E-04	ubiquitin associated protein 2
UBAP2	AK026088	221839_s_at	1.34	1.98E-03	ubiquitin associated protein 2
UBE2C	NM_007019	202954_at	1.44	2.61E-03	ubiquitin-conjugating enzyme E2C
UBE2I	AL031714	208760_at	0.72	2.11E-03	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
UBE2N	BG290646	212751_at	1.39	1.48E-03	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
UROD	M14016	208970_s_at	0.78	9.59E-03	uroporphyrinogen decarboxylase
USP4	AF017306	211800_s_at	0.8	7.51E-03	ubiquitin specific peptidase 4 (proto-oncogene)
VCP	AF100752	208649_s_at	1.25	7.74E-03	valosin-containing protein
VEGF	AF022375	210512_s_at	1.59	1.31E-03	vascular endothelial growth factor
VPS37B	BC005882	221704_s_at	1.39	1.63E-03	vacuolar protein sorting 37 homolog B
WDR67	AI017564	214061_at	1.3	5.02E-03	WD repeat domain 67
WSB2	NM_018639	201760_s_at	1.34	8.03E-03	WD repeat and SOCS box-containing 2
XK	NM_021083	206698_at	1.53	9.29E-04	X-linked Kx blood group (McLeod syndrome)
XPOT	AI984005	212160_at	1.42	1.38E-03	exportin, tRNA (nuclear export receptor for tRNAs)
YWHAQ	NM_006826	200693_at	1.51	1.73E-04	tyrosine 3-monooxygenase
YY1	Z14077	201901_s_at	0.81	9.50E-03	YY1 transcription factor
ZBED4	NM_014838	204799_at	1.37	1.56E-03	zinc finger, BED-type containing 4
ZBTB38	NM_024724	219221_at	0.72	1.23E-03	zinc finger and BTB domain containing 38
ZBTB5	NM_014872	203026_at	1.35	2.09E-03	zinc finger and BTB domain containing 5
ZC3HAV1	NM_020119	220104_at	1.29	4.36E-03	zinc finger CCCH-type, antiviral 1
ZHX3	AB007855	217367_s_at	0.81	4.82E-03	zinc fingers and homeoboxes 3
ZIC1	NM_003412	206373_at	1.85	8.91E-04	Zic family member 1
ZMYND11	BE250417	202136_at	0.76	3.95E-03	zinc finger, MYND domain containing 11
ZNF277	NM_021994	218645_at	1.35	1.99E-03	zinc finger protein 277
ZNF281	NM_012482	218401_s_at	0.62	9.92E-04	zinc finger protein 281
ZNF302	NM_018443	218490_s_at	0.67	5.20E-03	zinc finger protein 302
ZNF331	NM_018555	219228_at	0.73	2.18E-03	zinc finger protein 331
ZNF395	NM_018660	221123_x_at	0.69	3.46E-03	zinc finger protein 395
ZNF688	AI095896	213527_s_at	0.76	3.41E-03	zinc finger protein 688
