Probe set	Gene Symbol	Signature	ADC:OT Ratio	SCC:OT Ratio	LCC:OT Ratio	ADC Mean	SCC Mean	LCC Mean	ADC SD	LCC SD	SCC SD
219476_at	C1orf116	LCC	4.29	0.46	0.19	0.15	-1.02	-3.16	1.41	1.73	0.62
219537_x_at	DLL3	LCC	0.60	0.48	2.99	0.13	-0.17	1.26	0.47	1.24	0.26
219740_at	VASH2	LCC	0.46	0.47	3.73	0.05	-0.11	1.69	0.45	1.01	0.61
220167_s_at	LOC729355 /// TP53TG3	LCC	0.45	0.46	3.88	-0.21	-0.25	1.35	0.47	1.22	0.24
221591_s_at	FAM64A	LCC	0.66	0.59	2.40	0.52	0.40	1.75	0.62	0.51	0.38
221959_at	FAM110B	LCC	0.53	0.76	2.41	-0.54	-0.23	0.66	0.32	0.91	0.33
222549_at	CLDN1	LCC	0.70	3.62	0.11	0.37	1.51	-1.96	1.16	0.96	1.42
222771_s_at	MYEF2	LCC	0.74	0.36	2.88	0.06	-0.72	1.36	1.03	0.91	0.76
222797_at	DPYSL5	LCC	0.40	0.51	3.94	-0.21	-0.04	1.45	0.29	1.08	0.16
223307_at	CDCA3	LCC	0.45	0.87	2.50	0.73	1.51	2.48	0.88	0.52	0.44
223374_s_at	B3GALNT1	LCC	0.42	0.51	3.77	-0.87	-0.63	1.02	0.88	1.14	0.65
223381_at	NUF2	LCC	0.55	0.70	2.49	1.15	1.43	2.83	1.03	0.45	0.95
223523_at	TMEM108	LCC	0.42	0.25	5.41	-0.93	-1.38	0.72	1.00	1.80	0.30
223540_at	PVRL4	LCC	1.39	1.37	0.34	0.93	1.08	-0.51	0.72	0.56	0.48
223591_at	RNF135	LCC	1.52	1.07	0.47	0.33	0.12	-0.94	0.55	0.76	0.39
223614_at	C8orf57	LCC	0.49	0.53	3.29	-0.20	-0.08	1.31	0.76	1.17	0.46
223627_at	MEX3B	LCC	0.44	0.55	3.54	-0.11	0.00	1.23	0.15	1.24	0.28
224414_s_at	CARD6	LCC	1.38	1.22	0.44	-0.24	-0.31	-1.51	0.55	0.78	0.64
224521_s_at	CCDC77	LCC	0.57	0.67	2.51	-0.05	0.09	1.31	0.51	0.56	0.34
224650_at	MAL2	LCC	1.74	1.16	0.28	0.68	0.47	-2.30	0.74	2.70	0.60
225482_at	KIF1A	LCC	0.35	0.33	5.62	-0.19	-0.40	2.25	0.61	0.58	0.53
225613_at	LOC100128443 /// MAST4	LCC	1.02	1.97	0.31	-0.37	0.10	-1.85	0.57	0.65	0.87
225745_at	LRP6	LCC	0.69	0.52	2.49	-0.27	-0.68	0.99	0.82	0.57	0.82
225834_at	FAM72A /// FAM72B /// GCUD2	LCC	0.46	0.78	2.68	0.60	0.98	2.24	0.80	0.88	0.93
226147_s_at	PIGR	LCC	2.02	0.85	0.38	0.32	-0.11	-3.39	1.26	3.19	0.83
226269_at	GDAP1	LCC	0.42	0.43	4.22	-0.29	-0.22	1.53	0.95	1.31	0.42
226285_at	CAPRIN1	LCC	0.52	0.90	2.14	-0.27	0.24	0.93	0.43	0.78	0.38
226346_at	MEX3A	LCC	0.49	0.40	3.85	0.34	0.11	1.87	0.71	1.18	0.21
226560_at	---	LCC	2.24	0.91	0.25	0.82	0.21	-1.77	0.73	1.58	0.67
226610_at	PRR6	LCC	0.32	0.66	3.91	-0.19	0.47	2.36	1.05	0.69	1.18
226612_at	FLJ25076	LCC	0.16	0.26	10.60	-0.66	-0.24	1.70	0.48	2.05	0.56
226618_at	FLJ25076	LCC	0.51	0.67	2.75	-0.36	-0.15	0.73	0.19	1.14	0.21
226809_at	FLJ30428	LCC	0.16	0.16	13.14	0.13	0.10	3.09	1.17	2.33	0.73
226933_s_at	ID4	LCC	0.49	0.72	2.66	-0.83	-0.25	0.83	0.92	0.88	0.46
226960_at	CXCL17	LCC	3.14	0.62	0.24	0.63	-0.25	-3.37	1.61	2.29	0.82
227134_at	SYTL1	LCC	1.22	1.65	0.30	0.28	0.75	-1.43	0.94	1.23	0.51
227188_at	C21orf63	LCC	1.45	1.48	0.24	-0.09	0.17	-2.05	1.04	0.93	0.53
227230_s_at	KIAA1211	LCC	0.35	0.24	6.47	-0.03	-0.52	1.89	0.83	1.61	0.43
227512_at	MEX3A	LCC	0.60	0.44	3.10	0.46	0.07	1.83	0.61	0.84	0.31
227525_at	GLCCI1	LCC	0.86	0.48	2.13	-0.44	-0.93	0.51	0.78	0.61	0.32
227545_at	---	LCC	0.57	0.43	3.30	0.56	0.37	2.21	1.13	1.06	0.63
227593_at	FLJ37453	LCC	0.39	0.70	3.26	-0.41	0.01	1.28	0.59	1.13	0.88
227612_at	ELAVL3	LCC	0.08	0.11	23.62	-0.35	-0.23	2.50	0.19	2.92	0.12
227647_at	KCNE3	LCC	1.19	1.62	0.34	0.22	0.43	-1.28	0.58	0.85	0.80
227746_at	ELAVL1	LCC	0.40	0.73	3.12	-0.52	-0.16	1.17	0.29	0.83	0.83
227998_at	S100A16	LCC	1.36	1.64	0.22	0.49	0.92	-1.60	0.84	0.85	0.23
228107_at	LOC100127983	LCC	0.39	0.49	4.10	-0.59	-0.47	0.97	0.22	1.43	0.18
228241_at	AGR3	LCC	2.72	0.86	0.15	0.15	-1.06	-4.30	1.43	2.34	2.48
228245_s_at	LOC100132881 /// LOC728715 /// OVOS /// OVOS2	LCC	0.33	0.41	5.19	-0.35	-0.31	1.97	1.16	1.25	1.34
228291_s_at	C20orf19	LCC	0.56	0.66	2.57	-0.38	-0.37	0.77	0.31	0.98	0.60
228547_at	NRXN1	LCC	0.25	0.30	7.52	-0.41	-0.37	1.28	0.13	1.88	0.15
228708_at	RAB27B	LCC	3.36	0.59	0.23	0.46	-0.65	-2.40	1.02	1.78	0.84
228882_at	TUB	LCC	0.32	0.73	3.65	-0.81	-0.13	1.22	0.45	1.01	0.79
228906_at	TET1	LCC	0.39	0.58	3.67	0.00	0.32	1.64	0.74	1.36	0.79
229057_at	SCN2A	LCC	0.33	0.34	5.68	-0.14	-0.19	1.45	0.49	1.84	0.14
229349_at	LIN28B	LCC	0.16	0.18	12.92	-0.28	-0.31	2.01	0.21	2.30	0.12
229442_at	C18orf54	LCC	0.40	0.34	4.94	0.01	-0.21	1.89	0.62	1.32	0.25
229610_at	CKAP2L	LCC	0.53	0.73	2.49	0.47	0.61	1.84	0.53	0.69	0.79
229921_at	---	LCC	0.64	0.48	2.82	0.02	-0.32	1.14	0.48	1.03	0.19
230193_at	WDR66	LCC	0.96	2.84	0.06	1.05	2.83	-1.53	2.15	0.60	0.85
230407_at	---	LCC	0.61	0.56	2.65	-0.25	-0.42	1.14	0.55	0.43	0.61
230664_at	H2BFM /// H2BFXP	LCC	0.38	0.41	4.68	-0.28	-0.30	1.38	0.36	1.55	0.34
230861_at	DKFZP434L187	LCC	0.42	0.53	3.72	-0.17	-0.04	1.10	0.10	1.46	0.16
231936_at	HOXC9	LCC	0.24	0.21	9.06	0.16	0.04	2.85	1.00	1.87	0.68
232038_at	C6orf170	LCC	0.53	0.73	2.51	-0.15	0.02	1.03	0.40	0.96	0.67
232282_at	WNK3	LCC	0.40	0.23	5.93	0.17	-0.33	1.87	0.99	1.86	0.27
233300_at	---	LCC	0.59	0.63	2.51	0.05	0.10	1.36	0.68	0.69	0.51
233536_at	ASXL3	LCC	0.65	0.61	2.37	-0.28	-0.41	0.65	0.29	1.05	0.18
234192_s_at	GKAP1	LCC	0.67	0.37	3.06	-0.17	-0.78	1.11	0.74	0.94	0.31
235343_at	VASH2	LCC	0.36	0.23	6.37	0.23	-0.39	1.97	0.67	1.68	0.43
235352_at	---	LCC	1.69	1.04	0.39	0.07	-0.28	-1.64	0.56	1.28	0.62
235759_at	---	LCC	0.28	0.34	6.38	-0.92	-0.82	0.91	0.35	1.95	0.22
235762_at	TAS2R14	LCC	0.52	0.54	3.10	-0.20	-0.35	1.04	0.34	1.02	0.60
236236_at	---	LCC	0.62	0.30	3.62	0.22	-0.43	1.62	0.99	1.31	0.37
236302_at	PPM1E	LCC	0.34	0.05	9.51	0.31	-0.77	2.69	1.92	2.42	0.25
236635_at	ZNF667	LCC	0.44	0.37	4.36	-0.24	-0.48	1.33	0.62	1.54	0.30
236641_at	KIF14	LCC	0.50	0.62	2.95	0.65	0.90	2.50	0.96	0.46	0.76
237116_at	LOC646903	LCC	0.54	0.53	3.04	-0.06	-0.15	1.20	0.31	1.08	0.15
237248_at	PDE11A	LCC	0.35	0.44	4.78	-0.10	0.02	1.52	0.14	1.63	0.24
237305_at	---	LCC	0.43	0.47	3.89	-0.11	-0.11	1.35	0.26	1.37	0.18
238073_at	ELAVL4	LCC	0.37	0.34	5.32	-0.10	-0.36	1.41	0.16	1.72	0.13
238763_at	RBM20	LCC	0.41	0.51	3.87	-0.35	-0.22	1.11	0.11	1.40	0.14
238850_at	LOC645323	LCC	0.44	0.53	3.61	-0.18	-0.08	1.05	0.14	1.43	0.22
239466_at	LOC344595	LCC	0.41	0.52	3.79	-0.39	-0.27	0.97	0.48	1.43	0.52
240084_at	CBX2	LCC	0.61	0.76	2.15	0.02	0.17	1.16	0.52	0.60	0.58
242301_at	CBLN2	LCC	0.32	0.44	5.03	-0.20	-0.07	1.53	0.17	1.65	0.50
242822_at	MGC39584	LCC	0.32	0.35	5.77	-0.26	-0.28	1.68	0.20	1.55	0.17
243932_at	---	LCC	0.54	0.61	2.77	-0.14	-0.10	0.92	0.11	1.24	0.12
244660_at	ELAVL1	LCC	0.33	0.43	5.08	-0.38	-0.23	1.29	0.24	1.42	0.32
244780_at	SGPP2	LCC	1.71	1.25	0.24	1.15	1.09	-1.35	1.02	1.79	0.75
39248_at	AQP3	LCC	2.34	0.99	0.16	0.24	-0.39	-3.23	1.29	1.97	1.50
40016_g_at	LOC100128443 /// MAST4	LCC	1.05	1.83	0.35	-0.23	0.28	-1.61	0.41	0.69	0.42
1552291_at	PIGX	SCC	0.42	2.90	0.70	0.02	1.42	0.22	0.51	1.13	1.29
1552477_a_at	IRF6	SCC	0.35	4.88	0.34	0.10	2.24	-0.35	0.60	1.09	0.76
1553605_a_at	ABCA13	SCC	0.16	13.57	0.09	-0.26	2.17	-0.86	1.01	0.19	2.40
1554018_at	GPNMB	SCC	0.46	3.86	0.35	-0.35	1.79	-0.40	1.67	0.73	0.87
1554556_a_at	ATP11B	SCC	0.31	4.40	0.51	-0.02	1.84	0.35	0.26	0.44	1.18
1554667_s_at	METTL8	SCC	0.41	2.63	0.83	0.06	1.55	0.75	0.51	0.47	0.96
1555007_s_at	WDR66	SCC	0.41	3.98	0.40	-0.28	1.08	-0.46	0.54	0.43	1.59
1556793_a_at	FAM83C	SCC	0.13	12.03	0.20	-0.50	2.75	-0.23	0.09	0.14	1.19
1559606_at	GBP6	SCC	0.09	19.12	0.12	-0.51	3.45	-0.56	0.11	0.09	0.97
1559607_s_at	GBP6	SCC	0.05	38.23	0.06	-0.74	4.19	-0.84	0.39	0.15	1.09
1563111_a_at	PIGX	SCC	0.38	3.54	0.57	-0.04	1.85	0.13	0.60	0.87	0.78
1564064_a_at	ATP11B	SCC	0.33	4.34	0.48	-0.10	1.99	0.23	0.69	0.57	0.96
1568932_at	---	SCC	0.32	4.98	0.37	-0.36	1.32	-0.42	0.12	0.13	1.29
201249_at	SLC2A1	SCC	0.41	3.31	0.57	-0.25	1.45	-0.14	0.34	0.67	0.68
201250_s_at	SLC2A1	SCC	0.30	4.43	0.52	0.39	3.10	0.30	1.13	1.86	0.42
202219_at	SLC6A8	SCC	0.25	6.88	0.28	-0.31	3.08	0.24	1.39	0.94	0.97
202504_at	TRIM29	SCC	0.17	13.20	0.10	-0.65	3.82	-0.85	1.90	1.37	0.79
202597_at	IRF6	SCC	0.48	2.99	0.56	0.04	1.64	-0.19	0.40	1.15	0.38
202804_at	ABCC1	SCC	0.49	2.42	0.76	-0.03	1.42	0.14	0.56	0.91	0.45
202912_at	ADM	SCC	0.36	3.42	0.63	-0.91	1.43	-0.69	1.11	1.86	0.55
203074_at	ANXA8 /// ANXA8L1 /// ANXA8L2	SCC	0.26	7.92	0.18	-1.61	1.52	-1.82	1.31	0.77	1.12
203797_at	VSNL1	SCC	0.13	7.01	0.51	-1.11	2.79	0.10	1.06	1.73	0.70
204060_s_at	PRKX /// PRKY	SCC	0.49	2.35	0.88	-0.09	0.65	0.26	0.66	0.97	1.00
204061_at	PRKX	SCC	0.35	2.40	1.07	-0.23	1.37	0.50	0.63	1.20	1.02
204136_at	COL7A1	SCC	0.32	5.03	0.36	-0.36	1.62	-0.48	0.49	0.66	1.09
204203_at	CEBPG	SCC	0.41	2.98	0.69	-0.11	1.50	0.20	0.43	0.77	0.75
204268_at	S100A2	SCC	0.19	14.45	0.03	0.16	4.92	-1.46	1.92	1.42	0.77
204455_at	DST	SCC	0.07	30.69	0.06	-0.45	4.17	-1.29	1.07	1.23	1.49
204469_at	PTPRZ1	SCC	0.09	26.09	0.04	-0.53	4.44	-1.00	1.48	0.69	1.06
204614_at	SERPINB2	SCC	0.15	10.02	0.26	-0.94	1.74	-0.53	0.18	0.28	1.78
204653_at	TFAP2A	SCC	0.33	3.77	1.98	0.43	2.17	1.27	1.39	2.44	0.87
204734_at	KRT15	SCC	0.09	23.51	0.06	-0.19	4.63	-0.98	1.63	1.44	1.06
204952_at	LYPD3	SCC	0.26	7.36	0.21	0.05	2.48	-0.32	1.03	0.87	1.54
204971_at	CSTA	SCC	0.18	11.45	0.13	-0.76	2.62	-2.40	0.98	2.53	0.83
205014_at	FGFBP1	SCC	0.09	24.37	0.06	-0.86	3.48	-1.41	1.06	0.38	1.31
205064_at	SPRR1B	SCC	0.06	42.61	0.02	-0.52	4.65	-1.07	1.55	0.20	1.99
205157_s_at	KRT17	SCC	0.06	25.58	0.11	-0.91	4.04	-0.74	1.19	1.52	1.17
205379_at	CBR3	SCC	0.43	4.29	0.31	-0.02	1.92	-0.67	0.78	0.90	0.71
205623_at	ALDH3A1	SCC	0.06	28.91	0.10	-0.78	4.13	-0.79	0.88	1.38	1.36
205724_at	PKP1	SCC	0.37	4.14	0.43	-0.10	1.82	-0.09	0.46	0.39	0.81
205816_at	ITGB8	SCC	0.47	3.41	0.45	0.01	1.34	-0.01	0.80	0.53	1.26
206122_at	SOX15	SCC	0.51	3.01	0.50	-0.13	1.44	-0.09	0.88	0.59	0.91
206156_at	GJB5	SCC	0.31	5.67	0.29	-0.15	2.14	-0.44	0.48	0.41	0.79
206164_at	CLCA2	SCC	0.07	26.84	0.09	-0.94	3.30	-0.96	0.15	0.16	1.52
206165_s_at	CLCA2	SCC	0.02	92.80	0.03	-1.38	4.79	-1.23	0.15	0.46	1.58
206166_s_at	CLCA2	SCC	0.05	37.97	0.07	-0.97	3.87	-0.82	0.12	0.20	1.72
206307_s_at	FOXD1	SCC	0.64	2.74	0.81	0.33	1.67	0.79	1.57	1.51	1.14
206912_at	FOXE1	SCC	0.04	38.68	0.08	-0.58	4.20	-0.35	0.43	1.03	1.85
207469_s_at	PIR	SCC	0.31	2.79	0.99	-0.53	1.59	-0.34	1.02	2.09	0.84
207602_at	TMPRSS11D	SCC	0.09	19.64	0.11	-0.26	3.48	-0.29	0.40	0.16	1.61
207675_x_at	ARTN	SCC	0.26	4.99	0.50	-0.13	2.17	0.08	0.45	1.10	1.17
207935_s_at	KRT13	SCC	0.01	152.16	0.02	-1.12	5.17	-1.14	0.31	0.16	2.03
208539_x_at	SPRR2B	SCC	0.06	29.75	0.08	-0.53	3.59	-0.56	0.27	0.47	1.89
208836_at	ATP1B3	SCC	0.40	3.40	0.56	-0.62	1.28	-0.41	0.67	0.63	0.49
209125_at	KRT6A	SCC	0.04	64.32	0.01	-0.96	6.83	-1.49	2.13	0.78	0.68
209126_x_at	KRT6B	SCC	0.09	25.31	0.05	-0.50	4.23	-1.07	1.00	0.28	0.61
209203_s_at	BICD2	SCC	0.33	3.87	0.57	-0.58	1.33	-0.17	0.30	0.53	0.92
209260_at	SFN	SCC	0.43	4.97	0.20	0.30	2.39	-1.26	0.85	1.75	0.67
209351_at	KRT14	SCC	0.01	220.32	0.01	-1.07	5.24	-0.91	0.50	0.38	2.50
209380_s_at	ABCC5	SCC	0.24	6.74	0.30	-0.23	2.56	-0.05	0.80	0.22	0.72
209652_s_at	PGF	SCC	0.51	3.01	0.50	-0.14	1.26	-0.26	0.48	0.33	0.82
209719_x_at	SERPINB3	SCC	0.15	10.97	0.21	-0.87	2.83	-0.60	1.45	1.42	1.74
209800_at	KRT16	SCC	0.06	31.35	0.07	-0.51	3.50	-0.70	0.66	0.79	1.95
210020_x_at	CALML3	SCC	0.08	20.73	0.12	-0.49	4.37	-0.19	1.23	1.35	1.22
210180_s_at	SFRS10	SCC	0.42	2.73	0.77	-0.56	1.14	0.04	0.70	0.61	0.70
210237_at	ARTN	SCC	0.34	3.43	0.68	0.00	1.89	0.45	0.61	0.96	0.99
210505_at	ADH7	SCC	0.07	25.28	0.09	-0.72	3.50	-0.75	0.15	0.17	1.27
210854_x_at	SLC6A8	SCC	0.19	6.26	0.47	-0.19	2.94	0.78	0.92	0.97	0.92
211002_s_at	TRIM29	SCC	0.36	5.32	0.25	-0.17	2.13	-0.54	0.98	0.44	0.94
211194_s_at	TP63	SCC	0.13	13.33	0.16	-0.48	2.74	-0.57	0.16	0.45	1.31
211361_s_at	SERPINB13	SCC	0.05	35.59	0.07	-0.68	3.26	-0.58	0.09	0.13	2.30
212236_x_at	KRT17	SCC	0.08	18.33	0.15	-0.71	3.88	-0.55	1.22	1.51	0.97
212702_s_at	BICD2	SCC	0.35	3.77	0.57	-0.59	1.31	-0.14	0.43	0.16	0.90
212810_s_at	SLC1A4	SCC	0.45	2.58	0.77	-0.03	1.59	0.33	0.82	1.28	0.65
213110_s_at	COL4A5	SCC	0.24	4.36	0.67	-1.37	1.12	-1.03	0.72	1.76	1.06
213139_at	SNAI2	SCC	0.39	3.61	0.54	-0.91	1.38	-0.68	1.27	1.33	0.62
213154_s_at	BICD2	SCC	0.35	3.74	0.56	-0.62	1.20	-0.21	0.41	0.21	0.92
213680_at	KRT6B	SCC	0.01	124.00	0.03	-1.21	5.99	-0.82	0.85	1.36	1.15
213707_s_at	DLX5	SCC	0.21	3.38	1.01	-0.46	1.67	0.60	0.20	1.34	1.27
213796_at	SPRR1A	SCC	0.01	232.64	0.01	-0.91	5.46	-1.12	0.54	0.17	2.53
213843_x_at	SLC6A8	SCC	0.17	6.91	0.42	-0.31	3.06	0.67	1.03	1.02	0.87
213992_at	COL4A6	SCC	0.20	8.33	0.25	-0.91	1.41	-0.90	0.23	0.36	1.68
214549_x_at	SPRR1A	SCC	0.11	17.60	0.10	-0.27	2.97	-0.56	0.66	0.23	1.84
214580_x_at	KRT6A /// KRT6B /// KRT6C	SCC	0.07	35.21	0.03	-0.80	4.95	-1.17	1.40	0.33	0.31
215812_s_at	LOC653562 /// SLC6A10P /// SLC6A8	SCC	0.23	5.76	0.44	-0.21	2.62	0.44	0.87	0.95	0.91
216918_s_at	DST	SCC	0.23	7.85	0.23	-0.35	2.12	-0.64	0.36	0.32	1.33
217272_s_at	SERPINB13	SCC	0.02	91.29	0.03	-1.00	4.74	-0.80	0.14	0.19	1.83
217312_s_at	COL7A1	SCC	0.46	3.35	0.48	-0.27	1.28	-0.38	0.46	0.40	0.79
217528_at	CLCA2	SCC	0.02	86.63	0.03	-1.36	4.47	-1.27	0.12	0.30	2.05
217744_s_at	PERP	SCC	0.41	4.61	0.29	0.44	2.47	-0.94	0.47	2.24	0.33
218847_at	IGF2BP2	SCC	0.57	3.21	0.35	-0.04	1.45	-1.00	0.78	1.24	0.71
218990_s_at	SPRR3	SCC	0.03	88.82	0.01	-0.35	5.02	-1.01	1.32	0.15	2.67
219412_at	RAB38	SCC	0.64	3.46	0.59	0.19	1.07	-0.58	1.30	1.56	0.85
219522_at	FJX1	SCC	0.54	2.68	1.07	-0.41	0.95	0.08	0.63	0.96	0.76
219936_s_at	GPR87	SCC	0.81	3.31	0.07	0.41	2.93	-1.35	2.16	0.38	0.77
219995_s_at	ZNF750	SCC	0.31	7.69	0.10	0.04	2.53	-0.98	1.49	0.45	1.60
220230_s_at	CYB5R2	SCC	0.23	6.20	0.37	-0.57	2.13	-0.41	0.75	1.04	1.02
220658_s_at	ARNTL2	SCC	0.46	3.30	0.49	0.41	2.83	0.53	1.73	1.53	0.69
221203_s_at	YEATS2	SCC	0.41	3.00	0.68	-0.20	1.38	0.35	0.79	0.54	1.14
221291_at	ULBP2	SCC	0.66	2.23	0.58	-0.16	0.92	-0.41	0.37	0.43	0.38
221795_at	NTRK2	SCC	0.03	59.38	0.05	-1.89	3.94	-1.36	0.53	0.73	1.18
221796_at	NTRK2	SCC	0.03	53.35	0.05	-1.76	3.59	-1.62	0.55	0.62	1.38
221854_at	PKP1	SCC	0.06	21.34	0.15	-0.70	4.80	-0.01	1.34	1.79	0.66
222392_x_at	PERP	SCC	0.57	2.96	0.42	0.30	1.77	-0.82	0.62	1.96	0.38
222457_s_at	LIMA1	SCC	0.59	2.58	0.53	-0.18	0.93	-0.41	0.50	0.51	0.99
222634_s_at	TBL1XR1	SCC	0.47	2.74	0.67	0.08	1.77	0.50	0.87	0.50	0.60
222892_s_at	TMEM40	SCC	0.98	2.87	0.33	0.01	1.07	-0.49	1.32	0.53	0.55
223278_at	GJB2	SCC	0.12	13.34	0.19	0.23	3.84	-0.10	1.17	2.10	1.60
223586_at	ARNTL2	SCC	0.70	2.62	0.65	0.40	1.50	0.21	1.34	1.40	0.65
223704_s_at	DMRT2	SCC	0.26	6.73	0.28	-0.17	2.31	-0.24	0.76	0.61	1.27
223832_s_at	CAPNS2	SCC	0.20	9.54	0.17	-0.34	2.27	-0.74	0.49	0.13	1.27
224204_x_at	ARNTL2	SCC	0.53	2.68	0.59	0.43	2.35	0.54	1.39	1.34	0.61
224458_at	C9orf125	SCC	0.33	4.26	0.49	-0.83	1.44	-0.64	0.93	0.98	0.81
224950_at	PTGFRN	SCC	0.56	2.72	0.52	0.29	1.57	-0.06	0.31	0.77	0.60
225464_at	FRMD6	SCC	0.34	4.49	0.43	-0.71	1.62	-0.62	0.76	0.74	0.34
225481_at	FRMD6	SCC	0.38	4.15	0.43	-0.66	1.50	-0.61	0.99	0.73	0.62
226189_at	ITGB8	SCC	0.59	2.76	0.43	0.13	1.12	-0.66	1.43	2.01	1.30
226363_at	ABCC5	SCC	0.29	5.53	0.35	0.06	2.46	0.13	0.80	0.73	0.95
226464_at	C3orf58	SCC	0.41	3.29	0.58	-0.84	1.04	-0.46	0.84	0.43	0.62
226499_at	NRARP	SCC	0.35	3.52	0.62	-0.50	1.39	0.07	0.70	0.63	1.05
226755_at	LOC642587	SCC	0.40	3.61	0.51	-0.46	1.34	-0.34	0.34	0.34	0.70
226817_at	DSC2	SCC	0.56	2.85	0.71	-0.03	0.93	-0.35	0.55	1.41	1.12
226885_at	---	SCC	0.43	2.90	0.67	-0.60	0.93	-0.22	0.79	0.76	1.05
226907_at	PPP1R14C	SCC	0.49	3.77	0.33	-0.83	1.03	-1.40	1.19	1.17	1.04
227174_at	WDR72	SCC	0.72	2.37	0.29	0.31	2.87	0.71	3.44	1.43	1.16
227249_at	NDE1	SCC	0.59	2.19	1.00	0.15	1.24	0.68	0.79	0.71	0.80
227875_at	KLHL13	SCC	0.39	5.09	0.24	-0.50	2.69	-0.40	1.66	1.19	1.09
228286_at	GEN1	SCC	0.51	2.27	1.21	0.07	0.90	0.71	0.54	0.94	1.22
228575_at	IL20RB	SCC	0.32	6.23	0.22	-0.31	1.99	-0.46	1.07	0.24	1.62
229290_at	DAPL1	SCC	0.02	78.79	0.04	-1.18	4.63	-0.81	0.48	0.72	2.02
229296_at	LOC100128501	SCC	0.19	2.22	4.62	-0.37	0.81	0.77	0.27	2.35	0.69
229761_at	LOC440173	SCC	0.43	3.12	0.59	-0.31	1.33	-0.10	0.50	0.56	0.77
229764_at	TPRG1	SCC	0.15	14.97	0.09	-0.89	2.11	-1.78	0.90	0.47	1.80
229900_at	CD109	SCC	0.58	2.82	0.46	0.02	1.33	-0.28	0.81	0.65	0.99
230229_at	DLG1	SCC	0.48	2.52	1.14	-0.14	1.22	0.55	0.98	1.14	0.61
230464_at	S1PR5	SCC	0.27	4.76	0.50	-0.66	1.76	-0.30	0.28	0.71	0.49
230769_at	DENND2C	SCC	0.30	5.30	0.36	-0.77	1.53	-0.78	0.21	0.27	0.63
231183_s_at	JAG1	SCC	0.17	3.49	1.09	-1.43	1.43	-0.05	0.81	1.69	0.95
231331_at	---	SCC	0.04	40.80	0.07	-0.68	4.45	-0.31	0.58	0.93	1.53
231771_at	GJB6	SCC	0.02	102.57	0.02	-0.93	5.12	-1.20	0.65	0.29	1.53
231867_at	ODZ2	SCC	0.08	12.01	0.33	-0.90	2.67	-0.07	0.15	1.42	2.05
231928_at	HES2	SCC	0.54	2.06	1.19	-0.31	0.59	0.20	0.55	0.94	0.42
232082_x_at	SPRR3	SCC	0.02	119.71	0.02	-0.77	5.07	-0.95	0.44	0.37	2.24
232116_at	GRHL3	SCC	0.32	5.04	0.37	-0.12	2.05	-0.16	0.43	0.49	0.87
232202_at	---	SCC	0.13	11.82	0.22	-0.35	3.73	-0.10	1.24	1.60	1.03
232406_at	---	SCC	0.33	3.37	0.72	-0.59	1.17	-0.22	0.46	1.18	1.03
233479_at	---	SCC	0.30	3.49	0.74	-0.35	1.49	0.37	0.32	0.78	1.16
233869_x_at	---	SCC	0.45	2.83	1.25	-0.12	1.03	0.41	0.95	1.42	1.11
235373_at	---	SCC	0.76	2.26	0.65	0.16	0.87	-0.11	0.62	0.70	0.58
235852_at	STON2	SCC	0.45	2.68	0.72	-0.29	1.17	0.09	0.28	0.34	0.71
236009_at	---	SCC	0.40	4.71	0.29	-0.17	1.78	-0.57	0.99	0.61	1.22
236937_at	VPS8	SCC	0.51	2.35	0.76	-0.29	0.80	0.05	0.32	0.30	1.04
238542_at	ULBP2	SCC	0.19	8.95	0.24	-0.58	2.66	-0.52	0.77	0.77	0.72
238827_at	---	SCC	0.48	3.75	0.35	-0.42	1.13	-0.90	0.52	0.20	0.87
238967_at	---	SCC	0.77	2.97	0.19	0.01	1.32	-1.34	1.39	0.76	1.19
239370_at	---	SCC	0.09	24.41	0.07	-0.22	3.66	-0.65	0.93	0.66	2.24
239430_at	IGFL1	SCC	0.69	2.09	0.68	-0.14	0.60	-0.23	0.19	0.16	0.55
240353_s_at	C12orf54	SCC	0.32	5.10	0.35	-0.26	1.32	-0.34	0.23	0.13	1.50
240991_at	---	SCC	0.52	2.69	0.60	-0.52	1.38	-0.30	1.08	1.24	0.65
241418_at	LOC344887	SCC	0.05	42.39	0.05	-0.60	4.23	-0.70	1.13	0.88	2.25
242873_at	---	SCC	0.23	4.14	1.42	0.10	1.30	0.51	0.75	2.15	1.60
242940_x_at	DLX6	SCC	0.31	3.40	0.81	-0.38	1.10	0.33	0.22	0.86	1.44
243018_at	---	SCC	0.38	3.04	0.72	-0.22	1.81	0.31	0.89	1.10	0.65
243252_at	---	SCC	0.50	3.17	0.47	-0.02	1.28	-0.34	0.66	0.77	1.26
244107_at	---	SCC	0.15	11.04	0.22	-0.52	2.36	-0.30	0.13	0.22	1.53
244665_at	---	SCC	0.38	2.02	0.90	-0.34	0.57	0.29	0.41	0.89	1.14
57703_at	SENP5	SCC	0.43	2.54	0.82	-0.16	1.40	0.37	0.52	0.69	0.63
