Entrez ID	HUGO gene symbol	probe set ID U133	probe set ID 1.0ST	Group 1	Group 2	Fold Difference (LSC/HSC, U133)	Fold Difference (LSC/HSC, 1.0ST)	chromosome	description	Class
9789	SPCS2	201239_s_at	7914180	YES	NO	2.8247	2.8859	11	signal peptidase complex subunit 2 homolog (S. cerevisiae)	Other
84888	SPPL2A	226353_at	7988753	YES	NO	3.6826	3.1645	15	signal peptide peptidase-like 2A	Other
8417	STX7	212631_at	8129590	YES	NO	3.044	1.957	6	syntaxin 7	Plasma membrane & Extracellular
56670	SUCNR1	223939_at	8083422	YES	YES	10.3593	8.9094	3	succinate receptor 1	Plasma membrane & Extracellular
4070	TACSTD2	202286_s_at	7916584	YES	YES	4.5271	2.3856	1	tumor-associated calcium signal transducer 2	Plasma membrane & Extracellular
445347	TARP	216920_s_at	-	NO	YES	129.0223	-	7	TCR gamma alternate reading frame protein	Other
6947	TCN1	205513_at	7948444	NO	YES	1.0266	3.4371	11	transcobalamin I (vitamin B12 binding protein, R binder family)	Plasma membrane & Extracellular
54997	TESC	218872_at	7966749	YES	NO	6.7818	4.194	12	tescalcin	Other
90459	THEX1	226416_at	8144516	YES	NO	3.539	2.084	8	three prime histone mRNA exonuclease 1	Other
7076	TIMP1	201666_at	8167185	YES	NO	2.6582	1.8176	X	TIMP metallopeptidase inhibitor 1	Plasma membrane & Extracellular
4071	TM4SF1	215034_s_at	8091411	YES	NO	13.9334	3.1159	3	transmembrane 4 L six family member 1	Plasma membrane & Extracellular
10548	TM9SF1	209149_s_at	7978166	YES	NO	3.8307	1.9283	14	transmembrane 9 superfamily member 1	Plasma membrane & Extracellular
55754	TMEM30A	232591_s_at	8127637	YES	NO	3.436	1.8579	6	transmembrane protein 30A	Other
55161	TMEM33	218465_at	8094830	YES	NO	2.7565	2.4022	4	transmembrane protein 33	Other
7124	TNF	207113_s_at	8179263	YES	YES	5.16	3.3831	6	tumor necrosis factor (TNF superfamily, member 2)	Plasma membrane & Extracellular
7293	TNFRSF4	214228_x_at	7911413	YES	YES	4.2204	2.4055	1	tumor necrosis factor receptor superfamily, member 4	Plasma membrane & Extracellular
10673	TNFSF13B	223501_at	7969986	YES	NO	9.7537	2.3209	13	tumor necrosis factor (ligand) superfamily, member 13b	Plasma membrane & Extracellular
54210	TREM1	219434_at	8126303	NO	YES	2.5411	3.2467	6	triggering receptor expressed on myeloid cells 1	Plasma membrane & Extracellular
6965		215345_x_at	8139100	NO	YES	1.0234	10.1613	7	T cell receptor gamma locus	Plasma membrane & Extracellular
6983	TRGV9	-	8139107	NO	YES	-	3.0342	7	T cell receptor gamma variable 9	Plasma membrane & Extracellular
9319	TRIP13	204033_at	8104234	YES	NO	2.146	2.0662	5	thyroid hormone receptor interactor 13	Other
84617	TUBB6	209191_at	8020220	YES	NO	5.4543	1.8033	18	tubulin, beta 6	Other
81542	TXNDC1	208097_s_at	7974303	YES	NO	2.8632	1.9163	14	thioredoxin domain containing 1	Apoptosis
54957	TXNL4B	222748_s_at	8002660	YES	NO	4.1397	1.9453	16	thioredoxin-like 4B	Cell cycle
7305	TYROBP	204122_at	8036224	YES	NO	21.8206	5.4076	19	TYRO protein tyrosine kinase binding protein	Plasma membrane & Extracellular
84959	UBASH3B	238587_at	7944722	YES	NO	3.5884	2.858	11	ubiquitin associated and SH3 domain containing, B	Other
7357	UGCG	221765_at	8157216	YES	NO	4.0106	2.3729	9	UDP-glucose ceramide glucosyltransferase	Other
10911	UTS2	220784_s_at	7912136	YES	YES	5.3996	6.4651	1	urotensin 2	Plasma membrane & Extracellular
8876	VNN1	205844_at	8129618	YES	NO	11.9292	5.0877	6	vanin 1	Plasma membrane & Extracellular
284415	VSTM1	235818_at	8039109	YES	NO	2.8594	5.2732	19	V-set and transmembrane domain containing 1	Other
10785	WDR4	241937_s_at	8070615	YES	NO	2.8509	2.2356	21	WD repeat domain 4	Other
51352	WIT1	206954_at	7939131	YES	YES	2.8415	2.6555	11	Wilms tumor upstream neighbor 1	Other
55884	WSB2	201760_s_at	7966829	YES	NO	3.5848	1.9757	12	WD repeat and SOCS box-containing 2	Other
7490	WT1	206067_s_at	7947363	YES	NO	93.6087	1.7707	11	Wilms tumor 1	Transcription factor
56242	ZNF253	242919_at	8027241	YES	NO	2.6622	2.176	19	zinc finger protein 253	Other
11130	ZWINT	204026_s_at	7933707	YES	NO	1.9796	2.3419	10	ZW10 interactor	Cell cycle
