Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
cyclin J	CCNJ	NM_019084	1.83E-09	3.55E-08	-1.41875	3.72E-08	-1.41267
TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	TAF5	NM_006951	1.37E-07	6.23E-08	-1.41728	5.48E-08	-1.43365
Early growth response 1	EGR1	NM_001964	1.95E-08	3.78E-07	-1.41406	7.40E-07	-1.32805
Fanconi anemia, complementation group D2	FANCD2	NM_001018115 /// NM_033084	3.18E-09	7.34E-09	-1.41106	8.33E-09	-1.3955
G protein-coupled receptor 157	GPR157	NM_024980	1.49E-12	3.31E-12	-1.40952	7.38E-13	-1.59972
origin recognition complex, subunit 1-like (yeast)	ORC1L	NM_004153	1.12E-09	4.66E-09	-1.40886	6.51E-09	-1.36808
KIAA1702 protein	KIAA1702	NA	5.78E-07	3.81E-06	-1.40858	1.91E-06	-1.50601
sorting nexin 5	SNX5	NM_014426 /// NM_152227	2.77E-14	1.07E-14	-1.40817	1.32E-14	-1.38401
CDNA clone IMAGE:5301910	NA	NA	3.21E-08	9.90E-08	-1.40156	3.58E-08	-1.53593
NMDA receptor regulated 1	NARG1	NM_057175	2.05E-07	1.66E-07	-1.40091	5.28E-08	-1.55414
DNA replication factor	CDT1	NM_030928	1.71E-09	6.92E-09	-1.40076	3.24E-09	-1.49693
chromosome condensation protein G	HCAP-G	NM_022346	2.30E-09	9.13E-08	-1.40035	4.44E-08	-1.4944
MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)	MCM10	NM_018518 /// NM_182751	4.70E-12	4.72E-11	-1.39848	5.34E-11	-1.38398
Cyclin-dependent kinase 8	CDK8	NM_001260	3.14E-12	1.44E-10	-1.39665	2.31E-10	-1.34148
ankyrin repeat domain 32	ANKRD32	NM_032290	3.43E-09	1.10E-08	-1.3931	1.32E-08	-1.37147
progesterone receptor membrane component 1	PGRMC1	NM_006667	4.47E-13	1.69E-13	-1.39165	2.75E-13	-1.33545
microsomal triglyceride transfer protein (large polypeptide, 88kDa)	MTP	NM_000253	5.52E-11	5.00E-11	-1.39116	1.29E-11	-1.5616
mesoderm development candidate 1	MESDC1	NM_022566	9.25E-13	9.45E-13	-1.39016	1.10E-12	-1.37282
gem (nuclear organelle) associated protein 7	GEMIN7	NM_001007269 /// NM_001007270 /// NM_024707	5.25E-12	1.70E-12	-1.38825	3.03E-12	-1.32234
activin A receptor, type IB	ACVR1B	NM_004302 /// NM_020327 /// NM_020328	6.34E-09	1.15E-08	-1.38593	5.40E-09	-1.48078
nuclear autoantigenic sperm protein (histone-binding)	NASP	NM_002482 /// NM_152298 /// NM_172164	7.35E-12	4.85E-12	-1.38458	1.09E-11	-1.29229
DEP domain containing 1B	DEPDC1B	NM_018369	4.22E-12	1.46E-09	-1.38299	1.89E-09	-1.35219
DAZ interacting protein 1	DZIP1	NM_014934 /// NM_198968	9.36E-11	1.36E-10	-1.38091	2.16E-10	-1.32697
KIAA0179	KIAA0179	NM_015056	5.48E-12	1.18E-12	-1.38071	5.74E-12	-1.20797
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	8.47E-12	2.85E-12	-1.3798	4.89E-12	-1.31813
thymopoietin	TMPO	NM_001032283 /// NM_001032284 /// NM_003276	2.77E-09	2.38E-07	-1.37963	4.14E-07	-1.31101
ubiquitin-conjugating enzyme E2T (putative)	UBE2T	NM_014176	1.48E-09	1.50E-09	-1.37957	3.26E-10	-1.57373
baculoviral IAP repeat-containing 3	BIRC3	NM_001165 /// NM_182962	7.50E-08	8.28E-08	-1.3791	1.62E-07	-1.29775
hypothetical protein LOC201725	LOC201725	NM_001008393	1.67E-08	1.43E-07	-1.37601	4.04E-07	-1.2509
melanoma cell adhesion molecule /// melanoma cell adhesion molecule	MCAM	NM_006500	8.11E-13	8.71E-12	-1.3743	8.68E-12	-1.37477
hypothetical protein FLJ10719	FLJ10719	NM_018193	2.10E-11	5.46E-11	-1.37392	4.87E-11	-1.38747
chromosome 18 open reading frame 24	C18orf24	NM_145060	7.01E-08	3.13E-07	-1.37389	1.66E-07	-1.4562
apolipoprotein C-III /// similar to Apolipoprotein C-III precursor (Apo-CIII)	APOC3 /// LOC440838	NM_000040 /// XM_496537	2.82E-12	3.38E-10	-1.37091	1.12E-10	-1.50704
hypothetical protein FLJ10700	FLJ10700	NM_018182	7.65E-09	5.84E-09	-1.36877	1.07E-08	-1.29786
Ankyrin repeat domain 17	ANKRD17	NM_032217 /// NM_198889	9.39E-12	2.11E-11	-1.36494	2.67E-11	-1.33775
polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	NM_004805	1.24E-10	5.74E-11	-1.36082	5.93E-11	-1.35713
early growth response 1	EGR1	NM_001964	1.96E-10	3.30E-08	-1.36046	1.94E-08	-1.42625
PDZ binding kinase	PBK	NM_018492	1.87E-11	4.15E-10	-1.35963	1.91E-10	-1.4532
dystrophin (muscular dystrophy, Duchenne and Becker types)	DMD	NM_000109 /// NM_004006 /// NM_004007 /// NM_004009 /// NM_004010 /// NM_004011	6.35E-07	6.19E-07	-1.35531	3.07E-07	-1.44654
DEP domain containing 1	DEPDC1	NM_017779	1.59E-11	1.02E-09	-1.35062	3.48E-10	-1.48252
gem (nuclear organelle) associated protein 7	GEMIN7	NM_001007269 /// NM_001007270 /// NM_024707	1.94E-10	8.14E-11	-1.34927	8.61E-11	-1.34271
chromosome 1 open reading frame 112	C1orf112	NM_018186	2.56E-10	7.28E-09	-1.34926	3.67E-09	-1.43296
MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevis	MCM6	NM_005915	1.24E-09	1.69E-09	-1.34875	4.17E-09	-1.24647
enhancer of zeste homolog 2 (Drosophila)	EZH2	NM_004456 /// NM_152998	5.36E-09	3.56E-08	-1.34523	4.07E-08	-1.32895
MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	NM_002358	7.65E-12	7.90E-12	-1.34404	1.35E-11	-1.28422
KIAA1462	KIAA1462	XM_166132	1.11E-07	2.09E-07	-1.34317	3.03E-07	-1.29805
ATPase family, AAA domain containing 2	ATAD2	NM_014109	2.21E-08	4.62E-08	-1.34167	5.14E-08	-1.32877
ubiquitin specific peptidase 10	USP10	NM_005153	6.96E-07	9.28E-06	-1.34126	5.65E-05	-1.11161
chromosome condensation protein G	HCAP-G	NM_022346	1.07E-09	9.12E-08	-1.34047	2.41E-08	-1.51076
hypothetical protein LOC283464	LOC283464	XM_290597	1.20E-11	3.12E-10	-1.34039	1.58E-10	-1.42132
activator of basal transcription 1	ABT1	NM_013375	3.67E-11	9.77E-12	-1.33929	3.18E-11	-1.21164
hypothetical protein FLJ20425	LYAR	NM_017816	5.21E-13	1.13E-12	-1.33826	5.83E-12	-1.1654
RNA binding motif protein 14	RBM14	NM_006328	4.66E-06	0.000298425	-1.33824	0.000920274	-1.1633
metal response element binding transcription factor 2	MTF2	NM_007358	1.36E-08	1.26E-08	-1.33747	2.65E-08	-1.25262
hypothetical protein MGC2408	MGC2408	NM_032331	6.55E-11	3.26E-11	-1.33663	2.59E-11	-1.36327
TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor	TAF5L	NM_001025247 /// NM_014409	9.37E-10	2.12E-10	-1.33352	1.22E-09	-1.14619
solute carrier family 5 (sodium-dependent vitamin transporter), member 6	SLC5A6	NM_021095	7.90E-14	6.94E-14	-1.33027	5.05E-14	-1.36618
CDC45 cell division cycle 45-like (S. cerevisiae)	CDC45L	NM_003504	3.50E-11	5.92E-11	-1.32937	9.41E-11	-1.27788
serine/threonine kinase 6	STK6	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	5.04E-07	1.70E-06	-1.32801	7.79E-06	-1.14454
nucleolar and coiled-body phosphoprotein 1	NOLC1	NM_004741	6.97E-14	9.20E-14	-1.32785	8.24E-14	-1.34026
IGF-II mRNA-binding protein 2	IMP-2	NM_001007225 /// NM_006548	4.41E-11	5.72E-11	-1.32673	6.43E-11	-1.3137
suppressor of Ty 16 homolog (S. cerevisiae)	SUPT16H	NM_007192	1.39E-05	0.000357168	-1.32309	0.00130031	-1.12258
replication factor C (activator 1) 3, 38kDa	RFC3	NM_002915 /// NM_181558	2.87E-11	6.31E-11	-1.32174	6.34E-11	-1.32119
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	NM_005916 /// NM_182776	9.43E-12	5.53E-11	-1.31903	5.86E-11	-1.31254
PHD finger protein 19	PHF19	NM_001009936 /// NM_015651	6.14E-11	2.31E-11	-1.31829	5.86E-11	-1.21796
MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	NM_005914 /// NM_182746	2.36E-11	1.64E-10	-1.31801	7.99E-10	-1.15041
RNA, U47 small nuclear	RNU47	XR_000223	3.31E-09	3.55E-09	-1.31604	2.11E-09	-1.37722
Mesenchymal stem cell protein DSC96	NA	NA	3.86E-08	1.06E-07	-1.31591	4.23E-08	-1.42921
nei endonuclease VIII-like 3 (E. coli)	NEIL3	NM_018248	1.43E-13	1.11E-11	-1.3144	3.23E-12	-1.45953
solute carrier family 25, member 13 (citrin)	SLC25A13	NM_014251	2.21E-12	8.87E-12	-1.31304	4.57E-12	-1.38888
CHK1 checkpoint homolog (S. pombe)	CHEK1	NM_001274	1.57E-11	3.84E-10	-1.31258	1.59E-10	-1.41591
MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	MCM3	NM_002388	3.62E-12	2.46E-12	-1.31064	4.02E-12	-1.25731
polo-like kinase 4 (Drosophila)	PLK4	NM_014264	4.28E-10	9.12E-10	-1.30833	6.01E-10	-1.35629
progesterone receptor membrane component 1	PGRMC1	NM_006667	1.45E-10	4.58E-11	-1.30484	8.78E-11	-1.23433
synaptosomal-associated protein, 23kDa	SNAP23	NM_003825 /// NM_130798	5.14E-09	3.08E-09	-1.30437	1.07E-08	-1.16959
hypothetical LOC131076	LOC131076	NM_001017928	6.57E-05	9.98E-05	-1.30257	6.41E-05	-1.36762
ubiquitin carboxyl-terminal hydrolase L5	UCHL5	NM_015984	6.46E-12	3.21E-11	-1.3016	1.39E-11	-1.39732
phosphoribosyl pyrophosphate amidotransferase	PPAT	NM_002703	2.31E-09	3.71E-09	-1.29917	2.49E-09	-1.34513
paternally expressed 3	PEG3	NM_006210	1.79E-10	9.38E-10	-1.29809	1.70E-09	-1.23259
mutS homolog 6 (E. coli)	MSH6	NM_000179	1.70E-09	1.24E-09	-1.29595	1.14E-09	-1.30582
mitochondrial carrier protein	MGC4399	NM_032315	2.12E-09	6.03E-10	-1.29462	2.53E-09	-1.14344
UDP-galactose-4-epimerase	GALE	NM_000403 /// NM_001008216	2.99E-10	1.20E-10	-1.29186	1.45E-10	-1.27157
primase, polypeptide 1, 49kDa	PRIM1	NM_000946	8.84E-11	7.83E-11	-1.2903	6.78E-11	-1.30614
thyroid hormone receptor interactor 13	TRIP13	NM_004237	2.85E-11	1.36E-11	-1.2897	5.45E-11	-1.14632
NY-REN-41 antigen	NY-REN-41	NM_030771 /// NM_080654	3.54E-11	1.51E-11	-1.28941	1.61E-11	-1.28257
chromosome 10 open reading frame 9	C10orf9	NM_145012 /// NM_181698	2.56E-06	1.02E-06	-1.2867	1.48E-06	-1.24183
transferrin receptor (p90, CD71)	TFRC	NM_003234	1.13E-05	0.00149973	-1.28588	0.000805411	-1.39634
hypothetical protein FLJ10534	FLJ10534	NM_018128	1.67E-09	8.20E-10	-1.28555	1.34E-09	-1.23197
solute carrier family 25, member 13 (citrin)	SLC25A13	NM_014251	6.22E-06	4.38E-06	-1.28509	1.83E-06	-1.3986
MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	MCM4	NM_005914 /// NM_182746	2.94E-10	4.00E-10	-1.28478	1.33E-09	-1.15782
similar to RIKEN cDNA 8030451K01	LOC387921	NM_001012754 /// NM_001017370	3.89E-09	5.62E-09	-1.28425	9.20E-10	-1.50348
alanine-glyoxylate aminotransferase 2-like 1 /// alanine-glyoxylate aminotransfe	AGXT2L1	NM_031279	2.48E-08	2.99E-08	-1.28226	3.30E-08	-1.27096
fibrillarin /// fibrillarin	FBL	NM_001436	4.91E-12	1.74E-12	-1.28206	2.61E-12	-1.23852
Treacher Collins-Franceschetti syndrome 1	TCOF1	NM_000356 /// NM_001008656 /// NM_001008657	5.99E-11	2.55E-11	-1.28176	2.57E-11	-1.28086
chromosome 13 open reading frame 23	C13orf23	NM_025138 /// NM_170719	1.50E-10	1.88E-10	-1.2817	9.09E-11	-1.36413
maternal embryonic leucine zipper kinase	MELK	NM_014791	3.94E-12	1.05E-10	-1.28129	6.60E-11	-1.33305
hypothetical protein FLJ25416	FLJ25416	NM_145018	3.50E-08	1.28E-07	-1.2804	7.16E-08	-1.34943
transmembrane protein 48	TMEM48	NM_018087	1.58E-08	5.03E-08	-1.27882	2.21E-08	-1.37623
replication factor C (activator 1) 4, 37kDa	RFC4	NM_002916 /// NM_181573	2.15E-10	2.00E-10	-1.27759	7.32E-10	-1.14262
secretagogin, EF-hand calcium binding protein	SCGN	NM_006998	1.22E-08	2.00E-08	-1.27685	8.17E-09	-1.38172
neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	NM_002524	8.95E-08	7.06E-08	-1.27621	2.43E-08	-1.40417
Mix1 homeobox-like 1 (Xenopus laevis)	MIXL1	NM_031944	1.38E-06	7.73E-07	-1.27466	2.61E-06	-1.1352
mitogen-activated protein kinase-activated protein kinase 5	MAPKAPK5	NM_003668 /// NM_139078	1.41E-09	6.48E-10	-1.27438	8.28E-10	-1.24771
hypothetical protein FLJ13912	FLJ13912	NM_022770	7.92E-10	7.42E-10	-1.27405	1.06E-09	-1.23521
Fatty acid binding protein 1, liver	FABP1	NM_001443	2.69E-07	6.76E-07	-1.27371	2.82E-07	-1.38165
FLJ34306 protein /// ADP-ribosylation factor-like	LOC474170 /// LOC51326	NM_001006607 /// NM_016632	4.57E-07	4.00E-07	-1.27245	1.13E-07	-1.42861
hypothetical protein BC008207	LOC92345	NM_138386	1.63E-09	2.31E-09	-1.27234	2.97E-09	-1.24472
thioesterase superfamily member 4	THEM4	NM_053055 /// NM_176853	2.90E-10	1.23E-10	-1.27062	1.94E-10	-1.22228
unc-93 homolog A (C. elegans)	UNC93A	NM_018974	3.22E-09	1.09E-09	-1.27045	3.71E-09	-1.14169
nucleosome assembly protein 1-like 1	NAP1L1	NM_004537 /// NM_139207	9.64E-08	3.02E-08	-1.27045	5.58E-08	-1.20259
chromodomain helicase DNA binding protein 7	CHD7	NM_017780	9.76E-12	7.43E-12	-1.26578	8.24E-12	-1.2547
NA	NA	NA	2.80E-08	1.59E-08	-1.25601	1.42E-08	-1.26833
polymerase (RNA) I polypeptide B, 128kDa	POLR1B	NM_019014	2.00E-09	1.91E-09	-1.25575	3.30E-09	-1.1974
deleted in lymphocytic leukemia, 2 /// BCMS upstream neighbor-like	DLEU2 /// BCMSUNL	NM_006021	7.47E-07	1.68E-06	-1.25515	6.29E-07	-1.37764
nuclear receptor subfamily 1, group H, member 4	NR1H4	NM_005123	6.99E-13	2.32E-09	-1.25513	6.11E-10	-1.40894
Polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	NM_004805	8.31E-07	2.28E-07	-1.25503	5.31E-07	-1.16085
spindle assembly 6 homolog (C. elegans)	SASS6	NM_194292	8.59E-09	1.15E-08	-1.25468	2.82E-09	-1.41968
phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetas	GART	NM_000819 /// NM_175085	1.34E-06	5.61E-06	-1.25377	2.24E-06	-1.37124
metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	MALAT1	NA	9.62E-05	0.00340115	-1.25317	0.000817983	-1.52678
DOT1-like, histone H3 methyltransferase (S. cerevisiae)	DOT1L	NM_032482	2.28E-05	3.22E-05	-1.25281	8.11E-06	-1.44315
phosphoribosyl pyrophosphate amidotransferase	PPAT	NM_002703	5.32E-11	9.78E-11	-1.25153	4.68E-11	-1.33285
MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	MCM2	NM_004526	3.64E-11	2.29E-11	-1.25125	4.50E-11	-1.18124
MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisi	MCM5	NM_006739	2.66E-09	1.95E-09	-1.24959	1.04E-08	-1.07948
WW domain binding protein 11	WBP11	NM_016312	1.04E-10	2.73E-11	-1.24956	1.01E-10	-1.11731
MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	MCM8	NM_032485 /// NM_182802	5.72E-08	1.88E-07	-1.24748	1.74E-07	-1.25619
guanine nucleotide binding protein (G protein), gamma 5	GNG5	NM_005274	1.74E-13	7.64E-14	-1.2442	7.30E-14	-1.24898
UTP15, U3 small nucleolar ribonucleoprotein, homolog (yeast)	UTP15	NM_032175	1.02E-07	5.06E-08	-1.24301	8.94E-08	-1.18094
ATP-binding cassette, sub-family B (MDR/TAP), member 10	ABCB10	NM_012089	2.36E-08	1.39E-08	-1.24236	1.25E-08	-1.25435
IGF-II mRNA-binding protein 1	IMP-1	NM_006546	1.09E-10	6.14E-10	-1.24169	1.75E-10	-1.38299
fatty acid binding protein 5 (psoriasis-associated)	FABP5	NM_001444	1.65E-08	1.14E-08	-1.24105	3.06E-08	-1.1368
Poly(rC) binding protein 2	PCBP2	NM_005016 /// NM_031989	2.06E-09	1.05E-09	-1.24097	7.19E-10	-1.28254
chromosome 10 open reading frame 3	C10orf3	NM_018131	1.58E-10	2.80E-09	-1.24036	1.13E-09	-1.34268
SHC SH2-domain binding protein 1	SHCBP1	NM_024745	1.94E-10	1.72E-08	-1.23916	5.29E-09	-1.37479
hypothetical protein LOC253842	LOC253842	NA	3.10E-09	1.19E-07	-1.23869	7.21E-09	-1.59033
peptidylprolyl isomerase (cyclophilin)-like 5	PPIL5	NM_152329 /// NM_203466 /// NM_203467	3.23E-10	7.06E-10	-1.23645	6.12E-10	-1.25179
hypothetical protein FLJ10534	FLJ10534	NM_018128	1.01E-10	6.63E-11	-1.23607	6.36E-11	-1.24047
reticulon 4 interacting protein 1	RTN4IP1	NM_032730	3.99E-09	1.92E-09	-1.2337	2.18E-09	-1.22027
Matrin 3	MATR3	NM_018834 /// NM_199189	1.46E-06	2.65E-06	-1.23311	2.75E-06	-1.22874
CDC28 protein kinase regulatory subunit 1B	CKS1B	NM_001826	3.07E-14	2.45E-13	-1.23303	1.03E-13	-1.32647
ADP-ribosylation factor-like 8	ARL8	NM_178815	1.30E-05	4.54E-06	-1.23207	6.04E-06	-1.19791
carboxypeptidase B2 (plasma, carboxypeptidase U)	CPB2	NM_001872 /// NM_016413	1.20E-08	1.02E-08	-1.23056	5.74E-09	-1.29482
leptin receptor overlapping transcript-like 1	LEPROTL1	NM_015344	3.72E-15	1.79E-13	-1.22955	2.91E-13	-1.1802
metal response element binding transcription factor 2	MTF2	NM_007358	7.04E-10	4.33E-10	-1.22897	3.28E-10	-1.25895
c-myc binding protein	MYCBP	NM_012333	5.68E-11	2.05E-09	-1.22862	4.20E-09	-1.15412
family with sequence similarity 57, member A	FAM57A	NM_024792	7.64E-11	3.50E-10	-1.22639	5.15E-10	-1.18624
mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	MED8	NM_001001651 /// NM_001001653 /// NM_001001654 /// NM_052877 /// NM_201542	1.04E-10	4.95E-11	-1.22443	3.96E-11	-1.2479
BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUB1B	NM_001211	2.06E-10	7.61E-10	-1.21978	9.32E-10	-1.19856
nucleolar and coiled-body phosphoprotein 1	NOLC1	NM_004741	5.27E-12	1.92E-11	-1.2188	2.41E-11	-1.19552
spindle pole body component 25 homolog (S. cerevisiae)	SPBC25	NM_020675	1.76E-11	2.82E-09	-1.21597	5.74E-10	-1.39588
RNA, U47 small nuclear /// growth arrest-specific 5	RNU47 /// GAS5	NR_002578 /// XR_000223	1.59E-09	3.21E-09	-1.21512	9.58E-10	-1.34963
DEP domain containing 1	DEPDC1	NM_017779	1.80E-11	6.99E-10	-1.21462	1.41E-10	-1.39394
60S ribosomal protein L6 (RPL6A)	NAP1L1	NM_004537 /// NM_139207	8.47E-07	2.54E-07	-1.21385	4.90E-07	-1.14208
Chromosome 9 open reading frame 52	C9orf52	NM_152574	1.03E-07	1.87E-07	-1.21367	7.58E-08	-1.31727
hypothetical protein HSPC111	HSPC111	NM_016391	4.95E-11	4.40E-10	-1.21326	3.89E-10	-1.22627
lamin B receptor	LBR	NM_002296 /// NM_194442	7.47E-10	8.38E-10	-1.21212	6.41E-10	-1.24051
solute carrier family 35, member D2	SLC35D2	NM_007001	1.87E-10	7.20E-11	-1.21192	8.78E-11	-1.19155
E2F transcription factor 6	E2F6	NM_001952 /// NM_198256 /// NM_198257 /// NM_198258 /// NM_198325 /// NM_212540	1.49E-12	2.64E-12	-1.21168	2.17E-12	-1.23201
synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	NM_014021	3.16E-11	5.15E-11	-1.21119	9.59E-12	-1.39727
CDNA clone IMAGE:6043059	NA	NA	5.19E-09	1.64E-09	-1.21043	4.29E-09	-1.11343
ERO1-like (S. cerevisiae)	ERO1L	NM_014584	6.51E-12	2.49E-12	-1.21016	3.69E-12	-1.1706
cyclin B1	CCNB1	NM_031966	1.56E-08	5.68E-08	-1.20871	3.02E-07	-1.03823
F-box protein 5	FBXO5	NM_012177	1.47E-10	1.21E-09	-1.20725	1.60E-09	-1.17835
flap structure-specific endonuclease 1	FEN1	NM_004111	2.85E-12	2.86E-11	-1.20682	3.78E-11	-1.17879
tubulin, epsilon 1	TUBE1	NM_016262	1.12E-07	7.21E-08	-1.20665	7.78E-08	-1.19839
serine/threonine kinase 40	STK40	NM_032017	1.25E-08	1.11E-08	-1.20604	1.11E-08	-1.20579
kinesin family member 15	KIF15	NM_020242	5.17E-11	9.83E-10	-1.20465	1.35E-09	-1.17193
Cyclin-dependent kinase 8	CDK8	NM_001260	2.57E-10	2.92E-08	-1.20309	2.47E-08	-1.22143
synaptosomal-associated protein, 23kDa	SNAP23	NM_003825 /// NM_130798	6.92E-10	3.17E-10	-1.20178	2.62E-09	-1.00087
TAL1 (SCL) interrupting locus	SIL	NM_003035	3.73E-10	1.59E-08	-1.20159	4.62E-08	-1.09275
U2-associated SR140 protein	SR140	XM_031553	4.03E-12	5.27E-12	-1.20146	3.89E-12	-1.23252
brix domain containing 2	BXDC2	NM_018321	1.59E-09	1.41E-09	-1.2003	9.94E-10	-1.23716
IGF-II mRNA-binding protein 2	IMP-2	NM_001007225 /// NM_006548	1.21E-06	6.62E-07	-1.20028	5.92E-07	-1.21282
polo-like kinase 4 (Drosophila) /// polo-like kinase 4 (Drosophila)	PLK4	NM_014264	1.55E-06	4.18E-05	-1.19979	1.66E-05	-1.32151
WD repeat and HMG-box DNA binding protein 1	WDHD1	NM_001008396 /// NM_007086	2.14E-09	3.48E-09	-1.19807	2.20E-09	-1.24702
Cell division cycle 2, G1 to S and G2 to M	CDC2	NM_001786 /// NM_033379	1.79E-08	1.56E-08	-1.19468	8.72E-08	-1.02399
mitogen-activated protein kinase 6	MAPK6	NM_002748	6.19E-12	4.36E-11	-1.19468	2.11E-11	-1.27061
FLJ22624 protein	FLJ22624	NM_024808	4.17E-09	1.38E-08	-1.19452	3.48E-09	-1.34847
cathepsin C	CTSC	NM_001814 /// NM_148170	1.68E-09	1.54E-08	-1.19055	8.33E-08	-1.02371
YOD1 OTU deubiquinating enzyme 1 homolog ( yeast)	YOD1	NM_018566	3.81E-11	7.87E-08	-1.18774	5.88E-10	-1.82783
Ribosomal protein S6	RPS6	NM_001010	3.18E-07	1.95E-05	-1.18712	1.31E-05	-1.23636
KIAA1287	KIAA1287	NM_020748	1.56E-08	3.95E-09	-1.18688	1.27E-08	-1.07139
thymidine kinase 1, soluble	TK1	NM_003258	2.76E-10	8.41E-11	-1.18454	2.79E-10	-1.06864
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinoca	PAICS	NM_006452	1.90E-09	3.36E-09	-1.1829	2.68E-09	-1.20665
cell division cycle 2, G1 to S and G2 to M	CDC2	NM_001786 /// NM_033379	1.18E-10	2.10E-10	-1.18188	6.64E-10	-1.07054
Retinoblastoma binding protein 7	RBBP7	NM_002893	5.60E-08	2.65E-08	-1.18172	2.07E-08	-1.20809
RAN binding protein 1	RANBP1	NM_002882	2.54E-11	1.91E-10	-1.18096	6.37E-10	-1.06476
replication factor C (activator 1) 2, 40kDa	RFC2	NM_002914 /// NM_181471	1.05E-09	1.63E-09	-1.1807	1.99E-09	-1.16022
cell division cycle associated 8	CDCA8	NM_018101	6.19E-10	7.50E-10	-1.17882	2.81E-10	-1.28276
chromosome 4 open reading frame 9	C4orf9	NM_003703	2.68E-11	8.91E-11	-1.17677	1.85E-10	-1.10543
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	3.16E-10	1.93E-10	-1.17498	1.40E-10	-1.20791
solute carrier family 43, member 1	SLC43A1	NM_003627	6.73E-08	2.75E-07	-1.17345	9.09E-08	-1.29822
pleiomorphic adenoma gene-like 2	PLAGL2	NM_002657	6.84E-07	1.74E-07	-1.16852	5.91E-07	-1.04352
Solute carrier family 39 (zinc transporter), member 14	SLC39A14	NM_015359	1.88E-07	3.92E-06	-1.16704	1.81E-06	-1.25794
Treacher Collins-Franceschetti syndrome 1	TCOF1	NM_000356 /// NM_001008656 /// NM_001008657	1.50E-08	1.19E-08	-1.16674	3.71E-09	-1.29254
dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransfera	DPAGT1	NM_001382 /// NM_203316	1.48E-13	4.94E-14	-1.16606	9.43E-14	-1.10439
solute carrier family 20 (phosphate transporter), member 1	SLC20A1	NM_005415	7.96E-15	1.02E-14	-1.16503	5.98E-15	-1.21825
hypothetical protein FLJ21986	FLJ21986	NM_024913	1.44E-09	5.70E-08	-1.16423	2.91E-07	-1.00377
thioesterase superfamily member 4	THEM4	NM_053055 /// NM_176853	8.90E-11	3.08E-11	-1.16311	5.31E-11	-1.11024
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	1.06E-11	1.20E-11	-1.16164	2.33E-12	-1.33426
hypothetical protein FLJ20364	FLJ20364	NM_017785	1.71E-11	4.21E-10	-1.1602	2.28E-10	-1.22326
flap structure-specific endonuclease 1	FEN1	NM_004111	1.42E-11	1.81E-10	-1.15972	1.63E-10	-1.1699
chromosome 1 open reading frame 33	C1orf33	NM_016183	1.17E-10	1.25E-10	-1.15913	9.60E-10	-0.972718
phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinoca	PAICS	NM_006452	9.59E-13	4.62E-13	-1.15803	8.53E-13	-1.09982
solute carrier family 22 (organic anion transporter), member 7	SLC22A7	NM_006672 /// NM_153320	4.73E-07	3.32E-06	-1.15744	2.22E-06	-1.20341
heat shock 70kDa protein 14	HSPA14	NM_016299	1.10E-11	3.77E-11	-1.15728	7.20E-11	-1.09515
c-myc binding protein	MYCBP	NM_012333	1.21E-09	3.36E-06	-1.1569	6.08E-06	-1.09132
shugoshin-like 2 (S. pombe)	SGOL2	NM_152524	1.65E-06	3.40E-05	-1.15689	1.78E-05	-1.23764
hypothetical protein MGC24665	MGC24665	NM_152308	3.92E-09	9.85E-10	-1.15665	3.28E-09	-1.04175
BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	NM_004336	4.53E-13	3.75E-12	-1.15626	5.12E-12	-1.12615
