Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
CLDN7	0.44	claudin 7	17p13	202790_at
TNFRSF21	0.44	tumor necrosis factor receptor superfamily, member 21	6p21.1-12.2	214581_x_at
PRDX5	0.44	peroxiredoxin 5	11q13	1560587_s_at
Lrp2bp	0.44	low density lipoprotein receptor-related protein binding protein	4q35.1	227337_at
FZD4	0.44	frizzled homolog 4 (Drosophila)	11q14.2	229441_at
DKFZP564J102	0.44	DKFZP564J102 protein	4q35.1	214889_at
FLJ38615	0.44	hypothetical protein FLJ38615	15q24.3	1552950_at
IL20RA	0.45	interleukin 20 receptor, alpha	6q22.33-q23.1	219115_s_at
MGC33338	0.45	hypothetical protein MGC33338	1q23.1	227582_at
SLB	0.45	selective LIM binding factor, rat homolog	2p23.3	226324_s_at
MAP17	0.45	membrane-associated protein 17	1p33	1553589_a_at
C14orf168	0.45	chromosome 14 open reading frame 168	14q24.3	226309_at
MSH5	0.45	mutS homolog 5 (E. coli)	6p21.3	230096_at
ESRRBL1	0.45	estrogen-related receptor beta like 1	3q13.13	218100_s_at
FLJ10901	0.45	hypothetical protein FLJ10901	1q32.1	219010_at
FLJ11767	0.45	hypothetical protein FLJ11767	8q11.21	220156_at
NMU	0.46	neuromedin U	4q12	206023_at
NA	0.46	Homo sapiens cDNA FLJ12187 fis, clone MAMMA1000831.	NA	232286_at
CSTB	0.46	cystatin B (stefin B)	21q22.3	201201_at
PH-4	0.46	hypoxia-inducible factor prolyl 4-hydroxylase	3p21.31	222125_s_at
FLJ31606	0.46	hypothetical protein FLJ31606	16q24.3	230811_at
MGC9913	0.46	hypothetical protein MGC9913	19q13.43	244741_s_at
ALOX15	0.46	arachidonate 15-lipoxygenase	17p13.3	207328_at
FMO5	0.46	flavin containing monooxygenase 5	1q21.1	205776_at
VIL2	0.47	villin 2 (ezrin)	6q25.2-q26	208623_s_at
BACE2	0.47	beta-site APP-cleaving enzyme 2	21q22.3	222446_s_at
BACE2	0.47	beta-site APP-cleaving enzyme 2	21q22.3	217867_x_at
TMC4	0.47	transmembrane channel-like 4	19q13.42	226403_at
NA	0.47	Homo sapiens transcribed sequences	NA	235247_at
NA	0.47	Homo sapiens hypothetical LOC158730 (LOC158730), mRNA	Xp21.1	241538_at
NA	0.47	Homo sapiens, clone IMAGE:5268696, mRNA	NA	226546_at
MIP-T3	0.48	microtubule-interacting protein that associates with TRAF3	2q37.3	238494_at
PRDX5	0.48	peroxiredoxin 5	11q13	222994_at
NA	0.48	Homo sapiens cDNA FLJ30065 fis, clone ADRGL2000328.	NA	230986_at
ARSD	0.48	arylsulfatase D	Xp22.3	225280_x_at
PLCE1	0.48	phospholipase C, epsilon 1	10q23	205111_s_at
LOC283385	0.48	morn	12q24.31	237211_x_at
LOC119710	0.48	hypothetical protein BC009561	11p13	228249_at
MT2A	0.48	metallothionein 2A	16q13	212859_x_at
LRG	0.48	leucine-rich alpha-2-glycoprotein	19p13.3	228648_at
SYNGR1	0.49	synaptogyrin 1	22q13.1	210613_s_at
HSPC195	0.49	hypothetical protein HSPC195	5q31.3	222996_s_at
ATP10B	0.49	ATPase, Class V, type 10B	5q34	214070_s_at
ZFYVE21	0.49	zinc finger, FYVE domain containing 21 /// zinc finger, FYVE domain containing 21	14q32.33 /// 14q32.33	224445_s_at
FREB	0.49	Fc receptor homolog expressed in B cells	1q23.1	235372_at
TRIM7	0.5	tripartite motif-containing 7	5q35.3	239694_at
CAPN5	0.5	calpain 5	11q14	226292_at
UNG2	0.5	uracil-DNA glycosylase 2	5p15.2-p13.1	210021_s_at
IMPA2	0.51	inositol(myo)-1(or 4)-monophosphatase 2	18p11.2	203126_at
FLJ12750	0.51	hypothetical protein FLJ12750 /// hypothetical protein FLJ12750	12q24.31 /// 12q24.31	221704_s_at
BCDO2	0.52	beta-carotene dioxygenase 2	11q22.3-q23.1	232449_at
POR	0.52	P450 (cytochrome) oxidoreductase	7q11.2	208928_at
ARSD	0.52	arylsulfatase D	Xp22.3	230131_x_at
IL20RA	0.52	interleukin 20 receptor, alpha	6q22.33-q23.1	222829_s_at
FLJ38379	0.52	hypothetical protein FLJ38379	2q37.3	1556474_a_at
SPINLW1	0.54	serine protease inhibitor-like, with Kunitz and WAP domains 1 (eppin)	20q12-q13.2	206319_s_at
EPB41L4B	0.54	erythrocyte membrane protein band 4.1 like 4B	9q31	220161_s_at
B7-H4	0.55	immune costimulatory protein B7-H4	1p12	219768_at
MGC22773	0.55	hypothetical protein MGC22773	1p31.1	235498_at
LOC91689	0.55	hypothetical gene supported by AL449243	22q13.31	225794_s_at
NA	0.56	Homo sapiens transcribed sequences	NA	243955_at
RUSC2	0.56	RUN and SH3 domain containing 2	9p13.2	229941_at
MGC35308	0.57	hypothetical protein MGC35308	6q27	238008_at
PRDX1	0.57	peroxiredoxin 1	1p34.1	208680_at
SIX2	0.58	sine oculis homeobox homolog 2 (Drosophila)	2p16-p15	206510_at
FOXJ1	0.59	forkhead box J1	17q22-17q25	205906_at
WDR13	0.59	WD repeat domain 13 /// WD repeat domain 13	Xp11.23 /// Xp11.23	222138_s_at
MGC21688	0.59	hypothetical protein MGC21688	3q27.3	221904_at
CAPN9	0.6	calpain 9 (nCL-4)	1q42.11-q42.3	208063_s_at
CRYL1	0.6	crystallin, lambda 1	13q12.11	220753_s_at
NA	0.61	Homo sapiens, clone IMAGE:4816940, mRNA	NA	51158_at
MGC15429	0.63	hypothetical protein MGC15429	3p21.31	224821_at
PIAS3	0.65	protein inhibitor of activated STAT3	1q21	203035_s_at
KATNB1	0.65	katanin p80 (WD repeat containing) subunit B 1	16q13	203162_s_at
NA	0.65	Homo sapiens, clone IMAGE:4816940, mRNA	NA	221880_s_at
