Probe Set ID	Gene	Ratio	95% Conf. Interval min	95% Conf. Interval max
203385_at	DGKA	1.78	1.43	2.2
219897_at	RNF122	1.77	1.36	2.31
222148_s_at	RHOT1	1.77	1.42	2.21
201463_s_at	TALDO1	1.77	1.42	2.2
202732_at	PKIG	1.76	1.4	2.22
210647_x_at	PLA2G6	1.76	1.42	2.18
213025_at	THUMPD1	1.76	1.41	2.19
215482_s_at	EIF2B4	1.76	1.43	2.15
217734_s_at	WDR6	1.75	1.45	2.13
46256_at	SSB3	1.75	1.35	2.27
217011_at	---	1.75	1.27	2.41
215462_at	LOC149478	1.75	1.39	2.21
221740_x_at	---	1.75	1.33	2.3
219891_at	PGPEP1	1.75	1.32	2.31
214317_x_at	RPS9	1.74	1.31	2.31
1494_f_at	CYP2A6	1.74	1.28	2.37
204022_at	WWP2	1.74	1.44	2.09
36475_at	GCAT	1.73	1.38	2.17
202900_s_at	NUP88	1.73	1.35	2.21
205507_at	ARHGEF15	1.73	1.3	2.29
203576_at	BCAT2	1.73	1.38	2.16
213551_x_at	RNF110	1.73	1.36	2.2
201871_s_at	LOC51035	1.72	1.41	2.1
217844_at	CTDSP1	1.72	1.32	2.24
201454_s_at	NPEPPS	1.71	1.34	2.17
212677_s_at	KIAA0582	1.71	1.32	2.2
216570_x_at	---	1.69	1.4	2.04
203259_s_at	C6orf74	1.69	1.32	2.16
213279_at	DHRS1	1.68	1.3	2.16
202040_s_at	JARID1A	1.67	1.37	2.04
213349_at	KIAA0779	1.67	1.3	2.14
203652_at	MAP3K11	1.66	1.39	1.98
207783_x_at	---	1.66	1.32	2.08
205324_s_at	FTSJ1	1.65	1.37	1.99
222242_s_at	KLK5	1.65	1.3	2.08
202692_s_at	UBTF	1.64	1.29	2.09
213214_x_at	ACTG1	1.64	1.34	2.01
203380_x_at	SFRS5	1.63	1.33	2
221995_s_at	---	1.63	1.26	2.1
200033_at	DDX5	1.63	1.32	2.01
209874_x_at	CNNM2	1.63	1.37	1.93
205600_x_at	HOXB5	1.63	1.27	2.09
203187_at	DOCK1	1.62	1.34	1.97
213347_x_at	RPS4X	1.62	1.2	2.19
36129_at	RUTBC1	1.62	1.34	1.96
211610_at	COPEB	1.62	1.38	1.9
222099_s_at	C19orf13	1.61	1.3	2
215034_s_at	TM4SF1	1.61	1.15	2.26
218253_s_at	LGTN	1.61	1.41	1.83
213296_at	---	1.61	1.31	1.97
220547_s_at	FAM35A	1.6	1.37	1.87
211874_s_at	MYST4	1.6	1.33	1.93
206782_s_at	DNAJC4	1.6	1.34	1.91
221435_x_at	HT036	1.59	1.26	2.01
215549_x_at	---	1.59	1.27	1.98
216791_at	FLJ33318	1.58	1.24	2.02
200947_s_at	GLUD1	1.58	1.25	2
200933_x_at	RPS4X	1.58	1.29	1.94
52078_at	DKFZP564D0478	1.58	1.32	1.89
202252_at	RAB13	1.58	1.3	1.92
213337_s_at	---	1.57	1.25	1.97
216520_s_at	TPT1	1.56	1.25	1.94
200025_s_at	RPL27	1.56	1.32	1.83
202029_x_at	RPL38	1.55	1.3	1.86
220027_s_at	RASIP1	1.54	1.14	2.09
200861_at	KIAA1007	1.54	1.23	1.92
218483_s_at	FLJ21827	1.54	1.34	1.76
213357_at	GTF2H5	1.53	1.3	1.81
55081_at	MICAL-L1	1.53	1.24	1.89
200000_s_at	PRPF8	1.53	1.26	1.86
200633_at	UBB	1.53	1.3	1.8
203941_at	FLJ10871	1.53	1.28	1.83
208830_s_at	SUPT6H	1.53	1.28	1.82
201080_at	PIP5K2B	1.53	1.28	1.82
200937_s_at	RPL5	1.52	1.25	1.85
218320_s_at	NDUFB11	1.52	1.26	1.83
203922_s_at	CYBB	1.52	1.31	1.76
203531_at	CUL5	1.52	1.29	1.78
212869_x_at	TPT1	1.51	1.27	1.8
221432_s_at	SLC25A28	1.51	1.24	1.84
201183_s_at	CHD4	1.49	1.2	1.86
220605_s_at	SIRT2	1.48	1.22	1.79
207356_at	DEFB4	1.46	1.28	1.67
218103_at	FTSJ3	1.45	1.21	1.74
208825_x_at	RPL23A	1.43	1.21	1.71
213084_x_at	RPL23A	1.43	1.21	1.7
218097_s_at	CUEDC2	1.43	1.24	1.66
208834_x_at	RPL23A	1.43	1.21	1.7
217934_x_at	STUB1	1.43	1.24	1.65
211943_x_at	TPT1	1.43	1.17	1.73
213477_x_at	EEF1A1	1.33	1.16	1.51
