Locus LinkID	Accession number	Gene symbol	Sequence Description	Fold change	p-value(FDR)
2358	NM_001462	FPRL1	formyl peptide receptor-like 1 (FPRL1)	-1.69	8.20E-03
3726	NM_002229	JUNB	jun B proto-oncogene (JUNB)	-1.69	5.00E-11
5731	NM_000955	PTGER1	prostaglandin E receptor 1 (subtype EP1), 42kDa (PTGER1)	-1.69	8.30E-08
51177	NM_016274	CKIP-1	CK2 interacting protein 1; HQ0024c protein (CKIP-1)	-1.69	3.20E-05
10184	D86961	LHFPL2	mRNA for KIAA0206 gene, partial cds.	-1.69	7.90E-03
6622	NM_000345	SNCA	synuclein, alpha (non A4 component of amyloid precursor) (SNCA), transcript variant NACP140	-1.69	3.10E-14
10395	NM_006094	DLC1	deleted in liver cancer 1 (DLC1), transcript variant 2	-1.69	4.30E-09
NA	AF085838	NA	full length insert cDNA clone YI44D08.	-1.68	1.00E-03
2744	NM_014905	GLS	glutaminase (GLS)	-1.68	3.00E-04
10417	NM_012445	SPON2	spondin 2, extracellular matrix protein (SPON2)	-1.68	4.30E-04
10105	NM_005729	PPIF	peptidylprolyl isomerase F (cyclophilin F) (PPIF)	-1.68	9.30E-08
4988	NM_000914	OPRM1	opioid receptor, mu 1 (OPRM1)	-1.68	1.00E-03
6319	NM_005063	SCD	stearoyl-CoA desaturase (delta-9-desaturase) (SCD)	-1.68	1.20E-04
875	NM_000071	CBS	cystathionine-beta-synthase (CBS)	-1.68	4.30E-04
4065	NM_002349	LY75	lymphocyte antigen 75 (LY75)	-1.68	1.00E-05
800	NM_004342	CALD1	caldesmon 1 (CALD1), transcript variant 3	-1.68	2.00E-06
9652	AF090944	KIAA0372	clone HQ0663 PRO0663 mRNA, partial cds.	-1.67	8.80E-03
51313	NM_016613	DKFZp434L142	hypothetical protein DKFZp434L142 (DKFZp434L142)	-1.67	1.90E-06
395	NM_001174	ARHGAP6	Rho GTPase activating protein 6 (ARHGAP6), transcript variant 2	-1.67	4.40E-10
51098	NM_016004	C20orf9	chromosome 20 open reading frame 9 (C20orf9)	-1.67	2.00E-05
10536	NM_014262	LEPREL2	leprecan-like 2 protein (LEPREL2)	-1.67	1.60E-04
157680	NM_017890	COH1	Cohen syndrome 1 (COH1), transcript variant 5	-1.67	5.70E-05
9866	AB002296	TRIM66	mRNA for KIAA0298 protein, partial cds.	-1.67	5.90E-05
8507	NM_003633	ENC1	ectodermal-neural cortex (with BTB-like domain) (ENC1)	-1.67	5.30E-08
91768	AK025627	CABLES1	cDNA: FLJ21974 fis, clone HEP05861.	-1.66	2.90E-05
57761	AK026945	TRIB3	cDNA: FLJ23292 fis, clone HEP10334.	-1.66	4.10E-03
55201	NM_018174	BPY2IP1	VCY2 interacting protein 1 (VCY2IP1)	-1.66	8.60E-26
5139	AK000795	PDE3A	cDNA FLJ20788 fis, clone COL02074.	-1.66	8.80E-03
83881	AF211891	MIXL1	Mix.1 homeobox-like protein (MIXL) mRNA, complete cds.	-1.66	6.90E-04
57134	NM_020379	MAN1C1	mannosidase, alpha, class 1C, member 1 (MAN1C1)	-1.66	1.20E-05
7097	NM_003264	TLR2	toll-like receptor 2 (TLR2)	-1.66	2.90E-03
NA	X04547	tRNA-Met	C5 RNA (tRNA-Met precursor) from HeLa cells.	-1.65	7.10E-06
NA	D28381	osteonectin	mRNA for osteonectin, 5UTR (sequence from the 5cap to the start codon).	-1.65	9.40E-06
55711	NM_018099	MLSTD1	hypothetical protein FLJ10462 (FLJ10462)	-1.65	4.10E-13
6529	NM_003042	SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1 (SLC6A1)	-1.65	9.80E-05
6236	NM_004165	RRAD	Ras-related associated with diabetes (RRAD)	-1.65	3.70E-08
8318	U84526	CDC45L	velo-cardio-facial syndrome 22q11 region mRNA sequence.	-1.65	3.50E-11
90627	AL049801	STARD13	Novel gene mapping to chomosome 13, similar to rat RhoGAP.	-1.65	3.80E-27
23362	NM_015310	PSD3	ADP-ribosylation factor guanine nucleotide factor 6 (EFA6R)	-1.65	3.20E-03
25940	AL049943	DKFZP564F052	mRNA; cDNA DKFZp564F0522 (from clone DKFZp564F0522).	-1.65	8.00E-04
993	NM_001789	CDC25A	cell division cycle 25A (CDC25A)	-1.65	8.80E-06
54860	NM_017716	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 (MS4A12)	-1.65	4.20E-05
784	NM_000725	CACNB3	calcium channel, voltage-dependent, beta 3 subunit (CACNB3)	-1.65	1.40E-04
153811	AK021734	LOC153811	cDNA FLJ11672 fis, clone HEMBA1004733.	-1.65	3.90E-03
7570	NM_006963	ZNF22	zinc finger protein 22 (KOX 15) (ZNF22)	-1.65	6.90E-04
4323	NM_004995	MMP14	matrix metalloproteinase 14 (membrane-inserted) (MMP14)	-1.65	3.00E-04
9749	NM_014721	PHACTR2	chromosome 6 open reading frame 56 (C6orf56)	-1.65	8.40E-03
NA	AF086319	NA	full length insert cDNA clone ZD53C05.	-1.65	3.60E-14
1809	NM_001387	DPYSL3	dihydropyrimidinase-like 3 (DPYSL3)	-1.64	2.20E-08
140688	AL122043	C20orf112	mRNA; cDNA DKFZp566G1424 (from clone DKFZp566G1424).	-1.64	6.60E-09
7204	NM_007118	TRIO	triple functional domain (PTPRF interacting) (TRIO)	-1.64	7.30E-06
NA	AF052109	NA	clone 23927 mRNA sequence.	-1.64	1.30E-08
27023	AF071554	FOXB1	forkhead/winged helix transcription factor Fkh5 (FKH5) mRNA, complete cds.	-1.64	1.40E-03
5998	AF131806	RGS3	clone 24863 mRNA sequence.	-1.64	1.40E-03
80196	AK025439	RNF34	cDNA: FLJ21786 fis, clone HEP00326.	-1.64	9.70E-05
8661	AL390137	EIF3S10	mRNA; cDNA DKFZp547C074 (from clone DKFZp547C074).	-1.63	3.00E-04
51701	U00949	NLK	clone C4E 5.3 (CAC)n/(GTG)n repeat-containing mRNA.	-1.63	2.80E-03
6510	NM_005628	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5 (SLC1A5)	-1.63	4.60E-03
483	NM_001679	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide (ATP1B3)	-1.63	4.30E-04
51009	NM_016041	DERL2	carcinoma related gene (F-LANa)	-1.63	2.60E-22
5654	NM_002775	PRSS11	protease, serine, 11 (IGF binding) (PRSS11)	-1.63	5.60E-04
51705	AL133118	EMCN	mRNA; cDNA DKFZp586N0121 (from clone DKFZp586N0121).	-1.63	4.30E-07
10769	NM_006622	PLK2	serum-inducible kinase (SNK)	-1.63	4.50E-25
3263	J03048	HPX	Huma hemopexin mRNA, 3 end.	-1.62	8.20E-06
22822	NM_007350	PHLDA1	pleckstrin homology-like domain, family A, member 1 (PHLDA1)	-1.62	2.60E-03
266727	AF087987	MDGA1	full length insert cDNA clone YX25D06.	-1.62	6.90E-04
4071	X75684	TM4SF1	H.sapiens (TL27) mRNA from (PC3) cell line.	-1.62	5.40E-13
79819	AK021936	FLJ23129	cDNA FLJ11874 fis, clone HEMBA1007073.	-1.62	1.50E-05
54407	NM_018976	SLC38A2	solute carrier family 38, member 2 (SLC38A2)	-1.62	1.10E-05
6397	NM_003003	SEC14L1	SEC14-like 1 (S. cerevisiae) (SEC14L1)	-1.62	8.80E-06
786	NM_000727	CACNG1	calcium channel, voltage-dependent, gamma subunit 1 (CACNG1)	-1.61	1.10E-04
64321	AK025905	SOX17	cDNA: FLJ22252 fis, clone HRC02734.	-1.61	3.20E-07
10516	NM_006329	FBLN5	fibulin 5 (FBLN5)	-1.61	1.60E-09
152485	AL117519	LOC152485	mRNA; cDNA DKFZp434P0235 (from clone DKFZp434P0235).	-1.61	4.00E-03
10570	AB006713	DPYSL4	mRNA for dihydropyrimidinase related protein 4, complete cds.	-1.61	6.00E-06
148206	D70836	LOC148206	mRNA for Zinc-finger protein, partial cds.	-1.61	4.00E-07
6150	U26596	MRPL23	ribosomal protein L23-related mRNA, complete cds.	-1.61	1.60E-05
27145	AB033101	FILIP1	mRNA for KIAA1275 protein, partial cds.	-1.61	5.60E-04
3447	NM_006900	IFNA13	interferon, alpha 13 (IFNA13)	-1.61	3.40E-03
8993	NM_005091	PGLYRP1	peptidoglycan recognition protein (PGLYRP)	-1.61	2.10E-05
5868	NM_004162	RAB5A	RAB5A, member RAS oncogene family (RAB5A)	-1.61	1.80E-11
3091	NM_001530	HIF1A	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) (HIF1A), transcript variant 1	-1.61	5.90E-07
199	NM_004847	AIF1	allograft inflammatory factor 1 (AIF1), transcript variant 2	-1.6	3.60E-05
1879	AF208502	EBF	early B-cell transcription factor (EBF) mRNA, partial cds.	-1.6	1.10E-03
22907	NM_014966	DHX30	DEAH (Asp-Glu-Ala-His) box polypeptide 30 (DHX30), transcript variant 2	-1.6	3.40E-06
57060	NM_020418	PCBP4	poly(rC) binding protein 4 (PCBP4), transcript variant 1	-1.6	6.50E-10
79784	AK023943	MYH14	cDNA FLJ13881 fis, clone THYRO1001458, moderately similar to MYOSIN HEAVY CHAIN, NONMUSCLE TYPE B.	-1.6	4.20E-03
664	NM_004052	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3 (BNIP3), nuclear gene encoding mitochondrial protein	-1.6	1.50E-05
4814	NM_004148	NINJ1	ninjurin 1 (NINJ1)	-1.6	9.70E-14
NA	U05589	NA	ribosomal protein S1 homolog mRNA, partial cds.	-1.59	2.20E-05
6556	D50402	SLC11A1	mRNA for NRAMP1, complete cds.	-1.59	1.50E-13
1525	NM_001338	CXADR	coxsackie virus and adenovirus receptor (CXADR)	-1.59	3.60E-05
NA	S82164	ER	ER=estrogen receptor {exon 5 to exon 6, intervening sequence} [, breast cancer biopsy, breast cancer patient, mRNA	-1.59	4.40E-03
7328	AK026094	UBE2H	cDNA: FLJ22441 fis, clone HRC09331.	-1.59	2.90E-07
3954	NM_012318	LETM1	leucine zipper-EF-hand containing transmembrane protein 1 (LETM1)	-1.59	9.20E-04
5423	NM_002690	POLB	polymerase (DNA directed), beta (POLB)	-1.58	8.70E-03
83604	AL049257	TM4SF10	mRNA; cDNA DKFZp564E153 (from clone DKFZp564E153).	-1.58	4.80E-05
2657	NM_001492	GDF1	growth differentiation factor 1 (GDF1)	-1.58	7.60E-03
6677	S67798	SPAM1	PH-20 (SPAM1) mRNA, complete cds.	-1.58	4.50E-06
79966	AK024685	SCD4	cDNA: FLJ21032 fis, clone CAE07365.	-1.58	1.00E-03
9052	AK024522	GPCR5A	cDNA: FLJ20869 fis, clone ADKA02377.	-1.58	3.40E-03
NA	AL117546	NA	mRNA; cDNA DKFZp586C1923 (from clone DKFZp586C1923).	-1.57	9.00E-11
29964	AK023682	C6orf49	cDNA FLJ13620 fis, clone PLACE1010947.	-1.57	1.80E-08
2324	S66407	FLT4	FLT4=receptor tyrosine kinase isoform FLT4 long {3 region, alternatively spliced} [, mRNA Partial, 216 nt].	-1.57	8.30E-11
11086	NM_014269	ADAM29	a disintegrin and metalloproteinase domain 29 (ADAM29), transcript variant 1	-1.57	5.00E-06
22986	AB028982	SORCS3	mRNA for KIAA1059 protein, partial cds.	-1.57	2.00E-05
7041	NM_015927	TGFB1I1	transforming growth factor beta 1 induced transcript 1 (TGFB1I1)	-1.57	5.10E-05
10750	NM_006613	GRAP	GRB2-related adaptor protein (GRAP)	-1.57	6.00E-06
22846	NM_014909	KIAA1036	KIAA1036 protein (KIAA1036)	-1.57	1.70E-03
9732	NM_014705	DOCK4	DOCK4 (DOCK4)	-1.57	2.90E-03
6480	NM_003032	SIAT1	sialyltransferase 1 (beta-galactoside alpha-2,6-sialyltransferase) (SIAT1), transcript variant 2	-1.57	5.70E-03
64208	AF204171	POPDC3	clone IMAGE:249526 popeye protein 3 (POP3) mRNA, complete cds.	-1.57	7.30E-07
10492	NM_006372	SYNCRIP	NS1-associated protein 1 (NSAP1)	-1.56	2.40E-03
56935	NM_020179	FN5	FN5 protein (FN5)	-1.56	1.70E-03
4477	NM_002443	MSMB	microseminoprotein, beta- (MSMB), transcript variant PSP94	-1.56	5.60E-04
3096	NM_002114	HIVEP1	immunodeficiency virus type I enhancer binding protein 1 (HIVEP1)	-1.56	7.60E-03
56833	NM_020125	SLAMF8	B lymphocyte activator macrophage expressed (BLAME)	-1.56	3.00E-04
1611	AF056450	DAP	clone TEA9 Cri-du-chat critical region mRNA.	-1.56	1.00E-03
3572	AL049265	IL6ST	mRNA; cDNA DKFZp564F053 (from clone DKFZp564F053).	-1.56	6.10E-06
4992	NM_012360	OR1F1	olfactory receptor, family 1, subfamily F, member 1 (OR1F1)	-1.56	8.00E-03
5831	NM_006907	PYCR1	pyrroline-5-carboxylate reductase 1 (PYCR1), transcript variant 1	-1.55	2.30E-06
2673	NM_002056	GFPT1	glutamine-fructose-6-phosphate transaminase 1 (GFPT1)	-1.55	8.50E-03
NA	M29212	NA	Th RNA, complete cds.	-1.55	6.10E-03
26784	Y11158	RNU64	H.sapiens U64 small nucleolar RNA gene.	-1.55	1.70E-07
22877	NM_014938	MONDOA	Mlx interactor (MONDOA)	-1.55	6.10E-07
2131	NM_000127	EXT1	exostoses (multiple) 1 (EXT1)	-1.55	1.40E-03
NA	NM_016435	NA	NA	-1.55	3.30E-03
10608	NM_006454	MXD4	MAX dimerization protein 4 (MXD4)	-1.55	5.80E-06
10461	NM_006343	MERTK	c-mer proto-oncogene tyrosine kinase (MERTK)	-1.55	4.30E-10
5918	NM_002888	RARRES1	retinoic acid receptor responder (tazarotene induced) 1 (RARRES1)	-1.55	1.40E-07
55837	NM_018453	C14orf11	chromosome 14 open reading frame 11 (C14orf11)	-1.54	3.00E-04
6840	NM_003174	SVIL	supervillin (SVIL), transcript variant 1	-1.54	2.70E-08
2195	NM_005245	FAT	FAT tumor suppressor homolog 1 (Drosophila) (FAT)	-1.54	1.10E-05
6857	NM_005639	SYT1	synaptotagmin I (SYT1)	-1.54	8.00E-04
26247	X64980	OR2L1P	H.sapiens mRNA HTPCRX02 for olfactory receptor.	-1.54	3.60E-14
120	NM_016824	ADD3	adducin 3 (gamma) (ADD3), transcript variant 1	-1.54	4.50E-05
7466	NM_006005	WFS1	Wolfram syndrome 1 (wolframin) (WFS1)	-1.54	1.50E-03
79577	AK026969	HRPT2	cDNA: FLJ23316 fis, clone HEP12031.	-1.54	5.10E-03
29109	NM_013241	FHOD1	formin homology 2 domain containing 1 (FHOD1)	-1.53	8.20E-06
11314	AF020314	CMRF-35H	CMRF-35-H9 mRNA, complete cds.	-1.53	8.00E-04
10295	NM_005881	BCKDK	branched chain alpha-ketoacid dehydrogenase kinase (BCKDK)	-1.53	1.10E-05
5519	AF163473	PPP2R1B	protein phosphatase 2A regulatory subunit A beta isoform (PPP2R1B) mRNA, complete cds.	-1.53	2.20E-03
6001	AF045229	RGS10	regulator of G protein signaling 10 mRNA, complete cds.	-1.53	1.10E-09
55088	AK024739	C10orf118	cDNA: FLJ21086 fis, clone CAS03272.	-1.53	9.20E-04
58527	AF116682	C6orf115	PRO2013 mRNA, complete cds.	-1.53	1.40E-04
8362	NM_003541	HIST1H4K	histone 1, H4k (HIST1H4K)	-1.53	4.30E-04
608	NM_001192	TNFRSF17	tumor necrosis factor receptor superfamily, member 17 (TNFRSF17)	-1.53	5.40E-06
2335	AF130095	FN1	clone FLC0562 PRO2841 mRNA, complete cds.	-1.53	2.30E-08
5130	AF086176	PCYT1A	full length insert cDNA clone ZB95G04.	-1.53	1.90E-03
9828	NM_014786	ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17 (ARHGEF17)	-1.52	9.60E-11
NA	NM_016168	NA	NA	-1.52	2.90E-09
55285	NM_018301	FLJ11016	hypothetical protein FLJ11016 (FLJ11016)	-1.52	8.40E-10
54456	AL133068	MOV10L1	mRNA; cDNA DKFZp434B0717 (from clone DKFZp434B0717).	-1.52	6.30E-03
9859	NM_014812	KAB	KARP-1-binding protein (KAB)	-1.52	1.60E-09
54708	NM_017824	RNF153	hypothetical protein FLJ20445 (FLJ20445)	-1.52	1.80E-05
3713	NM_005547	IVL	involucrin (IVL)	-1.52	1.50E-10
NA	M92271	NA	(clone uf22) dihydropyridine-sensitive calcium channel HFCC, 3 end intron 5.	-1.52	6.40E-03
1440	NM_000759	CSF3	colony stimulating factor 3 (granulocyte) (CSF3), transcript variant 1	-1.52	5.60E-06
23515	D50926	ZCWCC3	mRNA for KIAA0136 gene, partial cds.	-1.52	6.70E-07
5530	NM_000944	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha) (PPP3CA)	-1.52	3.00E-04
7037	NM_003234	TFRC	transferrin receptor (p90, CD71) (TFRC)	-1.52	7.80E-06
55691	NM_018027	FRMD4A	hypothetical protein FLJ10210 (FLJ10210)	-1.52	4.60E-24
10283	NM_005869	SDCCAG10	serologically defined colon cancer antigen 10 (SDCCAG10)	-1.51	3.70E-13
26775	Y11167	RNU72	H.sapiens U72 small nucleolar RNA gene.	-1.51	1.40E-03
6285	NM_006272	S100B	S100 calcium binding protein, beta (neural) (S100B)	-1.51	2.00E-03
1602	NM_004392	DACH1	dachshund homolog (Drosophila) (DACH), transcript variant 3	-1.51	2.50E-03
NA	AF222023	NA	uncharacterized gastric protein ZA31P mRNA, partial cds.	-1.51	1.50E-04
3577	NM_000634	IL8RA	interleukin 8 receptor, alpha (IL8RA)	-1.51	4.20E-06
NA	AK026181	NA	cDNA: FLJ22528 fis, clone HRC12825.	-1.51	1.40E-04
56242	AF038951	ZNF253	DNA-binding protein mRNA, complete cds.	-1.51	4.70E-03
4217	NM_005923	MAP3K5	mitogen-activated protein kinase kinase kinase 5 (MAP3K5)	-1.5	5.30E-08
81671	AK024969	VMP1	cDNA: FLJ21316 fis, clone COL02253, highly similar to AF161410 HSPC292 mRNA.	-1.5	5.10E-03
