Probe Set	EMC Average	Non-EMC Average	Fold Difference	Higher Group	P-value	P-value adjusted	Q-value	Gene	Location	Gene Description
200708_at	1245	430	3	EMC	1.00E-07	2.00E-03	5.00E-06	GOT2	chr16q21	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
205606_at	388	135	3	EMC	4.00E-07	8.00E-03	1.00E-05	LRP6	chr12p11-p13	low density lipoprotein receptor-related protein 6
206571_s_at	62	178	3	Non-EMC	1.00E-06	3.00E-02	5.00E-05	MAP4K4	chr2q11.2-q12	mitogen-activated protein kinase kinase kinase kinase 4
221583_s_at	80	28	3	EMC	9.00E-08	2.00E-03	4.00E-06	KCNMA1	chr10q22.3	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
214082_at	173	61	3	EMC	5.00E-11	1.00E-06	5.00E-09	CA5B	chrXp21.1	carbonic anhydrase VB, mitochondrial
220287_at	132	47	3	EMC	5.00E-11	1.00E-06	5.00E-09	ADAMTS9	chr3p14.3-p14.2	ADAM metallopeptidase with thrombospondin type 1 motif, 9
215253_s_at	251	90	3	EMC	4.00E-07	9.00E-03	2.00E-05	DSCR1	chr21q22.1-q22.2|21q22.12	Down syndrome critical region gene 1
207951_at	91	33	3	EMC	6.00E-19	1.00E-14	2.00E-16	CSN2	chr4q21.1	casein beta
209618_at	50	18	3	EMC	7.00E-12	2.00E-07	8.00E-10	CTNND2	chr5p15.2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
208322_s_at	193	69	3	EMC	2.00E-06	4.00E-02	5.00E-05	ST3GAL1	chr8q24.22	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
206501_x_at	144	52	3	EMC	3.00E-13	6.00E-09	4.00E-11	ETV1	chr7p21.3	ets variant gene 1
219771_at	60	22	3	EMC	3.00E-12	6.00E-08	3.00E-10	FLJ20298	chrXq22.3	FLJ20298 protein
209617_s_at	89	32	3	EMC	8.00E-11	2.00E-06	7.00E-09	CTNND2	chr5p15.2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)
220306_at	110	40	3	EMC	6.00E-09	1.00E-04	4.00E-07	FAM46C	chr1p12	family with sequence similarity 46, member C
212474_at	42	113	3	Non-EMC	1.00E-06	3.00E-02	4.00E-05	KIAA0241	chr7p14.3	KIAA0241 protein
213967_at	205	76	3	EMC	1.00E-09	3.00E-05	9.00E-08	LOC138046	chr8q21.2	hypothetical protein LOC138046
206797_at	110	41	3	EMC	2.00E-16	4.00E-12	3.00E-14	NAT2	chr8p22	N-acetyltransferase 2 (arylamine N-acetyltransferase)
220324_at	45	17	3	EMC	6.00E-12	1.00E-07	7.00E-10	C6orf155	chr6q13	chromosome 6 open reading frame 155
205138_s_at	75	28	3	EMC	3.00E-16	7.00E-12	6.00E-14	UST	chr6q25.1	uronyl-2-sulfotransferase
210145_at	40	15	3	EMC	1.00E-06	3.00E-02	4.00E-05	PLA2G4A	chr1q25	phospholipase A2, group IVA (cytosolic, calcium-dependent)
210751_s_at	105	39	3	EMC	2.00E-08	4.00E-04	9.00E-07	RGN	chrXp11.3	regucalcin (senescence marker protein-30)
205608_s_at	93	35	3	EMC	6.00E-07	1.00E-02	2.00E-05	ANGPT1	chr8q22.3-q23	angiopoietin 1
207015_s_at	151	57	3	EMC	3.00E-14	7.00E-10	5.00E-12	ALDH1A2	chr15q21.3	aldehyde dehydrogenase 1 family, member A2
213272_s_at	235	89	3	EMC	2.00E-09	4.00E-05	1.00E-07	LOC57146	chr16p12	promethin
219330_at	133	51	3	EMC	8.00E-08	2.00E-03	4.00E-06	VANGL1	chr1p11-p13.1	vang-like 1 (van gogh, Drosophila)
206012_at	199	76	3	EMC	5.00E-10	1.00E-05	4.00E-08	LEFTY2	chr1q42.1	left-right determination factor 2
215771_x_at	117	46	3	EMC	4.00E-12	9.00E-08	5.00E-10	RET	chr10q11.2	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)
209927_s_at	50	126	3	Non-EMC	2.00E-07	5.00E-03	1.00E-05	C1orf77	chr1q21.3	chromosome 1 open reading frame 77
205856_at	32	13	2	EMC	1.00E-12	2.00E-08	1.00E-10	SLC14A1	chr18q11-q12	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
214577_at	144	58	2	EMC	2.00E-07	4.00E-03	8.00E-06	MAP1B	chr5q13	microtubule-associated protein 1B
221347_at	157	64	2	EMC	2.00E-08	4.00E-04	1.00E-06	CHRM5	chr15q26	cholinergic receptor, muscarinic 5
219789_at	75	30	2	EMC	1.00E-09	3.00E-05	9.00E-08	NPR3	chr5p14-p13	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
222270_at	39	16	2	EMC	2.00E-15	4.00E-11	3.00E-13	SMEK2	chr2p16.1	KIAA1387 protein
206888_s_at	99	40	2	EMC	1.00E-11	3.00E-07	1.00E-09	ARHGDIG	chr16p13.3	Rho GDP dissociation inhibitor (GDI) gamma
204763_s_at	138	56	2	EMC	1.00E-08	2.00E-04	6.00E-07	GNAO1	chr16q13	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O
212853_at	135	56	2	EMC	1.00E-10	2.00E-06	9.00E-09	DCUN1D4	chr4q11	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)
210942_s_at	47	19	2	EMC	2.00E-06	4.00E-02	5.00E-05	ST3GAL6	chr3q12.1	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
204680_s_at	103	43	2	EMC	9.00E-07	2.00E-02	3.00E-05	RAPGEF5	chr7p15.3	Rap guanine nucleotide exchange factor (GEF) 5
208510_s_at	95	40	2	EMC	1.00E-06	2.00E-02	4.00E-05	PPARG	chr3p25	peroxisome proliferative activated receptor, gamma
207336_at	67	28	2	EMC	7.00E-09	2.00E-04	5.00E-07	SOX5	chr12p12.1	SRY (sex determining region Y)-box 5
221536_s_at	60	143	2	Non-EMC	8.00E-07	2.00E-02	3.00E-05	FLJ11301	chr3q29	hypothetical protein FLJ11301
205879_x_at	201	85	2	EMC	3.00E-09	6.00E-05	2.00E-07	RET	chr10q11.2	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)
220736_at	50	21	2	EMC	2.00E-21	4.00E-17	6.00E-19	SLC19A3	chr2q37	solute carrier family 19, member 3
220543_at	68	29	2	EMC	4.00E-23	1.00E-18	2.00E-20	C21orf62	chr21q22.1	chromosome 21 open reading frame 62
206137_at	131	56	2	EMC	5.00E-10	1.00E-05	4.00E-08	RIMS2	chr8q22.3	regulating synaptic membrane exocytosis 2
217562_at	35	15	2	EMC	1.00E-12	2.00E-08	1.00E-10	FAM5C	chr1q31.1	family with sequence similarity 5, member C
214238_at	111	48	2	EMC	3.00E-08	7.00E-04	2.00E-06	---	---	Clone DT1P1B6 mRNA, CAG repeat region
209789_at	105	45	2	EMC	5.00E-08	1.00E-03	2.00E-06	CORO2B	chr15q23	coronin, actin binding protein, 2B
208425_s_at	65	28	2	EMC	1.00E-09	2.00E-05	7.00E-08	DKFZP564D166	chr17q23.3	putative ankyrin-repeat containing protein
204270_at	40	17	2	EMC	4.00E-18	9.00E-14	1.00E-15	SKI	chr1q22-q24	v-ski sarcoma viral oncogene homolog (avian)
207749_s_at	152	67	2	EMC	3.00E-07	6.00E-03	1.00E-05	PPP2R3A	chr3q22.1	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha
210335_at	56	25	2	EMC	1.00E-12	2.00E-08	1.00E-10	PAMCI	chr12q21.31	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor
220518_at	48	21	2	EMC	3.00E-15	7.00E-11	6.00E-13	ABI3BP	chr3q12	ABI gene family, member 3 (NESH) binding protein
206431_x_at	625	275	2	EMC	6.00E-09	1.00E-04	4.00E-07	KIAA0676	chr5q35.3	KIAA0676 protein
37022_at	449	200	2	EMC	6.00E-09	1.00E-04	4.00E-07	PRELP	chr1q32	proline/arginine-rich end leucine-rich repeat protein
221467_at	71	32	2	EMC	4.00E-15	1.00E-10	7.00E-13	MC4R	chr18q22	melanocortin 4 receptor
209827_s_at	121	54	2	EMC	3.00E-07	7.00E-03	1.00E-05	IL16	chr15q26.3	interleukin 16 (lymphocyte chemoattractant factor)
205834_s_at	104	47	2	EMC	4.00E-13	1.00E-08	6.00E-11	PART1	chr5q12.1	prostate androgen-regulated transcript 1
217565_at	39	18	2	EMC	1.00E-14	3.00E-10	2.00E-12	GRIA3	chrXq25-q26	glutamate receptor, ionotrophic, AMPA 3
214446_at	93	42	2	EMC	1.00E-07	3.00E-03	5.00E-06	ELL2	chr5q15	elongation factor, RNA polymerase II, 2
205627_at	93	42	2	EMC	8.00E-08	2.00E-03	4.00E-06	CDA	chr1p36.2-p35	cytidine deaminase
215811_at	75	34	2	EMC	2.00E-09	5.00E-05	1.00E-07	SNCA	chr4q21	Synuclein, alpha (non A4 component of amyloid precursor)
38037_at	105	48	2	EMC	2.00E-07	4.00E-03	8.00E-06	HBEGF	chr5q23	heparin-binding EGF-like growth factor
220144_s_at	47	22	2	EMC	1.00E-06	2.00E-02	3.00E-05	ANKRD5	chr20pter-q11.23	ankyrin repeat domain 5
204736_s_at	108	50	2	EMC	4.00E-08	9.00E-04	2.00E-06	CSPG4	chr15q23	chondroitin sulfate proteoglycan 4 (melanoma-associated)
211478_s_at	44	20	2	EMC	2.00E-12	4.00E-08	2.00E-10	DPP4	chr2q24.3	dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
213673_x_at	143	67	2	EMC	1.00E-10	2.00E-06	9.00E-09	SCIRP10	chr1q32.3	Neuron derived neurotrophic factor
218406_x_at	181	85	2	EMC	2.00E-13	5.00E-09	3.00E-11	NENF	chr1q32.3	neuron derived neurotrophic factor
220108_at	120	57	2	EMC	1.00E-08	2.00E-04	6.00E-07	GNA14	chr9q21	guanine nucleotide binding protein (G protein), alpha 14
214194_at	212	100	2	EMC	6.00E-11	1.00E-06	6.00E-09	KIAA1008	chr13q22.1	KIAA1008
207501_s_at	42	20	2	EMC	4.00E-16	8.00E-12	7.00E-14	FGF12	chr3q28	fibroblast growth factor 12
211900_x_at	110	52	2	EMC	4.00E-07	9.00E-03	2.00E-05	CD6	chr11q13	CD6 antigen
218342_s_at	428	203	2	EMC	4.00E-07	8.00E-03	1.00E-05	KIAA1815	chr9p24	KIAA1815
220927_s_at	69	33	2	EMC	6.00E-09	1.00E-04	4.00E-07	HPSE2	chr10q23-q24	heparanase 2
218000_s_at	83	40	2	EMC	2.00E-10	4.00E-06	1.00E-08	PHLDA1	chr12q15	pleckstrin homology-like domain, family A, member 1
219610_at	215	104	2	EMC	2.00E-07	5.00E-03	9.00E-06	RGNEF	chr5q13.2	Rho-guanine nucleotide exchange factor
219576_at	62	30	2	EMC	5.00E-10	1.00E-05	4.00E-08	FLJ12649	chrXq26.3	hypothetical protein FLJ12649
210943_s_at	162	79	2	EMC	3.00E-09	7.00E-05	2.00E-07	LYST	chr1q42.1-q42.2	lysosomal trafficking regulator
211465_x_at	279	136	2	EMC	9.00E-07	2.00E-02	3.00E-05	FUT6	chr19p13.3	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)
214070_s_at	130	64	2	EMC	2.00E-08	5.00E-04	1.00E-06	ATP10B	chr5q34	ATPase, Class V, type 10B
206698_at	37	18	2	EMC	2.00E-07	4.00E-03	8.00E-06	XK	chrXp21.1	Kell blood group precursor (McLeod phenotype)
208567_s_at	68	34	2	EMC	5.00E-09	1.00E-04	3.00E-07	KCNJ12	chr17p11.1	potassium inwardly-rectifying channel, subfamily J, member 12
215994_x_at	588	293	2	EMC	2.00E-07	4.00E-03	8.00E-06	KIAA0676	chr5q35.3	KIAA0676 protein
201526_at	211	423	2	Non-EMC	4.00E-07	8.00E-03	1.00E-05	ARF5	chr7q31.3	ADP-ribosylation factor 5
212054_x_at	554	278	2	EMC	7.00E-07	2.00E-02	2.00E-05	KIAA0676	chr5q35.3	KIAA0676 protein
205630_at	68	34	2	EMC	6.00E-11	1.00E-06	6.00E-09	CRH	chr8q13	corticotropin releasing hormone
215484_at	131	66	2	EMC	3.00E-07	7.00E-03	1.00E-05	TRIM3	chr11p15.5	Tripartite motif-containing 3
214072_x_at	148	75	2	EMC	2.00E-10	4.00E-06	1.00E-08	SCIRP10	chr1q32.3	Neuron derived neurotrophic factor
206123_at	209	107	2	EMC	4.00E-07	8.00E-03	1.00E-05	LLGL1	chr17p11.2	lethal giant larvae homolog 1 (Drosophila)
207312_at	110	57	2	EMC	1.00E-06	3.00E-02	4.00E-05	PHKG1	chr7p12-q21	phosphorylase kinase, gamma 1 (muscle)
203913_s_at	26	14	2	EMC	4.00E-07	1.00E-02	2.00E-05	HPGD	chr4q34-q35	hydroxyprostaglandin dehydrogenase 15-(NAD)
218967_s_at	49	25	2	EMC	9.00E-08	2.00E-03	4.00E-06	PTER	chr10p12	phosphotriesterase related
221910_at	79	41	2	EMC	1.00E-11	2.00E-07	1.00E-09	ETV1	chr7p21.3	ets variant gene 1
220246_at	63	33	2	EMC	3.00E-07	6.00E-03	1.00E-05	CAMK1D	chr10p13	calcium/calmodulin-dependent protein kinase ID
216545_at	74	39	2	EMC	3.00E-12	7.00E-08	4.00E-10	LOC441886	chr1p32.3	similar to Aspartate aminotransferase, mitochondrial precursor (Transaminase A) (Glutamate oxaloacetate transaminase-2)
210301_at	132	69	2	EMC	5.00E-07	1.00E-02	2.00E-05	XDH	chr2p23-p22	xanthine dehydrogenase
205121_at	56	29	2	EMC	1.00E-11	2.00E-07	1.00E-09	SGCB	chr4q12	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
208360_s_at	53	28	2	EMC	4.00E-11	9.00E-07	4.00E-09	---	---	---
210325_at	161	84	2	EMC	2.00E-09	4.00E-05	1.00E-07	CD1A	chr1q22-q23	CD1a antigen
216615_s_at	81	43	2	EMC	5.00E-07	1.00E-02	2.00E-05	HTR3A	chr11q23.1	5-hydroxytryptamine (serotonin) receptor 3A
202793_at	49	92	2	Non-EMC	9.00E-08	2.00E-03	4.00E-06	C3F	chr12p13	putative protein similar to nessy (Drosophila)
212147_at	81	154	2	Non-EMC	2.00E-08	5.00E-04	1.00E-06	EST1B	chr1q21.2	Est1p-like protein B
219901_at	39	21	2	EMC	2.00E-09	4.00E-05	1.00E-07	FGD6	chr12q22	FYVE, RhoGEF and PH domain containing 6
215129_at	42	22	2	EMC	9.00E-13	2.00E-08	1.00E-10	PIK3C2G	chr12p12	phosphoinositide-3-kinase, class 2, gamma polypeptide
206614_at	178	94	2	EMC	1.00E-10	2.00E-06	9.00E-09	GDF5	chr20q11.2	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)
221114_at	54	29	2	EMC	6.00E-10	1.00E-05	4.00E-08	AMBN	chr4q21	ameloblastin, enamel matrix protein
204388_s_at	30	16	2	EMC	2.00E-06	4.00E-02	6.00E-05	MAOA	chrXp11.3	monoamine oxidase A
205017_s_at	98	53	2	EMC	2.00E-08	3.00E-04	9.00E-07	MBNL2	chr13q32.1	muscleblind-like 2 (Drosophila)
216361_s_at	34	18	2	EMC	3.00E-08	6.00E-04	1.00E-06	MYST3	chr8p11	MYST histone acetyltransferase (monocytic leukemia) 3
210527_x_at	101	188	2	Non-EMC	3.00E-08	6.00E-04	1.00E-06	TUBA2	chr13q11	tubulin, alpha 2
216800_at	96	52	2	EMC	4.00E-09	9.00E-05	3.00E-07	---	---	CDNA: FLJ23416 fis, clone HEP20790
207594_s_at	39	21	2	EMC	6.00E-08	1.00E-03	3.00E-06	SYNJ1	chr21q22.2	synaptojanin 1
211258_s_at	132	71	2	EMC	3.00E-09	6.00E-05	2.00E-07	TGFA	chr2p13	transforming growth factor, alpha
219574_at	40	21	2	EMC	1.00E-12	3.00E-08	1.00E-10	1-Mar	chr4q32.2	membrane-associated ring finger (C3HC4) 1
221378_at	107	58	2	EMC	2.00E-07	4.00E-03	8.00E-06	CER1	chr9p23-p22	cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)
209544_at	25	14	2	EMC	3.00E-15	6.00E-11	5.00E-13	RIPK2	chr8q21	receptor-interacting serine-threonine kinase 2
218806_s_at	33	18	2	EMC	2.00E-07	4.00E-03	7.00E-06	VAV3	chr1p13.3	vav 3 oncogene
213321_at	147	80	2	EMC	7.00E-09	2.00E-04	4.00E-07	BCKDHB	chr6q13-q15	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)
221300_at	92	50	2	EMC	7.00E-10	1.00E-05	5.00E-08	C15orf2	chr15q11-q13	chromosome 15 open reading frame 2
215932_at	50	28	2	EMC	6.00E-08	1.00E-03	3.00E-06	MAGEC2	chrXq27	melanoma antigen family C, 2
208429_x_at	45	25	2	EMC	1.00E-07	2.00E-03	5.00E-06	HNF4A	chr20q12-q13.1	hepatocyte nuclear factor 4, alpha
220922_s_at	93	52	2	EMC	1.00E-06	3.00E-02	4.00E-05	SPANXA1 /// SPANXB1 /// SPANXA2 /// SPANXC /// SPANXB2	chrXq27.1	sperm protein associated with the nucleus, X-linked, family member A1 /// SPANX family, member B1 /// SPANX family, member A2 /// SPANX family, member C /// SPANX family, member B2
207695_s_at	93	52	2	EMC	2.00E-09	3.00E-05	1.00E-07	IGSF1	chrXq25	immunoglobulin superfamily, member 1
220737_at	47	26	2	EMC	4.00E-09	8.00E-05	2.00E-07	RPS6KA6	chrXq21	ribosomal protein S6 kinase, 90kDa, polypeptide 6
207505_at	51	28	2	EMC	2.00E-15	4.00E-11	3.00E-13	PRKG2	chr4q13.1-q21.1	protein kinase, cGMP-dependent, type II
206434_at	23	13	2	EMC	1.00E-07	3.00E-03	5.00E-06	SPOCK3	chr4q32.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
205472_s_at	30	17	2	EMC	7.00E-10	2.00E-05	6.00E-08	DACH1	chr13q22	dachshund homolog 1 (Drosophila)
220340_at	130	72	2	EMC	1.00E-06	3.00E-02	5.00E-05	KIAA1772	chr18q11.1-q11.2	KIAA1772
205648_at	90	51	2	EMC	3.00E-07	6.00E-03	1.00E-05	WNT2	chr7q31	wingless-type MMTV integration site family member 2
208223_s_at	43	24	2	EMC	3.00E-13	6.00E-09	4.00E-11	ACVR1B	chr12q13	activin A receptor, type IB
211614_at	75	42	2	EMC	5.00E-08	1.00E-03	3.00E-06	---	---	---
207089_at	35	20	2	EMC	8.00E-10	2.00E-05	6.00E-08	NRAP	chr10q24-q26	nebulin-related anchoring protein
220533_at	59	33	2	EMC	1.00E-08	2.00E-04	6.00E-07	---	---	---
220645_at	77	44	2	EMC	3.00E-07	7.00E-03	1.00E-05	FAM55D	chr11q23.2	family with sequence similarity 55, member D
222322_at	25	14	2	EMC	4.00E-17	9.00E-13	9.00E-15	---	---	Transcribed locus
207823_s_at	76	43	2	EMC	1.00E-07	2.00E-03	5.00E-06	AIF1	chr6p21.3	allograft inflammatory factor 1
220580_at	57	32	2	EMC	4.00E-07	8.00E-03	1.00E-05	BICC1	chr10q21.1	bicaudal C homolog 1 (Drosophila)
209828_s_at	97	55	2	EMC	2.00E-10	5.00E-06	2.00E-08	IL16	chr15q26.3	interleukin 16 (lymphocyte chemoattractant factor)
211460_at	40	23	2	EMC	8.00E-11	2.00E-06	7.00E-09	TTTY9 /// TTY9	chrYq11.222 /// chrYq11.221	testis-specific transcript, Y-linked 9 /// testis-specific transcript, Y-linked 9, centromeric
215967_s_at	88	50	2	EMC	2.00E-07	5.00E-03	9.00E-06	LY9	chr1q21.3-q22	lymphocyte antigen 9
208521_at	83	48	2	EMC	2.00E-09	5.00E-05	2.00E-07	OR5I1	chr11q11	olfactory receptor, family 5, subfamily I, member 1
217376_at	68	39	2	EMC	3.00E-10	7.00E-06	3.00E-08	---	---	---
208331_at	52	30	2	EMC	3.00E-08	6.00E-04	1.00E-06	BPY2 /// BPY2B /// BPY2C	chrYq11 /// chrYq11.223	basic charge, Y-linked, 2 /// basic charge, Y-linked, 2B /// basic charge, Y-linked, 2C
208389_s_at	60	34	2	EMC	2.00E-07	4.00E-03	7.00E-06	SLC1A2	chr11p13-p12	solute carrier family 1 (glial high affinity glutamate transporter), member 2
207878_at	95	55	2	EMC	2.00E-08	4.00E-04	1.00E-06	KRT2B	chr12q13.13	cytokeratin 2
213079_at	136	235	2	Non-EMC	8.00E-07	2.00E-02	3.00E-05		chrXp11.22	hypothetical protein DT1P1A10
205333_s_at	59	101	2	Non-EMC	2.00E-07	3.00E-03	7.00E-06	RCE1	chr11q13	RCE1 homolog, prenyl protein peptidase (S. cerevisiae)
214558_at	94	55	2	EMC	5.00E-07	1.00E-02	2.00E-05	GPR12	chr13q12	G protein-coupled receptor 12
221464_at	121	70	2	EMC	1.00E-08	3.00E-04	8.00E-07	OR1D2	chr17p13-p12|17p13.3	olfactory receptor, family 1, subfamily D, member 2
220648_at	34	20	2	EMC	1.00E-08	2.00E-04	6.00E-07	ADARB2	chr10p15.3	adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)
206771_at	73	43	2	EMC	4.00E-07	1.00E-02	2.00E-05	UPK3A	chr22q13.31	uroplakin 3A
215527_at	63	37	2	EMC	3.00E-08	7.00E-04	2.00E-06	KHDRBS2	chr6q11.1	KH domain containing, RNA binding, signal transduction associated 2
220829_s_at	38	23	2	EMC	3.00E-11	8.00E-07	4.00E-09	B3GALT1	chr2q24.3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
222340_at	48	29	2	EMC	2.00E-10	4.00E-06	1.00E-08	---	---	Transcribed locus, weakly similar to XP_518535.1 PREDICTED: similar to dJ108C2.1.4 (MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), variant 4) [Pan troglodytes]
215393_s_at	58	34	2	EMC	1.00E-10	2.00E-06	9.00E-09	COBLL1	chr2q24.3	COBL-like 1
208463_at	46	27	2	EMC	4.00E-08	8.00E-04	2.00E-06	GABRA4	chr4p12	gamma-aminobutyric acid (GABA) A receptor, alpha 4
215643_at	23	14	2	EMC	4.00E-07	8.00E-03	1.00E-05	SEMA3D	chr7q21.11	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D
213393_at	50	30	2	EMC	1.00E-07	3.00E-03	5.00E-06	MGC11332	chr2q12.1	Hypothetical protein MGC11332
202198_s_at	70	42	2	EMC	9.00E-11	2.00E-06	8.00E-09	MTMR3	chr22q12.2	myotubularin related protein 3
206433_s_at	30	18	2	EMC	3.00E-07	6.00E-03	1.00E-05	SPOCK3	chr4q32.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
216890_at	97	58	2	EMC	3.00E-09	7.00E-05	2.00E-07	---	---	---
206678_at	50	30	2	EMC	2.00E-08	4.00E-04	1.00E-06	GABRA1	chr5q34-q35	gamma-aminobutyric acid (GABA) A receptor, alpha 1
207082_at	100	60	2	EMC	2.00E-07	4.00E-03	8.00E-06	CSF1	chr1p21-p13	colony stimulating factor 1 (macrophage)
221393_at	37	23	2	EMC	6.00E-07	1.00E-02	2.00E-05	TAAR3	chr6q23-q24	trace amine associated receptor 3
210403_s_at	41	25	2	EMC	3.00E-08	6.00E-04	1.00E-06	KCNJ1	chr11q24	potassium inwardly-rectifying channel, subfamily J, member 1
222355_at	41	25	2	EMC	2.00E-09	5.00E-05	2.00E-07	---	---	Transcribed locus
216692_at	76	47	2	EMC	2.00E-06	4.00E-02	5.00E-05	ZNF337	chr20p11.21	Zinc finger protein 337
220882_at	122	75	2	EMC	2.00E-08	5.00E-04	1.00E-06	---	---	---
220871_at	56	34	2	EMC	1.00E-07	3.00E-03	5.00E-06	---	---	---
222330_at	23	14	2	EMC	2.00E-12	3.00E-08	2.00E-10	PDE3B	chr11p15.1	Phosphodiesterase 3B, cGMP-inhibited
217568_at	36	22	2	EMC	2.00E-13	5.00E-09	3.00E-11	FAM12A	chr14q11.2	family with sequence similarity 12, member A
215788_at	184	114	2	EMC	6.00E-07	1.00E-02	2.00E-05	LOC339457	chr1p36.33	hypothetical protein LOC339457
207368_at	44	27	2	EMC	4.00E-10	8.00E-06	3.00E-08	HTR1D	chr1p36.3-p34.3	5-hydroxytryptamine (serotonin) receptor 1D
215862_at	55	34	2	EMC	2.00E-07	4.00E-03	7.00E-06	---	---	CDNA FLJ12301 fis, clone MAMMA1001858
210750_s_at	49	30	2	EMC	2.00E-10	5.00E-06	2.00E-08	DLGAP1	chr18p11.3	discs, large (Drosophila) homolog-associated protein 1
207960_at	93	58	2	EMC	2.00E-06	3.00E-02	5.00E-05	---	---	---
211441_x_at	34	21	2	EMC	2.00E-07	5.00E-03	9.00E-06	CYP3A43	chr7q21.1	cytochrome P450, family 3, subfamily A, polypeptide 43
208344_x_at	56	35	2	EMC	8.00E-07	2.00E-02	3.00E-05	IFNA13	chr9p22	interferon, alpha 13
204840_s_at	23	14	2	EMC	7.00E-08	2.00E-03	4.00E-06	EEA1	chr12q22	early endosome antigen 1, 162kD
220009_at	64	40	2	EMC	6.00E-07	1.00E-02	2.00E-05	LONRF3	chrXq24	LON peptidase N-terminal domain and ring finger 3
207716_at	61	38	2	EMC	8.00E-07	2.00E-02	3.00E-05	KRTHA8	chr17q12-q21	keratin, hair, acidic, 8
203540_at	52	33	2	EMC	1.00E-08	2.00E-04	6.00E-07	GFAP	chr17q21	glial fibrillary acidic protein
208330_at	52	33	2	EMC	5.00E-07	1.00E-02	2.00E-05	ALX4	chr11p11.2	aristaless-like homeobox 4
207314_x_at	53	34	2	EMC	9.00E-07	2.00E-02	3.00E-05	KIR3DL2	chr19q13.4	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
214539_at	67	42	2	EMC	2.00E-06	4.00E-02	6.00E-05	SERPINB10	chr18q21.3	serpin peptidase inhibitor, clade B (ovalbumin), member 10
215328_at	54	34	2	EMC	1.00E-06	3.00E-02	4.00E-05	KIAA0953	chr2p23.3	KIAA0953
216428_x_at	51	33	2	EMC	2.00E-08	4.00E-04	1.00E-06	FLJ00060	chr19q13.42	hypothetical gene FLJ00060
215042_at	56	36	2	EMC	3.00E-07	6.00E-03	1.00E-05	BMP6	chr6p24-p23	bone morphogenetic protein 6
210412_at	49	31	2	EMC	3.00E-08	6.00E-04	1.00E-06	GRIN2B	chr12p12	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
217441_at	43	27	2	EMC	3.00E-07	6.00E-03	1.00E-05	USP33	chr1p31.1	ubiquitin specific peptidase 33
219921_s_at	39	25	2	EMC	5.00E-07	1.00E-02	2.00E-05	DOCK5	chr8p21.2	dedicator of cytokinesis 5
211384_s_at	37	24	2	EMC	7.00E-08	2.00E-03	3.00E-06	CASR	chr3q13	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)
214227_at	51	32	2	EMC	1.00E-06	2.00E-02	3.00E-05	GNG7	chr19p13.3	Guanine nucleotide binding protein (G protein), gamma 7
216884_at	28	18	2	EMC	1.00E-06	3.00E-02	5.00E-05	PTPN12	chr7q11.23	protein tyrosine phosphatase, non-receptor type 12
216991_at	35	23	2	EMC	2.00E-06	4.00E-02	5.00E-05	ZNF224	chr19q13.2	zinc finger protein 224
210736_x_at	178	115	2	EMC	2.00E-07	4.00E-03	8.00E-06	DTNA	chr18q12	dystrobrevin, alpha
214215_s_at	73	47	2	EMC	2.00E-08	3.00E-04	9.00E-07	KIAA0217	chr10p15.3	La ribonucleoprotein domain family, member 5
211912_at	34	22	2	EMC	9.00E-09	2.00E-04	6.00E-07	MERTK	chr2q14.1	c-mer proto-oncogene tyrosine kinase /// c-mer proto-oncogene tyrosine kinase
222364_at	34	22	2	EMC	7.00E-08	2.00E-03	3.00E-06	---	---	---
