probeset	M	Gene Title	Gene Symbol	Ensembl	Entrez Gene	SwissProt	RefSeq Protein ID	RefSeq Transcript ID
48808_at	-1.118453806	dihydrofolate reductase /// similar to Dihydrofolate reductase	DHFR /// LOC643509	NA	1719 /// 643509	P00374	NP_000782.1 /// XP_933249.1 /// XP_937759.1	NM_000791 /// XM_928156 /// XM_932666
202534_x_at	-1.116800452	dihydrofolate reductase /// similar to Dihydrofolate reductase	DHFR /// LOC643509	NA	1719 /// 643509	P00374	NP_000782.1 /// XP_933249.1 /// XP_937759.1	NM_000791 /// XM_928156 /// XM_932666
236088_at	-1.116776451	netrin G1	NTNG1	ENSG00000162631	22854	Q5ICN7 /// Q5IEC1 /// Q5IEC2 /// Q5IEC3 /// Q5IEC4 /// Q5IEC5 /// Q5IEC6 /// Q5IEC7 /// Q5IEC8 /// Q9Y2I2	NP_055732.2	NM_014917
212022_s_at	-1.115685102	antigen identified by monoclonal antibody Ki-67	MKI67	ENSG00000148773	4288	P46013 /// Q70L72 /// Q70L73 /// Q70L74	NP_002408.3	NM_002417
223556_at	-1.112327864	helicase, lymphoid-specific	HELLS	ENSG00000119969	3070	Q3LID1 /// Q6I7N7 /// Q6I7N8 /// Q76H75 /// Q76H76 /// Q76H77 /// Q76H78 /// Q76H79 /// Q76H80 /// Q76H81 /// Q76H82 /// Q7Z397 /// Q7Z5X2 /// Q8N6P4 /// Q9H4P5 /// Q9NRZ9 /// Q9NW36	NP_060533.2	NM_018063
226980_at	-1.11045174	DEP domain containing 1B	DEPDC1B	ENSG00000035499	55789	Q86WJ3 /// Q8IZY6 /// Q8WUY9 /// Q9NUN3 /// Q9NW57	NP_060839.1	NM_018369
222740_at	-1.107027582	ATPase family, AAA domain containing 2	ATAD2	ENSG00000156802	29028	Q14CR1 /// Q2KHQ7 /// Q6PL18	NP_054828.2	NM_014109
215991_s_at	-1.106283884	KIAA0090	KIAA0090	ENSG00000127463	23065	Q14700 /// Q63HL0 /// Q63HL3 /// Q8N766 /// Q8NBH8	NP_055862.1	NM_015047
204743_at	-1.102444431	transgelin 3	TAGLN3	ENSG00000144834	29114	Q2M222 /// Q7Z517 /// Q9UI15	NP_001008273.1 /// NP_001008274.1 /// NP_037391.2	NM_001008272 /// NM_001008273 /// NM_013259
219978_s_at	-1.099343991	nucleolar and spindle associated protein 1	NUSAP1	ENSG00000137804	51203	Q53GW2 /// Q8TBT4 /// Q96E58 /// Q96FJ1 /// Q9BXS6 /// Q9GZM9 /// Q9NZ85 /// Q9UI70	NP_057443.1 /// NP_060924.4	NM_016359 /// NM_018454
209714_s_at	-1.099224421	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3	ENSG00000100526	1033	Q16667 /// Q3SYQ4 /// Q53ZU6 /// Q5U0M4 /// Q6P1N8 /// Q86SK4 /// Q86SK7 /// Q86SK8 /// Q9BPV5 /// Q9BY34 /// Q9C043 /// Q9C044 /// Q9C045 /// Q9C046 /// Q9C048 /// Q9C050	NP_005183.2	NM_005192
228597_at	-1.096795271	chromosome 21 open reading frame 45	C21orf45	ENSG00000159055	54069	Q542Z0 /// Q9NYP9	NP_061817.1	NM_018944
225834_at	-1.092673637	hypothetical protein LOC652689 /// family with sequence similarity 72, member A /// similar to family with sequence similarity 72, member A /// similar to family with sequence similarity 72, member A	LOC652689 /// FAM72A /// LOC653594 /// LOC653820	ENSG00000196550 /// ENSG00000188610	652689 /// 653573 /// 653594 /// 653820	Q6L9T8 /// Q86X60	NP_997301.2 /// XP_933413.1 /// XP_935672.1 /// XP_940568.1 /// XP_940569.1 /// XP_940570.1 /// XP_947391.1	NM_207418 /// XM_928320 /// XM_930579 /// XM_935475 /// XM_935476 /// XM_935477 /// XM_942298
205345_at	-1.082747131	BRCA1 associated RING domain 1	BARD1	ENSG00000138376	580	Q53F80 /// Q99728	NP_000456.1	NM_000465
238622_at	-1.08069424	RAP2B, member of RAS oncogene family	RAP2B	ENSG00000181467	5912	P61225 /// Q5JQ44	NP_002877.2	NM_002886
214710_s_at	-1.078978428	cyclin B1	CCNB1	ENSG00000134057	891	P14635 /// Q5TZP9 /// Q9BPX9 /// Q9BWU7 /// Q9BWU8 /// Q9BWU9 /// Q9BWV0	NP_114172.1	NM_031966
215073_s_at	-1.075570028	nuclear receptor subfamily 2, group F, member 2	NR2F2	ENSG00000185551	7026	P24468 /// Q3KQR7	NP_066285.1	NM_021005
203214_x_at	-1.073252809	cell division cycle 2, G1 to S and G2 to M	CDC2	ENSG00000170312	983	P06493 /// Q3B785 /// Q5H9N4	NP_001777.1 /// NP_203698.1	NM_001786 /// NM_033379
221911_at	-1.072714204	ets variant gene 1	ETV1	ENSG00000006468	2115	P50549 /// Q4KMQ6 /// Q59GA7 /// Q6AI30	NP_004947.2	NM_004956
203358_s_at	-1.071516747	enhancer of zeste homolog 2 (Drosophila)	EZH2	ENSG00000106462	2146	Q15910 /// Q59H64 /// Q6R125 /// Q96FI6	NP_004447.2 /// NP_694543.1	NM_004456 /// NM_152998
224840_at	-1.070941921	FK506 binding protein 5	FKBP5	ENSG00000096060	2289	Q13451 /// Q2TA84 /// Q53GX4 /// Q59EB8	NP_004108.1	NM_004117
226661_at	-1.070068887	cell division cycle associated 2	CDCA2	ENSG00000184661	157313	Q3SX74 /// Q4G0W0 /// Q5RKN0 /// Q69YH5 /// Q69YI4 /// Q6P464 /// Q8N7C1	NP_689775.2	NM_152562
229070_at	-1.066231284	chromosome 6 open reading frame 105	C6orf105	ENSG00000111863	84830	Q96IZ2	NP_116133.1	NM_032744
204363_at	-1.062577888	coagulation factor III (thromboplastin, tissue factor)	F3	NA	2152	P13726 /// Q86SE7 /// Q86WH3 /// Q86WH4 /// Q8NCW7	NP_001984.1	NM_001993
225711_at	-1.060130805	ADP-ribosylation-like factor 6 interacting protein 6	ARL6IP6	ENSG00000177917	151188	Q7Z4G7 /// Q8N6S5	NP_689735.1	NM_152522
214581_x_at	-1.057750068	tumor necrosis factor receptor superfamily, member 21	TNFRSF21	ENSG00000146072	27242	O75509 /// Q59FR5 /// Q9NZD9	NP_055267.1	NM_014452
222039_at	-1.057605843	solute carrier family 35, member E1 /// hypothetical protein LOC146909	SLC35E1 /// LOC146909	ENSG00000186185	146909 /// 79939	Q6NWY8 /// Q86Y91 /// Q96K37 /// Q9H7U6	NP_079157.2 /// XP_085634.5 /// XP_935016.1 /// XP_939171.1 /// XP_946528.1 /// XP_950295.1 /// XP_950297.1	NM_024881 /// XM_085634 /// XM_929923 /// XM_934078 /// XM_941435 /// XM_945202 /// XM_945204
205534_at	-1.057555251	BH-protocadherin (brain-heart)	PCDH7	ENSG00000169851	5099	O60245	NP_002580.2 /// NP_115832.1 /// NP_115833.1	NM_002589 /// NM_032456 /// NM_032457
235545_at	-1.05716348	NA	NA	ENSG00000024526	NA	NA	NA	NA
209728_at	-1.054671645	major histocompatibility complex, class II, DR beta 4 /// major histocompatibility complex, class II, DR beta 4	HLA-DRB4	NA	3126	O19719 /// O19727 /// O19740 /// O19743 /// O78042 /// O78117 /// P13762 /// Q29889 /// Q30152 /// Q95465	NP_068818.4	NM_021983
203418_at	-1.053984438	cyclin A2	CCNA2	ENSG00000145386	890	P20248 /// P62988 /// Q2M3U6 /// Q5U5U6 /// Q6LER8	NP_001228.1	NM_001237
218875_s_at	-1.050391825	F-box protein 5	FBXO5	ENSG00000112029	26271	Q9UKT4	NP_036309.1	NM_012177
230250_at	-1.049445701	Protein tyrosine phosphatase, receptor type, B	PTPRB	NA	5787	P23467 /// Q3MIV7 /// Q68D73 /// Q6AWC4 /// Q6MZF6 /// Q6ZR19 /// Q6ZTX7 /// Q86VA4	NP_002828.2	NM_002837
202705_at	-1.049187185	cyclin B2	CCNB2	ENSG00000157456	9133	O15371 /// O95067 /// Q3MJD9 /// Q53HG9 /// Q5U0M0 /// Q6FI99 /// Q7Z4Z4	NP_004692.1	NM_004701
230560_at	-1.048157069	syntaxin binding protein 6 (amisyn)	STXBP6	ENSG00000168952	29091	Q8NFX7	NP_054897.4	NM_014178
204475_at	-1.045277823	matrix metallopeptidase 1 (interstitial collagenase)	MMP1	ENSG00000196611	4312	P03956 /// Q53FK3 /// Q53G75 /// Q53G95 /// Q53G96 /// Q53G97 /// Q5TZP0 /// Q96DZ4	NP_002412.1	NM_002421
213802_at	-1.045129468	Protease, serine, 12 (neurotrypsin, motopsin)	PRSS12	NA	8492	P56730 /// Q96I80	NP_003610.1	NM_003619
213764_s_at	-1.04489773	microfibrillar associated protein 5	MFAP5	ENSG00000197614	8076	Q13361 /// Q7Z490	NP_003471.1	NM_003480
227812_at	-1.043760879	tumor necrosis factor receptor superfamily, member 19	TNFRSF19	ENSG00000127863	55504	Q9NS68	NP_061117.2 /// NP_683760.1	NM_018647 /// NM_148957
227514_at	-1.042997917	hypothetical protein LOC162073	LOC162073	NA	162073	Q3MIP1	NP_001030013.1	NM_001034841
230333_at	-1.041184361	Spermidine/spermine N1-acetyltransferase	SAT	NA	6303	P21673 /// Q2TM25 /// Q6ICU9 /// Q9H2N9	NP_002961.1	NM_002970
218883_s_at	-1.036226798	MLF1 interacting protein	MLF1IP	ENSG00000151725	79682	Q71F23	NP_078905.2	NM_024629
203019_x_at	-1.034574586	synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	ENSG00000117155	117178	Q9Y2D8	NP_054740.2	NM_014021
211713_x_at	-1.033058436	KIAA0101 /// KIAA0101	KIAA0101	ENSG00000166803	9768	Q15004 /// Q5JPH1 /// Q6UWT8 /// Q8IXA3 /// Q9H5M4 /// Q9HCP0	NP_001025160.1 /// NP_055551.1	NM_001029989 /// NM_014736
229271_x_at	-1.03037989	collagen, type XI, alpha 1	COL11A1	ENSG00000060718	1301	P12107 /// Q149N0 /// Q59HB5	NP_001845.3 /// NP_542196.2 /// NP_542197.2	NM_001854 /// NM_080629 /// NM_080630
204887_s_at	-1.029083277	polo-like kinase 4 (Drosophila)	PLK4	ENSG00000142731	10733	O00444 /// Q15455	NP_055079.2	NM_014264
228033_at	-1.028488915	E2F transcription factor 7	E2F7	ENSG00000165891	144455	Q96AV8	NP_976328.1	NM_203394
211737_x_at	-1.0278818	pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1) /// pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	PTN	ENSG00000105894	5764	P21246 /// Q5U0B0 /// Q6ICQ5	NP_002816.1	NM_002825
222780_s_at	-1.027860122	brain and acute leukemia, cytoplasmic	BAALC	ENSG00000164929	79870	Q8WTP6 /// Q9HA93	NP_001019543.1 /// NP_079088.1	NM_001024372 /// NM_024812
221760_at	-1.026740463	Mannosidase, alpha, class 1A, member 1	MAN1A1	ENSG00000111885	4121	Q6P052	NP_005898.2	NM_005907
203145_at	-1.024246161	sperm associated antigen 5	SPAG5	ENSG00000076382	10615	Q96R06	NP_006452.3	NM_006461
206115_at	-1.0216468	early growth response 3	EGR3	ENSG00000179388	1960	Q06889 /// Q2M3W2	NP_004421.2	NM_004430
1553810_a_at	-1.020215227	KIAA1524	KIAA1524	ENSG00000163507	57650	Q6P4G6 /// Q8TCG1 /// Q8WVP8 /// Q96PI2 /// Q9H9C6 /// Q9P204	NP_065941.1	NM_020890
238563_at	-1.019069285	Abl-interactor 1	ABI1	NA	10006	Q59G41 /// Q8IZP0	NP_001012768.1 /// NP_001012769.1 /// NP_001012770.1 /// NP_005461.2	NM_001012750 /// NM_001012751 /// NM_001012752 /// NM_005470
214841_at	-1.017174054	cornichon homolog 3 (Drosophila)	CNIH3	ENSG00000143786	149111	Q8TBE1	NP_689708.1	NM_152495
209119_x_at	-1.01401175	nuclear receptor subfamily 2, group F, member 2	NR2F2	NA	7026	P24468 /// Q3KQR7	NP_066285.1	NM_021005
244008_at	-1.013263925	NA	NA	ENSG00000151883	NA	NA	NA	NA
231772_x_at	-1.012678038	centromere protein H	CENPH	ENSG00000153044	64946	Q9H3R5	NP_075060.1	NM_022909
218353_at	-1.012446268	regulator of G-protein signalling 5	RGS5	ENSG00000143248	8490	O15539 /// Q599J0 /// Q5VUM7 /// Q7LCP5 /// Q9H3F2	NP_003608.1	NM_003617
228273_at	-1.011099333	Transcribed locus	NA	NA	NA	NA	NA	NA
203209_at	-1.009643363	replication factor C (activator 1) 5, 36.5kDa	RFC5	ENSG00000111445	5985	P40937 /// Q59GW7 /// Q6LES9	NP_031396.1 /// NP_853556.1	NM_007370 /// NM_181578
218009_s_at	-1.009424741	protein regulator of cytokinesis 1	PRC1	ENSG00000198901	9055	O43663	NP_003972.1 /// NP_955445.1 /// NP_955446.1	NM_003981 /// NM_199413 /// NM_199414
226189_at	-1.008720342	integrin, beta 8	ITGB8	NA	3696	P26012 /// Q9BUG9	NP_002205.1	NM_002214
207828_s_at	-1.001508936	centromere protein F, 350/400ka (mitosin)	CENPF	ENSG00000117724	1063	P49454 /// Q9UHT7	NP_057427.3	NM_016343
204670_x_at	-1.001461149	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	NA	3123	O02951 /// O19190 /// O19507 /// O19517 /// O19585 /// O19586 /// O19587 /// O19622 /// O19721 /// O19725 /// O19728 /// O19730 /// O19742 /// O19762 /// O19763 /// O77961 /// O77966 /// O78042 /// O78117 /// P01912 /// P01913 /// P01914 /// P04229 /// P13760 /// P13761 /// P13762 /// P20039 /// P79483 /// P79552 /// Q13365 /// Q29671 /// Q29672 /// Q29673 /// Q29696 /// Q29703 /// Q29717 /// Q29726 /// Q29745 /// Q29755 /// Q29769 /// Q29787 /// Q29788 /// Q29789 /// Q29790 /// Q29791 /// Q29792 /// Q29889 /// Q29890 /// Q29901 /// Q29971 /// Q29972 /// Q29973 /// Q29974 /// Q29975 /// Q2LIR3 /// Q2LIR4 /// Q2LIR5 /// Q30008 /// Q30009 /// Q30103 /// Q30104 /// Q30109 /// Q30112 /// Q30114 /// Q30120 /// Q30131 /// Q30134 /// Q30136 /// Q30137 /// Q30142 /// Q30143 /// Q30147 /// Q30148 /// Q30150 /// Q30151 /// Q30152 /// Q30154 /// Q30158 /// Q30159 /// Q30162 /// Q30164 /// Q30165 /// Q30166 /// Q30167 /// Q30178 /// Q30179 /// Q32MY7 /// Q4A1G9 /// Q4JH26 /// Q4ZJJ2 /// Q56FN4 /// Q56FN5 /// Q56FN6 /// Q56FN7 /// Q56FN8 /// Q56FN9 /// Q56FP1 /// Q56FP2 /// Q56FP3 /// Q56FP5 /// Q56FP7 /// Q5BM92 /// Q5IWM0 /// Q5K3W2 /// Q5K3W3 /// Q5SP44 /// Q5UT58 /// Q5XKU0 /// Q5Y7B9 /// Q5Y7D1 /// Q6YJU6 /// Q70I25 /// Q70Q10 /// Q7YPT7 /// Q860C0 /// Q860Y4 /// Q8N855 /// Q8NEI3 /// Q8TB62 /// Q8WLU3 /// Q95379 /// Q95462 /// Q95HK1 /// Q95HK2 /// Q95HK3 /// Q95HL8 /// Q95IE3 /// Q95IH1 /// Q95IT4 /// Q96HZ9 /// Q9GIY0 /// Q9GIY1 /// Q9GIY2 /// Q9GIY3 /// Q9MYB9 /// Q9TQD6 /// Q9TQD7 /// Q9TQD8 /// Q9TQD9 /// Q9TQE0 /// Q9TQE1	NP_002115.1	NM_002124
222848_at	-1.001446443	centromere protein K	CENPK	ENSG00000123219	64105	Q9BS16 /// Q9H4L0	NP_071428.2	NM_022145
