Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_51_P190863	3.42	2.39E-03	Fzd3	NM_021458	frizzled homolog 3 (Drosophila) (Fzd3), mRNA [NM_021458]
A_52_P642005	3.42	7.63E-04	Camta1	NM_001081557	calmodulin binding transcription activator 1 (Camta1), transcript variant 1, mRNA [NM_001081557]
A_52_P381484	3.42	5.75E-04	Spon2	NM_133903	spondin 2, extracellular matrix protein (Spon2), mRNA [NM_133903]
A_51_P246001	3.42	2.63E-05	Cpe	NM_013494	carboxypeptidase E (Cpe), mRNA [NM_013494]
A_51_P217227	3.41	2.63E-05	C030014M07Rik	NM_001082483	RIKEN cDNA C030014M07 gene (C030014M07Rik), mRNA [NM_001082483]
A_51_P249608	3.41	8.35E-04	Trdn	AF223416	cardiac triadin isoform 2 mRNA, complete cds. [AF223416]
A_51_P497661	3.41	1.06E-04	Ntn4	NM_021320	netrin 4 (Ntn4), mRNA [NM_021320]
A_52_P118138	3.38	2.60E-04	Sass6	NM_028349	spindle assembly 6 homolog (C. elegans) (Sass6), mRNA [NM_028349]
A_52_P184352	3.38	9.94E-06	Hist3h2a	NM_178218	histone cluster 3, H2a (Hist3h2a), mRNA [NM_178218]
A_51_P411757	3.38	5.94E-03	Ankrd13b	NM_172945	ankyrin repeat domain 13b (Ankrd13b), mRNA [NM_172945]
A_51_P180108	3.37	5.13E-05	Arpc5l	NM_028809	actin related protein 2/3 complex, subunit 5-like (Arpc5l), mRNA [NM_028809]
A_51_P338998	3.37	3.84E-05	Prim2	NM_008922	DNA primase, p58 subunit (Prim2), mRNA [NM_008922]
A_52_P125467	3.37	8.82E-04	Reep2	NM_144865	receptor accessory protein 2 (Reep2), mRNA [NM_144865]
A_52_P442234	3.37	3.82E-05	H1f0	NM_008197	H1 histone family, member 0 (H1f0), mRNA [NM_008197]
A_51_P120024	3.37	4.43E-06	Pde2a	NM_001008548	phosphodiesterase 2A, cGMP-stimulated (Pde2a), mRNA [NM_001008548]
A_51_P416846	3.36	1.75E-05	2610020H08Rik	NM_028129	RIKEN cDNA 2610020H08 gene (2610020H08Rik), transcript variant 2, mRNA [NM_028129]
A_52_P238044	3.36	9.90E-05	Psmc3ip	NM_008949	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein (Psmc3ip), mRNA [NM_008949]
A_51_P508485	3.36	3.24E-05	Tmtc4	NM_028651	transmembrane and tetratricopeptide repeat containing 4 (Tmtc4), mRNA [NM_028651]
A_52_P772950	3.36	1.43E-04	2310002J15Rik	NM_026415	RIKEN cDNA 2310002J15 gene (2310002J15Rik), mRNA [NM_026415]
A_51_P208355	3.36	3.39E-04	Mcm8	NM_025676	minichromosome maintenance deficient 8 (S. cerevisiae) (Mcm8), mRNA [NM_025676]
A_52_P185568	3.36	5.06E-03	Wdr76	NM_030234	WD repeat domain 76 (Wdr76), mRNA [NM_030234]
A_51_P492366	3.35	4.65E-05	Bmp7	NM_007557	bone morphogenetic protein 7 (Bmp7), mRNA [NM_007557]
A_51_P202050	3.35	4.41E-05	Dtx1	NM_008052	deltex 1 homolog (Drosophila) (Dtx1), mRNA [NM_008052]
A_51_P112592	3.35	1.13E-03	Spire2	NM_172287	spire homolog 2 (Drosophila) (Spire2), mRNA [NM_172287]
A_51_P170959	3.35	2.95E-04	Proz	AK005011	adult male liver cDNA, RIKEN full-length enriched library, clone:1300015B06 product:weakly similar to VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR [Homo sapiens], full insert sequence [AK005011]
A_51_P408227	3.34	2.68E-04	9130017N09Rik	NM_030218	RIKEN cDNA 9130017N09 gene (9130017N09Rik), mRNA [NM_030218]
A_52_P4698	3.32	2.55E-05	Rfwd3	NM_146218	ring finger and WD repeat domain 3 (Rfwd3), mRNA [NM_146218]
A_52_P359718	3.32	1.31E-04	Wnk2	NM_029361	WNK lysine deficient protein kinase 2 (Wnk2), mRNA [NM_029361]
A_52_P135398	3.32	2.19E-04	TC1602638		Q99KT8_MOUSE (Q99KT8) AI481316 protein (Fragment), complete [TC1602638]
A_51_P315795	3.32	6.59E-05	Tubb4	NM_009451	tubulin, beta 4 (Tubb4), mRNA [NM_009451]
A_52_P161591	3.31	3.21E-04	AK039565	AK039565	adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330063N03 product:unclassifiable, full insert sequence. [AK039565]
A_51_P168203	3.31	9.34E-04	Aig1	NM_025446	androgen-induced 1 (Aig1), mRNA [NM_025446]
A_51_P165475	3.31	1.27E-05	C1galt1	NM_052993	core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase (C1galt1), mRNA [NM_052993]
A_51_P215374	3.31	5.26E-04	Slc6a17	NM_172271	solute carrier family 6 (neurotransmitter transporter), member 17 (Slc6a17), mRNA [NM_172271]
A_52_P662577	3.31	2.50E-02	BP760463	BP760463	BP760463 mouse (C57BL [BP760463]
A_51_P512969	3.3	1.26E-04	Cilp2	AK004006	18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110031K21 product:hypothetical protein, full insert sequence. [AK004006]
A_51_P114826	3.29	3.51E-06	Cdh13	NM_019707	cadherin 13 (Cdh13), mRNA [NM_019707]
A_52_P517668	3.29	8.58E-04	A_52_P517668
A_52_P28844	3.29	2.63E-06	Nrap	NM_008733	nebulin-related anchoring protein (Nrap), transcript variant 2, mRNA [NM_008733]
A_52_P652328	3.29	1.59E-02	Rufy3	AK045610	adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230215E15 product:hypothetical protein, full insert sequence. [AK045610]
A_51_P450487	3.29	1.81E-04	Sqle	NM_009270	squalene epoxidase (Sqle), mRNA [NM_009270]
A_51_P406105	3.29	5.01E-05	1110033J19Rik		RIKEN cDNA 1110033J19 gene [Source:MarkerSymbol;Acc:MGI:1913434] [ENSMUST00000071745]
A_52_P608020	3.28	2.57E-03	Kpna2	NM_010655	karyopherin (importin) alpha 2 (Kpna2), mRNA [NM_010655]
A_51_P414079	3.28	2.32E-03	Trp53i11	NM_001025246	transformation related protein 53 inducible protein 11 (Trp53i11), mRNA [NM_001025246]
A_52_P226489	3.28	1.94E-04	CJ042244	CJ042244	CJ042244 RIKEN full-length enriched mouse cDNA library, C57BL [CJ042244]
A_51_P511448	3.27	2.09E-05	Rutbc2	NM_172718	RUN and TBC1 domain containing 2 (Rutbc2), mRNA [NM_172718]
A_52_P242293	3.27	1.61E-04	AK083178	AK083178	adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630023P15 product:unclassifiable, full insert sequence. [AK083178]
A_51_P224099	3.27	5.51E-06	Cntrob	NM_172560	centrobin, centrosomal BRCA2 interacting protein (Cntrob), mRNA [NM_172560]
A_51_P257550	3.27	1.36E-04	Marcksl1	NM_010807	MARCKS-like 1 (Marcksl1), mRNA [NM_010807]
A_52_P448870	3.26	8.86E-04	Rab26	AK043912	10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830050A14 product:weakly similar to RAS-RELATED PROTEIN RAB-26 [Rattus norvegicus], full insert sequence. [AK043912]
A_52_P678183	3.26	5.15E-03	Faf1	NM_007983	Fas-associated factor 1 (Faf1), mRNA [NM_007983]
A_51_P300936	3.26	3.76E-05	Rbbp8	NM_001081223	retinoblastoma binding protein 8 (Rbbp8), mRNA [NM_001081223]
A_51_P326854	3.26	2.09E-04	2610018I03Rik	NM_027394	RIKEN cDNA 2610018I03 gene (2610018I03Rik), mRNA [NM_027394]
A_51_P398878	3.25	4.54E-04	Uck2	NM_030724	uridine-cytidine kinase 2 (Uck2), mRNA [NM_030724]
A_51_P127635	3.25	1.19E-04	Ttf2	NM_001013026	transcription termination factor, RNA polymerase II (Ttf2), mRNA [NM_001013026]
A_52_P134642	3.25	4.98E-03	9330182L06Rik	NM_172706	RIKEN cDNA 9330182L06 gene (9330182L06Rik), mRNA [NM_172706]
A_52_P416913	3.24	1.46E-04	Umps	NM_009471	uridine monophosphate synthetase (Umps), mRNA [NM_009471]
A_51_P302651	3.24	1.65E-05	Topbp1	NM_176979	topoisomerase (DNA) II beta binding protein (Topbp1), mRNA [NM_176979]
A_52_P634051	3.24	9.16E-06	Strbp	NM_009261	spermatid perinuclear RNA binding protein (Strbp), mRNA [NM_009261]
A_51_P159533	3.24	1.43E-05	Kcnh6	NM_001037712	potassium voltage-gated channel, subfamily H (eag-related), member 6 (Kcnh6), mRNA [NM_001037712]
A_51_P182728	3.24	7.75E-04	Stx1a	NM_016801	syntaxin 1A (brain) (Stx1a), mRNA [NM_016801]
A_51_P103850	3.24	2.00E-03	Fbn2	NM_010181	fibrillin 2 (Fbn2), mRNA [NM_010181]
A_51_P163038	3.24	5.46E-04	Slco4a1	NM_148933	solute carrier organic anion transporter family, member 4a1 (Slco4a1), mRNA [NM_148933]
A_52_P1184000	3.24	5.62E-04	Nucks1	NM_175294	nuclear casein kinase and cyclin-dependent kinase substrate 1 (Nucks1), mRNA [NM_175294]
A_51_P368009	3.23	8.14E-05	E2f2	NM_177733	E2F transcription factor 2 (E2f2), mRNA [NM_177733]
A_52_P402897	3.22	1.46E-04	Cdh4	AK038529	adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230026A20 product:unclassifiable, full insert sequence [AK038529]
A_52_P22763	3.22	2.52E-03	Mtap2	NM_001039934	microtubule-associated protein 2 (Mtap2), transcript variant 1, mRNA [NM_001039934]
A_51_P267593	3.22	1.17E-03	1700061G19Rik	AK028078	adult male testis cDNA, RIKEN full-length enriched library, clone:1700026H02 product:hypothetical AMP-dependent synthetase and ligase containing protein, full insert sequence [AK028078]
A_51_P390354	3.22	4.69E-06	Nkpd1	AK009357	adult male tongue cDNA, RIKEN full-length enriched library, clone:2310015G09 product:hypothetical protein, full insert sequence. [AK009357]
A_51_P139320	3.21	6.87E-05	Pcbd1	NM_025273	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 1 (Pcbd1), mRNA [NM_025273]
A_51_P263471	3.21	9.81E-07	Clec4n	NM_020001	C-type lectin domain family 4, member n (Clec4n), mRNA [NM_020001]
A_51_P415395	3.2	4.78E-05	3300001A09Rik	NM_001081314	RIKEN cDNA 3300001A09 gene (3300001A09Rik), mRNA [NM_001081314]
A_51_P419981	3.2	3.97E-04	Hnrpa2b1	AF073993	heterogenous nuclear ribonucleoprotein A2/B1 (hnRNP A2/B1) mRNA, complete cds. [AF073993]
A_51_P249268	3.2	7.57E-04	D130043K22Rik	NM_001081051	RIKEN cDNA D130043K22 gene (D130043K22Rik), mRNA [NM_001081051]
A_52_P636199	3.19	5.12E-05	Smc2	NM_008017	structural maintenance of chromosomes 2 (Smc2), mRNA [NM_008017]
A_52_P278354	3.19	1.54E-05	Bmp7	NM_007557	bone morphogenetic protein 7 (Bmp7), mRNA [NM_007557]
A_51_P130028	3.19	6.55E-06	Eno2	NM_013509	enolase 2, gamma neuronal (Eno2), mRNA [NM_013509]
A_52_P335218	3.18	9.90E-04	EG621324	XM_885734	PREDICTED:  similar to Signal transducer CD24 precursor (M1/69-J11D heat stable antigen) (HSA) (Nectadrin) (Lymphocyte antigen Ly-52) (X62 heat stable antigen) (R13-Ag) (LOC621324), mRNA [XM_885734]
A_52_P8632	3.18	6.38E-04	Nudt11	NM_021431	nudix (nucleoside diphosphate linked moiety X)-type motif 11 (Nudt11), mRNA [NM_021431]
A_51_P422183	3.18	4.96E-05	Hmgn3	BC005693	high mobility group nucleosomal binding domain 3, mRNA (cDNA clone MGC:11574 IMAGE:3597594), complete cds. [BC005693]
A_52_P411430	3.17	2.50E-04	LOC546100	XM_622446	PREDICTED:  hypothetical LOC546100 (LOC546100), mRNA [XM_622446]
A_52_P18299	3.17	2.54E-04	Chd5	NM_001081376	chromodomain helicase DNA binding protein 5 (Chd5), mRNA [NM_001081376]
A_51_P143431	3.16	7.04E-03	Pde3b	NM_011055	phosphodiesterase 3B, cGMP-inhibited (Pde3b), mRNA [NM_011055]
A_52_P590258	3.16	1.25E-04	1700025G04Rik	NM_197990	RIKEN cDNA 1700025G04 gene (1700025G04Rik), mRNA [NM_197990]
A_51_P488283	3.16	2.28E-04	AK038464	AK038464	adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230016A09 product:unclassifiable, full insert sequence. [AK038464]
A_51_P227644	3.16	2.41E-04	EG382421	AK048998	0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230090B19 product:unclassifiable, full insert sequence [AK048998]
A_51_P432180	3.15	5.60E-04	Slc16a6	NM_134038	solute carrier family 16 (monocarboxylic acid transporters), member 6 (Slc16a6), transcript variant 2, mRNA [NM_134038]
A_52_P333178	3.15	2.58E-05	Pold1	NM_011131	polymerase (DNA directed), delta 1, catalytic subunit (Pold1), mRNA [NM_011131]
A_52_P118970	3.14	5.65E-06	9130206I24Rik	AK078937	adult male cecum cDNA, RIKEN full-length enriched library, clone:9130206I24 product:unclassifiable, full insert sequence. [AK078937]
A_51_P134468	3.14	3.06E-04	D17H6S56E-5	L78788	solitary LTR, complete sequence; and proviral envelope protein (G7e) mRNA, complete cds. [L78788]
A_52_P535623	3.14	1.08E-04	Hook1	NM_030014	hook homolog 1 (Drosophila) (Hook1), mRNA [NM_030014]
A_51_P125745	3.13	3.55E-05	Asns	NM_012055	asparagine synthetase (Asns), mRNA [NM_012055]
A_51_P367125	3.13	4.01E-05	Pold1	NM_011131	polymerase (DNA directed), delta 1, catalytic subunit (Pold1), mRNA [NM_011131]
A_52_P299053	3.12	4.29E-03	Ptplb	NM_023587	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b (Ptplb), mRNA [NM_023587]
A_52_P76734	3.12	9.82E-05	H3f3a	NM_008210	H3 histone, family 3A (H3f3a), mRNA [NM_008210]
A_52_P212597	3.12	9.48E-04	Hook1	AK051789	12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130081A22 product:unclassifiable, full insert sequence. [AK051789]
A_52_P572178	3.12	4.10E-04	D130043K22Rik	NM_001081051	RIKEN cDNA D130043K22 gene (D130043K22Rik), mRNA [NM_001081051]
A_52_P479539	3.12	4.10E-04	Cit	AK047894	16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130020H05 product:unclassifiable, full insert sequence. [AK047894]
A_51_P473533	3.11	5.08E-04	Ahcy	BC015304	S-adenosylhomocysteine hydrolase, mRNA (cDNA clone MGC:19228 IMAGE:4241917), complete cds. [BC015304]
A_52_P496726	3.11	4.59E-04	Rasd1	NM_009026	RAS, dexamethasone-induced 1 (Rasd1), mRNA [NM_009026]
A_52_P382565	3.11	2.74E-04	LOC669759	XM_976961	PREDICTED:  similar to putative retrovirus-related gag protein (LOC669759), mRNA [XM_976961]
A_52_P593278	3.1	7.47E-04	Mtap1a	NM_032393	microtubule-associated protein 1 A (Mtap1a), mRNA [NM_032393]
A_51_P259009	3.1	8.81E-05	Cacnb3	NM_007581	calcium channel, voltage-dependent, beta 3 subunit (Cacnb3), transcript variant 1, mRNA [NM_007581]
A_51_P501773	3.1	6.09E-03	Slc35f3	NM_175434	solute carrier family 35, member F3 (Slc35f3), mRNA [NM_175434]
A_52_P261496	3.1	5.13E-04	Gabpb1	NM_010249	GA repeat binding protein, beta 1 (Gabpb1), transcript variant 2, mRNA [NM_010249]
A_51_P432199	3.09	7.89E-04	Sap30	NM_021788	sin3 associated polypeptide (Sap30), mRNA [NM_021788]
A_51_P466288	3.09	2.40E-04	Frmd5	NM_172673	FERM domain containing 5 (Frmd5), mRNA [NM_172673]
A_52_P566055	3.09	1.43E-03	Nup43	NM_145706	nucleoporin 43 (Nup43), mRNA [NM_145706]
A_51_P509643	3.09	4.30E-05	Snca	NM_009221	synuclein, alpha (Snca), transcript variant 2, mRNA [NM_009221]
A_52_P27249	3.09	7.70E-05	Dynlt1	AK030569	adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330432M01 product:t-complex testis expressed 1, full insert sequence [AK030569]
A_51_P480241	3.09	2.38E-03	Elf3	NM_007921	E74-like factor 3 (Elf3), mRNA [NM_007921]
A_52_P947	3.09	3.55E-04	2010007H06Rik	AK084979	13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430021D02 product:unclassifiable, full insert sequence [AK084979]
A_52_P24690	3.09	2.56E-02	A630005I04Rik	NM_177248	RIKEN cDNA A630005I04 gene (A630005I04Rik), mRNA [NM_177248]
A_51_P442284	3.08	2.45E-05	Dnajc12	NM_013888	DnaJ (Hsp40) homolog, subfamily C, member 12 (Dnajc12), mRNA [NM_013888]
A_51_P267024	3.08	1.49E-03	Pafah1b3	NM_008776	platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit (Pafah1b3), mRNA [NM_008776]
A_52_P550912	3.08	9.46E-04	Cdc2l5	NM_001081058	cell division cycle 2-like 5 (cholinesterase-related cell division controller) (Cdc2l5), mRNA [NM_001081058]
A_51_P475785	3.08	1.37E-03	BC052040	NM_207264	cDNA sequence BC052040 (BC052040), mRNA [NM_207264]
A_51_P512981	3.08	2.84E-05	Ppil1	NM_026845	peptidylprolyl isomerase (cyclophilin)-like 1 (Ppil1), mRNA [NM_026845]
A_51_P219312	3.08	2.08E-06	Ttn	AK010153	adult male tongue cDNA, RIKEN full-length enriched library, clone:2310074I15 product:similar to NOVEX-3 TITIN ISOFORM [Homo sapiens], full insert sequence [AK010153]
A_51_P433467	3.07	2.09E-04	Evl	NM_007965	Ena-vasodilator stimulated phosphoprotein (Evl), mRNA [NM_007965]
A_51_P277088	3.07	5.37E-03	Igfals	NM_008340	insulin-like growth factor binding protein, acid labile subunit (Igfals), mRNA [NM_008340]
A_51_P133618	3.07	4.92E-04	Clcn1	X62895	M.musculus mRNA (cDNA1) skeletal muscle chloride channel, destroyed by insertion of ETn transposon [X62895]
A_51_P199352	3.06	5.37E-04	2310015B20Rik		RIKEN cDNA 2310015B20 gene [Source:MarkerSymbol;Acc:MGI:1916813] [ENSMUST00000020090]
A_52_P322514	3.06	1.64E-03	Rfx3	AK041120	adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530084A02 product:regulatory factor (trans-acting) 3, full insert sequence. [AK041120]
A_51_P142450	3.06	7.32E-05	Tmem25	NM_027865	transmembrane protein 25 (Tmem25), mRNA [NM_027865]
A_52_P263289	3.05	7.64E-03	Trpc2	AK030267	adult male testis cDNA, RIKEN full-length enriched library, clone:4933439J20 product:hypothetical XRCC1 N terminal domain containing protein, full insert sequence. [AK030267]
A_52_P162298	3.05	8.16E-06	1810015A11Rik	NM_026940	RIKEN cDNA 1810015A11 gene (1810015A11Rik), mRNA [NM_026940]
A_51_P249544	3.05	1.99E-06	2410004L22Rik	NM_029621	RIKEN cDNA 2410004L22 gene (2410004L22Rik), mRNA [NM_029621]
A_52_P509886	3.04	2.07E-04	Spint1	NM_016907	serine protease inhibitor, Kunitz type 1 (Spint1), mRNA [NM_016907]
A_51_P149872	3.04	2.63E-03	TC1589973		O70259_MOUSE (O70259) Voltage-gated potassium channel Kv1.7, complete [TC1589973]
A_51_P142334	3.04	4.69E-04	Inppl1	NM_010567	inositol polyphosphate phosphatase-like 1 (Inppl1), mRNA [NM_010567]
A_51_P100174	3.04	2.45E-04	Mns1	NM_008613	meiosis-specific nuclear structural protein 1 (Mns1), mRNA [NM_008613]
A_52_P205363	3.04	4.43E-03	Rap1gap	NM_001081155	Rap1 GTPase-activating protein (Rap1gap), mRNA [NM_001081155]
A_52_P431859	3.04	3.34E-06	ENSMUST00000091560		RIKEN cDNA 2010111I01 gene [Source:MarkerSymbol;Acc:MGI:1919311] [ENSMUST00000091560]
A_51_P314107	3.04	1.23E-03	Gsdm1	NM_021347	gasdermin 1 (Gsdm1), mRNA [NM_021347]
A_52_P164161	3.04	8.34E-03	Cyp51	NM_020010	cytochrome P450, family 51 (Cyp51), mRNA [NM_020010]
A_51_P381381	3.03	5.65E-06	Tubb3	NM_023279	tubulin, beta 3 (Tubb3), mRNA [NM_023279]
A_52_P1053160	3.03	9.81E-04	Bcnp1	AK158308	adult inner ear cDNA, RIKEN full-length enriched library, clone:F930102I21 product:6-phosphogluconolactonase, full insert sequence [AK158308]
A_52_P18229	3.03	1.54E-04	Pdik1l	NM_146156	PDLIM1 interacting kinase 1 like (Pdik1l), mRNA [NM_146156]
A_51_P308029	3.03	5.18E-05	2010107G23Rik	NM_027251	RIKEN cDNA 2010107G23 gene (2010107G23Rik), mRNA [NM_027251]
A_52_P72718	3.02	8.58E-05	Lrrc42	NM_029985	leucine rich repeat containing 42 (Lrrc42), mRNA [NM_029985]
A_52_P657800	3.02	2.44E-05	Cep152	NM_001081091	centrosomal protein 152 (Cep152), mRNA [NM_001081091]
A_52_P268549	3.02	1.81E-04	5930416I19Rik	NM_197981	RIKEN cDNA 5930416I19 gene (5930416I19Rik), mRNA [NM_197981]
A_52_P1041253	3.02	2.07E-04	H3f3a	NM_008210	H3 histone, family 3A (H3f3a), mRNA [NM_008210]
A_51_P134653	3.02	1.13E-03	0610042G04Rik	AK002909	adult male kidney cDNA, RIKEN full-length enriched library, clone:0610042G04 product:hypothetical protein, full insert sequence. [AK002909]
A_52_P215829	3.02	2.29E-04	Alg13	BC059024	glycosyltransferase 28 domain containing 1, mRNA (cDNA clone IMAGE:6810589) [BC059024]
A_52_P75568	3.02	1.30E-03	Hspa4l	AK050997	9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030052G04 product:osmotic stress protein 94 kDa, full insert sequence. [AK050997]
A_51_P228817	3.02	3.08E-04	Stau2	NM_025303	staufen (RNA binding protein) homolog 2 (Drosophila) (Stau2), mRNA [NM_025303]
A_51_P111210	3.02	1.63E-03	Smc4	NM_133786	structural maintenance of chromosomes 4 (Smc4), mRNA [NM_133786]
A_52_P387564	3.01	1.58E-03	Tmpo	NM_001080129	thymopoietin (Tmpo), transcript variant 3, mRNA [NM_001080129]
A_51_P104478	3.01	2.28E-04	Smpx	NM_025357	small muscle protein, X-linked (Smpx), mRNA [NM_025357]
A_52_P620898	3.01	3.64E-05	BF472673	BF472673	UI-M-BZ0-axm-c-10-0-UI.r1 NIH_BMAP_MHI2  cDNA clone UI-M-BZ0-axm-c-10-0-UI 5. [BF472673]
A_51_P155582	3.01	1.63E-05	Rad51ap1	NM_009013	RAD51 associated protein 1 (Rad51ap1), mRNA [NM_009013]
A_51_P261689	3.01	6.65E-05	Ube2s	AK003078	adult male spleen cDNA, RIKEN full-length enriched library, clone:0910001J09 product:ubiquitin carrier protein E2 homolog [Homo sapiens], full insert sequence. [AK003078]
A_51_P244540	3	1.96E-02	Ntsr2	NM_008747	neurotensin receptor 2 (Ntsr2), mRNA [NM_008747]
A_51_P379798	3	8.90E-05	Fdps	NM_134469	farnesyl diphosphate synthetase (Fdps), mRNA [NM_134469]
A_51_P233153	3	1.17E-05	Cadps2	NM_153163	Ca2+-dependent activator protein for secretion 2 (Cadps2), mRNA [NM_153163]
A_51_P383459	3	4.73E-03	Smpd3	NM_021491	sphingomyelin phosphodiesterase 3, neutral (Smpd3), mRNA [NM_021491]
A_51_P324450	3	3.19E-02	Pbp2	NM_029595	phosphatidylethanolamine binding protein 2 (Pbp2), mRNA [NM_029595]
A_52_P672825	2.99	2.06E-04	BC106120	BC106120	cDNA clone IMAGE:3673487. [BC106120]
A_52_P319199	2.99	2.52E-04	Angptl6	NM_145154	angiopoietin-like 6 (Angptl6), mRNA [NM_145154]
A_51_P314388	2.99	5.81E-04	D530005L17Rik	NM_175275	RIKEN cDNA D530005L17 gene (D530005L17Rik), transcript variant 1, mRNA [NM_175275]
A_51_P185229	2.99	6.99E-05	Bmp2	NM_007553	bone morphogenetic protein 2 (Bmp2), mRNA [NM_007553]
A_51_P209921	2.99	2.39E-04	9330159F19Rik	AK034141	adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330159F19 product:weakly similar to KIAA0408 [Homo sapiens], full insert sequence [AK034141]
A_52_P131423	2.99	3.42E-05	Mbd1	AK007371	10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810008C20 product:methyl-CpG binding domain protein 1, full insert sequence. [AK007371]
A_51_P124035	2.98	6.55E-04	Nucks1	NM_175294	nuclear casein kinase and cyclin-dependent kinase substrate 1 (Nucks1), mRNA [NM_175294]
A_51_P364140	2.98	3.21E-05	Ldha	NM_010699	lactate dehydrogenase A (Ldha), mRNA [NM_010699]
A_51_P188782	2.98	1.20E-05	Ube2s	NM_133777	ubiquitin-conjugating enzyme E2S (Ube2s), mRNA [NM_133777]
A_52_P207654	2.98	2.00E-04	TC1655445		Q8VEL1_MOUSE (Q8VEL1) Erythroid differentiation regulator 1, partial (19%) [TC1655445]
A_51_P130957	2.98	1.33E-06	Gins3	NM_030198	GINS complex subunit 3 (Psf3 homolog) (Gins3), mRNA [NM_030198]
A_51_P289647	2.98	1.34E-04	E330016A19Rik	NM_173386	RIKEN cDNA E330016A19 gene (E330016A19Rik), mRNA [NM_173386]
A_52_P1019844	2.97	1.81E-06	AK036140	AK036140	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630039A10 product:unclassifiable, full insert sequence. [AK036140]
A_52_P191086	2.97	8.52E-04	Kcnj6	NM_010606	potassium inwardly-rectifying channel, subfamily J, member 6 (Kcnj6), transcript variant Girk2A-1, mRNA [NM_010606]
A_51_P126437	2.97	8.59E-06	Enc1	NM_007930	ectodermal-neural cortex 1 (Enc1), mRNA [NM_007930]
A_51_P135340	2.97	9.29E-06	Panx1	NM_019482	pannexin 1 (Panx1), mRNA [NM_019482]
A_52_P148222	2.97	1.70E-04	Nrcam	AK122252	mRNA for mKIAA0343 protein. [AK122252]
A_52_P175190	2.96	6.68E-04	Egfr	AK033431	adult male colon cDNA, RIKEN full-length enriched library, clone:9030024J15 product:unclassifiable, full insert sequence [AK033431]
A_51_P100063	2.96	1.01E-04	Lnx1	NM_010727	ligand of numb-protein X 1 (Lnx1), mRNA [NM_010727]
A_52_P163796	2.95	3.96E-06	Tubb5	NM_011655	tubulin, beta 5 (Tubb5), mRNA [NM_011655]
A_52_P526852	2.95	9.99E-05	Thex1	NM_026067	three prime histone mRNA exonuclease 1 (Thex1), mRNA [NM_026067]
A_52_P795912	2.95	3.66E-03	AK078412	AK078412	12 days embryo male wolffian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6720431F06 product:unclassifiable, full insert sequence. [AK078412]
A_51_P472829	2.95	1.11E-05	2810003C17Rik	NM_145144	RIKEN cDNA 2810003C17 gene (2810003C17Rik), mRNA [NM_145144]
A_51_P433824	2.94	1.05E-06	Tpi1	NM_009415	triosephosphate isomerase 1 (Tpi1), mRNA [NM_009415]
A_52_P634607	2.94	4.03E-04	NAP047296-1
A_51_P131315	2.94	2.51E-04	Serpina9	NM_027997	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9 (Serpina9), mRNA [NM_027997]
A_51_P506093	2.94	2.59E-04	Clip3	NM_001081114	CAP-GLY domain containing linker protein 3 (Clip3), mRNA [NM_001081114]
A_52_P1139509	2.94	9.08E-05	AK037434	AK037434	16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130018N09 product:unclassifiable, full insert sequence. [AK037434]
A_51_P222773	2.94	1.44E-03	Foxa2	NM_010446	forkhead box A2 (Foxa2), mRNA [NM_010446]
A_51_P128229	2.94	1.08E-05	Hn1l	AK150226	bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:G530145O09 product:hypothetical protein, full insert sequence. [AK150226]
A_52_P135392	2.94	8.49E-06	Uck2	BC004016	uridine-cytidine kinase 2, mRNA (cDNA clone IMAGE:3493906), partial cds [BC004016]
A_51_P234308	2.93	5.13E-04	Rpa2	NM_011284	replication protein A2 (Rpa2), mRNA [NM_011284]
