Affymetrix probe set I.D.	Fold change	Gene title	Gene symbol
205931_s_at	-3.25	cAMP responsive element binding protein 5	CREB5
211479_s_at	-3.25	5-hydroxytryptamine (serotonin) receptor 2C	HTR2C
222796_at	-3.25	pentatricopeptide repeat domain 1	PTCD1
206244_at	-3.03	complement component (3b/4b) receptor 1, including Knops blood group system	CR1
217552_x_at	-2.46	complement component (3b/4b) receptor 1, including Knops blood group system	CR1
220088_at	-3.03	complement component 5 receptor 1 (C5a ligand)	C5R1
202953_at	-2.14	complement component 1, q subcomponent, beta polypeptide	C1QB
218232_at	-2.83	complement component 1, q subcomponent, alpha polypeptide	C1QA
225353_s_at	-3.25	complement component 1, q subcomponent, gamma polypeptide	C1QG
228003_at	-3.03	RAB30, member RAS oncogene family	RAB30
241977_s_at	-3.25	RAB3C, member RAS oncogene family	RAB3C
225165_at	-2.30	protein phosphatase 1, regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein, DARPP-32)	PPP1R1B
1552669_at	-3.48	protein phosphatase 1, regulatory (inhibitor) subunit 3B	PPP1R3B
1560474_at	-3.48	Nipped-B homolog (Drosophila)	NIPBL
201785_at	-3.48	ribonuclease, RNase A family, 1 (pancreatic)	RNASE1
204445_s_at	-2.30	arachidonate 5-lipoxygenase	ALOX5
235380_at	-2.46	Arachidonate 5-lipoxygenase	ALOX5
214366_s_at	-3.25	arachidonate 5-lipoxygenase	ALOX5
204446_s_at	-3.48	arachidonate 5-lipoxygenase	ALOX5
205237_at	-3.48	ficolin (collagen/fibrinogen domain containing) 1	FCN1
209765_at	-3.48	a disintegrin and metalloproteinase domain 19 (meltrin beta)	ADAM19
204588_s_at	-2.00	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	SLC7A7
239596_at	-2.00	solute carrier family 30 (zinc transporter), member 7	SLC30A7
203472_s_at	-2.00	solute carrier organic anion transporter family, member 2B1	SLCO2B1
203473_at	-2.14	solute carrier organic anion transporter family, member 2B1	SLCO2B1
207057_at	-2.14	solute carrier family 16 (monocarboxylic acid transporters), member 7	SLC16A7
232277_at	-2.30	Solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	SLC28A3
226679_at	-2.46	solute carrier family 26, member 11	SLC26A11
207038_at	-2.14	solute carrier family 16 (monocarboxylic acid transporters), member 6	SLC16A6
230748_at	-2.64	solute carrier family 16 (monocarboxylic acid transporters), member 6 /// similar to solute carrier family 16, member 6; monocarboxylate transporter 6	SLC16A6 ///
210423_s_at	-2.46	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SLC11A1
217507_at	-3.03	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	SLC11A1
243894_at	-3.48	solute carrier family 41, member 2	SLC41A2
217147_s_at	-3.73	T cell receptor associated transmembrane adaptor 1	TRAT1
218693_at	-2.14	tetraspanin 15	TSPAN15
227236_at	-2.30	tetraspanin 2	TSPAN2
227233_at	-3.73	tetraspanin 2	TSPAN2
209771_x_at	-2.14	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
266_s_at	-2.14	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
216379_x_at	-2.30	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
208651_x_at	-2.46	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
208650_s_at	-3.03	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
209772_s_at	-4.00	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24
228170_at	-4.00	oligodendrocyte transcription factor 1	OLIG1
202827_s_at	-2.83	matrix metalloproteinase 14 (membrane-inserted)	MMP14
204580_at	-2.83	matrix metalloproteinase 12 (macrophage elastase)	MMP12
204475_at	-3.03	matrix metalloproteinase 1 (interstitial collagenase)	MMP1
203936_s_at	-4.29	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MMP9
206224_at	-4.29	cystatin SN	CST1
205033_s_at	-4.00	defensin, alpha 1, myeloid-related sequence ///  defensin, alpha 3, neutrophil-specific	DEFA1 /// DEFA3
207269_at	-4.29	defensin, alpha 4, corticostatin	DEFA4
211657_at	-2.64	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6
203757_s_at	-3.03	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	CEACAM6
206676_at	-4.59	carcinoembryonic antigen-related cell adhesion molecule 8	CEACAM8
214146_s_at	-4.59	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	PPBP
204470_at	-2.00	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1
207850_at	-2.14	chemokine (C-X-C motif) ligand 3	CXCL3
210548_at	-2.00	chemokine (C-C motif) ligand 23	CCL23
210549_s_at	-2.14	chemokine (C-C motif) ligand 23	CCL23
214974_x_at	-4.29	chemokine (C-X-C motif) ligand 5	CXCL5
215101_s_at	-4.59	chemokine (C-X-C motif) ligand 5	CXCL5
239213_at	-2.30	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	SERPINB1
211429_s_at	-4.59	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1
202833_s_at	-4.92	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1
203559_s_at	-4.92	amiloride binding protein 1 (amine oxidase (copper-containing))	ABP1
203096_s_at	-2.00	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2
225188_at	-2.00	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1
221830_at	-2.00	RAP2A, member of RAS oncogene family	RAP2A
1555339_at	-4.92	RAP1A, member of RAS oncogene family	RAP1A
1555340_x_at	-5.66	RAP1A, member of RAS oncogene family	RAP1A
1553395_a_at	-2.00	CD200 receptor 1	CD200R1
1552875_a_at	-6.06	CD200 receptor 1	CD200R1
205557_at	-6.06	bactericidal/permeability-increasing protein	BPI
212298_at	-2.83	neuropilin 1	NRP1
210510_s_at	-6.50	neuropilin 1	NRP1
214370_at	-2.14	S100 calcium binding protein A8 (calgranulin A)	S100A8
204351_at	-2.46	S100 calcium binding protein P	S100P
203535_at	-2.64	S100 calcium binding protein A9 (calgranulin B)	S100A9
205863_at	-4.00	S100 calcium binding protein A12 (calgranulin C) /// S100 calcium binding protein A12 (calgranulin C)	S100A12
209686_at	-6.96	S100 calcium binding protein, beta (neural)	S100B
220784_s_at	-8.00	urotensin 2	UTS2
217574_at	-12.13	Cadherin 8, type 2	CDH8
220979_s_at	-2.46	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-?sialyltransferase 5 /// ST6 (alpha-N-acetyl-neuraminyl-2, 3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5
210073_at	-39.40	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	ST8SIA1
