Gene Symbol	Probe Set	FoldChange AI/AD	Parametric p-value	Description	Map	GenBank Accession	UniGene Cluster
TMEM14B	221452_s_at	0.55	0.0029	transmembrane protein 14B	6p25.1-p23	NM_030969.1	Hs.273077
TUFT1	205807_s_at	0.63	0.0002	tuftelin1	1q21	NM_020127.1	Hs.283009
TACSTD2	202286_s_at	0.51	0.0049	tumor-associated calcium signal transducer 2	1p32-p31	J04152	Hs.23582
UBE3A	211575_s_at	1.57	0.0014	ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome)	15q11-q13	AF116702.1	Hs.180686
B4GALT3	210243_s_at	0.74	0.0042	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	1q21-q23	AF038661.1	Hs.321231
GNE	205042_at	0.67	0.0027	UDP-N-acetylglucosamine-2-epimerase/N-acetylmannosaminekinase	9p13.1	NM_005476.2	Hs.5920
MGC21654	214061_at	4.95	0.0002	unknown MGC21654 product	8q24.13	AI017564	Hs.95631
VWF	202112_at	4.63	0.0014	von Willebrand factor	12p13.3	NM_000552.2	Hs.440848
DZIP1	204556_s_at	2.02	0.0001	zinc finger DAZ interacting protein 1	13q32.1	AL568422	Hs.60177
ZT86	204175_at	0.55	0.0021	zinc finger protein	1p35.3	NM_015871.1	Hs.102419
ZNF259	200054_at	0.74	0.0016	zinc finger protein 259	11q23.3	NM_003904.1	Hs.7165
ZFP36	201531_at	0.43	0.0027	zinc finger protein 36, C3H type, homolog (mouse)	19q13.1	NM_003407.1	Hs.343586
ZNF434	218937_at	1.36	0.0049	zinc finger protein 434	16p13.3	NM_017810.1	Hs.123295
ZNF83	221645_s_at	2.26	0.0024	zinc finger protein 83 (HPF1)	19q13.3	M27877.1	Hs.502286
ZNF84	204453_at	2.22	0.0008	zinc finger protein 84 (HPF2)	12q24.33	NM_003428.1	Hs.22664
ZCCHC2	219062_s_at	0.47	0.0036	zinc finger, CCHC domain containing 2	18q21.33	NM_017742.1	Hs.254672
NA	221419_s_at	0.53	0.0005	NA	NA	NM_013307.1	NA
NA	216642_at	0.66	0.0015	NA	NA	AL110190.1	NA
NA	205527_s_at	0.41	0.002	NA	NA	NM_015487.1	NA
NA	217322_x_at	0.59	0.0023	NA	NA	AL024509	NA
