Parametric P value	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Unique ID
0.0058775	1.17	0.488	2.398	PPARG
0.0059228	1.375	0.797	1.725	GTF2I
0.0059416	1.149	0.528	2.176	MRPS14
0.005959	1.773	1.071	1.655	PH-4
0.0060286	1.144	0.329	3.477	POLR3H
0.0060434	2.064	1.077	1.916	STAT2
0.0060462	1.854	1.13	1.641	DHRS1
0.0060499	2.004	0.584	3.432	ASCC3
0.0060588	1.047	0.521	2.01	FSIP2
0.0060688	1.272	0.464	2.741	BC036928
0.0060742	0.545	0.298	1.829	C2orf3
0.0060783	1.82	1.103	1.65	NBR1
0.006101	0.853	0.393	2.17	CPNE8
0.0061059	0.878	0.447	1.964	C16orf30
0.0061068	1.234	0.529	2.333	ARHGEF3
0.0061219	1.926	1.101	1.749	CASP1
0.0061406	1.59	0.887	1.793	POU2F1
0.006141	2.067	1.143	1.808	STAT3
0.0061454	1.041	0.381	2.732	IRAK1BP1
0.0061488	1.21	0.496	2.44	EGFR
0.0061751	1.423	0.822	1.731	SCRIB
0.0061997	1.29	0.659	1.958	FLJ32679
0.0062251	0.658	0.28	2.35	DEPDC6
0.0062272	1.639	0.942	1.74	QPRT
0.0062316	0.773	0.424	1.823	ZNF609
0.0062618	1.936	1.167	1.659	F10
0.0062648	1.552	0.58	2.676	USP30
0.0062777	0.816	0.367	2.223	PTPRR
0.0062809	1.022	0.568	1.799	GLB1L
0.0062834	1.237	0.625	1.979	EFCAB4A
0.0063	1.804	0.915	1.972	CREG1
0.0063183	2.016	1.045	1.929	CHRM2
0.0063255	1.194	0.667	1.79	TNFRSF19
0.0063351	1.551	0.911	1.703	CBLB
0.0063765	1.865	0.967	1.929	FAM98C
0.0063996	1.077	0.633	1.701	TNK2
0.0064207	1.287	0.636	2.024	SLC14A2
0.0064252	1.554	0.867	1.792	MAP3K1
0.0064257	1.012	0.444	2.279	ZMYM4
0.006443	0.685	0.316	2.168	LOC729348
0.0064461	1.596	0.795	2.008	PMS2L2
0.0064487	0.869	0.348	2.497	MBD5
0.0064659	1.566	0.773	2.026	BMP2K
0.0064702	1.269	0.595	2.133	RHOF
0.0064813	1.332	0.776	1.716	MON1B
0.0064881	1.317	0.694	1.898	MZF1
0.0064911	2.352	1.335	1.762	FAS
0.0064926	1.246	0.61	2.043	BET1
0.0064998	2.083	1.135	1.835	TAP1
0.0065036	2.135	0.826	2.585	CHST2
0.0065109	2.682	1.243	2.158	DCN
0.006566	1.707	0.993	1.719	SLC27A1
0.0066084	1.475	0.615	2.398	LOC645626
0.0066213	1.706	0.994	1.716	SGK
0.0066275	0.588	0.356	1.652	MPP7
0.006647	1.06	0.628	1.688	RETNLB
0.0067018	2.371	1.399	1.695	TRAF4
0.0067142	1.463	0.842	1.738	NF1
0.0067221	0.671	0.304	2.207	CCL1
0.0067359	0.746	0.284	2.627	BANK1
0.0067531	2.315	1.312	1.764	DKK3
0.0067562	3.003	1.512	1.986	RUSC1
0.0067757	1.329	0.718	1.851	ARSD
0.0067809	1.981	1.196	1.656	AK3
0.0068081	1.451	0.737	1.969	NIBP
0.0068136	2.139	1.084	1.973	EIF4A2
0.006817	1.756	0.918	1.913	CFLAR
0.0068694	1.56	0.925	1.686	ACBD4
0.0068777	1.233	0.723	1.705	OR4F21
0.0068778	0.869	0.402	2.162	PGLYRP4
0.0068789	1.146	0.7	1.637	OFD1
0.0068979	1.135	0.582	1.95	LOC649755
0.0069567	1.201	0.709	1.694	LENG1
0.0069609	1.138	0.683	1.666	GAPVD1
0.0069637	1.243	0.683	1.82	CLN8
0.0069688	1.182	0.688	1.718	INPP1
0.0069796	1.465	0.48	3.052	GPS1
0.0069901	1.131	0.637	1.776	MST1
0.0070047	1.344	0.826	1.627	SNCA
0.0070075	1.447	0.877	1.65	PORCN
0.0070138	2.102	1.218	1.726	CD46
0.007051	1.587	0.978	1.623	8-Mar
0.0070957	1.06	0.499	2.124	LOC401002
0.0071119	1.113	0.637	1.747	CENTB2
0.007116	0.84	0.422	1.991	ZFYVE28
0.0071204	2.108	1.238	1.703	AP1S1
0.0071886	1.471	0.858	1.714	ZNF226
0.0071942	1.082	0.516	2.097	RGPD5
0.0071995	0.948	0.399	2.376	C10orf56
0.0072358	0.762	0.455	1.675	RBPMS
0.0072387	1.003	0.568	1.766	TMEM67
0.0072799	1.748	0.965	1.811	ZFYVE1
0.0072801	2.488	1.348	1.846	STAT1
0.0072852	2.037	1.209	1.685	EPHA4
0.0073323	0.849	0.348	2.44	PDK4
0.0073741	0.901	0.399	2.258	RPL5
0.0074093	2.275	1.289	1.765	FAS
0.0074123	2.221	1.268	1.752	CTSK
0.0074554	0.597	0.26	2.296	SLC7A8
0.0074597	1.848	1	1.848	EMILIN1
0.0074756	1.254	0.657	1.909	LOC728591
0.0074959	1.419	0.831	1.708	ZNF436
0.0074973	1.845	1.141	1.617	PGCP
0.0075053	0.855	0.419	2.041	C2
0.0075115	1.382	0.625	2.211	SLC25A23
0.0075116	1.374	0.749	1.834	WDR7
0.0075604	2.04	1.268	1.609	STOM
0.0075768	0.706	0.291	2.426	MAN2B2
0.0075794	1.925	1.156	1.665	IGFBP7
0.0076173	1.373	0.846	1.623	C14orf28
0.0076559	1.474	0.571	2.581	PML
0.0076801	0.993	0.591	1.68	EPN3
0.0076893	1.104	0.677	1.631	DIS3
0.007701	1.159	0.501	2.313	FA2H
0.007702	0.985	0.592	1.664	OPA3
0.0077234	1.858	1.009	1.841	BAALC
0.0077239	0.804	0.375	2.144	CHD9
0.0077402	1.874	0.714	2.625	PSG1
0.0077526	1.806	0.617	2.927	NR1D2
0.0077739	1.962	1.062	1.847	ADAM23
0.0077934	1.024	0.542	1.889	LOC51057
0.007797	0.846	0.471	1.796	LOC402665
0.0078111	1.111	0.61	1.821	PON2
0.0078193	1.421	0.683	2.081	ODZ2
0.0078299	1.466	0.834	1.758	TSPAN6
0.0078336	1.491	0.828	1.801	NEU4
0.0078778	0.793	0.277	2.863	ATF1
0.0078804	1.399	0.682	2.051	PARD3B
0.0078816	2.057	0.901	2.283	FAM84A
0.0078922	0.869	0.512	1.697	CACNG8
0.007899	0.538	0.27	1.993	LOC644998
0.0079075	2.431	1.515	1.605	CDH13
0.0079098	1.194	0.493	2.422	TTBK2
0.0079395	2.885	1.389	2.077	SERPINE1
0.007958	2.195	1.299	1.69	LOC284184
0.0079745	1.424	0.697	2.043	THSD1
0.0079976	0.662	0.298	2.221	ACHE
0.0080167	1.039	0.197	5.274	SUPT3H
0.0080254	1.019	0.498	2.046	OAS2
0.0080574	0.959	0.553	1.734	SLC1A7
0.0080701	0.703	0.375	1.875	HHAT
0.0080731	1.313	0.776	1.692	AKR7A3
0.0080989	2.24	1.403	1.597	P4HA2
0.0081316	1.799	1.072	1.678	C20orf44
0.0081372	1.281	0.648	1.977	SOCS6
0.0081553	1.248	0.424	2.943	C9orf9
0.0081563	1.9	1.179	1.612	PCNP
0.0081702	1.373	0.816	1.683	C19orf26
0.0081732	0.658	0.259	2.541	C8orf44
0.0082024	0.861	0.44	1.957	ZNF384
0.00821	1.043	0.397	2.627	OR51A7
0.0082613	2.095	1.238	1.692	CYB5D2
0.008268	0.915	0.482	1.898	FAM120C
0.0083015	1.314	0.826	1.591	LOC392005
0.0083393	0.861	0.347	2.481	PAK3
0.0083939	1.117	0.572	1.953	FLJ14816
0.0083997	1.442	0.838	1.721	DACT3
0.0084737	1.433	0.631	2.271	CPNE3
0.0084897	1.654	0.966	1.712	CTSB
0.0085231	1.027	0.535	1.92	NPR2
0.0085379	1.252	0.712	1.758	FLJ32810
0.0085655	1.395	0.704	1.982	EEF1A1
0.0085672	1.24	0.504	2.46	PKD1
0.008572	1.972	0.918	2.148	TP53AP1
0.0085743	1.423	0.825	1.725	APBB2
0.0086474	2.044	1.042	1.962	ZKSCAN1
0.008653	1.901	1.168	1.628	DDOST
0.0086641	1.076	0.554	1.942	OPLAH
0.0086673	1.249	0.655	1.907	NUDT2
0.0087167	1.702	0.866	1.965	GLTSCR2
0.0087303	1.474	0.758	1.945	ZBTB20
0.0087308	1.876	1.141	1.644	PCNP
0.0087576	1.672	0.958	1.745	ASCC1
0.0087895	1.506	0.789	1.909	C1orf102
0.0087949	1.597	0.836	1.91	C10orf104
0.0088053	1.622	1.021	1.589	HIBCH
0.00881	0.753	0.424	1.776	RUFY3
0.0088164	1.63	0.866	1.882	PARD3B
0.0088353	2.428	1.514	1.604	MFGE8
0.0088565	0.563	0.276	2.04	INADL
0.0088587	1.398	0.85	1.645	STK17A
0.0088903	1.661	0.919	1.807	FHL1
0.0089089	1.501	0.748	2.007	PFAAP5
0.0089286	1.44	0.631	2.282	HFE
0.0089373	1.729	0.741	2.333	KIAA1908
0.0089474	2.03	1.212	1.675	GALNT2
0.0089948	1.032	0.655	1.576	DST
0.0090292	1.145	0.676	1.694	DIP
0.009033	0.751	0.35	2.146	WDR62
0.0090411	0.912	0.377	2.419	RBM15B
0.0090414	0.808	0.368	2.196	RNF111
0.0090503	1.405	0.811	1.732	LOC285547
0.0090643	1.109	0.537	2.065	KIAA0831
0.0091062	1.557	0.901	1.728	PLA2G4C
0.0091077	2.324	1.424	1.632	EPAS1
0.0091218	1.462	0.846	1.728	GOLGA8A
0.0091364	0.843	0.537	1.57	KRT12
0.0091381	1.501	0.921	1.63	ECHDC2
0.0091475	2.108	1.265	1.666	PRSS12
0.0091578	0.755	0.306	2.467	MARVELD3
0.0092431	1.04	0.492	2.114	LOC404266
0.0092605	1.207	0.619	1.95	FAM27E3
0.0092634	1.581	0.702	2.252	C16orf7
0.0093146	1.675	1.003	1.67	WNT5A
0.0093253	1.585	0.94	1.686	CREBL1
0.0093506	1.346	0.845	1.593	C10orf33
0.0093537	0.843	0.515	1.637	MFHAS1
0.0093652	1.073	0.634	1.692	ABCC9
0.0093816	1.069	0.553	1.933	CRYZ
0.0094252	0.979	0.574	1.706	LENG4
0.0094292	1.4	0.712	1.966	SULT1C1
0.0094376	2.348	1.136	2.067	DDB2
0.0094605	1.675	0.826	2.028	ZFP106
0.0094697	1.283	0.558	2.299	SIPA1L2
0.0094856	0.808	0.307	2.632	CD74
0.0095103	1.784	1.077	1.656	NOL3
0.009518	1.886	1.007	1.873	KCND3
0.009526	0.629	0.289	2.176	C20orf171
0.0095353	0.563	0.35	1.609	HIST1H2BG
0.0096087	1.58	0.995	1.588	SLC39A7
0.0096094	0.668	0.338	1.976	LRE1
0.009625	0.924	0.451	2.049	LIMD1
0.0096446	1.111	0.48	2.315	COL4A3BP
0.0096456	1.222	0.678	1.802	OR10C1
0.0096506	0.96	0.465	2.065	PPAPDC1B
0.0096575	0.679	0.238	2.853	GPM6B
0.0096617	1.123	0.533	2.107	AQR
0.0096732	1.02	0.324	3.148	WDR7
0.0097403	0.844	0.52	1.623	FAM40B
0.0097491	1.453	0.685	2.121	EFHC1
0.0098105	1.603	0.827	1.938	ZNF334
0.0098521	2.256	1.177	1.917	GNS
0.009856	1.647	0.995	1.655	PDZRN3
0.0098655	0.829	0.479	1.731	TMEM16H
0.009877	1.526	0.917	1.664	PPP4R2
0.0099073	1.266	0.629	2.013	LOC729871
0.0099178	0.792	0.317	2.498	P2RY5
0.0099227	0.778	0.477	1.631	LUC7L
0.0099289	1.35	0.701	1.926	TTLL10
0.0099478	1.501	0.804	1.867	ADA
0.0100141	0.816	0.395	2.066	EID2B
0.0100491	0.885	0.463	1.911	C6orf154
0.0101172	1.594	0.734	2.172	C8orf61
0.010136	2.482	1.482	1.675	ABHD4
0.0101549	1.406	0.6	2.343	INHBB
0.0101551	1.832	0.927	1.976	GALNTL2
0.0101653	1.745	1.062	1.643	VCAN
0.010188	1.615	0.881	1.833	TSHZ1
0.0103406	1.051	0.528	1.991	MYL5
0.0103422	1.729	0.755	2.29	TANC1
0.0103477	1.2	0.749	1.602	LOC389286
0.0103516	1.053	0.647	1.628	SLC28A1
0.0103933	2.052	1.168	1.757	STAT3
0.0104215	2.42	1.464	1.653	DDR1
0.0104447	1.393	0.68	2.049	ADAM9
0.0104551	1.362	0.709	1.921	LOC285407
0.0104662	0.97	0.507	1.913	SCRT2
0.0105153	1.654	1.041	1.589	RAB11FIP2
0.0105181	1.261	0.624	2.021	VPS13C
0.010532	1.473	0.843	1.747	GTF2IRD2
0.0105467	2.481	1.421	1.746	IGFBP4
0.0105488	1.162	0.578	2.01	PACS1
0.0106048	1.625	0.979	1.66	PYCARD
0.0106106	2.104	1.271	1.655	IHPK2
0.0106277	1.118	0.612	1.827	GSTM5
0.0106324	0.999	0.637	1.568	LOC100009676
0.010637	1.164	0.44	2.645	SPTBN1
0.010666	1.055	0.608	1.735	ERGIC2
0.0106811	1.041	0.448	2.324	RNF213
0.0106844	1.507	0.9	1.674	IGBP1
0.0106847	0.886	0.357	2.482	SPN
0.010709	0.811	0.393	2.064	RBBP6
0.0107319	0.891	0.393	2.267	FLJ37035
0.0107624	1.522	0.911	1.671	PLEKHF1
0.010764	0.902	0.414	2.179	ST7L
0.0107936	1.716	1.092	1.571	STAT1
0.0108099	0.796	0.411	1.937	SH2D4B
0.0108557	1.482	0.819	1.81	CDC42
0.0108609	1.159	0.563	2.059	MYO15A
0.010871	1.021	0.654	1.561	HSP90AB2P
0.0108824	1.363	0.691	1.973	CTTNBP2
0.010914	0.949	0.493	1.925	C3orf33
0.0109591	1.266	0.771	1.642	TRAPPC6A
0.0110012	0.876	0.462	1.896	KIAA0240
0.0110261	0.9	0.495	1.818	TAF1C
0.0110357	1.179	0.657	1.795	ELL
0.0110362	1.231	0.619	1.989	HIPK3
0.0111044	1.779	1.076	1.653	TNFRSF11B
0.0111111	1.694	0.959	1.766	PLCD3
0.011115	1.395	0.847	1.647	PODNL1
0.0111438	1.604	0.92	1.743	SURF1
0.0111821	1.435	0.707	2.03	RANBP2
0.0111928	2.362	1.418	1.666	SERPINE2
0.0111936	0.848	0.279	3.039	EDNRA
0.0112	0.673	0.354	1.901	CCDC62
0.0112062	0.972	0.399	2.436	MBOAT1
0.0112164	0.599	0.281	2.132	OGG1
0.0112182	1.711	0.939	1.822	LOC646270
0.0112689	0.976	0.596	1.638	CHM
0.0112722	1.391	0.886	1.57	RRAGB
0.0112847	1.687	1.065	1.584	NEK6
0.0112883	1.143	0.662	1.727	C15orf37
0.0113015	1.357	0.777	1.746	PIK3R1
0.0113208	1.56	0.981	1.59	ABCD3
0.0113273	1.432	0.924	1.55	AFF4
0.0113341	2.23	1.358	1.642	CALD1
0.0113546	1.19	0.761	1.564	LOC729096
0.0113818	1.338	0.717	1.866	LZTFL1
0.0113996	1.22	0.644	1.894	ALDH3A2
0.0114244	1.793	0.881	2.035	MFSD1
0.0114568	1.022	0.629	1.625	C6orf134
0.011465	1.471	0.829	1.774	ATG4A
0.0114808	1.69	0.927	1.823	ITGAD
0.0115672	0.927	0.41	2.261	ZMYND8
0.0115863	1.279	0.643	1.989	SMPDL3A
0.0116283	1.356	0.837	1.62	ATP6V1G2
0.0116516	1.218	0.532	2.289	MITF
0.0116593	0.901	0.452	1.993	PCGF1
0.0117308	0.991	0.583	1.7	PF4V1
0.0117657	0.875	0.54	1.62	CCDC88
0.0117699	1.365	0.778	1.754	CPD
0.011779	1.938	1.224	1.583	NGFB
0.0118788	1.642	1.016	1.616	FAP
0.0118883	0.777	0.303	2.564	TARDBP
0.0119238	1.179	0.594	1.985	LIF
0.011944	1.757	1.05	1.673	ADAMTS2
0.011953	1.964	1.275	1.54	ECE1
0.0119726	1.07	0.573	1.867	TEP1
0.0119827	1.217	0.661	1.841	EDEM3
0.0120511	1.048	0.522	2.008	SFRS9
0.0120799	2.326	1.353	1.719	SELPLG
0.0121214	1.029	0.345	2.983	RBBP9
0.0121223	1.244	0.437	2.847	C21orf2
0.0121278	1.56	0.8	1.95	EDEM2
0.0121288	1.99	1.19	1.672	EPS8L2
0.0121718	0.754	0.46	1.639	MOCS1
0.0121868	1.382	0.876	1.578	LOC648795
0.0122356	1.285	0.701	1.833	IGHA1
0.0122555	1.052	0.59	1.783	EIF3S5
0.0122789	1.916	1.129	1.697	PYGL
0.0123032	0.756	0.438	1.726	MAPT
0.012305	0.984	0.236	4.169	CCRK
0.0123547	1.122	0.576	1.948	LMBR1
0.0123709	0.694	0.325	2.135	PCYT1B
0.0124359	1.012	0.54	1.874	DOPEY1
0.0124374	1.621	0.999	1.623	LOC646756
0.0124428	1.125	0.703	1.6	FNBP1L
0.0124501	1.134	0.652	1.739	IPO4
0.0125111	1.847	1.144	1.615	DNAJB9
0.0125171	1.826	1.175	1.554	IFT20
0.0125262	2.512	1.271	1.976	FKBP9
0.012532	1.868	1.187	1.574	SQSTM1
0.012569	0.929	0.599	1.551	GAD1
0.0126212	1.35	0.833	1.621	LYST
0.0126313	1.291	0.82	1.574	AGK
0.0126355	1.376	0.56	2.457	ARHGAP23
0.0126625	1.416	0.91	1.556	SYT1
0.0126635	1.099	0.665	1.653	PLDN
0.0126946	0.982	0.448	2.192	NAP5
0.0127321	2.582	1.677	1.54	BCL2L1
0.0127531	1.096	0.495	2.214	RSAD1
0.0127576	1.175	0.549	2.14	LOC644451
0.0127585	1.268	0.688	1.843	VPS13B
0.012759	1.556	0.929	1.675	ACAD11
0.0128203	0.799	0.38	2.103	THUMPD3
0.012834	1.345	0.595	2.261	C5orf28
0.0128493	0.936	0.491	1.906	IQWD1
0.0128574	0.76	0.43	1.767	LOC153469
0.0128603	1.458	0.731	1.995	HSPC268
0.0128743	0.912	0.574	1.589	COPG2
0.012878	2.32	1.272	1.824	GNS
0.012882	0.819	0.538	1.522	SH2B2
0.0129069	1.714	0.908	1.888	NR0B1
0.0129271	1.615	0.948	1.704	CRYZL1
0.0129567	0.787	0.392	2.008	BTN2A3
0.0129879	1.384	0.728	1.901	CCS
0.0129976	0.904	0.381	2.373	LOC201229
0.0130021	1.403	0.769	1.824	PDPR
0.013013	1.419	0.366	3.877	FBLN2
0.0130232	1.297	0.767	1.691	BTF3L2
0.0130539	0.67	0.379	1.768	VPREB3
0.0130822	0.694	0.369	1.881	BIRC7
0.0131044	0.841	0.44	1.911	LOC342346
0.0131581	1.005	0.503	1.998	DHRS2
0.0131939	0.992	0.558	1.778	OPHN1
0.0132549	0.97	0.589	1.647	DPY19L2
0.0132767	1.589	0.994	1.599	LOC731792
0.0132823	1.059	0.543	1.95	HDAC10
0.0133341	0.879	0.494	1.779	FLJ44060
0.0133558	0.837	0.505	1.657	OR5V1
0.0133994	1.019	0.632	1.612	RBM33
0.0134168	1.003	0.512	1.959	SIM1
0.0134177	0.999	0.625	1.598	CCL25
0.0134657	1.685	1.06	1.59	GMPR2
0.0134719	0.751	0.319	2.354	NMD3
0.0135156	0.878	0.412	2.131	FLJ45340
0.0135796	1.159	0.552	2.1	ZNF658
0.0136069	0.99	0.591	1.675	MGC39372
0.0137068	1.922	1.172	1.64	FCGRT
0.0137679	0.874	0.511	1.71	CPN2
0.0137753	1.419	0.759	1.87	PSTPIP2
0.013784	1.399	0.801	1.747	LLGL1
0.0137963	1.667	1.026	1.625	KIRREL3
0.013821	0.824	0.44	1.873	FKSG44
0.0138297	1.017	0.564	1.803	ZNF614
0.0138384	0.62	0.364	1.703	KIAA1411
0.0138414	1.397	0.817	1.71	JMJD2B
0.0138533	0.951	0.539	1.764	C6orf27
0.0138781	1.156	0.417	2.772	NSMCE1
0.0139399	0.984	0.55	1.789	CAB39L
0.0139751	1.893	1.1	1.721	RNPEP
0.0139762	0.975	0.486	2.006	LPHN2
0.0139835	1.169	0.55	2.125	C7orf10
0.0140027	1.212	0.678	1.788	CSDE1
0.0140363	1.784	1.063	1.678	WBP2
0.0140807	1.3	0.768	1.693	ARHGAP5
0.0140938	1.275	0.696	1.832	TESK1
0.0141066	1.581	1.022	1.547	C20orf3
0.0141351	1.805	0.854	2.114	PSTPIP2
0.0141361	0.775	0.411	1.886	CCDC55
0.0141653	1.121	0.688	1.629	VRK3
0.0141655	1.214	0.556	2.183	PIK3R3
0.0142236	1.465	0.772	1.898	AHNAK
0.0142415	0.779	0.328	2.375	KLHL3
0.0142922	1.178	0.572	2.059	PIGS
0.0143005	1.269	0.801	1.584	SLC38A3
0.0143056	1.169	0.536	2.181	CHD3
0.0143096	1.219	0.768	1.587	PER1
0.0143268	2.246	1.172	1.916	CD109
0.014336	1.104	0.62	1.781	LOC400759
0.01434	1.719	0.89	1.931	KIAA2002
0.0143465	0.726	0.377	1.926	ZNF174
0.0143639	1.462	0.681	2.147	FLJ90086
0.0144021	1.326	0.817	1.623	LMO7
0.0144077	2.619	1.574	1.664	CALCOCO1
0.0145102	1.584	1.012	1.565	PDE4DIP
0.0145218	1.497	0.947	1.581	TERF1
0.0145377	0.934	0.274	3.409	GAS7
0.0145408	0.896	0.581	1.542	DUSP4
0.0145616	1.011	0.437	2.314	CAPN3
0.0145622	1.244	0.797	1.561	EPB41L3
0.0145768	2.122	1.195	1.776	LOC341230
0.0145917	1.282	0.721	1.778	ZNF558
0.0146311	2.305	1.245	1.851	CCNG2
0.0146419	1.055	0.672	1.57	LOC400759
0.0146464	0.703	0.337	2.086	MMP2
0.0146819	0.633	0.346	1.829	SENP5
0.0147052	1.067	0.652	1.637	FLJ31438
0.0147163	1.152	0.516	2.233	ABCA1
0.0147335	0.784	0.385	2.036	AP4B1
0.0147706	1.115	0.536	2.08	LRRC27
0.0148077	1.262	0.659	1.915	POMZP3
0.0148078	1.076	0.486	2.214	LAMA3
0.0148286	2.189	1.055	2.075	NOTCH3
0.014901	0.69	0.403	1.712	LOC285954
0.0149506	1.188	0.713	1.666	LRP3
0.0149633	1.016	0.459	2.214	LOC646322
0.0149794	0.801	0.259	3.093	HNF4G
0.015007	1.624	0.857	1.895	TM7SF2
0.0150537	1.213	0.458	2.648	ASCC1
0.0150669	1.778	1.152	1.543	FBLN1
0.0150726	1.053	0.673	1.565	SLC35A1
0.0150958	1.09	0.7	1.557	KIAA1345
0.0151007	1.09	0.506	2.154	CGREF1
0.0151239	0.439	0.235	1.868	AVIL
0.0151269	0.922	0.516	1.787	CBFA2T2
0.0151917	1.043	0.347	3.006	BRD4
0.0152365	0.719	0.318	2.261	SRBD1
0.0152608	0.791	0.418	1.892	C15orf42
0.0152694	1.467	0.921	1.593	SYT11
0.0153037	1.234	0.76	1.624	CFH
0.0153329	1.627	0.928	1.753	CGRRF1
0.0153351	1.417	0.945	1.499	Magmas
0.0153477	0.851	0.437	1.947	LOC391701
0.0154506	1.542	0.943	1.635	ADAM33
0.0155155	0.757	0.377	2.008	PLEKHG6
0.0155433	0.651	0.283	2.3	ANKRD43
0.0156759	0.9	0.372	2.419	C20orf165
0.0156803	0.764	0.448	1.705	CA1
0.0156855	0.911	0.456	1.998	FAM27A
0.0156879	1.135	0.716	1.585	ESRRB
0.0157353	1.427	0.949	1.504	KIAA1539
0.0158424	0.881	0.449	1.962	UNC13A
0.0158825	1.004	0.417	2.408	UTS2D
0.0159146	2.589	0.973	2.661	ZNF561
0.015921	1.092	0.702	1.556	C7orf42
0.0160007	1.248	0.706	1.768	KIAA1797
0.0160527	0.984	0.537	1.832	ZCCHC4
0.0160539	1.323	0.742	1.783	PPFIBP1
0.0160871	1.304	0.614	2.124	RIN2
0.016137	0.714	0.417	1.712	ZH2C2
0.0161732	2.024	1.248	1.622	RAP2B
0.0162479	0.73	0.43	1.698	FLJ25037
0.0162946	2.168	1.408	1.54	MAP1LC3A
0.0163001	0.767	0.447	1.716	LOC285286
0.0163333	0.742	0.45	1.649	ZNF669
0.0163425	0.738	0.375	1.968	SLC22A18
0.0163472	0.899	0.331	2.716	NPEPL1
0.0164239	0.785	0.319	2.461	SLC7A9
0.016451	0.677	0.427	1.585	CDKL2
0.0164762	1.498	0.892	1.679	ZNF451
0.0164894	1.058	0.645	1.64	MRPL27
0.0164912	1.429	0.757	1.888	CHES1
0.0165052	1.467	0.909	1.614	TAF3
0.0166894	1.296	0.767	1.69	LOC100008589
0.0167059	0.66	0.281	2.349	C20orf7
0.0168	1.069	0.71	1.506	LOC400759
0.0168035	1.9	1.234	1.54	HBP1
0.0168469	0.947	0.423	2.239	C1orf82
0.016856	1.367	0.858	1.593	MOBKL2C
0.0168887	1.197	0.703	1.703	C6orf136
0.0169634	0.453	0.161	2.814	LUZP1
0.0169667	1.393	0.772	1.804	ZNF37A
0.0169721	0.971	0.465	2.088	CDC2L5
0.0169754	0.852	0.459	1.856	SUPT7L
0.0170034	0.7	0.412	1.699	WFDC3
0.01712	1.018	0.609	1.672	TMEM168
0.017132	1.475	0.839	1.758	FLJ45187
0.017175	1.784	1.018	1.752	ERBB2IP
0.0171875	1.061	0.482	2.201	SPRR2G
0.0172376	0.474	0.287	1.652	NCKAP1
0.0172431	0.933	0.59	1.581	LOC400759
0.0172466	1.282	0.652	1.966	NLGN1
0.0172629	1.498	0.657	2.28	DUSP1
0.0172923	0.856	0.487	1.758	VARS2
0.0173034	1.288	0.754	1.708	RPS27
0.0173434	1.294	0.814	1.59	TRIM13
0.0173463	1.272	0.72	1.767	EPHA5
0.0173475	1.441	0.774	1.862	FAM3C
0.0173586	0.618	0.326	1.896	L1CAM
0.0173875	0.599	0.368	1.628	LRRC50
0.0174404	1.335	0.886	1.507	LOC161635
0.0174421	1.74	1.056	1.648	SIL1
0.017453	1.219	0.653	1.867	LOC442204
0.017492	1.625	1.08	1.505	B3GNT1
0.0175306	1.838	1.041	1.766	TMEM63B
0.0175467	1.713	0.998	1.716	RGL1
0.017639	2.117	1.094	1.935	STARD5
0.0176843	2.333	1.551	1.504	FGF2
0.0176854	1.175	0.493	2.383	PHF21A
0.0176934	1.418	0.83	1.708	ACVR1
0.0176982	0.619	0.295	2.098	DIS3L
0.0177153	0.805	0.442	1.821	DEFT1P
0.017723	2.431	1.511	1.609	CRYAB
0.0177244	1.218	0.693	1.758	USP32
0.0177828	1.298	0.713	1.82	GPR124
0.0177943	1.592	1.035	1.538	NT5DC1
0.017815	1.394	0.829	1.682	LOC646836
0.0178216	0.674	0.258	2.612	WDR41
0.0178274	1.122	0.72	1.558	ISYNA1
0.0178342	1.308	0.757	1.728	MOAP1
0.0178502	0.953	0.533	1.788	SNED1
0.0178745	2.419	1.579	1.532	TPP1
0.0178837	2.315	1.445	1.602	YPEL5
0.0178886	0.992	0.582	1.704	DZIP3
0.0179266	1.213	0.652	1.86	PLAGL1
0.0179321	0.772	0.506	1.526	ABCC6
0.0179355	1.526	0.945	1.615	ZC3H7B
0.0179664	1.408	0.903	1.559	CENTD2
0.0180016	0.743	0.308	2.412	ZNF449
0.0180193	1.531	0.807	1.897	PPP2R5C
0.0180387	1.619	1.015	1.595	COG5
0.0180688	2.014	1.07	1.882	TNS3
0.0180841	0.726	0.372	1.952	RNH1
0.0181197	1.483	0.941	1.576	DKFZp761P0423
0.0181331	2.597	1.72	1.51	FBLN2
0.0181648	1.831	1.065	1.719	ZER1
0.0181703	1.269	0.712	1.782	STK40
0.0182785	0.827	0.444	1.863	PDP2
0.0182991	1.465	0.899	1.63	TMEM131
0.0183034	1.731	1.123	1.541	LYRM5
0.0183551	0.479	0.221	2.167	MMP12
0.0183611	1.86	1.045	1.78	DSEL
0.0183794	1.647	1.021	1.613	FKBP10
0.0183797	1.273	0.655	1.944	CAT
0.0184051	1.936	1.247	1.553	PTGES
0.0184161	1.585	1.069	1.483	KTELC1
0.0184214	0.909	0.457	1.989	KIAA1468
0.0184313	1.163	0.629	1.849	VDAC2
0.0184435	1.064	0.675	1.576	ZNF512
0.0184475	1.511	0.788	1.918	FRAS1
0.0184644	1.589	0.934	1.701	VPS41
0.0184654	0.801	0.437	1.833	LY6H
0.0185618	0.95	0.6	1.583	SMEK1
0.0185715	1.5	0.786	1.908	MAGED2
