Affy ID	Symbol	Gene Name	PAX3-FKHR	PAX7-FKHR	PAX-FKHR	p-value†
202808_at	C10orf26	chromosome 10 open reading frame 26	1.5	2.8	2.1	3.50E-04
207012_at	MMP16	matrix metalloproteinase 16 (membrane-inserted)	1.8	1.7	1.7	3.50E-04
202188_at	NUP93	nucleoporin 93kDa	1.4	2.4	1.9	3.50E-04
204526_s_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	-1.3	-1.9	-1.6	3.50E-04
210966_x_at	LARP1	La ribonucleoprotein domain family, member 1	-1.2	-1.7	-1.5	3.60E-04
204612_at	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	-1.6	-1.4	-1.5	3.60E-04
213494_s_at	YY1	YY1 transcription factor	-1.3	-1.7	-1.5	3.60E-04
202120_x_at	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	1.3	2.1	1.7	3.70E-04
203895_at	PLCB4	phospholipase C, beta 4	-1.8	-2.6	-2.2	3.70E-04
209459_s_at	ABAT	4-aminobutyrate aminotransferase	2.0	6.1	4.0	3.80E-04
201186_at	LRPAP1	low density lipoprotein receptor-related protein associated protein 1	1.3	2.2	1.7	3.80E-04
205991_s_at	PRRX1	paired related homeobox 1	1.4	2.1	1.8	3.80E-04
203313_s_at	TGIF	TGFB-induced factor (TALE family homeobox)	1.4	2.1	1.8	3.80E-04
208399_s_at	EDN3	endothelin 3	-2.0	-2.2	-2.1	3.90E-04
217732_s_at	ITM2B	integral membrane protein 2B	1.4	1.9	1.7	3.90E-04
201666_at	TIMP1	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	1.3	1.8	1.5	3.90E-04
213016_at	BBX	Bobby sox homolog (Drosophila)	-2.0	-3.1	-2.6	4.00E-04
204456_s_at	GAS1	growth arrest-specific 1	1.5	2.2	1.9	4.00E-04
203896_s_at	PLCB4	phospholipase C, beta 4	-2.1	-4.9	-3.5	4.00E-04
204479_at	OSTF1	osteoclast stimulating factor 1	1.3	1.9	1.6	4.10E-04
201760_s_at	WSB2	WD repeat and SOCS box-containing 2	1.3	1.8	1.6	4.30E-04
212792_at	DPY19L1	dpy-19-like 1 (C. elegans)	1.4	2.1	1.7	4.40E-04
205560_at	PCSK5	proprotein convertase subtilisin/kexin type 5	1.2	1.8	1.5	4.40E-04
221263_s_at	SF3B5	splicing factor 3b, subunit 5, 10kDa /// splicing factor 3b, subunit 5, 10kDa	1.4	2.3	1.9	4.40E-04
200900_s_at	M6PR	mannose-6-phosphate receptor (cation dependent)	1.2	1.8	1.5	4.50E-04
213256_at	MARCH3	membrane-associated ring finger (C3HC4) 3	1.3	2.0	1.7	4.50E-04
207551_s_at	MSL3L1	male-specific lethal 3-like 1 (Drosophila)	1.4	2.7	2.0	4.50E-04
206070_s_at	EPHA3	EPH receptor A3	1.7	2.7	2.2	4.60E-04
216044_x_at	LOC388650	hypothetical LOC388650	1.4	2.6	2.0	4.70E-04
209468_at	LRP5	low density lipoprotein receptor-related protein 5	-1.5	-1.8	-1.6	4.70E-04
209082_s_at	COL18A1	collagen, type XVIII, alpha 1	1.4	1.7	1.5	5.00E-04
219694_at	FLJ11127	hypothetical protein FLJ11127	1.3	1.8	1.6	5.00E-04
205848_at	GAS2	growth arrest-specific 2	-1.9	-3.2	-2.6	5.00E-04
205535_s_at	PCDH7	BH-protocadherin (brain-heart)	1.8	4.8	3.3	5.10E-04
216733_s_at	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	1.7	4.8	3.2	5.20E-04
212960_at	KIAA0882	KIAA0882 protein	1.3	1.8	1.5	5.20E-04
209027_s_at	ABI1	abl-interactor 1	1.4	2.4	1.9	5.30E-04
202562_s_at	C14orf1	chromosome 14 open reading frame 1	1.3	2.0	1.6	5.30E-04
204103_at	CCL4	chemokine (C-C motif) ligand 4	-1.2	-1.7	-1.5	5.40E-04
218718_at	PDGFC	platelet derived growth factor C	1.5	2.6	2.0	5.40E-04
212415_at	SEP6	septin 6	1.3	2.3	1.8	5.40E-04
53991_at	KIAA1277	KIAA1277	1.3	2.2	1.8	5.50E-04
208785_s_at	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	1.4	2.6	2.0	5.60E-04
217783_s_at	YPEL5	yippee-like 5 (Drosophila)	1.3	2.1	1.7	5.60E-04
203695_s_at	DFNA5	deafness, autosomal dominant 5	1.4	1.6	1.5	5.70E-04
221685_s_at	FLJ20364	hypothetical protein FLJ20364	1.7	1.3	1.5	5.70E-04
205968_at	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	1.3	2.0	1.6	5.80E-04
205381_at	LRRC17	leucine rich repeat containing 17	1.3	2.1	1.7	5.90E-04
209168_at	GPM6B	glycoprotein M6B	1.4	2.6	2.0	6.10E-04
214110_s_at	LASP1	Similar to lymphocyte-specific protein 1	1.3	2.2	1.7	6.10E-04
218450_at	HEBP1	heme binding protein 1	1.3	2.4	1.9	6.20E-04
201526_at	ARF5	ADP-ribosylation factor 5	1.2	1.7	1.5	6.50E-04
221885_at	KIAA1277	KIAA1277	1.4	2.9	2.2	6.60E-04
218273_s_at	PPM2C	protein phosphatase 2C, magnesium-dependent, catalytic subunit	-1.2	-1.7	-1.5	6.60E-04
201041_s_at	DUSP1	dual specificity phosphatase 1	1.2	1.8	1.5	6.70E-04
206506_s_at	SUPT3H	suppressor of Ty 3 homolog (S. cerevisiae)	1.2	1.9	1.6	6.80E-04
206662_at	GLRX	glutaredoxin (thioltransferase)	-1.3	-1.7	-1.5	6.90E-04
209708_at	MOXD1	monooxygenase, DBH-like 1	-1.4	-2.4	-1.9	7.00E-04
202237_at	NNMT	nicotinamide N-methyltransferase	1.5	1.7	1.6	7.00E-04
218319_at	PELI1	pellino homolog 1 (Drosophila)	1.3	1.9	1.6	7.00E-04
203680_at	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	1.5	3.1	2.3	7.00E-04
202656_s_at	SERTAD2	SERTA domain containing 2	1.3	1.8	1.6	7.00E-04
213002_at	MARCKS	Myristoylated alanine-rich protein kinase C substrate	-1.5	-1.8	-1.7	7.10E-04
210993_s_at	SMAD1	SMAD, mothers against DPP homolog 1 (Drosophila)	1.5	2.6	2.1	7.10E-04
201889_at	FAM3C	family with sequence similarity 3, member C	1.5	2.5	2.0	7.20E-04
204491_at	PDE4D	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-1.3	-1.8	-1.6	7.20E-04
201739_at	SGK	serum/glucocorticoid regulated kinase	1.5	1.6	1.6	7.40E-04
219377_at	FAM59A	family with sequence similarity 59, member A	1.6	2.4	2.0	7.50E-04
201200_at	CREG1	cellular repressor of E1A-stimulated genes 1	1.5	1.9	1.7	7.70E-04
219249_s_at	FKBP10	FK506 binding protein 10, 65 kDa	-1.5	-1.7	-1.6	7.80E-04
36711_at	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	1.7	5.0	3.4	7.90E-04
221969_at	PAX5	Paired box gene 5 (B-cell lineage specific activator)	1.6	5.8	3.7	8.00E-04
203860_at	PCCA	propionyl Coenzyme A carboxylase, alpha polypeptide	1.4	1.6	1.5	8.00E-04
219634_at	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	1.3	2.5	1.9	8.10E-04
221773_at	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	1.7	3.1	2.4	8.10E-04
201798_s_at	FER1L3	fer-1-like 3, myoferlin (C. elegans)	1.7	1.7	1.7	8.20E-04
210774_s_at	NCOA4	nuclear receptor coactivator 4	1.3	2.2	1.8	8.20E-04
205054_at	NEB	nebulin	-1.5	-1.4	-1.4	8.20E-04
214978_s_at	PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-1.4	-1.9	-1.7	8.20E-04
213139_at	SNAI2	snail homolog 2 (Drosophila)	1.5	1.9	1.7	8.20E-04
213061_s_at	NTAN1	N-terminal asparagine amidase	1.4	2.8	2.1	8.30E-04
218260_at	PCIA1	cross-immune reaction antigen PCIA1	1.3	2.5	1.9	8.30E-04
202455_at	HDAC5	histone deacetylase 5	1.3	2.2	1.7	8.40E-04
202388_at	RGS2	regulator of G-protein signalling 2, 24kDa	-1.3	-2.0	-1.6	8.40E-04
221489_s_at	SPRY4	sprouty homolog 4 (Drosophila)	-1.3	-2.7	-2.0	8.40E-04
214736_s_at	ADD1	adducin 1 (alpha)	1.3	2.2	1.7	8.50E-04
206670_s_at	GAD1	glutamate decarboxylase 1 (brain, 67kDa)	1.3	1.8	1.5	8.50E-04
202446_s_at	PLSCR1	phospholipid scramblase 1	1.2	1.7	1.5	8.50E-04
219147_s_at	C9orf95	chromosome 9 open reading frame 95	1.3	2.0	1.7	8.60E-04
218384_at	CARHSP1	calcium regulated heat stable protein 1, 24kDa	1.3	2.7	2.0	8.60E-04
208786_s_at	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	1.3	2.4	1.9	8.60E-04
218434_s_at	AACS	acetoacetyl-CoA synthetase	1.4	2.5	1.9	8.80E-04
204490_s_at	CD44	CD44 antigen (homing function and Indian blood group system)	1.3	1.8	1.5	8.80E-04
202332_at	CSNK1E	casein kinase 1, epsilon	1.2	1.8	1.5	8.80E-04
202539_s_at	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	1.5	2.8	2.1	8.80E-04
219106_s_at	KBTBD10	kelch repeat and BTB (POZ) domain containing 10	-2.2	-1.9	-2.1	8.80E-04
217996_at	PHLDA1	pleckstrin homology-like domain, family A, member 1	-1.6	-1.7	-1.6	8.90E-04
206108_s_at	SFRS6	splicing factor, arginine/serine-rich 6	-2.4	-2.6	-2.5	9.10E-04
209608_s_at	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	1.4	3.2	2.3	9.20E-04
216235_s_at	EDNRA	endothelin receptor type A	-1.2	-1.7	-1.5	9.20E-04
205173_x_at	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)	1.4	2.4	1.9	9.30E-04
209652_s_at	PGF	placental growth factor, vascular endothelial growth factor-related protein	1.6	1.6	1.6	9.30E-04
205555_s_at	MSX2	msh homeo box homolog 2 (Drosophila)	1.3	2.6	2.0	9.40E-04
203373_at	SOCS2	suppressor of cytokine signaling 2	1.2	1.8	1.5	9.40E-04
213823_at	HOXA11	homeo box A11	1.3	2.6	2.0	9.50E-04
201953_at	CIB1	calcium and integrin binding 1 (calmyrin)	1.3	2.1	1.7	9.60E-04
213927_at	MAP3K9	mitogen-activated protein kinase kinase kinase 9	-1.3	-1.7	-1.5	9.70E-04
204555_s_at	PPP1R3D	protein phosphatase 1, regulatory subunit 3D	-1.8	-2.4	-2.1	9.80E-04
212136_at	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	-1.3	-1.8	-1.5	9.90E-04
221598_s_at	CRSP8	cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa	1.4	3.1	2.2	9.90E-04
200820_at	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	1.2	1.8	1.5	9.90E-04
