Entrez GeneID	Symbol	Description	Fold Differential Expression 2 h	16 h	40 h	Functinal Group
20700	Serpina1a	serine (or cysteine) proteinase inhibitor, clade A, member 1a	-1.9	-1.4		Stress response
12306	Anxa2	annexin A2		1.8	2.2	Stress response
20701	Serpina1b	serine (or cysteine) proteinase inhibitor, clade A, member 1b	-1.6	-1.3		Stress response
15505	Hsp105	heat shock protein 105		1.5		Stress response
19014	Pparbp	peroxisome proliferator activated receptor binding protein		18.1	9.2	Transcription
22642	Zbtb17	zinc finger and BTB domain containing 17			6	Transcription
15184	Hdac5	histone deacetylase 5			4.8	Transcription
232807	Ppp1r12c	protein phosphatase 1, regulatory (inhibitor) subunit 12C	5.7		4	Transcription
13653	Egr1	early growth response 1	4.8		2	Transcription
15081	H3f3b	H3 histone, family 3B	4.6		2.3	Transcription
51788	H2afz	H2A histone family, member Z			3	Transcription
12608	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	3.6		2.2	Transcription
71514	Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)			3.3	Transcription
19205	Ptbp1	polypyrimidine tract binding protein 1			3	Transcription
17692	Msl31	male-specific lethal-3 homolog 1 (Drosophila)			2.9	Transcription
21815	Tgif	TG interacting factor			3.4	Transcription
20018	Rpo1-3	RNA polymerase 1-3			2.8	Transcription
66867	Hmg20a	high mobility group 20A			2.6	Transcription
229584	Pogz	pogo transposable element with ZNF domain			2.2	Transcription
19652	Rbm3	RNA binding motif protein 3		2.7	2.2	Transcription
20595	Smn1	survival motor neuron 1			2.6	Transcription
97165	Hmgb2	high mobility group box 2			2.4	Transcription
58809	Rnase4	ribonuclease, RNase A family 4	1.3		2.1	Transcription
64050	Yeats4	YEATS domain containing 4			1.9	Transcription
21807	Tgfb1i4	transforming growth factor beta 1 induced transcript 4	-2.2	-1.8	-2	Transcription
193116	D11Ertd730e	DNA segment, Chr 11, ERATO Doi 730, expressed			2.1	Transcription
15331	Hmgn2	high mobility group nucleosomal binding domain 2			2.1	Transcription
19752	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)			2.1	Transcription
52705	Hrb2	HIV-1 Rev binding protein 2	1.7			Transcription
213742	Xist	inactive X specific transcripts	1.8		2	Transcription
64384	Sirt3	sirtuin 3 (silent mating type information regulation 2, homolog) 3 (S. cerevisiae)			2	Transcription
20220	Sap18	Sin3-associated polypeptide 18			2	Transcription
20384	Sfrs5	splicing factor, arginine/serine-rich 5 (SRp40, HRS)	1.6			Transcription
192657	Ell2	elongation factor RNA polymerase II 2	1.9		1.2	Transcription
67996	Sfrs6	splicing factor, arginine/serine-rich 6			1.9	Transcription
18813	Pa2g4	proliferation-associated 2G4			1.7	Transcription
26356	Ing1	inhibitor of growth family, member 1			1.8	Transcription
20383	Sfrs3	splicing factor, arginine/serine-rich 3 (SRp20)			1.8	Transcription
105559	Mbnl2	muscleblind-like 2		1.7	1.8	Transcription
229279	Hnrpa3	heterogeneous nuclear ribonucleoprotein A3		1.8		Transcription
15377	Foxa3	forkhead box A3			1.8	Transcription
15078	H3f3a	H3 histone, family 3A			1.6	Transcription
80898		type 1 tumor necrosis factor receptor shedding aminopeptidase regulator		-1.7	-1.5	Transcription
272359	Irf2bp1	interferon regulatory factor 2 binding protein 1	-1.7		-1.5	Transcription
192231		cardiac lineage protein 1		-1.6	-1.7	Transcription
53605	Nap1l1	nucleosome assembly protein 1-like 1		1.5	1.6	Transcription
15384	Hnrpab	heterogeneous nuclear ribonucleoprotein A/B			1.5	Transcription
16599	Klf3	Kruppel-like factor 3 (basic)		1.6		Transcription
11804	Aplp2	amyloid beta (A4) precursor-like protein 2		-1.6		Transcription
68278	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39			1.6	Transcription
18148	Npm1	nucleophosmin 1	1.2	1.4	1.6	Transcription
13207	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1.6			Transcription
51886	Fubp1	far upstream element (FUSE) binding protein 1			1.5	Transcription
15901	Idb1	inhibitor of DNA binding 1			1.6	Transcription
59028	Rcl1	RNA terminal phosphate cyclase-like 1		-1.5	-1.4	Transcription
13496	Arid3a	AT rich interactive domain 3A (Bright like)	1.3		1.5	Transcription
16819	Lcn2	lipocalin 2	3.3	120.7	49.6	Transport and storage
22072	Prss2	protease, serine, 2	7.3		14	Transport and storage
12401	Serpina6	serine (or cysteine) proteinase inhibitor, clade A, member 6		-8.1	-2.3	Transport and storage
14262	Fmo3	flavin containing monooxygenase 3	8.8		1.2	Transport and storage
13107	Cyp2f2	cytochrome P450, family 2, subfamily f, polypeptide 2	-2.8	-4.2	-6.9	Transport and storage
22327	Vbp1	von Hippel-Lindau binding protein 1			3.9	Transport and storage
13099	Cyp2c40	cytochrome P450, family 2, subfamily c, polypeptide 40	1.5	-3.2	-2.6	Transport and storage
104158	Ces3	carboxylesterase 3		-3.2	-2.1	Transport and storage
17836	Mug1	murinoglobulin 1	-2.7	-1.9	-4	Transport and storage
100561	Slc15a4	solute carrier family 15, member 4			3.8	Transport and storage
13117	Cyp4a10	cytochrome P450, family 4, subfamily a, polypeptide 10		2		Transport and storage
78388	Mvp	major vault protein		2.7	2.8	Transport and storage
16647	Kpna2	karyopherin (importin) alpha 2			2.9	Transport and storage
13884	Es1	esterase 1	1.7	3.1	1.9	Transport and storage
67760	Slc38a2	solute carrier family 38, member 2	2.8			Transport and storage
71519	Cyp2u1	cytochrome P450, family 2, subfamily u, polypeptide 1			2.5	Transport and storage
70231	Gorasp2	golgi reassembly stacking protein 2	2.3		2.6	Transport and storage
71393	Kctd6	potassium channel tetramerisation domain containing 6			1.6	Transport and storage
69354	Slc38a4	solute carrier family 38, member 4		-2.1	-2.7	Transport and storage
21817	Tgm2	transglutaminase 2, C polypeptide		2.7	2.6	Transport and storage
11747	Anxa5	annexin A5	1.6	2	2.5	Transport and storage
20194	S100a10	S100 calcium binding protein A10 (calpactin)	1.6	2.4	1.8	Transport and storage
50527	Ero1l	ERO1-like (S. cerevisiae)			1.6	Transport and storage
66427	1810044O22Rik	RIKEN cDNA 1810044O22 gene	-1.6		-2.1	Transport and storage
18453	P4hb	prolyl 4-hydroxylase, beta polypeptide		2.1	1.9	Transport and storage
22228	Ucp2	uncoupling protein 2, mitochondrial		2.3	1.9	Transport and storage
19128	Pros1	protein S (alpha)	2.2		1.4	Transport and storage
20501	Slc16a1	solute carrier family 16 (monocarboxylic acid transporters), member 1		2.2	2.1	Transport and storage
11931	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2.2			Transport and storage
56185	Hao3	hydroxyacid oxidase (glycolate oxidase) 3	2			Transport and storage
12560	Cdh3	cadherin 3			2.1	Transport and storage
13101	Cyp2d10	cytochrome P450, family 2, subfamily d, polypeptide 10	-1.7			Transport and storage
12555	Cdh15	cadherin 15		1.5	2	Transport and storage
59010	Sqrdl	sulfide quinone reductase-like (yeast)		-1.6		Transport and storage
22027	Tra1	tumor rejection antigen gp96		1.9		Transport and storage
22334	Vdac2	voltage-dependent anion channel 2			1.6	Transport and storage
11981	Atp9a	ATPase, class II, type 9A			1.9	Transport and storage
57267	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3			1.8	Transport and storage
74277	Chic2	cysteine-rich hydrophobic domain 2	1.8		1.4	Transport and storage
66576	Uqcrh	ubiquinol-cytochrome c reductase hinge protein	1.3		1.8	Transport and storage
12499	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5	-1.7			Transport and storage
56448	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	-1.6		-1.7	Transport and storage
11778	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit			1.6	Transport and storage
29876	Clic4	chloride intracellular channel 4 (mitochondrial)		1.7	1.6	Transport and storage
18984	Por	P450 (cytochrome) oxidoreductase			1.6	Transport and storage
229782	Slc35a3	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member 3	-1.7		-1.7	Transport and storage
20692	Sparc	secreted acidic cysteine rich glycoprotein		1.5	1.7	Transport and storage
21366	Slc6a6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6			1.6	Transport and storage
68267	Slc25a22	solute carrier family 25 (mitochondrial carrier, glutamate), member 22			1.5	Transport and storage
54403	Slc4a4	solute carrier family 4 (anion exchanger), member 4		1.6		Transport and storage
11699	Ambp	alpha 1 microglobulin/bikunin			1.6	Transport and storage
74129	Dmgdh	dimethylglycine dehydrogenase precursor			-1.6	Transport and storage
11833	Aqp8	aquaporin 8		-1.6	-1.6	Transport and storage
26458	Slc27a2	solute carrier family 27 (fatty acid transporter), member 2			-1.6	Transport and storage
56188	Fxyd1	FXYD domain-containing ion transport regulator 1		-1.5	-1.5	Transport and storage
110826	Etfb	electron transferring flavoprotein, beta polypeptide			1.5	Transport and storage
15382	Hnrpa1	heterogeneous nuclear ribonucleoprotein A1		1.3	1.5	Transport and storage
11927	Atox1	ATX1 (antioxidant protein 1) homolog 1 (yeast)		1.2	1.5	Transport and storage
12330	Canx	calnexin	-1.5			Transport and storage
102866	Pls3	plastin 3 (T-isoform)		-1.4	-1.5	Transport and storage
68421	0910001K20Rik	RIKEN cDNA 0910001K20 gene			6.6	Other
15982	Ifrd1	interferon-related developmental regulator 1	3.6		1.6	Other
83797	Smarcd1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	3.2		3.2 2.2	Other
19231	Ptma	prothymosin alpha	2.2	-2.5		Other
30924	Angptl3	angiopoietin-like 3		-2.5		Other
15902	Idb2	inhibitor of DNA binding 2	-2.2			Other
69071	1810014L12Rik	RIKEN cDNA 1810014L12 gene		-2.1		Other
68801	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	1.7	2.3		Other
74840	Armet	arginine-rich, mutated in early stage tumors		2.1	1.6	Other
73046	2900070E19Rik	RIKEN cDNA 2900070E19 gene	2			Other
71733	Susd2	sushi domain containing 2	1.6			Other
218335	C130052I12Rik	RIKEN cDNA C130052I12 gene			2	Other
66087	0610039A15Rik	RIKEN cDNA 0610039A15 gene			1.9	Other
22242	Umod	uromodulin		1.9		Other
56424	Stub1	STIP1 homology and U-Box containing protein 1			1.5	Other
98238	AA959742	expressed sequence AA959742		1.8	1.5	Other
192662	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha		1.8	1.7	Other
67125	Sas	sarcoma amplified sequence		1.6	1.7	Other
67226	Tmem19	transmembrane protein 19	-1.8			Other
80876	Ifitm2	interferon induced transmembrane protein 2	1.4		1.7	Other
67154	Mtdh	Metadherin		1.7	1.6	Other
12512	Cd63	Cd63 antigen			1.7	Other
217864	D12Wsu95e	DNA segment, Chr 12, Wayne State University 95, expressed			1.7	Other
58520	0610007P14Rik	RIKEN cDNA 0610007P14 gene		-1.6		Other
380712	2010305C02Rik	RIKEN cDNA 2010305C02 gene		-1.6	-1.5	Other
50884	Nckap1	NCK-associated protein 1	-1.6			Other
68581	1110014C03Rik	RIKEN cDNA 1110014C03 gene			1.5	Other
67067	2010100O12Rik	RIKEN cDNA 2010100O12 gene		-1.6		Other
269831	Tm4sf12	transmembrane 4 superfamily member 12			-1.6	Other
68539	1110006I15Rik	RIKEN cDNA 1110006I15 gene			1.5	Other
52469	D11Ertd99e	DNA segment, Chr 11, ERATO Doi 99, expressed			1.5	Other
78330	1500032D16Rik	RIKEN cDNA 1500032D16 gene		-1.5		Other
100620	AI413194	expressed sequence AI413194	14.2		3.9	Unknown
234199	Fgl1	fibrinogen-like protein 1	3.5	12.5	8.8	Unknown
-	-	CF582176;CF582175	11.9	1.9	6.2	Unknown
-	-	BG311634			8.4	Unknown
-	-	CF581678;CF581679	5.3		9.9	Unknown
76799	2510006D16Rik	RIKEN cDNA 2510006D16 gene			7.6	Unknown
22073	Prss3	protease, serine, 3	6			Unknown
76884	Cyfip2	cytoplasmic FMR1 interacting protein 2			7.1	Unknown
269023	Zfp608	zinc finger protein 608			4.8	Unknown
-	-	BG311631			6.4	Unknown
-	-	CF580401;CF580402			3.4	Unknown
108958	5730472N09Rik	RIKEN cDNA 5730472N09 gene			4.8	Unknown
14869	Gstp2	glutathione S-transferase, pi 2	-5.5			Unknown
69116	1810009A16Rik	RIKEN cDNA 1810009A16 gene	5.1		3.9	Unknown
-	-	BG655138			5.4	Unknown
-	-	CF622767;BM506134			5.3	Unknown
233895	BC006909	cDNA sequence BC006909	5.2		1.4	Unknown
7039		TGFA	4.9	2.2	2.9	Unknown
-	-	BG311638			4.9	Unknown
66999	1500003D12Rik	RIKEN cDNA 1500003D12 gene			3.2	Unknown
234695	D130029J02Rik	RIKEN cDNA D130029J02 gene			3.4	Unknown
-	-	BI439298	4.3		2.7	Unknown
66523	0610039J04Rik	RIKEN cDNA 0610039J04 gene			3.7	Unknown
382406	4933430F16Rik	RIKEN cDNA 4933430F16 gene			4.1	Unknown
-	-	BM565240;BM565431			2.5	Unknown
-	-	BE303336		2	4.1	Unknown
-	-	CF583483;CF583482		3.8	4	Unknown
-	-	CF584313;CF584312			3.7	Unknown
-	-	BG142276			2.4	Unknown
27784	Commd8	COMM domain containing 8			2.8	Unknown
-	-	CF584643;CF584642	3.6		2.4	Unknown
99929	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	3.1		1.4	Unknown
233552	BC024955	cDNA sequence BC024955			2.1	Unknown
-	-	CF580643			2.3	Unknown
66185	1110037F02Rik	RIKEN cDNA 1110037F02 gene	1.7	-1.9	-1.4	Unknown
245828	Trappc1	trafficking protein particle complex 1			2.9	Unknown
211660	BC055915	cDNA sequence BC055915			2.1	Unknown
-	-	CF584373;CF584374			2.9	Unknown
18938	Ppp1r14b	protein phosphatase 1, regulatory (inhibitor) subunit 14B		2.6		Unknown
-	-	CF580075;BI499921		2.4	1.7	Unknown
263406	BC030417	cDNA sequence BC030417			2.4	Unknown
21763	Tex2	testis expressed gene 2			2.5	Unknown
-	-	CF622806;BM730909			2	Unknown
-	-	BQ085135;BQ084821			2.8	Unknown
80884	Maged2	melanoma antigen, family D, 2		2.3	2.1	Unknown
105171	Arrdc3	arrestin domain containing 3	-2.7		-2.7	Unknown
445265	1810049H19Rik	RIKEN cDNA 1810049H19 gene			2.7	Unknown
-	-	BI791706;BI711906			2.6	Unknown
66975	2410002O22Rik	RIKEN cDNA 2410002O22 gene			2.5	Unknown
67091	1810073E21Rik	RIKEN cDNA 1810073E21 gene	2.6		2.5	Unknown
-	-	CF577927;CF577926			2.6	Unknown
-	-	CF586014;CF586013			1.6	Unknown
69675	2310075M15Rik	RIKEN cDNA 2310075M15 gene		-2.5		Unknown
-	-	CF584339;BI440496		2.2	2.1	Unknown
-	-	AA624916;AI605353		1.3	2.5	Unknown
103781	9030024J15Rik	RIKEN cDNA 9030024J15 gene	-2.5	-1.7	-1.7	Unknown
-	-	CF581175;CF581176			2.4	Unknown
99650	4933434E20Rik	RIKEN cDNA 4933434E20 gene			2.4	Unknown
26920	Cep1	centrosomal protein 1	2.2			Unknown
-	-	BG964835		2.3	2.1	Unknown
66540	3110001A13Rik	RIKEN cDNA 3110001A13 gene	1.7			Unknown
320262	A830073O21Rik	RIKEN cDNA A830073O21 gene			2.3	Unknown
66659	Acp6	acid phosphatase 6, lysophosphatidic	1.8			Unknown
230866	C230096C10Rik	RIKEN cDNA C230096C10 gene			2.3	Unknown
231670	Fbxo21	F-box only protein 21		-1.9	-2.3	Unknown
-	-	AA030342;AI324228	2.3	1.4	1.8	Unknown
330474	BC057627	cDNA sequence BC057627			2.1	Unknown
-	-	CF577897;CF577896	2.1		2.2	Unknown
407831	BC054438	cDNA sequence BC054438			2.2	Unknown
69036	1810010M01Rik	RIKEN cDNA 1810010M01 gene			1.9	Unknown
216454	CRAD-L	cis-retinol/3alpha hydroxysterol short-chain dehydrogenase-like		-1.9		Unknown
76437	D11Bwg0414e	DNA segment, Chr 11, Brigham & Womens Genetics 0414 expressed		2.1	1.8	Unknown
22381	Wbp5	WW domain binding protein 5	1.3	1.5	2.1	Unknown
-	-	AA672187;AI504199		1.3	2	Unknown
-	-	CF578187;CF578186		2.1	1.4	Unknown
-	-	CF581356			1.7	Unknown
99692	AI649393	expressed sequence AI649393	-1.4	-1.6	-2.1	Unknown
76719	1700081L11Rik	RIKEN cDNA 1700081L11 gene			2.1	Unknown
106585	AI447928	expressed sequence AI447928		-1.7	-1.7	Unknown
-	-	CF585934;CF585935			2.1	Unknown
-	-	BE371091		2	1.6	Unknown
72007	1600019O04Rik	RIKEN cDNA 1600019O04 gene		2	1.6	Unknown
76464	2310043D08Rik	RIKEN cDNA 2310043D08 gene	-1.5	-1.6		Unknown
72289	2210401K01Rik	RIKEN cDNA 2210401K01 gene		2		Unknown
15936	Ier2	immediate early response 2	1.7			Unknown
216440	4632413K17Rik	RIKEN cDNA 4632413K17 gene	1.9			Unknown
-	-	CF580602		-1.7		Unknown
170773	AB023957	cDNA sequence AB023957			1.5	Unknown
-	-	BG655348;BG655668			1.6	Unknown
102747	D430025H09Rik	RIKEN cDNA D430025H09 gene			1.6	Unknown
16432	Itm2b	integral membrane protein 2B		-1.9		Unknown
-	-	CF580586;CF580587			1.9	Unknown
-	-	BI899761;BG878856			1.9	Unknown
65113	Ndfip1	Nedd4 family interacting protein 1		-1.7	-1.5	Unknown
66390	2310042G06Rik	RIKEN cDNA 2310042G06 gene		1.7	1.9	Unknown
66357	2310008M10Rik	RIKEN cDNA 2310008M10 gene		1.5	1.9	Unknown
-	-	W33809		-1.7		Unknown
105853	Mal2	mal, T-cell differentiation protein 2			1.6	Unknown
74549	9130404D08Rik	RIKEN cDNA 9130404D08 gene		-1.6	-1.4	Unknown
-	-	CF623018	1.4	1.8	1.6	Unknown
-	-	BI319482;BI499880			1.6	Unknown
98667	AW112037	expressed sequence AW112037	1.3	1.6	1.7	Unknown
-	-	BQ416274;BQ268420	1.7			Unknown
98732	1110059F07Rik	RIKEN cDNA 1110059F07 gene			1.7	Unknown
70273	2310051E17Rik	RIKEN cDNA 2310051E17 gene			-1.7	Unknown
-	-	BQ085069;BQ084758			1.7	Unknown
217217	Asb16	ankyrin repeat and SOCS box-containing 16			1.6	Unknown
-	-	BM055980;BM055661		-1.7		Unknown
75909	4930579A11Rik	RIKEN cDNA 4930579A11 gene	1.5		1.7	Unknown
57443	Fbxo3	F-box only protein 3			-1.7	Unknown
97282	R75581	expressed sequence R75581			1.7	Unknown
59308		endomucin		1.4	1.7	Unknown
-	-	BQ101606;BQ101337		1.6		Unknown
20610	Sumo3	SMT3 suppressor of mif two 3 homolog 3 (yeast)			1.7	Unknown
74155	1300002F13Rik	RIKEN cDNA 1300002F13 gene	1.7		1.3	Unknown
52331	D5Ertd593e	DNA segment, Chr 5, ERATO Doi 593, expressed	-1.7		-1.4	Unknown
66627	5730405M13Rik	RIKEN cDNA 5730405M13 gene			1.5	Unknown
-	-	CF580678			-1.6	Unknown
66945	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	-1.4	-1.5	-1.6	Unknown
56374	ORF18	open reading frame 18		-1.6		Unknown
214489	BC003965	cDNA sequence BC003965		1.4	1.5	Unknown
-	-	AA545256;AI561451		1.4	1.6	Unknown
71820	Wdr34	WD repeat domain 34			1.6	Unknown
106522	AW548124	expressed sequence AW548124			1.6	Unknown
-	-	BI437729;CF584063		1.6		Unknown
15374	Hn1	hematological and neurological expressed sequence 1			1.6	Unknown
-	-	CF586339;CF586340		-1.6		Unknown
56722	Litaf	LPS-induced TN factor		1.5	1.6	Unknown
66870	1200009K13Rik	RIKEN cDNA 1200009K13 gene		-1.6		Unknown
382038	AK122209	cDNA sequence AK122209			1.6	Unknown
235674	MGC29978	3-ketoacyl-CoA thiolase B			-1.6	Unknown
-	-	BG321934		-1.6		Unknown
-	-	CF581532;CF581531			1.5	Unknown
320594	9130004C02Rik	RIKEN cDNA 9130004C02 gene			1.5	Unknown
110172	Ugalt2	UDP-galactose translocator 2		1.5		Unknown
236520	9130229H14Rik	RIKEN cDNA 9130229H14 gene			-1.5	Unknown
-	-	BM053617;BM053315		-1.5	-1.5	Unknown
66442	2600017H08Rik	RIKEN cDNA 2600017H08 gene		1.5	1.5	Unknown
52822	D5Bwg0860e	DNA segment, Chr 5, Brigham & Womens Genetics 0860 expressed	-1.5			Unknown
