Symbol	Gene Name	combined p value	Expression
Cct4	Chaperonin subunit 4 (delta)	8.07E-05	Up-regulated transcripts
Jarid1b	Jumonji, AT rich interactive domain 1B (Rbp2 like)	8.15E-05	Up-regulated transcripts
Camk1	Calcium/calmodulin-dependent protein kinase I	8.17E-05	Up-regulated transcripts
Adamts4	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4	8.19E-05	Up-regulated transcripts
Smox	Spermine oxidase	8.46E-05	Up-regulated transcripts
Tank	TRAF family member-associated Nf-kappa B activator	8.54E-05	Up-regulated transcripts
Rgs12	Regulator of G-protein signaling 12	8.60E-05	Up-regulated transcripts
Gss	Glutathione synthetase	8.60E-05	Up-regulated transcripts
Spp1	Secreted phosphoprotein 1	8.72E-05	Up-regulated transcripts
Luc7l2	LUC7-like 2 (S. cerevisiae)	8.89E-05	Up-regulated transcripts
Pep4	Peptidase 4	9.00E-05	Up-regulated transcripts
Gclc	Glutamate-cysteine ligase, catalytic subunit	9.13E-05	Up-regulated transcripts
Slc30a9	Solute carrier family 30 (zinc transporter), member 9	9.20E-05	Up-regulated transcripts
Folr4	Folate receptor 4 (delta)	9.32E-05	Up-regulated transcripts
Fdft1	Farnesyl diphosphate farnesyl transferase 1	9.49E-05	Up-regulated transcripts
Senp2	SUMO/sentrin specific protease 2	9.60E-05	Up-regulated transcripts
Arl10c	ADP-ribosylation factor-like 10C	9.60E-05	Up-regulated transcripts
Hmgcl	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	9.67E-05	Up-regulated transcripts
Abhd4	Abhydrolase domain containing 4	1.00E-04	Up-regulated transcripts
Clock	Circadian locomoter output cycles kaput	1.04E-04	Up-regulated transcripts
Hsp105	Heat shock protein 105	1.04E-04	Up-regulated transcripts
Bcap31	B-cell receptor-associated protein 31	1.04E-04	Up-regulated transcripts
H47	Histocompatibility 47	1.07E-04	Up-regulated transcripts
Mdm2	Transformed mouse 3T3 cell double minute 2	1.08E-04	Up-regulated transcripts
Rod1	ROD1 regulator of differentiation 1 (S. pombe)	1.09E-04	Up-regulated transcripts
Fosl2	Fos-like antigen 2	1.14E-04	Up-regulated transcripts
Prkx	Protein kinase, X-linked	1.15E-04	Up-regulated transcripts
Sgtb	Small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	1.19E-04	Up-regulated transcripts
Tomm20	Translocase of outer mitochondrial membrane 20 homolog (yeast)	1.19E-04	Up-regulated transcripts
Dhcr7	7-dehydrocholesterol reductase	1.19E-04	Up-regulated transcripts
Polr2h	Similar to polymerase (RNA) II (DNA directed) polypeptide H	1.22E-04	Up-regulated transcripts
Igsf3	Immunoglobulin superfamily, member 3	1.23E-04	Up-regulated transcripts
Bcat2	Branched chain aminotransferase 2, mitochondrial	1.24E-04	Up-regulated transcripts
St13	Suppression of tumorigenicity 13	1.25E-04	Up-regulated transcripts
Sdf4	Stromal cell derived factor 4	1.28E-04	Up-regulated transcripts
Atf1	Activating transcription factor 1	1.29E-04	Up-regulated transcripts
Napa	N-ethylmaleimide sensitive fusion protein attachment protein alpha	1.31E-04	Up-regulated transcripts
Zyx	Zyxin	1.34E-04	Up-regulated transcripts
Ppig	Peptidyl-prolyl isomerase G (cyclophilin G)	1.37E-04	Up-regulated transcripts
Acadm	Acetyl-Coenzyme A dehydrogenase, medium chain	1.37E-04	Up-regulated transcripts
Timm17a	Translocator of inner mitochondrial membrane 17a	1.38E-04	Up-regulated transcripts
Hbxap	Hepatitis B virus x associated protein	1.38E-04	Up-regulated transcripts
Bbx	Bobby sox homolog (Drosophila)	1.41E-04	Up-regulated transcripts
Psph	Phosphoserine phosphatase	1.42E-04	Up-regulated transcripts
Eif3s7	Eukaryotic translation initiation factor 3, subunit 7 (zeta)	1.46E-04	Up-regulated transcripts
Sat1	Spermidine/spermine N1-acetyl transferase 1	1.55E-04	Up-regulated transcripts
Ppp1r8	Protein phosphatase 1, regulatory (inhibitor) subunit 8	1.56E-04	Up-regulated transcripts
Itpk1	Inositol 1,3,4-triphosphate 5/6 kinase	1.57E-04	Up-regulated transcripts
Exosc1	Exosome component 1	1.59E-04	Up-regulated transcripts
Nedd8	Neural precursor cell expressed, developmentally down-regulated gene 8	1.62E-04	Up-regulated transcripts
Ttc1	Tetratricopeptide repeat domain 1	1.62E-04	Up-regulated transcripts
Net1	Neuroepithelial cell transforming gene 1	1.63E-04	Up-regulated transcripts
Dnaja1	DnaJ (Hsp40) homolog, subfamily A, member 1	1.67E-04	Up-regulated transcripts
Rbm7	RNA binding motif protein 7	1.68E-04	Up-regulated transcripts
Dnajb6	DnaJ (Hsp40) homolog, subfamily B, member 6	1.68E-04	Up-regulated transcripts
Evi5	Ecotropic viral integration site 5	1.69E-04	Up-regulated transcripts
Mtch2	Mitochondrial carrier homolog 2 (C. elegans)	1.73E-04	Up-regulated transcripts
Cox7a2	Cytochrome c oxidase, subunit VIIa 2	1.75E-04	Up-regulated transcripts
Eif4a2	Eukaryotic translation initiation factor 4A2	1.76E-04	Up-regulated transcripts
Tk2	Thymidine kinase 2, mitochondrial	1.77E-04	Up-regulated transcripts
Psmb4	Proteasome (prosome, macropain) subunit, beta type 4	1.78E-04	Up-regulated transcripts
Timm17b	Translocator of inner mitochondrial membrane 17b	1.79E-04	Up-regulated transcripts
Eif5	Eukaryotic translation initiation factor 5	1.80E-04	Up-regulated transcripts
Appbp2	Amyloid beta precursor protein (cytoplasmic tail) binding protein 2	1.83E-04	Up-regulated transcripts
Sec31l1	SEC31-like 1 (S. cerevisiae)	1.84E-04	Up-regulated transcripts
Cpne3	Copine III	1.84E-04	Up-regulated transcripts
Rab14	RAB14, member RAS oncogene family	1.88E-04	Up-regulated transcripts
Lsm8	LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1.90E-04	Up-regulated transcripts
Pthlh	Parathyroid hormone-like peptide	1.92E-04	Up-regulated transcripts
Sec61a2	Sec61, alpha subunit 2 (S. cerevisiae)	1.92E-04	Up-regulated transcripts
Idh3a	Isocitrate dehydrogenase 3 (NAD+) alpha	1.95E-04	Up-regulated transcripts
Brca2	Breast cancer 2	1.96E-04	Up-regulated transcripts
Srp9	Signal recognition particle 9	1.98E-04	Up-regulated transcripts
Hiat1	Hippocampus abundant gene transcript 1	1.98E-04	Up-regulated transcripts
Cdc42se2	CDC42 small effector 2	1.99E-04	Up-regulated transcripts
Etnk1	Ethanolamine kinase 1	2.04E-04	Up-regulated transcripts
Pura	Purine rich element binding protein A	2.06E-04	Up-regulated transcripts
Dpf2	D4, zinc and double PHD fingers family 2	2.06E-04	Up-regulated transcripts
Rb1cc1	RB1-inducible coiled-coil 1	2.06E-04	Up-regulated transcripts
Tcn2	Transcobalamin 2	2.11E-04	Up-regulated transcripts
Antxr1	Anthrax toxin receptor 1	2.14E-04	Up-regulated transcripts
Dlgap4	Discs, large homolog-associated protein 4 (Drosophila)	2.14E-04	Up-regulated transcripts
Mapk14	Mitogen activated protein kinase 14	2.15E-04	Up-regulated transcripts
Gnaq	Phosphatidylethanolamine binding protein	2.15E-04	Up-regulated transcripts
Kpna1	Karyopherin (importin) alpha 1	2.17E-04	Up-regulated transcripts
Arf6	ADP-ribosylation factor 6	2.21E-04	Up-regulated transcripts
Aars	Alanyl-tRNA synthetase	2.21E-04	Up-regulated transcripts
Srp19	Signal recognition particle 19	2.21E-04	Up-regulated transcripts
Spg20	Spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	2.21E-04	Up-regulated transcripts
Rragc	Ras-related GTP binding C	2.22E-04	Up-regulated transcripts
Diablo	Diablo homolog (Drosophila)	2.27E-04	Up-regulated transcripts
M6pr	Mannose-6-phosphate receptor, cation dependent	2.37E-04	Up-regulated transcripts
Map2k2	Mitogen activated protein kinase kinase 2	2.40E-04	Up-regulated transcripts
Pole4	Polymerase (DNA-directed), epsilon 4 (p12 subunit)	2.41E-04	Up-regulated transcripts
Slc35c2	Solute carrier family 35, member C2	2.42E-04	Up-regulated transcripts
Aprt	Adenine phosphoribosyl transferase	2.49E-04	Up-regulated transcripts
Alg5	Asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)	2.59E-04	Up-regulated transcripts
Ptp4a1	Protein tyrosine phosphatase 4a1	2.61E-04	Up-regulated transcripts
Yif1	Yip1 interacting factor homolog (S. cerevisiae)	2.62E-04	Up-regulated transcripts
Ubl5	Ubiquitin-like 5	2.67E-04	Up-regulated transcripts
Sidt2	SID1 transmembrane family, member 2	2.67E-04	Up-regulated transcripts
Pabpc4	Poly(A)-binding protein, cytoplasmic pseudogene	2.83E-04	Up-regulated transcripts
Timeless	Timeless homolog (Drosophila)	2.86E-04	Up-regulated transcripts
Cul2	Cullin 2	2.87E-04	Up-regulated transcripts
Otub2	OTU domain, ubiquitin aldehyde binding 2	2.94E-04	Up-regulated transcripts
Upp1	Uridine phosphorylase 1	3.05E-04	Up-regulated transcripts
Tegt	Testis enhanced gene transcript	3.05E-04	Up-regulated transcripts
Pbef1	Pre-B-cell colony-enhancing factor 1	3.06E-04	Up-regulated transcripts
Vil2	Villin 2	3.13E-04	Up-regulated transcripts
Rnf3	Ring finger protein 3	3.15E-04	Up-regulated transcripts
Wwp1	WW domain containing E3 ubiquitin protein ligase 1	3.16E-04	Up-regulated transcripts
Wdr1	WD repeat domain 1	3.17E-04	Up-regulated transcripts
Cat	Catalase	3.17E-04	Up-regulated transcripts
Cish	Cytokine inducible SH2-containing protein	3.20E-04	Up-regulated transcripts
Acp1	Acid phosphatase 1, soluble	3.27E-04	Up-regulated transcripts
Cd44	CD44 antigen	3.28E-04	Up-regulated transcripts
Eprs	Glutamyl-prolyl-tRNA synthetase	3.29E-04	Up-regulated transcripts
Snx10	Sorting nexin 10	3.30E-04	Up-regulated transcripts
Nkiras2	NFKB inhibitor interacting Ras-like protein 2	3.35E-04	Up-regulated transcripts
Stch	Stress 70 protein chaperone, microsome-associated, human homolog	3.37E-04	Up-regulated transcripts
Ptp4a3	Protein tyrosine phosphatase 4a3	3.39E-04	Up-regulated transcripts
Fxr2h	Fragile X mental retardation gene 2, autosomal homolog	3.39E-04	Up-regulated transcripts
Cklfsf6	Chemokine-like factor super family 6	3.40E-04	Up-regulated transcripts
Sara1	SAR1a gene homolog 1 (S. cerevisiae)	3.41E-04	Up-regulated transcripts
Ap3b1	Adaptor-related protein complex 3, beta 1 subunit	3.50E-04	Up-regulated transcripts
Lamp2	Lysosomal membrane glycoprotein 2	3.52E-04	Up-regulated transcripts
Chic2	Cysteine-rich hydrophobic domain 2	3.55E-04	Up-regulated transcripts
Ap3s1	Adaptor-related protein complex 3, sigma 1 subunit	3.55E-04	Up-regulated transcripts
Rassf1	Ras association (RalGDS/AF-6) domain family 1	3.89E-04	Up-regulated transcripts
Vps11	Vacuolar protein sorting 11 (yeast)	3.98E-04	Up-regulated transcripts
Rif1	Rap1 interacting factor 1 homolog (yeast)	4.07E-04	Up-regulated transcripts
Rchy1	Ring finger and CHY zinc finger domain containing 1	4.14E-04	Up-regulated transcripts
Catna1	Catenin alpha 1	4.20E-04	Up-regulated transcripts
Rdh11	Retinol dehydrogenase 11	4.21E-04	Up-regulated transcripts
Crsp9	Cofactor required for Sp1 transcriptional activation, subunit 9	4.25E-04	Up-regulated transcripts
Asns	Asparagine synthetase	4.26E-04	Up-regulated transcripts
Lss	Lanosterol synthase	4.32E-04	Up-regulated transcripts
Cops8	COP9 (constitutive photomorphogenic) homolog, subunit 8 (Arabidopsis thaliana)	4.33E-04	Up-regulated transcripts
Lamb1-1	Laminin B1 subunit 1	4.44E-04	Up-regulated transcripts
Ly6a	Lymphocyte antigen 6 complex, locus A	4.50E-04	Up-regulated transcripts
Rnf2	Ring finger protein 2	4.52E-04	Up-regulated transcripts
Ube1c	Ubiquitin-activating enzyme E1C	4.58E-04	Up-regulated transcripts
Rab11a	RAB11a, member RAS oncogene family	4.59E-04	Up-regulated transcripts
Cops2	COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)	4.61E-04	Up-regulated transcripts
Mt1	Metallothionein 1	4.76E-04	Up-regulated transcripts
Psmd2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	4.79E-04	Up-regulated transcripts
Slc2a1	Solute carrier family 2 (facilitated glucose transporter), member 1	4.81E-04	Up-regulated transcripts
Deb1	Differentially expressed in B16F10 1	4.87E-04	Up-regulated transcripts
Picalm	Phosphatidylinositol binding clathrin assembly protein	4.95E-04	Up-regulated transcripts
Osbpl2	Oxysterol binding protein-like 2	5.15E-04	Up-regulated transcripts
Capn3	Calpain 3	5.17E-04	Up-regulated transcripts
Crcp	Calcitonin gene-related peptide-receptor component protein	5.25E-04	Up-regulated transcripts
Map3k7ip2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	5.26E-04	Up-regulated transcripts
Coro1b	Coronin, actin binding protein 1B	5.53E-04	Up-regulated transcripts
Cdc42	Cell division cycle 42 homolog (S. cerevisiae)	5.55E-04	Up-regulated transcripts
Gpi1	Glucose phosphate isomerase 1	5.65E-04	Up-regulated transcripts
Psma2	Proteasome (prosome, macropain) subunit, alpha type 2	5.88E-04	Up-regulated transcripts
Adh5	Alcohol dehydrogenase 5 (class III), chi polypeptide	5.90E-04	Up-regulated transcripts
Osbpl6	Oxysterol binding protein-like 6	5.91E-04	Up-regulated transcripts
Hipk3	Homeodomain interacting protein kinase 3	5.96E-04	Up-regulated transcripts
Trappc6b	Trafficking protein particle complex 6B	6.20E-04	Up-regulated transcripts
Phf3	PHD finger protein 3	6.24E-04	Up-regulated transcripts
Capn2	Calpain 2	6.26E-04	Up-regulated transcripts
Zcchc9	Zinc finger, CCHC domain containing 9	6.30E-04	Up-regulated transcripts
Krtcap2	Keratinocyte associated protein 2	6.32E-04	Up-regulated transcripts
Extl3	Exostoses (multiple)-like 3	6.33E-04	Up-regulated transcripts
Psma5	Proteasome (prosome, macropain) subunit, alpha type 5	6.38E-04	Up-regulated transcripts
Trim8	Tripartite motif protein 8	6.43E-04	Up-regulated transcripts
Soat1	Sterol O-acyltransferase 1	6.44E-04	Up-regulated transcripts
Tm7sf1	Transmembrane 7 superfamily member 1	6.70E-04	Up-regulated transcripts
Tulp3	Tubby-like protein 3	6.72E-04	Up-regulated transcripts
Hip1	Huntingtin interacting protein 1	6.84E-04	Up-regulated transcripts
Wdr23	WD repeat domain 23	7.01E-04	Up-regulated transcripts
Rnf20	Ring finger protein 20	7.06E-04	Up-regulated transcripts
Rbm18	RNA binding motif protein 18	7.17E-04	Up-regulated transcripts
Rnf121	Ring finger protein 121	7.22E-04	Up-regulated transcripts
Txn1	Thioredoxin 1	7.42E-04	Up-regulated transcripts
Ptk9	Protein tyrosine kinase 9	7.46E-04	Up-regulated transcripts
Idi1	Isopentenyl-diphosphate delta isomerase	7.65E-04	Up-regulated transcripts
Hrb2	HIV-1 Rev binding protein 2	7.74E-04	Up-regulated transcripts
Apg5l	Autophagy 5-like (S. cerevisiae)	7.78E-04	Up-regulated transcripts
Mrpl21	Mitochondrial ribosomal protein L21	8.04E-04	Up-regulated transcripts
Lyst	Lysosomal trafficking regulator	8.05E-04	Up-regulated transcripts
Set7	SET domain-containing protein 7	8.30E-04	Up-regulated transcripts
Pgam1	Phosphoglycerate mutase 1	8.31E-04	Up-regulated transcripts
Ppapdc1	Phosphatidic acid phosphatase type 2 domain containing 1	8.40E-04	Up-regulated transcripts
Phb	Prohibitin	8.42E-04	Up-regulated transcripts
Eif3s1	Eukaryotic translation initiation factor 3, subunit 1 alpha	8.46E-04	Up-regulated transcripts
Mfge8	Milk fat globule-EGF factor 8 protein	8.61E-04	Up-regulated transcripts
Rnf11	Ring finger protein 11	8.81E-04	Up-regulated transcripts
Ube2d3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	8.85E-04	Up-regulated transcripts
Slc25a1	Solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	8.89E-04	Up-regulated transcripts
Lynx1	Ly6/neurotoxin 1	8.90E-04	Up-regulated transcripts
Dp1	Deleted in polyposis 1	9.08E-04	Up-regulated transcripts
Dm15	Dystrophia myotonica kinase, B15	9.15E-04	Up-regulated transcripts
Senp6	SUMO/sentrin specific protease 6	9.20E-04	Up-regulated transcripts
Mak3	Mak3 homolog (S. cerevisiae)	9.22E-04	Up-regulated transcripts
Jtb	Jumping translocation breakpoint	9.47E-04	Up-regulated transcripts
Mrpl11	Mitochondrial ribosomal protein L11	9.51E-04	Up-regulated transcripts
Ubadc1	Ubiquitin associated domain containing 1	9.54E-04	Up-regulated transcripts
Pgrmc1	Progesterone receptor membrane component 1	9.54E-04	Up-regulated transcripts
Ccnl1	Cyclin L1	9.57E-04	Up-regulated transcripts
Sqle	Squalene epoxidase	9.59E-04	Up-regulated transcripts
Hbld2	HESB like domain containing 2	9.92E-04	Up-regulated transcripts
Eif4g2	Eukaryotic translation initiation factor 4, gamma 2	1.00E-03	Up-regulated transcripts
Vdp	Vesicle docking protein	1.01E-03	Up-regulated transcripts
Zfp482	Zinc finger protein 482	1.02E-03	Up-regulated transcripts
Golph4	Golgi phosphoprotein 4	1.03E-03	Up-regulated transcripts
Dnajb9	DnaJ (Hsp40) homolog, subfamily B, member 9	1.03E-03	Up-regulated transcripts
Slc6a8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	1.04E-03	Up-regulated transcripts
Fxr1h	Fragile X mental retardation gene 1, autosomal homolog	1.05E-03	Up-regulated transcripts
Col4a2	Procollagen, type IV, alpha 2	1.06E-03	Up-regulated transcripts
Rnf4	Ring finger protein 4	1.07E-03	Up-regulated transcripts
Psmb3	Proteasome (prosome, macropain) subunit, beta type 3	1.07E-03	Up-regulated transcripts
Ly6g6c	Lymphocyte antigen 6 complex, locus G6C	1.08E-03	Up-regulated transcripts
Vrk3	Vaccinia related kinase 3	1.11E-03	Up-regulated transcripts
Dazap2	DAZ associated protein 2	1.12E-03	Up-regulated transcripts
Dnajc11	DnaJ (Hsp40) homolog, subfamily C, member 11	1.13E-03	Up-regulated transcripts
Arpc1b	Actin related protein 2/3 complex, subunit 1B	1.14E-03	Up-regulated transcripts
Fkbp8	FK506 binding protein 8	1.15E-03	Up-regulated transcripts
G6pc3	Glucose 6 phosphatase, catalytic, 3	1.20E-03	Up-regulated transcripts
Lrp2	Low density lipoprotein receptor-related protein 2	1.21E-03	Up-regulated transcripts
Morf4l1	Mortality factor 4 like 1	1.21E-03	Up-regulated transcripts
Pofut2	Protein O-fucosyltransferase 2	1.22E-03	Up-regulated transcripts
Sypl	Synaptophysin-like protein	1.25E-03	Up-regulated transcripts
Trim33	Tripartite motif-containing 33	1.25E-03	Up-regulated transcripts
Srp68	Signal recognition particle 68	1.25E-03	Up-regulated transcripts
Ddx1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	1.27E-03	Up-regulated transcripts
Nrd1	Nardilysin, N-arginine dibasic convertase, NRD convertase 1	1.27E-03	Up-regulated transcripts
Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	1.29E-03	Up-regulated transcripts
Vps28	Vacuolar protein sorting 28 (yeast)	1.29E-03	Up-regulated transcripts
Tatdn1	TatD DNase domain containing 1	1.29E-03	Up-regulated transcripts
Hrmt1l1	Heterogeneous nuclear ribonucleoprotein methyltransferase-like 1 (S. cerevisiae)	1.32E-03	Up-regulated transcripts
Mitc1	MAD homolog 4 interacting transcription coactivator 1	1.32E-03	Up-regulated transcripts
Abce1	ATP-binding cassette, sub-family E (OABP), member 1	1.34E-03	Up-regulated transcripts
Phf7	PHD finger protein 7	1.34E-03	Up-regulated transcripts
Cilp2	Cartilage intermediate layer protein 2	1.34E-03	Up-regulated transcripts
Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.35E-03	Up-regulated transcripts
Sphk2	Sphingosine kinase 2	1.38E-03	Up-regulated transcripts
Rab6	RAB6, member RAS oncogene family	1.39E-03	Up-regulated transcripts
Rai12	Retinoic acid induced 12	1.40E-03	Up-regulated transcripts
Agl	Amylo-1,6-glucosidase, 4-alpha-glucanotransferase	1.41E-03	Up-regulated transcripts
Slc15a2	Solute carrier family 15 (H+/peptide transporter), member 2	1.43E-03	Up-regulated transcripts
Timm8b	Translocase of inner mitochondrial membrane 8 homolog b (yeast)	1.44E-03	Up-regulated transcripts
Capg	Capping protein (actin filament), gelsolin-like	1.46E-03	Up-regulated transcripts
Tnpo1	Transportin 1	1.46E-03	Up-regulated transcripts
Pon3	Paraoxonase 3	1.48E-03	Up-regulated transcripts
Slc16a2	Coiled-coil-helix-coiled-coil-helix domain containing 2	1.48E-03	Up-regulated transcripts
Mars	Methionine-tRNA synthetase	1.54E-03	Up-regulated transcripts
Bace1	Beta-site APP cleaving enzyme 1	1.55E-03	Up-regulated transcripts
Dtnbp1	Dystrobrevin binding protein 1	1.56E-03	Up-regulated transcripts
Gorasp2	Golgi reassembly stacking protein 2	1.59E-03	Up-regulated transcripts
Tceb3	Transcription elongation factor B (SIII), polypeptide 3	1.61E-03	Up-regulated transcripts
Gtf2h1	General transcription factor II H, polypeptide 1	1.61E-03	Up-regulated transcripts
Edg5	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 5	1.63E-03	Up-regulated transcripts
Avpi1	Arginine vasopressin-induced 1	1.66E-03	Up-regulated transcripts
Ptpn2	Protein tyrosine phosphatase, non-receptor type 2	1.68E-03	Up-regulated transcripts
Rab1b	RAB1B, member RAS oncogene family	1.69E-03	Up-regulated transcripts
Zfp198	Zinc finger protein 198	1.70E-03	Up-regulated transcripts
Eif3s6ip	Eukaryotic translation initiation factor 3, subunit 6 interacting protein	1.70E-03	Up-regulated transcripts
M6prbp1	Mannose-6-phosphate receptor binding protein 1	1.71E-03	Up-regulated transcripts
Eif4g3	Eukaryotic translation initiation factor 4 gamma, 3	1.73E-03	Up-regulated transcripts
Ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2	1.74E-03	Up-regulated transcripts
Psma4	Proteasome (prosome, macropain) subunit, alpha type 4	1.74E-03	Up-regulated transcripts
Gtf2f1	General transcription factor IIF, polypeptide 1	1.74E-03	Up-regulated transcripts
Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	1.75E-03	Up-regulated transcripts
Ubxd1	UBX domain containing 1	1.76E-03	Up-regulated transcripts
Bckdk	Branched chain ketoacid dehydrogenase kinase	1.76E-03	Up-regulated transcripts
Aldoc	Aldolase 3, C isoform	1.77E-03	Up-regulated transcripts
Vcl	Vinculin	1.78E-03	Up-regulated transcripts
Pctk1	PCTAIRE-motif protein kinase 1	1.84E-03	Up-regulated transcripts
Slc20a1	Solute carrier family 20, member 1	1.86E-03	Up-regulated transcripts
Camk2g	Calcium/calmodulin -dependent protein kinase II gamma	1.88E-03	Up-regulated transcripts
Biklk	Bcl2-interacting killer-like	1.90E-03	Up-regulated transcripts
Dph2l2	Diptheria toxin resistance protein required for diphthamide biosynthesis (Saccharomyces)-like 2	1.90E-03	Up-regulated transcripts
Insig1	Insulin induced gene 1	1.93E-03	Up-regulated transcripts
Hipk2	Homeodomain interacting protein kinase 2	1.93E-03	Up-regulated transcripts
Fntb	Farnesyltransferase, CAAX box, beta	1.93E-03	Up-regulated transcripts
Plat	Plasminogen activator, tissue	1.94E-03	Up-regulated transcripts
B4galt7	Xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)	1.96E-03	Up-regulated transcripts
Dcn	Decorin	1.96E-03	Up-regulated transcripts
Psmd10	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	1.98E-03	Up-regulated transcripts
Antxr2	Anthrax toxin receptor 2	1.99E-03	Up-regulated transcripts
Rbm19	RNA binding motif protein 19	1.99E-03	Up-regulated transcripts
Map2k1	Mitogen activated protein kinase kinase 1	2.00E-03	Up-regulated transcripts
Rga	Recombination activating gene 1 gene activation	2.02E-03	Up-regulated transcripts
Msn	Moesin	2.05E-03	Up-regulated transcripts
Atp6v0d1	ATPase, H+ transporting, V0 subunit D isoform 1	2.13E-03	Up-regulated transcripts
Hel308	Helicase, mus308-like (Drosophila)	2.14E-03	Up-regulated transcripts
Rnf111	Ring finger 111	2.15E-03	Up-regulated transcripts
Ube2a	Ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. cerevisiae)	2.16E-03	Up-regulated transcripts
Fgfr1	Fibroblast growth factor receptor 1	2.17E-03	Up-regulated transcripts
Ptbp2	Polypyrimidine tract binding protein 2	2.18E-03	Up-regulated transcripts
Orc5l	Origin recognition complex, subunit 5-like (S. cerevisiae)	2.19E-03	Up-regulated transcripts
Galnt10	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10	2.20E-03	Up-regulated transcripts
Smpd1	Sphingomyelin phosphodiesterase 1, acid lysosomal	2.20E-03	Up-regulated transcripts
Copa	Coatomer protein complex subunit alpha	2.27E-03	Up-regulated transcripts
P4ha2	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	2.27E-03	Up-regulated transcripts
Denr	Density-regulated protein	2.28E-03	Up-regulated transcripts
Tbp	TATA box binding protein	2.32E-03	Up-regulated transcripts
Hmox1	Heme oxygenase (decycling) 1	2.33E-03	Up-regulated transcripts
Hk1	Hexokinase 1	2.34E-03	Up-regulated transcripts
Zfp313	Zinc finger protein 313	2.35E-03	Up-regulated transcripts
Wdr13	WD repeat domain 13	2.36E-03	Up-regulated transcripts
Tpk1	Thiamin pyrophosphokinase	2.37E-03	Up-regulated transcripts
Usp32	Ubiquitin specific protease 32	2.38E-03	Up-regulated transcripts
Rpo1-3	RNA polymerase 1-3	2.40E-03	Up-regulated transcripts
Za20d2	Zinc finger, A20 domain containing 2	2.41E-03	Up-regulated transcripts
Gdap2	Ganglioside-induced differentiation-associated-protein 2	2.45E-03	Up-regulated transcripts
Phf17	PHD finger protein 17	2.46E-03	Up-regulated transcripts
Col18a1	Procollagen, type XVIII, alpha 1	2.46E-03	Up-regulated transcripts
Mrpl15	Mitochondrial ribosomal protein L15	2.53E-03	Up-regulated transcripts
Ppp1r9b	Protein phosphatase 1, regulatory subunit 9B	2.55E-03	Up-regulated transcripts
Stx7	Syntaxin 7	2.55E-03	Up-regulated transcripts
Nexn	Nexilin	2.56E-03	Up-regulated transcripts
Chordc1	Cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	2.57E-03	Up-regulated transcripts
Mapk8ip3	Mitogen-activated protein kinase 8 interacting protein 3	2.57E-03	Up-regulated transcripts
Txndc2	Thioredoxin domain containing 2 (spermatozoa)	2.58E-03	Up-regulated transcripts
Ddb2	Damage specific DNA binding protein 2	2.60E-03	Up-regulated transcripts
Amhr2	Anti-Mullerian hormone type 2 receptor	2.63E-03	Up-regulated transcripts
P4hb	Prolyl 4-hydroxylase, beta polypeptide	2.64E-03	Up-regulated transcripts
Zfp9	Zinc finger protein 9	2.69E-03	Up-regulated transcripts
Ncoa1	Nuclear receptor coactivator 1	2.70E-03	Up-regulated transcripts
Senp1	SUMO1/sentrin specific protease 1	2.70E-03	Up-regulated transcripts
Capza2	Capping protein (actin filament) muscle Z-line, alpha 2	2.72E-03	Up-regulated transcripts
Ubqln1	Ubiquilin 1	2.73E-03	Up-regulated transcripts
Mfng	Manic fringe homolog (Drosophila)	2.88E-03	Up-regulated transcripts
Mrpl20	Mitochondrial ribosomal protein L20	2.89E-03	Up-regulated transcripts
Blcap	Bladder cancer associated protein homolog (human)	2.92E-03	Up-regulated transcripts
Capn7	Calpain 7	2.93E-03	Up-regulated transcripts
Nras	Neuroblastoma ras oncogene	2.96E-03	Up-regulated transcripts
