Official Symbol	Accession number and gene name	fold change in SPN vs. normal pancreas	p value
ATP6V1H	NM_015941       ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	3.64	0.00376
ZNF537	NM_020856       Teashirt zinc finger homeobox 3	3.64	0.00206
SLC22A23	NM_015482       Solute carrier family 22, member 23	3.63	0.000443
CDK5RAP2	NM_018249       CDK5 regulatory subunit associated protein 2	3.63	0.000808
FADS2	NM_004265       Fatty acid desaturase 2	3.63	0.000954
PSMB4	NM_002796       Proteasome (prosome, macropain) subunit, beta type, 4	3.61	0.0012
HNT	NM_016522       Neurotrimin	3.6	0.00168
RBP1	NM_002899       Retinol binding protein 1, cellular	3.6	0.00617
ARHGEF3	NM_019555       Rho guanine nucleotide exchange factor (GEF) 3	3.59	0.00255
SS18	NM_005637       Synovial sarcoma translocation, chromosome 18	3.58	0.00506
CAST	NM_173060       Calpastatin	3.58	0.000517
MKKS	NM_170784       McKusick-Kaufman syndrome	3.58	0.000622
CTNNBL1	NM_030877       Catenin, beta like 1	3.57	0.000701
DNCLI2	NM_006141       Dynein, cytoplasmic 1, light intermediate chain 2	3.57	0.000973
CDS2	NM_003818       CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	3.56	0.0011
KLHL8	NM_020803       Kelch-like 8 (Drosophila)	3.55	0.00174
PFDN4	NM_002623       Prefoldin subunit 4	3.55	0.00589
GOPC	NM_001017408    Golgi associated PDZ and coiled-coil motif containing	3.54	0.00203
TRAM1L1	NM_152402       Translocation associated membrane protein 1-like 1	3.54	0.00197
RECK	NM_021111       Reversion-inducing-cysteine-rich protein with kazal motifs	3.54	0.000447
MGC4655	NM_033309       Hypothetical protein MGC4655	3.53	0.00199
MLC1SA	NM_002475       Myosin, light chain 6B, alkali, smooth muscle and non-muscle	3.53	0.00031
TMEM45B	NM_138788       Transmembrane protein 45B	3.53	0.0104
C2orf33	NM_020194       Chromosome 2 open reading frame 33	3.51	0.00433
SLC26A11	NM_173626       Solute carrier family 26, member 11	3.51	0.00275
AKAP11	NM_016248       A kinase (PRKA) anchor protein 11	3.5	0.00661
KIAA1279	NM_015634       KIAA1279	3.48	0.00242
TMEFF2	NM_016192       Transmembrane protein with EGF-like and two follistatin-like domains 2	3.48	0.000298
ZCCHC14	NM_015144       Zinc finger, CCHC domain containing 14	3.48	0.0013
TBK1	NM_013254       TANK-binding kinase 1	3.47	0.00351
SIAH1	NM_003031       Seven in absentia homolog 1 (Drosophila)	3.47	0.000992
GNB1	NM_002074       Guanine nucleotide binding protein (G protein), beta polypeptide 1	3.46	0.00381
ALS2	NM_020919       Amyotrophic lateral sclerosis 2 (juvenile)	3.46	0.00111
SEC5L1	NM_018303       Exocyst complex component 2	3.46	0.000493
RYK	NM_002958       RYK receptor-like tyrosine kinase	3.45	0.00462
LMO4	NM_006769       LIM domain only 4	3.45	0.000714
ARL2BP	NM_012106       ADP-ribosylation factor-like 2 binding protein	3.45	0.00139
ETV5	NM_004454       Ets variant gene 5 (ets-related molecule)	3.45	0.0071
COL4A6	NM_033641       Collagen, type IV, alpha 6	3.44	0.00816
SLC25A13	NM_014251       Solute carrier family 25, member 13 (citrin)	3.44	0.00358
MAL2	NM_052886       Mal, T-cell differentiation protein 2	3.44	0.00186
CaMKIINalpha	NM_018584       Calcium/calmodulin-dependent protein kinase II inhibitor 1	3.43	0.00369
C10orf58	NM_032333       Chromosome 10 open reading frame 58	3.42	0.0075
MRPL1	NM_020236       Mitochondrial ribosomal protein L1	3.42	0.000411
ATF2	NM_001880       Activating transcription factor 2	3.42	0.00185
NIPA2	NM_030922       Non imprinted in Prader-Willi/Angelman syndrome 2	3.41	0.000573
TFE3	NM_006521       Transcription factor binding to IGHM enhancer 3	3.41	0.00245
HABP4	NM_014282       Hyaluronan binding protein 4	3.41	0.00172
ZNF442	NM_030824       Zinc finger protein 442	3.41	0.000926
STK38	NM_007271       Serine/threonine kinase 38	3.4	0.00758
HDGFRP3	NM_016073       Hepatoma-derived growth factor, related protein 3	3.4	0.000259
ZA20D3	NM_019006       Zinc finger, AN1-type domain 6	3.38	0.0029
C9orf19	NM_022343       Chromosome 9 open reading frame 19	3.38	0.0055
UCK2	NM_012474       Uridine-cytidine kinase 2	3.37	0.000136
PCCA	NM_000282       Propionyl Coenzyme A carboxylase, alpha polypeptide	3.37	0.00294
NS3TP1	NM_019048       Asparagine synthetase domain containing 1	3.37	0.000858
BEXL1	NM_001080425    BEX family member 4	3.36	0.000566
C14orf100	NM_016475       Chromosome 14 open reading frame 100	3.36	0.00379
NFAT5	NM_138714       Nuclear factor of activated T-cells 5, tonicity-responsive	3.35	0.00837
SDCCAG1	NM_004713       Serologically defined colon cancer antigen 1	3.35	0.00261
MUM1	NM_032853       Melanoma associated antigen (mutated) 1	3.34	0.00192
ID2	NM_002166       Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	3.34	0.00305
ACSF2	NM_025149       Acyl-CoA synthetase family member 2	3.33	0.0072
CRI1	NM_014335       EP300 interacting inhibitor of differentiation 1	3.33	0.00184
REV1L	NM_016316       REV1 homolog (S. cerevisiae)	3.32	0.00443
TXNDC13	NM_021156       Thioredoxin domain containing 13	3.32	0.0157
MTCBP-1	NM_018269       Acireductone dioxygenase 1	3.31	0.00148
CASP9	NM_001229       Caspase 9, apoptosis-related cysteine peptidase	3.31	0.00122
MGST3	NM_004528       Microsomal glutathione S-transferase 3	3.31	0.00399
MYO9A	NM_006901       Myosin IXA	3.31	0.0027
COX11	NM_004375       COX11 homolog, cytochrome c oxidase assembly protein (yeast)	3.29	0.0138
BUB3	NM_004725       BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	3.29	0.00366
ARK5	NM_014840       NUAK family, SNF1-like kinase, 1	3.29	0.00308
MAFG	NM_032711       V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	3.28	0.0104
UBE2E2	NM_152653       Ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)	3.28	0.00279
ZNF529	NM_020951       Zinc finger protein 529	3.27	0.00141
SMNDC1	NM_005871       Survival motor neuron domain containing 1	3.27	0.00128
BTAF1	NM_003972       BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa	3.27	0.00989
FLJ22794	NM_022074       Family with sequence similarity 111, member A	3.27	0.00417
FBXO30	NM_032145       F-box protein 30	3.26	0.00561
AP2B1	NM_001282       Adaptor-related protein complex 2, beta 1 subunit	3.26	0.00229
ATP1B3	NM_001679       ATPase, Na+/K+ transporting, beta 3 polypeptide	3.26	0.00313
JMJD2C	NM_015061       Jumonji domain containing 2C	3.25	0.00104
MAP9	NM_024826       microtubule-associated protein 9	3.24	0.000464
YEATS2	NM_018023       YEATS domain containing 2	3.24	0.000869
BMP7	AK094784         Bone morphogenetic protein 7 (osteogenic protein 1)	3.24	0.00308
S100A6	NM_014624       S100 calcium binding protein A6	3.24	0.00462
WBP4	NM_007187       WW domain binding protein 4 (formin binding protein 21)	3.23	0.00126
NPNT	NM_198278       nephronectin	3.23	0.0137
CETN1	NM_004066       Centrin, EF-hand protein, 1	3.22	0.00043
ATP5E	NM_006886       ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	3.22	0.000761
MTCBP-1	NM_018269       Acireductone dioxygenase 1	3.22	0.000612
RBBP4	NM_005610       Retinoblastoma binding protein 4	3.22	0.00349
NUP133	NM_018230       Nucleoporin 133kDa	3.21	0.00263
POLK	NM_016218       Polymerase (DNA directed) kappa	3.21	0.00109
CTNNB1	NM_001904       Catenin (cadherin-associated protein), beta 1, 88kDa	3.2	0.00511
C3orf14	NM_020685       Chromosome 3 open reading frame 14	3.2	0.00369
GPR124	NM_032777       G protein-coupled receptor 124	3.2	0.00309
FNBP4	NM_015308       Formin binding protein 4	3.2	0.00102
PRDM1	NM_001198       PR domain containing 1, with ZNF domain	3.2	0.0139
ZNF161	NM_007146       Vascular endothelial zinc finger 1	3.2	0.00117
S100A11	NM_005620       S100 calcium binding protein A11	3.19	0.000256
SNTB1	NM_021021       Syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)	3.19	0.0031
NISCH	NM_007184       Nischarin	3.19	0.00256
SLC26A2	NM_000112       Solute carrier family 26 (sulfate transporter), member 2	3.19	0.001
AFAP1L2	NM_032550       Actin filament associated protein 1-like 2	3.19	0.00367
UNG	NM_003362       Uracil-DNA glycosylase	3.17	0.00539
IGFBP3	NM_000598       Insulin-like growth factor binding protein 3	3.17	0.00953
CPEB4	NM_030627       Cytoplasmic polyadenylation element binding protein 4	3.16	0.0043
SRP14	NM_003134       Signal recognition particle 14kDa (homologous Alu RNA binding protein)	3.15	0.000402
NEK3	NM_002498       NIMA (never in mitosis gene a)-related kinase 3	3.15	0.000391
H3F3A	NM_002107       H3 histone, family 3A	3.15	0.000372
TBCA	NM_004607       Tubulin folding cofactor A	3.14	0.00649
MDS025	NM_021825       Coiled-coil domain containing 90B	3.14	0.00642
LOC284058	NM_015443       KIAA1267	3.14	0.00136
LRRC20	NM_018205       Leucine rich repeat containing 20	3.13	0.0113
CALM2	NM_001743       Calmodulin 2 (phosphorylase kinase, delta)	3.13	0.000759
HRMT1L1	NM_001535       Protein arginine methyltransferase 2	3.13	0.00555
DHRS10	NM_016246       Hydroxysteroid (17-beta) dehydrogenase 14	3.12	0.00503
FLJ12895	NM_023926       Hypothetical protein LOC350615	3.12	0.0012
USP15	NM_006313       Ubiquitin specific peptidase 15	3.11	0.0129
AUTS2	NM_015570       Autism susceptibility candidate 2	3.11	0.00841
WSB1	NM_134265       WD repeat and SOCS box-containing 1	3.11	0.000509
SNAPAP	NM_012437       SNAP-associated protein	3.1	0.00207
B4GALT4	NM_003778       UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	3.1	0.0032
SLC25A14	NM_003951       Solute carrier family 25 (mitochondrial carrier, brain), member 14	3.1	0.00474
CCAR1	NM_018237       Cell division cycle and apoptosis regulator 1	3.09	0.000877
MAP2K1	NM_002755       Mitogen-activated protein kinase kinase 1	3.09	0.00788
HBXIP	NM_006402       Hepatitis B virus x interacting protein	3.09	0.00199
C9orf127	NM_016446       Chromosome 9 open reading frame 127	3.09	0.00524
DMTF1	NM_021145       Cyclin D binding myb-like transcription factor 1	3.08	0.000807
TNFRSF1B	NM_001066       Tumor necrosis factor receptor superfamily, member 1B	3.08	0.0109
PREI3	NM_015387       MOB1, Mps One Binder kinase activator-like 3 (yeast)	3.06	0.0121
UBE2N	NM_003348       Ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	3.06	0.00335
ASXL1	NM_015338       Additional sex combs like 1 (Drosophila)	3.06	0.000992
AGL	NM_000028       Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase	3.06	0.0015
FLJ21908	NM_024604       RNA polymerase II associated protein 3	3.06	0.00133
UBE2N	NM_003348       Ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	3.05	0.00846
NIPSNAP3A	NM_015469       Nipsnap homolog 3A (C. elegans)	3.05	0.00417
TTC8	NM_144596       Tetratricopeptide repeat domain 8	3.05	0.00514
DPYD	NM_000110       Dihydropyrimidine dehydrogenase	3.05	0.000699
ST3GAL5	NM_003896       ST3 beta-galactoside alpha-2,3-sialyltransferase 5	3.04	0.0107
IFNGR2	NM_005534       Interferon gamma receptor 2 (interferon gamma transducer 1)	3.04	0.00136
ABCC1	NM_019862       ATP-binding cassette, sub-family C (CFTR/MRP), member 1	3.04	0.00247
C7orf25	NM_024054       Chromosome 7 open reading frame 25	3.03	0.000642
CROP	NM_016424       Cisplatin resistance-associated overexpressed protein	3.03	0.00406
MRLC2	NM_033546       Myosin regulatory light chain MRLC2	3.03	0.000548
EIF4E	NM_001968       Eukaryotic translation initiation factor 4E	3.03	0.00208
SLC35A5	NM_017945       Solute carrier family 35, member A5	3.03	0.0137
LSM8	NM_016200       LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)	3.03	0.00144
PEX14	NM_004565       Peroxisomal biogenesis factor 14	3.03	0.0029
PCNA	NM_002592       Proliferating cell nuclear antigen	3.02	0.00288
C3orf4	NM_019895       Claudin domain containing 1	3.02	0.00255
KLHL5	NM_199039       Kelch-like 5 (Drosophila)	3.01	0.00621
CLIC1	NM_001288       Chloride intracellular channel 1	3.01	0.00396
IGF2R	NM_000876       Insulin-like growth factor 2 receptor	3	0.00805
SNAPC5	NM_006049       Small nuclear RNA activating complex, polypeptide 5, 19kDa	3	0.000231
AHSA2	NM_152392       AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	2.99	0.00204
HT007	NM_018480       Transmembrane protein 126B	2.98	0.00398
PFKM	NM_000289       Phosphofructokinase, muscle	2.98	0.0063
MGC33887	NM_145036       Coiled-coil domain containing 46	2.98	0.00068
SLC25A4	NM_001151       Solute carrier family 25, member 4	2.98	0.00391
DBN1	NM_080881       Drebrin 1	2.98	0.00139
ELMOD2	NM_153702       ELMO/CED-12 domain containing 2	2.98	0.00262
MUM1	NM_032853       Melanoma associated antigen (mutated) 1	2.98	0.00635
ASF1A	NM_014034       ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	2.97	0.0105
SPRY4	NM_030964       Sprouty homolog 4 (Drosophila)	2.97	0.00326
S100A11	NM_005620       S100 calcium binding protein A11	2.97	0.00296
MMP2	NM_004530       Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	2.96	0.00349
AP1GBP1	NM_007247       AP1 gamma subunit binding protein 1	2.96	0.00826
MALT1	NM_006785       Mucosa associated lymphoid tissue lymphoma translocation gene 1	2.95	0.00131
TERF2IP	NM_018975       Telomeric repeat binding factor 2, interacting protein	2.95	0.00207
ANKK1	NM_178510       Ankyrin repeat and kinase domain containing 1	2.95	3.80E-05
MGC4606	NM_024516       Chromosome 16 open reading frame 53	2.95	0.00156
PSCD1	NM_004762       Pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	2.95	0.0155
MAP4K4	NM_145686       Mitogen-activated protein kinase kinase kinase kinase 4	2.95	0.00266
SUHW3	NM_017666       Zinc finger protein 280C	2.95	0.00361
CRYZ	NM_001889       Crystallin, zeta (quinone reductase)	2.95	0.00114
KNS2	NM_005552       Kinesin light chain 1	2.94	0.00735
MFN2	NM_014874       Mitofusin 2	2.94	0.0109
TGIF	NM_170695       TGFB-induced factor homeobox 1	2.94	0.0167
SLC35A1	NM_006416       Solute carrier family 35 (CMP-sialic acid transporter), member A1	2.94	0.00244
CLIPR-59	NM_015526       CAP-GLY domain containing linker protein 3	2.93	0.00571
TM4SF8	NM_005724       Tetraspanin 3	2.93	0.00478
GPRASP2	NM_138437       G protein-coupled receptor associated sorting protein 2	2.93	0.00576
KLHL9	NM_018847       Kelch-like 9 (Drosophila)	2.93	0.00329
BRF2	NM_018310       BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	2.93	0.00719
TFCP2	NM_005653       Transcription factor CP2	2.93	0.00516
FLJ36674	NM_173622       CMT1A duplicated region transcript 4	2.92	0.00335
SLU7	NM_006425       SLU7 splicing factor homolog (S. cerevisiae)	2.92	0.00119
CSNK1A1	NM_001892       Casein kinase 1, alpha 1	2.91	0.00478
FLJ10094	NM_017993       Ecto-NOX disulfide-thiol exchanger 1	2.91	0.0133
CAPN10	NM_023087       calpain 10	2.91	0.00126
APG3L	NM_022488       ATG3 autophagy related 3 homolog (S. cerevisiae)	2.91	0.0045
PGRMC1	NM_006667       Progesterone receptor membrane component 1	2.9	0.0143
HNRPH2	NM_019597       Heterogeneous nuclear ribonucleoprotein H2 (H)	2.9	0.000969
MRPL46	NM_022163       Mitochondrial ribosomal protein L46	2.9	0.00112
STRAP	NM_007178       Serine/threonine kinase receptor associated protein	2.9	0.000503
DNCI2	NM_001378       Dynein, cytoplasmic 1, intermediate chain 2	2.9	0.00279
GAPD	NM_002046       Glyceraldehyde-3-phosphate dehydrogenase	2.89	0.00658
PDE6A	NM_000440       Phosphodiesterase 6A, cGMP-specific, rod, alpha	2.89	0.000492
HAT1	NM_003642       Histone acetyltransferase 1	2.88	0.00818
ETV4	NM_001986       Ets variant gene 4 (E1A enhancer binding protein, E1AF)	2.88	0.0113
CLK2	NM_003993       CDC-like kinase 2	2.88	0.000353
SURB7	NM_004264       Mediator complex subunit 21	2.88	0.00843
GBE1	NM_000158       Glucan (1,4-alpha-), branching enzyme 1	2.87	0.00289
ARMCX3	NM_016607       Armadillo repeat containing, X-linked 3	2.87	0.00626
ZNF12	NM_006956       Zinc finger protein 12	2.87	0.00633
ANXA6	NM_001155       Annexin A6	2.87	0.00407
ZNF187	NM_152736       Zinc finger protein 187	2.87	0.00355
GABARAPL2	NM_007285       GABA(A) receptor-associated protein-like 2	2.87	0.00195
ZNF600	NM_198457       Zinc finger protein 600	2.87	0.00344
GTF2E1	NM_005513       General transcription factor IIE, polypeptide 1, alpha 56kDa	2.87	0.00913
TTRAP	NM_016614       TRAF and TNF receptor associated protein	2.86	0.00435
MDK	NM_002391       Midkine (neurite growth-promoting factor 2)	2.86	0.0026
DNCL1	NM_003746       Dynein, light chain, LC8-type 1	2.85	0.00165
PDZK7	NM_024895       PDZ domain containing 7	2.85	4.62E-05
ACTR6	NM_022496       ARP6 actin-related protein 6 homolog (yeast)	2.85	0.00769
TPR	NM_003292       Translocated promoter region (to activated MET oncogene)	2.85	0.000983
CHES1	NM_005197       Forkhead box N3	2.85	0.00418
ACVR1	NM_001105       Activin A receptor, type I	2.84	0.0116
ROCK2	NM_004850       Rho-associated, coiled-coil containing protein kinase 2	2.84	0.00149
ADK	NM_001123       Adenosine kinase	2.83	0.00673
PDCL	NM_005388       Phosducin-like	2.83	0.00456
CCT6B	NM_006584       Chaperonin containing TCP1, subunit 6B (zeta 2)	2.83	0.00722
HOXC5	NM_018953       Homeobox C4	2.83	0.0123
STAG2	NM_006603       Stromal antigen 2	2.83	0.0061
C1D	NM_006333       Nuclear DNA-binding protein	2.82	0.00277
TBCE	NM_003193       Tubulin folding cofactor E	2.82	0.00389
COPS4	NM_016129       COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	2.82	0.00102
EIF4G3	NM_003760       Eukaryotic translation initiation factor 4 gamma, 3	2.82	0.00808
CSTB	NM_000100       Cystatin B (stefin B)	2.82	0.00158
POLR2A	NM_000937       Polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	2.81	0.00226
ORC3L	NM_181837       Origin recognition complex, subunit 3-like (yeast)	2.81	0.00223
C6orf97	NM_025059       Chromosome 6 open reading frame 97	2.81	0.0135
BC054888	BC054888         LSM14B, SCD6 homolog B (S. cerevisiae)	2.81	0.00508
NEUGRIN	NM_016645       Neugrin, neurite outgrowth associated	2.8	0.00951
MAP1LC3B	NM_022818       Microtubule-associated protein 1 light chain 3 beta	2.8	0.00392
PLRG1	NM_002669       Pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)	2.8	0.00863
CBX3	NM_016587       Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	2.8	0.00259
FLJ10154	NM_018011       Arginine and glutamate rich 1	2.79	0.00114
CENTD3	NM_022481       Centaurin, delta 3	2.79	0.00645
RKHD2	NM_016626       Mex-3 homolog C (C. elegans)	2.79	0.00196
CGI-09	NM_015939       TRNA methyltransferase 6 homolog (S. cerevisiae)	2.79	0.0106
FBXL7	NM_012304       F-box and leucine-rich repeat protein 7	2.79	0.013
CPSF2	NM_017437       Cleavage and polyadenylation specific factor 2, 100kDa	2.79	0.0103
ARMCX1	NM_016608       Armadillo repeat containing, X-linked 1	2.78	0.0118
SGCB	NM_000232       Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	2.78	0.00138
DDB2	NM_000107       Damage-specific DNA binding protein 2, 48kDa	2.78	0.00361
DVL2	NM_004422       Dishevelled, dsh homolog 2 (Drosophila)	2.78	0.0083
ASCC3	NM_006828       Activating signal cointegrator 1 complex subunit 3	2.77	0.00345
NDUFA5	NM_005000       NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	2.77	0.00172
PTCD2	NM_024754       Pentatricopeptide repeat domain 2	2.77	0.000268
DHFR	NM_000791       Dihydrofolate reductase	2.77	6.40E-06
YWHAZ	NM_145690       Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	2.77	0.0076
SPTLC1	NM_006415       Serine palmitoyltransferase, long chain base subunit 1	2.76	0.00277
ALS2CR7	NM_139158       PFTAIRE protein kinase 2	2.76	0.0094
NIFUN	NM_014301       Iron-sulfur cluster scaffold homolog (E. coli)	2.75	0.00368
SFRS5	NM_006925       Splicing factor, arginine/serine-rich 5	2.75	0.00646
ZFR	NM_016107       Zinc finger RNA binding protein	2.75	0.00448
ZNF230	NM_006300       Zinc finger protein 230	2.75	0.00634
SLC25A24	NM_013386       Solute carrier family 25, member 24	2.74	0.00788
KIAA1166	NM_018684       KIAA1166	2.73	0.00184
C20orf43	NM_016407       Chromosome 20 open reading frame 43	2.73	0.00151
FMNL2	NM_001004417    formin-like 2	2.73	0.0141
DNM1L	NM_012062       Dynamin 1-like	2.73	0.0102
MCP	NM_002389       CD46 molecule, complement regulatory protein	2.73	0.0126
MAP3K7IP2	NM_145342      mitogen-activated protein kinase kinase kinase 7 interacting protein 2	2.72	0.0109
XRCC5	NM_021141       X-ray repair complementing defective repair in Chinese hamster cells 5	2.72	0.00225
C20orf19	NM_018474       Chromosome 20 open reading frame 19	2.72	0.00511
ZNF3	NM_032924       Zinc finger protein 3	2.72	0.0101
FNTB	NM_002028       Farnesyltransferase, CAAX box, beta	2.71	0.00196
LUC7L	NM_018032       LUC7-like (S. cerevisiae)	2.71	0.00484
POLB	NM_002690       Polymerase (DNA directed), beta	2.71	0.00925
PPHLN1	NM_201515       Periphilin 1	2.71	0.00345
CHST11	NM_018413       Carbohydrate (chondroitin 4) sulfotransferase 11	2.71	0.00449
TRIM4	NM_033017       Tripartite motif-containing 4	2.7	0.00978
SLC17A5	NM_012434       Solute carrier family 17 (anion/sugar transporter), member 5	2.7	0.0108
RAP140	NM_015224       Chromosome 3 open reading frame 63	2.7	0.00689
EFTUD1	NM_024580       Elongation factor Tu GTP binding domain containing 1	2.69	0.00328
WDR7	NM_015285       WD repeat domain 7	2.69	0.00369
FAM49B	NM_016623       Family with sequence similarity 49, member B	2.69	0.0117
ASB3	NM_016115       Ankyrin repeat and SOCS box-containing 3	2.69	0.00452
raptor	NM_020761       Raptor	2.69	0.00872
PPIL4	NM_139126       Peptidylprolyl isomerase (cyclophilin)-like 4	2.69	0.00591
C13orf24	NM_006346       Progesterone immunomodulatory binding factor 1	2.68	0.0029
BECN1	NM_003766       Beclin 1, autophagy related	2.68	0.00223
NFIA	NM_005595       Nuclear factor I/A	2.68	0.00107
SAS10	NM_020368       UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	2.68	0.00537
RNF139	NM_007218       Ring finger protein 139	2.67	0.00539
CGI-51	NM_015380       Sorting and assembly machinery component 50 homolog (S. cerevisiae)	2.67	0.00559
C10orf78	NM_145247       Chromosome 10 open reading frame 78	2.67	0.00645
NKTR	NM_005385       Natural killer-tumor recognition sequence	2.67	0.00554
DIAPH2	NM_006729       Diaphanous homolog 2 (Drosophila)	2.66	0.00491
SNURF	NM_005678       Small nuclear ribonucleoprotein polypeptide N	2.66	0.0023
SLC39A6	NM_012319       Solute carrier family 39 (zinc transporter), member 6	2.66	0.00739
NDUFA8	NM_014222       NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	2.66	0.00354
MAGED2	NM_201222       Melanoma antigen family D, 2	2.66	0.0107
POLI	NM_007195       Polymerase (DNA directed) iota	2.65	0.00361
TGIF	NM_170695       TGFB-induced factor homeobox 1	2.65	0.0104
DACH1	NM_080759       Dachshund homolog 1 (Drosophila)	2.65	0.00095
PPFIBP2	NM_003621       PTPRF interacting protein, binding protein 2 (liprin beta 2)	2.65	0.01
MSL3L1	NM_078629       Male-specific lethal 3-like 1 (Drosophila)	2.65	0.00864
ZNF278	NM_014323       POZ (BTB) and AT hook containing zinc finger 1	2.64	0.00524
ATF7IP2	NM_024997       Activating transcription factor 7 interacting protein 2	2.64	0.00125
GC20	NM_005875       Eukaryotic translation initiation factor 1B	2.64	0.00147
C9orf42	NM_138333       Family with sequence similarity 122A	2.64	0.00738
PEPD	NM_000285       Peptidase D	2.64	0.00929
CNOT8	NM_004779       CCR4-NOT transcription complex, subunit 8	2.63	0.00764
CETN2	NM_004344       Centrin, EF-hand protein, 2	2.63	0.0136
TRIM2	NM_015271       Tripartite motif-containing 2	2.63	0.00816
PPARA	NM_001001930    peroxisome proliferator-activated receptor alpha	2.63	0.00449
CDKN1C	NM_000076       Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	2.63	0.00286
HNRPH3	NM_012207       Heterogeneous nuclear ribonucleoprotein H3 (2H9)	2.63	0.00263
GPR172A	NM_024531       G protein-coupled receptor 172A	2.62	0.000859
TARSL2	NM_152334       Threonyl-tRNA synthetase-like 2	2.61	0.016
RP42	NM_020640       DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	2.61	0.000971
RANBP3	NM_003624       RAN binding protein 3	2.61	0.003
NIPSNAP1	NM_003634       Nipsnap homolog 1 (C. elegans)	2.6	0.00752
FLJ90013	NM_153365       Transmembrane anterior posterior transformation 1	2.6	0.00627
NPD014	NM_020317       Chromosome 1 open reading frame 63	2.6	0.00413
PCBP4	NM_020418       Poly(rC) binding protein 4	2.6	0.0117
HMGB1	NM_002128       High-mobility group box 1	2.59	0.00383
HDAC2	NM_001527       Histone deacetylase 2	2.59	0.00986
HPGD	NM_000860       Hydroxyprostaglandin dehydrogenase 15-(NAD)	2.59	0.00565
RNF7	NM_183063       ring finger protein 7	2.59	0.00255
PLCE1	NM_016341       Phospholipase C, epsilon 1	2.59	0.00311
NDUFA5	NM_005000       NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	2.59	0.00616
CTNNA1	NM_001903       Catenin (cadherin-associated protein), alpha 1, 102kDa	2.58	0.00176
AE2	NM_032264       Neuroblastoma breakpoint family, member 3	2.58	0.0069
ZNF207	NM_003457       Zinc finger protein 207	2.58	0.00746
GALNT3	NM_004482       UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	2.58	0.000865
MSI2	NM_170721       Musashi homolog 2 (Drosophila)	2.58	0.0116
C10orf97	NM_024948       Chromosome 10 open reading frame 97	2.58	0.012
RCD-8	NM_014329       Enhancer of mRNA decapping 4	2.58	0.00137
SUPV3L1	NM_003171       Suppressor of var1, 3-like 1 (S. cerevisiae)	2.58	0.000306
AF1Q	NM_006818       Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	2.58	0.00397
ARPP-19	NM_006628       Cyclic AMP phosphoprotein, 19 kD	2.57	0.00643
CSNK1A1L	NM_145203       Casein kinase 1, alpha 1-like	2.57	0.00134
FLJ23263	NM_025115       Chromosome 8 open reading frame 41	2.57	0.00305
DYM	NM_017653       Dymeclin	2.56	0.00585
MCM3	NM_002388       Minichromosome maintenance complex component 3	2.56	0.00755
MAP4K5	NM_198794       Mitogen-activated protein kinase kinase kinase kinase 5	2.56	0.0128
IMPA3	NM_017813       Inositol monophosphatase domain containing 1	2.56	0.0147
HRB2	NM_007043       KRR1, small subunit (SSU) processome component, homolog (yeast)	2.56	0.00167
HSPCA	NM_005348       Heat shock protein 90kDa alpha (cytosolic), class A member 1	2.55	0.00678
ch-TOG	NM_014756       Cytoskeleton associated protein 5	2.55	0.011
PAX4	NM_006193       Paired box 4	2.55	0.00163
USP1	NM_003368       Ubiquitin specific peptidase 1	2.55	0.00387
