GO ID	Go Term	p-value	Probe Set ID	Gene Symbol	Fold Change	Gene Title
GO:0006350	transcription	0.0413	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0006350	transcription	0.0413	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0006350	transcription	0.0413	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0006350	transcription	0.0413	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0006350	transcription	0.0413	209388_at	PAPOLA	1.36	poly(A) polymerase alpha
GO:0006350	transcription	0.0413	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0006350	transcription	0.0413	218968_s_at	ZFP64	1.37	zinc finger protein 64 homolog (mouse)
GO:0006350	transcription	0.0413	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0006350	transcription	0.0413	209332_s_at	MAX	1.63	MAX protein
GO:0045182	translation regulator activity	0.0418	209393_s_at	EIF4EL3	0.84	eukaryotic translation initiation factor 4E-like 3
GO:0008135	translation factor activity, nucleic acid binding	0.0418	209393_s_at	EIF4EL3	0.84	eukaryotic translation initiation factor 4E-like 3
GO:0045182	translation regulator activity	0.0418	213477_x_at	EEF1A1	0.88	eukaryotic translation elongation factor 1 alpha 1
GO:0008135	translation factor activity, nucleic acid binding	0.0418	213477_x_at	EEF1A1	0.88	eukaryotic translation elongation factor 1 alpha 1
GO:0045182	translation regulator activity	0.0418	201025_at	EIF5B	1.46	eukaryotic translation initiation factor 5B
GO:0008135	translation factor activity, nucleic acid binding	0.0418	201025_at	EIF5B	1.46	eukaryotic translation initiation factor 5B
GO:0016192	vesicle-mediated transport	0.0431	209485_s_at	OSBPL1A	0.63	oxysterol binding protein-like 1A
GO:0016192	vesicle-mediated transport	0.0431	203518_at	CHS1	0.82	Chediak-Higashi syndrome 1
GO:0016192	vesicle-mediated transport	0.0431	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0016192	vesicle-mediated transport	0.0431	218763_at	STX18	1.35	syntaxin 18
GO:0016192	vesicle-mediated transport	0.0431	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0006012	galactose metabolism	0.0433	209326_at	SLC35A2	1.17	solute carrier family 35 (UDP-galactose transporter), member A2
GO:0016604	nuclear body	0.0433	202858_at	U2AF1	1.22	U2(RNU2) small nuclear RNA auxiliary factor 1
GO:0045275	respiratory chain complex III	0.0433	207618_s_at	BCS1L	1.28	BCS1-like (yeast)
GO:0005750	respiratory chain complex III (sensu Eukarya)	0.0433	207618_s_at	BCS1L	1.28	BCS1-like (yeast)
GO:0006904	vesicle docking during exocytosis	0.0433	218763_at	STX18	1.35	syntaxin 18
GO:0048278	vesicle docking	0.0433	218763_at	STX18	1.35	syntaxin 18
GO:0008171	O-methyltransferase activity	0.0433	208857_s_at	PCMT1	1.38	protein-L-isoaspartate (D-aspartate) O-methyltransferase
GO:0005521	lamin binding	0.0433	203432_at	TMPO	1.39	thymopoietin
GO:0016895	exodeoxyribonuclease activity, producing 5-phosphomonoesters	0.0433	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0004529	exodeoxyribonuclease activity	0.0433	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0001747	eye morphogenesis (sensu Mammalia)	0.0433	220504_at	KERA	3.75	keratocan
GO:0048048	embryonic eye morphogenesis	0.0433	220504_at	KERA	3.75	keratocan
GO:0043010	eye morphogenesis (sensu Vertebrata)	0.0433	220504_at	KERA	3.75	keratocan
GO:0008081	phosphoric diester hydrolase activity	0.0438	208591_s_at	PDE3B	0.56	phosphodiesterase 3B, cGMP-inhibited
GO:0008081	phosphoric diester hydrolase activity	0.0438	212521_s_at	PDE8A	0.7	phosphodiesterase 8A
GO:0016251	general RNA polymerase II transcription factor activity	0.0474	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0016251	general RNA polymerase II transcription factor activity	0.0474	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
