Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
NM_011906	G protein-coupled receptor 175	Gpr175	-1.7 ± 0.4	N.C.	N.C.	N.C.	1811
NM_013881	Unc-51 like kinase 2 (C. elegans)	Ulk2	-1.6 ± 0.4	N.C.	N.C.	N.C.	1823
NM_021461	MAP kinase-interacting serine/threonine kinase 1	Mknk1	-1.6 ± 0.3	N.C.	N.C.	N.C.	1849
NM_023200	protein phosphatase 1, regulatory (inhibitor) subunit 7	Ppp1r7	-1.5 ± 0.4	N.C.	N.C.	N.C.	1855
NM_026268	dual specificity phosphatase 6	Dusp6	-1.5 ± 0.4	N.C.	N.C.	N.C.	1884
NM_134115	serine/threonine kinase 38	Stk38	-1.6 ± 0.4	N.C.	N.C.	N.C.	1933
BQ176864	protein phosphatase 1, regulatory (inhibitor) subunit 3C	Ppp1r3c	-2.4 ± 0.4	-2.9 ± 0.4	-1.5 ± 0.4	N.C.	999
C79026	A kinase (PRKA) anchor protein (yotiao) 9	Akap9	-2.3 ± 0.6	N.C.	N.C.	N.C.	1003
AU043488	Rho GTPase activating protein 9	Arhgap9	N.C.	N.C.	-1.5 ± 0.4	N.C.	359
AI854225	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	Ppfia2	N.C.	-4.3 ± 0.6	N.C.	N.C.	253
BM238077	TAO kinase 1	Taok1	N.C.	-1.9 ± 0.4	N.C.	N.C.	255
AV102876	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a	Ptpla	N.C.	-1.7 ± 0.4	N.C.	N.C.	262
BB490258	Membrane associated guanylate kinase, WW and PDZ domain containing 1	Magi1	N.C.	-1.8 ± 0.4	N.C.	N.C.	263
BB126042	Protein phosphatase 1B, magnesium dependent, beta isoform	Ppm1b	N.C.	-2.0 ± 0.4	N.C.	N.C.	165
NM_008801	phosphodiesterase 6D, cGMP-specific, rod, delta	Pde6d	-1.9 ± 0.4	N.C.	N.C.	N.C.	51
BB121278	dual specificity phosphatase 16	Dusp16	N.C.	-1.6 ± 0.4	N.C.	N.C.	1
BM199774	Mitogen-activated protein kinase associated protein 1	Mapkap1	-1.8 ± 0.4	N.C.	N.C.	N.C.	2
AK012196	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha	Pip5k2a	N.C.	N.C.	-1.5 ± 0.4	N.C.	5
BG075390	Protein phosphatase 1, regulatory (inhibitor) subunit 12B	AI132431	-1.7 ± 0.4	N.C.	N.C.	N.C.	63
BC027026	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Cdkn2c	-2.3 ± 0.4	N.C.	N.C.	N.C.	121
BC027199	leucine-rich repeat kinase 1	Lrrk1	-1.7 ± 0.4	N.C.	N.C.	N.C.	122
