ProbeSet	GeneSymbol_2008-11-28	GeneDescription_2008-11-28	GeneBank	Mean_Expression	P_Logrank	Contribution_OPI
204213_at	PIGR	polymeric immunoglobulin receptor	NM_002644	434	1.00E-08	-0.033246
210107_at	CLCA1	CLCA family member 1, chloride channel regulator	AF127036	260	2.00E-17	-0.033403
218309_at	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	NM_018584	656	0.0038	-0.033803
217428_s_at	COL10A1	collagen, type X, alpha 1	X98568	534	0.015	-0.033825
206227_at	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	NM_003613	632	0.0051	-0.035003
202998_s_at	ENTPD4 /// LOXL2	ectonucleoside triphosphate diphosphohydrolase 4 /// lysyl oxidase-like 2	NM_002318	705	0.013	-0.036222
211070_x_at	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	BC006466	2532	0.0039	-0.036762
207245_at	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17	NM_001077	212	0.0066	-0.037118
208641_s_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	BC004247	4495	0.0096	-0.03903
202274_at	ACTG2	actin, gamma 2, smooth muscle, enteric	NM_001615	590	0.0073	-0.041395
202831_at	GPX2	glutathione peroxidase 2 (gastrointestinal)	NM_002083	405	2.70E-05	-0.050928
201847_at	LIPA	lipase A, lysosomal acid, cholesterol esterase	NM_000235	1722	0.0043	-0.06133
201669_s_at	MARCKS	myristoylated alanine-rich protein kinase C substrate	NM_002356	2629	0.0037	-0.070565
204351_at	S100P	S100 calcium binding protein P	NM_005980	533	0.00015	-0.073983
204607_at	HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	NM_005518	283	0.0011	-0.074403
203240_at	FCGBP /// LOC100133944	Fc fragment of IgG binding protein /// similar to IgGFc-binding protein precursor (FcgammaBP) (Fcgamma-binding protein antigen)	NM_003890	563	2.00E-08	-0.088776
209173_at	AGR2	anterior gradient homolog 2 (Xenopus laevis)	AF088867	650	7.50E-07	-0.088884
204272_at	LGALS4	lectin, galactoside-binding, soluble, 4	NM_006149	458	5.60E-16	-0.107968
201884_at	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	NM_004363	560	3.10E-18	-0.125705
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	6119	0.018	-0.443804
200801_x_at	ACTB	actin, beta	NM_001101	33768	0.0064	-0.800498
