Function	Gene	Affymetrix Probe Set ID	p-Value	Fold Change	Chromosome Location
metabolism	PGM1	201968_s_at	6.83E-07	-2	1p31
metabolism	KIAA0222	203604_at	2.22E-09	-2	18q23
metabolism	SF1	208313_s_at	9.58E-10	-2	11q13
metabolism	KIAA1530	233893_s_at	1.51E-05	-2	4p16.3
metabolism	EIF3S9	242550_at	7.38E-04	-2	7p22.3
metabolism	ZNF274	232436_at	1.25E-05	-2.1	19qter
metabolism	NDUFB8	214241_at	3.40E-06	-2.1	10q23.2-q23.33
metabolism	MED6	207078_at	1.87E-06	-2.2	14q24.1
metabolism	GALC	204417_at	5.00E-07	-2.2	14q31
metabolism	ALAD	218487_at	1.26E-09	-2.2	9q34
metabolism	RPS2	217466_x_at	2.14E-04	-2.2	16p13.3
metabolism	DKFZP564J157	213517_at	8.41E-07	-2.2	12q12
metabolism	KIAA0427	204303_s_at	2.53E-05	-2.2	18q21.1
metabolism	AF5Q31	232865_at	1.41E-05	-2.2	5q31
metabolism	SULT1A2	207122_x_at	8.68E-10	-2.3	16p12.1
metabolism	retSDR4	210788_s_at	3.58E-09	-2.3	14q23.1
metabolism	SFPQ	221768_at	2.32E-08	-2.3	1p34.3
metabolism	HOXD4	205522_at	1.61E-05	-2.3	2q31.1
metabolism	P4HA2	1568611_at	1.33E-08	-2.3	5q31
metabolism	NCOR1	217152_at	2.45E-05	-2.4	17p11.2
metabolism	ADAMTS18	230040_at	1.42E-05	-2.4	16q23
metabolism	RNASEL	229285_at	6.13E-05	-2.5	1q25
metabolism	CPVL	208146_s_at	1.21E-08	-2.5	7p15-p14
metabolism	CYBRD1	222453_at	7.23E-04	-2.5	2q31.1
metabolism	KLF2	219371_s_at	4.20E-04	-2.5	19p13.13-p13.11
metabolism	HMOX1	203665_at	4.56E-09	-2.5	22q12
metabolism	FLJ31295	226509_at	3.07E-09	-2.5	12q13.12
metabolism	FLJ10826	241739_at	4.50E-05	-2.5	16q13
metabolism	C22orf4	210144_at	1.27E-04	-2.5	22q13.3
metabolism	ID1	208937_s_at	2.09E-06	-2.6	20q11
metabolism	GTF2A2	243985_at	2.34E-05	-2.6	15q21.3
metabolism	ALDH3B1	205640_at	1.54E-04	-2.7	11q13
metabolism	MEIS2	207480_s_at	1.37E-07	-2.7	15q13.3
metabolism	SULT1A1	203615_x_at	1.53E-19	-2.7	16p12.1
metabolism	CPT1B	204193_at	6.46E-06	-2.8	22q13.33
metabolism	FLJ20043	230722_at	3.85E-09	-2.8	9p22.2
metabolism	TRA2A	213593_s_at	1.24E-07	-2.9	7p15.3
metabolism	ZFPM2	219778_at	1.17E-07	-2.9	8q23
metabolism	DPP4	203717_at	2.14E-07	-3	2q24.3
metabolism	NA	201581_at	4.02E-04	-3	20p12
metabolism	ALDH1A1	212224_at	2.80E-05	-3.2	9q21.13
metabolism	GSTM5	205752_s_at	3.90E-10	-3.2	1p13.3
metabolism	TM4SF7	209264_s_at	9.45E-07	-3.2	11p15.5
metabolism	APOBEC3A	210873_x_at	3.31E-04	-3.2	22q13.1-q13.2
metabolism	DKFZp761G058	235061_at	1.37E-04	-3.4	4q22.1
metabolism	FBP1	209696_at	9.46E-04	-3.7	9q22.3
metabolism	KIAA1055	212796_s_at	3.39E-06	-3.8	15q24.1
metabolism	SLC9A3R1	201349_at	9.39E-05	-3.9	17q25.2
metabolism	RNH	206050_s_at	4.91E-05	-4	11p15.5
metabolism	C20orf155	241741_at	1.51E-05	-4	20p13-p12.3
metabolism	TGM1	206008_at	3.55E-05	-4.8	14q11.2
metabolism	KLK11	205470_s_at	2.32E-08	-5.5	19q13.3-q13.4
metabolism	HSD11B1	205404_at	9.19E-10	-5.6	1q32-q41
morphogenesis	EVA1	203780_at	2.12E-04	13.2	11q24
morphogenesis	F2R	203989_x_at	6.42E-08	5.8	5q13
morphogenesis	KLK7	239381_at	1.85E-05	5.4	19q13.41
morphogenesis	MCAM	211340_s_at	4.04E-10	5.3	11q23.3
morphogenesis	FGF18	231382_at	1.01E-10	3.8	5q34
morphogenesis	CACNA1A	214933_at	2.78E-09	3.3	19p13.2-p13.1
morphogenesis	FRZB	203697_at	6.03E-04	2.9	2qter
morphogenesis	SOX9	202935_s_at	2.44E-07	2.7	17q24.3-q25.1
morphogenesis	BMPR2	238516_at	1.08E-10	2.6	2q33-q34
morphogenesis	PTN	211737_x_at	3.53E-04	2.6	7q33-q34
morphogenesis	TPD52	201690_s_at	2.02E-06	2.5	8q21
morphogenesis	KLK5	222242_s_at	2.13E-04	2.4	19q13.3-q13.4
morphogenesis	HES1	203395_s_at	9.38E-04	2.4	3q28-q29
morphogenesis	C11orf8	205413_at	4.97E-06	2.3	11p13
morphogenesis	BMP7	209591_s_at	9.25E-04	2	20q13
morphogenesis	PCDHB10	223854_at	6.83E-06	1.9	5q31
morphogenesis	EFNB2	202668_at	2.13E-05	1.9	13q33
morphogenesis	LAMC1	200771_at	1.09E-06	1.6	1q31
morphogenesis	RPL10A	229563_s_at	4.43E-06	-1.5	6p21.3-p21.2
morphogenesis	HAND1	220138_at	3.56E-04	-1.5	5q33
morphogenesis	MAFB	222670_s_at	2.58E-05	-1.6	20q11.2-q13.1
morphogenesis	DPYSL3	201431_s_at	8.49E-04	-1.7	5q32
morphogenesis	ADARB1	203865_s_at	2.64E-04	-1.7	21q22.3
morphogenesis	SNCA	204466_s_at	7.56E-05	-1.9	4q21
morphogenesis	PCDHA3	210674_s_at	4.44E-05	-2	5q31
morphogenesis	GYPC	202947_s_at	5.01E-06	-2.4	2q14-q21
morphogenesis	DPYSL2	200762_at	9.64E-09	-2.5	8p22-p21
morphogenesis	TPM2	204083_s_at	1.10E-04	-2.5	9p13.2-p13.1
morphogenesis	PMP22	210139_s_at	2.18E-05	-2.6	17p12-p11.2
morphogenesis	CALD1	215198_s_at	3.97E-06	-2.7	7q33
morphogenesis	GHR	205498_at	2.38E-05	-2.8	5p13-p12
morphogenesis	CLN2	214196_s_at	9.10E-11	-3.1	11p15
morphogenesis	MGP	202291_s_at	1.03E-04	-3.3	12p13.1-p12.3
morphogenesis	CUGBP2	202156_s_at	2.29E-08	-3.6	10p13
morphogenesis	PKD2	203688_at	6.13E-14	-3.6	4q21-q23
morphogenesis	SEMA3D	215643_at	1.90E-09	-3.7	7q21.12
morphogenesis	SPRY1	230212_at	1.78E-11	-3.7	4q28.1
morphogenesis	PAPSS2	203058_s_at	3.31E-10	-3.9	10q23-q24
morphogenesis	GATA6	210002_at	1.74E-08	-3.9	18q11.1-q11.2
morphogenesis	DCN	211896_s_at	3.74E-04	-4.2	12q13.2
morphogenesis	IGFBP4	201508_at	2.32E-09	-4.2	17q12-q21.1
morphogenesis	SPOCK	202363_at	5.69E-04	-4.6	5q31
morphogenesis	BNC	1552487_a_at	3.27E-07	-23.5	15q25.1
oncogenesis	FGFR1OP	205588_s_at	2.52E-16	2.6	6q27
oncogenesis	TFDP2	244043_at	8.84E-04	1.7	3q23
oncogenesis	AKAP13	221718_s_at	4.07E-04	-1.6	15q24-q25
oncogenesis	CTDSP2	208735_s_at	1.04E-07	-1.6	12q13-q15
oncogenesis	CDK10	210622_x_at	2.07E-04	-2	16q24
oncogenesis	BCR	226602_s_at	1.72E-11	-2.1	22q11
oncogenesis	TPD52L1	203786_s_at	7.67E-04	-3.2	6q22-q23
oncogenesis	ALDH1A2	207016_s_at	2.98E-11	-12.7	15q21.2
oncogenesis	ANXA8	203074_at	5.56E-13	-34.4	10q11.2
organogenesis	LR8	220532_s_at	2.60E-06	-3.3	7q36.1
pathogenesis	C19orf2	211563_s_at	5.54E-06	1.8	19q12
pathogenesis	USP7	222032_s_at	9.15E-06	-1.6	16p13.3
pregnancy	TRO	211700_s_at	6.93E-06	-2	Xp11.22-p11.21
reproduction	RUVBL1	201613_s_at	4.57E-11	-2.4	3q21
response to external stimulus	CD24	216379_x_at	4.30E-10	56.2	6q21
response to external stimulus	CCL28	224240_s_at	7.26E-04	3.6	5p12
response to external stimulus	CKLFSF8	235099_at	3.74E-10	3.5	3p22.3
response to external stimulus	SORD	201563_at	1.21E-04	2.1	15q15.3
response to external stimulus	GATA3	209604_s_at	6.95E-04	2	10p15
response to external stimulus	NDUFB9	222992_s_at	1.78E-07	1.8	8q13.3
response to external stimulus	D2S448	212013_at	7.17E-04	1.8	2pter-p25.1
response to external stimulus	G1P3	204415_at	2.69E-04	1.6	1p35
response to external stimulus	CD2BP2	202257_s_at	5.09E-05	-1.7	16p12.1
response to external stimulus	MSRA	219281_at	8.75E-04	-1.8	8p23.1
response to external stimulus	IFITM3	212203_x_at	2.19E-12	-1.8	11p15.5
response to external stimulus	SEPP1	201427_s_at	3.17E-06	-2	5q31
response to external stimulus	KIAA0877	212792_at	6.01E-12	-2	7p14.3-p14.2
response to external stimulus	CKLFSF3	224733_at	2.79E-07	-2.1	16q22.1
response to external stimulus	PSMB9	204279_at	3.44E-05	-2.1	6p21.3
response to external stimulus	HLA-G	211528_x_at	7.09E-05	-2.1	6p21.3
response to external stimulus	HLA-F	221875_x_at	2.39E-04	-2.2	6p21.3
response to external stimulus	HLA-B	208729_x_at	2.04E-05	-2.2	6p21.3
response to external stimulus	HLA-C	211799_x_at	6.13E-06	-2.2	6p21.3
response to external stimulus	IFI35	209417_s_at	4.24E-07	-2.2	17q21
response to external stimulus	IFITM2	201315_x_at	3.07E-12	-2.5	11p15.5
response to external stimulus	CKLFSF4	225009_at	5.06E-09	-2.5	16q22.1
response to external stimulus	HF1	213800_at	3.52E-06	-2.8	1q32
response to external stimulus	SERPING1	200986_at	1.42E-14	-4	11q12-q13.1
response to external stimulus	DFNA5	203695_s_at	1.09E-05	-6.8	7p15
response to external stimulus	EFEMP1	201843_s_at	2.09E-05	-8.4	2p16
response to external stimulus	MNDA	204959_at	1.77E-04	-8.8	1q22
rhythmic behavior	HEBP1	218450_at	1.18E-04	-2.1	12p13.2
small molecule transport	SLC19A2	209681_at	4.84E-04	2.9	1q23.3
Unknown	TACSTD1	201839_s_at	6.42E-04	38.9	2p21
Unknown	HPS3	227253_at	1.88E-10	18.7	3q24
Unknown	Unknown	227140_at	6.97E-11	6.3
Unknown	HSPC195	224516_s_at	3.46E-08	6.2	5q31.3
Unknown	Unknown	228692_at	3.55E-08	5.6
Unknown	KIAA0186	206102_at	3.36E-17	5.5	20p11.21
Unknown	SPON1	213994_s_at	2.04E-04	4.8	11p15.2
Unknown	FLJ20171	225846_at	1.66E-04	4.5	8q22.1
Unknown	AP1S2	228415_at	8.96E-05	4.5	Xp22.31
Unknown	LRIG1	211596_s_at	3.11E-14	4.5	3
Unknown	LTBP1	202729_s_at	2.95E-04	4.3	2p22-p21
Unknown	MGC13057	228195_at	6.28E-10	4.3	2q32.3
Unknown	SLC39A4	219215_s_at	4.04E-13	4.3	8q24.3
Unknown	DUFD1	228069_at	4.89E-14	4.3	6q23.2
Unknown	MUC1	207847_s_at	1.70E-05	4.1	1q21
Unknown	Unknown	241879_at	2.28E-04	4.1
Unknown	SORT1	212807_s_at	1.84E-11	4	1p21.3-p13.1
Unknown	RINZF	219312_s_at	2.64E-06	4	8q13-q21.1
Unknown	FLJ13782	219388_at	4.17E-04	3.7	8q22.3
Unknown	Unknown	226245_at	7.21E-04	3.7	18q12.1
Unknown	Unknown	214803_at	6.04E-04	3.7
Unknown	Unknown	235456_at	3.03E-09	3.6	6
Unknown	Unknown	244241_x_at	3.91E-07	3.6
Unknown	Unknown	218829_s_at	1.25E-05	3.5
Unknown	EBF	227646_at	1.99E-07	3.5	5q34
Unknown	C1QTNF3	220988_s_at	3.88E-06	3.5	5p13-p12
Unknown	KIAA1505	227091_at	3.20E-05	3.4	7p12.3
Unknown	GPR64	206002_at	7.79E-04	3.4	Xp22.22
Unknown	DKFZp762F0713	242592_at	2.39E-05	3.2	14q22.1
Unknown	SNTB1	226438_at	1.21E-04	3.2	8q23-q24
Unknown	FLJ20059	221986_s_at	2.28E-14	3.2	3q27.3
Unknown	HMGB3	203744_at	9.94E-13	3.2	Xq28
Unknown	BARD1	227545_at	4.82E-05	3.2	2q34-q35
Unknown	MAL2	224650_at	7.08E-06	3.1	8
Unknown	Unknown	242680_at	1.25E-04	3.1	12
Unknown	LOC93273	229927_at	6.48E-04	3.1	1q32.1
Unknown	MCM8	224320_s_at	2.98E-04	3	20p12.3
Unknown	JAG1	209099_x_at	3.31E-07	3	20p12.1-p11.23
Unknown	FLJ37927	240161_s_at	2.43E-04	3	5q11.2
Unknown	TSBF1	227801_at	2.52E-05	3	3q26.1
Unknown	SIL	205339_at	3.68E-10	2.9	1q32
Unknown	C20orf45	217851_s_at	1.04E-04	2.9	20q13.32
Unknown	Unknown	242346_x_at	1.65E-10	2.9
Unknown	Unknown	1563461_at	5.07E-08	2.8
Unknown	RAB3IP	223471_at	3.84E-05	2.8	12
Unknown	LOC91120	242915_at	1.67E-06	2.8	19p13.11
Unknown	NSE1	225667_s_at	1.44E-05	2.7	2p25.1
Unknown	FLJ13946	213679_at	9.40E-10	2.7	2q31.3
Unknown	KLIP1	218883_s_at	2.62E-04	2.7	4q35.1
Unknown	KIAA1509	227228_s_at	4.52E-11	2.7	14q32.12
Unknown	HS6ST1	225263_at	9.83E-10	2.6	2q21
Unknown	Unknown	228799_at	2.99E-06	2.6	3
Unknown	FLJ32798	238778_at	1.83E-12	2.6	10p12.1
Unknown	FLJ10773	217820_s_at	1.86E-13	2.6	1q41
Unknown	CKB	200884_at	1.33E-09	2.6	14q32
Unknown	ELOVL6	204256_at	1.03E-05	2.6	4q25
Unknown	PLEKHF2	218640_s_at	3.06E-08	2.6	8q22.1
Unknown	Unknown	226777_at	2.14E-05	2.6
Unknown	ALS2CR4	1553956_at	3.08E-04	2.5	2
Unknown	C21orf45	228597_at	7.78E-10	2.5	21q22.11
Unknown	FMO2	211726_s_at	3.29E-07	2.5	1q23-q25
Unknown	HIST1H2AC	215071_s_at	2.97E-09	2.5	6p21.3
Unknown	Unknown	225578_at	7.40E-13	2.5
Unknown	Unknown	227126_at	1.85E-05	2.5
Unknown	Unknown	214058_at	6.95E-05	2.5
Unknown	SYTL2	232914_s_at	3.33E-12	2.5	11q14
Unknown	Unknown	1558750_a_at	1.25E-09	2.5
Unknown	Unknown	229886_at	4.89E-14	2.4	5p12
Unknown	Unknown	242228_at	3.73E-05	2.4	12
Unknown	KIAA1524	231855_at	3.47E-04	2.4	3q13.13
Unknown	BSPRY	222746_s_at	1.28E-05	2.4	9q33.1
Unknown	ZNF92	235170_at	3.18E-08	2.4	7q11.21
Unknown	BTBD3	202946_s_at	5.47E-13	2.4	20p12.1
Unknown	HSPC056	219094_at	1.22E-05	2.4	3q22.3
Unknown	DKFZP564I0422	230380_at	9.60E-07	2.4	12q15
Unknown	ARHCL1	212686_at	7.51E-07	2.4	12q14.1
Unknown	IRF2BP2	224572_s_at	2.58E-04	2.4	1q42.3
Unknown	FRABIN	230559_x_at	1.75E-09	2.4	12p11.22-p11.21
Unknown	MGC17791	227420_at	2.91E-04	2.4	19p13.3
Unknown	Unknown	212920_at	2.95E-04	2.3
Unknown	Unknown	236335_at	2.15E-08	2.3	11
Unknown	Unknown	225062_at	3.05E-10	2.3	Un
Unknown	Unknown	224785_at	3.57E-05	2.3
Unknown	OXR1	218197_s_at	5.88E-09	2.3	8q23
Unknown	MGC27277	242283_at	3.44E-04	2.3	1q42.13
Unknown	MGC2594	218260_at	1.47E-08	2.3	19p13.12
Unknown	FLJ21168	228026_at	1.13E-10	2.3	1p13.1
Unknown	EPC1	238633_at	4.85E-08	2.3	10p11
Unknown	BITE	224150_s_at	3.00E-13	2.3	3q22-q23
Unknown	FLJ14297	228029_at	3.98E-05	2.3	4p16.3
Unknown	BHLHB5	228636_at	7.14E-06	2.3	8q13
Unknown	LOC196051	236044_at	5.28E-05	2.3	10q26.13
Unknown	DKFZp547A023	226000_at	2.22E-05	2.3	1p13.2
Unknown	PPP2R5C	1554365_a_at	3.66E-04	2.2	14q32
Unknown	FLJ20060	218602_s_at	8.16E-04	2.2	9p22.1
Unknown	PAIP1	208051_s_at	5.28E-05	2.2	5p12
Unknown	MAGEF1	218176_at	2.07E-04	2.2	3q13
Unknown	TERA	220147_s_at	3.72E-05	2.2	12p11
Unknown	SCRIB	212556_at	7.22E-06	2.2	8q24.3
Unknown	FLJ23027	229940_at	4.76E-14	2.2	14q32.32
Unknown	Unknown	235736_at	3.87E-04	2.2
Unknown	HINT3	228697_at	9.00E-07	2.2	6q22.33
Unknown	Unknown	238493_at	2.71E-04	2.2
Unknown	Unknown	225046_at	2.70E-04	2.2	Un
Unknown	DC13	218447_at	7.57E-04	2.2	16q23.2
Unknown	C21orf91	226109_at	3.46E-10	2.2	21q21.1
Unknown	HDGFRP3	209524_at	2.47E-07	2.2	15q11.2
Unknown	Unknown	231882_at	8.52E-10	2.1
Unknown	GYLTL1B	227829_at	1.52E-05	2.1	11p11.2
Unknown	TUBA1	212242_at	1.33E-04	2.1	2q36.1
Unknown	MRS2L	218538_s_at	1.93E-04	2.1	6p22.3-p22.1
Unknown	FLJ23790	226294_x_at	9.34E-06	2.1	8q24.13
Unknown	FLJ13105	238762_at	1.27E-05	2.1	4q21.21
Unknown	Unknown	1555888_at	5.31E-04	2.1	8
Unknown	ANP32E	221505_at	9.65E-05	2.1	1q21.3
Unknown	Unknown	236856_x_at	1.30E-06	2.1
Unknown	Unknown	238449_at	1.82E-04	2.1	16p12.3
Unknown	PTBP2	1554614_a_at	1.15E-04	2.1	1p22.1-p21.3
Unknown	DDEF2	206414_s_at	2.63E-05	2.1	2p25
Unknown	ACN9	218981_at	2.65E-07	2.1	7q22.1
Unknown	DDA3	201896_s_at	1.39E-08	2.1	1p13.1
Unknown	PPP2R3A	209633_at	2.98E-08	2.1	3q22.1
Unknown	Unknown	244139_s_at	7.37E-12	2.1
Unknown	LRP6	225745_at	3.08E-04	2.1	12p11-p13
Unknown	MGC3038	226914_at	3.78E-04	2	9q34.11
Unknown	Unknown	224723_x_at	3.46E-07	2
Unknown	Unknown	236915_at	4.92E-04	2
Unknown	LOC284018	226901_at	9.58E-10	2	17q24.3
Unknown	PIGC	202846_s_at	3.60E-05	2	1q23-q25
Unknown	FLJ10849	214293_at	2.34E-05	2	4q21.22
Unknown	FLJ31614	1553185_at	5.47E-05	2	9q21.33
Unknown	MAP3K2	227073_at	9.94E-06	2	2q21.1
Unknown	Unknown	235587_at	1.28E-05	2
Unknown	MGC40214	235509_at	5.52E-05	2	8q22.1
Unknown	LOC51319	1555501_s_at	1.19E-04	2	3q25.32
Unknown	TMPO	203432_at	8.32E-04	2	12q22
Unknown	FLJ11011	222656_at	3.66E-05	2	8q13.3
Unknown	FLJ22843	220591_s_at	5.18E-05	2	Xp11.4
Unknown	FLJ38973	238974_at	2.60E-04	2	2q33.1
Unknown	CSRP2BP	228543_at	2.36E-08	2	20p11.23
Unknown	CBLL1	220018_at	1.95E-04	2	7q22.3
Unknown	Unknown	242016_at	1.40E-05	2	19q13.13
Unknown	LOC200933	225099_at	5.84E-06	2	3q29
Unknown	DHFR	202534_x_at	2.76E-09	1.9	5q11.2-q13.2
Unknown	KIAA0779	213349_at	9.06E-08	1.9	3q21.3
Unknown	MGC14151	225441_x_at	3.56E-07	1.9	17p13.2
Unknown	zizimin1	212538_at	8.38E-07	1.9	13q32.3
Unknown	FLJ11151	218610_s_at	4.96E-04	1.9	16p13.13
Unknown	Unknown	225001_at	1.62E-05	1.9	19
Unknown	SIAHBP1	209899_s_at	6.36E-11	1.9	8q24.2-qtel
Unknown	FLJ14082	206659_at	7.93E-04	1.9	2q11.2
Unknown	LOC348235	225686_at	6.44E-04	1.9	17q23.2
Unknown	LBR	201795_at	3.95E-04	1.9	1q42.1
Unknown	FLJ11773	218214_at	2.37E-04	1.9	12q13.13
Unknown	HSNOV1	218826_at	1.26E-04	1.9	11q23.1
Unknown	PELI1	232213_at	2.22E-04	1.9	2p13.3
Unknown	VANGL2	226029_at	2.52E-04	1.9	1q22-q23
Unknown	Unknown	213929_at	2.74E-05	1.9
Unknown	Unknown	233614_at	2.76E-05	1.9
Unknown	Unknown	1567862_at	6.89E-04	1.9	1q42.13
Unknown	ZRF1	213097_s_at	1.02E-05	1.9	7q22-q32
Unknown	PHIP	212542_s_at	4.51E-11	1.9	6q14
Unknown	DBN1	202806_at	2.45E-04	1.9	5q35.3
Unknown	RNF138	218738_s_at	5.02E-05	1.9	18q12.1
Unknown	Unknown	238604_at	9.88E-04	1.9
Unknown	STRBP	223245_at	3.39E-04	1.9	9q33.3
Unknown	C6orf182	1554019_s_at	6.01E-05	1.8	6q21
Unknown	DKFZP564O0463	231784_s_at	1.86E-04	1.8	8q22.3
Unknown	Unknown	243405_at	4.86E-07	1.8
Unknown	FLJ11275	223764_x_at	1.29E-04	1.8	9q31.3
Unknown	LOC84661	224129_s_at	3.92E-05	1.8	2p23.2
Unknown	PLEKHG1	226122_at	5.22E-08	1.8	6q25.1
Unknown	FLJ12750	221704_s_at	1.43E-04	1.8	12q24.31
Unknown	SEC10L1	225084_at	4.25E-10	1.8	14q22.3
Unknown	KIN	205664_at	8.30E-07	1.8	10p15-p14
Unknown	LOC253782	235463_s_at	7.70E-07	1.8	2q31.1
Unknown	DKFZP434J214	212665_at	4.34E-04	1.8	3q25.31
Unknown	FLJ10074	224961_at	8.51E-05	1.8	12q23.3
Unknown	H2AFJ	224301_x_at	3.60E-05	1.8	12p12
Unknown	PDE4DIP	209700_x_at	5.20E-05	1.8	1q12
Unknown	ROD1	214698_at	3.00E-04	1.8	9q33.1
Unknown	WBSCR22	207628_s_at	2.92E-04	1.8	7
Unknown	MPHOSPH1	205235_s_at	1.33E-05	1.8	10q23.32
Unknown	MGC20460	1554095_at	3.67E-07	1.8	7q36.3
Unknown	STAU2	204226_at	1.45E-06	1.8	8q13-q21.1
Unknown	CAMTA1	225693_s_at	1.81E-10	1.8	1p36.23
Unknown	MGC13204	225836_s_at	1.89E-04	1.8	12p13.33
Unknown	FLJ20080	222472_at	9.82E-04	1.8	2p15
Unknown	PAK1IP1	218886_at	3.96E-06	1.8	6p24.1
Unknown	Unknown	227200_at	6.94E-11	1.8
Unknown	ZNF85	206572_x_at	8.56E-04	1.8	19p13.1-p12
Unknown	Unknown	238565_at	2.10E-04	1.8
Unknown	C20orf72	225890_at	2.73E-09	1.8	20p11.23
Unknown	Unknown	212640_at	2.19E-05	1.8	3q21.1
Unknown	PYM	242304_at	9.25E-04	1.8	12q13.13
Unknown	Unknown	214053_at	3.86E-04	1.8
Unknown	MAK3P	217745_s_at	4.93E-04	1.8	3q13.31
Unknown	TPM3	224164_at	3.24E-06	1.8	1q21.2
Unknown	GALNT7	218313_s_at	1.72E-08	1.8	4q31.1
Unknown	ELYS	214766_s_at	3.19E-11	1.8	1q44
Unknown	ARHGAP12	207606_s_at	1.23E-05	1.8	10
Unknown	ZNF237	230136_at	2.88E-05	1.8	13q12
Unknown	STRN	230734_x_at	1.40E-04	1.8	2p22-p21
Unknown	LOC339324	228920_at	9.99E-04	1.8	19q13.13
Unknown	FLJ10298	220945_x_at	5.86E-07	1.8	12p13.2
Unknown	LOC340481	235068_at	2.16E-04	1.8	9p22.3
Unknown	APG3	220237_at	2.89E-06	1.7	3q13.2
Unknown	Unknown	242156_at	3.74E-04	1.7
Unknown	KIAA0545	213600_at	4.99E-04	1.7	19q13.13
Unknown	AEBP2	225889_at	4.56E-07	1.7	12p12.3
Unknown	Unknown	1568713_a_at	4.66E-07	1.7	4p14
Unknown	Unknown	217673_x_at	4.12E-04	1.7
Unknown	PARG	205060_at	2.35E-06	1.7	10q11.23
Unknown	SLC35E1	235035_at	7.42E-07	1.7	19p13.12
Unknown	MGC2555	227195_at	2.54E-04	1.7	10q22.3
Unknown	BPNT1	232103_at	7.20E-10	1.7	1q42.11
Unknown	FLJ22490	227105_at	8.24E-04	1.7	8q13.1
Unknown	SLC35E3	218988_at	2.26E-05	1.7	12q15
Unknown	ZNF267	219540_at	6.52E-05	1.7	16p11.2
Unknown	FLJ20420	217972_at	7.81E-07	1.7	7q33
Unknown	PMAIP1	204285_s_at	9.61E-04	1.7	18q21.32
Unknown	ING3	231863_at	4.17E-05	1.7	7q31
Unknown	KIAA0379	226025_at	7.27E-06	1.7	3p25.1
Unknown	PDZGEF2	230078_at	4.39E-04	1.7	5q31.1
Unknown	FLJ10486	218947_s_at	2.20E-08	1.7	10p12.1
Unknown	Unknown	235919_at	2.20E-05	1.7
Unknown	FLJ32535	230992_at	1.24E-05	1.7	5q35.3
Unknown	COG6	225769_at	2.54E-05	1.7	13q13.3
Unknown	DKFZp434A2417	225663_at	4.12E-05	1.7	10p12.1
Unknown	TBDN100	219158_s_at	8.67E-05	1.7	4q31.1
Unknown	ASF1A	203428_s_at	2.18E-09	1.7	6q22.31
Unknown	Spir-1	225018_at	3.71E-05	1.7	18p11.21
Unknown	MGC5509	243093_at	3.89E-06	1.7	2q12.2
Unknown	FLJ90036	1553269_at	6.73E-04	1.7	4p16.3
Unknown	Unknown	235475_at	6.90E-04	1.7
Unknown	SYCP3	230364_at	5.95E-06	1.7	12q
Unknown	PHC3	238693_at	3.28E-07	1.7	3q26.31
Unknown	FLJ20195	219809_at	4.80E-07	1.7	5q31.3
Unknown	FLJ10842	218568_at	2.24E-04	1.7	7q34
Unknown	Unknown	1561690_at	1.46E-05	1.7
Unknown	CXorf6	205088_at	6.85E-04	1.7	Xq28
Unknown	EPB41L4B	223427_s_at	3.90E-05	1.7	9q31
Unknown	AAT1	1556487_a_at	7.26E-06	1.7	3q12-q13.3
Unknown	HDAC9	205659_at	4.34E-04	1.7	7p21.1
Unknown	C20orf92	224815_at	2.24E-04	1.6	20q11.22
Unknown	LOC115294	238114_at	4.27E-08	1.6	8q11.22
Unknown	VANGL1	229997_at	8.03E-07	1.6	1p11-p13.1
Unknown	SEC15L1	226259_at	1.11E-09	1.6	10q23.33
Unknown	MGC16202	229194_at	8.42E-07	1.6	10q23.33
Unknown	FLJ20618	228397_at	1.52E-05	1.6	22q12.2
Unknown	LOC90379	221849_s_at	8.44E-08	1.6	19p13.13
Unknown	Unknown	227943_at	2.89E-04	1.6
Unknown	MGC20553	230645_at	1.66E-04	1.6	9q21.33
Unknown	C20orf7	222894_x_at	5.09E-04	1.6	20p12.1
Unknown	ATPAF1	224729_s_at	6.28E-06	1.6	1
Unknown	JMJD1	212689_s_at	2.81E-04	1.6	2p11.2
Unknown	LOC55974	219125_s_at	3.06E-07	1.6	1q22
Unknown	CTSC	231234_at	8.87E-04	1.6	11q14.1-q14.3
Unknown	Unknown	226559_at	2.76E-04	1.6
Unknown	ARL6IP	211935_at	3.08E-04	1.6	16p12-p11.2
Unknown	DKFZP547N043	223511_at	2.97E-04	1.6	1q42.12-q43
Unknown	TSNAX	203983_at	8.62E-08	1.6	1q42.1
Unknown	DKFZp762K222	231969_at	4.70E-04	1.6	4q35.1
Unknown	FLJ14502	225300_at	3.59E-07	1.6	15q14
Unknown	FARP1	201911_s_at	1.50E-04	1.6	13q32.2-q32.3
Unknown	DDEF1	224791_at	8.06E-06	1.6	8q24.1-q24.2
Unknown	SPATS2	218324_s_at	1.40E-04	1.6	12q13.12
Unknown	PAPOLA	209388_at	1.57E-07	1.6	14q32.31
Unknown	SH120	220642_x_at	2.75E-04	1.6	1p36.13-q31.3
Unknown	KIAA0007	214662_at	1.60E-08	1.6	2p23.3
Unknown	KIAA0853	212402_at	3.45E-04	1.6	13q14.11
Unknown	Unknown	229720_at	1.42E-05	1.6	9
Unknown	PPP3CB	209817_at	1.65E-06	1.6	10q21-q22
Unknown	TUWD12	226283_at	1.41E-04	1.6	12q21.33
Unknown	FLJ10936	226860_at	2.12E-05	1.6	12q15
