GI	Gene Symbol	GenBank Accession	BG01ES	BG01EB
GI_22095338-S	PGK1	NM_000291.2	722.3	268.2
GI_24308086-S	LRIG1	NM_015541.1	429	159.4
GI_34328938-A	CTH	NM_153742.3	186	69.2
GI_16905372-S	DEFB118	NM_054112.1	47.3	17.6
GI_7108350-A	HMMR	NM_012485.1	968.3	360.3
GI_22538417-A	OAZIN	NM_148174.1	515.1	191.8
GI_4758697-S	MAN2A1	NM_002372.1	847.1	315.5
GI_11225608-S	ACE2	NM_021804.1	67.1	25
GI_20143966-I	KIF23	NM_138555.1	62.7	23.4
GI_29570797-S	PPAT	NM_002703.3	1136.6	424.2
GI_4885454-S	LNK	NM_005475.1	182.8	68.3
GI_18104978-I	PTPN2	NM_002828.2	229.8	85.9
GI_4557574-S	FAAH	NM_001441.1	142.7	53.4
GI_14110403-I	HNRPAB	NM_031266.1	865.4	324
GI_13376330-S	C14orf160	NM_024884.1	202.8	76
GI_13375790-S	FLJ12666	NM_024595.1	599	224.5
GI_5730020-S	RSC1A1	NM_006511.1	66.9	25.1
GI_31542712-S	FLJ20605	NM_017898.3	48.5	18.2
GI_13128989-S	MGC2603	NM_024037.1	369.3	138.6
GI_16117793-I	RPL36	NM_015414.2	114.3	42.9
GI_42661167-S	LOC400600	XM_378678.1	71.3	26.8
GI_37539579-S	LOC375052	XM_351320.1	110.8	41.7
GI_29743852-S	PRMT3	XM_058460.3	513.5	193.3
GI_38348405-S	UNQ3030	NM_198565.1	134.9	50.8
GI_21396486-I	PRO1853	NM_144736.1	60.7	22.9
GI_8923576-S	PAK1IP1	NM_017906.1	477	180
GI_34222309-S	MYST2	NM_007067.3	811.3	306.6
GI_6912733-S	TRN-SR	NM_012470.1	311.5	117.8
GI_22748860-S	JMY	NM_152405.1	64.2	24.3
GI_38455425-S	CITED4	NM_133467.2	594.5	225.1
GI_21536309-I	SEC22L3	NM_032970.2	97.6	37
GI_18379333-A	RNPS1	NM_080594.1	705.1	267.6
GI_28373118-A	CNTN1	NM_175038.1	48.2	18.3
GI_31377626-S	AD24	NM_022451.9	543.1	206.2
GI_40217629-S	MGC72075	NM_199136.1	180.7	68.7
GI_29893546-I	EPB41L4B	NM_018424.1	74.4	28.3
GI_33469920-S	MCM6	NM_005915.4	214.7	81.7
GI_13994235-S	CECR6	NM_031890.1	188.1	71.6
GI_25072198-S	FLJ25416	NM_145018.2	505.9	193
GI_17978473-S	HHEX	NM_002729.2	58.4	22.3
GI_4885510-S	NCL	NM_005381.1	587.4	224.6
GI_21389316-S	BOP1	NM_015201.2	1082.8	414.3
GI_18375620-A	DATF1	NM_080797.1	446.6	170.9
GI_21536295-I	CLDN14	NM_012130.2	1247.4	478
GI_20127599-S	RRAGD	NM_021244.2	146	56
GI_8923562-S	TSC	NM_017899.1	118.1	45.3
GI_21361744-S	STRBP	NM_018387.2	1273.8	489
GI_21362077-S	FLJ12644	NM_023074.2	150.7	57.9
GI_7705780-S	CGI-67	NM_016014.1	80.4	30.9
GI_20373182-S	SCAMP5	NM_138967.1	74.9	28.8
GI_31317285-A	WDR21	NM_181341.1	166.4	64
GI_20127465-S	HOMER1	NM_004272.2	293.1	112.8
GI_42655847-S	LOC388586	XM_373821.2	54	20.8
GI_31341368-S	LOC167127	NM_174914.2	240.1	92.5
GI_29029558-I	CSE1L	NM_001316.2	2347.2	904.3
GI_5032314-I	DMD	NM_004010.1	83.7	32.3
GI_31982903-S	LOC129401	NM_138285.2	375.3	144.9
GI_23111046-I	SNX5	NM_152227.1	491.7	190.4
GI_32454751-S	ORC2L	NM_006190.3	1013.9	393.9
GI_28416898-A	GART	NM_175085.1	310.9	120.9
GI_34147619-S	EHD4	NM_139265.2	443.5	172.5
GI_37551274-S	LOC375489	XM_353393.1	826.1	321.6
GI_18105006-S	CAD	NM_004341.2	189.5	73.9
GI_40556392-I	JADE1	NM_199320.1	70.9	27.7
GI_41147340-S	LOC389414	XM_374176.1	181.2	70.8
GI_7705764-S	CGI-48	NM_016001.1	305	119.2
GI_7661785-S	C6orf66	NM_014165.1	792.7	310.2
GI_4505540-S	VDP	NM_003715.1	2745.5	1074.7
GI_13386491-S	MGC10993	NM_030577.1	157.1	61.5
GI_16945969-I	PSIP2	NM_021144.2	2969.4	1164.1
GI_8923375-S	FLJ20401	NM_017805.1	417.3	163.6
GI_34328910-I	WDR4	NM_033661.2	631.8	247.8
GI_21361467-S	DKFZP586L0	NM_015462.2	690.9	271
GI_27477131-S	PIP3AP	NM_019061.2	183.7	72.2
GI_24797117-A	CABYR	NM_153770.1	433.9	170.6
GI_34147448-S	RTN4IP1	NM_032730.2	440.8	173.7
GI_29789053-S	KIAA0290	NM_015122.1	212.9	83.9
GI_34328901-A	PTPN6	NM_080548.2	89.3	35.2
GI_34335149-S	RPS11	NM_001015.3	1487.5	586.8
GI_42657380-S	LOC389302	XM_374125.2	49.9	19.7
GI_4506050-S	PRIM1	NM_000946.1	442.5	174.8
GI_21281676-S	TA-WDRP	NM_139281.1	49.5	19.6
GI_21237762-S	CD9	NM_001769.2	2857.3	1132.4
GI_4501992-S	AGPS	NM_003659.1	294.7	116.8
GI_31542736-S	FLJ22578	NM_024864.2	58.5	23.2
GI_41150914-S	LOC388484	XM_373783.1	160.6	63.7
GI_4758579-S	C1orf38	NM_004848.1	90.2	35.8
GI_18104981-A	PTPN2	NM_080423.1	138.3	55
GI_4503804-S	FUT1	NM_000148.1	185.4	73.8
GI_21389558-S	FLJ31978	NM_144669.1	407	162.2
GI_33942063-S	SEMA4D	NM_006378.2	1241.5	495.8
GI_33504488-S	ZD52F10	NM_033317.2	3035.6	1212.7
GI_5901891-S	WDHD1	NM_007086.1	1153.6	461
GI_31543556-S	RNU3IP2	NM_004704.2	223.4	89.3
GI_8923397-S	LYAR	NM_017816.1	894.3	357.6
GI_34147350-S	MGC2827	NM_023940.2	1378.8	551.4
GI_4759025-S	RASAL1	NM_004658.1	66	26.4
GI_38045947-S	UBE1L	NM_003335.2	29.8	74.5
GI_13904863-S	CYP27A1	NM_000784.2	58.9	147.4
GI_6005793-S	JM4	NM_007213.1	112.6	281.8
GI_21361550-S	SLC4A2	NM_003040.2	134.4	336.4
GI_37546220-S	PCDH19	XM_033173.7	65.1	163.1
GI_7661615-S	DKFZP564K1	NM_015544.1	1513.6	3792.5
GI_24497516-S	HOXA5	NM_019102.2	29.2	73.2
GI_38327657-A	SULF2	NM_198596.1	156.9	393.5
GI_4502094-S	ANPEP	NM_001150.1	29.6	74.3
GI_5730042-S	SLC12A7	NM_006598.1	381.1	957.6
GI_21536443-A	BZRP	NM_007311.2	750.6	1886.8
GI_20149694-S	FLJ22246	NM_025232.2	116.5	292.9
GI_32307135-A	NNAT	NM_181689.1	278.8	701.1
GI_20546504-S	KIAA1957	XM_065166.2	107.4	270.3
GI_38202247-S	STAT2	NM_005419.2	440.6	1109.1
GI_28144915-S	F25965	NM_019104.1	141.9	357.4
GI_11968002-S	AZ2	NM_022461.1	28.3	71.3
GI_25777625-A	ABTB1	NM_172028.1	68.6	172.9
GI_27477684-S	KIAA1728	XM_043492.3	70.7	178.4
GI_18105047-S	HIST1H2BK	NM_080593.1	727.8	1837.5
GI_14249531-S	ZF6	NM_032828.1	53.9	136.2
GI_4504080-S	GPC1	NM_002081.1	58.8	148.6
GI_4503420-S	DUSP9	NM_001395.1	33.8	85.6
GI_27481547-S	PRICKLE2	XM_093799.2	85.7	217.6
GI_22748650-S	MGC13024	NM_152288.1	154.7	392.8
GI_22035697-I	SYNGR1	NM_145731.1	43.4	110.2
GI_4809275-A	ANXA6	NM_004033.1	173.7	441.8
GI_34147459-S	MGC10992	NM_033212.2	82.4	209.6
GI_28178831-S	IDH2	NM_002168.2	1145.1	2918.3
GI_32698776-S	FLJ34969	NM_152678.1	199.7	509.5
GI_38202216-A	SRC	NM_198291.1	178.6	455.7
GI_14249149-S	SSBP4	NM_032627.1	388.6	991.9
GI_4507356-S	TAGLN2	NM_003564.1	377	962.5
GI_42660771-S	LOC400537	XM_375357.1	32.4	82.8
GI_8923391-S	FLJ20421	NM_017813.1	65.2	166.7
GI_42734506-S	RAB26	NM_014353.3	36.4	93.1
GI_11496884-S	ENIGMA	NM_005451.2	818.5	2094.8
GI_7110640-S	PLD3	NM_012268.1	125.1	320.4
GI_21687111-S	LOC112476	NM_145239.1	353.5	905.8
GI_31543190-S	MGC4248	NM_032333.2	78.7	201.7
GI_30474869-I	HRIHFB2122	NM_007032.3	597.2	1531.6
GI_8922912-S	C20orf29	NM_018347.1	39.8	102.2
GI_41222851-S	DKFZP564D1	XM_371074.1	97.2	249.9
GI_21956638-S	DKFZP586C1	NM_145804.1	59.8	153.8
GI_22538445-A	TP53I3	NM_147184.1	224.2	576.7
GI_22749454-S	MGC33993	NM_152737.1	46.8	120.4
GI_18765747-A	COL18A1	NM_130445.1	393.9	1013.5
GI_10947123-A	ABCC9	NM_020298.1	27.2	70
GI_8400709-S	HES1	NM_005524.2	106.4	273.9
GI_19913435-S	ATP6V0E	NM_003945.2	215.1	554.5
GI_38201674-S	SDC4	NM_002999.2	284.3	733.8
GI_41281674-I	MPPE1	NM_138608.1	55.7	143.8
GI_22547200-S	ZIC4	NM_032153.2	34.5	89.1
GI_16950657-S	CCND3	NM_001760.2	157.9	407.9
GI_7705774-S	CGI-62	NM_016010.1	72	186.1
GI_38257140-S	MAPK3	NM_002746.1	510.8	1320.4
GI_11761623-I	ST7	NM_018412.2	99	256.3
GI_28872721-S	BTG3	NM_006806.3	485.7	1257.6
GI_37622886-A	CES2	NM_198061.1	149.2	386.4
GI_14249721-S	MGC14141	NM_032928.1	578.9	1502.5
GI_20070223-S	ZNF297	NM_005453.3	179.5	465.9
GI_24497529-I	EVC	NM_014556.2	82.7	215.1
GI_31542243-S	C14orf146	NM_152447.2	106.2	276.3
GI_23943871-S	LOC64744	NM_022733.1	76.1	198.1
GI_34222221-S	EPHX2	NM_001979.3	61.5	160.2
GI_34147460-S	PP1201	NM_022152.3	45.3	118.1
GI_20270354-S	LOC130589	NM_138801.1	68.6	178.9
GI_41872576-S	RAFTLIN	NM_015150.1	89.8	234.2
GI_23510347-S	TTRAP	NM_016614.2	29.5	77
GI_8394375-S	STX18	NM_016930.1	121.8	318.2
GI_19923396-S	ITGA11	NM_012211.2	28.2	73.7
GI_42660606-S	LOC400464	XM_375268.1	62.8	164.2
GI_32967585-A	PPP2R3A	NM_181897.1	195.2	510.7
GI_35249735-A	ZNF226	NM_015919.2	35.6	93.3
GI_31982907-S	JDP2	NM_130469.2	71.6	187.8
GI_27734993-A	SLC22A17	NM_016609.2	88.4	232.6
GI_4507648-S	TPM2	NM_003289.1	469.4	1237.1
GI_7242223-I	FST	NM_006350.2	44.3	116.8
GI_42660906-S	LOC400547	XM_375373.1	54.3	143.2
GI_19920316-S	CKAP4	NM_006825.2	928	2449
GI_21361780-S	FLJ10350	NM_018067.2	146.7	387.2
GI_42659277-S	LOC401553	XM_379671.1	61.6	162.6
GI_4505904-S	PMM1	NM_002676.1	58	153.1
GI_41151474-S	PLXNB2	XM_371474.1	419.6	1107.8
GI_4502878-S	CLDN5	NM_003277.1	33.1	87.4
GI_5803006-S	DNASE1L1	NM_006730.1	63.9	168.9
GI_28933450-S	PLXND1	NM_015103.1	40.4	106.8
GI_4504002-S	GJA4	NM_002060.1	30.9	81.7
GI_13376199-S	BAALC	NM_024812.1	46.1	122
GI_38201713-S	ELAVL1	NM_001419.2	66.4	176
GI_34147414-S	MGC4618	NM_032326.2	79.5	211
GI_28077084-S	SERPINB6	NM_004568.3	983.7	2614.5
GI_21450851-A	OSBPL2	NM_014835.2	266.4	708.6
GI_37545048-S	FLJ10312	XM_352921.1	47.2	125.6
GI_37577154-S	ATP6AP1	NM_001183.3	185.6	494.2
GI_7662049-S	ARNT2	NM_014862.1	43	114.5
GI_13112047-A	FGFR3	NM_022965.1	602.9	1607.3
GI_17158002-S	ANTXR2	NM_058172.1	58.2	155.4
GI_34452691-A	VPS28	NM_016208.2	319.1	852.3
GI_22547217-I	TIRAP	NM_052887.2	46.5	124.2
GI_20270346-S	LOC129138	NM_138797.1	43.9	117.3
GI_34147674-S	STXBP6	NM_014178.5	98.8	264.1
GI_7706454-S	CYB5R1	NM_016243.1	110.7	296.2
GI_16757969-I	C1orf24	NM_052966.1	147.9	395.9
GI_32483384-A	PKIG	NM_007066.3	242.3	648.6
GI_20544181-S	WDR13	NM_017883.3	222.2	595.6
GI_45120114-S	DKFZP434H1	NM_015492.3	158.7	425.5
GI_38195079-I	LOH11CR2A	NM_014622.3	141	378.1
GI_31543558-S	RSHL2	NM_031924.3	30.5	81.8
GI_30794245-S	LOC90736	NM_138362.1	73.6	197.4
GI_13899290-S	MGC11034	NM_031453.1	252.6	677.9
GI_31543356-S	OCSP	NM_031945.2	60.8	163.5
GI_4506760-S	S100A10	NM_002966.1	2795	7530.1
GI_16933556-S	PCDH16	NM_003737.1	28.5	76.8
GI_7706299-I	D2LIC	NM_016008.1	81.6	220
GI_18254459-S	SSB4	NM_080862.1	30.1	81.2
GI_29171731-S	CPXM	NM_019609.2	120.2	324.4
GI_5031750-S	HMGCS2	NM_005518.1	33.2	89.7
GI_6006016-S	LGALS3BP	NM_005567.2	54.2	146.5
GI_31324542-S	CaMKIINalp	NM_018584.4	94.8	256.4
GI_32455251-A	PIK3R1	NM_181504.2	131	354.5
GI_21359932-S	LXN	NM_020169.2	112.9	305.6
GI_8922242-S	FLJ10134	NM_018004.1	114.5	310.1
GI_32401426-S	SMAP-5	NM_030799.4	54.5	147.7
GI_33946276-A	CFL2	NM_021914.5	138	374.3
GI_37577121-I	UBE2J1	NM_016021.2	128.1	347.5
GI_39930478-S	DIXDC1	NM_033425.1	99.8	270.9
GI_31377778-S	STK38	NM_007271.2	403.2	1094.7
GI_24234723-A	TRADD	NM_003789.2	58	157.6
GI_21389432-S	FLJ32389	NM_144617.1	27.8	75.6
GI_7669496-S	JWA	NM_006407.2	662	1800.7
GI_34222343-S	DKFZp761B1	NM_032288.3	86.9	236.4
GI_14149980-S	DKFZp434K2	NM_032256.1	30.2	82.2
GI_4505462-S	CNTNAP1	NM_003632.1	83.7	227.9
GI_31560865-S	MGC30208	NM_173804.3	40.2	109.6
GI_7705621-S	CGI-116	NM_016053.1	224.2	611.4
GI_8051609-S	KDELR2	NM_006854.2	496	1353
GI_4507640-S	TPD52L1	NM_003287.1	75	204.7
GI_19923454-S	PLCE1	NM_016341.2	51	139.3
GI_21361917-S	LEPRE1	NM_022356.2	260.2	711.1
GI_37540588-S	LOC375391	XM_353345.1	1978.4	5407.1
GI_13128863-S	HDAC6	NM_006044.2	77.6	212.2
GI_7705756-S	CGI-40	NM_015996.1	272.8	746
GI_32484984-S	FS	NM_021996.3	57.3	156.8
GI_22035553-A	APBB1	NM_145689.1	69.8	191.1
GI_6912273-S	C19orf4	NM_012109.1	41.4	113.4
GI_35493951-A	UBE3B	NM_183415.1	80.8	221.4
GI_21361911-S	DNAJC1	NM_022365.2	312.1	856
GI_31543826-I	TSC22	NM_006022.2	99.1	271.9
GI_38093640-S	DKFZP566G1	NM_198272.1	455.7	1251.3
GI_14165470-S	CDC42EP4	NM_012121.3	519.6	1429.7
GI_20127661-S	TP53INP1	NM_033285.2	287	791
GI_34222340-S	FLJ22378	NM_025078.3	396.8	1095.6
GI_11321592-S	IGFBP6	NM_002178.1	83.8	231.8
GI_5360215-I	IDS	NM_000202.2	77.1	213.3
GI_6005763-S	GABARAP	NM_007278.1	1815	5024.7
GI_15277420-A	UBE2J1	NM_016336.2	210.4	582.5
GI_34147050-S	PP1665	NM_030792.4	41.7	115.5
GI_4502206-S	ARF4L	NM_001661.1	300.4	832.1
GI_13376303-S	FLJ14050	NM_024869.1	28.1	78.2
GI_4506418-S	RARA	NM_000964.1	112.7	313.8
GI_13899218-S	GABARAPL1	NM_031412.1	311.8	868.5
GI_13325060-S	ACTR1B	NM_005735.2	188.5	525.1
GI_24308248-S	KIAA1495	NM_020871.1	70.6	196.7
GI_37595568-S	SCGF	NM_002975.2	157.7	439.5
GI_21361502-S	SLC35B3	NM_015948.2	76.7	214.2
GI_23510405-A	POMZP3	NM_152992.1	29.2	81.6
GI_21735557-A	MAP3K7IP2	NM_015093.2	29.3	81.9
GI_20149515-S	EMP2	NM_001424.2	261.2	731.8
GI_20555643-S	KIAA1949	XM_166376.1	75.5	211.6
GI_22538441-S	CTSZ	NM_001336.2	245.6	688.9
GI_7110632-S	C20orf103	NM_012261.1	47.6	133.6
GI_9845514-I	S100A4	NM_002961.2	196.7	552.3
GI_34485710-A	RAB27A	NM_183236.1	43.4	122.2
GI_7662313-S	ZNF432	NM_014650.1	167.7	472.3
GI_4506734-S	RPS6KA4	NM_003942.1	80.1	225.9
GI_22035664-S	TLN2	NM_015059.1	239.4	675.5
GI_21361170-S	BRE	NM_004899.2	50	141.1
GI_34147486-A	C21orf80	NM_133635.2	180.6	509.9
GI_34734061-A	FBLN1	NM_001996.2	281.3	794.8
GI_4758415-S	GBF1	NM_004193.1	193.7	547.4
GI_11545816-S	C6orf9	NM_022107.1	44.9	126.9
GI_4504050-S	GNAZ	NM_002073.1	45.8	129.5
GI_4507894-S	VIM	NM_003380.1	3400.1	9622.8
GI_19923880-S	GNPDA2	NM_138335.1	37.7	106.7
GI_13540522-S	NSBP1	NM_030763.1	28.3	80.1
GI_30240931-S	EHD1	NM_006795.2	365.3	1034.2
GI_13435363-A	DSC2	NM_024422.1	67.6	191.5
GI_31542267-S	C21orf7	NM_020152.2	27	76.5
GI_7706558-S	LOC51760	NM_016524.1	51.8	147.4
GI_23397491-S	FLJ33990	NM_153226.1	31.6	90
GI_37538391-S	LOC375558	XM_351694.1	167.4	476.8
GI_34147591-S	MGC3262	NM_024029.3	137.2	391.2
GI_20302150-S	LYPLA3	NM_012320.2	48.7	139
GI_21362085-S	FLJ12572	NM_022905.2	42.3	120.8
GI_19923670-S	FOXP1	NM_032682.3	389.4	1114.4
GI_4557561-S	EPOR	NM_000121.2	52	149
GI_4758173-S	DMPK	NM_004409.1	88.8	254.6
GI_4503240-S	CYP4F3	NM_000896.1	50.9	146
GI_24430214-S	IL10RB	NM_000628.3	264.4	760.2
GI_29837653-A	C1orf9	NM_014283.2	236.7	680.6
GI_34222241-S	LOC90410	NM_174887.2	267.2	768.6
GI_24158477-S	DACT1	NM_016651.3	28.4	81.8
GI_9910205-S	C14orf132	NM_020215.1	169.7	489.2
GI_14149676-S	LPHN3	NM_015236.1	80.3	231.7
GI_13489092-S	ELOVL1	NM_022821.1	119.1	344.3
GI_27262621-S	NAV1	NM_020443.2	241.5	698.4
GI_21614547-S	IRAK2	NM_001570.2	27.9	80.7
GI_18490990-S	TOPK	NM_018492.2	209.2	605.2
GI_20127497-S	RRAS	NM_006270.2	93.8	271.6
GI_5360213-S	GPC3	NM_004484.2	272	788.4
GI_36951195-S	CTNND2	NM_001332.2	81.6	236.6
GI_32895367-A	COL8A1	NM_020351.2	118.3	344
GI_4502248-S	DDEF2	NM_003887.1	93.4	272.2
GI_9994198-S	BAP29	NM_018844.1	54.6	159.7
GI_20336751-I	HIST1H2BD	NM_138720.1	99.8	292.1
GI_10864036-S	MYL7	NM_021223.1	158.2	463.3
GI_27479471-S	KIAA1130	XM_031104.5	75	219.7
GI_34222175-S	C6orf199	NM_145025.2	29.9	88
GI_7662453-S	KIAA1036	NM_014909.1	109.7	322.9
GI_38044287-A	GSN	NM_198252.1	228.4	673.8
GI_10835070-S	CD74	NM_004355.1	29.3	86.5
GI_7108342-S	DUSP1	NM_004417.2	102.9	303.9
GI_22035695-I	SYNGR1	NM_004711.2	62.5	184.8
GI_34734065-I	FBLN1	NM_006486.2	758	2242.1
GI_34147371-S	C20orf149	NM_024299.2	807.8	2390.1
GI_42661719-S	LOC400718	XM_375656.1	47.6	140.9
GI_18860903-S	PTPRM	NM_002845.2	98.9	293
GI_31563522-I	MYL9	NM_006097.3	178	527.8
GI_16418384-S	MED8	NM_052877.1	91.4	271.3
GI_34222157-S	CD164	NM_006016.3	39.3	116.9
GI_15619000-S	CGB1	NM_033377.1	41.9	124.7
GI_37547210-S	LOC375249	XM_351475.1	30.8	91.7
GI_34147554-S	MPZL1	NM_003953.3	37.1	110.5
GI_20149513-S	CRIP1	NM_001311.2	311	926.6
GI_27886565-A	MALT1	NM_173844.1	47.7	142.4
GI_5031586-S	APCL	NM_005883.1	29.3	87.7
GI_24497491-S	SLC22A5	NM_003060.2	31.6	94.8
GI_25282406-S	ISGF3G	NM_006084.3	154.1	462.9
GI_18104972-A	PTP4A2	NM_080392.1	40.6	122.1
GI_31563517-A	MAP1LC3A	NM_181509.1	279	839.4
GI_31563523-A	MYL9	NM_181526.1	209.9	632.2
GI_9910273-S	SMYD2	NM_020197.1	98.5	296.7
GI_9507032-S	TERF2IP	NM_018975.1	612.1	1845.7
GI_4557586-S	FAH	NM_000137.1	347.8	1050.1
GI_14790166-A	TNFRSF6B	NM_003823.2	43.8	132.5
GI_22095354-S	BIVM	NM_017693.2	54.7	165.5
GI_7382490-S	LCP1	NM_002298.2	72.7	220
GI_14150063-S	MGC3200	NM_032305.1	107	324.1
GI_37059762-S	STCH	NM_006948.3	40.9	123.9
GI_34222187-S	LOC148932	NM_145279.2	35.5	107.6
GI_37547509-S	ASTN	XM_045113.3	62.8	190.5
GI_33695085-A	NNT	NM_182977.1	44.8	136.1
GI_27370570-S	YF13H12	NM_014297.2	252.6	767.4
GI_33598923-I	SCARA3	NM_016240.2	90.6	275.8
GI_23397455-S	MGC35048	NM_153208.1	178.3	543.5
GI_4507150-S	SOD3	NM_003102.1	119.5	364.9
GI_14195633-S	MAGED1	NM_006986.2	1526	4662.6
GI_19924146-A	TCIRG1	NM_006053.2	118.2	361.4
GI_37540926-S	DKFZp434J0	XM_290645.2	43	131.6
GI_21902536-S	ISYNA1	NM_016368.3	682	2092.8
GI_15890084-A	COL4A5	NM_000495.3	435.8	1337.9
GI_34147646-S	FHL1	NM_001449.3	195.5	601.2
GI_30179898-S	SOX10	NM_006941.3	94.8	291.8
GI_20336210-I	GAMT	NM_000156.4	332	1023.2
GI_4506074-S	PRKCM	NM_002742.1	35.8	110.5
GI_42658222-S	KIAA0960	XM_374404.2	33.4	103.4
GI_5174512-S	MADH3	NM_005902.1	237.8	736.8
GI_38093662-S	LOC349136	NM_198285.1	861	2671.8
GI_24430180-I	ODF2	NM_002540.3	147.7	458.6
GI_4557570-S	EXT1	NM_000127.1	265.5	825
GI_10835022-S	ITPR1	NM_002222.1	50.5	157
GI_38524619-S	PRICKLE2	NM_198859.1	42.6	132.5
GI_31341145-S	MGC8902	NM_173638.2	587.3	1830
GI_31543622-S	SIL1	NM_022464.3	126.5	394.6
GI_24476008-S	NPD007	NM_020684.2	65.3	203.8
GI_37546982-S	LOC376874	XM_352443.1	119.8	374.1
GI_21314622-S	PPP1R3C	NM_005398.2	50.8	159.2
GI_34328914-A	CD151	NM_139030.2	856.3	2689.4
GI_5453737-S	MERTK	NM_006343.1	48	150.8
GI_39930340-S	KIAA0970	NM_014923.2	148.5	466.9
GI_38424080-A	SCDR10	NM_198704.1	109.5	345.4
GI_44890061-S	C14orf43	NM_194278.2	100.4	316.8
GI_28872718-S	BTG2	NM_006763.2	158.9	501.7
GI_21389470-S	FLJ32332	NM_144641.1	85.3	269.4
GI_29171741-A	PPAP2B	NM_177414.1	106.5	336.5
GI_9257200-S	CALCYON	NM_015722.2	42.1	133.1
GI_31377700-S	FLJ20896	NM_024605.2	98.4	311.1
GI_4758955-S	BZRAP1	NM_004758.1	40.6	128.6
GI_5922012-S	FZD2	NM_001466.2	560.2	1775.7
GI_7706352-S	NEDF	NM_016079.1	53.2	168.8
GI_7706368-S	BRP44L	NM_016098.1	469	1491
GI_9845292-S	REC8L1	NM_005132.1	699.5	2229
GI_19115959-S	C6orf33	NM_133367.1	124.7	397.5
GI_14043023-S	BAG3	NM_004281.2	227.1	725.2
GI_42660034-S	LOC144363	XM_370685.2	219.6	701.8
GI_13027633-S	MDFI	NM_005586.2	69.4	221.9
GI_21389338-S	nexilin	NM_144573.1	31.2	99.9
GI_37622900-A	DSIPI	NM_004089.2	141.6	453.5
GI_23111004-S	MFAP4	NM_002404.1	271.5	873.9
GI_4505892-S	PLP2	NM_002668.1	85.7	276.1
GI_37537693-S	MTMR6	NM_004685.2	47	151.6
GI_4557887-S	KRT18	NM_000224.1	3281.8	10593.9
GI_17136074-S	AXUD1	NM_033027.2	180.8	583.8
GI_34303929-S	C14orf31	NM_152330.2	113.1	365.2
GI_21071049-A	SMARCA2	NM_139045.1	207.6	670.5
GI_4503758-S	FMO4	NM_002022.1	92.2	298.1
GI_10280619-S	NDRG2	NM_016250.1	35.1	113.7
GI_28872793-S	CEBPA	NM_004364.2	29.8	96.6
GI_19923714-S	IL17D	NM_138284.1	38.3	124.3
GI_24308174-S	FLJ20719	NM_017940.1	311.4	1011.3
GI_33946314-I	NIN	NM_020921.2	56	181.9
GI_24475622-S	MDK	NM_002391.2	3759.1	12234.4
GI_24308457-S	MGC46719	NM_153713.1	50.6	164.7
GI_32129213-S	NECAB2	NM_019065.2	44.5	144.9
GI_4885512-S	NEF3	NM_005382.1	63.5	206.8
GI_4502494-S	C1S	NM_001734.1	33.5	109.3
GI_34734061-I	FBLN1	NM_001996.2	1001.7	3278.1
GI_27552763-S	NGX6	NM_016446.2	74.7	244.5
GI_34222150-S	CNN1	NM_001299.3	60.6	198.5
GI_27478003-S	LOC151760	XM_098117.3	43.2	141.6
GI_17738300-S	COL7A1	NM_000094.2	48.2	158.6
GI_30061563-S	GATA5	NM_080473.3	34.9	114.9
GI_14149996-S	DKFZp434D1	NM_032264.1	75.7	249.4
GI_10047099-S	LOC51186	NM_016303.1	308.6	1018.4
GI_33620718-S	CerCAM	NM_016174.2	36.9	121.9
GI_6912601-S	ARFIP2	NM_012402.1	54.6	180.7
GI_34335269-A	PRNP	NM_183079.1	434	1436.5
GI_4506518-S	RGS5	NM_003617.1	155.6	515.3
GI_37059765-S	MGC21981	NM_153267.2	209.4	693.6
GI_37547280-S	EGFL3	XM_031401.6	145.8	483.3
GI_29550878-A	SULT1A2	NM_001054.2	29.2	96.8
GI_15812207-S	FBXO8	NM_012180.1	99.3	329.6
GI_32261328-S	TMEM14A	NM_014051.2	241.3	801
GI_33589860-S	RAB31	NM_006868.2	464.8	1544
GI_4758199-S	DSP	NM_004415.1	417.5	1388.4
GI_32307127-S	NCOA6	NM_014071.2	149.7	498.7
GI_22027484-S	RASD1	NM_016084.3	42.2	140.6
GI_33620752-S	FLJ10876	NM_018254.2	37.8	126.5
GI_24234698-S	KRT19	NM_002276.2	3013.6	10125.2
GI_33859818-S	MGC51082	NM_182498.1	342.7	1153.1
GI_5454099-S	TACC1	NM_006283.1	108.6	366
GI_22027647-S	LPIN1	NM_145693.1	224.3	756
GI_6382063-S	ACPP	NM_001099.2	29.6	99.8
GI_13569871-S	LBH	NM_030915.1	185	624.5
GI_4501946-S	ADORA1	NM_000674.1	52.9	178.7
GI_23397408-S	MGC23947	NM_152278.1	108	365.1
GI_24475711-S	HT036	NM_031207.2	209.7	712
GI_8051628-A	RRAGB	NM_006064.2	27.3	92.8
GI_4826642-S	ANXA3	NM_005139.1	223.1	761
GI_18141315-S	SSB1	NM_025106.2	77	262.7
GI_30149745-S	LOC149345	XM_086502.8	124.8	428.2
GI_21361330-S	CPS1	NM_001875.2	135.9	467.6
GI_20531764-S	C13orf1	NM_020456.1	30.7	105.8
GI_7705942-A	C5orf4	NM_016348.1	104.2	360.3
GI_5729771-S	CLN5	NM_006493.1	60.8	210.3
GI_33620724-S	DSCR1	NM_004414.4	274.5	949.7
