Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
hypothetical protein MGC11102	MGC11102	NM_032325	4.34E-10	7.07E-10	-1.01782	2.61E-10	-1.13836
AT rich interactive domain 1A (SWI- like)	ARID1A	NM_006015 /// NM_018450 /// NM_139135	4.51E-10	4.49E-10	-1.01765	3.98E-10	-1.03137
diaphanous homolog 2 (Drosophila)	DIAPH2	NM_006729 /// NM_007309	1.88E-07	1.40E-07	-1.01564	2.18E-07	-0.96495
Transcribed locus, moderately similar to XP_524454.1 PREDICTED: hypothetical pro	NA	NA	8.39E-05	0.000289447	-1.01478	3.12E-05	-1.3612
PHD finger protein 19	PHF19	NM_001009936 /// NM_015651	2.22E-07	3.47E-07	-1.0134	1.33E-07	-1.13258
stress-associated endoplasmic reticulum protein 1	SERP1	NM_014445	2.77E-09	3.15E-09	-1.01018	2.15E-09	-1.05486
family with sequence similarity 96, member A	FAM96A	NM_001014812 /// NM_032231	4.56E-12	4.07E-12	-1.00941	4.54E-12	-0.997208
E74-like factor 4 (ets domain transcription factor)	ELF4	NM_001421	1.00E-07	1.53E-07	-1.00712	6.08E-08	-1.11959
hypothetical protein FLJ11155	FLJ11155	NM_018342	3.84E-07	3.74E-07	-1.00661	3.29E-07	-1.02185
Lysophosphatidylglycerol acyltransferase 1	LPGAT1	NM_014873	5.12E-08	6.13E-08	-1.00581	3.74E-08	-1.06424
malate dehydrogenase 2, NAD (mitochondrial)	MDH2	NM_005918	4.28E-11	3.22E-11	-1.0047	5.16E-11	-0.953124
ring finger protein 13	RNF13	NM_007282 /// NM_183381 /// NM_183382 /// NM_183383 /// NM_183384	1.79E-09	1.88E-09	-0.998348	1.49E-09	-1.0249
pleiomorphic adenoma gene-like 1	PLAGL1	NM_002656 /// NM_006718	2.77E-05	7.10E-05	-0.99701	1.18E-05	-1.25066
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subf	SMARCC1	NM_003074	6.25E-08	9.98E-08	-0.993836	3.71E-08	-1.11305
protein phosphatase 4 (formerly X), catalytic subunit	PPP4C	NM_002720	3.70E-08	6.15E-08	-0.993433	2.15E-08	-1.12009
Polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	NM_004805	3.10E-07	3.11E-07	-0.992235	2.59E-07	-1.01339
sorting nexin 5	SNX5	NM_014426 /// NM_152227	7.74E-11	7.01E-11	-0.991648	7.54E-11	-0.983645
mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	MED8	NM_001001651 /// NM_001001653 /// NM_001001654 /// NM_052877 /// NM_201542	7.92E-08	1.11E-07	-0.989578	5.11E-08	-1.08239
family with sequence similarity 54, member A	FAM54A	NM_138419	2.50E-07	3.13E-07	-0.982468	1.74E-07	-1.05186
apoptosis, caspase activation inhibitor	AVEN	NM_020371	3.07E-07	7.46E-07	-0.981955	1.43E-07	-1.18996
polymerase (RNA) II (DNA directed) polypeptide D	POLR2D	NM_004805	3.43E-09	8.53E-09	-0.980353	1.63E-09	-1.1823
glycine amidinotransferase (L-arginine:glycine amidinotransferase)	GATM	NM_001482	0.000668536	0.000680578	-0.980307	0.000426025	-1.04848
hypothetical protein MGC18216	MGC18216	NA	1.53E-05	0.000178732	-0.980028	4.47E-06	-1.5636
Peroxisome proliferative activated receptor, gamma	PPARG	NM_005037 /// NM_015869 /// NM_138711 /// NM_138712	4.51E-08	8.27E-08	-0.979451	2.47E-08	-1.12446
v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	MAFK	NM_002360	2.70E-09	1.00E-08	-0.97836	1.09E-09	-1.2569
GATA zinc finger domain containing 2A	p66alpha	NM_017660	4.03E-06	6.84E-06	-0.978005	2.18E-06	-1.12203
coagulation factor V (proaccelerin, labile factor)	F5	NM_000130	2.38E-07	3.70E-07	-0.974922	1.42E-07	-1.0891
solute carrier family 39 (zinc transporter), member 14	SLC39A14	NM_015359	0.00328188	0.00291112	-0.974225	0.0020871	-1.02814
chromosome 1 open reading frame 121	C1orf121	NM_016076	2.16E-08	2.42E-08	-0.973566	1.68E-08	-1.01499
Helicase, lymphoid-specific	HELLS	NM_018063	0.000331233	0.000431415	-0.972471	0.000183892	-1.09417
CDNA FLJ41999 fis, clone SPLEN2029683	NA	NA	2.45E-08	2.96E-08	-0.965035	1.79E-08	-1.02216
H1 histone family, member X	H1FX	NM_006026	6.36E-07	8.89E-07	-0.963653	4.03E-07	-1.05721
hypothetical protein LOC283464	LOC283464	XM_290597	5.15E-07	6.44E-05	-0.958513	1.36E-07	-2.0151
UTP15, U3 small nucleolar ribonucleoprotein, homolog (yeast)	UTP15	NM_032175	9.14E-07	1.09E-06	-0.957456	6.45E-07	-1.01897
tetratricopeptide repeat domain 9C	TTC9C	NM_173810	8.06E-09	9.52E-09	-0.95491	6.03E-09	-1.00557
p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	PAK1	NM_002576	2.84E-06	3.29E-06	-0.95236	2.01E-06	-1.00991
estrogen receptor binding site associated, antigen, 9	EBAG9	NM_004215 /// NM_198120	1.05E-07	1.29E-07	-0.952269	7.45E-08	-1.01384
nephroblastoma overexpressed gene	NOV	NM_002514	3.02E-05	4.03E-05	0.951701	1.81E-05	1.05224
NA	NA	NA	3.54E-09	1.12E-07	0.952156	9.59E-10	1.63505
dedicator of cytokinesis 11	DOCK11	NM_144658	0.000229176	0.000380939	0.9536	0.000111912	1.12668
pellino homolog 1 (Drosophila)	PELI1	NM_020651	9.34E-06	1.50E-05	0.954668	5.15E-06	1.08778
cornifelin /// cornifelin	CNFN	NM_032488	6.68E-07	3.16E-06	0.954947	2.41E-07	1.29248
phosphatidylinositol transfer protein, cytoplasmic 1	PITPNC1	NM_012417 /// NM_181671	7.98E-07	7.09E-07	0.956114	7.36E-07	0.951947
ferredoxin reductase	FDXR	NM_004110 /// NM_024417	1.33E-08	3.27E-08	0.95672	6.30E-09	1.15351
dihydropyrimidine dehydrogenase	DPYD	NM_000110	0.00021167	0.000192165	0.961011	0.000158843	0.986028
SH3 domain binding glutamic acid-rich protein like 3 /// SH3 domain binding glut	SH3BGRL3	NM_031286	1.01E-09	9.79E-10	0.961367	9.14E-10	0.968893
G protein-coupled receptor 161	GPR161	NM_007369 /// NM_153832	9.68E-05	0.000111754	0.961936	6.18E-05	1.03942
Clone 24841 mRNA sequence	NA	NA	5.57E-06	7.45E-06	0.963197	3.49E-06	1.05569
secretory carrier membrane protein 1	SCAMP1	NM_004866 /// NM_052822	2.09E-05	0.000229661	0.96366	6.16E-06	1.5303
fibronectin 1	FN1	NM_002026 /// NM_054034 /// NM_212474 /// NM_212475 /// NM_212476 /// NM_212478	5.11E-08	5.09E-08	0.965085	4.38E-08	0.981728
microtubule associated monoxygenase, calponin and LIM domain containing 2	MICAL2	NM_014632	6.54E-11	1.67E-10	0.965698	3.09E-11	1.1668
La ribonucleoprotein domain family, member 6	LARP6	NM_018357 /// NM_197958	1.35E-06	2.51E-06	0.966255	7.06E-07	1.12276
Hypothetical protein FLJ36031	FLJ36031	NM_175884	5.63E-06	6.33E-06	0.96985	4.03E-06	1.02424
melanoma cell adhesion molecule	MCAM	NM_006500	4.25E-06	1.87E-05	0.970539	1.54E-06	1.31373
adenylate cyclase 1 (brain)	ADCY1	NM_021116	4.76E-05	0.000218243	0.970823	1.65E-05	1.35695
hypothetical protein DKFZp434J1015	DKFZp434J1015	XM_496849 /// XM_499257	9.05E-05	0.000221626	0.972149	3.80E-05	1.22581
Similar to echinoderm microtubule associated protein like 5	NA	XM_376056	4.91E-07	4.51E-07	0.972329	4.42E-07	0.974766
EPH receptor B2	EPHB2	NM_004442 /// NM_017449	5.56E-06	6.83E-06	0.972619	3.72E-06	1.0468
FLJ43339 protein	FLJ43339	NM_207380	4.40E-07	4.49E-06	0.973493	1.34E-07	1.47095
L1 cell adhesion molecule	L1CAM	NM_000425 /// NM_024003	2.09E-08	2.84E-08	0.975777	1.40E-08	1.05769
septin 6 /// cytokine-like nuclear factor n-pac	SEPT6 /// N-PAC	NM_015129 /// NM_032569 /// NM_145799 /// NM_145800 /// NM_145802	7.67E-08	6.94E-08	0.97688	7.19E-08	0.972828
purine-rich element binding protein B	PURB	NM_033224	7.22E-08	1.21E-07	0.978667	4.16E-08	1.10619
complement component 1, r subcomponent	C1R	NM_001733	1.37E-05	2.52E-05	0.979279	6.89E-06	1.14933
tumor necrosis factor receptor superfamily, member 25	TNFRSF25	NM_003790 /// NM_148965 /// NM_148966 /// NM_148967 /// NM_148968 /// NM_148969	3.65E-05	6.66E-05	0.979773	1.80E-05	1.1565
melanoma cell adhesion molecule	MCAM	NM_006500	1.08E-07	2.03E-07	0.980413	5.75E-08	1.134
sulfide quinone reductase-like (yeast)	SQRDL	NM_021199	1.68E-09	1.61E-09	0.980606	1.53E-09	0.985596
guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1	NM_002074	8.59E-10	7.81E-09	0.981041	2.72E-10	1.43187
N-myc downstream regulated gene 1	NDRG1	NM_006096	3.33E-06	4.40E-06	0.985049	2.13E-06	1.07457
solute carrier family 44, member 1	SLC44A1	NM_022109 /// NM_080546	2.19E-07	5.30E-07	0.986132	1.02E-07	1.19294
metallothionein 1G	MT1G	NM_005950	5.61E-08	7.99E-08	0.987492	3.60E-08	1.08181
four and a half LIM domains 2	FHL2	NM_001450 /// NM_201555 /// NM_201556 /// NM_201557	1.32E-10	1.31E-10	0.989482	1.18E-10	1.00156
claudin 23	CLDN23	NM_194284	3.82E-05	3.19E-05	0.990274	3.37E-05	0.98372
CD9 antigen (p24)	CD9	NM_001769	2.46E-09	9.52E-09	0.990434	9.75E-10	1.28095
hypothetical protein FLJ22313	FLJ22313	NM_022373	2.58E-08	9.97E-08	0.991545	1.02E-08	1.28679
RAB3B, member RAS oncogene family	RAB3B	NM_002867	2.24E-07	1.77E-07	0.99338	2.40E-07	0.959289
adenylate kinase 5	AK5	NM_012093 /// NM_174858	7.64E-05	0.000115247	0.993779	4.11E-05	1.13615
CDNA FLJ42405 fis, clone ASTRO3000474	NA	NA	3.17E-05	4.42E-05	0.995824	1.85E-05	1.11167
NA	NA	NA	1.01E-06	6.78E-06	0.996184	3.34E-07	1.42367
lectin, galactoside-binding, soluble, 3 (galectin 3) /// galectin-3 internal gen	LGALS3 /// GALIG	NM_002306 /// NM_194327	3.89E-10	2.71E-09	0.99742	1.31E-10	1.4025
nexilin (F actin binding protein)	NEXN	NM_144573	0.000362144	0.000257278	0.998082	0.000337997	0.961052
pleckstrin homology-like domain, family B, member 3	PHLDB3	NM_198850	1.18E-08	1.01E-08	0.998405	1.19E-08	0.97997
cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	NM_000777	6.49E-06	7.51E-06	0.999779	4.52E-06	1.06319
cytochrome P450, family 3, subfamily A, polypeptide 5	CYP3A5	NM_000777	1.71E-05	3.62E-05	1.00405	8.00E-06	1.21149
tight junction protein 2 (zona occludens 2)	TJP2	NM_004817 /// NM_201629	4.73E-07	3.69E-07	1.00457	5.09E-07	0.967634
twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	TWIST1	NM_000474	0.000323288	0.000350331	1.00928	0.000204598	1.08696
synovial sarcoma translocation gene on chromosome 18-like 1	SS18L1	NM_015558 /// NM_198935	2.97E-08	8.09E-08	1.00936	1.33E-08	1.23986
TBC1 domain family, member 2	TBC1D2	NM_018421	2.52E-06	8.76E-06	1.01132	9.94E-07	1.31265
talin 1	TLN1	NM_006289	0.000610857	0.000991175	1.01546	0.000289461	1.21185
stimulated by retinoic acid gene 6 homolog (mouse) /// stimulated by retinoic ac	STRA6	NM_022369	3.48E-07	5.69E-07	1.01623	2.00E-07	1.14761
SEC24 related gene family, member A (S. cerevisiae)	SEC24A	XM_094581	6.22E-07	7.71E-07	1.01984	4.30E-07	1.092
ribonucleotide reductase M2 B (TP53 inducible)	RRM2B	NM_015713	4.69E-08	1.60E-07	1.0216	1.92E-08	1.30234
THUMP domain containing 1	THUMPD1	NM_017736	8.23E-06	1.38E-05	1.02205	4.42E-06	1.17462
acid phosphatase-like 2	ACPL2	NM_152282	1.00E-07	1.49E-06	1.02217	2.91E-08	1.61277
EPH receptor B2	EPHB2	NM_004442 /// NM_017449	7.50E-06	9.32E-06	1.02331	4.93E-06	1.10579
synaptogyrin 3	SYNGR3	NM_004209	1.70E-06	1.02E-05	1.02426	5.74E-07	1.44479
nuclear receptor binding SET domain protein 1	NSD1	NM_022455 /// NM_172349	8.16E-07	7.77E-07	1.0255	7.03E-07	1.03771
KIAA1571 protein	KIAA1571	XM_371590	5.02E-07	8.65E-07	1.02566	2.79E-07	1.17076
STEAP family member 3	STEAP3	NM_001008410 /// NM_018234 /// NM_182915	1.12E-08	1.55E-07	1.02825	3.31E-09	1.59385
Niemann-Pick disease, type C2	NPC2	NM_006432	3.80E-10	3.28E-10	1.02901	3.88E-10	1.00988
nucleosome assembly protein 1-like 3	NAP1L3	NM_004538	3.51E-05	2.92E-05	1.02976	3.13E-05	1.02088
Transcribed locus	NA	NA	8.90E-09	3.14E-08	1.03275	3.63E-09	1.31934
leucine-rich repeat-containing G protein-coupled receptor 6	LGR6	NM_001017403 /// NM_001017404 /// NM_021636	3.67E-08	1.17E-07	1.03416	1.55E-08	1.30305
solute carrier family 25, member 37	SLC25A37	NM_016612 /// NM_018579	1.07E-07	9.21E-08	1.03423	1.06E-07	1.01744
chondroitin sulfate proteoglycan 5 (neuroglycan C)	CSPG5	NM_006574	8.15E-05	5.30E-05	1.03726	9.27E-05	0.964625
THUMP domain containing 1	THUMPD1	NM_017736	3.71E-06	6.98E-06	1.03892	1.90E-06	1.21474
RAP2B, member of RAS oncogene family	RAP2B	NM_002886	5.44E-10	1.26E-09	1.04086	2.68E-10	1.23834
solute carrier family 25, member 37	SLC25A37	NM_016612 /// NM_018579	9.26E-05	8.53E-05	1.04184	7.14E-05	1.06638
collagen, type IV, alpha 5 (Alport syndrome)	COL4A5	NM_000495 /// NM_033380 /// NM_033381	3.62E-09	2.97E-09	1.04232	3.85E-09	1.01245
PYD and CARD domain containing	PYCARD	NM_013258 /// NM_145182 /// NM_145183	1.23E-09	2.86E-09	1.04253	6.07E-10	1.2414
potassium channel, subfamily K, member 1	KCNK1	NM_002245	2.25E-06	1.86E-06	1.04429	2.19E-06	1.0245
tripartite motif-containing 8 /// tripartite motif-containing 8	TRIM8	NM_030912	4.32E-08	1.89E-07	1.04604	1.63E-08	1.38537
brain-specific angiogenesis inhibitor 2	BAI2	NM_001703	3.01E-06	2.78E-06	1.04633	2.60E-06	1.05432
lecithin-cholesterol acyltransferase	LCAT	NM_000229	4.45E-07	5.92E-07	1.04715	2.93E-07	1.13659
cadherin 19, type 2	CDH19	NM_021153	1.49E-05	9.82E-06	1.0482	1.79E-05	0.973162
CDNA FLJ35260 fis, clone PROST2004258	NA	NA	2.79E-07	1.78E-07	1.04922	3.92E-07	0.957292
5-nucleotidase, ecto (CD73)	NT5E	NM_002526	1.37E-07	2.30E-07	1.04965	7.79E-08	1.18943
Chromosome 8 open reading frame 1	C8orf1	NM_004337	1.11E-07	4.30E-06	1.05073	2.95E-08	1.87893
hypothetical protein FLJ22313	FLJ22313	NM_022373	5.71E-10	3.31E-09	1.05343	2.01E-10	1.44359
aquaporin 3	AQP3	NM_004925	3.93E-08	3.98E-08	1.05568	3.32E-08	1.07771
KDEL (Lys-Asp-Glu-Leu) containing 1	KDELC1	NM_024089	9.57E-08	4.40E-07	1.05697	3.54E-08	1.41329
sushi domain containing 2	SUSD2	NM_019601	1.05E-07	3.30E-07	1.05811	4.44E-08	1.33329
MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)	NA	NA	0.000290699	0.000191518	1.05986	0.000301382	0.995991
Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain,	CITED2	NM_006079	6.87E-06	1.11E-05	1.06596	3.79E-06	1.21502
plasminogen activator, tissue	PLAT	NM_000930 /// NM_000931 /// NM_033011	3.57E-05	3.37E-05	1.06683	2.81E-05	1.09144
topoisomerase (DNA) I, mitochondrial	TOP1MT	NM_052963	2.85E-07	3.45E-06	1.06856	8.49E-08	1.64876
four and a half LIM domains 1	FHL1	NM_001449	3.91E-08	5.63E-08	1.07478	2.50E-08	1.17938
diacylglycerol kinase, alpha 80kDa	DGKA	NM_001345 /// NM_201444 /// NM_201445 /// NM_201554	4.67E-08	4.73E-08	1.07487	3.94E-08	1.09775
latent transforming growth factor beta binding protein 3	LTBP3	NM_021070	1.63E-05	5.15E-05	1.07889	6.44E-06	1.39796
neuronal guanine nucleotide exchange factor	NGEF	NM_019850	5.90E-07	9.57E-07	1.08105	3.39E-07	1.22059
hypothetical protein LOC284611	LOC284611	NM_001010883	1.77E-07	1.28E-07	1.08174	2.11E-07	1.02146
olfactomedin 1	OLFM1	NM_006334 /// NM_014279 /// NM_058199	1.07E-05	2.60E-05	1.08439	4.72E-06	1.33765
potassium intermediate/small conductance calcium-activated channel, subfamily N,	KCNN4	NM_002250	3.80E-06	2.98E-06	1.08558	3.87E-06	1.05221
guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1	NM_002074	3.33E-09	3.55E-08	1.0858	1.02E-09	1.62258
Follicular lymphoma variant translocation 1	FVT1	NM_002035	2.38E-07	2.73E-07	1.08812	1.78E-07	1.14327
chromosome 1 open reading frame 139	C1orf139	NM_001002292 /// NM_024911	1.67E-06	9.28E-07	1.09039	2.79E-06	0.956854
protease, serine, 1 (trypsin 1) /// protease, serine, 2 (trypsin 2) /// protease	PRSS1 /// PRSS2 /// PRS	NM_002769 /// NM_002770 /// NM_002771 /// NR_001296	2.88E-05	1.85E-05	1.0904	3.49E-05	1.00686
four and a half LIM domains 1	FHL1	NM_001449	5.48E-06	3.69E-06	1.096	6.66E-06	1.02067
U2AF homology motif (UHM) kinase 1	UHMK1	NM_175866	1.61E-05	1.56E-05	1.09608	1.27E-05	1.12366
obscurin-like 1	OBSL1	XM_051017	7.53E-06	2.04E-05	1.10155	3.21E-06	1.38075
homeodomain interacting protein kinase 3	HIPK3	NM_005734	2.91E-05	4.61E-05	1.10261	1.57E-05	1.2627
Solute carrier family 25, member 37	MSCP	NM_016612 /// NM_018579	4.69E-08	5.07E-08	1.10508	3.73E-08	1.14441
solute carrier family 25, member 37	SLC25A37	NM_016612 /// NM_018579	8.94E-09	8.49E-09	1.10852	8.14E-09	1.11376
Ets homologous factor	EHF	NM_012153	2.82E-05	0.000180183	1.10929	9.08E-06	1.62547
aldehyde oxidase 1	AOX1	NM_001159	5.49E-07	4.31E-07	1.11296	5.82E-07	1.07464
capping protein (actin filament), gelsolin-like	CAPG	NM_001747	8.67E-09	2.30E-08	1.11687	3.98E-09	1.36258
CDNA FLJ34585 fis, clone KIDNE2008758	NA	NA	6.10E-06	3.99E-06	1.11706	7.67E-06	1.03207
dual specificity phosphatase 6	DUSP6	NM_001946 /// NM_022652	3.56E-06	2.04E-06	1.11959	5.55E-06	0.992866
ring finger protein 144	RNF144	NM_014746	3.81E-09	1.21E-08	1.12632	1.62E-09	1.41296
secretory carrier membrane protein 1	SCAMP1	NM_004866 /// NM_052822	6.75E-07	4.41E-06	1.12659	2.24E-07	1.60064
fibroblast growth factor binding protein 1	FGFBP1	NM_005130	5.29E-06	4.94E-06	1.12911	4.46E-06	1.14324
DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DDX3Y	NM_004660	8.58E-07	5.43E-07	1.13006	1.19E-06	1.03038
epithelial membrane protein 2	EMP2	NM_001424	1.28E-09	1.56E-08	1.13007	3.85E-10	1.71634
ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5	NM_004755 /// NM_182398	7.24E-09	7.01E-09	1.13099	6.48E-09	1.14106
EGF-like-domain, multiple 4	EGFL4	NM_001410	6.38E-09	7.13E-09	1.13164	5.01E-09	1.17778
SPOC domain containing 1	SPOCD1	NM_144569	3.66E-06	2.49E-06	1.13384	4.43E-06	1.05822
lysosomal-associated membrane protein 2	LAMP2	NM_002294 /// NM_013995	1.59E-07	7.25E-07	1.1349	5.85E-08	1.51894
nudix (nucleoside diphosphate linked moiety X)-type motif 15	NUDT15	NM_018283	1.12E-10	6.41E-09	1.13598	2.95E-11	2.07886
fibrillin 1 (Marfan syndrome)	FBN1	NM_000138	8.56E-08	2.50E-07	1.13974	3.72E-08	1.41887
metallothionein 1X	MT1X	NM_005952	1.55E-08	8.18E-08	1.14039	5.56E-09	1.54913
glutamate-ammonia ligase (glutamine synthetase)	GLUL	NM_001033044 /// NM_001033056 /// NM_002065	3.22E-07	2.26E-07	1.14047	3.97E-07	1.06849
brain expressed X-linked-like 1	BEXL1	XM_043653	8.98E-05	8.14E-05	1.15025	7.05E-05	1.17201
activated leukocyte cell adhesion molecule	ALCAM	NM_001627	2.89E-09	6.08E-08	1.15253	8.10E-10	1.88013
laminin, beta 3	LAMB3	NM_000228 /// NM_001017402	4.57E-06	3.07E-06	1.15371	5.61E-06	1.07281
hypothetical protein LOC51315	LOC51315	NM_016618	3.87E-07	2.74E-06	1.15402	1.27E-07	1.65406
transmembrane protein 16A	TMEM16A	NM_018043	5.89E-06	5.38E-06	1.15567	5.06E-06	1.16421
tetratricopeptide repeat domain 7B	TTC7B	NM_001010854	4.17E-07	3.63E-07	1.16044	3.97E-07	1.14828
ankyrin repeat domain 22	ANKRD22	NM_144590	0.000555395	0.000401101	1.16152	0.000494063	1.12768
runt-related transcription factor 2	RUNX2	NM_001015051 /// NM_001024630 /// NM_004348	1.15E-06	8.11E-07	1.16217	1.38E-06	1.09176
polymerase I and transcript release factor	PTRF	NM_012232	3.41E-06	2.13E-06	1.16331	4.67E-06	1.05855
aldehyde dehydrogenase 1 family, member A3	ALDH1A3	NM_000693	3.44E-05	1.62E-05	1.16836	6.92E-05	0.971771
myosin ID	MYO1D	NM_015194	5.71E-06	5.31E-06	1.16887	4.82E-06	1.18266
transcription elongation factor A (SII)-like 3	TCEAL3	NM_001006933 /// NM_032926	1.66E-07	2.49E-07	1.16982	1.02E-07	1.29767
CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	CD47	NM_001025079 /// NM_001025080 /// NM_001777 /// NM_198793	5.34E-07	1.26E-06	1.17016	2.51E-07	1.41366
Hypothetical protein FLJ14681	FLJ14681	NM_032824	1.36E-07	1.15E-07	1.17045	1.36E-07	1.1475
renal tumor antigen	RAGE	NM_014226	9.90E-10	2.36E-09	1.17292	4.80E-10	1.40288
hypothetical protein FLJ22313	FLJ22313	NM_022373	1.93E-07	3.61E-07	1.17514	1.03E-07	1.35852
metallothionein 1E (functional)	MT1E	NM_175617	7.74E-05	8.78E-05	1.17641	5.05E-05	1.26393
trinucleotide repeat containing 6A	TNRC6A	NM_014494 /// NM_020847	6.19E-09	3.36E-09	1.17937	1.18E-08	1.02302
glutamate-ammonia ligase (glutamine synthetase)	GLUL	NM_001033044 /// NM_001033056 /// NM_002065	2.29E-07	1.12E-07	1.1811	5.02E-07	0.992733
Ras-like without CAAX 1	RIT1	NM_006912	1.05E-05	5.52E-06	1.18193	1.80E-05	1.02268
epithelial membrane protein 1	EMP1	NM_001423	9.68E-08	7.89E-08	1.18279	1.01E-07	1.14949
tryptophan 2,3-dioxygenase	TDO2	NM_005651	4.47E-06	3.61E-06	1.18366	4.40E-06	1.15571
stearoyl-CoA desaturase 5	SCD5	NM_024906	0.00033124	0.000432394	1.18555	0.000183627	1.3346
colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophag	CSF2RA	NM_006140 /// NM_172245 /// NM_172246 /// NM_172247 /// NM_172248 /// NM_172249	2.30E-08	1.81E-08	1.1924	2.55E-08	1.14617
CD44 antigen (homing function and Indian blood group system)	CD44	NM_000610 /// NM_001001389 /// NM_001001390 /// NM_001001391 /// NM_001001392	5.97E-07	2.97E-07	1.19315	1.25E-06	1.00824
formin-like 2	FMNL2	NM_001004417 /// NM_001004421 /// NM_001004422 /// NM_052905	3.17E-10	2.19E-10	1.1957	4.25E-10	1.11
tumor necrosis factor receptor superfamily, member 11a, NFKB activator	TNFRSF11A	NM_003839	2.60E-08	1.14E-08	1.19952	7.59E-08	0.965895
metallothionein 1H	MT1H	NM_005951	3.98E-09	1.13E-08	1.20145	1.78E-09	1.47993
HtrA serine peptidase 1	HTRA1	NM_002775	3.98E-07	3.58E-07	1.20223	3.69E-07	1.198
hypothetical protein FLJ39370	FLJ39370	NM_152400	1.45E-08	4.70E-07	1.2034	3.92E-09	2.08238
chromosome 2 open reading frame 32	C2orf32	NM_015463	3.43E-07	6.89E-07	1.20348	1.76E-07	1.411
chemokine (C-C motif) ligand 26	CCL26	NM_006072	5.34E-08	1.09E-07	1.20508	2.75E-08	1.41147
insulin-like growth factor binding protein 6	IGFBP6	NM_002178	1.51E-10	4.89E-10	1.20828	6.41E-11	1.5171
solute carrier family 4, sodium bicarbonate transporter-like, member 11	SLC4A11	NM_032034	7.40E-06	1.62E-05	1.21002	3.47E-06	1.46001
Voltage gated channel like 1	VGCNL1	NM_052867	2.04E-07	1.42E-07	1.21241	2.55E-07	1.13298
chondroitin sulfate GalNAcT-2	GALNACT-2	NM_018590	6.18E-08	1.07E-07	1.21369	3.50E-08	1.3793
family with sequence similarity 61, member A	FAM61A	NM_015578	5.99E-09	1.68E-07	1.21578	1.64E-09	2.05954
scavenger receptor class A, member 3	SCARA3	NM_016240 /// NM_182826	1.92E-07	7.22E-07	1.21673	7.54E-08	1.58096
microtubule associated monoxygenase, calponin and LIM domain containing 2 MICAL2	NM_014632	4.69E-10	6.22E-10	1.21905	3.24E-10	1.31162
integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	ITGA2	NM_002203	4.50E-07	2.55E-07	1.22125	7.51E-07	1.07658
guanine deaminase	GDA	NM_004293	3.97E-08	6.36E-08	1.22196	2.37E-08	1.368
hypothetical protein FLJ36748	FLJ36748	NM_152406	1.10E-07	1.09E-07	1.22502	9.39E-08	1.2456
synaptotagmin XIII	SYT13	NM_020826	6.95E-08	4.69E-08	1.22783	9.20E-08	1.13657
cytidine deaminase	CDA	NM_001785	2.03E-08	3.39E-08	1.23056	1.18E-08	1.38757
ATPase, Class II, type 9A	ATP9A	NM_006045	2.12E-09	3.90E-09	1.23216	1.18E-09	1.40973
stanniocalcin 1	STC1	NM_003155	2.45E-05	1.03E-05	1.23244	6.43E-05	0.979044
latent transforming growth factor beta binding protein 4	LTBP4	NM_003573	1.13E-05	1.07E-05	1.23297	9.16E-06	1.25665
MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)	NA	NA	1.78E-07	1.27E-07	1.23313	2.14E-07	1.16131
transgelin	TAGLN	NM_001001522 /// NM_003186	1.55E-07	1.77E-06	1.23992	4.66E-08	1.89174
polymerase I and transcript release factor	PTRF	NM_012232	8.60E-06	4.75E-06	1.24059	1.38E-05	1.08904
secretory carrier membrane protein 1	SCAMP1	NM_004866 /// NM_052822	1.14E-07	1.70E-06	1.24372	3.31E-08	1.96438
hypothetical LOC554202	LOC554202	NA	1.63E-07	1.44E-07	1.24378	1.54E-07	1.23429
obscurin-like 1	OBSL1	XM_051017	1.15E-05	1.72E-05	1.24627	6.55E-06	1.40281
interferon, gamma-inducible protein 16	IFI16	NM_005531	4.28E-07	3.07E-07	1.24753	5.09E-07	1.17592
nexilin (F actin binding protein)	NEXN	NM_144573	3.05E-07	1.83E-07	1.25023	4.68E-07	1.12078
