EGID	SYMBOL	GENENAME	ID	logFC	AveExpr	t	P.Value	adj.P.Val
29953	TRHDE	thyrotropin-releasing hormone degrading enzyme	219937_at	-3.05	4.33	-5.68	0	0
57606	SLAIN2	SLAIN motif family, member 2	224853_at	-1.07	5.51	-5.7	0	0
10808	HSPH1	heat shock 105kDa/110kDa protein 1	208744_x_at	-1.58	9.8	-5.75	0	0
7424	VEGFC	vascular endothelial growth factor C	209946_at	-2.65	4.03	-5.77	0	0
39	ACAT2	acetyl-Coenzyme A acetyltransferase 2	209608_s_at	-1.31	9.61	-5.78	0	0
26515	FXC1	fracture callus 1 homolog (rat)	217981_s_at	-1.15	8.07	-5.8	0	0
8898	MTMR2	myotubularin related protein 2	203211_s_at	-1.03	9.07	-5.88	0	0
27068	PPA2	pyrophosphatase (inorganic) 2	1556285_s_at	-1.45	8.98	-5.91	0	0
51399	TRAPPC4	trafficking protein particle complex 4	217959_s_at	-1.16	9.52	-5.92	0	0
84817	TXNDC17	thioredoxin domain containing 17	228743_at	-1.21	6.06	-5.93	0	0
55863	TMEM126B	transmembrane protein 126B	221622_s_at	-1.08	10.13	-5.93	0	0
283237	TTC9C	tetratricopeptide repeat domain 9C	226175_at	-1.11	7.89	-6.08	0	0
467	ATF3	activating transcription factor 3	1554980_a_at	-1.36	6.62	-6.11	0	0
4085	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	1554768_a_at	-1.27	9.99	-6.16	0	0
23244	PDS5A	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)	213983_s_at	-1.33	7.12	-6.31	0	0
440	ASNS	asparagine synthetase	205047_s_at	-1.75	10.29	-6.31	0	0
84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	224839_s_at	-1.6	6.6	-6.34	0	0
1004	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	205533_s_at	-1.44	2.79	-6.37	0	0
2230	FDX1	ferredoxin 1	203647_s_at	-1.1	8.88	-6.46	0	0
5481	PPID	peptidylprolyl isomerase D (cyclophilin D)	204185_x_at	-1.5	9.46	-6.47	0	0
833	CARS	cysteinyl-tRNA synthetase	240983_s_at	-1.67	7.16	-6.51	0	0
3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	202539_s_at	-1.46	8.92	-6.54	0	0
84437	KIAA1826	KIAA1826	227418_at	-1.14	8.08	-6.75	0	0
83667	SESN2	sestrin 2	223195_s_at	-1.99	6.78	-6.81	0	0
11221	DUSP10	dual specificity phosphatase 10	221563_at	-1.87	6.83	-6.81	0	0
6307	SC4MOL	sterol-C4-methyl oxidase-like	209146_at	-1.95	9.5	-6.95	0	0
3157	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	205822_s_at	-2.35	8.7	-6.98	0	0
81579	PLA2G12A	phospholipase A2, group XIIA	221027_s_at	-1.74	7.03	-7.25	0	0
4141	MARS	methionyl-tRNA synthetase	201475_x_at	-1.21	9.45	-7.78	0	0
6713	SQLE	squalene epoxidase	213562_s_at	-1.97	7.9	-8.04	0	0
79094	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	219270_at	-2.34	5.97	-8.25	0	0
23657	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	209921_at	-4.05	6.91	-11.46	0	0
