ID	Name	Description	Function	Gene Expression Patterns
D50925	KIAA0135	KIAA0135 protein	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
X79683	LAMB2	Laminin, beta 2 (laminin S)	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U65416	MICB	MHC class I polypeptide-related sequence B	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
J02854	MYRL2	Myosin regulatory light chain 2, smooth muscle isoform	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
M94167	NRG1	Neuregulin 1	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
D86425	NID2	Nidogen 2	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U24183	PFKM	Phosphofructokinase, muscle	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
K03021	PLAT	Plasminogen activator, tissue	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U09937	PLAUR	Plasminogen activator, urokinase receptor	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
M21574	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
Z11585	NA	Potassium channel protein (Gb:Z11585)	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U25988	PSG11	Pregnancy-specific beta-1-glycoprotein 11	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
D28235	PTGS2	Prostaglandin-endoperoxide synthase 2	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U19948	PDI	Protein disulfide isomerase	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
X17042	PRG1	Proteoglycan core protein	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
X14684	SSB	Sjögren syndrome antigen B (autoantigen La)	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
U19495	SDF1	Stromal cell-derived factor 1	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
D79984	SUPT6H	Suppressor of Ty (Saccharomyces cerevisiae) 6 homologue	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
M32304	TIMP2	Tissue inhibitor of metalloproteinase 2	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
M99439	TLF4	Transducin-like enhancer of split 4, homologue of Drosophila E(sp1)	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
M55153	TGM2	Transglutaminase 2	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
D78577	YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	Miscellaneous	Genes that are expressed in normal fibroblasts but not detected in HeLa tumor-related cells
