Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0439gpr MPP vs LT	0461gpr LT vs MPP	5351gpr MPP vs LT	5352gpr LT vs MPP	5359gpr LT vs MPP	5360gpr MPP vs LT	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AI385700	Scn1b	sodium channel, voltage-gated, type I, beta polypeptide	Mm.1418	20266		7		1.4123	1.0623	1.4362	1.3914	-0.0262	1.1623	6	2.216569234	0.45114765	1.590367101	1.07305	0.674718434	0.619813202
BG074000	1200013B22Rik	RIKEN cDNA 1200013B22 gene	Mm.100666	74137		1	1 E4	1.1102	1.0303	1.2227	0.7715	0.6877	0.4788	6	1.87439614	0.533505153	1.57159057	0.883533333	0.562190529	0.619813202
AV013563	Sh2bp1	SH2 domain binding protein 1 (tetratricopeptide repeat containing)	Mm.255858	22083	TPR-containing, SH2-binding phosphoprotein	7		0.5484	1.2797	1.1386	1.1455	1.1158	0.3935	6	1.964162676	0.509122799	1.569681174	0.936916667	0.59688342	0.619813202
BG072837	Rkhd3	ring finger and KH domain containing 3	Mm.306789	108797		7		2.4046	1.8773	0.7607	0.593	0.2614	1.4881	6	2.695880458	0.370936329	1.5690737	1.23085	0.784443714	0.619813202
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								0.3743	0.919	1.5411	1.6225	2.5708	0.3986	6	2.739312537	0.365055096	1.564308359	1.237716667	0.791222945	0.619813202
BG073660		Transcribed sequences	Mm.329151					0.6737	0.6795	0.8937	0.9407	1.039	0.6098	6	1.759164692	0.568451609	1.557477406	0.806066667	0.517546299	0.619813202
BG072125		Transcribed sequences	Mm.173903					1.1395	2.0094	0.4194	0.6767	1.2277	0.8169	6	2.211432406	0.452195598	1.555892916	1.048266667	0.673739597	0.619813202
BG072955	Myo5a	myosin Va	Mm.3645	17918		9		0.8458	0.4821	1.3561	1.1337	0.5122	1.3167	6	1.977557744	0.505674235	1.555836648	0.9411	0.604883553	0.619813202
BG066648	D13Ertd275e	DNA segment, Chr 13, ERATO Doi 275, expressed	Mm.274466	52552		13		1.6949	0.6769	0.9527	0.5832	0.628	1.3599	6	2.063666737	0.484574366	1.555806923	0.9826	0.631569371	0.619813202
BG065106	Mlp	MARCKS-like protein	Mm.2769	17357		4		2.055	1.538	1.1789	1.1245	-0.254	1.4795	6	2.521790413	0.39654366	1.552010805	1.186983333	0.764803524	0.619813202
AV018220	Vldlr	very low density lipoprotein receptor	Mm.4141	22359		19			1.3703	0.692	0.5756	1.2482	1.0445	5	1.854860311	0.539124156	1.548211863	0.914858333	0.590912881	1.063991452
AW547240	D7Bwg0611e	DNA segment, Chr 7, Brigham & Womens Genetics 0611 expressed	Mm.27366	52857		7		1.6775	1.4468	0.5793	0.6941	0.8176	0.6737	6	2.065731381	0.484090046	1.545868871	0.9815	0.634918018	1.063991452
AI322354	Tmsb10	thymosin, beta 10	Mm.3532	19240		7		2.1599	1.6312	0.9396	1.1005	0.048	0.9491	6	2.43222154	0.411146758	1.542066852	1.13805	0.738003024	1.063991452
AV025023	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	Mm.248606	71704		14		0.4869	1.0194	0.9425	1.2904	1.489	0.4575	6	1.996070676	0.500984265	1.537193009	0.947616667	0.616459131	1.063991452
AA154597	Mlp	MARCKS-like protein	Mm.2769	17357		4		2.2512	1.6081	0.9678	1.1107	-0.1285	1.2432	6	2.534443292	0.394563967	1.531256224	1.175416667	0.767615928	1.063991452
AA170490	F730001G15Rik	RIKEN cDNA F730001G15 gene	Mm.123648	229323		3	3 D	0.5683	1.9169	1.0917	1.2609	0.6359	0.5952	6	2.141862372	0.466883406	1.527231182	1.011483333	0.66229877	1.063991452
AV035433	Tbc1d5	TBC1 domain family, member 5	Mm.182469	72238		17	17 C	1.6923		1.5438	1.2133	0.8133	0.7384	5	2.148592415	0.465420986	1.522716063	1.030228333	0.676572841	1.063991452
BF100414	Itgb5	integrin beta 5	Mm.6424	16419		16	16 A1	1.0475	2.3897	1.7471	2.1264	0.6687	-0.2254	6	2.912587278	0.343337351	1.522558865	1.292333333	0.84879039	1.063991452
BG068173		Transcribed sequence with strong similarity to protein ref:NP_003454.1 (H.sapiens) protein tyrosine phosphatase type IVA, member 1; Protein tyrosine phosphatase IVA1 [Homo sapiens]	Mm.313515	19243; 213411		1	1 B	1.081	0.3883	0.9988	0.905	0.6433	1.6247	6	1.990151973	0.50247419	1.520918578	0.940183333	0.618168091	1.063991452
BG070398	Net1	neuroepithelial cell transforming gene 1	Mm.22261	56349		13	13 A1	1.5918	1.8006	0.6315	0.609	0.2891	1.5094	6	2.273512191	0.439848092	1.519522335	1.0719	0.705419049	1.063991452
BG075719		Transcribed sequences	Mm.182827					2.381	1.3096	1.0565	0.8039	0.8444	0.2968	6	2.422888848	0.412730448	1.519453228	1.115366667	0.734057914	1.063991452
BG073223	Gsn	gelsolin	Mm.21109	227753		2		0.7893	1.1005	0.629	0.5693	1.1612	0.7327	6	1.80016694	0.555504036	1.518732173	0.830333333	0.546727954	1.063991452
AV033989				NA	Mus musculus osf-2 mRNA for osteoblast specific factor 2, co		NA	2.0488		2.2855	2.8237	0.7246	-0.2141	5	3.267871848	0.306009552	1.517053109	1.397348333	0.921093879	1.063991452
AV086574	Tcof1	Treacher Collins Franceschetti syndrome 1, homolog	Mm.2215	21453		18		0.8771	2.5251	0.985	1.1858	0.2315	1.0434	6	2.513692597	0.397821118	1.512734204	1.141316667	0.754472705	1.063991452
C76920				NA			NA	1.3738	1.2278	0.5604	0.4999	0.5838	1.457	6	2.011095424	0.497241448	1.510757711	0.95045	0.629121396	1.063991452
BG072013	Igf2bp3	insulin-like growth factor 2, binding protein 3	Mm.137853	140488		6		2.0456	0.7844	0.3171	0.5033	1.2689	3.2754	6	3.434419267	0.291170041	1.509842315	1.365783333	0.904586737	1.063991452
AV086862		Similar to Probable cation-transporting ATPase 3 (ATPase family homolog up-regulated in senescence cells 1) (LOC224087), mRNA	Mm.8924	224087		16	16 A1	1.6014	1.4018	0.4717	0.3329	0.7386	1.696	6	2.205256964	0.453461894	1.506476739	1.0404	0.690618032	1.063991452
AA108506	Kifc3	kinesin family member C3	Mm.22513	16582		8		2.0839	1.8283	0.1574	0.3723	1.2096	1.2052	6	2.469803089	0.404890578	1.506080587	1.142783333	0.758779672	1.063991452
BG063332	1810031K02Rik	RIKEN cDNA 1810031K02 gene	Mm.271819	69780		4	4 D2.2	0.7509	0.9707	0.9798	0.9088	0.3206	1.0773	6	1.808540326	0.5529321	1.495386285	0.834683333	0.558172388	1.063991452
AV111519	Nsg2	neuron specific gene family member 2	Mm.3304	18197	neuron specific gene family member 2	11	11 A4	0.6646	1.0112	1.9554	2.1712	1.0579	0.0483	6	2.516478891	0.397380643	1.492790479	1.151433333	0.7713295	1.063991452
BG064104	1110021N07Rik	RIKEN cDNA 1110021N07 gene	Mm.306722	67819		15	15 D2	1.0457	0.464	1.0183	0.6492	0.7455	1.8247	6	2.04274106	0.489538307	1.49234887	0.9579	0.641874041	1.063991452
AV023250	Gem	GTP binding protein (gene overexpressed in skeletal muscle)	Mm.247486	14579		4		0.5294	0.2416	1.958	1.9384	0.8735	1.0554	6	2.375676986	0.420932646	1.489359075	1.099383333	0.738158683	1.063991452
AV058653				NA	AI155118 EST:Soares mouse uterus NMPu:Mus musculus		NA	1.4098	0.6909	0.9334	0.9573	0.425	0.7618	6	1.860152497	0.537590333	1.485264088	0.863033333	0.581063893	1.063991452
AV087365	Ivns1abp	influenza virus NS1A binding protein	Mm.33764	117198		1	1 G2	0.9362	0.9263	0.8591	1.1242	0.7665	0.3358	6	1.79513418	0.557061422	1.485170981	0.824683333	0.555278378	1.063991452
BG073632		LOC380741 (LOC380741), mRNA	Mm.258121	380741		11	11 E2	2.6045	0.7443	0.6241	0.5768	0.5417	2.7103	6	3.131669745	0.319318473	1.483289659	1.300283333	0.876621316	1.063991452
AV088592				NA	2310039A20		NA	0.4494	1.9783	1.6153	1.5739	0.2079	0.7615	6	2.366142081	0.422628889	1.48248572	1.097716667	0.740456823	1.063991452
AA163737	H2-Ob	histocompatibility 2, O region beta locus	Mm.327358	15002		17		1.499		2.127	2.2553	0.5917	0.8262	5	2.708152635	0.369255406	1.481887629	1.209865	0.81643505	1.063991452
BG066615	Sfrs10	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	Mm.210352	20462; 320585		16	16 A1	0.7492	1.0427	1.6272	1.4889		0.9924	5	2.104384916	0.475198236	1.481398088	0.996956667	0.672983633	1.063991452
AV019466	Dedd2	death effector domain-containing DNA binding protein 2	Mm.349593	67379		7	7 B1	0.9459	1.4025	0.5475	0.4133	1.0073	0.9267	6	1.879055152	0.532182357	1.479764954	0.873866667	0.590544238	1.063991452
BG065140	Cdv3	carnitine deficiency-associated gene expressed in ventricle 3	Mm.261025	321022; 77007		9	9 F1	0.4637	1.1737	0.7429	0.585	1.2595	0.8724	6	1.838896348	0.543804441	1.475042914	0.849533333	0.575938046	1.063991452
AV015471	Lims1	LIM and senescent cell antigen-like domains 1	Mm.57734	110829; 320976		10		1.1971	1.4186	1.6916	1.795	-0.1305	0.6215	6	2.353055645	0.424979325	1.473793529	1.098883333	0.745615523	1.063991452
AV053883	Cd52	CD52 antigen	Mm.24130	23833		4		0.411	2.5641	2.0721	1.6809	0.5004	0.2623	6	2.878120652	0.347448951	1.472988501	1.248466667	0.847573939	1.063991452
AV113176	4930488L10Rik	RIKEN cDNA 4930488L10 gene	Mm.2962	319710		12	12 C2	1.1267	2.188	0.8841	1.044	0.8715	0.1694	6	2.267004144	0.441110795	1.468521413	1.047283333	0.713154963	1.063991452
AV024764	Edg3	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	Mm.136736	13610		13	13 A5	1.6985	1.4301	0.5193	0.5159	1.779	0.3491	6	2.251513436	0.444145695	1.468017488	1.04865	0.714330727	1.063991452
AV087875				NA	2310033K24		NA	0.7843	1.2346	2.0485	2.2559	-0.0781	0.7818	6	2.609179083	0.383262309	1.458823443	1.171166667	0.802815908	2.008386966
BG075584				NA			NA	1.7376	0.8977	1.0932	0.9711	0.3275	0.5958	6	2.009640379	0.497601467	1.458296156	0.93715	0.642633525	2.008386966
AA002910	Fos	FBJ osteosarcoma oncogene	Mm.246513	14281		12		1.3953	0.7831	1.3597	1.7757	0.4994	0.2256	6	2.154084181	0.464234411	1.458171625	1.006466667	0.690225108	2.008386966
BG071931	Camk1d	calcium/calmodulin-dependent protein kinase ID	Mm.313822	227541		2	2 A1	-0.7242	2.8002	1.2883	1.39	2.6642	1.0226	6	3.500704071	0.285656822	1.450407704	1.40685	0.969968648	2.008386966
BG072827		16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630025B04 product:unclassifiable, full insert sequence	Mm.5360	384337; 269702		5	5	0.7775	1.0586	0.5888	0.5139	0.695	1.3276	6	1.809616641	0.55260323	1.443911217	0.8269	0.57268064	2.008386966
BG067065		Transcribed sequences	Mm.34949					1.4744	1.0849	0.4214	0.461	1.8857	0.6375	6	2.144430675	0.466324238	1.441931424	0.99415	0.689457199	2.008386966
AV033729	A030009H04Rik	RIKEN cDNA A030009H04 gene	Mm.5324	80515		11	11 B3	1.5737	1.1842	0.72	0.7445	0.5548	0.534	6	1.914753949	0.522260315	1.441764632	0.8852	0.61396984	2.008386966
AU044942	2810423G08Rik	RIKEN cDNA 2810423G08 gene	Mm.41540	72174		12	12 A2	2.1428	1.6551	1.6833	1.578	-1.1066	2.3359	6	3.212642126	0.311270276	1.440430272	1.381416667	0.959030571	2.008386966
BG064493		Transcribed sequences	Mm.321604					1.6238	1.4778	0.5934	0.5175	0.1876	2.0892	6	2.366892164	0.422494956	1.436246216	1.08155	0.753039408	2.008386966
BG072886	2810408E11Rik	RIKEN cDNA 2810408E11 gene	Mm.291015	106200		16	16 A1	2.1767	1.2948	0.4286	0.3811	0.9661	0.9193	6	2.244603842	0.445512915	1.435112314	1.027766667	0.716157653	2.008386966
BG074838	Zfp503	zinc finger protein 503	Mm.292401	218820		14		3.6347	1.8418	0.7192	0.8468	0.1963	0.9393	6	3.752269767	0.266505359	1.434693455	1.363016667	0.950040346	2.008386966
AV144758	Pde7a	phosphodiesterase 7A	Mm.296814	18583		3		0.6886	0.9578	0.8458	0.7991	0.6053	0.5158	6	1.673737111	0.597465393	1.433718391	0.7354	0.512931971	2.008386966
BG072778	Cd34	CD34 antigen	Mm.29798	12490		1		0.5689	0.3697	2.1045	2.1329	0.738	0.709	6	2.460746362	0.406380769	1.430457685	1.103833333	0.771664443	2.008386966
BG073875		Transcribed sequences	Mm.102971					1.9988	0.3758	1.3582	1.6742	0.3114	0.6124	6	2.303169894	0.43418421	1.42704998	1.055133333	0.739380784	2.008386966
BG063286	Rutbc2	RUN and TBC1 domain containing 2	Mm.200203	52850		5		1.4111	0.4779	0.8478	0.7062	0.4561	1.7151	6	2.023065225	0.494299436	1.42384236	0.9357	0.657165446	2.008386966
AV163754				NA			NA	1.2865	0.9825	0.3626	0.6542	0.7214	0.9037	6	1.799060835	0.555845572	1.42318674	0.818483333	0.57510607	2.008386966
AV002324				NA	AU043908 EST:Mouse sixteen-cell-embryo cDNA:Mus musculus		NA	2.2826	2.8009	2.5363		0.3461	0.1944	5	3.50844203	0.285026799	1.42039807	1.378871667	0.97076425	2.008386966
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								0.7471	0.5083	1.3815	1.4001	0.527	0.6603	6	1.894453279	0.527856776	1.416535315	0.870716667	0.614680522	2.008386966
BG074699	Rps6ka2	ribosomal protein S6 kinase, polypeptide 2	Mm.268383	20112; 386422		17		2.0211	1.5088	0.3597	0.4232	0.7469	0.9816	6	2.196926421	0.45518138	1.415284426	1.006883333	0.711435323	2.008386966
BG072389	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1	Mm.88367	14585		19	19 D2-D3	1.4639	0.8326	0.6115	0.7276	1.0431	0.396	6	1.849942821	0.540557248	1.413760517	0.845783333	0.598250781	2.008386966
AV095227		M.musculus mRNA for testis-specific thymosin beta-10	Mm.346305			7		1.4035	1.8912	0.9381	1.4519	-0.3021	0.9893	6	2.300473158	0.434693183	1.408676461	1.061983333	0.753887328	2.008386966
AU045309	2700038C09Rik	RIKEN cDNA 2700038C09 gene	Mm.213943	66496		2	2 H4	0.8159	1.2577	0.55	0.335	0.9851	0.9671	6	1.801893162	0.55497186	1.407350695	0.818466667	0.58156554	2.008386966
AV086981				NA	U59488 p40-phox::Mus musculus		NA	0.7499	1.9651	0.9406	0.7788	0.6154	0.5277	6	2.03245253	0.492016411	1.405463102	0.929583333	0.661407142	2.008386966
NA	NA	NA	NA		NA			0.8076	1.0848	1.3376	1.2456	0.3263	0.4236	6	1.894153265	0.527940383	1.404733229	0.870916667	0.619987232	2.008386966
BG075576		13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930426L19 product:hypothetical protein, full insert sequence	Mm.102585					1.4761	1.1588	1.155	0.8936		0.5058	5	1.919872179	0.520868009	1.392980271	0.893948333	0.641752329	3.513891436
AV084966	Sorl1	sortilin-related receptor, LDLR class A repeats-containing	Mm.121920	20660; 330933		9		1.75	1.435	0.7544	0.9672	0.1207		5	1.966107003	0.508619317	1.391262205	0.950036667	0.682859538	3.513891436
AV029347	Ssbp2	single-stranded DNA binding protein 2	Mm.208399	66970		13	13 C3	1.1444	0.943	0.9668	0.9914	0.0682	0.9233	6	1.836755596	0.544438249	1.390135234	0.839516667	0.60391007	3.513891436
BG071235		Transcribed sequences	Mm.348483					1.6238	1.6266	0.9049	0.569	0.1843		5	1.943646101	0.514496955	1.390122077	0.94873	0.68247963	3.513891436
AV078307	E130306D19Rik	RIKEN cDNA E130306D19 gene	Mm.331567	230098		4	4 A5	0.8844	1.1191	0.3396	0.6158	0.7159	1.0044	6	1.744090127	0.573364865	1.387689488	0.779866667	0.561989316	3.513891436
AV014768	0610010I15Rik	RIKEN cDNA 0610010I15 gene	Mm.273267	74090		9	9 C	2.089	1.9773	0.9215	1.095	0.1922	0.2157	6	2.421011956	0.413050418	1.383033007	1.081783333	0.782181863	3.513891436
BG074726	Aldh1b1	aldehyde dehydrogenase 1 family, member B1	Mm.331583	72535		4	4 B1	1.3756	2.1589	0.4206	0.2109	0.4947	1.7207	6	2.376897503	0.420716501	1.376646524	1.063566667	0.77257789	3.513891436
BG074665		Transcribed sequences	Mm.80710					1.875	0.5484	0.7401	0.517	0.817	0.8689	6	1.969959305	0.507624699	1.374305956	0.8944	0.650801225	3.513891436
BG067321	Rgs2	regulator of G-protein signaling 2	Mm.28262	19735		1		0.9198	0.1668	1.5189	1.3904	0.5923	0.783	6	1.955001774	0.511508487	1.372867677	0.8952	0.652065756	3.513891436
BG071379	Actb	actin, beta, cytoplasmic	Mm.297	11461; 231861		5		1.9011	1.3838	0.6031	0.4894		1.3245	5	2.128637566	0.469784061	1.369891074	0.979268333	0.71485124	3.513891436
BG072101		Transcribed sequences	Mm.17644					1.3256	0.6123	0.5374	0.4654	0.7018	1.4765	6	1.87939686	0.532085597	1.368116995	0.853166667	0.623606511	3.513891436
AV040730	Anxa3	annexin A3	Mm.7214	11745		5			0.7351	0.9715	1.2518	0.1811	1.2472	5	1.752387556	0.570650024	1.367534949	0.83864	0.613249409	3.513891436
BG069512	Fbxl10	F-box and leucine-rich repeat protein 10	Mm.86406	30841		5	5 F	0.866	0.9459	0.5945	0.5415	0.4693	1.0193	6	1.687633308	0.592545783	1.366184511	0.739416667	0.541227529	3.513891436
AV087163				NA	AI427150 EST:embryo:Mus musculus		NA	0.5294	0.5585	0.5551	0.7823	0.9352	0.9	6	1.64723812	0.607076772	1.360395164	0.710083333	0.521968434	3.513891436
AW556900	5730593F17Rik	RIKEN cDNA 5730593F17 gene	Mm.262113	215512		11	11 D	2.1332	0.8398	0.2708	0.4506	1.2124	0.9253	6	2.161014786	0.462745561	1.356649592	0.972016667	0.716483219	3.513891436
AV103254	5730593F17Rik	RIKEN cDNA 5730593F17 gene	Mm.262113	215512		11	11 D	2.5517	1.063	0.2685	0.5638	0.4832	1.544	6	2.491515162	0.401362197	1.355999052	1.079033333	0.795747852	3.513891436
BG064164	D13Wsu123e	DNA segment, Chr 13, Wayne State University 123, expressed	Mm.260009	NA			NA	1.7774	1.0844	0.3262	-0.0165	1.2948	1.446	6	2.161475413	0.462646947	1.353189323	0.985383333	0.728193252	3.513891436
AV149959				NA	AI480923 EST:blastocyst:Mus musculus		NA	0.8367	1.7276	1.0877	1.0067	0.7629	0.0265	6	1.991303338	0.502183661	1.35281796	0.908016667	0.671203882	3.513891436
AV036866				NA	Z48496 thymosin beta-10:Testis cDNA Library:Mus musculus		NA	1.167	1.7553	0.8545	1.5511	0.6391	-0.1082	6	2.140841168	0.467106115	1.352608501	0.976466667	0.721913744	3.513891436
AI841326	Trf	transferrin	Mm.37214	22041		9		1.2094	1.3494	0.6836	0.7262	0.1295	0.97	6	1.862274927	0.536977642	1.3520351	0.844683333	0.62474956	3.513891436
AA178155	Ccl4	chemokine (C-C motif) ligand 4	Mm.244263	20303		11		0.4741	0.5186	1.4387	1.7605	1.3367	0.1961	6	2.098643763	0.476498212	1.351025815	0.954116667	0.706216459	3.513891436
AV007840	Osbpl5	oxysterol binding protein-like 5	Mm.21199	79196		7		1.1283	0.3337	0.611	0.7679	0.6637	1.1685	6	1.751379509	0.570978474	1.349389445	0.77885	0.577186966	3.513891436
AV020793	Aspn	asporin	Mm.258972	66695		13	13 A5	2.1721	1.3308	0.1655	0.134	1.343	1.0422	6	2.306207597	0.433612308	1.348359025	1.031266667	0.764830915	3.513891436
BG069551	2810406C15Rik	RIKEN cDNA 2810406C15 gene	Mm.257590	68298		6	6 F3	1.4376	0.66	0.5401	0.7416	0.3936	1.1175	6	1.81637632	0.550546706	1.345707749	0.815066667	0.605678809	3.513891436
AV083696				NA	matrix metalloproteinase 2		NA	0.9266	1.0332	1.2841	1.1631	-0.0362	0.7859	6	1.886903235	0.529968883	1.344764147	0.85945	0.639108354	3.513891436
AV087388	0910001A06Rik	RIKEN cDNA 0910001A06 gene	Mm.246108	223601		15	15 D1	1.2956	0.231	0.7969	0.8631	0.6871	0.843	6	1.764760925	0.566648992	1.341049781	0.786116667	0.586194993	3.513891436
BG065795	Gm2a	GM2 ganglioside activator protein	Mm.287807	14667		11		1.356	2.7666	0.5637	0.4624	0.7415	0.6031	6	2.568590823	0.389318529	1.340389589	1.082216667	0.807389639	3.513891436
AV060308				NA	D19172 EST:Mouse 3-directed:Mus musculus		NA	0.5603	0.1754	0.9718	0.9999	0.9735	1.0399	6	1.764114071	0.566856768	1.337664521	0.7868	0.588189331	5.129154005
AV221460				NA			NA	1.1307	0.8682	0.4365	0.5572	0.85	0.5767	6	1.688949375	0.592084058	1.334954884	0.73655	0.551741493	5.129154005
AV088227	2310035M22Rik	RIKEN cDNA 2310035M22 gene	Mm.176695	66949		3	3 E1	0.8998	0.8897	0.4654	0.4397	0.6824	0.9262	6	1.660115314	0.602367794	1.334744567	0.7172	0.537331275	5.129154005
AI893218	Basp1	brain abundant, membrane attached signal protein 1	Mm.29586	70350		15	15 B1	1.477	1.1297	0.4944	0.601	0.2227	1.2154	6	1.897715734	0.526949312	1.327776383	0.8567	0.645214067	5.129154005
NA	NA	NA	NA		NA			0.2048		3.612	3.4553	0.2556	0.4621	5	4.65324324	0.214903874	1.327775546	1.468175	1.105740353	5.129154005
BG071514	Tcfcp2l1	transcription factor CP2-like 1	Mm.24621	81879		1	1 E2.3	0.8638	2.5846	1.1669	1.1157	-0.3646	1.2502	6	2.564339096	0.389964027	1.327510658	1.102766667	0.830702684	5.129154005
BG065109	Ivns1abp	influenza virus NS1A binding protein	Mm.33764	117198		1	1 G2	1.3248	0.3526	0.9635	0.7474	0.4445	0.8793	6	1.768494313	0.565452765	1.326623281	0.78535	0.591991721	5.129154005
AV042927	Gpr160	G protein-coupled receptor 160	Mm.272019	71862		3	3 A3	1.0846	0.7744	0.2986	0.7172	0.893	0.6368	6	1.686185781	0.593054461	1.324574474	0.7341	0.554215723	5.129154005
BG071999	Uvrag1	UV radiation resistance associated gene	Mm.19135	78610		7	7 E1	2.012	0.8194	0.4921	0.3527	0.6625	1.169	6	2.05215026	0.487293752	1.323249115	0.91795	0.693709136	5.129154005
AV089675	Cd34	CD34 antigen	Mm.29798	12490		1		0.4097	0.792	2.2315	2.203	0.1736	0.6703	6	2.513288984	0.397885005	1.32287681	1.080016667	0.816415148	5.129154005
AV030310	Rnf141	ring finger protein 141	Mm.96867	67150		7	7 E3	0.3901	0.5617	1.0486	0.9752	0.9397	0.5227	6	1.695949617	0.589640158	1.319354673	0.739666667	0.560627617	5.129154005
NA	NA	NA	NA		NA			0.9871	0.3842	0.5205	0.5149	1.0591	1.1028	6	1.730337041	0.57792209	1.318186178	0.761433333	0.57763717	5.129154005
AV022731				NA	AA170321 EST:Spleen:Mus musculus		NA	0.8136	0.7061	0.7696	0.6609	0.6797		5	1.546108688	0.64678506	1.316991233	0.668963333	0.507948205	5.129154005
AI851012	Resp18	regulated endocrine-specific protein 18	Mm.4032	19711		1	1 C4	1.1368	1.4703	1.1801	1.408	0.7079	-0.274	6	2.058297621	0.485838389	1.316866668	0.938183333	0.712436085	5.129154005
BG071125		16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130057H05 product:unknown EST, full insert sequence	Mm.11371					2.7765	2.0999	0.9097	0.691		0.2929	5	2.809472435	0.355938712	1.316014523	1.153415	0.876445495	5.129154005
AA203831	Rasal1	RAS protein activator like 1 (GAP1 like)	Mm.41209	19415		5	5 F	1.8023	2.0447	1.0467	0.8265	0.6559	-0.2178	6	2.314714019	0.432018812	1.313802172	1.026383333	0.781231265	5.129154005
BG073263	Sv2a	synaptic vesicle glycoprotein 2 a	Mm.200365	64051		3	3 F2.1	1.3637	0.0527	1.4143	1.0863	0.2534	1.2698	6	2.000422274	0.499894454	1.313333773	0.9067	0.69038048	5.129154005
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								1.258	0.769	0.5621	0.6994	0.6107	0.4937	6	1.688504196	0.592240163	1.310206441	0.73215	0.558805068	5.129154005
AV085651	2310014H01Rik	RIKEN cDNA 2310014H01 gene	Mm.279713	76448; 106582; 71377		17	17 B1	1.9912	0.8339	0.2461	0.6899	0.7439	0.8671	6	2.009338494	0.497676227	1.309311092	0.89535	0.683832899	5.129154005
AV001082	Cox6a2	cytochrome c oxidase, subunit VI a, polypeptide 2	Mm.43824	12862		7		1.0942	0.8747	0.7042	0.6468	0.6268	0.3563	6	1.664630108	0.600734058	1.308534566	0.717166667	0.548068569	5.129154005
BG063081	Tmsb10	thymosin, beta 10	Mm.3532	19240		7		1.9763	1.2695	1.0943	0.8747	-0.6349	2.0445	6	2.513936	0.397782601	1.30779826	1.104066667	0.844217874	5.129154005
AV151124	Man1a	mannosidase 1, alpha	Mm.117294	17155; 320305		10	10 B3	1.8742	1.0809	0.5146	0.5862	0.7803	0.4076	6	1.95919809	0.510412911	1.307234916	0.873966667	0.668561294	5.129154005
BG070554	Ptp4a3	protein tyrosine phosphatase 4a3	Mm.153891	19245		15	15 D3	0.3684	0.8618	0.8157	0.7663	0.8347	0.5062	6	1.628844828	0.613932023	1.306365379	0.692183333	0.529854315	5.129154005
BG075681		Transcribed sequences	Mm.270331	NA			NA	0.9262	1.8913	1.5118	1.2595	-0.2175	0.5318	6	2.193587945	0.455874132	1.305836969	0.98385	0.753424832	5.129154005
AV008399				NA	EST		NA	0.5999	1.0119	0.6802	0.605	0.9063	0.4032	6	1.642031296	0.609001791	1.305213399	0.701083333	0.537140773	5.129154005
NA	NA	NA	NA		NA			0.5204	0.6221	0.8812	0.6352	0.4643	0.9721	6	1.618311384	0.617928051	1.291188922	0.68255	0.528621326	7.135058957
AA249976	Xpc	xeroderma pigmentosum, complementation group C	Mm.2806	22591		6	6 D	1.4923	1.2533	0.2699	0.3258	1.0256	0.6679	6	1.880146704	0.531873389	1.29009393	0.839133333	0.650443595	7.135058957
AV014675	Ier5	immediate early response 5	Mm.12246	15939		1		1.9309	1.5602	0.4065	0.7704	0.0545	0.9311	6	2.123052405	0.471019932	1.285615792	0.942266667	0.732930221	7.135058957
BG065987				NA			NA	2.4037	0.7138	0.9455	0.4628		1.6744	5	2.40460664	0.415868435	1.2854351	1.031866667	0.802737273	7.135058957
AV003072	Haao	3-hydroxyanthranilate 3,4-dioxygenase	Mm.30100	107766		11	11	1.2148	0.5736	1.4706	1.0603		0.9667	5	1.936736682	0.516332452	1.28221302	0.864221667	0.67400787	7.135058957
AV025010	1200009H11Rik	RIKEN cDNA 1200009H11 gene	Mm.30950	74116		17	17 A3.3	1.4217	1.2053	0.5502	0.3835	0.7242		5	1.734272993	0.57661049	1.277909286	0.792045	0.619797515	7.135058957
AV041762	Sgk3	serum/glucocorticoid regulated kinase 3	Mm.296002	170755		1	1 A2	0.9886	0.9129	0.2373	0.4595	0.8677	0.9156	6	1.688673255	0.592180872	1.277901534	0.730266667	0.571457696	7.135058957
AV095219	Ris2	retroviral integration site 2	Mm.21873	67177		8	8 E1	1.1293	0.909	0.3418	0.3806	1.341	0.5934	6	1.779426017	0.56197897	1.275208613	0.782516667	0.61363816	7.135058957
BG071352		Transcribed sequences	Mm.172182					1.9053	0.762	0.6831	0.7459		0.7424	5	1.899545089	0.526441834	1.275107677	0.853601667	0.669434968	7.135058957
