Probe set id	MEAN FOLD CHANGE(+recMAGP2/-recMAGP2)	Gene symbol	Description	UnigeneID	LocusLink	Chromosomal location
232231_at	1.478511535	RUNX2	runt-related transcription factor 2 (RUNX2), transcript variant 2, mRNA.	Hs.535845	860	6p21
231059_x_at	1.340342431	SCAND1	SCAN domain containing 1 (SCAND1), transcript variant 2, mRNA.	Hs.584909	51282	20q11.1-q11.23
230077_at	1.373313417	SDHALP2	succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 2 (SDHALP2) on chromosome 3.		255812	3q29
220946_s_at	-1.4480084	SETD2	SET domain containing 2 (SETD2), mRNA.	Hs.517941	29072	3p21.31
213152_s_at	-1.6009725	SFRS2B	splicing factor, arginine/serine-rich 2B (SFRS2B), mRNA.	Hs.648465	10929	11q22
214838_at	1.440432983	SFT2D2	SFT2 domain containing 2 (SFT2D2), mRNA.	Hs.645435	375035	1q24.2
229236_s_at	1.301838391	SFXN4	sideroflexin 4 (SFXN4), mRNA.	Hs.655168	119559	10q26.11
213308_at	1.941710624	SHANK2	SH3 and multiple ankyrin repeat domains 2 (SHANK2), transcript variant 1, mRNA.	Hs.268726	22941	11q13.3
220047_at	1.723737311	SIRT4	sirtuin (silent mating type information regulation 2 homolog) 4 (S. cerevisiae) (SIRT4), mRNA.	Hs.50861	23409	12q
205074_at	-1.4793959	SLC22A5	solute carrier family 22 (organic cation/carnitine transporter), member 5 (SLC22A5), mRNA.	Hs.705425	6584	5q31
220474_at	-1.6525799	SLC25A21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21 (SLC25A21), nuclear gene encoding mitochondrial protein, mRNA.	Hs.693866	89874	14q11.2
204342_at	-1.352216	SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24 (SLC25A24), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	Hs.656870	29957	1p13.3
226679_at	1.698375334	SLC26A11	solute carrier family 26, member 11 (SLC26A11), mRNA.	Hs.4866	284129	17q25.3
209713_s_at	-1.5123555	SLC35D1	solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1 (SLC35D1), mRNA.	Hs.213642	23169	1p32-p31
209884_s_at	-1.476113	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7 (SLC4A7), mRNA.	Hs.250072	9497	3p22
203183_s_at	1.872743695	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 (SMARCD1), transcript variant 2, mRNA.	Hs.79335	6602	12q13-q14
209258_s_at	-1.3267033	SMC3	structural maintenance of chromosomes 3 (SMC3), mRNA.	Hs.24485	9126	10q25
244669_at	-1.3702636	SNHG5	Small nucleolar RNA host gene 5 (non-protein coding)	Hs.292457		6q14.3
225220_at	1.374830294	SNHG8	small nucleolar RNA host gene 8 (non-protein coding) (SNHG8) on chromosome 4.		100093630	4q26
1566342_at	-1.4779027	SOD2	Superoxide dismutase 2, mitochondrial	Hs.487046	6648	6q25.3
222513_s_at	1.520672247	SORBS1	sorbin and SH3 domain containing 1 (SORBS1), transcript variant 1, mRNA.	Hs.696027	10580	10q23.3-q24.1
212560_at	-1.2771603	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing (SORL1), mRNA.		442871	11q23.2-q24.2
236696_at	1.318544364	SR140	U2-associated SR140 protein	Hs.596572	23350	3q23
219204_s_at	-1.4715882	SRR	serine racemase (SRR), mRNA.	Hs.461954	63826	17p13
225871_at	1.633063393	STEAP2	six transmembrane epithelial antigen of the prostate 2 (STEAP2), transcript variant 3, mRNA.	Hs.489051	261729	7q21
205214_at	-1.5938334	STK17B	serine/threonine kinase 17b (STK17B), mRNA.	Hs.88297	9262	2q32.3
235722_at	-1.4454521	SYNJ2BP	synaptojanin 2 binding protein (SYNJ2BP), mRNA.	Hs.443661	55333	14q24.2
206613_s_at	-1.2986279	TAF1A	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa (TAF1A), transcript variant 2, mRNA.	Hs.153088	9015	1q42
209820_s_at	1.442198557	TBL3	transducin (beta)-like 3 (TBL3), mRNA.	Hs.513267	10607	16p13.3
209152_s_at	-1.5865052	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47) (TCF3), mRNA.	Hs.371282	6929	19p13.3
216511_s_at	-1.7515034	TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	Hs.593995	6934	10q25.3
221871_s_at	2.348829343	TFG	TRK-fused gene	Hs.518123	10342	3q12.2
229657_at	-1.344403	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian) (THRB), transcript variant 1, mRNA.	Hs.187861	7068	3p24.2
202039_at	1.323006999	TIAF1	TGFB1-induced anti-apoptotic factor 1 (TIAF1), mRNA.	Hs.462590		17q11.2
220702_at	1.831514243	TLK1	Tousled-like kinase 1			2q31.1
227078_at	1.47473593	TMEM110	Transmembrane protein 110	Hs.705605	375346	3p21.1
224917_at	2.203405142	TMEM49	Transmembrane protein 49		406991	17q23.1
225287_s_at	1.476942563	TMEM55B	transmembrane protein 55B (TMEM55B), transcript variant 2, mRNA.	Hs.7001	90809	14q11.2
228574_at	1.687215546	TMTC2	Transmembrane and tetratricopeptide repeat containing 2	Hs.577775	160335	12q21.31
224565_at	1.738367669	TncRNA	trophoblast-derived noncoding RNA (TncRNA) on chromosome 11.		283131	11q13.1
224566_at	1.538706548	TncRNA	trophoblast-derived noncoding RNA (TncRNA) on chromosome 11.		283131	11q13.1
234989_at	1.421318441	TncRNA	trophoblast-derived noncoding RNA (TncRNA) on chromosome 11.		283131	11q13.1
206907_at	2.050182312	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA.	Hs.1524	8744	19p13.3
1558142_at	-1.4135176	TNRC6B	trinucleotide repeat containing 6B (TNRC6B), transcript variant 2, mRNA.	Hs.372082	23112	22q13.1
210241_s_at	1.431338	TP53AP1	TP53 activated protein 1	Hs.274329	11257	7q21.1
235192_at	-1.5002355	TP53RK	TP53 regulating kinase (TP53RK), mRNA.	Hs.440263	112858	20q13.2
210050_at	-2.4772716	TPI1	Triosephosphate isomerase 1	Hs.524219	7167	12p13
213593_s_at	1.782254167	TRA2A	Transformer-2 alpha	Hs.699226	29896	7p15.3
202125_s_at	-1.2979513	TRAK2	trafficking protein, kinesin binding 2 (TRAK2), mRNA.	Hs.152774	66008	2q33
1555446_s_at	-1.4831706	TRAPPC10	Trafficking protein particle complex 10	Hs.126221	7109	21q22.3
204732_s_at	-1.5820006	TRIM23	tripartite motif-containing 23 (TRIM23), transcript variant alpha, mRNA.	Hs.792	373	5q12.3
243690_at	-1.4954466	TRIOBP	TRIO and F-actin binding protein (TRIOBP), transcript variant 1, mRNA.	Hs.533030	11078	22q13.1
202734_at	1.786258457	TRIP10	thyroid hormone receptor interactor 10 (TRIP10), mRNA.	Hs.515094	9322	19p13.3
226339_at	-1.2878582	TRUB1	TruB pseudouridine (psi) synthase homolog 1 (E. coli) (TRUB1), mRNA.	Hs.21187	142940	10q25.3
225400_at	1.777031267	TSEN15	tRNA splicing endonuclease 15 homolog (S. cerevisiae) (TSEN15), transcript variant 1, mRNA.	Hs.548197	116461	1q25
225388_at	1.432538537	TSPAN5	Tetraspanin 5	Hs.591706	10098	4q23
239042_at	1.374808936	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	Hs.388170	55720	17p13.3
243413_at	-1.4464272	TTC30B	tetratricopeptide repeat domain 30B (TTC30B), mRNA.	Hs.447659	150737	2q31.2
203281_s_at	1.506589294	UBA7	ubiquitin-like modifier activating enzyme 7 (UBA7), mRNA.	Hs.16695	7318	3p21
240383_at	1.542008395	UBE2D3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	Hs.518773	7323	4q24
219131_at	1.463261384	UBIAD1	UbiA prenyltransferase domain containing 1 (UBIAD1), mRNA.	Hs.522933	29914	1p36-p34.1
234982_at	-1.2882674	UBR3	ubiquitin protein ligase E3 component n-recognin 3 (putative) (UBR3), mRNA.	Hs.379548	130507	2q31.1
222502_s_at	-1.6700276	UFM1	ubiquitin-fold modifier 1 (UFM1), mRNA.	Hs.643655	51569	13q13.3
208101_s_at	1.879556868	URM1	ubiquitin related modifier 1 homolog (S. cerevisiae) (URM1), mRNA.	Hs.495229	81605	9q34.11
218367_x_at	1.488911259	USP21	ubiquitin specific peptidase 21 (USP21), transcript variant 1, mRNA.	Hs.8015	27005	1q22
239348_at	1.576574126	USP31	Ubiquitin specific peptidase 31			16p12.1
211702_s_at	-1.4029671	USP32	ubiquitin specific peptidase 32 (USP32), mRNA.	Hs.132868	84669	17q23.2
227987_at	-1.3184177	VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae) (VPS13A), transcript variant C, mRNA.	Hs.459790	23230	9q21
227987_at	-1.3184177	VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae) (VPS13A), transcript variant C, mRNA.	Hs.459790	23230	9q21
201294_s_at	1.83315234	WSB1	WD repeat and SOCS box-containing 1	Hs.446017	26118	17q11.1
232216_at	1.897087913	YME1L1	YME1-like 1 (S. cerevisiae)	Hs.499145	10730	10p14
1555259_at	1.556638526	ZAK	Sterile alpha motif and leucine zipper containing kinase AZK	Hs.444451	51776	2q24.2
1554036_at	1.916685881	ZBTB24	Zinc finger and BTB domain containing 24	Hs.409876	9841	6q21
222451_s_at	1.486133188	ZDHHC9	zinc finger, DHHC-type containing 9 (ZDHHC9), transcript variant 2, mRNA.	Hs.193566	51114	Xq26.1
1555793_a_at	-1.4788628	ZFP82	zinc finger protein 82 homolog (mouse) (ZFP82), mRNA.	Hs.558734	284406	19q13.12
225843_at	1.380050242	ZFYVE19	zinc finger, FYVE domain containing 19 (ZFYVE19), mRNA.	Hs.121676	84936	15q15.1
1554171_at	1.255526199	ZMYM3	Zinc finger, MYM-type 3	Hs.522684	9203	Xq13.1
219925_at	-1.7760828	ZMYM6	zinc finger, MYM-type 6 (ZMYM6), mRNA.	Hs.533986	9204	1p34.2
232436_at	1.552777912	ZNF274	Zinc finger protein 274	Hs.83761	10782	19qter
242761_s_at	-1.3276017	ZNF420	Zinc finger protein 420	Hs.444992	147923	19q13.12
206695_x_at	1.698890658	ZNF43	zinc finger protein 43 (ZNF43), mRNA.	Hs.534365	7594	19p13.1-p12
240155_x_at	2.092466514	ZNF493	Zinc finger protein 493	Hs.359535		19p12
204291_at	-1.8541242	ZNF518A	zinc finger protein 518A (ZNF518A), mRNA.	Hs.657337	9849	10q23.33
1554248_at	1.852949553	ZNF638	Zinc finger protein 638	Hs.434401	27332	2p13.2-p13.1
1560562_a_at	2.252526208	ZNF677	Zinc finger protein 677	Hs.20506	342926	19q13.41
227132_at	-1.4510299	ZNF706	zinc finger protein 706 (ZNF706), transcript variant 3, mRNA.	Hs.374485	51123	8q22.3
239083_at	-2.7840006	ZNF786	zinc finger protein 786 (ZNF786), mRNA.	Hs.632029	136051	7q36.1
243024_at	1.680080993	ZNF789	Zinc finger protein 789	Hs.440384	285989	7q22.1
1569157_s_at	2.394399786	ZNF846	zinc finger protein 846 (ZNF846), mRNA.	Hs.665717	162993	19p13.2
1553140_at	1.906244055		Transcribed locus	Hs.669791	53918	5
1555860_x_at	1.601707292		CDNA clone IMAGE:5294561	Hs.652556		3
1557270_at	1.49743168		CDNA FLJ36375 fis, clone THYMU2008226	Hs.658583		19
1558401_at	-1.7612773		CDNA FLJ37332 fis, clone BRAMY2019710	Hs.408497		15
1558529_s_at	1.573153197		CDNA FLJ11841 fis, clone HEMBA1006643	Hs.552202		8
1558529_s_at	1.573153197		CDNA FLJ11841 fis, clone HEMBA1006643	Hs.552202		8
1563431_x_at	-1.9811315		Transcribed locus, moderately similar to XP_865751.1 PREDICTED: similar to exportin 5 isoform 4 [Canis familiaris]	Hs.515487	808	19
1568954_s_at	-1.5018236		Unknown	Hs.221497	29035
1569003_at	2.099092269		Transcribed locus, strongly similar to XP_511922.1 PREDICTED: transmembrane protein 49 isoform 7 [Pan troglodytes]	Hs.705675	81671	17
1569312_at	1.451831427		CDNA clone IMAGE:4067166	Hs.656363		19
1569999_at	1.94611935		CDNA clone IMAGE:4837159	Hs.685325		16
203604_at	1.494088266		Transcribed locus	Hs.436973	9658	18
211781_x_at	-2.1040184		Homo sapiens, clone MGC:13219 IMAGE:3959259, mRNA, complete cds
213615_at	1.458407743		Transcribed locus	Hs.655248	10162	12
216387_x_at	-2.286618		Hs.646622		390411
216751_at	-1.7463771		CDNA: FLJ21226 fis, clone COL00721	Hs.677286		17
217715_x_at	-2.146953		ESTs
220533_at	-1.5311216		Transcribed locus			9
221477_s_at	-1.4037683		Transcribed locus		79099	6
221590_s_at	1.783290921		Transcribed locus	Hs.663176		14
222380_s_at	1.407119094		Transcribed locus	Hs.50823	10016	3
225239_at	1.593234743		CDNA FLJ26120 fis, clone SYN00419	Hs.593027		11
226365_at	2.403392629		Clone HLS_IMAGE_767345 mRNA sequence	Hs.659405		5
227073_at	-1.4503725		CDNA FLJ36574 fis, clone TRACH2012376	Hs.145605	10746	2
227350_at	-1.3634689		Transcribed locus	Hs.463677		10
227985_at	-1.3032252		Transcribed locus			7
228049_x_at	1.645212005		Transcribed locus	Hs.369728		16
228157_at	1.524245487		Transcribed locus	Hs.500775	7756	17
228259_s_at	1.634082517		Transcribed locus	Hs.584954	64097	5
228971_at	-1.4305489		CDNA FLJ41216 fis, clone BRALZ2017620	Hs.696539		12
230180_at	1.759652265		Transcribed locus		10521	22
230209_at	-1.3332424		CDNA FLJ37830 fis, clone BRSSN2009395	Hs.654769		3
230747_s_at	-1.7328761		Transcribed locus	Hs.128576	125488	18
231904_at	1.92015607		Transcribed locus	Hs.365116	7307	21
232375_at	1.5049414		CDNA FLJ12169 fis, clone MAMMA1000643	Hs.661921		2
232527_at	-1.5466927		CDNA FLJ13309 fis, clone OVARC1001442	Hs.593613		3
232790_at	1.38834859		Homo sapiens, clone IMAGE:6058191, mRNA	Hs.606550		2
233019_at	1.511963106		Transcribed locus	Hs.598387	29883	8
233055_at	2.369674985		CDNA FLJ11510 fis, clone HEMBA1002185	Hs.635678		2
233364_s_at	1.517301946		CDNA FLJ38472 fis, clone FEBRA2022148	Hs.411391		11
233847_x_at	-6.5688234		Uncharacterized gastric protein ZA31P	Hs.703472
234807_x_at	1.694860099
235190_at	1.753514437		Transcribed locus	Hs.655770		2
235716_at	1.697327761		Transcribed locus	Hs.569031		7
235771_at	1.649376799		Transcribed locus	Hs.649193		6
235782_at	1.378977108		Transcribed locus	Hs.527515		1
236155_at	1.758811072		Transcribed locus	Hs.655162	79670	9
236524_at	1.902717118		CDNA FLJ37319 fis, clone BRAMY2018027	Hs.276876		1
236700_at	1.938727675		Transcribed locus	Hs.567374	8663	16
236980_at	1.337843829		ELISC-1	Hs.128434		2
237327_at	-1.6143557		Transcribed locus	Hs.108408	51107	1
238134_at	1.418012502		ESTs
238496_at	1.481789255		Transcribed locus	Hs.657481		8
238653_at	-1.2988462		Transcribed locus	Hs.697270		1
238964_at	-1.7119014		Transcribed locus			2
238967_at	1.469122569		Transcribed locus	Hs.686016		3
239096_at	1.822970929		ESTs	Hs.658910
240177_at	1.728173215		Transcribed locus	Hs.668657		20
240400_at	2.15561608		Transcribed locus	Hs.661820		7
240800_x_at	1.802517937		Transcribed locus	Hs.672240		7
240908_at	1.538887692		Transcribed locus	Hs.675200		3
241435_at	1.845893036		ESTs
241630_at	1.571704787		ESTs
241730_at	1.622976939		Transcribed locus	Hs.604762		3
242191_at	1.680444915		Transcribed locus	Hs.636561		1
242258_at	-1.6349085		Transcribed locus	Hs.673171		14
242287_at	1.510517887		ESTs, Weakly similar to hypothetical protein FLJ20234 [Homo sapiens] [H.sapiens]
242673_at	1.48608703		Transcribed locus	Hs.599613		7
242826_at	1.974052657		Transcribed locus	Hs.594851		11
242895_x_at	-1.3604775		Transcribed locus	Hs.657601		6
243147_x_at	2.666615468		Transcribed locus	Hs.601919		5
243299_at	-1.5912897		Transcribed locus	Hs.666703		2
243350_at	1.50459609		Transcribed locus	Hs.665827		5
243515_at	-1.3506959		Transcribed locus	Hs.657016		22
243606_at	1.656346524		Transcribed locus	Hs.595933		3
243801_x_at	1.534854395		Transcribed locus	Hs.346736		2
244688_at	-1.4121315		Transcribed locus	Hs.633144		4
41856_at	1.87595404		Transcribed locus	Hs.522997		10
