Genbank ID	Gene Title	Gene symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
AW488784	Discs, large homolog 2 (Drosophila)	Dlgh2	N.C.	-5.6 ± 0.5	N.C.	N.C.	276
BG066625	expressed sequence C79557	C79557	N.C.	-1.7 ± 0.4	N.C.	N.C.	277
AW555071	Activating signal cointegrator 1 complex subunit 3	Ascc3	N.C.	-16.7 ± 0.7	N.C.	N.C.	279
BB162504	Serologically defined colon cancer antigen 10	Sdccag10	N.C.	-2.1 ± 0.4	N.C.	N.C.	280
C79133	transient receptor potential cation channel, subfamily M, member 2	Trpm2	N.C.	-1.8 ± 0.4	N.C.	N.C.	281
BG074849	myotrophin	Mtpn	N.C.	-1.8 ± 0.4	N.C.	N.C.	282
AW125678	R3H domain 1 (binds single-stranded nucleic acids)	R3hdm1	N.C.	-3.0 ± 0.4	N.C.	N.C.	283
AK008502	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2 /// similar to NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2	Ndufc2 /// LOC675851	N.C.	-1.6 ± 0.4	N.C.	N.C.	284
AV066985	ribosomal protein L37a	Rpl37a	N.C.	-1.6 ± 0.4	N.C.	N.C.	285
BI076807	Nonagouti	a	N.C.	-3.0 ± 0.4	N.C.	N.C.	286
AA138720	fused toes	Fts	-1.5 ± 0.4	N.C.	N.C.	N.C.	287
AA254104	RIKEN cDNA A430104N18 gene	A430104N18Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	288
AA266367	RIKEN cDNA 1700097N02 gene	1700097N02Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	289
AA543385	ribonucleotide reductase M2 B (TP53 inducible)	Rrm2b	-1.5 ± 0.4	N.C.	N.C.	N.C.	290
AA939659	expressed sequence AI596198	AI596198	-2.4 ± 0.4	N.C.	N.C.	N.C.	291
AA958820	DNA segment, Chr 8, Brigham & Womens Genetics 1414 expressed	D8Bwg1414e	-1.9 ± 0.4	N.C.	N.C.	N.C.	292
AA958965	expressed sequence AI788669	AI788669	-1.9 ± 0.4	N.C.	N.C.	N.C.	293
AI049170	RIKEN cDNA 9630023C09 gene	9630023C09Rik	N.C.	N.C.	-1.8 ± 0.4	N.C.	294
AI152800	neuronal pentraxin 1	Nptx1	-1.7 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	295
AI173260	CDNA sequence BC028528	BC028528	-3.0 ± 0.4	N.C.	N.C.	N.C.	296
AI326124	AT rich interactive domain 4A (Rbp1 like)	Arid4a	-1.8 ± 0.4	N.C.	N.C.	N.C.	297
AI415730	expressed sequence AI415730	AI415730	-3.3 ± 0.4	N.C.	N.C.	N.C.	298
AI426503	RIKEN cDNA A930031D07 gene	A930031D07Rik	N.C.	N.C.	N.C.	-2.5 ± 0.4	299
AI428811	RIKEN cDNA 9830124H08 gene	9830124H08Rik	N.C.	N.C.	N.C.	-1.8 ± 0.4	300
AI449439	RIKEN cDNA C230085N15 gene	C230085N15Rik	N.C.	N.C.	-2.3 ± 0.4	N.C.	301
AI449447	gene model 1805, (NCBI)	Gm1805	-2.8 ± 1.0	N.C.	N.C.	N.C.	302
AI450962	RIKEN cDNA 4930503L19 gene	4930503L19Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	303
AI452037	RIKEN cDNA 6720401G13 gene	6720401G13Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	306
AI464220	RIKEN cDNA C330050A14 gene	C330050A14Rik	-2.2 ± 0.4	N.C.	N.C.	N.C.	308
AI464581	RIKEN cDNA 1110006I15 gene	1110006I15Rik	-2.3 ± 0.4	N.C.	N.C.	N.C.	309
AI480533	DNA segment, Chr 7, Wayne State University 130, expressed	D7Wsu130e	-2.2 ± 0.4	N.C.	N.C.	N.C.	310
AI480952	RIKEN cDNA 1300018I05 gene	1300018I05Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	311
AI481700	Suppression of tumorigenicity 13	St13	N.C.	-1.8 ± 0.4	N.C.	-1.8 ± 0.4	312
AI536269	RIKEN cDNA D430030G11 gene	Pacs1	-1.8 ± 0.4	N.C.	N.C.	N.C.	314
AI594683	desmuslin	Dmn	-2.3 ± 0.4	N.C.	N.C.	N.C.	315
AI642973	myc target 1	Myct1	-5.5 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	316
AI647811	cDNA sequence BC046401	BC046401	-2.0 ± 0.5	N.C.	N.C.	N.C.	317
AI790225	nephrosis 2 homolog, podocin (human)	Nphs2	N.C.	N.C.	-1.9 ± 0.4	-1.6 ± 0.4	319
AI843639	expressed sequence AI843639	AI843639	N.C.	N.C.	-1.5 ± 0.4	N.C.	320
AI848234	RIKEN cDNA 1810058I24 gene	1810058I24Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	321
AI848909	histone 3, H2a	Hist3h2a	-3.1 ± 0.4	N.C.	N.C.	N.C.	322
AI851014	cDNA sequence BC028975	BC028975	-1.8 ± 0.4	N.C.	N.C.	N.C.	323
AI851258	centaurin, delta 3	Centd3	-1.7 ± 0.4	N.C.	N.C.	N.C.	324
AI851787	chromodomain helicase DNA binding protein 1	Chd1	-1.7 ± 0.4	N.C.	N.C.	N.C.	325
AI851834	YLP motif containing 1	Ylpm1	-1.9 ± 0.4	N.C.	N.C.	N.C.	326
AI875682	RIKEN cDNA C130065N10 gene	C130065N10Rik	-1.5 ± 0.4	-3.0 ± 0.4	N.C.	N.C.	327
AJ238396	retinitis pigmentosa GTPase regulator	Rpgr	-1.5 ± 0.4	N.C.	N.C.	N.C.	328
AK005842	RIKEN cDNA 1700010L19 gene	1700010L19Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	329
AK005950	RIKEN cDNA 1700013G20 gene	1700013G20Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	330
AK006283	RIKEN cDNA 1200009F10 gene	1200009F10Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	331
AK006375	RIKEN cDNA 1700026D08 gene	1700026D08Rik	N.C.	N.C.	N.C.	-1.8 ± 0.4	332
AK006489	EF-hand domain (C-terminal) containing 1	Efhc1	-1.6 ± 0.4	N.C.	N.C.	N.C.	333
AK006656	RIKEN cDNA 4930457P18 gene	4930457P18Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	334
AK006842	RIKEN cDNA 1700060H10 gene	1700060H10Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	335
AK007060	RIKEN cDNA 1700094D03 gene	1700094D03Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	336
AK008016	RIKEN cDNA 2010001M09 gene	2010001M09Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	337
AK008086	glutamic pyruvic transaminase 1, soluble	Gpt1	-1.6 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	338
AK008100	suppression of tumorigenicity 5	St5	-1.8 ± 0.4	N.C.	N.C.	N.C.	339
AK008179	Z-DNA binding protein 1	Zbp1	N.C.	N.C.	N.C.	-1.7 ± 0.4	340
AK008209	RIKEN cDNA 4933421E11 gene	4933421E11Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	341
AK008476	RIKEN cDNA 2010208K18 gene	2010208K18Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	342
AK008551	RIKEN cDNA 2010309G21 gene /// hypothetical protein LOC207685	2010309G21Rik /// LOC207685	-1.9 ± 0.4	N.C.	N.C.	-1.8 ± 0.5	346
AK014939	RIKEN cDNA 4921521J11 gene	4921521J11Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	348
AK014950	glucosamine-6-phosphate deaminase 2	Gnpda2	-1.6 ± 0.4	N.C.	N.C.	N.C.	349
AK015050	RIKEN cDNA 4930402H24 gene	4930402H24Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	350
AK016168	small nuclear RNA activating complex, polypeptide 3	Snapc3	-1.9 ± 0.4	N.C.	N.C.	N.C.	351
AK016498	mitochondrial transcription termination factor 1	MTERF	-2.0 ± 0.4	N.C.	N.C.	N.C.	352
AK016773	retinoblastoma binding protein 5	Rbbp5	-1.6 ± 0.4	N.C.	N.C.	N.C.	353
AU014694	DNA segment, Chr 10, ERATO Doi 610, expressed	D10Ertd610e	-1.5 ± 0.4	N.C.	N.C.	N.C.	354
AU017667	glycogenin 1	Gyg1	-1.6 ± 0.4	N.C.	-2.0 ± 0.4	N.C.	355
AU022131	component of oligomeric golgi complex 4	Cog4	-1.7 ± 0.4	N.C.	N.C.	N.C.	356
AU040379	RIKEN cDNA D130059P03 gene	D130059P03Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	357
AU042532	Coronin, actin binding protein 2A	Coro2a	-2.2 ± 0.4	-2.2 ± 0.4	N.C.	N.C.	358
AU067683	RIKEN cDNA 4931419K03 gene	4931419K03Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	360
AU067741	similar to ZNF43 protein	LOC241944	-1.7 ± 0.4	N.C.	N.C.	N.C.	361
AU067804	CDNA sequence BC027231	BC027231	-2.1 ± 0.4	N.C.	N.C.	N.C.	362
AU067824	expressed sequence AU067824	AU067824	-2.9 ± 0.6	N.C.	N.C.	N.C.	363
AV003249	RIKEN cDNA 0610025L06 gene, mRNA (cDNA clone MGC:92969 IMAGE:6413206)	0610025L06Rik	N.C.	N.C.	-1.6 ± 0.4	N.C.	364
AV004411	RIKEN cDNA 2210019E14 gene	2210019E14Rik	-2.2 ± 0.4	N.C.	N.C.	N.C.	365
AV004950	RIKEN cDNA 2310009A05 gene	2310009A05Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	366
AV009478	abhydrolase domain containing 14A	Abhd14a	-1.8 ± 0.4	N.C.	N.C.	N.C.	367
AV016374	RIKEN cDNA 1810011O10 gene	1810011O10Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	368
AV024458	expressed sequence AI585793	AI585793	-1.7 ± 0.4	N.C.	N.C.	N.C.	369
AV025957	RIKEN cDNA 2610041B18 gene	2610041B18Rik	-2.6 ± 0.4	N.C.	N.C.	N.C.	370
AV026910	cDNA sequence BC057893	BC057893	-1.8 ± 0.3	N.C.	N.C.	N.C.	371
AV027632	polymeric immunoglobulin receptor	Pigr	N.C.	N.C.	N.C.	-1.5 ± 0.4	372
AV035110	mitochondrial ribosomal protein S6	Mrps6	-1.5 ± 0.4	N.C.	N.C.	N.C.	373
AV036957	periphilin 1	Pphln1	-1.5 ± 0.4	N.C.	N.C.	N.C.	374
AV050650	chromodomain helicase DNA binding protein 9	Chd9	-2.7 ± 0.4	-2.3 ± 0.4	N.C.	N.C.	375
AV076187	RIKEN cDNA 1810010D01 gene	1810010D01Rik	-3.7 ± 0.8	N.C.	N.C.	-1.7 ± 0.4	378
AV083741	Metadherin	Mtdh	-1.5 ± 0.4	N.C.	N.C.	N.C.	380
AV100366	RIKEN cDNA 1700009P13 gene	1700009P13Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	381
AV114188	chromobox homolog 5 (Drosophila HP1a)	Cbx5	-1.7 ± 0.4	N.C.	N.C.	N.C.	384
AV119970	RIKEN cDNA 4732479N06 gene	4732479N06Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	385
AV127319	histone 2, H2bb	Hist2h2bb	-2.1 ± 0.4	N.C.	N.C.	N.C.	387
AV131166	RIKEN cDNA 2700081O15 gene	2700081O15Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	388
AV153557	hippocalcin-like 4	Hpcal4	-2.2 ± 0.4	N.C.	N.C.	N.C.	389
AV153660	RIKEN cDNA 2900056M20 gene	2900056M20Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	390
AV162270	Dihydropyrimidinase-like 3	Dpysl3	N.C.	N.C.	-1.5 ± 0.4	-1.6 ± 0.4	391
AV162270	RIKEN cDNA 9430041P20 gene	9430041P20Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	392
AV166218	RIKEN cDNA 1300010K09 gene	1300010K09Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	393
AV174401	cDNA sequence BC020535	BC020535	-1.6 ± 0.4	N.C.	N.C.	N.C.	395
AV211435	RIKEN cDNA 1110001K21 gene	1110001K21Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	397
AV213382	RNA binding motif protein 14	Rbm14	-1.9 ± 0.4	N.C.	N.C.	N.C.	398
AV215673	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	Mthfd1	N.C.	N.C.	-1.9 ± 0.4	N.C.	399
AV218922	RIKEN cDNA 2610002J02 gene	2610002J02Rik	-2.1 ± 0.4	N.C.	N.C.	N.C.	400
AV220703	expressed sequence AW210596	AW210596	-2.2 ± 0.4	N.C.	N.C.	N.C.	401
AV225683	RIKEN cDNA 3830431G21 gene	3830431G21Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	404
AV229170	expressed sequence AU041129	AU041129	-1.6 ± 0.4	N.C.	N.C.	N.C.	406
AV231698	SUMO1/sentrin specific protease 7	Senp7	-2.7 ± 0.3	N.C.	N.C.	N.C.	407
AV231970	expressed sequence AW209116	AW209116	-1.7 ± 0.4	N.C.	N.C.	N.C.	408
AV232123	expressed sequence AW320017	AW320017	-2.0 ± 0.4	N.C.	N.C.	N.C.	409
AV236222	RIKEN cDNA 2900091E11 gene	2900091E11Rik	-2.3 ± 0.4	N.C.	N.C.	N.C.	411
AV238106	RIKEN cDNA 6530401C20 gene	6530401C20Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	412
AV238214	RIKEN cDNA E130307J07 gene	E130307J07Rik	-2.5 ± 0.4	N.C.	N.C.	N.C.	413
AV239972	CDNA sequence BC030440	BC030440	-1.8 ± 0.4	N.C.	N.C.	N.C.	414
AV248189	RIKEN cDNA A230072C01 gene	A230072C01Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	415
AV249015	RIKEN cDNA 4833411O04 gene	4833411O04Rik	-12.5 ± 1.0	N.C.	N.C.	N.C.	416
AV254721	RIKEN cDNA 4921513D23 gene	4921513D23Rik	-2.3 ± 0.4	N.C.	N.C.	N.C.	417
AV256906	RIKEN cDNA A530020G20 gene	A530020G20Rik	-2.2 ± 0.4	N.C.	N.C.	N.C.	418
AV258879	RIKEN cDNA 2610021A01 gene	2610021A01Rik	-4.1 ± 0.4	N.C.	N.C.	N.C.	419
AV267590	RIKEN cDNA 5730494M16 gene	5730494M16Rik	-1.8 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	420
AV269574	Folliculin	Flcn	-1.8 ± 0.4	N.C.	N.C.	N.C.	421
AV271736	spermatogenesis associated 13	Spata13	N.C.	N.C.	-1.6 ± 0.3	N.C.	423
AV273541	expressed sequence AV340375	AV340375	-2.3 ± 0.7	N.C.	N.C.	N.C.	424
AV273623	AT rich interactive domain 2 (Arid-rfx like)	Arid2	-1.5 ± 0.4	N.C.	N.C.	N.C.	425
AV275122	RIKEN cDNA 4932425I24 gene	4932425I24Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	426
AV275390	DNA segment, Chr 1, ERATO Doi 396, expressed	D1Ertd396e	-1.7 ± 0.4	N.C.	N.C.	N.C.	427
AV277444	similar to nucleotide-binding oligomerization domains 27	LOC434341	N.C.	N.C.	N.C.	-1.8 ± 0.5	429
AV280841	DNA segment, Chr 14, ERATO Doi 668, expressed	D14Ertd668e	-2.1 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	430
AV281292	expressed sequence BB220380	BB220380	-1.6 ± 0.3	N.C.	N.C.	N.C.	431
AV282347	RIKEN cDNA A530094I17 gene	A530094I17Rik	-3.0 ± 0.4	N.C.	N.C.	N.C.	432
AV284523	nuclear antigen Sp100	Sp100	-2.1 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	433
AV291818	centaurin, delta 1	Centd1	-3.0 ± 0.7	N.C.	-1.5 ± 0.3	-2.0 ± 0.4	436
AV298805	formin homology 2 domain containing 1	Fhod1	-2.2 ± 0.4	N.C.	N.C.	N.C.	437
AV300716	RIKEN cDNA 2610307O08 gene	2610307O08Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	439
AV303002	Nucleoporin like 1	Nupl1	-1.5 ± 0.4	N.C.	N.C.	N.C.	440
AV304373	DNA segment, Chr 14, ERATO Doi 231, expressed	D14Ertd231e	-1.5 ± 0.4	N.C.	N.C.	N.C.	441
AV305379	RIKEN cDNA 4632425D07 gene	4632425D07Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	442
AV306055	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	Pfas	-1.7 ± 0.4	N.C.	N.C.	N.C.	443
AV308222	expressed sequence AI842788	AI842788	-2.2 ± 0.4	N.C.	N.C.	N.C.	444
AV309085	RIKEN cDNA 1190002N15 gene	1190002N15Rik	-2.0 ± 0.3	N.C.	N.C.	-1.5 ± 0.3	445
AV310898	cDNA sequence BC016198	BC016198	-1.5 ± 0.4	N.C.	N.C.	N.C.	447
AV312178	Additional sex combs like 2 (Drosophila)	Asxl2	-1.5 ± 0.4	N.C.	N.C.	N.C.	448
AV312663	RIKEN cDNA A430107D22 gene	A430107D22Rik	N.C.	N.C.	-2.0 ± 0.4	N.C.	449
AV317838	RIKEN cDNA C230082I21 gene	C230082I21Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	450
AV320517	RIKEN cDNA C130075A20 gene	C130075A20Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	451
AV327407	deltex 3-like (Drosophila)	Dtx3l	-1.9 ± 0.4	N.C.	N.C.	N.C.	452
AV328515	RIKEN cDNA 6330442E10 gene	6330442E10Rik	-9.2 ± 0.6	N.C.	-1.5 ± 0.4	N.C.	453
AV328634	RIKEN cDNA 2600003E23 gene	2600003E23Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	454
AV329790	RIKEN cDNA 6330505N24 gene	6330505N24Rik	-2.5 ± 0.4	N.C.	N.C.	N.C.	455
AV340515	EPM2A (laforin) interacting protein 1	Epm2aip1	-1.5 ± 0.3	N.C.	N.C.	N.C.	456
AV343569	RIKEN cDNA 6030443O07 gene	6030443O07Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	458
AV347367	RIKEN cDNA 6430601A21 gene	6430601A21Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	460
AV348197	hypothetical protein 6430702L12	6430702L12	N.C.	N.C.	N.C.	-1.5 ± 0.4	461
AV349236	PR domain containing 8	Prdm8	N.C.	N.C.	-2.4 ± 0.4	N.C.	463
AV359819	jagged 1	Jag1	-1.5 ± 0.4	N.C.	N.C.	N.C.	464
AV365405	Fukuyama type congenital muscular dystrophy homolog (human)	Fcmd	-1.5 ± 0.3	N.C.	N.C.	N.C.	465
AV365721	RIKEN cDNA 1810010N17 gene	1810010N17Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	466
AV368701	RIKEN cDNA 9030420J04 gene	9030420J04Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	468
AV370040	RIKEN cDNA D630039A03 gene	D630039A03Rik	-3.5 ± 0.4	N.C.	N.C.	N.C.	469
AV374669	RIKEN cDNA 9430063L05 gene	9430063L05Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	470
AV376136	PDZ domain containing 3	Pdzk3	-1.8 ± 0.4	N.C.	N.C.	N.C.	471
AV376345	Hypothetical protein LOC207685	LOC207685	N.C.	N.C.	N.C.	-1.6 ± 0.5	473
AV377052	RIKEN cDNA 2210010B09 gene	2210010B09Rik	-3.7 ± 0.4	N.C.	N.C.	N.C.	474
AV377349	expressed sequence AI843383	AI843383	-2.0 ± 0.4	N.C.	N.C.	N.C.	475
AV377664	expressed sequence AI413194	AI413194	-1.8 ± 0.4	N.C.	N.C.	N.C.	476
AW045947	RIKEN cDNA 2810457I06 gene	2810457I06Rik	-2.1 ± 0.5	N.C.	N.C.	N.C.	478
AW108427	RIKEN cDNA 1810012P15 gene	1810012P15Rik	-2.3 ± 0.4	N.C.	N.C.	N.C.	479
AW108488	RIKEN cDNA C730015A04 gene	C730015A04Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	480
AW120749	RIKEN cDNA A330066M24 gene	A330066M24Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	481
AW123157	RIKEN cDNA 1700051E09 gene	1700051E09Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	482
AW490446	RIKEN cDNA 4930505D03 gene	4930505D03Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	484
AW493179	RIKEN cDNA 2810484G07 gene	2810484G07Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	487
AW493518	cDNA sequence BC064078	BC064078	-2.2 ± 0.4	N.C.	-1.7 ± 0.4	-1.6 ± 0.4	488
AW493583	RIKEN cDNA 5830482F20 gene	5830482F20Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	489
AW538756	RIKEN cDNA B930006L02 gene	B930006L02Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	491
AW541389	nitric oxide synthase trafficker	LOC329416	-2.1 ± 0.4	N.C.	N.C.	-1.5 ± 0.3	492
AW542554	cysteine and histidine rich 1	Cyhr1	-1.5 ± 0.4	N.C.	N.C.	N.C.	493
AW545311	Ligase IV, DNA, ATP-dependent	Lig4	-2.5 ± 0.4	N.C.	N.C.	N.C.	494
AW546472	Transmembrane 7 superfamily member 1	Tm7sf1	-5.1 ± 0.9	N.C.	N.C.	N.C.	495
AW548377	RIKEN cDNA C130068N17 gene	C130068N17Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	496
AW548720	SEC8-like 1 (S. cerevisiae)	Sec8l1	-1.6 ± 0.4	N.C.	N.C.	N.C.	497
AW552116	expressed sequence AI449310	AI449310	-2.4 ± 0.4	N.C.	N.C.	N.C.	498
AW552851	golgi autoantigen, golgin subfamily a, 1	Golga1	-1.9 ± 0.4	N.C.	N.C.	N.C.	499
AW554401	tetratricopeptide repeat domain 21B	Ttc21b	-2.2 ± 0.4	N.C.	N.C.	N.C.	500
AW554430	expressed sequence AI987944	AI987944	-1.9 ± 0.4	N.C.	N.C.	N.C.	501
AW555814	expressed sequence AW555814	AW555814	-1.5 ± 0.4	N.C.	N.C.	N.C.	502
AW556558	DNA segment, Chr 11, ERATO Doi 759, expressed	D11Ertd759e	-1.8 ± 0.4	N.C.	N.C.	N.C.	503
AW558560	expressed sequence AI314976	AI314976	-1.6 ± 0.4	N.C.	N.C.	N.C.	504
AW987520	bromodomain and WD repeat domain containing 3	Brwd3	-2.0 ± 0.4	N.C.	N.C.	N.C.	508
BB003393	RIKEN cDNA 8030463A06 gene (8030463A06Rik), mRNA	8030463A06Rik	N.C.	N.C.	-9.0 ± 0.9	N.C.	510
BB004441	RIKEN cDNA 4732460K03 gene	4732460K03Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	511
BB005258	cDNA sequence BC065151	BC065151	-1.8 ± 0.4	N.C.	N.C.	N.C.	512
BB007136	RIKEN cDNA 4732474O15 gene	4732474O15Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	513
BB008667	cDNA sequence BC030335	BC030335	-1.5 ± 0.4	N.C.	N.C.	N.C.	514
BB010592	RIKEN cDNA 4732496G21 gene	4732496G21Rik	-2.7 ± 0.4	N.C.	N.C.	N.C.	515
BB011882	RIKEN cDNA 1700110N18 gene	1700110N18Rik	-1.7 ± 0.3	N.C.	N.C.	N.C.	516
BB012037	hypothetical protein 4832420M10	4832420M10	-2.2 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	517
BB017703	expressed sequence AI553587	AI553587	-2.5 ± 0.4	N.C.	N.C.	N.C.	518
BB021589	RIKEN cDNA 5330420D20 gene	5330420D20Rik	-2.9 ± 0.4	N.C.	N.C.	N.C.	519
BB023868	RIKEN cDNA 5330417K06 gene	5330417K06Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	520
BB026409	expressed sequence BB026409	BB026409	-2.2 ± 0.4	N.C.	N.C.	N.C.	522
BB027397	cDNA sequence BC026600	BC026600	-2.1 ± 0.4	N.C.	N.C.	N.C.	524
BB027914	RIKEN cDNA 4633402D15 gene	4633402D15Rik	-1.6 ± 0.4	N.C.	N.C.	N.C.	525
BB030204	deoxycytidine kinase	Dck	-1.5 ± 0.4	N.C.	N.C.	N.C.	526
BB031322	cDNA sequence BC025872	BC025872	-1.9 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	527
BB034008	RIKEN cDNA A230042K10 gene	A230042K10Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	528
BB034038	expressed sequence AI661384	AI661384	-1.5 ± 0.4	N.C.	N.C.	N.C.	529
BB037457	RIKEN cDNA 5930427L02 gene	5930427L02Rik	-1.6 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	533
BB040432	RIKEN cDNA 9130023H24 gene	9130023H24Rik	-2.1 ± 0.4	N.C.	N.C.	N.C.	535
BB043558	RIKEN cDNA 9230114K14 gene	9230114K14Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	538
BB044772	RIKEN cDNA 6030490I01 gene	6030490I01Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	539
BB044881	RIKEN cDNA 0610037L13 gene	0610037L13Rik	-2.6 ± 0.4	N.C.	N.C.	N.C.	540
BB045538	RIKEN cDNA D530033C11 gene	D530033C11Rik	-1.8 ± 0.4	N.C.	N.C.	N.C.	542
BB054673	expressed sequence AA409368	AA409368	-11.6 ± 0.5	N.C.	N.C.	N.C.	544
BB055163	olfactomedin-like 1	Olfml1	N.C.	N.C.	N.C.	-1.6 ± 0.4	545
BB056038	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	Smc6l1	-1.5 ± 0.4	N.C.	-1.8 ± 0.4	N.C.	546
BB064885	WD repeat domain 48	Wdr48	-2.6 ± 0.4	N.C.	N.C.	N.C.	547
BB079339	RIKEN cDNA 6530409C15 gene	6530409C15Rik	-2.1 ± 0.4	N.C.	N.C.	N.C.	549
BB079695	RIKEN cDNA 5730466H23 gene	5730466H23Rik	-3.2 ± 0.6	N.C.	N.C.	N.C.	550
BB081437	RIKEN cDNA 9630019K15 gene	9630019K15Rik	-5.9 ± 0.5	N.C.	N.C.	N.C.	551
BB082429	RIKEN cDNA 9330175B01 gene	9330175B01Rik	-1.6 ± 0.5	N.C.	N.C.	N.C.	552
BB083931	Expressed sequence AW495713	AW495713	-1.8 ± 0.4	N.C.	N.C.	N.C.	553
BB085949	single-stranded DNA binding protein 2	Ssbp2	-1.8 ± 0.4	N.C.	N.C.	N.C.	555
BB086698	methyl-CpG binding domain protein 5	Mbd5	-2.0 ± 0.4	N.C.	N.C.	N.C.	556
BB088782	cDNA sequence BC029103	BC029103	-6.1 ± 0.4	N.C.	N.C.	N.C.	557
BB090304	CDNA sequence BC035291	BC035291	-2.1 ± 0.4	N.C.	N.C.	N.C.	558
BB091955	translocating chain-associating membrane protein 2	Tram2	-1.5 ± 0.4	N.C.	N.C.	N.C.	559
BB095626	RIKEN cDNA 1200007D18 gene	1200007D18Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	561
BB098824	tetratricopeptide repeat domain 13	Ttc13	-1.5 ± 0.4	N.C.	N.C.	N.C.	563
BB102291	RIKEN cDNA 9430081I23 gene	9430081I23Rik	-2.4 ± 0.4	N.C.	N.C.	N.C.	564
BB104941	RIKEN cDNA 9430093I07 gene	9430093I07Rik	-1.9 ± 0.4	N.C.	N.C.	N.C.	566
BB106834	expressed sequence AI173486	AI173486	-1.5 ± 0.4	N.C.	N.C.	N.C.	567
BB107526	synaptopodin 2	Synpo2	-2.6 ± 0.4	N.C.	N.C.	N.C.	568
