probe set	gene	fold change
222760_at	hypothetical protein FLJ14299	-1.43
225321_s_at	paired immunoglobin-like type 2 receptor beta	-1.43
225498_at	chromosome 20 open reading frame 178	-1.43
201286_at	syndecan 1	-1.44
202605_at	glucuronidase, beta	-1.44
223421_at	cysteine and histidine rich 1	-1.44
242438_at	Additional sex combs like 1 (Drosophila)	-1.44
243395_at	Decay accelerating factor for complement (CD55, Cromer blood group system)	-1.44
203438_at	Stanniocalcin 2	-1.45
207414_s_at	proprotein convertase subtilisin/kexin type 6	-1.45
209110_s_at	ral guanine nucleotide dissociation stimulator-like 2	-1.45
210891_s_at	general transcription factor II, i /// general transcription factor II, i, pseudogene 1	-1.45
225335_at	zinc finger protein 496	-1.45
225640_at	hypothetical gene supported by AK091718	-1.45
226495_at	LOC440752	-1.45
227567_at	LOC440460	-1.45
200867_at	zinc finger protein 313	-1.46
202295_s_at	cathepsin H	-1.46
204053_x_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	-1.46
210069_at	choline kinase beta /// carnitine palmitoyltransferase 1B (muscle)	-1.46
211678_s_at	zinc finger protein 313 /// zinc finger protein 313	-1.46
212319_at	RUN and TBC1 domain containing 1	-1.46
217945_at	BTB (POZ) domain containing 1	-1.46
219629_at	chromosome 22 open reading frame 8	-1.46
221552_at	abhydrolase domain containing 6	-1.46
225860_at	hypothetical LOC400843	-1.46
228040_at	gb:AW294192 /DB_XREF=gi:6700828 /DB_XREF=UI-H-BI2-ahc-c-01-0-UI.s1 /CLONE=IMAGE:2726376 /FEA=EST /CNT=23 /TID=Hs.121001.0 /TIER=Stack /STK=12 /UG=Hs.121001 /UG_TITLE=ESTs, Weakly similar to ALU3_HUMAN ALU SUBFAMILY SB1 SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)	-1.46
229899_s_at	Similar to RPE-spondin	-1.46
230097_at	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	-1.46
231192_at	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7	-1.46
240690_at	Hypothetical protein DKFZp761P0423	-1.46
202258_s_at	phosphonoformate immuno-associated protein 5	-1.47
202946_s_at	BTB (POZ) domain containing 3	-1.47
208781_x_at	sorting nexin 3	-1.47
214719_at	hypothetical protein LOC283537	-1.47
218109_s_at	major facilitator superfamily domain containing 1	-1.47
224414_s_at	caspase recruitment domain family, member 6 /// caspase recruitment domain family, member 6	-1.47
226499_at	Similar to ankyrin-repeat protein Nrarp	-1.47
227847_at	EPM2A (laforin) interacting protein 1	-1.47
227962_at	Acyl-Coenzyme A oxidase 1, palmitoyl	-1.47
229434_at	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	-1.47
234485_at	similar to bA508N22.1 (HSPC025)	-1.47
235696_at	Homo sapiens, clone IMAGE:4837650, mRNA, partial cds	-1.47
200940_s_at	arginine-glutamic acid dipeptide (RE) repeats	-1.48
202449_s_at	retinoid X receptor, alpha	-1.48
202739_s_at	phosphorylase kinase, beta	-1.48
204143_s_at	enolase superfamily member 1	-1.48
209228_x_at	tumor suppressor candidate 3	-1.48
211732_x_at	histamine N-methyltransferase /// histamine N-methyltransferase	-1.48
212266_s_at	splicing factor, arginine/serine-rich 5	-1.48
212980_at	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	-1.48
213603_s_at	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	-1.48
217989_at	dehydrogenase/reductase (SDR family) member 8	-1.48
225954_s_at	Midnolin	-1.48
229395_at	syntaxin 4A (placental)	-1.48
231306_at	lysozyme-like 4	-1.48
232097_at	Chromosome 14 open reading frame 92	-1.48
232615_at	FLJ39739 protein	-1.48
235035_at	solute carrier family 35, member E1	-1.48
236545_at	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)	-1.48
200662_s_at	translocase of outer mitochondrial membrane 20 homolog (yeast)	-1.49
200776_s_at	basic leucine zipper and W2 domains 1	-1.49
201449_at	TIA1 cytotoxic granule-associated RNA binding protein	-1.49
202620_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	-1.49
205022_s_at	checkpoint suppressor 1	-1.49
212522_at	phosphodiesterase 8A	-1.49
214722_at	Notch homolog 2 (Drosophila) N-terminal like	-1.49
223781_x_at	alcohol dehydrogenase 4 (class II), pi polypeptide	-1.49
226867_at	chromosome 9 open reading frame 55	-1.49
227174_at	hypothetical protein FLJ38736	-1.49
235482_at	hypothetical gene supported by BC040598	-1.49
242688_at	Thyroid hormone receptor interactor 12	-1.49
201064_s_at	poly(A) binding protein, cytoplasmic 4 (inducible form)	-1.5
201312_s_at	SH3 domain binding glutamic acid-rich protein like	-1.5
201329_s_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	-1.5
202163_s_at	CCR4-NOT transcription complex, subunit 8	-1.5
203413_at	NEL-like 2 (chicken) /// NEL-like 2 (chicken)	-1.5
205480_s_at	UDP-glucose pyrophosphorylase 2	-1.5
208812_x_at	major histocompatibility complex, class I, B /// major histocompatibility complex, class I, C	-1.5
210512_s_at	vascular endothelial growth factor	-1.5
217732_s_at	integral membrane protein 2B	-1.5
221485_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	-1.5
221878_at	Hypothetical LOC388969	-1.5
225390_s_at	Kruppel-like factor 13	-1.5
228648_at	leucine-rich alpha-2-glycoprotein 1	-1.5
235902_at	Similar to hect domain and RLD 2	-1.5
244579_at	Trichorhinophalangeal syndrome I	-1.5
1558511_s_at	chr2 synaptotagmin	-1.5
1559078_at	B-cell CLL/lymphoma 11A (zinc finger protein)	-1.5
202304_at	fibronectin type III domain containing 3A	-1.51
203164_at	solute carrier family 33 (acetyl-CoA transporter), member 1	-1.51
204017_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	-1.51
209222_s_at	oxysterol binding protein-like 2	-1.51
212560_at	Sortilin-related receptor, L(DLR class) A repeats-containing	-1.51
212873_at	minor histocompatibility antigen HA-1	-1.51
213645_at	enolase superfamily member 1	-1.51
213861_s_at	hepatocellularcarcinoma-associated antigen HCA557a	-1.51
217764_s_at	RAB31, member RAS oncogene family	-1.51
221476_s_at	ribosomal protein L15	-1.51
222605_at	REST corepressor 3	-1.51
225435_at	Signal sequence receptor, alpha (translocon-associated protein alpha)	-1.51
230972_at	ankyrin repeat domain 9	-1.51
232168_x_at	microtubule-actin crosslinking factor 1	-1.51
235190_at	Calmodulin 2 (phosphorylase kinase, delta)	-1.51
239815_at	Nuclear receptor coactivator 5	-1.51
204417_at	galactosylceramidase (Krabbe disease)	-1.52
205510_s_at	hypothetical protein FLJ10038	-1.52
215304_at	Clone 23948 mRNA sequence	-1.52
219981_x_at	zinc finger protein 587	-1.52
221808_at	RAB9A, member RAS oncogene family	-1.52
224749_at	chromosome 16 open reading frame 9	-1.52
224938_at	82-kD FMRP Interacting Protein	-1.52
226238_at	methylmalonyl CoA epimerase	-1.52
226255_at	zinc finger and BTB domain containing 33	-1.52
227188_at	chromosome 21 open reading frame 63	-1.52
228116_at	Hypothetical LOC283029	-1.52
232909_s_at	fetal Alzheimer antigen	-1.52
235410_at	nephronophthisis 3 (adolescent)	-1.52
236300_at	Phosphodiesterase 3A, cGMP-inhibited	-1.52
242029_at	Factor for adipocyte differentiation 104	-1.52
201968_s_at	phosphoglucomutase 1	-1.53
203973_s_at	CCAAT/enhancer binding protein (C/EBP), delta	-1.53
208774_at	Casein kinase 1, delta	-1.53
208804_s_at	splicing factor, arginine/serine-rich 6	-1.53
210827_s_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	-1.53
211600_at	gb:U20489.1 /DB_XREF=gi:885925 /GEN=GLEPP1 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900321.277 /TIER=FL /STK=0 /DEF=Human glomerular epithelial protein 1 (GLEPP1) mRNA, complete cds. /PROD=glomerular epithelial protein 1 /FL=gb:U20489.1	-1.53
212036_s_at	pinin, desmosome associated protein	-1.53
212987_at	F-box protein 9	-1.53
221593_s_at	ribosomal protein L31	-1.53
222498_at	5-azacytidine induced 2	-1.53
226602_s_at	similar to breakpoint cluster region isoform 1	-1.53
227095_at	Leptin receptor	-1.53
232653_at	gb:AW265514 /DB_XREF=gi:6642330 /DB_XREF=xq70g01.x1 /CLONE=IMAGE:2756016 /FEA=mRNA /CNT=6 /TID=Hs.278004.0 /TIER=ConsEnd /STK=1 /UG=Hs.278004 /UG_TITLE=Homo sapiens cDNA FLJ14044 fis, clone HEMBA1006124	-1.53
206385_s_at	ankyrin 3, node of Ranvier (ankyrin G)	-1.54
208829_at	TAP binding protein (tapasin)	-1.54
209822_s_at	very low density lipoprotein receptor	-1.54
212534_at	Zinc finger protein 24 (KOX 17)	-1.54
212741_at	monoamine oxidase A	-1.54
212776_s_at	KIAA0657 protein	-1.54
214945_at	NY-REN-7 antigen /// similar to KIAA0752 protein	-1.54
223007_s_at	chromosome 9 open reading frame 5	-1.54
223591_at	ring finger protein 135	-1.54
225499_at	KIAA1272 protein	-1.54
225950_at	Transcribed locus, moderately similar to NP_055301.1 neuronal thread protein AD7c-NTP [Homo sapiens]	-1.54
226040_at	MRNA; cDNA DKFZp762N156 (from clone DKFZp762N156)	-1.54
230379_x_at	hypothetical protein PRO1853	-1.54
232360_at	ets homologous factor	-1.54
233085_s_at	hypothetical protein FLJ22833	-1.54
236472_at	Nardilysin (N-arginine dibasic convertase)	-1.54
200654_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)	-1.55
202105_at	immunoglobulin (CD79A) binding protein 1	-1.55
212124_at	retinoic acid induced 17	-1.55
213089_at	hypothetical protein LOC153561	-1.55
214683_s_at	CDC-like kinase 1	-1.55
217762_s_at	RAB31, member RAS oncogene family	-1.55
218240_at	NFKB inhibitor interacting Ras-like 2	-1.55
219508_at	glucosaminyl (N-acetyl) transferase 3, mucin type	-1.55
224718_at	Solute carrier family 25, member 29	-1.55
226650_at	hypothetical protein LOC90637	-1.55
227345_at	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	-1.55
233893_s_at	KIAA1530 protein	-1.55
242121_at	Ring finger protein 12	-1.55
203494_s_at	translokin	-1.56
207467_x_at	calpastatin	-1.56
212155_at	hypothetical protein LOC149603	-1.56
212331_at	retinoblastoma-like 2 (p130)	-1.56
217379_at	gb:AL121934 /DB_XREF=gi:9795199 /FEA=DNA /CNT=1 /TID=Hs.272340.0 /TIER=ConsEnd /STK=0 /UG=Hs.272340 /UG_TITLE=Human DNA sequence from clone RP11-209A2 on chromosome 6. Contains an RPL10 (60S ribosomal protein L10) pseudogene, ESTs, STSs and GSSs /DEF=Human DNA sequence from clone RP11-209A2 on chromosome 6. Contains an RPL10 (60S ribosomal protein L10) pseudogene, ESTs, STSs and GSSs	-1.56
220748_s_at	zinc finger protein 580	-1.56
221834_at	Peroxisomal lon protease	-1.56
224651_at	chromosome 10 open reading frame 9	-1.56
224699_s_at	chr2 synaptotagmin	-1.56
225312_at	COMM domain containing 6	-1.56
226657_at	hypothetical protein DKFZp762H185	-1.56
228058_at	similar to common salivary protein 1	-1.56
230791_at	Nuclear factor I/B	-1.56
232346_at	CDNA FLJ13580 fis, clone PLACE1008851	-1.56
232472_at	PRO1310	-1.56
232802_at	synaptotagmin VIII	-1.56
238768_at	Hypothetical LOC388969	-1.56
201331_s_at	signal transducer and activator of transcription 6, interleukin-4 induced	-1.57
203042_at	lysosomal-associated membrane protein 2	-1.57
209446_s_at	gb:BC001743.1 /DB_XREF=gi:12804636 /FEA=FLmRNA /CNT=92 /TID=Hs.8173.1 /TIER=FL /STK=0 /UG=Hs.8173 /LL=55744 /UG_GENE=FLJ10803 /DEF=Homo sapiens, Similar to hypothetical protein FLJ10803, clone MGC:933, mRNA, complete cds. /PROD=Similar to hypothetical protein FLJ10803 /FL=gb:BC001743.1	-1.57
215146_s_at	KIAA1043 protein	-1.57
217492_s_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	-1.57
218043_s_at	5-azacytidine induced 2	-1.57
222408_s_at	yippee-like 5 (Drosophila)	-1.57
225251_at	RAB24, member RAS oncogene family	-1.57
232420_x_at	hypothetical protein LOC286260	-1.57
1569091_at	Zinc finger protein 198	-1.57
1570210_x_at	gb:BC022346.1 /DB_XREF=gi:18490629 /TID=Hs2.382826.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.382826 /UG_TITLE=Homo sapiens, Similar to KIAA0685 gene product, clone IMAGE:4250008, mRNA /DEF=Homo sapiens, Similar to KIAA0685 gene product, clone IMAGE:4250008, mRNA.	-1.57
202869_at	2,5-oligoadenylate synthetase 1, 40/46kDa	-1.58
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	-1.58
208772_at	ankyrin repeat and KH domain containing 1 /// MASK-4E-BP3 alternate reading frame gene	-1.58
209114_at	tetraspan 1	-1.58
213300_at	KIAA0404 protein	-1.58
214974_x_at	chemokine (C-X-C motif) ligand 5	-1.58
221864_at	hypothetical protein MGC13024	-1.58
221989_at	ribosomal protein L10	-1.58
229533_x_at	hypothetical protein FLJ90430	-1.58
229949_at	FK506 binding protein 6, 36kDa	-1.58
233270_x_at	Pericentriolar material 1	-1.58
236649_at	x 009 protein	-1.58
244532_x_at	Similar to Ankyrin repeat domain protein 18A	-1.58
200945_s_at	SEC31-like 1 (S. cerevisiae)	-1.59
201673_s_at	glycogen synthase 1 (muscle)	-1.59
203476_at	trophoblast glycoprotein	-1.59
207283_at	hypothetical protein DKFZp547I014	-1.59
207785_s_at	recombining binding protein suppressor of hairless (Drosophila)	-1.59
209620_s_at	ATP-binding cassette, sub-family B (MDR/TAP), member 7	-1.59
212430_at	RNA-binding region (RNP1, RRM) containing 1 /// RNA-binding region (RNP1, RRM) containing 1	-1.59
214022_s_at	interferon induced transmembrane protein 1 (9-27)	-1.59
215012_at	zinc finger protein 451	-1.59
215359_x_at	zinc finger protein 44 (KOX 7)	-1.59
223716_s_at	zinc finger protein 265	-1.59
224671_at	mitochondrial ribosomal protein L10	-1.59
225469_at	hypothetical protein LOC144363	-1.59
226554_at	zinc finger and BTB domain containing 7	-1.59
227576_at	CDNA FLJ43311 fis, clone NT2RI2009855	-1.59
235847_at	Testis expressed sequence 27	-1.59
236435_at	Zinc finger protein 292	-1.59
242467_at	Homo sapiens, Similar to hypothetical protein FLJ21936, clone IMAGE:4044084, mRNA	-1.59
244114_x_at	Hypothetical LOC401131	-1.59
1562289_at	MRNA; cDNA DKFZp434N0220 (from clone DKFZp434N0220)	-1.59
201628_s_at	Ras-related GTP binding A	-1.6
202421_at	Immunoglobulin superfamily, member 3	-1.6
205767_at	epiregulin	-1.6
212288_at	formin binding protein 1	-1.6
212586_at	calpastatin	-1.6
215083_at	Paraspeckle component 1	-1.6
218723_s_at	response gene to complement 32	-1.6
218838_s_at	hypothetical protein FLJ12788	-1.6
40569_at	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	-1.6
223310_x_at	intracellular membrane-associated calcium-independent phospholipase A2 gamma	-1.6
225132_at	F-box and leucine-rich repeat protein 3	-1.6
227708_at	Eukaryotic translation elongation factor 1 alpha 1	-1.6
228105_at	Chromosome 11 open reading frame 23	-1.6
228738_at	hypothetical protein MGC25181	-1.6
201384_s_at	membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	-1.61
202976_s_at	Rho-related BTB domain containing 3	-1.61
203582_s_at	RAB4A, member RAS oncogene family	-1.61
203946_s_at	arginase, type II	-1.61
204351_at	S100 calcium binding protein P	-1.61
204645_at	cyclin T2	-1.61
208729_x_at	major histocompatibility complex, class I, B	-1.61
213800_at	complement factor H	-1.61
217940_s_at	hypothetical protein FLJ10769	-1.61
218276_s_at	salvador homolog 1 (Drosophila)	-1.61
219147_s_at	chromosome 9 open reading frame 95	-1.61
219795_at	solute carrier family 6 (neurotransmitter transporter), member 14	-1.61
223436_s_at	tRNA splicing 2 phosphotransferase 1	-1.61
224763_at	Ribosomal protein L37	-1.61
230653_at	Transcribed locus	-1.61
230713_at	Zinc finger, CCHC domain containing 11	-1.61
235767_x_at	RNA U, small nuclear RNA export adaptor (phosphorylation regulated)	-1.61
1560622_at	TPA regulated locus	-1.61
200732_s_at	protein tyrosine phosphatase type IVA, member 1	-1.62
201832_s_at	vesicle docking protein p115	-1.62
205349_at	guanine nucleotide binding protein (G protein), alpha 15 (Gq class)	-1.62
209102_s_at	HMG-box transcription factor 1	-1.62
212594_at	programmed cell death 4 (neoplastic transformation inhibitor)	-1.62
212736_at	chromosome 16 open reading frame 45	-1.62
214016_s_at	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	-1.62
214819_at	IQ motif and Sec7 domain 2	-1.62
217419_x_at	agrin	-1.62
221860_at	gb:AL044078 /DB_XREF=gi:5935937 /DB_XREF=DKFZp434L2128_s1 /CLONE=DKFZp434L2128 /FEA=EST /CNT=57 /TID=Hs.2730.1 /TIER=Stack /STK=35 /UG=Hs.2730 /LL=3191 /UG_GENE=HNRPL /UG_TITLE=heterogeneous nuclear ribonucleoprotein L	-1.62
221899_at	phosphonoformate immuno-associated protein 5	-1.62
225220_at	CDNA clone IMAGE:4184613, partial cds	-1.62
226235_at	hypothetical protein LOC339290	-1.62
227698_s_at	gb:AW007215 /DB_XREF=gi:5855993 /DB_XREF=ws50e12.x1 /CLONE=IMAGE:2500654 /FEA=EST /CNT=33 /TID=Hs.31408.0 /TIER=Stack /STK=20 /UG=Hs.31408 /LL=57799 /UG_GENE=LOC57799 /UG_TITLE=RAR (RAS like GTPASE)	-1.62
228318_s_at	hypothetical protein FLJ34443	-1.62
229694_at	WD repeat domain 11	-1.62
229710_at	Transcribed locus	-1.62
233595_at	Ubiquitin specific protease 34	-1.62
235954_at	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	-1.62
236180_at	Transcribed locus, weakly similar to NP_062553.1 hypothetical protein FLJ11267 [Homo sapiens]	-1.62
240155_x_at	similar to hypothetical protein FLJ13659 /// hypothetical protein LOC148203 /// similar to zinc finger protein 91 (HPF7, HTF10)	-1.62
241994_at	Xanthine dehydrogenase	-1.62
202386_s_at	limkain b1	-1.63
203595_s_at	interferon-induced protein with tetratricopeptide repeats 5	-1.63
206833_s_at	acylphosphatase 2, muscle type	-1.63
209471_s_at	farnesyltransferase, CAAX box, alpha	-1.63
212460_at	chromosome 14 open reading frame 147	-1.63
217526_at	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein	-1.63
220411_x_at	hypothetical protein FLJ23447	-1.63
222641_s_at	hypothetical protein FLJ10700	-1.63
226252_at	CDNA FLJ34585 fis, clone KIDNE2008758	-1.63
226556_at	Ribosomal protein L4	-1.63
229638_at	iroquois homeobox protein 3	-1.63
234331_s_at	NSE1	-1.63
241203_at	gb:F09245 /DB_XREF=gi:678401 /DB_XREF=HSC2ZA032 /CLONE=c-2za03 /FEA=EST /CNT=4 /TID=Hs.268723.0 /TIER=ConsEnd /STK=4 /UG=Hs.268723 /UG_TITLE=ESTs, Moderately similar to ALU7_HUMAN ALU SUBFAMILY SQ SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)	-1.63
202838_at	fucosidase, alpha-L- 1, tissue	-1.64
204019_s_at	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)	-1.64
209318_x_at	pleiomorphic adenoma gene-like 1	-1.64
211202_s_at	Jumonji, AT rich interactive domain 1B (RBP2-like)	-1.64
212614_at	AT rich interactive domain 5B (MRF1-like)	-1.64
221269_s_at	SH3 domain binding glutamic acid-rich protein like 3 /// SH3 domain binding glutamic acid-rich protein like 3	-1.64
55872_at	KIAA1196 protein	-1.64
225293_at	collagen, type XXVII, alpha 1	-1.64
226189_at	Homo sapiens, clone IMAGE:4794726, mRNA	-1.64
226334_s_at	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	-1.64
229811_at	gb:AI307745 /DB_XREF=gi:4002349 /DB_XREF=tb24f05.x1 /CLONE=IMAGE:2055297 /FEA=EST /CNT=12 /TID=Hs.97282.0 /TIER=Stack /STK=12 /UG=Hs.97282 /UG_TITLE=ESTs	-1.64
231876_at	tripartite motif-containing 56	-1.64
233340_at	serine PI Kazal type 5-like 3	-1.64
235727_at	BTB (POZ) domain containing 5	-1.64
238967_at	Claudin 1	-1.64
240908_at	Similar to Microneme antigen	-1.64
242133_s_at	Clone pp9372 unknown mRNA	-1.64
204849_at	transcription factor-like 5 (basic helix-loop-helix)	-1.65
220261_s_at	zinc finger, DHHC domain containing 4	-1.65
221479_s_at	BCL2/adenovirus E1B 19kDa interacting protein 3-like /// BCL2/adenovirus E1B 19kDa interacting protein 3-like	-1.65
225367_at	phosphoglucomutase 2	-1.65
227134_at	synaptotagmin-like 1	-1.65
228992_at	Mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)	-1.65
229242_at	Transcribed locus	-1.65
1569604_at	Homo sapiens, clone IMAGE:4401848, mRNA	-1.65
201432_at	catalase	-1.66
204806_x_at	major histocompatibility complex, class I, F	-1.66
205048_s_at	phosphoserine phosphatase	-1.66
209875_s_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	-1.66
213532_at	a disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme)	-1.66
215385_at	Fatso	-1.66
224391_s_at	cytosolic sialic acid 9-O-acetylesterase homolog /// cytosolic sialic acid 9-O-acetylesterase homolog	-1.66
226250_at	CDNA FLJ34585 fis, clone KIDNE2008758	-1.66
227056_at	KIAA0141	-1.66
229872_s_at	LOC440667	-1.66
238774_at	Hypothetical protein LOC284058	-1.66
201328_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	-1.67
211529_x_at	HLA-G histocompatibility antigen, class I, G	-1.67
213737_x_at	hypothetical protein DKFZp434P162	-1.67
217726_at	coatomer protein complex, subunit zeta 1	-1.67
225181_at	AT rich interactive domain 1B (SWI1-like)	-1.67
227337_at	low density lipoprotein receptor-related protein binding protein	-1.67
238119_at	Chromosome 2 open reading frame 33	-1.67
201737_s_at	membrane-associated ring finger (C3HC4) 6	-1.68
212958_x_at	peptidylglycine alpha-amidating monooxygenase	-1.68
213750_at	Full length insert cDNA YH77E09	-1.68
214753_at	Phosphonoformate immuno-associated protein 5	-1.68
227943_at	gb:AI798680 /DB_XREF=gi:5364152 /DB_XREF=we91d01.x1 /CLONE=IMAGE:2348449 /FEA=EST /CNT=31 /TID=Hs.25933.0 /TIER=Stack /STK=19 /UG=Hs.25933 /UG_TITLE=ESTs	-1.68
230251_at	chromosome 6 open reading frame 176	-1.68
239808_at	Phosphatidylinositol transfer protein, cytoplasmic 1	-1.68
241938_at	Quaking homolog, KH domain RNA binding (mouse)	-1.68
201427_s_at	selenoprotein P, plasma, 1	-1.69
201549_x_at	Jumonji, AT rich interactive domain 1B (RBP2-like)	-1.69
201919_at	Hypothetical protein FLJ10618	-1.69
202497_x_at	solute carrier family 2 (facilitated glucose transporter), member 3	-1.69
202912_at	adrenomedullin	-1.69
204646_at	dihydropyrimidine dehydrogenase	-1.69
210664_s_at	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	-1.69
213018_at	ocular development-associated gene	-1.69
214805_at	Eukaryotic translation initiation factor 4A, isoform 1	-1.69
44783_s_at	hairy/enhancer-of-split related with YRPW motif 1	-1.69
224698_at	chr2 synaptotagmin	-1.69
225760_at	KIAA1915 protein	-1.69
236240_at	hypothetical protein FLJ21106	-1.69
200864_s_at	RAB11A, member RAS oncogene family	-1.7
209719_x_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	-1.7
210665_at	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	-1.7
214290_s_at	histone 2, H2aa	-1.7
218720_x_at	seizure related 6 homolog (mouse)-like 2	-1.7
221967_at	neurexophilin 4	-1.7
224655_at	adenylate kinase 3 like 1	-1.7
235085_at	hypothetical protein DKFZp761P0423	-1.7
235107_at	Protein inhibitor of activated STAT, 2	-1.7
238295_at	Hypothetical protein FLJ22729	-1.7
244145_at	FYVE and coiled-coil domain containing 1	-1.7
244359_s_at	Similar to Ankyrin repeat domain protein 18A	-1.7
1556658_a_at	Muscleblind-like (Drosophila)	-1.7
200904_at	major histocompatibility complex, class I, E	-1.71
201941_at	carboxypeptidase D	-1.71
208908_s_at	calpastatin	-1.71
214282_at	ceruloplasmin (ferroxidase)	-1.71
217202_s_at	glutamate-ammonia ligase (glutamine synthase)	-1.71
224686_x_at	Hypothetical LOC388397	-1.71
225516_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	-1.71
227501_at	WD repeat and SOCS box-containing 1	-1.71
229050_s_at	hypothetical protein MGC16037	-1.71
231864_at	gb:D31763.1 /DB_XREF=gi:498151 /GEN=KIAA0065 /FEA=mRNA /CNT=28 /TID=Hs.70617.0 /TIER=ConsEnd /STK=0 /UG=Hs.70617 /LL=7581 /UG_TITLE=zinc finger protein 33a (KOX 31) /DEF=Human mRNA for KIAA0065 gene, partial cds.	-1.71
233122_at	Keratinocyte associated protein 2	-1.71
1556656_at	Formin-like 2	-1.71
201666_at	tissue inhibitor of metalloproteinase 1 (erythroid potentiating activity, collagenase inhibitor)	-1.72
202510_s_at	tumor necrosis factor, alpha-induced protein 2	-1.72
203556_at	zinc fingers and homeoboxes 2	-1.72
209845_at	makorin, ring finger protein, 1	-1.72
215028_at	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	-1.72
217867_x_at	beta-site APP-cleaving enzyme 2	-1.72
228962_at	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	-1.72
204881_s_at	UDP-glucose ceramide glucosyltransferase	-1.73
213508_at	chromosome 14 open reading frame 147	-1.73
217783_s_at	yippee-like 5 (Drosophila)	-1.73
219603_s_at	zinc finger protein 226	-1.73
228751_at	CDC-like kinase 4	-1.73
234710_s_at	poly (ADP-ribose) polymerase family, member 6	-1.73
242276_at	gb:T78081 /DB_XREF=gi:696590 /DB_XREF=yd79f05.s1 /CLONE=IMAGE:114465 /FEA=EST /CNT=5 /TID=Hs.193731.0 /TIER=ConsEnd /STK=2 /UG=Hs.193731 /UG_TITLE=ESTs	-1.73
242482_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	-1.73
242646_at	Suppressor of variegation 4-20 homolog 1 (Drosophila)	-1.73
1553145_at	hypothetical protein FLJ39653	-1.73
204908_s_at	B-cell CLL/lymphoma 3	-1.74
214437_s_at	serine hydroxymethyltransferase 2 (mitochondrial)	-1.74
222603_at	gb:AL136980 /DB_XREF=gi:8218328 /FEA=FLmRNA /CNT=122 /TID=Hs.87128.0 /TIER=Stack /STK=56 /UG=Hs.87128 /LL=79956 /UG_GENE=FLJ23309 /UG_TITLE=hypothetical protein FLJ23309 /DEF=Human DNA sequence from clone RP11-207C16 on chromosome 9p23-24.3. Contains the 3 end of the gene for a novel protein similar to C. elegans R06F6.8 (Sw:Q09417) (contains KIAA1432), the 3 end of the gene for a novel protein similar to predicted y... /FL=gb:NM_024896.1	-1.74
223982_s_at	intracellular membrane-associated calcium-independent phospholipase A2 gamma	-1.74
226457_at	CDNA FLJ30340 fis, clone BRACE2007411	-1.74
228622_s_at	DnaJ (Hsp40) homolog, subfamily C, member 4	-1.74
231848_x_at	zinc finger protein 207	-1.74
233480_at	Hypothetical protein MGC3222	-1.74
1558486_at	similar to hypothetical protein FLJ13659	-1.74
