Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.522616	UTX	ubiquitously transcribed tetratricopeptide repeat, X chromosome (UTX), mRNA.	Xp11.2	2.012072435
Hs.372579	MRX85	mental retardation, X-linked 85 (MRX85), mRNA.	16p13.3	2.016129032
Hs.467408	TRIM28	tripartite motif-containing 28 (TRIM28), mRNA.	19q13.4	2.016129032
Hs.298705	CNTN4	contactin 4 (CNTN4), transcript variant 2, mRNA.	3p26-p25	2.016129032
Hs.465885	ILF3	interleukin enhancer binding factor 3, 90kDa (ILF3), transcript variant 1, mRNA.	19p13.2	2.016129032
Hs.132272	LOC115110	PREDICTED: hypothetical protein LOC115110 (LOC115110), mRNA.	1	2.016129032
Hs.388654	ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1 (ATP6V1G1), mRNA.	9q32	2.02020202
Hs.524390	K-ALPHA-1	tubulin, alpha, ubiquitous (K-ALPHA-1), mRNA.	12q13.12	2.02020202
Hs.24763	RANBP1	RAN binding protein 1 (RANBP1), mRNA.	22q11.21	2.02020202
Hs.74647	TRA@	T cell receptor alpha locus	14q11.2	2.024291498
Hs.504628	C2F	C2f protein (C2F), mRNA.	12p13	2.028397566
Hs.144055	SBNO1	sno, strawberry notch homolog 1 (Drosophila) (SBNO1), mRNA.	12q24.31	2.028397566
Hs.504003	BACE1	beta-site APP-cleaving enzyme 1 (BACE1), transcript variant d, mRNA.	11q23.2-q23.3	2.028397566
Hs.226755	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide (YWHAH), mRNA.	22q12.3	2.028397566
Hs.474751	MYH9	myosin, heavy polypeptide 9, non-muscle (MYH9), mRNA.	22q13.1	2.028397566
Hs.512827	DKFZp761E198	hypothetical protein DKFZp761E198 (DKFZp761E198), mRNA.	11q13.1	2.032520325
Hs.368410	MGC10561	Chromobox homolog 2 (Pc class homolog, Drosophila)	17q25.3	2.032520325
		Human DNA sequence from PAC 560B9 on chromosome 1q24-1q25. Contains profilin-like pseudogene, 60S ri		2.032520325
Hs.252457	MVD	mevalonate (diphospho) decarboxylase (MVD), mRNA.	16q24.3	2.032520325
Hs.369998	DRF1	Dbf4-related factor 1 (DRF1), transcript variant 1, mRNA.	17q21.31	2.032520325
Hs.524518	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced (STAT6), mRNA.	12q13	2.032520325
	OR51A1P	Olfactory receptor, family 51, subfamily A, member 1 pseudogene		2.036659878
Hs.439650	SLC9A5	Solute carrier family 9 (sodium/hydrogen exchanger), isoform 5	16q22.1	2.040816327
Hs.550500	GDF11	growth differentiation factor 11 (GDF11), mRNA.	12q13.2	2.040816327
Hs.124015	HAGHL	hydroxyacylglutathione hydrolase-like (HAGHL), transcript variant 1, mRNA.	16p13.3	2.040816327
Hs.525610	C14orf172	Chromosome 14 open reading frame 172	14q32.32	2.040816327
Hs.124951	NSE2	breast cancer membrane protein 101 (NSE2), mRNA.	8q24.21	2.044989775
Hs.302051	MYOHD1	myosin head domain containing 1 (MYOHD1), mRNA.	17q12	2.044989775
	MGC10526	Hypothetical protein MGC10526		2.044989775
Hs.131887	LOC134218	DnaJ homology subfamily A member 5	5p13.2	2.044989775
Hs.511849	FLJ32833	hypothetical protein FLJ32833 (FLJ32833), mRNA.	1p13.3	2.044989775
Hs.125113	CCT8	chaperonin containing TCP1, subunit 8 (theta) (CCT8), mRNA.	21q22.11	2.044989775
Hs.300684	RCP9	calcitonin gene-related peptide-receptor component protein (RCP9), mRNA.	7q11.21	2.049180328
Hs.518265	H41	hypothetical protein H41 (H41), mRNA.	3q22.1	2.049180328
Hs.278186	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1 (ARHGEF1), transcript variant 3, mRNA.	19q13.13	2.049180328
Hs.517356	COL18A1	collagen, type XVIII, alpha 1 (COL18A1), transcript variant 2, mRNA.	21q22.3	2.05338809
Hs.549078	MAFK	V-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)	7p22.3	2.05338809
		Human DNA sequence from clone RP5-822J19 on chromosome 20. Contains an alpha-endosulfine pseudogene,		2.05338809
Hs.454528	VPS35	vacuolar protein sorting 35 (yeast) (VPS35), mRNA.	16q12	2.05338809
Hs.420272	H2AFY	H2A histone family, member Y (H2AFY), transcript variant 2, mRNA.	5q31.3-q32	2.05338809
Hs.306242	RANBP9	RAN binding protein 9 (RANBP9), mRNA.	6p23	2.057613169
Hs.518084		CDNA FLJ32247 fis, clone PROST1000120	3	2.057613169
Hs.9527	C2orf28	chromosome 2 open reading frame 28 (C2orf28), transcript variant 2, mRNA.	2p23.3	2.06185567
Hs.78781	VEGFB	vascular endothelial growth factor B (VEGFB), mRNA.	11q13	2.06185567
Hs.159161	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	17q25.3	2.06185567
Hs.436680	KCNH6	potassium voltage-gated channel, subfamily H (eag-related), member 6 (KCNH6), transcript variant 1, mRNA.	17q23.3	2.066115702
Hs.96023	CD19	CD19 antigen (CD19), mRNA.	16p11.2	2.066115702
Hs.517044	PHF20	PHD finger protein 20 (PHF20), mRNA.	20q11.22-q11.23	2.066115702
Hs.211594	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4 (PSMC4), transcript variant 2, mRNA.	19q13.11-q13.13	2.066115702
Hs.524630	UBE2N	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast) (UBE2N), mRNA.	12q22	2.066115702
Hs.469171	DKFZP564D0478	Hypothetical protein DKFZp564D0478	1p36.11	2.066115702
Hs.522507	FBXW5	F-box and WD-40 domain protein 5 (FBXW5), transcript variant 1, mRNA.	9q34.3	2.066115702
Hs.514220	GRN	granulin (GRN), transcript variant 1, mRNA.	17q21.32	2.070393375
Hs.436578	POLR2F	polymerase (RNA) II (DNA directed) polypeptide F (POLR2F), mRNA.	22q13.1	2.070393375
Hs.494827	SUSD1	sushi domain containing 1 (SUSD1), mRNA.	9q31.3-q33.1	2.070393375
Hs.471851	HDLBP	high density lipoprotein binding protein (vigilin) (HDLBP), mRNA.	2q37	2.074688797
Hs.66739	KRT12	keratin 12 (Meesmann corneal dystrophy) (KRT12), mRNA.	17q12	2.074688797
Hs.479954	MTHFD2L	Hypothetical LOC541467	4q13.3	2.074688797
Hs.459759	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome) (CREBBP), mRNA.	16p13.3	2.074688797
Hs.461187	EXOSC6	Exosome component 6	16q22.1	2.074688797
		Human DNA sequence from clone RP1-189G13 on chromosome 20. Contains an RPL7A (60S ribosomal protein		2.079002079
Hs.527778	CD82	CD82 antigen (CD82), mRNA.	11p11.2	2.079002079
Hs.434059	ETV4	ets variant gene 4 (E1A enhancer binding protein, E1AF) (ETV4), mRNA.	17q21	2.079002079
Hs.271695	NOB1P	likely ortholog of mouse nin one binding protein (NOB1P), mRNA.	16q22.3	2.083333333
Hs.516711	CHPF	chondroitin polymerizing factor (CHPF), mRNA.	2q35	2.083333333
Hs.414396	PERQ1	PERQ amino acid rich, with GYF domain 1 (PERQ1), mRNA.	7q22	2.083333333
Hs.32951	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2 (SLC29A2), mRNA.	11q13	2.083333333
	PDL-108	Periodontal ligament fibroblast protein		2.087682672
Hs.493919	MPZL1	myelin protein zero-like 1 (MPZL1), transcript variant 2, mRNA.	1q24.2	2.087682672
Hs.500159	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1 (HSD17B1), mRNA.	17q11-q21	2.087682672
Hs.440960	RAD23A	RAD23 homolog A (S. cerevisiae) (RAD23A), mRNA.	19p13.2	2.092050209
Hs.506989	RFC5	Replication factor C (activator 1) 5, 36.5kDa	12q24.2-q24.3	2.092050209
Hs.395482	PTK2	PTK2 protein tyrosine kinase 2 (PTK2), transcript variant 2, mRNA.	8q24-qter	2.092050209
Hs.114033	SSR1	signal sequence receptor, alpha (translocon-associated protein alpha) (SSR1), mRNA.	6p24.3	2.092050209
Hs.81337	LGALS9	lectin, galactoside-binding, soluble, 9 (galectin 9) (LGALS9), transcript variant long, mRNA.	17q11.2	2.092050209
Hs.515139	TMED1	transmembrane emp24 domain containing 1 (TMED1), mRNA.	19p13.2	2.092050209
Hs.440899	TTYH3	Tweety homolog 3 (Drosophila)	7p22	2.096436059
Hs.185577	FGF12	fibroblast growth factor 12 (FGF12), transcript variant 1, mRNA.	3q28	2.096436059
Hs.288936	MRPL9	mitochondrial ribosomal protein L9 (MRPL9), nuclear gene encoding mitochondrial protein, mRNA.	1q21	2.100840336
Hs.478481	ALG3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase) (ALG3), transcript variant 1, mRNA.	3q27.1	2.100840336
Hs.469244	WASF2	WAS protein family, member 2 (WASF2), mRNA.	1p36.11-p34.3	2.100840336
Hs.1481	HDC	histidine decarboxylase (HDC), mRNA.	15q21-q22	2.100840336
Hs.460217	MGC35048	hypothetical protein MGC35048 (MGC35048), mRNA.	16p12.3	2.105263158
Hs.75835	PMM1	phosphomannomutase 1 (PMM1), mRNA.	22q13.2	2.105263158
Hs.370187	STAU	staufen, RNA binding protein (Drosophila) (STAU), transcript variant T1, mRNA.	20q13.1	2.105263158
Hs.532188	DKFZP586J0619	PREDICTED: DKFZP586J0619 protein (DKFZP586J0619), mRNA.	7	2.105263158
Hs.109059	MRPL12	mitochondrial ribosomal protein L12 (MRPL12), nuclear gene encoding mitochondrial protein, mRNA.	17q25	2.105263158
Hs.207763	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3 (MAPK8IP3), transcript variant 2, mRNA.	16p13.3	2.105263158
Hs.507755	DCAMKL1	doublecortin and CaM kinase-like 1 (DCAMKL1), mRNA.	13q13	2.105263158
Hs.529044	RAB22A	RAB22A, member RAS oncogene family (RAB22A), mRNA.	20q13.32	2.105263158
Hs.467898	ADCY3	adenylate cyclase 3 (ADCY3), mRNA.	2p24-p22	2.105263158
Hs.370473	ZNF18	Zinc finger protein 18 (KOX 11)	17p11.2	2.109704641
Hs.546271	PCBP2	poly(rC) binding protein 2 (PCBP2), transcript variant 2, mRNA.	12q13.12-q13.13	2.109704641
Hs.485246	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5 (PSMA5), mRNA.	1p13	2.109704641
Hs.550578		Similar to Microneme antigen	5p15.33	2.109704641
		H.sapiens PABII pseudogene		2.109704641
Hs.471951	SNIP1	Smad nuclear interacting protein (SNIP1), mRNA.	1p34.3	2.109704641
Hs.99923	LGALS7	lectin, galactoside-binding, soluble, 7 (galectin 7) (LGALS7), mRNA.	19q13.2	2.114164905
Hs.527919	KPNA3	karyopherin alpha 3 (importin alpha 4) (KPNA3), mRNA.	13q14.3	2.114164905
Hs.351099	FLJ10241	hypothetical protein FLJ10241 (FLJ10241), mRNA.	19q13.2	2.114164905
Hs.293736	ADNP	activity-dependent neuroprotector (ADNP), transcript variant 2, mRNA.	20q13.13	2.114164905
Hs.89545	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4 (PSMB4), mRNA.	1q21	2.114164905
Hs.516245	LOC151438	Hypothetical protein LOC151438	2q12.1	2.114164905
Hs.477144	LOC152185	Hypothetical protein AY099107	3q13.2	2.114164905
Hs.184298	CDK7	cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase) (CDK7), mRNA.	5q12.1	2.114164905
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.118644068
Hs.334518	ZNF607	zinc finger protein 607 (ZNF607), mRNA.	19q13.1	2.118644068
Hs.368611	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2 (ST3GAL2), mRNA.	16q22.1	2.118644068
Hs.494419	LAMP1	lysosomal-associated membrane protein 1 (LAMP1), mRNA.	13q34	2.123142251
Hs.62604	SPOCD1	SPOC domain containing 1	1p35.2	2.123142251
Hs.37916	DPP7	dipeptidylpeptidase 7 (DPP7), mRNA.	9q34.3	2.123142251
Hs.464196		CDNA FLJ12420 fis, clone MAMMA1003049	1	2.123142251
Hs.25155	NET1	neuroepithelial cell transforming gene 1 (NET1), mRNA.	10p15	2.123142251
Hs.485070	GTF2H4	General transcription factor IIH, polypeptide 4, 52kDa	6p21.3	2.127659574
Hs.498548	RBM17	RNA binding motif protein 17 (RBM17), mRNA.	10p15.1	2.127659574
		Homo sapiens, clone IMAGE:3690478, mRNA, partial cds		2.132196162
Hs.7101	ANAPC5	anaphase promoting complex subunit 5 (ANAPC5), mRNA.	12q24.31	2.132196162
Hs.248114	GDNF	glial cell derived neurotrophic factor (GDNF), transcript variant 3, mRNA.	5p13.1-p12	2.132196162
Hs.310542	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast) (TOMM40), mRNA.	19q13	2.132196162
Hs.436329	SCRIB	scribbled homolog (Drosophila) (SCRIB), transcript variant 2, mRNA.	8q24.3	2.136752137
Hs.256301	MGC13170	multidrug resistance-related protein (MGC13170), mRNA.	19q13.33	2.136752137
Hs.546394	HSPC016	hypothetical protein HSPC016 (HSPC016), mRNA.	3p21.31	2.136752137
Hs.414473	C6orf110	Chromosome 6 open reading frame 110	6p21.1	2.136752137
Hs.75348	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha) (PSME1), transcript variant 1, mRNA.	14q11.2	2.136752137
Hs.19156	DAAM1	Dishevelled associated activator of morphogenesis 1	14q23.1	2.136752137
Hs.3759	USP5	ubiquitin specific protease 5 (isopeptidase T) (USP5), mRNA.	12p13	2.141327623
Hs.480073	HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) (HNRPD), transcript variant 3, mRNA.	4q21.1-q21.2	2.141327623
Hs.8752	TMEM4	transmembrane protein 4 (TMEM4), mRNA.	12q15	2.141327623
Hs.304613	NDUFB4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa (NDUFB4), nuclear gene encoding mitochondrial protein, mRNA.	3q13.33	2.141327623
Hs.522664	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like (GNL3L), mRNA.	Xp11.22	2.141327623
Hs.520943	WBSCR1	Williams-Beuren syndrome chromosome region 1 (WBSCR1), transcript variant 2, mRNA.	7q11.23	2.145922747
Hs.124027	SEPHS1	selenophosphate synthetase 1 (SEPHS1), mRNA.	10p14	2.145922747
		Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 152428		2.145922747
Hs.181768	MYOD1	myogenic factor 3 (MYOD1), mRNA.	11p15.4	2.150537634
Hs.377992	RABGGTA	Rab geranylgeranyltransferase, alpha subunit (RABGGTA), transcript variant 1, mRNA.	14q11.2	2.150537634
Hs.517817	TMEM43	transmembrane protein 43 (TMEM43), mRNA.	3p25.1	2.150537634
Hs.409965	PNN	pinin, desmosome associated protein (PNN), mRNA.	14q21.1	2.150537634
Hs.437043	KIAA0540	PREDICTED: KIAA0540 protein (KIAA0540), mRNA.	3	2.150537634
Hs.478553	EIF4A2	eukaryotic translation initiation factor 4A, isoform 2 (EIF4A2), mRNA.	3q28	2.150537634
Hs.523761	PLCB3	phospholipase C, beta 3 (phosphatidylinositol-specific) (PLCB3), mRNA.	11q13	2.155172414
Hs.446374	HKE2	HLA class II region expressed gene KE2 (HKE2), mRNA.	6p21.3	2.155172414
Hs.55847	MRPL51	mitochondrial ribosomal protein L51 (MRPL51), nuclear gene encoding mitochondrial protein, mRNA.	12p13.3-p13.1	2.164502165
Hs.521328	FLJ20397	hypothetical protein FLJ20397 (FLJ20397), mRNA.	7p22.3	2.164502165
Hs.34560	LMO2	LIM domain only 2 (rhombotin-like 1) (LMO2), mRNA.	11p13	2.164502165
Hs.335033	CTTNBP2	cortactin binding protein 2 (CTTNBP2), mRNA.	7q31	2.164502165
Hs.517168	TAGLN2	transgelin 2 (TAGLN2), mRNA.	1q21-q25	2.169197397
Hs.211079	ZNHIT1	zinc finger, HIT domain containing 1 (ZNHIT1), mRNA.	7q22.1	2.169197397
Hs.507295	PUS1	pseudouridylate synthase 1 (PUS1), mRNA.	12q24.33	2.169197397
	RPS10L	Ribosomal protein S10-like		2.169197397
Hs.66048	BPY2IP1	BPY2 interacting protein 1 (BPY2IP1), mRNA.	19p13.11	2.169197397
Hs.177861	SF3B14	splicing factor 3B, 14 kDa subunit (SF3B14), mRNA.	2pter-p25.1	2.169197397
Hs.79769	PCDH1	protocadherin 1 (cadherin-like 1) (PCDH1), transcript variant 2, mRNA.	5q32-q33	2.169197397
Hs.514465	ATP5H	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	17q25	2.169197397
Hs.108969	PTD008	PTD008 protein (PTD008), mRNA.	19p13.13	2.173913043
Hs.26593	HDAC10	Histone deacetylase 10	22q13.31	2.173913043
Hs.16184	RAD17	RAD17 homolog (S. pombe) (RAD17), transcript variant 4, mRNA.	5q13	2.173913043
Hs.461047	G6PD	glucose-6-phosphate dehydrogenase (G6PD), nuclear gene encoding mitochondrial protein, mRNA.	Xq28	2.178649237
Hs.436618	HSU79274	protein predicted by clone 23733 (HSU79274), mRNA.	12q24.11	2.178649237
Hs.549060	RS1	retinoschisis (X-linked, juvenile) 1 (RS1), mRNA.	Xp22.2-p22.1	2.178649237
Hs.368402	LOC51337	mesenchymal stem cell protein DSCD75 (LOC51337), mRNA.	8q24.3	2.183406114
Hs.534338	PPP4C	protein phosphatase 4 (formerly X), catalytic subunit (PPP4C), mRNA.	16p12-16p11	2.183406114
Hs.86724	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia) (GCH1), mRNA.	14q22.1-q22.2	2.183406114
		Human DNA sequence from clone RP11-11M20 on chromosome 20 Contains the 5 part of the TAF2C1 gene fo		2.183406114
Hs.188606	STARD10	START domain containing 10 (STARD10), mRNA.	11q13	2.183406114
Hs.164682	PEX1	peroxisome biogenesis factor 1 (PEX1), mRNA.	7q21-q22	2.188183807
Hs.1437	GAA	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II) (GAA), mRNA.	17q25.2-q25.3	2.188183807
Hs.334684	MGC10485	hypothetical protein MGC10485 (MGC10485), mRNA.	11q25	2.188183807
Hs.514581	ACTG1	actin, gamma 1 (ACTG1), mRNA.	17q25	2.192982456
Hs.99886	C4BPB	complement component 4 binding protein, beta (C4BPB), mRNA.	1q32	2.197802198
Hs.469723	CHC1	chromosome condensation 1 (CHC1), mRNA.	1p36.1	2.197802198
Hs.533740	GRIK4	glutamate receptor, ionotropic, kainate 4 (GRIK4), mRNA.	11q22.3	2.197802198
Hs.518197	IQCB1	IQ motif containing B1 (IQCB1), mRNA.	3q13.33	2.197802198
Hs.12341	ADAR	adenosine deaminase, RNA-specific (ADAR), transcript variant ADAR-c, mRNA.	1q21.1-q21.2	2.202643172
Hs.302435	CENTG1	centaurin, gamma 1 (CENTG1), mRNA.	12q14.1	2.202643172
Hs.288995	ZNF587	zinc finger protein 587 (ZNF587), mRNA.	19q13.43	2.202643172
Hs.534364	VIL1	villin 1 (VIL1), mRNA.	2q35-q36	2.202643172
Hs.146070	TPM3	tropomyosin 3 (TPM3), mRNA.	1q21.2	2.202643172
Hs.549080	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit (DPM1), mRNA.	20q13.13	2.202643172
	X102	Small evolutionarily conserved RNA, resembling C/D box small nucleolar		2.202643172
Hs.474737	APOL3	apolipoprotein L, 3 (APOL3), transcript variant alpha/d, mRNA.	22q13.1	2.207505519
Hs.446691	FKBP9L	FK506 binding protein 9-like (FKBP9L), mRNA.	7p11.1	2.207505519
Hs.283565	FOSL1	FOS-like antigen 1 (FOSL1), mRNA.	11q13	2.207505519
Hs.370834	ATAD2	ATPase family, AAA domain containing 2 (ATAD2), mRNA.	8q24.13	2.207505519
Hs.510334	SERPINA5	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 (SERPINA5), mRNA.	14q32.1	2.207505519
Hs.516034	C2orf18	chromosome 2 open reading frame 18 (C2orf18), mRNA.	2p23.3	2.207505519
Hs.472024	C20orf30	chromosome 20 open reading frame 30 (C20orf30), transcript variant 3, mRNA.	20p12.3	2.212389381
Hs.500775	ZNF207	zinc finger protein 207 (ZNF207), mRNA.	17q11.2	2.212389381
Hs.103665	VILL	villin-like (VILL), mRNA.	3p21.3	2.212389381
Hs.480876	ANAPC10	anaphase promoting complex subunit 10 (ANAPC10), mRNA.	4q31	2.212389381
Hs.405987	SAMD11	sterile alpha motif domain containing 11 (SAMD11), mRNA.	1p36.33	2.212389381
Hs.189119	CXXC5	CXXC finger 5 (CXXC5), mRNA.	5q31.2	2.212389381
		Homo sapiens cDNA FLJ32092 fis, clone OCBBF2000846		2.212389381
Hs.438409	XPMC2H	XPMC2 prevents mitotic catastrophe 2 homolog (Xenopus laevis) (XPMC2H), mRNA.	9q34.2	2.2172949
Hs.248101	CHRNG	cholinergic receptor, nicotinic, gamma polypeptide (CHRNG), mRNA.	2q33-q34	2.2172949
Hs.474705	TOM1	target of myb1 (chicken) (TOM1), mRNA.	22q13.1	2.222222222
Hs.275243	S100A6	S100 calcium binding protein A6 (calcyclin) (S100A6), mRNA.	1q21	2.222222222
Hs.496068	PCTK1	PCTAIRE protein kinase 1	Xp11.3-p11.23	2.227171492
Hs.521800	FLJ14825	hypothetical protein FLJ14825 (FLJ14825), mRNA.	8q24.13	2.227171492
Hs.515704	CCNL2	cyclin L2 (CCNL2), mRNA.	1p36.33	2.232142857
Hs.435815	FAM48A	family with sequence similarity 48, member A (FAM48A), transcript variant 2, mRNA.	13q13.3	2.237136465
Hs.192854	RTKN	rhotekin (RTKN), mRNA.	2p13.1	2.237136465
Hs.283764	FBXO24	F-box protein 24 (FBXO24), transcript variant 1, mRNA.	7q22	2.237136465
Hs.169615	FLJ20989	hypothetical protein FLJ20989 (FLJ20989), mRNA.	8q24.3	2.242152466
Hs.477273	ZNF593	zinc finger protein 593 (ZNF593), mRNA.	1p36.11	2.247191011
Hs.369606	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA.	12q15	2.247191011
Hs.185172	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2 (GNB2), mRNA.	7q22	2.247191011
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.247191011
Hs.302015	FKSG2	apoptosis inhibitor (FKSG2), mRNA.	8p11.2	2.247191011
Hs.529019	BPI	bactericidal/permeability-increasing protein (BPI), mRNA.	20q11.23-q12	2.252252252
Hs.529591	TLOC1	Translocation protein 1	3q26.2-q27	2.257336343
Hs.410497	BRI3	brain protein I3 (BRI3), mRNA.	7q21.3	2.257336343
Hs.343589	EXOSC4	exosome component 4 (EXOSC4), mRNA.	8q24.3	2.257336343
Hs.462913	MRPL45	mitochondrial ribosomal protein L45 (MRPL45), nuclear gene encoding mitochondrial protein, mRNA.	17q21.2	2.257336343
Hs.333823	MRPL13	mitochondrial ribosomal protein L13 (MRPL13), nuclear gene encoding mitochondrial protein, mRNA.	8q22.1-q22.3	2.262443439
Hs.515642	GPSN2	glycoprotein, synaptic 2 (GPSN2), mRNA.	19p13.12	2.262443439
Hs.492314	LAPTM4B	lysosomal associated protein transmembrane 4 beta (LAPTM4B), mRNA.	8q22.1	2.262443439
Hs.196990	ZDHHC6	zinc finger, DHHC domain containing 6 (ZDHHC6), mRNA.	10q25.2	2.262443439
Hs.406840	SLC35A4	solute carrier family 35, member A4 (SLC35A4), mRNA.	5q31.3	2.262443439
Hs.216226	SYNGR1	synaptogyrin 1 (SYNGR1), transcript variant 1a, mRNA.	22q13.1	2.267573696
Hs.350848	FLJ45187	FLJ45187 protein	10p12.31	2.267573696
Hs.535030	MGC13098	Hypothetical protein MGC13098	7p13	2.267573696
Hs.333526	C17orf37	chromosome 17 open reading frame 37 (C17orf37), mRNA.	17q12	2.267573696
		Homo sapiens pregnancy-induced hypertension syndrome-related protein (PIH3) mRNA, partial cds		2.267573696
Hs.115232	SF3A2	splicing factor 3a, subunit 2, 66kDa (SF3A2), mRNA.	19p13.3-p13.2	2.272727273
Hs.1063	SNRPC	small nuclear ribonucleoprotein polypeptide C (SNRPC), mRNA.	6p21.31	2.272727273
Hs.117825	PARP4	poly (ADP-ribose) polymerase family, member 4 (PARP4), mRNA.	13q11	2.272727273
Hs.27222	NOLA2	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs) (NOLA2), mRNA.	5q35.3	2.277904328
Hs.372208	HSPC159	HSPC159 protein (HSPC159), mRNA.	2p14	2.277904328
Hs.515344	MGC13096	hypothetical protein MGC13096 (MGC13096), mRNA.	19q13.11	2.283105023
Hs.467358	ZNF549	zinc finger protein 549 (ZNF549), mRNA.	19q13.43	2.283105023
Hs.551566	MGC11257	hypothetical protein MGC11257 (MGC11257), mRNA.	7p22.3	2.283105023
Hs.103501	GRK1	G protein-coupled receptor kinase 1 (GRK1), mRNA.	13q34	2.283105023
Hs.182476	ABHD11	abhydrolase domain containing 11 (ABHD11), transcript variant 2, mRNA.	7q11.23	2.283105023
Hs.523004	PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy) (PSAP), mRNA.	10q21-q22	2.283105023
Hs.367725	GATA2	GATA binding protein 2	3q21.3	2.288329519
	MGC10724	Hypothetical protein MGC10724		2.288329519
Hs.284295	NSMCE1	non-SMC element 1 homolog (S. cerevisiae) (NSMCE1), mRNA.	16p12.1	2.293577982
Hs.82793	PSMB3	proteasome (prosome, macropain) subunit, beta type, 3 (PSMB3), mRNA.	17q12	2.293577982
Hs.204749	PTPN14	protein tyrosine phosphatase, non-receptor type 14 (PTPN14), mRNA.	1q32.2	2.293577982
Hs.170479	PLA2G6	phospholipase A2, group VI (cytosolic, calcium-independent) (PLA2G6), transcript variant 1, mRNA.	22q13.1	2.293577982
Hs.493164	PP3856	similar to CG3714 gene product (PP3856), mRNA.	8q24.3	2.293577982
Hs.515003	C19orf6	chromosome 19 open reading frame 6 (C19orf6), mRNA.	19p13.3	2.298850575
Hs.54483	NMI	N-myc (and STAT) interactor (NMI), mRNA.	2p24.3-q21.3	2.298850575
Hs.333388	EEF1D	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	8q24.3	2.298850575
Hs.551523	C3F	putative protein similar to nessy (Drosophila) (C3F), mRNA.	12p13	2.298850575
Hs.522664	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like (GNL3L), mRNA.	Xp11.22	2.298850575
Hs.434953	HMGB2	high-mobility group box 2 (HMGB2), mRNA.	4q31	2.298850575
Hs.401745	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a (TNFRSF10A), mRNA.	8p21	2.298850575
Hs.516095	SMYD5	SMYD family member 5 (SMYD5), mRNA.	2p13.2	2.298850575
Hs.532031		CDNA FLJ31833 fis, clone NT2RP6000130	8	2.298850575
Hs.514590	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate (HGS), mRNA.	17q25	2.304147465
Hs.486993	TULP4	tubby like protein 4 (TULP4), transcript variant 1, mRNA.	6q25-q26	2.304147465
		Homo sapiens (clone E06) gene from CpG-enriched DNA, partial cds		2.304147465
Hs.534385	THOC4	THO complex 4 (THOC4), mRNA.	17q25.3	2.304147465
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.304147465
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	2.309468822
Hs.501114	C18orf23	chromosome 18 open reading frame 23 (C18orf23), mRNA.	18q21.1	2.309468822
Hs.1600	CCT5	chaperonin containing TCP1, subunit 5 (epsilon) (CCT5), mRNA.	5p15.2	2.314814815
