HGNC ID	Name	Fold change MK/EB	Ensembl ID
LGALS12	Galectin-12 (Galectin-related inhibitor of proliferation). [Source:SWISSPROT;Acc:Q96DT0]	4.762407424	ENSG00000133317
MAPK12	Mitogen-activated protein kinase 12 [Homo sapiens] ( MAPK12)	4.71256278	ENSG00000188130
CD69	Early activation antigen CD69 (Early T-cell activation antigen p60) (GP32/28) (Leu-23) (MLR-3) (EA1) (BL-AC/P26) (Activation inducer molecule) (AIM). [Source:SWISSPROT;Acc:Q07108]	4.705810174	ENSG00000110848
SULT1A4	Monoamine-sulfating phenol sulfotransferase (EC 2.8.2.1) (Sulfotransferase, monoamine-preferring) (M-PST) (Thermolabile phenol sulfotransferase) (TL-PST) (Placental estrogen sulfotransferase) (Catecholamine-sulfating phenol sulfotransferase) (HAST3). [Source:SWISSPROT;Acc:P50224]	4.699713654	ENSG00000181625
NP_116262.2	Cbl-interacting protein Sts-1	4.690778948	ENSG00000154127
LAMB2	Laminin beta-2 chain precursor (S-laminin) (Laminin B1s chain). [Source:SWISSPROT;Acc:P55268]	4.673779931	ENSG00000172037
CXCR4	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Stromal cell- derived factor 1 receptor) (SDF-1 receptor) (Fusin) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (LCR1) (FB22) (NPYRL) (HM89) (CD184 antigen). [Source:SWISSPROT;Acc:P30991]	4.660227831	ENSG00000121966
CATSPER1	sperm-associated cation channel 1; cation channel of sperm; sperm ion channel. [Source:RefSeq;Acc:NM_053054]	4.633795082	ENSG00000175294
NOTCH1	Neurogenic locus notch homolog protein 1 precursor (Notch 1) (hN1) (Translocation-associated notch protein TAN-1). [Source:SWISSPROT;Acc:P46531]	4.632075205	ENSG00000175294
ARHGAP25	Rho-GTPase-activating protein 25. [Source:Uniprot/SWISSPROT;Acc:P42331]	4.591047399	ENSG00000163219
MED12L	TRALPUSH; no opposite paired repeat protein. [Source:RefSeq;Acc:NM_053002]	4.587103692	ENSG00000144893
IRF5	Interferon regulatory factor 5 (IRF-5). [Source:SWISSPROT;Acc:Q13568]	4.55275346	ENSG00000128604
TUBB1	Tubulin beta-1 chain	4.519416322	ENSG00000101162
ALPK1	lymphocyte alpha-kinase. [Source:RefSeq;Acc:NM_025144]	4.505726363	ENSG00000073331
OBSL1	OBSL1 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96IW3]	4.504832628	ENSG00000124006
CASP4	Caspase-4 precursor (EC 3.4.22.-) (CASP-4) (ICH-2 protease) (TX protease) (ICE(rel)-II). [Source:SWISSPROT;Acc:P49662]	4.490077895	ENSG00000196954
HPCAL1	Visinin-like protein 3 (VILIP-3) (Calcium-binding protein BDR-1) (HLP2) (Hippocalcin-like protein 1). [Source:SWISSPROT;Acc:P37235]	4.489015363	ENSG00000115756
IFITM3	Interferon-induced transmembrane protein 3 (Interferon-inducible protein 1-8U). [Source:SWISSPROT;Acc:Q01628]	4.453163779	ENSG00000142089
O19682_HUMAN	HLA class I histocompatibility antigen, E alpha chain precursor (MHC class I antigen E). [Source:SWISSPROT;Acc:P13747]	4.378671043	ENSG00000206413
XP_943512.1	PREDICTED: similar to RAS related protein 1b isoform 1	4.374943461	ENSG00000176276
VAV1	Vav proto-oncogene. [Source:SWISSPROT;Acc:P15498]	4.365839524	ENSG00000141968
ILK	Integrin-linked protein kinase 1 (EC 2.7.1.-) (ILK-1) (59 kDa serine/threonine protein kinase) (p59ILK). [Source:SWISSPROT;Acc:Q13418]	4.365595946	ENSG00000166333
DDAH2	NG,NG-dimethylarginine dimethylaminohydrolase 2 (EC 3.5.3.18) (Dimethylargininase 2) (Dimethylarginine dimethylaminohydrolase 2) (DDAHII) (G6a). [Source:SWISSPROT;Acc:O95865]	4.363469752	ENSG00000111980
ADA	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase). [Source:SWISSPROT;Acc:P00813]	4.350841067	ENSG00000196839
ST3GAL6	alpha2,3-sialyltransferase VI; alpha2,3-sialyltransferase. [Source:RefSeq;Acc:NM_006100]	4.350588018	ENSG00000064225
NINJ2	Ninjurin 2 (Nerve injury-induced protein 2). [Source:SWISSPROT;Acc:Q9NZG7]	4.346561303	ENSG00000171840
TCEAL1	transcription elongation factor A (SII)-like 1. [Source:RefSeq;Acc:NM_004780]	4.345647905	ENSG00000172465
RSU1	Ras suppressor protein 1 (Rsu-1) (RSP-1). [Source:SWISSPROT;Acc:Q15404]	4.326641748	ENSG00000148484
PLCG2	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase gamma 2 (EC 3.1.4.11) (Phosphoinositide phospholipase C) (PLC-gamma-2) (Phospholipase C-gamma-2) (PLC-IV). [Source:SWISSPROT;Acc:P16885]	4.308453566	ENSG00000197943
RRAS	Ras-related protein R-Ras (p23). [Source:SWISSPROT;Acc:P10301]	4.299199713	ENSG00000126458
KIF2	Kinesin-like protein KIF2 (Kinesin-2) (HK2). [Source:SWISSPROT;Acc:O00139]	4.294676744	ENSG00000068796
DGKD	Diacylglycerol kinase, delta (EC 2.7.1.107) (Diglyceride kinase) (DGK-delta) (DAG kinase delta) (130 kDa diacylglycerol kinase) (Fragment). [Source:SWISSPROT;Acc:Q16760]	4.287019558	ENSG00000077044
PCDH20	protocadherin 20; protocadherin 13. [Source:RefSeq;Acc:NM_022843]	4.241964097	ENSG00000197991
ERG	Transcriptional regulator ERG (Transforming protein ERG). [Source:SWISSPROT;Acc:P11308]	4.208308639	ENSG00000157554
BATF	ATF-like basic leucine zipper transcriptional factor B-ATF (SF-HT- acivated gene-2) (SFA-2). [Source:SWISSPROT;Acc:Q16520]	4.19411197	ENSG00000156127
PPARG	Peroxisome proliferator activated receptor gamma (PPAR-gamma). [Source:SWISSPROT;Acc:P37231]	4.179130834	ENSG00000132170
FAIM	Fas apoptotic inhibitory molecule 1. [Source:SWISSPROT;Acc:Q9NVQ4]	4.175068135	ENSG00000158234
ACTA2	Actin, aortic smooth muscle (Alpha-actin 2). [Source:SWISSPROT;Acc:P03996]	4.14788943	ENSG00000107796
LIMS1	PINCH protein (Particularly interesting new Cys-His protein) (LIM and senescent cell antigen-like domains 1). [Source:SWISSPROT;Acc:P48059]	4.142211803	ENSG00000169756
FOSL1	Fos-related antigen 1 (FRA-1). [Source:SWISSPROT;Acc:P15407]	4.13832257	ENSG00000175592
NPDC1	Neural proliferation differentiation and control protein-1 precursor (NPDC-1 protein). [Source:SWISSPROT;Acc:Q9NQX5]	4.060525693	ENSG00000107281
PAPSS1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthethase 1 (PAPS synthethase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK1) (SK 1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase); Adenylylsulfate kinase (EC 2.7.1.25) (Adenylylsulfate 3-phosphotransferase) (APS kinase) (Adenosine-5-phosphosulfate 3-phosphotransferase) (3- phosphoadenosine-5-phosphosulfate synthetase)]. [Source:SWISSPROT;Acc:O43252]	4.003703523	ENSG00000138801
SPTB	Spectrin beta chain, erythrocyte (Beta-I spectrin). [Source:SWISSPROT;Acc:P11277]	3.96688059	ENSG00000070182
TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A precursor (p60) (TNF-R1) (TNF-RI) (p55) (CD120a) [Contains: Tumor necrosis factor binding protein 1 (TBPI)]. [Source:SWISSPROT;Acc:P19438]	3.957200841	ENSG00000067182
GALNT14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14; UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase T10; UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase T14. [Source:RefSeq;Acc:NM_024572]	3.948849661	ENSG00000158089
CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1; E-cadherin binding protein E7. [Source:RefSeq;Acc:NM_024814]	3.947538957	ENSG00000105879
VASP	Vasodilator-stimulated phosphoprotein (VASP). [Source:SWISSPROT;Acc:P50552]	3.935559903	ENSG00000125753
PDK2	Pyruvate dehydrogenase [lipoamide]] kinase isozyme 2, mitochondrial precursor (EC 2.7.1.99) (Pyruvate dehydrogenase kinase isoform 2). [Source:SWISSPROT;Acc:Q15119]	3.933930977	ENSG00000005882
TFEC	transcription factor EC. [Source:RefSeq;Acc:NM_012252]	3.933566639	ENSG00000105967
ARHGAP9	Rho GTPase activating protein 9. [Source:RefSeq;Acc:NM_032496]	3.916593113	ENSG00000123329
HMMR	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid binding protein) (Receptor for hyaluronan-mediated motility) (CD168 antigen). [Source:SWISSPROT;Acc:O75330]	3.908921733	ENSG00000072571
PSTPIP2	Proline-serine-threonine phosphatase-interacting protein 2.	3.874342835	ENSG00000152229
STOM	Erythrocyte band 7 integral membrane protein (Stomatin) (Protein 7.2b). [Source:SWISSPROT;Acc:P27105]	3.874261987	ENSG00000148175
TUBA1	Tubulin alpha-4 chain (Alpha-tubulin 4). [Source:SWISSPROT;Acc:P05215]	3.867148822	ENSG00000127824
BBS1	Bardet-Biedl syndrome 1 protein (BBS2-like protein 2). [Source:SWISSPROT;Acc:Q8NFJ9]	3.860165049	ENSG00000174483
PPAPDC1B	HTPAP protein. [Source:RefSeq;Acc:NM_032483]	3.797916567	ENSG00000147535
C16orf5	cell death inducing protein	3.786647403	ENSG00000089486
SLC24A3	Sodium/potassium/calcium exchanger 3 precursor (Na(+)/K(+)/Ca(2+)- exchange protein 3). [Source:SWISSPROT;Acc:Q9HC58]	3.784566353	ENSG00000185052
PDGFA	Platelet derived growth factor alpha chain	3.767317612	ENSG00000197461
NDUFA5	NADH-ubiquinone oxidoreductase 13 kDa-B subunit (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-13Kd-B) (CI-13Kd-B) (Complex I subunit B13). [Source:SWISSPROT;Acc:Q16718]	3.752988871	ENSG00000128609
UPP1	Uridine phosphorylase 1 (EC 2.4.2.3) (UrdPase 1) (UPase 1). [Source:SWISSPROT;Acc:Q16831]	3.721978164	ENSG00000183696
XP_932164.1	PREDICTED: similar to Nonhistone chromosomal protein HMG-14 (High-mobility group nucleosome binding domain 1) Source: RefSeq_peptide_predicted XP_944034	3.721685322	ENSG00000157576
LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase precursor (EC 3.1.1.13) (LAL) (Acid cholesteryl ester hydrolase) (Sterol esterase) (Lipase A) (Cholesteryl esterase). [Source:SWISSPROT;Acc:P38571]	3.703694156	ENSG00000107798
SQRDL	Sulfide:quinone oxidoreductase, mitochondrial precursor (EC 1.-.-.-) (CGI-44). [Source:SWISSPROT;Acc:Q9Y6N5]	3.700432381	ENSG00000137767
TEX264	Putative secreted protein ZSIG11 precursor. [Source:SWISSPROT;Acc:Q9Y6I9]	3.678394038	ENSG00000164081
SLC22A18	tumor suppressing subtransferable candidate 5; p45 Beckwith-Wiedemann region 1A; Beckwith-Wiedemann syndrome chromosome region 1, candidate A; efflux transporter-like protein; organic cation transporter-like 2; solute carrier family 22 (organic cation transporter), member 1-like; tumor-suppressing STF cDNA 5; imprinted multi-membrane spanning polyspecific transporter-related protein. [Source:RefSeq;Acc:NM_002555]	3.661667494	ENSG00000110628
LY6G5C	G5C protein; lymphocyte antigen-6 G5C; chromosome 6 open reading frame 20. [Source:RefSeq;Acc:NM_025262]	3.658737886	ENSG00000111971
CBFB	Core-binding factor, beta subunit (CBF-beta) (Polyomavirus enhancer binding protein 2 beta subunit) (PEBP2-beta) (PEA2-beta) (SL3-3 enhancer factor 1 beta subunit) (SL3/AKV core-binding factor beta subunit). [Source:SWISSPROT;Acc:Q13951]	3.645989921	ENSG00000067955
XBP1	X box binding protein-1 (XBP-1) (TREB5 protein). [Source:SWISSPROT;Acc:P17861]	3.642663183	ENSG00000100219
ARMET	ARMET protein precursor (Arginine-rich protein)	3.619618073	ENSG00000145050
HM20B_HUMAN	high-mobility group 20B; Sox-like transcriptional factor; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E, member 1-related. [Source:RefSeq;Acc:NM_006339]	3.585187836	ENSG00000064961
KBTB9	Kelch repeat and BTB domain-containing protein 9	3.566748015	ENSG00000119771
NFKBIA	NF-kappaB inhibitor alpha (Major histocompatibility complex enhancer- binding protein MAD3) (I-kappa-B-alpha) (IkappaBalpha) (IKB-alpha). [Source:SWISSPROT;Acc:P25963]	3.544194533	ENSG00000100906
SYNJ2BP	Synaptojanin 2 binding protein (Mitochondrial outer membrane protein 25). [Source:SWISSPROT;Acc:P57105]	3.542181849	ENSG00000133983
HYI	Hydroxypyruvate isomerase homolog [Source:RefSeq_peptide;Acc:NP_112484]	3.531205783	ENSG00000178922
SERPINB1	Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (M/NEI) (EI). [Source:SWISSPROT;Acc:P30740]	3.520636988	ENSG00000021355
SH3BGRL2	SH3 domain-binding glutamic acid-rich-like protein 2 (Fovea-associated SH3 domain-binding protein). [Source:Uniprot/SWISSPROT;Acc:Q9UJC5]	3.513619808	ENSG00000198478
FHOD1	FH1/FH2 domains-containing protein (Formin homolog overexpressed in spleen) (FHOS) (Formin homology 2 domain containing 1). [Source:SWISSPROT;Acc:Q9Y613]	3.493152274	ENSG00000135723
PIK3R5	phosphoinositide-3-kinase, regulatory subunit, polypeptide p101. [Source:RefSeq;Acc:NM_014308]	3.487122691	ENSG00000141506
DNMT3B	DNA (cytosine-5)-methyltransferase 3B (EC 2.1.1.37) (Dnmt3b) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB). [Source:SWISSPROT;Acc:Q9UBC3]	3.471367452	ENSG00000088305
SCAMP2	Secretory carrier-associated membrane protein 2. [Source:SWISSPROT;Acc:O15127]	3.462308197	ENSG00000140497
PCSK6	Paired basic amino acid cleaving enzyme 4 precursor (EC 3.4.21.-) (Subtilisin/kexin-like protease PACE4) (Subtilisin-like proprotein convertase 4) (SPC4). [Source:SWISSPROT;Acc:P29122]	3.426736886	ENSG00000140479
PNKD	myofibrillogenesis regulator 1; trans-activated by hepatitis C virus core protein 2; likely ortholog of mouse brain protein 17. [Source:RefSeq;Acc:NM_022572]	3.420608105	ENSG00000127838
TNFRSF14	Tumor necrosis factor receptor superfamily member 14 precursor (Herpesvirus entry mediator A) (Tumor necrosis factor receptor-like 2) (TR2). [Source:SWISSPROT;Acc:Q92956]	3.412784479	ENSG00000157873
IFITM2	Interferon-induced transmembrane protein 2 (Interferon-inducible protein 1-8D). [Source:SWISSPROT;Acc:Q01629]	3.410881519	ENSG00000185201
SOD2	Superoxide dismutase [Mn], mitochondrial precursor (EC 1.15.1.1). [Source:SWISSPROT;Acc:P04179]	3.409519891	ENSG00000112096
ITPKB	Inositol-trisphosphate 3-kinase B (EC 2.7.1.127) (Inositol 1,4,5- trisphosphate 3-kinase) (IP3K) (IP3 3-kinase) (IP3K-B). [Source:SWISSPROT;Acc:P27987]	3.408229202	ENSG00000143772
PSCD4	Cytohesin 4. [Source:SWISSPROT;Acc:Q9UIA0]	3.404711771	ENSG00000100055
LSMD1	LSM domain containing 1	3.389157284	ENSG00000183011
OAS3	2-5-oligoadenylate synthetase 3 (EC 2.7.7.-) ((2-5)oligo(A) synthetase 3) (2-5A synthetase 3) (p100 OAS) (p100OAS) (P/OKcl.4). [Source	3.386214527	ENSG00000111331
RTN4	Reticulon 4 (Neurite outgrowth inhibitor) (Nogo protein) (Foocen) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine specific protein C homolog) (RTN-x) (Reticulon 5) (My043 protein). [Source:SWISSPROT;Acc:Q9NQC3]	3.383214665	ENSG00000115310
FNBP1L	Formin binding protein 1-like isoform 1 [Source:RefSeq_peptide;Acc:NP_001020119]	3.366871141	ENSG00000137942
MYO1F	Myosin If (Myosin-IE). [Source:SWISSPROT;Acc:O00160]	3.361054311	ENSG00000142347
CTRL	Proteasome subunit beta type 10 precursor (EC 3.4.25.1) (Proteasome MECl-1) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1). [Source:SWISSPROT;Acc:P40306]	3.340870725	ENSG00000141086
ACP6	lysophosphatidic acid phosphatase; likely ortholog of mouse acid phosphatase 6, lysophosphatidic; acid phosphatase like 1. [Source:RefSeq;Acc:NM_016361]	3.334905027	ENSG00000162836
SEMA6C	Semaphorin 6C precursor (Semaphorin Y) (Sema Y). [Source:SWISSPROT;Acc:Q9H3T2]	3.332046621	ENSG00000143434
CCND1	G1/S-specific cyclin D1 (PRAD1 oncogene) (BCL-1 oncogene). [Source:SWISSPROT;Acc:P24385]	3.327813604	ENSG00000110092
NP_116237.1	No description	3.319766424	ENSG00000139405
JAK1	Tyrosine-protein kinase JAK1 (EC 2.7.1.112) (Janus kinase 1) (JAK-1). [Source:SWISSPROT;Acc:P23458]	3.316395632	ENSG00000162434
ATP13A2	Probable cation-transporting ATPase 1 (EC 3.6.1.-). [Source:SWISSPROT;Acc:Q9NQ11]	3.315794208	ENSG00000159363
MLC1	Membrane protein MLC1. [Source:SWISSPROT;Acc:Q15049]	3.313983277	ENSG00000100427
GRAP	GRB2-related adaptor protein. [Source:SWISSPROT;Acc:Q13588]	3.297153985	ENSG00000154016
TM7SF2	Delta(14)-sterol reductase (EC 1.3.1.70) (C-14 sterol reductase) (Sterol C14-reductase) (Delta14-SR) (Transmembrane 7 superfamily member 2) (Another new gene 1) (Putative sterol reductase SR-1). [Source:SWISSPROT;Acc:O76062]	3.288882384	ENSG00000149809
CXCL2	Macrophage inflammatory protein-2-alpha precursor (MIP2-alpha) (CXCL2) (Growth regulated protein beta) (Gro-beta). [Source:SWISSPROT;Acc:P19875]	3.267651651	ENSG00000081041
TSN32_HUMAN	Phemx protein. [Source:SWISSPROT;Acc:Q96QS1]	3.257877695	ENSG00000064201
CRYL1,	Lambda-crystallin homolog. [Source:SWISSPROT;Acc:Q9Y2S2]	3.214909802	ENSG00000165475
DEF6	differentially expressed in FDCP 6 homolog; IRF4-binding protein. [Source:RefSeq;Acc:NM_022047]	3.20415817	ENSG00000023892
ARRB1	Beta-arrestin 1 (Arrestin, beta 1). [Source:SWISSPROT;Acc:P49407]	3.165698346	ENSG00000137486
CIB3	DNA-dependent protein kinase catalytic subunit-interacting protein 3. [Source:RefSeq;Acc:NM_054113]	3.153770531	ENSG00000141977
STXBP2	Syntaxin binding protein 2 (Unc-18 homolog 2) (Unc-18B) (Unc18-2). [Source:SWISSPROT;Acc:Q15833]	3.144113803	ENSG00000076944
NAT8	N-acetyltransferase 8; kidney- and liver-specific gene; kidney- and liver-specific gene product. [Source:RefSeq;Acc:NM_003960]	3.131750566	ENSG00000144035
PTPN6	Protein-tyrosine phosphatase, non-receptor type 6 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Hematopoietic cell protein-tyrosine phosphatase) (SH-PTP1) (Protein-tyrosine phosphatase SHP-1). [Source:SWISSPROT;Acc:P29350]	3.129530413	ENSG00000111679
IFRD2	N-acetyltransferase 6 (EC 2.3.1.-) (Fus-2 protein) (Fusion 2 protein). [Source:SWISSPROT;Acc:Q93015]	3.117539283	ENSG00000186792
BAT5	Protein BAT5 (HLA-B-associated transcript 5) (NG26 protein) (G5) (PP199). [Source:SWISSPROT;Acc:O95870]	3.110338553	ENSG00000096467
ARPC1B	ARP2/3 complex 41 kDa subunit (P41-ARC) (Actin-related protein 2/3 complex subunit 1B). [Source:SWISSPROT;Acc:O15143]	3.107227165	ENSG00000130429
PDLIM7	enigma protein isoform 1; enigma (LIM domain protein); LIM domain protein; 1110003B01Rik. [Source:RefSeq;Acc:NM_005451]	3.10615162	ENSG00000196923
MATK	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.1.112) (Tyrosine-protein kinase CTK) (Protein kinase HYL) (Hematopoietic consensus tyrosine-lacking kinase). [Source:SWISSPROT;Acc:P42679]	3.104887072	ENSG00000007264
SNCA	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP). [Source:SWISSPROT;Acc:P37840]	3.104233678	ENSG00000145335
NEURL2	Neuralized-like protein 2. [Source:SWISSPROT;Acc:Q9BR09]	3.084714351	ENSG00000124257
TAGLN2	Transgelin 2 (SM22-alpha homolog). [Source:SWISSPROT;Acc:P37802]	3.068919409	ENSG00000158710
CCL27	Small inducible cytokine A27 precursor (CCL27) (CC chemokine ILC) (IL- 11 Ralpha-locus chemokine) (Skinkine) (ESkine) (Cuteaneous T-cell attracting chemokine) (CTACK). [Source:SWISSPROT;Acc:Q9Y4X3]	3.063537449	ENSG00000187186
AASS	aminoadipate-semialdehyde synthase; lysine-ketoglutarate reductase /saccharopine dehydrogenase; lysine-2-oxoglutarate reductase; aminoadipic semialdehyde synthase. [Source:RefSeq;Acc:NM_005763]	3.05792631	ENSG00000008311
EVL	Ena/vasodilator stimulated phosphoprotein-like protein (Ena/VASP-like protein). [Source:SWISSPROT;Acc:Q9UI08]	3.052960771	ENSG00000196405
LIMA1	Epithelial protein lost in neoplasm. [Source:SWISSPROT;Acc:Q9UHB6]	3.032348042	ENSG00000050405
SLC9A3R1	Ezrin-radixin-moesin binding phosphoprotein 50 (EBP50) (Na(+)/H(+) exchange regulatory co-factor NHE-RF) (NHERF-1) (Regulatory co-factor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform 3 regulatory factor 1). [Source:SWISSPROT;Acc:O14745]	3.029298118	ENSG00000109062
ACTC	Actin, alpha cardiac. [Source:SWISSPROT;Acc:P04270]	3.01056261	ENSG00000159251
GSTM2	Glutathione S-transferase Mu 4 (EC 2.5.1.18) (GSTM4-4) (GTS-Mu2) (GST class-mu 4). [Source:SWISSPROT;Acc:Q03013]	3.005413517	ENSG00000168765
PLP2	Intestinal membrane A4 protein (Differentiation-dependent protein A4) (Proteolipid protein 2). [Source:SWISSPROT;Acc:Q04941]	3.0011956	ENSG00000102007
EPHX2	Soluble epoxide hydrolase (SEH) (EC 3.3.2.3) (Epoxide hydratase) (Cytosolic epoxide hydrolase) (CEH). [Source:SWISSPROT;Acc:P34913]	2.998803931	ENSG00000120915
TITF1	Thyroid transcription factor 1 (Thyroid nuclear factor 1) (TTF-1) (Homeobox protein Nkx-2.1) (Homeobox protein NK-2 homolog A). [Source:SWISSPROT;Acc:P43699]	2.991995298	ENSG00000136352
TTC27	tetratricopeptide repeat domain 27	2.990942173	ENSG00000018699
GNG7	Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-7 subunit. [Source:SWISSPROT;Acc:O60262]	2.987574216	ENSG00000176533
DOK3	Dok-like protein. [Source:RefSeq;Acc:NM_024872]	2.980633258	ENSG00000146094
ACTB	Actin, cytoplasmic 1 (Beta-actin). [Source:SWISSPROT;Acc:P02570]	2.97267903	ENSG00000075624
CLIC1	Chloride intracellular channel protein 1 (Nuclear chloride ion channel 27) (NCC27) (p64 CLCP) (Chloride channel ABP). [Source:SWISSPROT;Acc:O00299]	2.971837535	ENSG00000096238
FES	Proto-oncogene tyrosine-protein kinase FES/FPS (EC 2.7.1.112) (C-FES). [Source:SWISSPROT;Acc:P07332]	2.969183649	ENSG00000182511
TACC1	Transforming acidic coiled-coil-containing protein 1. [Source:SWISSPROT;Acc:O75410]	2.968299575	ENSG00000147526
NCKAP1L	Nck-associated protein 1-like (Membrane-associated protein HEM-1) (Hematopoietic protein 1). [Source:Uniprot/SWISSPROT;Acc:P55160]	2.965368785	ENSG00000123338
MDK	Midkine precursor (Neurite outgrowth-promoting protein) (MK) (Midgestation and kidney protein) (Amphiregulin-associated protein) (ARAP) (Neurite outgrowth-promoting factor 2). [Source:SWISSPROT;Acc:P21741]	2.964593224	ENSG00000110492
EMILIN1	EMILIN 1 precursor (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1). [Source:SWISSPROT;Acc:Q9Y6C2]	2.958779594	ENSG00000138080
INSIG1	Insulin-induced gene 1 protein (INSIG-1). [Source:Uniprot/SWISSPROT;Acc:O15503]	2.945613688	ENSG00000186480
HEXIM1	HMBA-inducible; likely ortholog of mouse cardiac lineage protein 1; menage a quatre 1; hexamethylene bisacetamide-inducible protein. [Source:RefSeq;Acc:NM_006460]	2.93557451	ENSG00000186834
NP_699204.1	NP_699204.1	2.93518525	ENSG00000175309
PTPLA	protein tyrosine phosphatase-like, member a; cementum attachment protein. [Source:RefSeq;Acc:NM_014241]	2.916691586	ENSG00000165996
NP_079425.2	NP_079425.2	2.913481403	ENSG00000167107
XP_937491.1	PREDICTED: similar to CG33096-PB, isoform B isoform 2 Source: RefSeq_peptide_predicted XP_937491	2.898961259	ENSG00000182502
RCBTB2	RCC1-like G exchanging factor RLG. [Source:RefSeq;Acc:NM_001268]	2.89225081	ENSG00000136161
PTAFR	Platelet activating factor receptor (PAF-R). [Source:SWISSPROT;Acc:P25105]	2.88675459	ENSG00000169403
PTPN12	Protein-tyrosine phosphatase, non-receptor type 12 (EC 3.1.3.48) (Protein-tyrosine phosphatase G1) (PTPG1). [Source:SWISSPROT;Acc:Q05209]	2.877665817	ENSG00000127947
MAX	Max protein. [Source:SWISSPROT;Acc:P25912]	2.857396519	ENSG00000125952
c9orf16	UPF0184 protein C9orf16 (EST00098)	2.853334977	ENSG00000171159
TSPAN18	tetraspanin similiar to uroplakin 1. [Source:RefSeq;Acc:NM_130783]	2.834567484	ENSG00000157570
ARPC2	ARP2/3 complex 34 kDa subunit (P34-ARC) (Actin-related protein 2/3 complex subunit 2). [Source:SWISSPROT;Acc:O15144]	2.828488112	ENSG00000163466
MAGEE1	Melanoma-associated antigen E1 (MAGE-E1 antigen) (MAGE-C2 antigen) (Hepatocellular carcinoma-associated antigen 587) (Cancer-testis antigen 10) (CT10). [Source:SWISSPROT;Acc:Q9UBF1]	2.804124586	ENSG00000198934
DNAJB5	DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40) (Hsp40-2). [Source:SWISSPROT;Acc:O75953]	2.764827026	ENSG00000137094
IL9R	Interleukin-9 receptor precursor (IL-9R). [Source:SWISSPROT;Acc:Q01113]	2.756154483	ENSG00000124334
ARMCX1	ALEX1 protein; arm protein lost in epithelial cancers, X chromosome, 1. [Source:RefSeq;Acc:NM_016608]	2.75472028	ENSG00000126947
RAG1AP1	stromal cell protein. [Source:RefSeq;Acc:NM_018845]	2.743342776	ENSG00000169241
C5orf13	Neuronal protein 3.1 (p311 protein). [Source:SWISSPROT;Acc:Q16612]	2.725233773	ENSG00000134986
GPR171	Probable G protein-coupled receptor H963. [Source:SWISSPROT;Acc:O14626]	2.715267847	ENSG00000174946
MGMT	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O- methylguanine-DNA methyltransferase). [Source:SWISSPROT;Acc:P16455]	2.714362979	ENSG00000170430
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3; MAPKAP kinase 3. [Source:RefSeq;Acc:NM_004635]	2.695548024	ENSG00000114738
NP_078894.2	NOD9 protein isoform 1. [Source:RefSeq;Acc:NM_024618]	2.692320585	ENSG00000160703
CCND3	G1/S-specific cyclin D3. [Source:SWISSPROT;Acc:P30281]	2.690652334	ENSG00000112576
ARHGDIA	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha). [Source:SWISSPROT;Acc:P52565]	2.68960538	ENSG00000141522
FAM108A1	No description	2.681279373	ENSG00000129968
SLC29A2	solute carrier family 29 (nucleoside transporters), member 3; equilibrative nucleoside transporter 3. [Source:RefSeq;Acc:NM_018344]	2.678799635	ENSG00000174669
