Gene Name	Average	Fold	Description	GenBank Accession	Cell line
MT1X	1.85	1.85	Metallothionein 1X	N80129	MDA-MB-231 100nM
MT2A	2.21	2.21	Metallothionein 2A	AI866473	MDA-MB-231 100nM
MT2A	2.05	2.05	Metallothionein 2A	BF131311	MDA-MB-231 100nM
MTA3	1.53	1.53	Metastasis associated 1 family, member 3	AA169121	MDA-MB-231 100nM
NT5E	3.40	3.40	5-nucleotidase, ecto (CD73)	R60343	MDA-MB-231 100nM
PHLDA1	4.18	4.18	Pleckstrin homology-like domain, family A, member 1	AA258396	MDA-MB-231 100nM
PLAT	1.94	1.94	Plasminogen activator, tissue	AA453728	MDA-MB-231 100nM
PLAU	1.70	1.70	Plasminogen activator, urokinase	AA284668	MDA-MB-231 100nM
PLK1	1.67	1.67	Polo-like kinase 1 (Drosophila)	AA629262	MDA-MB-231 100nM
PRKD3	1.01	1.01	Protein kinase D3	AA463213	MDA-MB-231 100nM
PRSS23	2.84	2.84	Protease, serine, 23	AI299995	MDA-MB-231 100nM
RIS1	1.80	1.80	Ras-induced senescence 1	AA127069	MDA-MB-231 100nM
S100A2	1.02	1.02	S100 calcium binding protein A2	BE514982	MDA-MB-231 100nM
SCD	0.96	-1.05	Stearoyl-CoA desaturase (delta-9-desaturase)	R00707	MDA-MB-231 100nM
SEPP1	52.21	52.21	Selenoprotein P, plasma, 1	BM666166	MDA-MB-231 100nM
SGCB	2.56	2.56	Sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	R55105	MDA-MB-231 100nM
SLC1A5	1.41	1.41	Solute carrier family 1 (neutral amino acid transporter), member 5	T70031	MDA-MB-231 100nM
SOD2	1.88	1.88	Superoxide dismutase 2, mitochondrial	W78148	MDA-MB-231 100nM
SOD2	1.64	1.64	Superoxide dismutase 2, mitochondrial	T61649	MDA-MB-231 100nM
SPRY1	0.43	-2.31	Sprouty homolog 1, antagonist of FGF signaling (Drosophila)	AA055440	MDA-MB-231 100nM
SQSTM1	1.81	1.81	Sequestosome 1	BE264393	MDA-MB-231 100nM
TAT	0.58	-1.73	Tyrosine aminotransferase	R71822	MDA-MB-231 100nM
TFF1	3.43	3.43	Trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	AA573793	MDA-MB-231 100nM
TGFBR3	0.56	-1.79	Transforming growth factor, beta receptor III (betaglycan, 300kDa)	H07895	MDA-MB-231 100nM
THBS2	1.81	1.81	Thrombospondin 2	H38240	MDA-MB-231 100nM
TNNI3K	0.65	-1.53	Transcribed locus	AA018408	MDA-MB-231 100nM
TPR	1.77	1.77	Translocated promoter region (to activated MET oncogene)	AA454176	MDA-MB-231 100nM
TYR	2.18	2.18	Tyrosinase (oculocutaneous albinism IA)	N42770	MDA-MB-231 100nM
TYRP1	2.09	2.09	Tyrosinase-related protein 1	AA424996	MDA-MB-231 100nM
ZNF232	0.59	-1.69	Zinc finger protein 232	AI565571	MDA-MB-231 100nM
