Gene ID	Symbol	Name	hESC Median Intensity	hEB Median Intensity	ESC/EB
958	CD40	CD40 molecule, TNF receptor superfamily member 5	68.73	83.05	0.83
135924	OR9A2	olfactory receptor, family 9, subfamily A, member 2	11.56	14.01	0.83
390432	OR4Q2P	olfactory receptor, family 4, subfamily Q, member 2 pseudogene	12.94	15.74	0.82
283111	OR51V1	olfactory receptor, family 51, subfamily V, member 1	17.91	21.87	0.82
3604	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	17.34	21.26	0.82
219493	OR5AR1	olfactory receptor, family 5, subfamily AR, member 1	23.34	28.75	0.81
3811	KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	19.78	24.4	0.81
5727	PTCH	patched homolog (Drosophila)	35.13	43.37	0.81
114814	GNRHR2	gonadotropin-releasing hormone (type 2) receptor 2	11.44	14.15	0.81
64096	GFRA4	GDNF family receptor alpha 4	23.35	28.92	0.81
120787	OR52W1	olfactory receptor, family 52, subfamily W, member 1	42.39	52.73	0.8
2057	EPOR	erythropoietin receptor	46.15	57.47	0.8
127623	OR2B11	olfactory receptor, family 2, subfamily B, member 11	12.86	16.14	0.8
390077	OR52N2	olfactory receptor, family 52, subfamily N, member 2	19.14	24.05	0.8
138883	OR1N1	olfactory receptor, family 1, subfamily N, member 1	65.46	82.7	0.79
3791	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	90.77	114.99	0.79
113540	CMTM1	CKLF-like MARVEL transmembrane domain containing 1	40	50.75	0.79
2743	GLRB	glycine receptor, beta	21.77	27.64	0.79
7067	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	151.15	193.51	0.78
8718	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	263.96	338.01	0.78
254786	OR6C3	olfactory receptor, family 6, subfamily C, member 3	18.25	23.37	0.78
11054	OGFR	opioid growth factor receptor	116.57	149.98	0.78
6258	RXRG	retinoid X receptor, gamma	23.93	30.79	0.78
79168	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	11.14	14.35	0.78
3459	IFNGR1	interferon gamma receptor 1	370.94	478.62	0.78
119687	OR51A7	olfactory receptor, family 51, subfamily A, member 7	19.48	25.14	0.77
2674	GFRA1	GDNF family receptor alpha 1	34.38	44.5	0.77
5792	PTPRF	protein tyrosine phosphatase, receptor type, F	304.65	394.77	0.77
343172	OR2T8	olfactory receptor, family 2, subfamily T, member 8	18.25	23.65	0.77
29990	PILRB	paired immunoglobin-like type 2 receptor beta	170.6	221.11	0.77
341418	OR6C4	olfactory receptor, family 6, subfamily C, member 4	15.32	19.91	0.77
389090	OR6B2	olfactory receptor, family 6, subfamily B, member 2	50.18	65.41	0.77
27242	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	909.21	1187.85	0.77
10888	GPR83	G protein-coupled receptor 83	30.43	41.48	0.73
8795	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	974.87	1331.1	0.73
659	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	130.89	178.94	0.73
114609	TIRAP	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	42.57	58.36	0.73
59352	LGR6	leucine-rich repeat-containing G protein-coupled receptor 6	36.92	50.96	0.72
23266	LPHN2	latrophilin 2	631.88	881.45	0.72
5051	PAFAH2	platelet-activating factor acetylhydrolase 2, 40kDa	42.82	59.83	0.72
196335	OR56B4	olfactory receptor, family 56, subfamily B, member 4	39.6	55.37	0.72
432	ASGR1	asialoglycoprotein receptor 1	544.57	763.68	0.71
2831	NPBWR1	neuropeptides B/W receptor 1	318.89	448.38	0.71
8323	FZD6	frizzled homolog 6 (Drosophila)	66.45	93.81	0.71
1141	CHRNB2	cholinergic receptor, nicotinic, beta 2 (neuronal)	19.99	28.31	0.71
6256	RXRA	retinoid X receptor, alpha	386.4	547.45	0.71
79345	OR51B2	olfactory receptor, family 51, subfamily B, member 2	31.48	44.71	0.7
283297	OR10A4	olfactory receptor, family 10, subfamily A, member 4	15.42	22.33	0.69
2261	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	873.29	1275.01	0.68
2867	FFAR2	free fatty acid receptor 2	14.34	21.1	0.68
10424	PGRMC2	progesterone receptor membrane component 2	807.67	1202.77	0.67
6257	RXRB	retinoid X receptor, beta	66.76	99.54	0.67
1138	CHRNA5	cholinergic receptor, nicotinic, alpha 5	8336.47	12438.76	0.67
3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A	26.89	40.13	0.67
2844	GPR21	G protein-coupled receptor 21	10.14	15.39	0.66
90	ACVR1	activin A receptor, type I	168.57	258.2	0.65
26248	OR2K2	olfactory receptor, family 2, subfamily K, member 2	16.19	24.89	0.65
56927	GPR108	G protein-coupled receptor 108	22.42	34.55	0.65
5798	PTPRN	protein tyrosine phosphatase, receptor type, N	191.66	298.48	0.64
2560	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	32.67	50.89	0.64
125963	OR1M1	olfactory receptor, family 1, subfamily M, member 1	26	40.74	0.64
4920	ROR2	receptor tyrosine kinase-like orphan receptor 2	185.93	291.43	0.64
8322	FZD4	frizzled homolog 4 (Drosophila)	48.83	77.24	0.63
7046	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	22.32	35.31	0.63
3460	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	932.64	1486.56	0.63
3360	HTR4	5-hydroxytryptamine (serotonin) receptor 4	13.9	22.25	0.62
7852	CXCR4	chemokine (C-X-C motif) receptor 4	104.52	167.88	0.62
84168	ANTXR1	anthrax toxin receptor 1	524.29	852.89	0.61
2825	GPR1	G protein-coupled receptor 1	4251.69	6935.36	0.61
2104	ESRRG	estrogen-related receptor gamma	11.32	18.64	0.61
151556	GPR155	G protein-coupled receptor 155	288.79	479.21	0.6
2492	FSHR	follicle stimulating hormone receptor	19.3	32.11	0.6
84818	IL17RC	interleukin 17 receptor C	69.13	115.21	0.6
4987	OPRL1	opiate receptor-like 1	36.93	61.7	0.6
7976	FZD3	frizzled homolog 3 (Drosophila)	304.35	511.05	0.6
7132	TNFRSF1A	tumor necrosis factor receptor superfamily, member 1A	345.76	581.61	0.59
4543	MTNR1A	melatonin receptor 1A	11.41	19.48	0.59
10161	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	34.48	59.12	0.58
1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	29.79	51.99	0.57
51330	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	360.55	633.95	0.57
7187	TRAF3	TNF receptor-associated factor 3	11.43	20.15	0.57
2642	GCGR	glucagon receptor	23.66	41.86	0.57
10859	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	70.23	125.09	0.56
151306	GPBAR1	G protein-coupled bile acid receptor 1	15.91	28.45	0.56
3597	IL13RA1	interleukin 13 receptor, alpha 1	248.97	445.42	0.56
55081	IFT57	intraflagellar transport 57 homolog (Chlamydomonas)	66.85	120.13	0.56
2843	GPR20	G protein-coupled receptor 20	21.07	38.13	0.55
7096	TLR1	toll-like receptor 1	10.19	18.8	0.54
1235	CCR6	chemokine (C-C motif) receptor 6	13.56	25.13	0.54
5914	RARA	retinoic acid receptor, alpha	87.79	164.74	0.53
79627	OGFRL1	opioid growth factor receptor-like 1	27.15	51.19	0.53
8793	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	10.61	20.1	0.53
134	ADORA1	adenosine A1 receptor	59.66	120.37	0.5
1815	DRD4	dopamine receptor D4	38.19	78.53	0.49
2675	GFRA2	GDNF family receptor alpha 2	64.01	133.3	0.48
8737	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1	16.44	35.09	0.47
177	AGER	advanced glycosylation end product-specific receptor	12.19	26.34	0.46
4157	MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	101.07	219.99	0.46
3588	IL10RB	interleukin 10 receptor, beta	241.02	550.99	0.44
5797	PTPRM	protein tyrosine phosphatase, receptor type, M	92.8	215.61	0.43
2917	GRM7	glutamate receptor, metabotropic 7	10.73	25.4	0.42
2535	FZD2	frizzled homolog 2 (Drosophila)	774.41	1846.62	0.42
1271	CNTFR	ciliary neurotrophic factor receptor	72.54	173.79	0.42
1909	EDNRA	endothelin receptor type A	33	82.27	0.4
10461	MERTK	c-mer proto-oncogene tyrosine kinase	34.25	87.96	0.39
6320	CLEC11A	C-type lectin domain family 11, member A	194.75	506.74	0.38
7010	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	128.68	340.16	0.38
3590	IL11RA	interleukin 11 receptor, alpha	50.58	143.65	0.35
8771	TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy	57.38	174.78	0.33
558	AXL	AXL receptor tyrosine kinase	312.73	1034.58	0.3
8321	FZD1	frizzled homolog 1 (Drosophila)	11.17	37.18	0.3
25960	GPR124	G protein-coupled receptor 124	78.5	269	0.29
55504	TNFRSF19	tumor necrosis factor receptor superfamily, member 19	95.48	328.55	0.29
55890	GPRC5C	G protein-coupled receptor, family C, group 5, member C	299.49	1157.37	0.26
118429	ANTXR2	anthrax toxin receptor 2	63.81	251.16	0.25
1136	CHRNA3	cholinergic receptor, nicotinic, alpha 3	12.74	50.9	0.25
706	BZRP	benzodiazapine receptor (peripheral)	759.04	3133.26	0.24
2568	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	19.11	80.01	0.24
5159	PDGFRB	platelet-derived growth factor receptor, beta polypeptide	121.87	718.06	0.17
9289	GPR56	G protein-coupled receptor 56	13.79	86.78	0.16
5156	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	33.06	228.3	0.14
3554	IL1R1	interleukin 1 receptor, type I	11.84	93.51	0.13
57007	CMKOR1	chemokine orphan receptor 1	162.01	1376.9	0.12
2847	MCHR1	melanin-concentrating hormone receptor 1	25.27	238.43	0.11
2487	FRZB	frizzled-related protein	323.7	3203.09	0.1
2690	GHR	growth hormone receptor	16.29	176.1	0.09
7049	TGFBR3	transforming growth factor, beta receptor III (betaglycan, 300kDa)	18.33	359.91	0.05
10267	RAMP1	receptor (calcitonin) activity modifying protein 1	13.23	298.96	0.04
187	AGTRL1	angiotensin II receptor-like 1	27.86	673.99	0.04
