UniGene #	Gene	Description	Fold Change (log 2)
Hs.134106	MAP2K4	mitogen-activated protein kinase kinase 4=MEK4=MKK4=sek1=JNK activating kinase 1	1.3838
Hs.269775	MAP3K7IP2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	1.3262
Hs.432453	MAP3K8	Mitogen-activated protein kinase kinase kinase 8	1.2411
Hs.468239	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	1.3194
Hs.130491	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5	1.259
Hs.271980	MAPK6	mitogen-activated protein kinase 6=erk3=extracellular signal-regulated kinase 3	1.3267
Hs.519909	MARCKS	Myristoylated alanine-rich protein kinase C substrate	1.3007
Hs.54642	MAT2B	Methionine adenosyltransferase II, beta	1.2468
Hs.189445	MATN2	Matrilin 2	1.2052
Hs.268939	MATR3	Matrin 3	1.3085
Hs.369849	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	1.502
Hs.14732	ME1	Malate oxidoreductase	1.1729
Hs.497353	MED6	Mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	1.7757
Hs.510989	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	1.2713
Hs.270978	MEST	Mesoderm specific transcript homolog (mouse)	1.4151
Hs.93338	MGAT2	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	1.2129
Hs.492716	MGC21654	Unknown MGC21654 product	1.0187
Hs.496530	MGC39900	Hypothetical protein MGC39900	1.0611
Hs.177576	MGC52110	Hypothetical protein MGC52110	1.2392
Hs.355750	MGC5306	Hypothetical protein MGC5306	1.4439
Hs.72964	MKRN3	Makorin, ring finger protein, 3	1.2652
Hs.404	MLLT3	AF-9=Translocated to MLL in AML	1.6575
Hs.297413	MMP9	Matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	1.3976
Hs.153837	MNDA	Myeloid cell nuclear differentiation antigen	1.044
Hs.169378	MPDZ	Multiple PDZ domain protein	1.0275
Hs.534347	MPL	MPL=thrombopoietin receptor	1.0093
Hs.515879	MRPL33	Mitochondrial ribosomal protein L33	1.4609
Hs.124165	MRPS30	Mitochondrial ribosomal protein S30	1.1007
Hs.440394	MSH2	MSH2=DNA mismatch repair mutS homologue	1.0024
Hs.444247	MST4	Mst3 and SOK1-related kinase	1.73
Hs.475654	MSTP9	macrophage stimulating, pseudogene 9	1.2891
Hs.195799	MTP	Microsomal triglyceride transfer protein (large polypeptide, 88kDa)	1.0525
Hs.481551	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1.2228
Hs.370040	MYCBP	C-myc binding protein	1.3346
Hs.513817	MYCPBP	C-myc promoter binding protein	1.1011
Hs.35937	MYF6	Myogenic factor 6 (herculin)	1.1214
Hs.408451	MYO1F	Myosin IF	1.5934
Hs.155956	NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	1.3339
Hs.2	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	1.3162
Hs.491172	NBEA	Neurobeachin	1.356
Hs.74823	NDUFA1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1 (7.5kD, MWFE)	1.1774
Hs.50098	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	1.5175
Hs.183435	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	1.154
Hs.518424	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	1.0834
Hs.528222	NDUFS4	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)	1.1894
Hs.472185	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	1.7617
Hs.408257	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	1.3497
Hs.458657	NEF3	Neurofilament 3 (150kDa medium)	1.784
Hs.481181	NEK1	NIMA (never in mitosis gene a)-related kinase 1	1.1368
Hs.388613	NEO1	Neogenin homolog 1 (chicken)	1.0636
Hs.322431	NEUROD2	Neurogenic differentiation 2	1.6579
Hs.371987	NFAT5	Nuclear factor of activated T-cells 5, tonicity-responsive	1.0209
Hs.404741	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	1.4774
Hs.84928	NFYB	Nuclear transcription factor Y, beta	1.3006
Hs.350702	NIFUN	NifU-like N-terminal domain containing	1.6128
Hs.54473	NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	1.448
Hs.132370	NOX1	NADPH oxidase 1	1.2146
Hs.3281	NPTX2	Neuronal pentraxin II	1.5958
Hs.282735	NR1H4	Nuclear receptor subfamily 1, group H, member 4	1.3601
Hs.361748	NR2F1	COUP transcription factor=v-erbA related ear-3=nuclear receptor subfamily 2, group F, member 1	1.0755
Hs.347991	NR2F2	Nuclear receptor subfamily 2, group F, member 2	1.5175
Hs.131704	NRP1	Neuropilin 1	1.0351
Hs.128686	NUCB2	Nucleobindin 2	1.1784
Hs.475103	NUP50	Nucleoporin 50kDa	1.3992
Hs.171952	OCLN	Occludin=tight junction protein	1.0691
Hs.488181	OGDH	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	1.4093
Hs.488181	OGDH	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	1.034
Hs.363054	OR7E156P	Olfactory receptor, family 7, subfamily E, member 156 pseudogene	1.2705
Hs.123464	P2RY5	purinergic receptor (family A group 5)=RB intorn-encoded putative G-protein coupled receptor	1.0718
Hs.76768	P4HA1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 1	1.1365
Hs.325404	PAH	Phenylalanine hydroxylase	1.7143
Hs.482038	PAIP1	Poly(A) binding protein interacting protein 1	1.2758
Hs.259461	PALM2-AKAP2	PALM2-AKAP2 protein	1.2381
Hs.388400	PANK3	Pantothenate kinase 3	1.2549
Hs.546847	PAR1	Prader-Willi/Angelman region-1	1.123
Hs.546847	PAR1	Prader-Willi/Angelman region-1	1.2282
Hs.412792	PART1	Prostate androgen-regulated transcript 1	1.0414
Hs.489615	PBEF1	Pre-B-cell colony enhancing factor 1	2.2004
Hs.229641	PC4	Activated RNA polymerase II transcription cofactor 4	1.0574
Hs.203475	PCAF	P/CAF=p300/CBP-associated factor	1.0908
Hs.78996	PCNA	PCNA=proliferating cell nuclear antigen	1.0962
Hs.315186	PCSK2	Proprotein convertase subtilisin/kexin type 2	1.0862
Hs.478150	PDCD10	Programmed cell death 10	1.6676
Hs.527119	PDE7A	Phosphodiesterase 7A	1.2415
Hs.444751	PDZK1	PDZ domain containing 1	1.7529
Hs.201776	PEG3	Paternally expressed 3	1.4495
Hs.58756	PER2	Period homolog 2 (Drosophila)	1.2499
Hs.507680	PFAAP5	Phosphonoformate immuno-associated protein 5	1.002
Hs.91161	PFDN4	Prefoldin 4	1.2332
Hs.91747	PFN2	profilin 2	1.2541
Hs.78771	PGK1	Phosphoglycerate kinase 1	1.1882
Hs.356501	PHF6	PHD finger protein 6	1.289
Hs.514846	PIAS2	Protein inhibitor of activated STAT, 2	1.7286
Hs.293653	PIGK	Phosphatidylinositol glycan, class K	1.2821
Hs.239818	PIK3CB	Phosphoinositide-3-kinase, catalytic, beta polypeptide	1.0595
Hs.170510	PIK3R3	Phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	1.9288
Hs.546316	PIP5K1A	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	1.3649
Hs.534360	PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	1.0818
Hs.93304	PLA2G7	Phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	1.1433
Hs.27182	PLAA	Phospholipase A2-activating protein	1.0863
Hs.202010	PLCL2	Phospholipase C-like 2	1.2595
Hs.7037	PLDN	Pallidin homolog (mouse)	1.2891
Hs.477866	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	1.2351
Hs.496622	PLS3	Plastin 3 (T isoform)	1.2261
Hs.96	PMAIP1	APR=immediate-early-response gene=ATL-derived PMA-responsive peptide	1.2867
Hs.111749	PMS1	hPMS1=DNA mismatch repair protein=mutL homologue	1.0514
Hs.79402	POLR2C	Polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	1.8304
Hs.440967	PON3	Paraoxonase 3	1.2019
Hs.2229	POU3F4	POU domain, class 3, transcription factor 4	1.7863
Hs.331420	PPAT	Phosphoribosyl pyrophosphate amidotransferase	1.0404
Hs.551568	PPIL4	Peptidylprolyl isomerase (cyclophilin)-like 4	1.3681
Hs.468018	PPP1CB	Protein phosphatase 1, catalytic subunit, beta isoform	1.0916
Hs.523302	PRDX3	Peroxiredoxin 3	1.3196
Hs.1908	PRG1	Proteoglycan 1, secretory granule	1.7124
Hs.549162	PRKAG2	Protein kinase, AMP-activated, gamma 2 non-catalytic subunit	1.5094
Hs.280342	PRKAR1A	Protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	1.3874
Hs.433068	PRKAR2B	Protein kinase, cAMP-dependent, regulatory, type II, beta	1.3592
Hs.472010	PRNP	Prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	1.3017
Hs.161181	PRPF18	PRP18 pre-mRNA processing factor 18 homolog (yeast)	1.8504
Hs.11776	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (yeast)	1.331
Hs.159014	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)	1.4043
Hs.190341	PRRG1	Proline rich Gla (G-carboxyglutamic acid) 1	1.1252
Hs.546279	PSG2	Pregnancy specific beta-1-glycoprotein 2	2.3293
Hs.493516	PSIP1	PC4 and SFRS1 interacting protein 1	1.572
Hs.368121	PSMA3	Proteasome (prosome, macropain) subunit, alpha type, 3	1.2439
Hs.491779	PSMC6	Proteasome (prosome, macropain) 26S subunit, ATPase, 6	1.2671
Hs.522752	PSMD10	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	1.0249
Hs.444321	PTER	Phosphotriesterase related	1.1675
Hs.2090	PTGER2	Prostaglandin E receptor 2 (subtype EP2) 53kD	1.2708
Hs.445000	PTGER3	Prostaglandin E receptor 3 (subtype EP3)	2.2909
Hs.61812	PTPN12	Protein tyrosine phosphatase, non-receptor type 12	1.2687
Hs.192039	PTPRC	Protein tyrosine phosphatase, receptor type, C	1.8468
Hs.503860	PTS	6-pyruvoyltetrahydropterin synthase	1.5033
Hs.480143	PZP	Pregnancy-zone protein	1.5894
Hs.406799	RAB18	RAB18, member RAS oncogene family	1.4885
Hs.310645	RAB1A	RAB1A, member RAS oncogene family	1.4068
Hs.369017	RAB2	RAB2, member RAS oncogene family	1.654
Hs.485635	RAB23	RAB23, member RAS oncogene family	1.4413
Hs.73957	RAB5A	RAB-5A=GTP-binding protein	1.0318
Hs.78948	RABGGTB	Rab geranylgeranyltransferase, beta subunit	1.1724
Hs.159087	RAD23B	RAD23 (S. cerevisiae) homolog B=XPC p58 subunit	1.1869
Hs.412587	RAD51C	RAD51C=Recombination/repair Rad51-related protein	1.1893
Hs.865	RAP1A	Krev-1=RAP-1A	1.0137
Hs.174768	RAPGEF5	Rap guanine nucleotide exchange factor (GEF) 5	1.0918
Hs.436538	RARB	RAR-beta=retinoic acid receptor, beta	1.0518
Hs.401509	RBM10	RNA binding motif protein 10	1.4458
Hs.194121	RCL1	RNA terminal phosphate cyclase-like 1	1.1322
Hs.79088	RCN2	Reticulocalbin 2, EF-hand calcium binding domain	1.654
Hs.388918	RECK	Reversion-inducing-cysteine-rich protein with kazal motifs	1.3847
Hs.235069	RECQL	RecQ protein-like (DNA helicase Q1-like)	1.1291
Hs.115474	RFC3	Replication factor C (activator 1) 3, 38kDa	1.1524
Hs.166891	RFX5	Regulatory factor X, 5 (influences HLA class II expression)	1.2309
Hs.166313	RGS17	Regulator of G-protein signalling 17	1.1671
Hs.78944	RGS2	Regulator of G-protein signalling 2, 24kDa	1.0337
Hs.120950	RHAG	Rhesus blood group-associated glycoprotein	1.0009
Hs.368996	RLN1	Relaxin 1	1.4447
Hs.283749	RNASE4	Angiogenin, ribonuclease, RNase A family, 5	1.1906
Hs.283749	RNASE4	Angiogenin, ribonuclease, RNase A family, 5	1.0693
Hs.469199	RNF103	Ring finger protein 103	1.7668
Hs.12333	RNF13	Ring finger protein 13	1.1142
Hs.508993	RNF14	Ring finger protein 14	1.0498
Hs.292804	RNF34	Ring finger protein 34	1.6797
Hs.136885	RNF6	Ring finger protein (C3H2C3 type) 6	1.8271
Hs.127219	RNGTT	RNA guanylyltransferase and 5-phosphatase	1.4837
Hs.75914	RNP24	Coated vesicle membrane protein	1.5346
Hs.13640	ROBO1	Roundabout, axon guidance receptor, homolog 1 (Drosophila)	1.1766
Hs.524513	RODH	Hydroxysteroid (17-beta) dehydrogenase 6	1.0329
Hs.445242	ROR1	Ror1=receptor tyrosine kinase	1.1536
Hs.469264	RPIA	Ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	1.1406
Hs.406300	RPL23	Ribosomal protein L23	1.0113
Hs.119598	RPL3	Ribosomal protein L3	1.4917
Hs.432485	RPL36A	Ribosomal protein L36a	1.9064
Hs.444749	RPL36AL	Ribosomal protein L36a-like	1.3513
Hs.446588	RPS13	Ribosomal protein S13	1.5475
Hs.372960	RPS21	ribosomal protein S21	1.1443
Hs.386384	RPS23	Ribosomal protein S23	1.3359
Hs.156367	RPS29	Ribosomal protein S29	1.4606
Hs.156367	RPS29	Ribosomal protein S29	1.596
Hs.148767	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	1.1748
Hs.512592	RRM2B	p53R2=p53-inducible nuclear ribonucleotide reductase=componant of DNA damage checkpoint pathway	2.3288
Hs.73088	RRP22	RAS-related on chromosome 22	1.044
Hs.524809	RSN	Restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	1.1018
Hs.368431	RUNX1T1	Runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	1.5755
Hs.54649	RY1	Putative nucleic acid binding protein RY-1	1.2304
Hs.332053	SAA1	Serum amyloid A1	1.3698
Hs.159492	SACS	Spastic ataxia of Charlevoix-Saguenay (sacsin)	1.5523
Hs.413835	SAP30	Sin3-associated polypeptide, 30kDa	1.6366
Hs.427306	SBDSP	Shwachman-Bodian-Diamond syndrome pseudogene	1.5967
Hs.516726	SCG2	Secretogranin II (chromogranin C)	1.1103
Hs.200804	SDCBP	Syndecan binding protein (syntenin)	1.5451
Hs.371372	SDCCAG10	Serologically defined colon cancer antigen 10	1.154
Hs.365863	SEC10L1	SEC10-like 1 (S. cerevisiae)	1.2215
Hs.435004	SEC23IP	SEC23 interacting protein	1.0425
Hs.488282	SEC61G	Sec61 gamma subunit	1.1047
Hs.73800	SELP	Selectin P (granule membrane protein 140kDa, antigen CD62)	1.4164
Hs.369052	SELT	Selenoprotein T	1.3573
Hs.82222	SEMA3B	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	1.2813
Hs.269109	SEMA3C	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1.0279
Hs.362728	15-Sep	15 kDa selenoprotein	1.149
Hs.514913	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	1.1606
Hs.478153	SERPINI1	Serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	1.3312
Hs.533122	SFRS10	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	1.1248
Hs.6891	SFRS6	Splicing factor, arginine/serine-rich 6	1.1266
Hs.387207	SGCD	Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	1.4448
Hs.37167	SGCG	Sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	1.2479
Hs.108029	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	1.8473
Hs.104315	SHOC2	Soc-2 suppressor of clear homolog (C. elegans)	1.9316
Hs.505545	SLC11A2	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	1.084
Hs.518089	SLC15A2	Solute carrier family 15 (H+/peptide transporter), member 2	1.0821
Hs.436385	SLC22A2	Solute carrier family 22 (organic cation transporter), member 2	1.5669
Hs.173092	SLC24A1	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	1.2224
Hs.221847	SLC38A2	Solute carrier family 38, member 2	1.0584
Hs.175783	SLC39A2	Solute carrier family 39 (zinc transporter), member 2	1.0057
Hs.5462	SLC4A4	Solute carrier family 4, sodium bicarbonate cotransporter, member 4	1.2312
Hs.250072	SLC4A7	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	1.8495
Hs.351571	SLC7A6	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	1.4349
Hs.75862	SMAD4	SMAD, mothers against DPP homolog 4 (Drosophila)	1.2982
Hs.546339	SMAP	Small acidic protein	1.0865
Hs.152292	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	1.0656
Hs.298990	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	1.0425
Hs.486357	SMPDL3A	Sphingomyelin phosphodiesterase, acid-like 3A	1.8422
Hs.529887	SMS	Spermine synthase	1.1726
Hs.432755	SNAG1	Sorting nexin associated golgi protein 1	1.0731
Hs.108002	SNAP29	Synaptosomal-associated protein, 29kDa	1.0443
Hs.546299	SNAPC3	Small nuclear RNA activating complex, polypeptide 3, 50kDa	1.0098
Hs.271771	SNCA	Synuclein, alpha (non A4 component of amyloid precursor)	1.0673
Hs.280378	SNRPB2	Small nuclear ribonucleoprotein polypeptide B	1.0228
Hs.334612	SNRPE	Small nuclear ribonucleoprotein polypeptide E	1.8888
Hs.105465	SNRPF	Small nuclear ribonucleoprotein polypeptide F	1.1165
Hs.507243	SNX4	Sorting nexin 4	1.4065
Hs.384944	SOD2	Superoxide dismutase 2, mitochondrial	1.2825
Hs.529462	SOX30	SRY (sex determining region Y)-box 30	1.1241
Hs.505007	SOX5	SRY (sex determining region Y)-box 5	2.0367
Hs.90436	SPAG7	Sperm associated antigen 7	1.0162
Hs.159737	SPO11	SPO11 meiotic protein covalently bound to DSB-like (S. cerevisiae)	1.1134
Hs.18676	SPRY2	Sprouty homolog 2 (Drosophila)	1.1141
Hs.503178	SPTBN1	Spectrin, beta, non-erythrocytic 1	1.2467
Hs.90458	SPTLC1	Serine palmitoyltransferase, long chain base subunit 1	1.0637
Hs.483090	SRP19	Signal recognition particle 19kDa	1.0283
Hs.221688	SRPK2	SRPK2=SFRS protein kinase 2	1.0208
Hs.546301	SSB	Sjogren syndrome antigen B (autoantigen La)	1.1204
Hs.412586	STAG1	Stromal antigen 1	1.4516
Hs.17200	STAM2	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	1.4099
Hs.21486	STAT1	STAT1=IFN alpha/beta-responsive transcription factor ISGF3 beta subunits (p91/p84)	1.1997
Hs.80642	STAT4	STAT4	1.6006
Hs.370187	STAU	Staufen, RNA binding protein (Drosophila)	1.1676
Hs.472838	STK4	Serine/threonine kinase 4	1.1242
Hs.521651	STMN2	Stathmin-like 2	1.1329
Hs.431109	STX8	Syntaxin 8	1.0588
Hs.546323	SUCLA2	Succinate-CoA ligase, ADP-forming, beta subunit	1.0467
Hs.479898	SULT1E1	Sulfotransferase family 1E, estrogen-preferring, member 1	1.0858
Hs.24167	SYBL1	Synaptobrevin-like 1	1.1037
Hs.192182	SYK	syk=protein-tyrosine kinase	1.1612
Hs.434494	SYNJ2	Synaptojanin 2	1.9436
Hs.88372	TACR2	Tachykinin receptor 2	2.069
Hs.386390	TADA3L	Transcriptional adaptor 3 (NGG1 homolog, yeast)-like	1.6864
Hs.128275	TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	1.1691
Hs.96103	TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	1.1256
Hs.270621	TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	1.0276
Hs.516490	TANK	TRAF family member-associated NFKB activator	1.6591
Hs.481860	TARS	Threonyl-tRNA synthetase	1.0746
Hs.34576	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	1.0362
Hs.491745	TCEA1	Transcription elongation factor A (SII), 1	1.1831
Hs.30696	TCFL5	Transcription factor-like 5 (basic helix-loop-helix)	2.0627
Hs.89640	TEK	TEK tyrosine kinase, endothelial (venous malformations, multiple cutaneous and mucosal)	1.3957
Hs.442707	TERF1	Telomeric repeat binding factor (NIMA-interacting) 1	1.5443
Hs.156471	TFCP2L1	Transcription factor CP2-like 1	1.2445
Hs.125962	TFEC	Transcription factor EC	2.6115
Hs.516578	TFPI	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	1.7332
Hs.12393	TGDS	TDP-glucose 4,6-dehydratase	1.0829
Hs.170009	TGFA	Transforming growth factor, alpha	1.1459
Hs.282678	THRAP1	Thyroid hormone receptor associated protein 1	1.4206
Hs.492612	THRAP6	Thyroid hormone receptor associated protein 6	1.0019
Hs.82173	TIEG	TGF-beta inducible early protein=TIEG=EGR alpha=early growth response gene alpha=putative zinc finger transcription factor	1.1958
Hs.355819	TIMM50	Translocase of inner mitochondrial membrane 50 homolog (yeast)	1.0097
Hs.114408	TLR5	Toll-like receptor 5	1.0755
Hs.336224	TMEFF1	Transmembrane protein with EGF-like and two follistatin-like domains 1	1.6722
Hs.386215	TMEM23	Transmembrane protein 23	1.1159
Hs.267632	TMF1	TATA element modulatory factor 1	1.0365
Hs.522584	TMSB4X	Thymosin, beta 4, X-linked	1.172
Hs.523789	TncRNA	Trophoblast-derived noncoding RNA	1.1008
Hs.271955	TNFAIP8	Tumor necrosis factor, alpha-induced protein 8	1.1828
Hs.82359	TNFRSF6	CD95=Fas	1.4981
Hs.329327	TNKS2	Tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	1.2244
Hs.156369	TNN	Tenascin N	1.5555
Hs.26047	TNRC4	Trinucleotide repeat containing 4	1.084
Hs.474978	TOB2	Transducer of ERBB2, 2	1.0939
Hs.368527	TOLLIP	Toll interacting protein	1.3415
Hs.112318	TOMM7	Translocase of outer mitochondrial membrane 7 homolog (yeast)	1.2446
Hs.156346	TOP2A	Topoisomerase (DNA) II alpha 170kDa	1.0975
Hs.475733	TOP2B	Topoisomerase (DNA) II beta 180kDa	1.0361
Hs.137569	TP73L	Tumor protein p73-like	2.2133
Hs.510528	TRAF3	TNF receptor-associated factor 3	1.0492
Hs.501778	TRIM22	Tripartite motif-containing 22	1.2473
Hs.26837	TRIM33	Tripartite motif-containing 33	1.299
Hs.130031	TRIO	Triple functional domain (PTPRF interacting)	1.5503
Hs.436187	TRIP13	Thyroid hormone receptor interactor 13	1.1258
Hs.150981	TRPC3	Transient receptor potential cation channel, subfamily C, member 3	1.3262
Hs.253594	TRPS1	Trichorhinophalangeal syndrome I	1.1272
Hs.284141	TSPYL4	TSPY-like 4	1.185
Hs.403010	TTRAP	TRAF and TNF receptor associated protein	1.6459
Hs.224152	TUBGCP3	Tubulin, gamma complex associated protein 3	1.3042
Hs.134079	TXNDC3	Thioredoxin domain containing 3 (spermatozoa)	1.28
Hs.42644	TXNL2	Thioredoxin-like 2	1.0228
Hs.440661	UBA2	SUMO-1 activating enzyme subunit 2=ARX=anthracycline-resistance gene=HRIHFB2115	1.164
Hs.490551	UBAP2L	Ubiquitin associated protein 2-like	1.2051
Hs.379466	UBE2A	Ubiquitin-conjugating enzyme E2A (RAD6 homolog)	1.535
Hs.385986	UBE2B	Ubiquitin-conjugating enzyme E2B (RAD6 homolog)	1.5808
Hs.470804	UBE2E3	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	1.0256
Hs.75275	UBE4A	Ubiquitination factor E4A (UFD2 homolog, yeast)	1.1825
Hs.145575	UBL3	Ubiquitin-like 3	1.0936
Hs.162241	UCHL3	Ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	1.481
Hs.28309	UGDH	UDP-glucose dehydrogenase	1.1961
Hs.516217	UGP2	UDP-glucose pyrophosphorylase 2	1.0439
Hs.164470	UMOD	Uromodulin (uromucoid, Tamm-Horsfall glycoprotein)	1.0762
Hs.410455	UNC119	Unc-119 homolog (C. elegans)	1.0672
Hs.271580	UPK1B	Uroplakin 1B	1.6095
Hs.131255	UQCRB	Ubiquinol cytochrome C reductase complex 14 KD protein	1.5079
Hs.434951	USP15	Ubiquitin specific protease 15	1.3589
Hs.99819	USP16	Ubiquitin specific protease 16	1.2443
Hs.255596	USP19	Ubiquitin specific protease 19	1.1413
Hs.473370	USP25	Ubiquitin specific protease 25	1.0946
Hs.448851	USP6	ubiquitin specific protease 6 (Tre-2 oncogene)=highly similar to TL132	1.097
Hs.131514	UST	Uronyl-2-sulfotransferase	1.4925
Hs.458598	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	1.2926
Hs.436803	VBP1	Von Hippel-Lindau binding protein 1	1.1486
Hs.519320	VDAC1	Voltage-dependent anion channel 1	1.2605
Hs.355927	VDAC2	Voltage-dependent anion channel 2	1.7792
Hs.524368	VDR	Vitamin D (1,25- dihydroxyvitamin D3) receptor	1.1181
Hs.499925	VPS26	Vacuolar protein sorting 26 (yeast)	1.1655
Hs.480356	VPS52	Vacuolar protein sorting 52 (yeast)	1.1157
Hs.422662	VRK1	Vaccinia related kinase 1	1.0298
Hs.516114	WBP1	WW domain binding protein 1	2.3895
Hs.411300	WBP4	WW domain binding protein 4 (formin binding protein 21)	1.0665
Hs.98510	WDR44	WD repeat domain 44	1.4839
Hs.198308	WRB	Tryptophan rich basic protein	1.2127
Hs.246769	XLKD1	Extracellular link domain containing 1	1.6221
Hs.288867	XPA	Xeroderma pigmentosum, complementation group A	1.0695
Hs.227656	XPR1	Xenotropic and polytropic retrovirus receptor	1.2172
Hs.150930	XRCC4	XRCC4=double strand DNA break repair protein=Stimulates DNA ligase IV	1.5106
Hs.4029	YEATS4	YEATS domain containing 4	1.3726
Hs.406096	ZA20D2	Zinc finger, A20 domain containing 2	1.2451
Hs.465623	ZBTB7	Zinc finger and BTB domain containing 7	1.1106
Hs.421238	ZNF124	Zinc finger protein 124 (HZF-16)	1.1268
Hs.373648	ZNF137	Zinc finger protein 137 (clone pHZ-30)	1.0668
Hs.181552	ZNF140	Zinc finger protein 140 (clone pHZ-39)	1.3614
Hs.380334	ZNF148	Zinc finger protein 148 (pHZ-52)	1.0795
Hs.50123	ZNF189	Zinc finger protein 189	1.7887
Hs.376810	ZNF23	Zinc finger protein 19 (KOX 12)	1.1404
Hs.298089	ZNF235	Zinc finger protein 235	1.0541
Hs.515634	ZNF264	Zinc finger protein 264	1.0891
Hs.194718	ZNF265	Zinc finger protein 265	1.875
Hs.522885	ZNF32	Zinc finger protein 32 (KOX 30)	1.0671
Hs.3053	ZNF482	Zinc finger protein 482	1.4344
Hs.434401	ZNF638	Zinc finger protein 638	1.2026
Hs.388841	ZPBP	Zona pellucida binding protein	1.2251
Hs.431417	AANAT	Arylalkylamine N-acetyltransferase	-1.0812
Hs.361323	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	-1.0812
Hs.166160	ACAA1	Acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	-1.3648
Hs.507076	ACADS	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	-1.1513
