Probe Set Id	Gene Title	Gene Symbol	Cluster
219179_at	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	DACT1	A
208851_s_at	Thy-1 cell surface antigen	THY1	A
219054_at	chromosome 5 open reading frame 23	C5orf23	A
200700_s_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	A
56256_at	SID1 transmembrane family, member 2	SIDT2	A
210776_x_at	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	TCF3	A
205251_at	period homolog 2 (Drosophila)	PER2	A
202434_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	A
211983_x_at	actin, gamma 1	ACTG1	A
201560_at	chloride intracellular channel 4	CLIC4	A
202375_at	SEC24 related gene family, member D (S. cerevisiae)	SEC24D	A
205382_s_at	complement factor D (adipsin)	CFD	A
208127_s_at	suppressor of cytokine signaling 5	SOCS5	A
204517_at	peptidylprolyl isomerase C (cyclophilin C)	PPIC	A
218146_at	glycosyltransferase 8 domain containing 1	GLT8D1	A
213010_at	protein kinase C, delta binding protein	PRKCDBP	A
201865_x_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	A
216331_at	integrin, alpha 7	ITGA7	A
200782_at	annexin A5	ANXA5	A
201540_at	four and a half LIM domains 1	FHL1	A
216264_s_at	laminin, beta 2 (laminin S)	LAMB2	A
219561_at	coatomer protein complex, subunit zeta 2	COPZ2	A
207173_x_at	cadherin 11, type 2, OB-cadherin (osteoblast)	CDH11	A
212192_at	potassium channel tetramerisation domain containing 12	KCTD12	A
205407_at	reversion-inducing-cysteine-rich protein with kazal motifs	RECK	A
209817_at	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	PPP3CB	A
201617_x_at	caldesmon 1	CALD1	A
218358_at	cysteine-rich with EGF-like domains 2	CRELD2	A
202436_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	A
212412_at	PDZ and LIM domain 5	PDLIM5	A
204051_s_at	secreted frizzled-related protein 4	SFRP4	A
202437_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	A
219789_at	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	NPR3	A
217904_s_at	beta-site APP-cleaving enzyme 1	BACE1	A
217749_at	coatomer protein complex, subunit gamma	COPG	A
201152_s_at	muscleblind-like (Drosophila)	MBNL1	A
202369_s_at	translocation associated membrane protein 2	TRAM2	A
218162_at	olfactomedin-like 3	OLFML3	A
212408_at	torsin A interacting protein 1	TOR1AIP1	A
203865_s_at	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	ADARB1	A
200608_s_at	RAD21 homolog	RAD21	A
201858_s_at	proteoglycan 1, secretory granule	PRG1	A
203088_at	fibulin 5	FBLN5	A
201968_s_at	phosphoglucomutase 1	PGM1	A
200770_s_at	laminin, gamma 1 (formerly LAMB2)	LAMC1	A
201310_s_at	chromosome 5 open reading frame 13	C5orf13	A
205168_at	discoidin domain receptor family, member 2	DDR2	A
209210_s_at	pleckstrin homology domain containing, family C (with FERM domain) member 1	PLEKHC1	A
213313_at	RAB GTPase activating protein 1	RABGAP1	A
200968_s_at	peptidylprolyl isomerase B (cyclophilin B)	PPIB	A
213236_at	SAM and SH3 domain containing 1	SASH1	A
203445_s_at	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	CTDSP2	A
201859_at	proteoglycan 1, secretory granule	PRG1	A
201028_s_at	CD99 molecule	CD99	A
209897_s_at	slit homolog 2 (Drosophila)	SLIT2	A
201029_s_at	CD99 molecule	CD99	A
206050_s_at	ribonuclease/angiogenin inhibitor 1	RNH1	A
200665_s_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	A
212188_at	potassium channel tetramerisation domain containing 12	KCTD12	A
203571_s_at	chromosome 10 open reading frame 116	C10orf116	A
217890_s_at	parvin, alpha	PARVA	A
201866_s_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	A
204948_s_at	follistatin	FST	A
206101_at	extracellular matrix protein 2, female organ and adipocyte specific	ECM2	A
205324_s_at	FtsJ homolog 1 (E. coli)	FTSJ1	A
204640_s_at	speckle-type POZ protein	SPOP	A
201853_s_at	cell division cycle 25B	CDC25B	A
218684_at	leucine rich repeat containing 8 family, member D	LRRC8D	A
212807_s_at	sortilin 1	SORT1	A
201723_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	GALNT1	A
202255_s_at	signal-induced proliferation-associated 1 like 1	SIPA1L1	A
209392_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	A
221766_s_at	family with sequence similarity 46, member A	FAM46A	A
212251_at	metadherin	MTDH	A
210588_x_at	heterogeneous nuclear ribonucleoprotein H3 (2H9)	HNRPH3	A
219778_at	zinc finger protein, multitype 2	ZFPM2	A
204457_s_at	growth arrest-specific 1	GAS1	A
211954_s_at	RAN binding protein 5	RANBP5	A
218669_at	RAP2C, member of RAS oncogene family	RAP2C	A
202729_s_at	latent transforming growth factor beta binding protein 1	LTBP1	A
205679_x_at	aggrecan 1	AGC1	A
220955_x_at	RAB23, member RAS oncogene family	RAB23	A
213488_at	sushi, nidogen and EGF-like domains 1	SNED1	A
209780_at	putative homeodomain transcription factor 2	PHTF2	A
203243_s_at	PDZ and LIM domain 5	PDLIM5	A
201916_s_at	SEC63-like (S. cerevisiae)	SEC63	A
209147_s_at	phosphatidic acid phosphatase type 2A	PPAP2A	A
214265_at	integrin, alpha 8	ITGA8	A
203769_s_at	steroid sulfatase (microsomal), arylsulfatase C, isozyme S	STS	A
209259_s_at	structural maintenance of chromosomes 3	SMC3	A
201669_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	A
213001_at	angiopoietin-like 2	ANGPTL2	A
203810_at	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	A
210299_s_at	four and a half LIM domains 1	FHL1	A
212761_at	transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2	A
202435_s_at	cytochrome P450, family 1, subfamily B, polypeptide 1	CYP1B1	A
207069_s_at	SMAD, mothers against DPP homolog 6 (Drosophila)	SMAD6	A
221675_s_at	choline phosphotransferase 1	CHPT1	B
218024_at	brain protein 44-like	BRP44L	B
202582_s_at	RAN binding protein 9	RANBP9	B
220892_s_at	phosphoserine aminotransferase 1	PSAT1	B
201893_x_at	decorin	DCN	B
211813_x_at	decorin	DCN	B
211896_s_at	decorin	DCN	B
209335_at	decorin	DCN	B
202497_x_at	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	B
202967_at	glutathione S-transferase A4	GSTA4	B
202499_s_at	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	B
220260_at	TBC1 domain family, member 19	TBC1D19	B
204284_at	protein phosphatase 1, regulatory (inhibitor) subunit 3C	PPP1R3C	B
209656_s_at	transmembrane protein 47	TMEM47	B
216321_s_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	B
206320_s_at	SMAD, mothers against DPP homolog 9 (Drosophila)	SMAD9	B
212256_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	GALNT10	B
205158_at	ribonuclease, RNase A family, 4	RNASE4	B
203304_at	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI	B
217047_s_at	family with sequence similarity 13, member A1	FAM13A1	B
205872_x_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	B
200945_s_at	SEC31-like 1	SEC31L1	B
211671_s_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	B
211355_x_at	leptin receptor	LEPR	B
208672_s_at	splicing factor, arginine/serine-rich 3	SFRS3	B
202145_at	lymphocyte antigen 6 complex, locus E	LY6E	B
204578_at	Histidine acid phosphatase domain containing 2A	HISPPD2A	B
204298_s_at	lysyl oxidase	LOX	B
215446_s_at	lysyl oxidase	LOX	B
204944_at	protein tyrosine phosphatase, receptor type, G	PTPRG	B
205351_at	gamma-glutamyl carboxylase	GGCX	B
209186_at	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	ATP2A2	B
213069_at	HEG homolog 1 (zebrafish)	HEG1	B
209305_s_at	growth arrest and DNA-damage-inducible, beta	GADD45B	B
207590_s_at	centromere protein I	CENPI	B
213105_s_at	hypothetical protein MGC24381	MGC24381	B
201753_s_at	adducin 3 (gamma)	ADD3	B
204379_s_at	fibroblast growth factor receptor 3	FGFR3	B
205882_x_at	adducin 3 (gamma)	ADD3	B
202077_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NDUFAB1	B
212522_at	phosphodiesterase 8A	PDE8A	B
201752_s_at	adducin 3 (gamma)	ADD3	B
208978_at	cysteine-rich protein 2	CRIP2	B
209655_s_at	transmembrane protein 47	TMEM47	B
201034_at	adducin 3 (gamma)	ADD3	B
213640_s_at	lysyl oxidase	LOX	B
207574_s_at	growth arrest and DNA-damage-inducible, beta	GADD45B	B
205677_s_at	deleted in lymphocytic leukemia, 1	DLEU1	B
212653_s_at	EH domain binding protein 1	EHBP1	B
212067_s_at	complement component 1, r subcomponent	C1R	B
201565_s_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	B
201061_s_at	stomatin	STOM	B
212181_s_at	nudix (nucleoside diphosphate linked moiety X)-type motif 4	NUDT4	B
210519_s_at	NAD(P)H dehydrogenase, quinone 1	NQO1	B
201580_s_at	thioredoxin domain containing 13	TXNDC13	B
203800_s_at	mitochondrial ribosomal protein S14	MRPS14	B
206174_s_at	protein phosphatase 6, catalytic subunit	PPP6C	B
222236_s_at	development and differentiation enhancing factor-like 1	DDEFL1	B
201828_x_at	CAAX box 1	CXX1	B
211047_x_at	adaptor-related protein complex 2, sigma 1 subunit	AP2S1	B
208074_s_at	adaptor-related protein complex 2, sigma 1 subunit	AP2S1	B
201011_at	ribophorin I	RPN1	B
201885_s_at	cytochrome b5 reductase 3	CYB5R3	B
209304_x_at	growth arrest and DNA-damage-inducible, beta	GADD45B	B
214446_at	elongation factor, RNA polymerase II, 2	ELL2	B
216236_s_at	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	B
213587_s_at	ATPase, H+ transporting V0 subunit E2-like (rat)	ATP6V0E2L	B
202765_s_at	fibrillin 1	FBN1	B
214605_x_at	G protein-coupled receptor 1	GPR1	B
204250_s_at	centrosomal protein 164kDa	CEP164	B
221579_s_at	nudix (nucleoside diphosphate linked moiety X)-type motif 3	NUDT3	B
218725_at	solute carrier family 25 (mitochondrial carrier: glutamate), member 22	SLC25A22	C
204737_s_at	myosin, heavy polypeptide 6, cardiac muscle, alpha	MYH6	C
212043_at	trans-golgi network protein 2	TGOLN2	C
200786_at	proteasome (prosome, macropain) subunit, beta type, 7	PSMB7	C
204234_s_at	zinc finger protein 195	ZNF195	C
211228_s_at	RAD17 homolog (S. pombe)	RAD17	C
212785_s_at	La ribonucleoprotein domain family, member 7	LARP7	C
206899_at	neurotensin receptor 2	NTSR2	C
210165_at	deoxyribonuclease I	DNASE1	C
204998_s_at	activating transcription factor 5	ATF5	C
202075_s_at	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	ITGAV	C
221417_x_at	endothelial differentiation, sphingolipid G-protein-coupled receptor, 8	EDG8	C
217897_at	FXYD domain containing ion transport regulator 6	FXYD6	C
203889_at	secretogranin V (7B2 protein)	SCG5	C
208836_at	ATPase, Na+/K+ transporting, beta 3 polypeptide	ATP1B3	C
201112_s_at	CSE1 chromosome segregation 1-like (yeast)	CSE1L	C
212119_at	ras homolog gene family, member Q	RHOQ	C
208818_s_at	catechol-O-methyltransferase	COMT	C
212798_s_at	ankyrin repeat and MYND domain containing 2	ANKMY2	C
215034_s_at	transmembrane 4 L six family member 1	TM4SF1	C
211969_at	heat shock protein 90kDa alpha (cytosolic), class A member 1	HSP90AA1	C
208712_at	cyclin D1	CCND1	C
208711_s_at	cyclin D1	CCND1	C
206969_at	keratin 34	KRT34	C
201341_at	ectodermal-neural cortex (with BTB-like domain)	ENC1	C
200618_at	LIM and SH3 protein 1	LASP1	C
214165_s_at	Heparan sulfate 6-O-sulfotransferase 1	HS6ST1	C
204781_s_at	Fas (TNF receptor superfamily, member 6)	FAS	C
204780_s_at	Fas (TNF receptor superfamily, member 6)	FAS	C
208895_s_at	wingless-type MMTV integration site family, member 8B	WNT8B	C
217966_s_at	chromosome 1 open reading frame 24	C1orf24	C
200920_s_at	B-cell translocation gene 1, anti-proliferative	BTG1	C
218607_s_at	SDA1 domain containing 1	SDAD1	C
219477_s_at	thrombospondin, type I, domain containing 1	THSD1	C
201394_s_at	RNA binding motif protein 5	RBM5	C
213638_at	phosphatase and actin regulator 1	PHACTR1	C
216202_s_at	serine palmitoyltransferase, long chain base subunit 2	SPTLC2	C
221509_at	density-regulated protein	DENR	C
210137_s_at	dCMP deaminase	DCTD	C
218691_s_at	PDZ and LIM domain 4	PDLIM4	C
211564_s_at	PDZ and LIM domain 4	PDLIM4	C
203930_s_at	microtubule-associated protein tau	MAPT	C
214410_at	Transient receptor potential cation channel, subfamily M, member 1	TRPM1	C
212338_at	myosin ID	MYO1D	C
207546_at	ATPase, H+/K+ exchanging, beta polypeptide	ATP4B	C
40420_at	serine/threonine kinase 10	STK10	C
37028_at	protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	C
208614_s_at	filamin B, beta (actin binding protein 278)	FLNB	C
205891_at	adenosine A2b receptor	ADORA2B	C
219557_s_at	nuclear receptor interacting protein 3	NRIP3	C
212662_at	poliovirus receptor	PVR	C
204420_at	FOS-like antigen 1	FOSL1	C
201655_s_at	heparan sulfate proteoglycan 2 (perlecan)	HSPG2	C
215365_at	calcium channel, voltage-dependent, beta 2 subunit	CACNB2	C
205914_s_at	glutamate receptor, ionotropic, N-methyl D-aspartate 1	GRIN1	C
221903_s_at	cylindromatosis (turban tumor syndrome)	CYLD	C
205832_at	carboxypeptidase A4	CPA4	C
211350_s_at	chromosome 6 open reading frame 54	C6orf54	C
209554_at	---	---	C
201485_s_at	reticulocalbin 2, EF-hand calcium binding domain	RCN2	C
204932_at	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	TNFRSF11B	C
209550_at	necdin homolog (mouse)	NDN	C
212235_at	plexin D1	PLXND1	C
202443_x_at	Notch homolog 2 (Drosophila)	NOTCH2	C
203476_at	trophoblast glycoprotein	TPBG	C
218559_s_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	MAFB	C
209101_at	connective tissue growth factor	CTGF	C
203308_x_at	Hermansky-Pudlak syndrome 1	HPS1	C
206584_at	lymphocyte antigen 96	LY96	C
201263_at	threonyl-tRNA synthetase	TARS	C
208726_s_at	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	EIF2S2	C
203327_at	insulin-degrading enzyme	IDE	C
222075_s_at	ornithine decarboxylase antizyme 3	OAZ3	C
218586_at	chromosome 20 open reading frame 20	C20orf20	C
205335_s_at	signal recognition particle 19kDa	SRP19	C
202061_s_at	sel-1 suppressor of lin-12-like (C. elegans)	SEL1L	C
201063_at	reticulocalbin 1, EF-hand calcium binding domain	RCN1	C
210224_at	major histocompatibility complex, class I-related	MR1	C
201426_s_at	vimentin	VIM	C
204955_at	sushi-repeat-containing protein, X-linked	SRPX	C
221050_s_at	GTP binding protein 2	GTPBP2	C
221755_at	EH domain binding protein 1-like 1	EHBP1L1	C
206284_x_at	clathrin, light polypeptide (Lcb)	CLTB	C
218312_s_at	zinc finger protein 447	ZNF447	C
202391_at	brain abundant, membrane attached signal protein 1	BASP1	C
203597_s_at	WW domain binding protein 4 (formin binding protein 21)	WBP4	C
205390_s_at	ankyrin 1, erythrocytic	ANK1	C
201482_at	quiescin Q6	QSCN6	C
200075_s_at	guanylate kinase 1	GUK1	C
219922_s_at	latent transforming growth factor beta binding protein 3	LTBP3	C
200675_at	CD81 molecule	CD81	C
203404_at	armadillo repeat containing, X-linked 2	ARMCX2	C
213455_at	hypothetical protein BC001096	LOC92689	C
202148_s_at	pyrroline-5-carboxylate reductase 1	PYCR1	C
221269_s_at	SH3 domain binding glutamic acid-rich protein like 3	SH3BGRL3	C
200699_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	C
209610_s_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	C
204736_s_at	chondroitin sulfate proteoglycan 4 (melanoma-associated)	CSPG4	C
214637_at	oncostatin M	OSM	C
200698_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	C
202952_s_at	ADAM metallopeptidase domain 12 (meltrin alpha)	ADAM12	C
202177_at	growth arrest-specific 6	GAS6	C
208637_x_at	actinin, alpha 1	ACTN1	C
201058_s_at	myosin, light polypeptide 9, regulatory	MYL9	C
209286_at	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	C
1598_g_at	growth arrest-specific 6	GAS6	C
212811_x_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	C
203741_s_at	adenylate cyclase 7	ADCY7	C
204906_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RPS6KA2	C
209921_at	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	SLC7A11	C
204083_s_at	tropomyosin 2 (beta)	TPM2	C
209287_s_at	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	C
212937_s_at	collagen, type VI, alpha 1	COL6A1	C
204421_s_at	fibroblast growth factor 2 (basic)	FGF2	C
214749_s_at	armadillo repeat containing, X-linked 6	ARMCX6	C
212912_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RPS6KA2	C
217892_s_at	LIM domain and actin binding 1	LIMA1	C
200755_s_at	calumenin	CALU	C
213316_at	KIAA1462	KIAA1462	C
200843_s_at	glutamyl-prolyl-tRNA synthetase	EPRS	C
218656_s_at	lipoma HMGIC fusion partner	LHFP	C
209094_at	dimethylarginine dimethylaminohydrolase 1	DDAH1	C
204017_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	KDELR3	C
202175_at	chondroitin polymerizing factor	CHPF	C
209692_at	eyes absent homolog 2 (Drosophila)	EYA2	C
215499_at	similar to mitogen-activated protein kinase kinase 3 isoform A	LOC651423	C
212202_s_at	transmembrane protein 87A	TMEM87A	C
208837_at	transmembrane emp24 protein transport domain containing 3	TMED3	C
219390_at	FK506 binding protein 14, 22 kDa	FKBP14	C
212813_at	junctional adhesion molecule 3	JAM3	C
202728_s_at	latent transforming growth factor beta binding protein 1	LTBP1	C
211979_at	G protein-coupled receptor 107	GPR107	C
214437_s_at	serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2	C
217861_s_at	prolactin regulatory element binding	PREB	C
204169_at	IMP (inosine monophosphate) dehydrogenase 1	IMPDH1	C
212064_x_at	MYC-associated zinc finger protein (purine-binding transcription factor)	MAZ	C
203633_at	carnitine palmitoyltransferase 1A (liver)	CPT1A	C
204857_at	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1L1	C
214096_s_at	serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2	C
203417_at	microfibrillar-associated protein 2	MFAP2	C
38671_at	plexin D1	PLXND1	C
212810_s_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	C
201578_at	podocalyxin-like	PODXL	C
60471_at	Ras and Rab interactor 3	RIN3	C
210310_s_at	fibroblast growth factor 5	FGF5	C
204078_at	synaptonemal complex protein SC65	SC65	C
212923_s_at	chromosome 6 open reading frame 145	C6orf145	C
201812_s_at	translocase of outer mitochondrial membrane 7 homolog	TOMM7	C
200629_at	tryptophanyl-tRNA synthetase	WARS	C
200714_x_at	amplified in osteosarcoma	OS9	C
213125_at	olfactomedin-like 2B	OLFML2B	C
212098_at	hypothetical protein LOC151162	LOC151162	C
209800_at	keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	KRT16	C
203706_s_at	frizzled homolog 7 (Drosophila)	FZD7	C
201543_s_at	SAR1 gene homolog A (S. cerevisiae)	SAR1A	C
213100_at	Full-length cDNA clone CL0BB018ZE07 of Neuroblastoma of Homo sapiens (human)	---	C
213937_s_at	FtsJ homolog 1 (E. coli)	FTSJ1	C
212707_s_at	RAS p21 protein activator 4	RASA4	C
208112_x_at	EH-domain containing 1	EHD1	C
210113_s_at	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	NALP1	C
215580_at	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein	MCM3AP	C
215537_x_at	dimethylarginine dimethylaminohydrolase 2	DDAH2	C
222221_x_at	EH-domain containing 1	EHD1	C
210002_at	GATA binding protein 6	GATA6	C
212155_at	ring finger protein 187	RNF187	C
210427_x_at	annexin A2	ANXA2	C
211719_x_at	fibronectin 1 /// fibronectin 1	FN1	C
203053_at	breast carcinoma amplified sequence 2	BCAS2	C
212551_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	CAP2	C
209037_s_at	EH-domain containing 1	EHD1	C
217217_at	Variable region of IgA (VH4 family)	IGHG1	C
209383_at	DNA-damage-inducible transcript 3	DDIT3	C
213088_s_at	DnaJ (Hsp40) homolog, subfamily C, member 9	DNAJC9	C
214303_x_at	mucin 5AC, oligomeric mucus/gel-forming	MUC5AC	C
204254_s_at	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	C
222020_s_at	neurotrimin	HNT	C
205178_s_at	retinoblastoma binding protein 6	RBBP6	C
200788_s_at	phosphoprotein enriched in astrocytes 15	PEA15	C
218223_s_at	pleckstrin homology domain containing, family O member 1	PLEKHO1	C
204222_s_at	GLI pathogenesis-related 1 (glioma)	GLIPR1	C
205547_s_at	transgelin	TAGLN	C
202771_at	family with sequence similarity 38, member A	FAM38A	C
219977_at	aryl hydrocarbon receptor interacting protein-like 1	AIPL1	C
221584_s_at	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	KCNMA1	C
202055_at	karyopherin alpha 1 (importin alpha 5)	KPNA1	C
200696_s_at	gelsolin (amyloidosis, Finnish type)	GSN	C
212876_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	B4GALT4	C
203578_s_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	SLC7A6	C
222379_at	Transcribed locus, strongly similar to NP_542402.1 potassium voltage-gated channel, Isk-related family, member 4]	---	C
206117_at	tropomyosin 1 (alpha)	TPM1	C
208782_at	follistatin-like 1	FSTL1	C
213790_at	CDNA FLJ31066 fis, clone HSYRA2001153	---	C
213002_at	Myristoylated alanine-rich protein kinase C substrate	MARCKS	C
210511_s_at	inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA	C
209247_s_at	ATP-binding cassette, sub-family F (GCN20), member 2	ABCF2	C
201897_s_at	CDC28 protein kinase regulatory subunit 1B	CKS1B	C
204872_at	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	TLE4	C
202294_at	stromal antigen 1	STAG1	C
204020_at	purine-rich element binding protein A	PURA	C
200599_s_at	heat shock protein 90kDa beta (Grp94), member 1	HSP90B1	C
216442_x_at	fibronectin 1	FN1	C
210495_x_at	fibronectin 1	FN1	C
213879_at	Transcribed locus	---	C
216975_x_at	neuronal PAS domain protein 1	NPAS1	C
205175_s_at	ketohexokinase (fructokinase)	KHK	C
212464_s_at	fibronectin 1	FN1	C
204158_s_at	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	TCIRG1	C
212658_at	lipoma HMGIC fusion partner-like 2	LHFPL2	C
213249_at	F-box and leucine-rich repeat protein 7	FBXL7	C
209454_s_at	TEA domain family member 3	TEAD3	C
209360_s_at	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	C
202096_s_at	translocator protein (18kDa)	TSPO	C
212233_at	3UTR of hypothetical protein (ORF1)	---	C
218349_s_at	Zwilch, kinetochore associated, homolog (Drosophila)	ZWILCH	C
217763_s_at	RAB31, member RAS oncogene family	RAB31	C
212104_s_at	RNA binding motif protein 9	RBM9	C
204219_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 1	PSMC1	C
203636_at	midline 1 (Opitz/BBB syndrome)	MID1	C
212157_at	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	C
200596_s_at	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	EIF3S10	C
218248_at	family with sequence similarity 111, member A	FAM111A	C
214909_s_at	dimethylarginine dimethylaminohydrolase 2	DDAH2	C
213260_at	CDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene	---	C
204589_at	NUAK family, SNF1-like kinase, 1	NUAK1	C
203637_s_at	midline 1 (Opitz/BBB syndrome)	MID1	C
204575_s_at	matrix metallopeptidase 19	MMP19	C
213620_s_at	intercellular adhesion molecule 2	ICAM2	C
200076_s_at	chromosome 19 open reading frame 50	C19orf50	C
208611_s_at	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	SPTAN1	C
212300_at	taxilin alpha	TXLNA	C
212040_at	trans-golgi network protein 2	TGOLN2	C
215979_s_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	SLC7A1	C
212365_at	myosin IB	MYO1B	C
216268_s_at	jagged 1 (Alagille syndrome)	JAG1	C
206133_at	XIAP associated factor-1	BIRC4BP	C
204317_at	G-2 and S-phase expressed 1	GTSE1	C
205870_at	bradykinin receptor B2	BDKRB2	C
214104_at	G protein-coupled receptor 161	GPR161	C
200621_at	cysteine and glycine-rich protein 1	CSRP1	C
216693_x_at	hepatoma-derived growth factor, related protein 3	HDGFRP3	C
203150_at	Rab9 effector protein with kelch motifs	RABEPK	C
200779_at	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	C
213867_x_at	actin, beta	ACTB	C
207140_at	alkaline phosphatase, intestinal	ALPI	C
217516_x_at	armadillo repeat gene deletes in velocardiofacial syndrome	ARVCF	C
209386_at	transmembrane 4 L six family member 1	TM4SF1	C
202857_at	transmembrane protein 4	TMEM4	C
211762_s_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	C
219542_at	NIMA (never in mitosis gene a)- related kinase 11	NEK11	C
214064_at	transferrin	TF	C
216438_s_at	thymosin, beta 4, X-linked	TMSB4X	C
215059_at	MRNA; cDNA DKFZp564G112 (from clone DKFZp564G112)	---	C
201198_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	PSMD1	C
216005_at	Tenascin C (hexabrachion)	TNC	C
210239_at	iroquois homeobox protein 5	IRX5	C
203708_at	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	PDE4B	C
205607_s_at	SCY1-like 3 (S. cerevisiae)	SCYL3	C
210344_at	oxysterol binding protein-like 7	OSBPL7	C
203108_at	G protein-coupled receptor, family C, group 5, member A	GPRC5A	C
211824_x_at	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	NALP1	C
203562_at	fasciculation and elongation protein zeta 1 (zygin I)	FEZ1	C
220259_at	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3	PLEKHH3	C
218284_at	SMAD, mothers against DPP homolog 3 (Drosophila)	SMAD3	C
201068_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 2	PSMC2	C
214085_x_at	GLI pathogenesis-related 1 (glioma)	GLIPR1	C
210987_x_at	tropomyosin 1 (alpha)	TPM1	C
