AffyID	Gene Name	Gene Symbol	Fold change‡	S.D†	GO Biological Process§
223218_s_at	molecule possessing ankyrin repeats induced by lipopolysaccharide (MAIL)	MAIL	0.38	0.05	unknown
219049_at	chondroitin beta1,4 N-acetylgalactosaminyltransferase	ChGn	0.38	0.04	neurogenesis / cell recognition / cell proliferation / morphogenesis / heparan sulfate proteoglycan biosynthesis, polysaccharide chain biosynthesis / UDP-N-acetylgalactosamine metabolism / extracellular matrix organization and biogenesis
1553645_at	hypothetical protein FLJ39502	FLJ39502	0.38	0.13	unknown
1555476_at	iron-responsive element binding protein 2	IREB2	0.38	0.05	metabolism / negative regulation of translation
236621_at	ribosomal protein S27 (metallopanstimulin 1)	RPS27	0.38	0.16	protein biosynthesis / signal transduction / cell proliferation
223194_s_at	chromosome 6 open reading frame 85	C6orf85	0.38	0.09	transport
1552670_a_at	protein phosphatase 1, regulatory (inhibitor) subunit 3B	PPP1R3B	0.38	0.11	unknown
243598_at	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	GPD2	0.38	0.09	glucose catabolism / glycerol-3-phosphate metabolism / electron transport
232440_at	Zinc finger, DHHC domain containing 13	ZDHHC13	0.38	0.08	positive regulation of I-kappaB kinase/NF-kappaB cascade
237999_at	Zinc finger, DHHC domain containing 13	ZDHHC13	0.38	0.08	positive regulation of I-kappaB kinase/NF-kappaB cascade
238610_s_at	Heterogeneous nuclear ribonucleoprotein M	HNRPM	0.38	0.08	unknown
237515_at	hypothetical protein FLJ31842	FLJ31842	0.38	0.07	unknown
227501_at	SOCS box-containing WD protein SWiP-1	WSB1	0.38	0.13	intracellular signaling cascade
239285_at	Jumonji domain containing 2C	JMJD2C	0.38	0.17	regulation of transcription, DNA-dependent
233921_s_at	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1L1	0.38	0.04	mitotic metaphase / mitotic anaphase / mitotic telophase / cell cycle / mitotic checkpoint / cell division
232939_at	Homo sapiens, clone IMAGE:5194204, mRNA	unknown	0.38	0.2	unknown
237107_at	protein kinase, interferon-inducible double stranded RNA dependent activator	PRKRA	0.38	0.05	immune response / signal transduction / negative regulation of cell proliferation / response to virus
201565_s_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	0.38	0.08	development / regulation of transcription / striated muscle contraction
201566_x_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	0.38	0.08	development / regulation of transcription / striated muscle contraction
236636_at	Full-length cDNA clone CS0DF025YH10 of Fetal brain of Homo sapiens	unknown	0.39	0.07	unknown
238067_at	FLJ20298 protein	FLJ20298	0.39	0.03	unknown
1553349_at	AT rich interactive domain 2 (ARID, RFX-like)	ARID2	0.39	0.07	unknown
216144_at	MRNA; cDNA DKFZp434K1126 (from clone DKFZp434K1126)	unknown	0.39	0.17	unknown
212942_s_at	KIAA1199	KIAA1199	0.39	0.12	perception of sound
239469_at	Formin binding protein 4	FNBP4	0.39	0.15	cell adhesion / G-protein coupled receptor protein signaling pathway
236778_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	0.39	0.1	DNA repair / DNA methylation / DNA recombination / regulation of transcription, DNA-dependent / chromosome organization and biogenesis (sensu Eukaryota) / perception of sound
217701_x_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	0.39	0.1	DNA repair / DNA methylation / DNA recombination / regulation of transcription, DNA-dependent / chromosome organization and biogenesis (sensu Eukaryota) / perception of sound
219572_at	Ca2+-dependent activator protein for secretion 2	CADPS2	0.39	0.01	unknown
213413_at	stoned B-like factor	SBLF	0.39	0.07	unknown
226484_at	zinc finger protein 651	ZNF651	0.39	0.06	transcription / regulation of transcription, DNA-dependent
1555938_x_at	vimentin	VIM	0.39	0.11	structural molecule activity / protein binding / intermediate filament
240307_at	Far upstream element (FUSE) binding protein 1	FUBP1	0.4	0.1	transcription / regulation of transcription, DNA-dependent / transcription from RNA polymerase II promoter / phosphate transport
1564164_at	hypothetical protein FLJ20054	FLJ20054	0.4	0.14	unknown
1559600_at	Hypothetical protein LOC220686	LOC375133	0.4	0.13	unknown
208195_at	titin	TTN	0.4	0.02	carbohydrate metabolism / protein amino acid phosphorylation / striated muscle contraction / striated muscle contraction / regulation of striated muscle contraction / response to oxidative stress / muscle development
243584_at	Transcribed locus, weakly similar to NP_060190.1 signal-transducing adaptor protein-2; brk kinase substrate	unknown	0.4	0.05	unknown
1557504_at	Signal recognition particle 54kDa	SRP54	0.4	0.08	protein targeting / SRP-dependent cotranslational protein-membrane targeting
232381_s_at	dynein, axonemal, heavy polypeptide 5	DNAH5	0.4	0.05	microtubule-based movement
216770_at	CDNA: FLJ21672 fis, clone COL09025	unknown	0.4	0.04	unknown
242239_at	nucleolar protein (NOL1/NOP2/sun) and PUA domains 1	NOPD1	0.4	0.07	unknown
233369_at	Son of sevenless homolog 2 (Drosophila)	SOS2	0.4	0.04	small GTPase mediated signal transduction
213059_at	cAMP responsive element binding protein 3-like 1	CREB3L1	0.4	0.08	regulation of transcription, DNA-dependent
1556373_a_at	Hypothetical protein MGC35361	MGC35361	0.4	0.05	unknown
226452_at	pyruvate dehydrogenase kinase, isoenzyme 1	PDK1	0.4	0.06	glucose metabolism / protein amino acid phosphorylation / small GTPase mediated signal transduction
239804_at	Cyclin I	CCNI	0.4	0.05	regulation of cell cycle / spermatogenesis
1559827_at	hypothetical LOC401074	LOC401074	0.41	0.02	unknown
235094_at	tropomyosin 4	TPM4	0.41	0.08	muscle development
202478_at	tribbles homolog 2	TRB2	0.41	0.06	protein amino acid phosphorylation
230085_at	Transcribed locus	unknown	0.41	0.06	unknown
1555194_at	CDNA clone IMAGE:3029742, partial cds	unknown	0.41	0.06	unknown
203407_at	periplakin	PPL	0.41	0.08	keratinization
227891_s_at	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	TAF15	0.41	0.12	unknown
226931_at	ARG99 protein	ARG99	0.41	0.11	unknown
244506_at	ARG99 protein	ARG99	0.41	0.11	unknown
242646_at	CGI-85 protein	CGI-85	0.41	0.14	unknown
215620_at	ras responsive element binding protein 1	RREB1	0.41	0.06	transcription / regulation of transcription, DNA-dependent / regulation of transcription, DNA-dependent / transcription from RNA polymerase II promoter/ Ras protein signal transduction / development
233706_at	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	NFATC2	0.42	0.07	regulation of transcription, DNA-dependent
221830_at	RAP2A, member of RAS oncogene family	RAP2A	0.42	0.03	intracellular protein transport / signal transduction / small GTPase mediated signal transduction
202769_at	cyclin G2	CCNG2	0.42	0.09	regulation of cell cycle / cell cycle checkpoint / mitosis / cell division
202770_s_at	cyclin G2	CCNG2	0.42	0.09	regulation of cell cycle / cell cycle checkpoint / mitosis / cell division
211559_s_at	cyclin G2	CCNG2	0.42	0.09	regulation of cell cycle / cell cycle checkpoint / mitosis / cell division
228081_at	cyclin G2	CCNG2	0.42	0.09	regulation of cell cycle / cell cycle checkpoint / mitosis / cell division
1553459_at	hypothetical protein FLJ39660	FLJ39660	0.42	0.04	unknown
203227_s_at	sarcoma amplified sequence	SAS	0.42	0.04	positive regulation of cell proliferation
243797_at	serine/threonine kinase 17b (apoptosis-inducing)	STK17B	0.42	0.03	protein amino acid phosphorylation / apoptosis / induction of apoptosis / protein kinase cascade
1558766_at	CDNA clone IMAGE:4332981, partial cds	unknown	0.42	0.1	unknown
232290_at	G protein-coupled receptor, family C, group 5, member A	GPCR5A	0.42	0.07	signal transduction / G-protein coupled receptor protein signaling pathway
216472_at	Intersectin 1 (SH3 domain protein)	ITSN1	0.42	0.02	synaptic vesicle endocytosis
220306_at	family with sequence similarity 46, member C	FAM46C	0.43	0.04	unknown
238363_at	Catalase	CAT	0.43	0.04	electron transport / response to oxidative stress / hydrogen peroxide catabolism
233202_at	similar to KIAA1714 protein	LOC389725	0.43	0.06	unknown
234501_x_at	Putative homeodomain transcription factor 1	PHTF1	0.43	0.06	transcription / regulation of transcription, DNA-dependent
243996_at	Transcribed locus	unknown	0.43	0.01	unknown
239830_at	unknown	unknown	0.43	0.02	unknown
212776_s_at	KIAA0657 protein	KIAA0657	0.43	0.05	unknown
239619_at	Zinc finger protein 395	ZNF395	0.44	0.05	unknown
232705_at	Leucine rich repeat (in FLII) interacting protein 2	LRRFIP2	0.44	0.03	unknown
243350_at	Chromosome 5 open reading frame 15	C5orf15	0.44	0.03	unknown
1566001_at	Ankyrin repeat domain 11	ANKRD11	0.44	0.03	unknown
228499_at	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	PFKFB4	0.44	0.05	fructose 2,6-bisphosphate metabolism / fructose 2,6-bisphosphate metabolism / metabolism
216757_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	GALNT7	0.45	0.02	carbohydrate metabolism / O-linked glycosylation
228723_at	Stromal cell derived factor receptor 1	SDFR1	0.45	0.04	unknown
1558903_at	chromosome 22 open reading frame 1	C22orf1	0.45	0.03	unknown
229683_s_at	Potassium channel tetramerisation domain containing 15	KCTD15	0.46	0.02	potassium ion transport
232599_at	SEC15-like 1 (S. cerevisiae)	SEC15L1	0.46	0.03	vesicle docking during exocytosis / protein transport
1563595_at	SLIT-ROBO Rho GTPase activating protein 3	SRGAP3	0.46	0.03	unknown
242308_at	mucolipin 3	MCOLN3	0.46	0	cation transport
1563010_at	Integrin, beta 8	ITGB8	0.46	0.02	cell-matrix adhesion / integrin-mediated signaling pathway
242428_at	RP42 homolog	RP42	0.46	0.01	unknown
213285_at	transmembrane protein 30B	TMEM30B	0.46	0.03	unknown
239725_at	GPI deacylase	PGAP1	0.46	0.02	unknown
201313_at	enolase 2, (gamma, neuronal)	ENO2	0.46	0.01	glycolysis
1560758_at	unknown	unknown	0.46	0.02	unknown
238199_x_at	similar to OK/SW-CL.16	LOC440552	0.47	0.02	unknown
1559597_at	unknown	unknown	0.48	0.01	unknown
221208_s_at	hypothetical protein FLJ23342	FLJ23342	0.49	0.02	unknown
212098_at	hypothetical protein LOC151162	LOC151162	0.49	0	unknown
