ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000028821	GCIP-interacting protein p29; CCNDBP1 interactor. [Source:RefSeq;Acc:NM_026780]	gbctl04_plate17_H22	1.34	0.0143
ENSMUSG00000033960		gbctl04_plate6_H24	1.34	0.03567
ENSMUSG00000034265	zinc finger, DHHC domain containing 14; NEW1 domain containing protein. [Source:RefSeq;Acc:NM_146073]	MTG_602477744	1.34	0.00421
ENSMUSG00000027221	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1. [Source:RefSeq;Acc:NM_023850]	MTG_602471048	1.33	0.00315
ENSMUSG00000035441		MTG_602139038	1.32	0.00418
ENSMUSG00000038827		MTG_602476603	1.32	0.02878
ENSMUSG00000041012	Chemokine-like factor super family member 8. [Source:Uniprot/SWISSPROT;Acc:Q9CZR4]	MTG_602472541	1.32	0.00415
ENSMUSG00000063200	nucleolar protein 7. [Source:RefSeq;Acc:NM_023554]	MTG_602469652	1.32	0.01335
ENSMUSG00000060985		MTG_602471140	1.32	0.00303
ENSMUSG00000022836	myosin, light polypeptide kinase telokin isoform; kinase-related protein; telokin. [Source:RefSeq;Acc:NM_139300]	MTG_602472969	1.31	0.00701
ENSMUSG00000033060		MTG_602472430	1.31	0.0048
ENSMUSG00000038047		gbctl04_plate15_D02	1.31	0.00302
ENSMUSG00000026796	Niban-like protein. [Source:Uniprot/SWISSPROT;Acc:Q8R1F1]	MTG_602475412	1.3	0.00452
ENSMUSG00000029273	sulfotransferase family 1D, member 1; amine N-sulfotransferase; tyrosine-ester sulfotransferase; N-sulfotransferase. [So	MTG_602469455	1.3	0.00418
ENSMUSG00000042594	Lymphocyte specific adapter protein Lnk (Signal transduction protein Lnk) (Lymphocyte adapter protein). [Source:Uniprot	/MTG_602477323	1.3	0.03786
ENSMUSG00000005583	myocyte enhancer factor 2C. [Source:RefSeq;Acc:NM_025282]	MTG_602310658	1.29	0.02051
ENSMUSG00000006445	Ephrin type-A receptor 2 precursor (EC 2.7.1.112) (Tyrosine-protein kinase receptor ECK) (Epithelial cell kinase) (MPK-5	MTG_602473722	1.29	0.00884
ENSMUSG00000023827	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, delta). [Source:RefSeq;Acc:NM_	gbctl04_plate14_L16	1.29	0.03883
ENSMUSG00000033565	RNA binding motif protein 9; fox-1 homolog (C. elegans); hexaribonucleotide binding protein 2; Fyn-binding molecule 2. [	MTG_602470921	1.29	0.00951
ENSMUSG00000033948	Zinc finger SWIM domain containing protein 5. [Source:Uniprot/SWISSPROT;Acc:Q80TC6]	gbctl04_plate7_P03	1.29	0.00739
ENSMUSG00000033788		MTG_602473878	1.29	0.00612
ENSMUSG00000020695	mannose receptor, C type 2; novel lectin. [Source:RefSeq;Acc:NM_008626]	MTG_602477505	1.29	0.00293
ENSMUSG00000029218		MTG_602476156	1.28	0.00413
ENSMUSG00000038517	ProSAPiP2 protein. [Source:RefSeq;Acc:NM_198100]	MTG_602475587	1.28	0.00316
ENSMUSG00000045680	Transcription factor 21 (Podocyte-expressed 1) (Pod-1) (Epicardin) (Capsulin). [Source:Uniprot/SWISSPROT;Acc:O3543	7gbctl04_plate12_P03	1.28	0.0136
ENSMUSG00000064262	immune-associated nucleotide-binding protein 9. [Source:RefSeq;Acc:NM_212486]	gbctl04_plate13_H23	1.28	0.00958
ENSMUSG00000029887		MTG_602469530	1.28	0.01762
ENSMUSG00000001029	Intercellular adhesion molecule-2 precursor (ICAM-2) (CD102) (Lymphocyte function-associated AG-1 counter-receptor).	gbctl04_plate8_G19	1.28	0.03408
ENSMUSG00000004044	polymerase I and transcript release factor. [Source:RefSeq;Acc:NM_008986]	MTG_602469152	1.27	0.00411
ENSMUSG00000031886		MTG_602477770	1.27	0.00931
ENSMUSG00000032625		gbctl04_plate10_N20	1.27	0.00307
ENSMUSG00000062585	Cannabinoid receptor 2 (CB2) (CB-2). [Source:Uniprot/SWISSPROT;Acc:P47936]	MTG_602139076	1.27	0.00917
ENSMUSG00000029823	Putative RNA-binding protein Luc7-like 2 (CGI-74 homolog). [Source:Uniprot/SWISSPROT;Acc:Q7TNC4]	MTG_602467776	1.26	0.00619
ENSMUSG00000031778	Fractalkine precursor (CX3CL1) (Neurotactin) (CX3C membrane-anchored chemokine) (Small inducible cytokine D1). [S	MTG_602476781	1.26	0.00364
ENSMUSG00000000934	DNA topoisomerase I. [Source:Uniprot/SPTREMBL;Acc:Q8R4U6]	gbctl04_plate17_L04	1.26	0.01487
ENSMUSG00000050640		MTG_602474489	1.26	0.00345
ENSMUSG00000026672	optineurin; TFIIIA-INTP. [Source:RefSeq;Acc:NM_181848]	MTG_602475953	1.26	0.00562
ENSMUSG00000062078	quaking protein; lethal, Chr 17, U Wisconsin 1. [Source:RefSeq;Acc:NM_021881]	MTG_602467505	1.26	0.00342
ENSMUSG00000020057		MTG_602475937	1.26	0.02046
ENSMUSG00000020717	Platelet endothelial cell adhesion molecule precursor (PECAM-1) (CD31 antigen). [Source:Uniprot/SWISSPROT;Acc:Q0	gbctl04_plate10_B08	1.26	0.01303
ENSMUSG00000007872	DNA-binding protein inhibitor ID-3 (ID-like protein inhibitor HLH 462). [Source:Uniprot/SWISSPROT;Acc:P41133]	gbctl04_plate16_D23	1.25	0.00949
ENSMUSG00000024534	synuclein, alpha interacting protein (synphilin); synphilin-1. [Source:RefSeq;Acc:NM_026408]	MTG_602310659	1.25	0.02005
ENSMUSG00000026921	vascular endothelial statin isoform 1 precursor; NEU1 protein; vascular endothelial-statin. [Source:RefSeq;Acc:NM_1784	MTG_602476194	1.25	0.0038
ENSMUSG00000052131	Aldose reductase-related protein 1 (EC 1.1.1.21) (AR) (Aldehyde reductase) (VAS deferens androgen-dependent protein	MTG_602471986	1.25	0.00526
ENSMUSG00000022122	Endothelin B receptor precursor (ET-B) (Endothelin receptor Non- selective type). [Source:Uniprot/SWISSPROT;Acc:P48	gbctl04_plate11_C08	1.24	0.03716
ENSMUSG00000034595		MTG_602472630	1.24	0.00307
ENSMUSG00000038387	Ras-related protein R-Ras (P23). [Source:Uniprot/SWISSPROT;Acc:P10833]	gbctl04_plate6_H16	1.24	0.01327
ENSMUSG00000054808	Alpha-actinin 4 (Non-muscle alpha-actinin 4) (F-actin cross linking protein). [Source:Uniprot/SWISSPROT;Acc:P57780]	gbctl04_plate5_P10	1.24	0.008
ENSMUSG00000058056	Strain Swiss Webster/NIH actin-associated protein palladin (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8C306]	gbctl04_plate11_D16	1.24	0.00354
ENSMUSG00000037962		MTG_602473124	1.24	0.00585
ENSMUSG00000001493	Homeobox protein MOX-1 (Mesenchyme homeobox 1). [Source:Uniprot/SWISSPROT;Acc:P32442]	MTG_602474862	1.24	0.02044
ENSMUSG00000002250	Peroxisome proliferator activated receptor delta (PPAR-delta) (PPAR- beta) (Nuclear hormone receptor 1) (NUC1). [Sour	cMTG_602476773	1.23	0.00422
ENSMUSG00000030315	vestigial like 4; cDNA sequence BC048841. [Source:RefSeq;Acc:NM_177683]	gbctl04_plate13_K20	1.23	0.00477
ENSMUSG00000037060	protein kinase C, delta binding protein. [Source:RefSeq;Acc:NM_028444]	MTG_602470050	1.23	0.02152
ENSMUSG00000039646	Slit-like 2. [Source:RefSeq;Acc:NM_139307]	MTG_602468955	1.23	0.01229
ENSMUSG00000017692	Rhomboid-related protein 4 (EC 3.4.21.-) (Ventrhoid transmembrane protein). [Source:Uniprot/SWISSPROT;Acc:P58873	]MTG_602476851	1.23	0.00382
ENSMUSG00000002885	CD97 antigen precursor. [Source:Uniprot/SWISSPROT;Acc:Q9Z0M6]	MTG_602467822	1.23	0.00976
ENSMUSG00000021112	MAGUK p55 subfamily member 5 (Protein associated with Lin-7 1). [Source:Uniprot/SWISSPROT;Acc:Q9JLB2]	MTG_602468154	1.22	0.00347
ENSMUSG00000029838	Pleiotrophin precursor (PTN) (Heparin-binding growth-associated molecule) (HB-GAM) (Heparin-binding growth factor 8)	MTG_602467383	1.22	0.01613
ENSMUSG00000034659	mitsugumin 23. [Source:RefSeq;Acc:NM_134142]	gbctl04_plate8_H08	1.22	0.01353
ENSMUSG00000040950	macrophage galactose N-acetyl-galactosamine specific lectin 2; macrophage galactose-type C-type lectin 2. [Source:Ref	MTG_602472754	1.22	0.02631
ENSMUSG00000059013	SH2 domain containing 3C; novel SH2-containing protein 3; Cas/HEF1-associated signal transducer; SH2-containing Ep	MTG_602476181	1.22	0.0048
ENSMUSG00000040003	Atrophin-1 interacting protein 1 (Membrane associated guanylate kinase inverted-2) (MAGI-2) (Activin receptor interactin	MTG_602469458	1.22	0.00406
ENSMUSG00000041633	potassium channel tetramerisation domain containing 12b. [Source:RefSeq;Acc:NM_175429]	gbctl04_plate15_I06	1.22	0.00357
ENSMUSG00000022817	Integrin beta-5 precursor. [Source:Uniprot/SWISSPROT;Acc:O70309]	MTG_602467875	1.22	0.00574
ENSMUSG00000010034	SOX-13 protein. [Source:Uniprot/SWISSPROT;Acc:Q04891]	MTG_602476517	1.21	0.00421
ENSMUSG00000027170	dendritic cell protein GA17. [Source:RefSeq;Acc:NM_145380]	gbctl04_plate17_F23	1.21	0.00402
ENSMUSG00000029070	limitrin. [Source:RefSeq;Acc:NM_024263]	MTG_602472431	1.21	0.00574
ENSMUSG00000029638	glucocorticoid induced transcript 1; testhymin; thymocyte/spermatocyte selection 1. [Source:RefSeq;Acc:NM_133236]	MTG_602467575	1.21	0.03079
ENSMUSG00000042675	Yippee-like protein 3. [Source:Uniprot/SWISSPROT;Acc:P61237]	MTG_602476328	1.21	0.02145
ENSMUSG00000050212		gbctl04_plate8_G02	1.21	0.00609
ENSMUSG00000050295	Forkhead box protein C1 (Forkhead-related protein FKHL7) (Forkhead- related transcription factor 3) (FREAC-3) (Transc	gbctl04_plate5_I03	1.21	0.01938
ENSMUSG00000051855	mesoderm specific transcript; EST AI256745. [Source:RefSeq;Acc:NM_008590]	gbctl04_plate8_I13	1.21	0.01934
ENSMUSG00000020044	Metalloproteinase inhibitor 3 precursor (TIMP-3) (Tissue inhibitor of metalloproteinases-3). [Source:Uniprot/SWISSPROT	MTG_602138994	1.2	0.0075
ENSMUSG00000028917	MKIAA0842 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80TQ5]	MTG_602138970	1.2	0.03452
ENSMUSG00000032698	Rhombotin-2 (Cysteine-rich protein TTG-2) (T-cell translocation protein 2) (LIM-only protein 2). [Source:Uniprot/SWISSP	MTG_602468175	1.2	0.01037
ENSMUSG00000052837	Transcription factor jun-B. [Source:Uniprot/SWISSPROT;Acc:P09450]	MTG_602472486	1.2	0.00815
ENSMUSG00000058013	Septin 8. [Source:Uniprot/SWISSPROT;Acc:Q8CHH9]	MTG_602469106	1.2	0.00367
ENSMUSG00000040624	MKIAA1209 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80TH7]	MTG_602468965	1.2	0.0129
ENSMUSG00000026923	Neurogenic locus notch homolog protein 1 precursor (Notch 1) (Motch A) (mT14) (p300). [Source:Uniprot/SWISSPROT;	gbctl04_plate15_E15	1.19	0.00647
ENSMUSG00000030516	Tight junction protein ZO-1 (Zonula occludens 1 protein) (Zona occludens 1 protein) (Tight junction protein 1). [Source:Un	MTG_602469593	1.19	0.01209
ENSMUSG00000033392	CLASP2. [Source:Uniprot/SPTREMBL;Acc:Q99JI3]	gbctl04_plate9_H02	1.19	0.00315
ENSMUSG00000035199	ADP-ribosylation factor-like 6 interacting protein 5; ADP-ribosylation-like factor 6 interacting protein 5. [Source:RefSeq;Ac	gbctl04_plate6_O04	1.19	0.00315
ENSMUSG00000038855	Inositol 1 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8BKB2]	MTG_602476190	1.19	0.00822
ENSMUSG00000041546		gbctl04_plate4_M13	1.19	0.00807
ENSMUSG00000052560	Copine VIII. [Source:Uniprot/SWISSPROT;Acc:Q9DC53]	MTG_602477371	1.19	0.00366
ENSMUSG00000057301		MTG_602476681	1.19	0.00367
ENSMUSG00000000325	Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog (Fragment). [Source:Uniprot/SWISSPROT;Acc:	MTG_602296391	1.19	0.00639
ENSMUSG00000037369	Ubiquitously transcribed X chromosome tetratricopeptide repeat protein (Ubiquitously transcribed TPR protein on the X c	MTG_602476644	1.18	0.01547
ENSMUSG00000041445	elastin microfibril interfacer 3. [Source:RefSeq;Acc:NM_153127]	MTG_602469476	1.18	0.00375
ENSMUSG00000042379	Endothelial cell-specific molecule 1 precursor (ESM-1 secretory protein) (ESM-1). [Source:Uniprot/SWISSPROT;Acc:Q9	gbctl04_plate16_P06	1.18	0.01536
ENSMUSG00000059852		gbctl04_plate6_C24	1.18	0.00497
ENSMUSG00000026305	leucine rich repeat (in FLII) interacting protein 1; FLAP (FLI LRR associated protein). [Source:RefSeq;Acc:NM_008515]	gbctl04_plate11_P06	1.18	0.04727
ENSMUSG00000018604	T-box transcription factor TBX3 (T-box protein 3) (Fragment). [Source:Uniprot/SWISSPROT;Acc:P70324]	MTG_602472627	1.18	0.00707
ENSMUSG00000005893	Orphan nuclear receptor TR4 (Orphan nuclear receptor TAK1). [Source:Uniprot/SWISSPROT;Acc:P49117]	MTG_602469936	1.17	0.00373
ENSMUSG00000027312	Attractin precursor (Mahogany protein). [Source:Uniprot/SWISSPROT;Acc:Q9WU60]	MTG_602474148	1.17	0.04513
ENSMUSG00000041308	Beta-2-syntrophin (59 kDa dystrophin-associated protein A1, basic component 2) (Syntrophin 3) (SNT3) (Syntrophin-like)	MTG_602475755	1.17	0.01013
ENSMUSG00000026536	Interferon-activatable protein 203 (Ifi-203) (Interferon-inducible protein p203). [Source:Uniprot/SWISSPROT;Acc:O35368]	MTG_602468593	1.17	0.01084
ENSMUSG00000008348	Ubiquitin. [Source:Uniprot/SWISSPROT;Acc:P02248]	gbctl04_plate6_P06	1.15	0.00569
ENSMUSG00000032548	Solute carrier organic anion transporter family member 2A1 (Solute carrier family 21 member 2) (Prostaglandin transport	MTG_602475396	1.15	0.00796
ENSMUSG00000041120	Neuroblastoma suppressor of tumorigenicity 1 precursor (Zinc finger protein DAN) (N03). [Source:Uniprot/SWISSPROT;	MTG_602473369	1.15	0.00413
ENSMUSG00000058815	Mesoderm development candidate 1. [Source:Uniprot/SWISSPROT;Acc:Q9ERE8]	gbctl04_plate15_J23	1.15	0.00464
ENSMUSG00000047766		MTG_602476953	1.15	0.0116
ENSMUSG00000061353	Stromal cell-derived factor 1 precursor (SDF-1) (CXCL12) (Pre-B cell growth stimulating factor) (PBSF) (12-O-tetradecan	gbctl04_plate12_L15	1.15	0.01184
ENSMUSG00000048316		MTG_602473021	1.14	0.00428
ENSMUSG00000052062	Amyotrophic lateral sclerosis 2 chromosome region candidate gene protein 19 homolog (Partitioning-defective 3-like prot	MTG_602468054	1.14	0.0228
ENSMUSG00000027293	EH-domain containing protein 4 (mPAST2). [Source:Uniprot/SWISSPROT;Acc:Q9EQP2]	MTG_602469752	1.14	0.03407
ENSMUSG00000019947	AT-rich interactive domain-containing protein 5B (ARID domain- containing protein 5B) (Mrf1-like) (Modulator recognition	fgbctl04_plate17_A20	1.13	0.00514
ENSMUSG00000034109	golgi phosphoprotein 4. [Source:RefSeq;Acc:NM_175193]	MTG_602476779	1.13	0.00443
ENSMUSG00000027777	schwannomin interacting protein 1; neurofibromatosis 2 interacting protein. [Source:RefSeq;Acc:NM_013928]	MTG_602468512	1.12	0.00443
ENSMUSG00000032187	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4. [Source:RefSeq;Ac	MTG_602475514	1.12	0.00598
ENSMUSG00000032666		MTG_602474473	1.12	0.02045
ENSMUSG00000035176	Sphingosine 1-phosphate receptor Edg-3 (S1P receptor Edg-3) (Endothelial differentiation G-protein-coupled receptor 3)	(gbctl04_plate8_O08	1.12	0.01714
ENSMUSG00000028978	Nitric-oxide synthase, endothelial (EC 1.14.13.39) (EC-NOS) (NOS, type III) (NOSIII) (Endothelial NOS) (eNOS) (Constit	MTG_602475506	1.11	0.00373
ENSMUSG00000033855	Stonin 1 (Stoned B-like factor). [Source:Uniprot/SWISSPROT;Acc:Q8CDJ8]	gbctl04_plate7_O10	1.11	0.00937
ENSMUSG00000034341	WW domain binding protein 2 (WBP-2). [Source:Uniprot/SWISSPROT;Acc:P97765]	gbctl04_plate4_G16	1.11	0.00474
ENSMUSG00000016934	DNA topoisomerase I (EC 5.99.1.2). [Source:Uniprot/SWISSPROT;Acc:Q04750]	MTG_602471490	1.1	0.01392
ENSMUSG00000034422		gbctl04_plate7_N11	1.1	0.00801
ENSMUSG00000015452	Advanced glycosylation end product-specific receptor precursor (Receptor for advanced glycosylation end products). [So	MTG_602474236	1.1	0.02749
ENSMUSG00000001995	MKIAA1389 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80TE4]	MTG_602472331	1.09	0.00512
ENSMUSG00000018899	Interferon regulatory factor 1 (IRF-1). [Source:Uniprot/SWISSPROT;Acc:P15314]	MTG_602471913	1.09	0.00628
ENSMUSG00000025981		MTG_602467066	1.09	0.02586
ENSMUSG00000026538	Interferon-activatable protein 204 (Ifi-204) (Interferon-inducible protein p204). [Source:Uniprot/SWISSPROT;Acc:P15092]	gbctl04_plate11_H13	1.09	0.04098
ENSMUSG00000034205	Lysyl oxidase homolog 2 (EC 1.4.3.-) (Lysyl oxidase-like protein 2) (Fragment). [Source:Uniprot/SWISSPROT;Acc:P5802	2gbctl04_plate14_E12	1.09	0.0075
ENSMUSG00000036501		MTG_602471094	1.09	0.01356
ENSMUSG00000053265		MTG_602470574	1.09	0.03151
ENSMUSG00000015568	Lipoprotein lipase precursor (EC 3.1.1.34) (LPL). [Source:Uniprot/SWISSPROT;Acc:P11152]	MTG_602475573	1.09	0.01788
ENSMUSG00000038259	Growth/differentiation factor 5 precursor (GDF-5). [Source:Uniprot/SWISSPROT;Acc:P43027]	MTG_602474642	1.09	0.00574
ENSMUSG00000057788		gbctl04_plate8_I08	1.08	0.00457
ENSMUSG00000012017	Scavenger receptor class F member 2 precursor (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II)	gbctl04_plate4_N21	1.08	0.0352
ENSMUSG00000014778	formin homology 2 domain containing 1. [Source:RefSeq;Acc:NM_177699]	MTG_602472446	1.08	0.01491
ENSMUSG00000026814	Endoglin precursor (Cell surface MJ7/18 antigen). [Source:Uniprot/SWISSPROT;Acc:Q63961]	MTG_602472662	1.08	0.01235
ENSMUSG00000031805	Janus kinase 3. [Source:RefSeq;Acc:NM_010589]	MTG_602471519	1.08	0.00812
ENSMUSG00000032288	RIKEN cDNA 1190002L16; U3 snoRNP protein 3 homolog (yeast). [Source:RefSeq;Acc:NM_133976]	gbctl04_plate15_H09	1.07	0.03237
ENSMUSG00000041189	Acetylcholine receptor protein, beta chain precursor. [Source:Uniprot/SWISSPROT;Acc:P09690]	gbctl04_plate10_G17	1.07	0.01615
ENSMUSG00000044345	MARVEL (membrane-associating) domain containing 1. [Source:RefSeq;Acc:NM_183195]	MTG_602474161	1.07	0.00825
ENSMUSG00000058070		MTG_602476271	1.07	0.03529
ENSMUSG00000045092	Sphingosine 1-phosphate receptor Edg-1 (Lysophospholipid receptor B1). [Source:Uniprot/SWISSPROT;Acc:O08530]	MTG_602467520	1.07	0.00772
ENSMUSG00000025402	NGFI-A binding protein 2 (EGR-1 binding protein 2). [Source:Uniprot/SWISSPROT;Acc:Q61127]	MTG_602477020	1.06	0.00678
ENSMUSG00000058799	Nucleosome assembly protein 1-like 1 (NAP-1 related protein) (Brain protein DN38). [Source:Uniprot/SWISSPROT;Acc:P	gbctl04_plate11_G04	1.06	0.01856
ENSMUSG00000039628		MTG_602467022	1.06	0.01288
ENSMUSG00000006362	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 homolog; CBFA2T3 identified gene homolog (human	gbctl04_plate3_E12	1.05	0.00419
ENSMUSG00000020121	SLIT-ROBO Rho GTPase activating protein 1 (srGAP1) (Rho-GTPase- activating protein 13) (Fragment). [Source:Unipro	gbctl04_plate12_O13	1.05	0.00772
ENSMUSG00000022231	Semaphorin 5A precursor (Semaphorin F) (Sema F). [Source:Uniprot/SWISSPROT;Acc:Q62217]	gbctl04_plate17_H13	1.05	0.00574
ENSMUSG00000029163	EMILIN 1 precursor (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1). [Source:Uniprot/SWIS	MTG_602471761	1.05	0.00756
ENSMUSG00000040407	A kinase (PRKA) anchor protein (yotiao) 9. [Source:RefSeq;Acc:NM_194462]	gbctl04_plate13_E06	1.05	0.01235
ENSMUSG00000041921	methionine aminopeptidase-like 1. [Source:RefSeq;Acc:NM_025633]	MTG_602467457	1.05	0.01358
ENSMUSG00000056748		gbctl04_plate12_K16	1.05	0.02941
ENSMUSG00000058865		gbctl04_plate11_E06	1.05	0.02189
ENSMUSG00000022505	Epithelial membrane protein-2 (EMP-2) (XMP protein). [Source:Uniprot/SWISSPROT;Acc:O88662]	MTG_602475342	1.05	0.00556
ENSMUSG00000008136	Skeletal muscle LIM-protein 3 (SLIM 3) (LIM-domain protein DRAL) (Four and a half LIM domains protein 2) (FHL-2). [So	uMTG_602469765	1.04	0.02239
ENSMUSG00000020272	Serine/threonine-protein kinase 10 (EC 2.7.1.37) (Lymphocyte-oriented kinase). [Source:Uniprot/SWISSPROT;Acc:O550	9MTG_602477555	1.04	0.00563
ENSMUSG00000026712	mannose receptor, C type 1. [Source:RefSeq;Acc:NM_008625]	MTG_602467778	1.04	0.00551
ENSMUSG00000030096	Sodium- and chloride-dependent taurine and beta-alanine transporter. [Source:Uniprot/SWISSPROT;Acc:O35316]	gbctl04_plate12_H14	1.04	0.01036
ENSMUSG00000032771	Casein kinase II, alpha chain (CK II) (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:Q60737]	gbctl04_plate10_N08	1.04	0.00433
ENSMUSG00000037933	Cytoskeleton-like bicaudal D protein homolog 2. [Source:Uniprot/SWISSPROT;Acc:Q921C5]	MTG_602471366	1.04	0.00688
ENSMUSG00000031921	Telomeric repeat binding factor 2 (TTAGGG repeat binding factor 2) (Telomeric DNA binding protein). [Source:Uniprot/S	MTG_602473337	1.03	0.0058
ENSMUSG00000047710		gbctl04_plate12_P02	1.03	0.00594
ENSMUSG00000062606		MTG_602476016	1.03	0.01599
ENSMUSG00000034842	Ecto-ADP-ribosyltransferase 3 precursor (EC 2.4.2.31) (NAD(P)(+)-- arginine ADP-ribosyltransferase 3) (Mono(ADP-ribo	MTG_602468540	1.03	0.01582
ENSMUSG00000064174		MTG_602468773	1.03	0.0081
ENSMUSG00000022220	Adenylate cyclase, type IV (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase). [Source:Uniprot/SWISSPROT;Ac	cMTG_602470186	1.03	0.00436
ENSMUSG00000005397	Nidogen precursor (Entactin). [Source:Uniprot/SWISSPROT;Acc:P10493]	gbctl04_plate13_A07	1.02	0.00884
ENSMUSG00000006304	Adult male stomach cDNA, RIKEN full-length enriched library, clone:2210023N03 product:actin related protein 2/3 compl	MTG_602470332	1.02	0.02388
ENSMUSG00000022198	Polyadenylate-binding protein 2 (Poly(A)-binding protein 2) (PolyA binding protein II) (PABII) (Polyadenylate-binding nucl	MTG_602467596	1.02	0.00638
ENSMUSG00000032562	Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein). [Source:Uniprot/	gbctl04_plate3_H08	1.02	0.02499
ENSMUSG00000032724		MTG_602474313	1.02	0.01811
ENSMUSG00000000530	Serine/threonine-protein kinase receptor R3 precursor (EC 2.7.1.37) (SKR3) (Activin receptor-like kinase 1) (ALK-1) (TG	MTG_602471210	1.02	0.00768
ENSMUSG00000002732	FK506-binding protein 7 precursor (EC 5.2.1.8) (Peptidyl-prolyl cis- trans isomerase) (PPIase) (Rotamase) (FKBP-23). [S	ogbctl04_plate4_J09	1.01	0.02165
ENSMUSG00000024975	programmed cell death 4. [Source:RefSeq;Acc:NM_011050]	MTG_602469293	1.01	0.01209
ENSMUSG00000057604	LIM and cysteine-rich domains protein 1. [Source:Uniprot/SWISSPROT;Acc:Q8VEE1]	gbctl04_plate4_H19	1.01	0.01103
	EST	gbctl04_plate15_K17	2.7	0.00239
	EST	gbctl04_plate7_K14	2.49	0.0063
	EST	gbctl04_plate5_M19	2.49	0.00239
	EST	MTG_602470946	2.45	0.00265
	EST	gbctl04_plate5_I23	2.45	0.01327
	EST	MTG_602467023	2.28	0.00272
	EST	MTG_602469520	2.27	0.00239
	EST	gbctl04_plate4_O08	2.24	0.00902
	EST	MTG_602474109	2.2	0.00258
	EST	gbctl04_plate8_M14	2.19	0.00264
	EST	gbctl04_plate17_M02	2.16	0.00264
	EST	gbctl04_plate6_O05	2.15	0.00239
	EST	gbctl04_plate12_L06	2.12	0.00356
	EST	gbctl04_plate10_D02	2.09	0.00303
	EST	MTG_602473406	2.06	0.00239
	EST	gbctl04_plate3_I22	1.99	0.01192
	EST	MTG_602470178	1.93	0.02068
	EST	gbctl04_plate3_I13	1.82	0.02771
	EST	MTG_602474350	1.73	0.00403
	EST	gbctl04_plate13_C03	1.71	0.00975
	EST	MTG_602469828	1.69	0.00352
	EST	MTG_602472183	1.67	0.00239
	EST	gbctl04_plate17_C23	1.66	0.00302
	EST	gbctl04_plate14_K23	1.6	0.00699
	EST	MTG_602471158	1.56	0.00466
	EST	MTG_602471282	1.56	0.00272
	EST	MTG_602473630	1.55	0.03063
	EST	MTG_602475451	1.54	0.00255
	EST	MTG_602467858	1.53	0.00305
	EST	MTG_602473845	1.53	0.00272
	EST	MTG_602467608	1.51	0.00297
