GenBank no.	Gene Symbol	Gene name	Fold change	P-value
BC090889	AHNAK2	Homo sapiens AHNAK nucleoprotein 2	3.1	8.35E-06
NM_001046	SLC12A2	Homo sapiens solute carrier family 12 (sodium/potassium/chloride transporters), member 2	3.1	5.12E-06
NM_033127	LZTR2	Homo sapiens leucine zipper transcription regulator 2	3.1	1.19E-03
NM_001967	EIF4A2	Homo sapiens eukaryotic translation initiation factor 4A, isoform 2	3.1	7.90E-04
NM_014901	RNF44	Homo sapiens ring finger protein 44	3.1	1.84E-04
NM_006647	NOXA1	Homo sapiens NADPH oxidase activator 1	3.1	3.45E-05
NM_016081	PALLD	Homo sapiens palladin, cytoskeletal associated protein	3.1	1.03E-02
NM_000481	AMT	Homo sapiens aminomethyltransferase (AMT), mRNA [NM_000481]	3.1	5.46E-04
NM_014051	TMEM14A	Homo sapiens transmembrane protein 14A	3.1	3.20E-05
NM_170662	CBLB	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3.1	8.19E-04
NM_015415	BRP44	Homo sapiens brain protein 44	3.1	4.46E-03
BC027875	MYO15B	Homo sapiens myosin XVB pseudogene	3.1	2.04E-03
NM_144566	ZNF700	Homo sapiens zinc finger protein 700	3.1	5.21E-03
NM_000313	PROS1	Homo sapiens protein S (alpha)	3.1	1.19E-02
NM_000156	GAMT	Homo sapiens guanidinoacetate N-methyltransferase, transcript variant 1	3.1	1.03E-02
NM_133491	SAT2	Homo sapiens spermidine/spermine N1-acetyltransferase 2	3.1	7.16E-04
NM_015088	TNRC6B	Homo sapiens trinucleotide repeat containing 6B, transcript variant 1	3.0	9.10E-05
NM_014353	RAB26	Homo sapiens RAB26, member RAS oncogene family	3.0	4.09E-03
NM_016306	DNAJB11	Homo sapiens DnaJ (Hsp40) homolog, subfamily B, member 11	3.0	1.33E-03
NM_201446	EGFL7	Homo sapiens EGF-like-domain, multiple 7, transcript variant 2	3.0	1.02E-02
NM_001409	MEGF6	Homo sapiens multiple EGF-like-domains 6	3.0	7.32E-03
NM_014265	ADAM28	Homo sapiens ADAM metallopeptidase domain 28, transcript variant 1	3.0	7.31E-04
NM_001080392	KIAA1147	Homo sapiens KIAA1147	3.0	7.01E-04
NM_001015880	PAPSS2	Homo sapiens 3-phosphoadenosine 5-phosphosulfate synthase 2, transcript variant 2	3.0	7.88E-03
NM_001888	CRYM	Homo sapiens crystallin, mu, transcript variant 1	3.0	6.42E-03
NM_183376	ARRDC4	Homo sapiens arrestin domain containing 4	3.0	3.37E-03
NM_001040653	ZXDC	Homo sapiens ZXD family zinc finger, transcript variant 2	3.0	3.89E-04
NM_002291	LAMB1	Homo sapiens laminin, beta 1	3.0	6.47E-05
NM_052905	FMNL2	Homo sapiens formin-like 2	3.0	7.73E-04
NM_001029999	MGC26718	Homo sapiens similar to ankyrin repeat domain 20A	3.0	7.07E-03
NM_000373	UMPS	Homo sapiens uridine monophosphate synthetase	3.0	1.71E-04
NM_016331	ZNF639	Homo sapiens zinc finger protein 639	3.0	5.87E-04
NM_016586	MBIP	Homo sapiens MAP3K12 binding inhibitory protein 1	3.0	5.94E-03
NM_024847	TMC7	Homo sapiens transmembrane channel-like 7	3.0	4.48E-03
NM_213604	ADAMTSL5	Homo sapiens ADAMTS-like 5	3.0	2.24E-03
NM_014632	MICAL2	Homo sapiens microtubule associated monoxygenase, calponin and LIM domain containing 2	3.0	5.25E-04
NM_015193	ARC	Homo sapiens activity-regulated cytoskeleton-associated protein	3.0	1.41E-03
NM_000019	ACAT1	Homo sapiens acetyl-Coenzyme A acetyltransferase 1, nuclear gene encoding mitochondrial protein	3.0	3.77E-03
NM_002646	PIK3C2B	Homo sapiens phosphoinositide-3-kinase, class 2, beta polypeptide	3.0	1.77E-03
NM_021572	ENPP5	Homo sapiens ectonucleotide pyrophosphatase/phosphodiesterase 5	3.0	6.36E-04
NM_145341	PDCD4	Homo sapiens programmed cell death 4 (neoplastic transformation inhibitor) , transcript variant 2	3.0	3.98E-03
NM_016270	KLF2	Homo sapiens Kruppel-like factor 2 (lung)	2.9	8.91E-04
NM_022484	TMEM168	Homo sapiens transmembrane protein 168	2.9	2.03E-04
NM_006283	TACC1	Homo sapiens transforming, acidic coiled-coil containing protein 1	2.9	1.57E-04
NM_182915	STEAP3	Homo sapiens STEAP family member 3, transcript variant 1	2.9	1.32E-03
NM_014326	DAPK2	Homo sapiens death-associated protein kinase 2	2.9	7.11E-03
NM_133446	CTGLF1	Homo sapiens centaurin, gamma-like family, member 1	2.9	9.14E-03
NM_178335	CCDC50	Homo sapiens coiled-coil domain containing 50, transcript variant 2	2.9	1.17E-02
NM_005013	NUCB2	Homo sapiens nucleobindin 2	2.9	8.73E-04
NM_000053	ATP7B	Homo sapiens ATPase, Cu++ transporting, beta polypeptide, transcript variant 1	2.9	7.90E-05
NM_194247	HNRPA3	Homo sapiens heterogeneous nuclear ribonucleoprotein A3	2.9	1.32E-04
NM_018434	RNF130	Homo sapiens ring finger protein 130	2.9	7.74E-04
NM_153690	FAM43A	Homo sapiens family with sequence similarity 43, member A	2.9	9.17E-03
NM_018098	ECT2	Homo sapiens epithelial cell transforming sequence 2 oncogene	2.9	6.08E-04
NM_145233	ZNF625	Homo sapiens zinc finger protein 625	2.9	7.32E-03
NM_014753	BMS1	Homo sapiens BMS1 homolog, ribosome assembly protein (yeast)	2.9	8.29E-03
NM_007220	CA5B	Homo sapiens carbonic anhydrase VB, mitochondrial, nuclear gene encoding mitochondrial protein	2.9	9.73E-03
NM_033502	TRERF1	Homo sapiens transcriptional regulating factor 1	2.9	1.38E-03
NM_001853	COL9A3	Homo sapiens collagen, type IX, alpha 3	2.9	1.12E-03
NM_019069	WDR5B	Homo sapiens WD repeat domain 5B	2.9	1.75E-03
NM_015008	TMCC1	Homo sapiens transmembrane and coiled-coil domain family 1, transcript variant 2	2.9	1.02E-02
NM_016377	AKAP7	Homo sapiens A kinase (PRKA) anchor protein 7, transcript variant gamma	2.9	4.21E-03
NM_000274	OAT	Homo sapiens ornithine aminotransferase, nuclear gene encoding mitochondrial protein	2.9	1.28E-03
NM_001004127	ALG11	Homo sapiens asparagine-linked glycosylation 11 homolog (S.cerevisiae)	2.9	4.28E-05
NM_001652	AQP6	Homo sapiens aquaporin 6, kidney specific	2.8	2.56E-03
NM_178564	NRBP2	Homo sapiens nuclear receptor binding protein 2	2.8	3.40E-04
NM_002182	IL1RAP	Homo sapiens interleukin 1 receptor accessory protein, transcript variant 1	2.8	4.75E-03
NM_003794	SNX4	Homo sapiens sorting nexin 4	2.8	3.22E-04
NM_003498	SNN	Homo sapiens stannin	2.8	1.07E-02
NM_152392	AHSA2	Homo sapiens AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	2.8	2.22E-04
NM_007069	HRASLS3	Homo sapiens HRAS-like suppressor 3	2.8	7.96E-03
NM_053025	MYLK	Homo sapiens myosin, light chain kinase, transcript variant 1	2.8	2.27E-03
NM_018023	YEATS2	Homo sapiens YEATS domain containing 2	2.8	1.89E-03
NM_004512	IL11RA	Homo sapiens interleukin 11 receptor, alpha, transcript variant 1	2.8	4.98E-04
NM_002257	KLK1	Homo sapiens kallikrein 1	2.8	1.05E-02
NM_017898	MOSC2	Homo sapiens MOCO sulphurase C-terminal domain containing 2	2.8	3.10E-03
NM_022736	MFSD1	Homo sapiens major facilitator superfamily domain containing 1	2.8	5.58E-04
NM_025248	SNIP	Homo sapiens SNAP25-interacting protein	2.8	3.73E-03
NM_004415	DSP	Homo sapiens desmoplakin, transcript variant 1	2.8	1.20E-02
NM_032383	HPS3	Homo sapiens Hermansky-Pudlak syndrome 3	2.8	2.87E-04
NM_020443	NAV1	Homo sapiens neuron navigator 1	2.8	8.14E-03
NM_006306	SMC1A	Homo sapiens structural maintenance of chromosomes 1A	2.8	3.41E-03
NM_033049	MUC13	Homo sapiens mucin 13, cell surface associated	2.8	1.22E-03
NM_009589	ARSD	Homo sapiens arylsulfatase D, transcript variant 2	2.8	4.32E-03
NM_145865	ANKS4B	Homo sapiens ankyrin repeat and sterile alpha motif domain containing 4B	2.8	2.54E-03
NM_152879	DGKD	Homo sapiens diacylglycerol kinase, delta 130kDa, transcript variant 2	2.8	7.47E-05
NM_004420	DUSP8	Homo sapiens dual specificity phosphatase 8	2.8	6.44E-03
NM_183421	FBXO25	Homo sapiens F-box protein 25, transcript variant 1	2.8	1.06E-03
NM_025160	WDR26	Homo sapiens WD repeat domain 26	2.8	7.12E-04
NM_004462	FDFT1	Homo sapiens farnesyl-diphosphate farnesyltransferase 1	2.8	6.24E-04
NM_052946	NOSTRIN	Homo sapiens nitric oxide synthase trafficker, transcript variant 1	2.8	5.07E-03
NM_024628	SLC12A8	Homo sapiens solute carrier family 12 (potassium/chloride transporters), member 8	2.8	2.38E-03
NM_015901	NUDT13	Homo sapiens nudix (nucleoside diphosphate linked moiety X)-type motif 13	2.8	1.51E-03
NM_016424	CROP	Homo sapiens cisplatin resistance-associated overexpressed protein, transcript variant 1	2.7	3.05E-03
NM_024610	HSPBAP1	Homo sapiens HSPB (heat shock 27kDa) associated protein 1	2.7	6.10E-03
NM_021224	ZNF462	Homo sapiens zinc finger protein 462	2.7	7.33E-03
NM_025180	CEP63	Homo sapiens centrosomal protein 63kDa, transcript variant 1	2.7	4.32E-04
NM_022488	ATG3	Homo sapiens ATG3 autophagy related 3 homolog (S. cerevisiae)	2.7	1.32E-03
NM_006472	TXNIP	Homo sapiens thioredoxin interacting protein	2.7	4.26E-05
NM_007027	TOPBP1	Homo sapiens topoisomerase (DNA) II binding protein 1	2.7	5.33E-03
NM_201575	SEZ6L2	Homo sapiens seizure related 6 homolog (mouse)-like 2, transcript variant 2	2.7	1.11E-03
NM_012330	MYST4	Homo sapiens MYST histone acetyltransferase (monocytic leukemia) 4	2.7	8.89E-04
NM_199441	ZNF334	Homo sapiens zinc finger protein 334, transcript variant 2	2.7	2.24E-03
NM_016333	SRRM2	Homo sapiens serine/arginine repetitive matrix 2	2.7	7.44E-03
NM_014010	ASTN2	Homo sapiens astrotactin 2, transcript variant 1	2.7	5.01E-03
NM_032778	MINA	Homo sapiens MYC induced nuclear antigen, transcript variant 3	2.7	3.10E-03
NM_000367	TPMT	Homo sapiens thiopurine S-methyltransferase	2.7	6.46E-03
NM_144708	ANKAR	Homo sapiens ankyrin and armadillo repeat containing	2.7	1.84E-04
NM_032601	MCEE	Homo sapiens methylmalonyl CoA epimerase	2.7	1.74E-05
NM_002093	GSK3B	Homo sapiens glycogen synthase kinase 3 beta	2.7	6.67E-03
NM_016618	KRCC1	Homo sapiens lysine-rich coiled-coil 1	2.7	1.19E-02
NM_004508	IDI1	Homo sapiens isopentenyl-diphosphate delta isomerase 1	2.7	1.32E-03
NM_016625	RSRC1	Homo sapiens arginine/serine-rich coiled-coil 1	2.7	3.19E-04
NM_001018004	TPM1	Homo sapiens tropomyosin 1 (alpha), transcript variant 3	2.7	1.75E-03
NM_007112	THBS3	Homo sapiens thrombospondin 3	2.7	2.52E-03
NM_017893	SEMA4G	Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	2.7	2.89E-03
NM_015349	KIAA0240	Homo sapiens KIAA0240	2.7	4.01E-05
NM_173825	RABL3	Homo sapiens RAB, member of RAS oncogene family-like 3	2.7	1.08E-02
NM_002492	NDUFB5	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa, nuclear gene encoding mitochondrial protein	2.7	6.48E-05
NM_015124	DIP	Homo sapiens death-inducing-protein	2.7	1.40E-03
NM_014873	LPGAT1	Homo sapiens lysophosphatidylglycerol acyltransferase 1	2.6	7.88E-05
NM_182503	DEADC1	Homo sapiens deaminase domain containing 1	2.6	1.16E-02
NM_173515	CNKSR3	Homo sapiens CNKSR family member 3	2.6	3.67E-04
NM_003250	THRA	Homo sapiens thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian), transcript variant 2	2.6	9.60E-04
NM_015960	CUTC	Homo sapiens cutC copper transporter homolog (E. coli)	2.6	1.09E-02
NM_004861	GAL3ST1	Homo sapiens galactose-3-O-sulfotransferase 1	2.6	2.02E-03
NM_031942	CDCA7	Homo sapiens cell division cycle associated 7, transcript variant 1	2.6	9.69E-05
NM_004420	DUSP8	Homo sapiens dual specificity phosphatase 8	2.6	8.29E-03
NM_023089	CAPN10	Homo sapiens calpain 10, transcript variant 7	2.6	1.35E-03
NM_004071	CLK1	Homo sapiens CDC-like kinase 1, transcript variant 1	2.6	5.94E-05
NM_032009	PCDHGA2	Homo sapiens protocadherin gamma subfamily A, 2, transcript variant 2	2.6	1.62E-03
NM_031215	CABLES2	Homo sapiens Cdk5 and Abl enzyme substrate 2	2.6	5.20E-05
NM_025179	PLXNA2	Homo sapiens plexin A2	2.6	1.10E-05
NM_080797	DIDO1	Homo sapiens death inducer-obliterator 1, transcript variant 3	2.6	5.39E-03
NM_006035	CDC42BPB	Homo sapiens CDC42 binding protein kinase beta (DMPK-like)	2.6	2.27E-03
NM_001033002	RPAIN	Homo sapiens RPA interacting protein	2.6	1.33E-03
NM_005896	IDH1	Homo sapiens isocitrate dehydrogenase 1 (NADP+), soluble	2.6	9.20E-03
NM_024567	HMBOX1	Homo sapiens homeobox containing 1	2.6	6.63E-03
NM_032112	MRPL43	Homo sapiens mitochondrial ribosomal protein L43, nuclear gene encoding mitochondrial protein, transcript variant 1	2.6	2.99E-03
NM_000363	TNNI3	Homo sapiens troponin I type 3 (cardiac)	2.6	2.10E-03
NM_015349	KIAA0240	Homo sapiens KIAA0240	2.6	1.20E-05
NM_004747	DLG5	Homo sapiens discs, large homolog 5 (Drosophila)	2.6	1.14E-04
NM_183420	FBXO25	Homo sapiens F-box protein 25, transcript variant 2	2.6	3.81E-03
NM_018676	THSD1	Homo sapiens thrombospondin, type I, domain containing 1, transcript variant 1	2.6	6.26E-05
NM_002916	RFC4	Homo sapiens replication factor C (activator 1) 4, 37kDa, transcript variant 1	2.6	8.57E-04
NM_173825	RABL3	Homo sapiens RAB, member of RAS oncogene family-like 3	2.6	6.16E-04
NM_017617	NOTCH1	Homo sapiens Notch homolog 1, translocation-associated (Drosophila)	2.6	1.55E-03
NM_006834	RAB32	Homo sapiens RAB32, member RAS oncogene family	2.6	1.20E-02
NM_002687	PNN	Homo sapiens pinin, desmosome associated protein	2.6	6.14E-03
NM_000367	TPMT	Homo sapiens thiopurine S-methyltransferase	2.6	9.18E-03
NM_031942	CDCA7	Homo sapiens cell division cycle associated 7, transcript variant 1	2.6	1.93E-05
NM_000341	SLC3A1	Homo sapiens solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	2.6	2.08E-03
NM_005069	SIM2	Homo sapiens single-minded homolog 2 (Drosophila), transcript variant SIM2	2.6	5.13E-03
NM_014648	DZIP3	Homo sapiens zinc finger DAZ interacting protein 3	2.6	1.12E-02
NM_014938	MLXIP	Homo sapiens MLX interacting protein	2.6	3.35E-03
NM_000214	JAG1	Homo sapiens jagged 1 (Alagille syndrome)	2.6	5.24E-03
NM_012430	SEC22A	Homo sapiens SEC22 vesicle trafficking protein homolog A (S.cerevisiae)	2.6	4.92E-03
NM_014065	ASTE1	Homo sapiens asteroid homolog 1 (Drosophila)	2.6	3.18E-04
NM_000883	IMPDH1	Homo sapiens IMP (inosine monophosphate) dehydrogenase 1, transcript variant 1	2.6	3.16E-04
NM_015714	G0S2	Homo sapiens G0/G1switch 2	2.6	3.10E-05
NM_001023571	IQCB1	Homo sapiens IQ motif containing B1, transcript variant 3	2.6	5.91E-04
NM_005445	SMC3	Homo sapiens structural maintenance of chromosomes 3	2.6	3.01E-03
NM_014779	TSC22D2	Homo sapiens TSC22 domain family, member 2	2.5	5.91E-03
NM_030756	TCF7L2	Homo sapiens transcription factor 7-like 2 (T-cell specific, HMG-box)	2.5	4.91E-03
NM_018117	BRWD2	Homo sapiens bromodomain and WD repeat domain containing 2	2.5	2.74E-04
NM_032246	RKHD3	Homo sapiens ring finger and KH domain containing 3	2.5	3.34E-05
NM_022370	ROBO3	Homo sapiens roundabout, axon guidance receptor, homolog 3 (Drosophila)	2.5	6.35E-04
NM_018530	GSDML	Homo sapiens gasdermin-like, transcript variant 2	2.5	5.71E-03
NM_031297	RNF208	Homo sapiens ring finger protein 208	2.5	6.56E-03
NM_003621	PPFIBP2	Homo sapiens PTPRF interacting protein, binding protein 2 (liprin beta 2)	2.5	2.14E-04
NM_015644	TTLL3	Homo sapiens tubulin tyrosine ligase-like family, member 3, transcript variant 2	2.5	1.69E-04
NM_017548	CDV3	Homo sapiens CDV3 homolog (mouse)	2.5	3.72E-04
NM_032839	DIRC2	Homo sapiens disrupted in renal carcinoma 2]	2.5	4.96E-05
NM_016343	CENPF	Homo sapiens centromere protein F, 350/400ka (mitosin)	2.5	5.84E-04
NM_013440	PILRB	Homo sapiens paired immunoglobin-like type 2 receptor beta, transcript variant 1	2.5	1.57E-03
NM_001039590	USP9X	Homo sapiens ubiquitin specific peptidase 9, X-linked, transcript variant 3	2.5	6.70E-04
NM_006642	SDCCAG8	Homo sapiens serologically defined colon cancer antigen 8	2.5	4.17E-03
NM_138281	DLX4	Homo sapiens distal-less homeobox 4, transcript variant 1	2.5	9.51E-03
NM_000603	NOS3	Homo sapiens nitric oxide synthase 3 (endothelial cell)	2.5	1.98E-04
NM_015254	KIF13B	Homo sapiens kinesin family member 13B	2.5	1.46E-04
NM_016029	DHRS7	Homo sapiens dehydrogenase/reductase (SDR family) member 7	2.5	3.48E-03
NM_005144	HR	Homo sapiens hairless homolog (mouse), transcript variant 1	2.5	2.41E-03
NM_145754	KIFC2	Homo sapiens kinesin family member C2	2.5	8.98E-05
NM_014149	HSPC049	Homo sapiens HSPC049 protein	2.5	3.63E-04
NM_001606	ABCA2	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 2, transcript variant 1	2.5	9.02E-03
NM_080599	UPF2	Homo sapiens UPF2 regulator of nonsense transcripts homolog (yeast), transcript variant 1	2.5	2.86E-03
NM_018963	BRWD1	Homo sapiens bromodomain and WD repeat domain containing 1, transcript variant 1	2.5	3.41E-03
NM_002546	TNFRSF11B	Homo sapiens tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	2.5	6.69E-03
NM_002069	GNAI1	Homo sapiens guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	2.5	4.02E-03
NM_006416	SLC35A1	Homo sapiens solute carrier family 35 (CMP-sialic acid transporter), member A1	2.5	1.17E-03
NM_080860	TSGA2	Homo sapiens testis specific A2 homolog (mouse)	2.5	6.31E-03
NM_015478	L3MBTL	Homo sapiens l(3)mbt-like (Drosophila), transcript variant I	2.5	6.12E-03
NM_015662	IFT172	Homo sapiens intraflagellar transport 172 homolog (Chlamydomonas)	2.5	4.53E-04
NM_194284	CLDN23	Homo sapiens claudin 23	2.5	1.80E-03
NM_002147	HOXB5	Homo sapiens homeobox B5	2.5	3.11E-03
NM_022574	PERQ1	Homo sapiens PERQ amino acid rich, with GYF domain 1	2.5	2.69E-03
NM_020039	ACCN2	Homo sapiens amiloride-sensitive cation channel 2, neuronal, transcript variant 1	2.5	3.98E-03
BC059174	TRAF3IP1	Homo sapiens TNF receptor-associated factor 3 interacting protein 1, mRNA (cDNA clone MGC:54069 IMAGE:6191726), complete cds. [BC059174]	2.5	4.22E-03
NM_001008493	ENAH	Homo sapiens enabled homolog (Drosophila), transcript variant 1	2.5	2.44E-03
NM_178509	STXBP4	Homo sapiens syntaxin binding protein 4	2.5	7.68E-03
NM_013313	YPEL1	Homo sapiens yippee-like 1 (Drosophila)	2.5	2.94E-03
NM_080879	RAB40A	Homo sapiens RAB40A, member RAS oncogene family	2.5	5.29E-03
NM_002168	IDH2	Homo sapiens isocitrate dehydrogenase 2 (NADP+), mitochondrial	2.5	7.24E-03
NM_016733	LIMK2	Homo sapiens LIM domain kinase 2, transcript variant 2b	2.4	4.27E-03
NM_001013706	LSDP5	Homo sapiens lipid storage droplet protein 5	2.4	9.82E-03
NM_032888	COL27A1	Homo sapiens collagen, type XXVII, alpha 1	2.4	1.24E-03
NM_003913	PRPF4B	Homo sapiens PRP4 pre-mRNA processing factor 4 homolog B (yeast)	2.4	6.35E-03
NM_173476	CCDC78	Homo sapiens coiled-coil domain containing 78, transcript variant 2	2.4	6.50E-05
NM_018167	BTBD7	Homo sapiens BTB (POZ) domain containing 7, transcript variant 2	2.4	5.72E-03
NM_005475	SH2B3	Homo sapiens SH2B adaptor protein 3	2.4	8.71E-03
NM_024989	PGAP1	Homo sapiens GPI deacylase	2.4	4.81E-05
NM_138384	MTG1	Homo sapiens mitochondrial GTPase 1 homolog (S. cerevisiae)	2.4	2.42E-04
NM_014641	MDC1	Homo sapiens mediator of DNA damage checkpoint 1	2.4	3.32E-03
NM_032305	POLR3GL	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like	2.4	5.78E-03
NM_006218	PIK3CA	Homo sapiens phosphoinositide-3-kinase, catalytic, alpha polypeptide	2.4	5.36E-03
NM_003418	CNBP	Homo sapiens CCHC-type zinc finger, nucleic acid binding protein	2.4	4.41E-03
NM_173515	CNKSR3	Homo sapiens CNKSR family member 3	2.4	8.10E-03
NM_001076787	TP53I11	Homo sapiens tumor protein p53 inducible protein 11	2.4	1.49E-03
NM_018266	TMEM39A	Homo sapiens transmembrane protein 39A	2.4	6.25E-03
NM_147152	ITSN2	Homo sapiens intersectin 2, transcript variant 2	2.4	9.42E-03
NM_018330	KIAA1598	Homo sapiens KIAA1598	2.4	2.77E-03
NM_014801	PCNXL2	Homo sapiens pecanex-like 2 (Drosophila), transcript variant 1	2.4	6.34E-04
NM_003565	ULK1	Homo sapiens unc-51-like kinase 1 (C. elegans)	2.4	2.21E-03
NM_014431	KIAA1274	Homo sapiens KIAA1274	2.4	5.74E-03
NM_005646	TARBP1	Homo sapiens Tar (HIV-1) RNA binding protein 1	2.4	2.49E-04
NM_005381	NCL	Homo sapiens nucleolin	2.4	2.01E-04
NM_005063	SCD	Homo sapiens stearoyl-CoA desaturase	2.4	6.90E-03
NM_004423	DVL3	Homo sapiens dishevelled, dsh homolog 3 (Drosophila)	2.4	4.50E-03
NM_003786	ABCC3	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 3	2.4	1.51E-04
NM_001017926	ZHX1	Homo sapiens zinc fingers and homeoboxes 1, transcript variant 1	2.4	1.88E-03
NM_173622	CDRT4	Homo sapiens CMT1A duplicated region transcript 4	2.4	7.50E-03
NM_206920	MAMDC4	Homo sapiens MAM domain containing 4	2.4	6.10E-05
NM_004428	EFNA1	Homo sapiens ephrin-A1, transcript variant 1	2.4	1.10E-05
NM_021964	ZNF148	Homo sapiens zinc finger protein 148	2.4	1.13E-02
NM_014068	PSORS1C1	Homo sapiens psoriasis susceptibility 1 candidate 1	2.4	8.91E-04
NM_002498	NEK3	Homo sapiens NIMA (never in mitosis gene a)-related kinase 3, transcript variant 1	2.4	1.44E-03
NM_031844	HNRPU	Homo sapiens heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A), transcript variant 1	2.4	4.48E-03
NM_018301	RBM41	Homo sapiens RNA binding motif protein 41	2.4	2.51E-03
NM_001001976	ATE1	Homo sapiens arginyltransferase 1, transcript variant 1	2.4	1.13E-02
NM_002332	LRP1	Homo sapiens low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	2.4	3.60E-03
NM_018442	IQWD1	Homo sapiens IQ motif and WD repeats 1, transcript variant 1	2.4	5.63E-03
NM_016607	ARMCX3	Homo sapiens armadillo repeat containing, X-linked 3, transcript variant 1	2.4	1.11E-03
NM_015062	PPRC1	Homo sapiens peroxisome proliferator-activated receptor gamma, coactivator-related 1	2.4	1.27E-04
NM_005738	ARL4A	Homo sapiens ADP-ribosylation factor-like 4A, transcript variant 1	2.4	3.36E-04
NM_017712	PGPEP1	Homo sapiens pyroglutamyl-peptidase I	2.4	1.19E-02
NM_020202	NIT2	Homo sapiens nitrilase family, member 2	2.4	2.80E-04
NM_012215	MGEA5	Homo sapiens meningioma expressed antigen 5 (hyaluronidase)	2.4	8.34E-04
NM_198252	GSN	Homo sapiens gelsolin (amyloidosis, Finnish type), transcript variant 2	2.4	6.11E-03
NM_014720	SLK	Homo sapiens STE20-like kinase (yeast)	2.4	6.02E-04
NM_007110	TEP1	Homo sapiens telomerase-associated protein 1	2.4	2.74E-04
NM_020166	MCCC1	Homo sapiens methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	2.4	2.80E-03
NM_015310	PSD3	Homo sapiens pleckstrin and Sec7 domain containing 3, transcript variant 1	2.3	3.70E-03
NM_033285	TP53INP1	Homo sapiens tumor protein p53 inducible nuclear protein 1	2.3	2.83E-03
NM_004442	EPHB2	Homo sapiens EPH receptor B2, transcript variant 2	2.3	3.26E-03
NM_012288	TRAM2	Homo sapiens translocation associated membrane protein 2	2.3	1.81E-03
NM_023004	RTN4R	Homo sapiens reticulon 4 receptor	2.3	7.23E-06
NM_018181	ZNF532	Homo sapiens zinc finger protein 532	2.3	2.37E-04
NM_153338	GGT6	Homo sapiens gamma-glutamyltransferase 6 homolog (rat)	2.3	8.78E-04
NM_145261	DNAJC19	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 19	2.3	1.22E-04
NM_019602	BTNL2	Homo sapiens butyrophilin-like 2 (MHC class II associated)	2.3	1.11E-02
NM_033388	ATG16L2	Homo sapiens ATG16 autophagy related 16-like 2 (S. cerevisiae)	2.3	1.11E-02
NM_152499	CCDC24	Homo sapiens coiled-coil domain containing 24	2.3	1.34E-03
NM_001558	IL10RA	Homo sapiens interleukin 10 receptor, alpha	2.3	1.17E-02
NM_001560	IL13RA1	Homo sapiens interleukin 13 receptor, alpha 1	2.3	3.09E-04
NM_006548	IGF2BP2	Homo sapiens insulin-like growth factor 2 mRNA binding protein 2, transcript variant 1	2.3	2.71E-03
NM_001017928	CCDC58	Homo sapiens coiled-coil domain containing 58	2.3	1.80E-03
NM_032088	PCDHGA8	Homo sapiens protocadherin gamma subfamily A, 8, transcript variant 1	2.3	3.56E-03
NM_006232	POLR2H	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide H	2.3	3.44E-04
NM_006763	BTG2	Homo sapiens BTG family, member 2	2.3	9.77E-03
NM_021652	SMA4	Homo sapiens SMA4	2.3	6.68E-03
NM_004071	CLK1	Homo sapiens CDC-like kinase 1, transcript variant 1	2.3	2.27E-04
NM_001430	EPAS1	Homo sapiens endothelial PAS domain protein 1	2.3	7.84E-05
NM_024608	NEIL1	Homo sapiens nei endonuclease VIII-like 1 (E. coli)	2.3	3.60E-03
NM_016303	WBP5	Homo sapiens WW domain binding protein 5, transcript variant 1	2.3	2.79E-05
NM_000047	ARSE	Homo sapiens arylsulfatase E (chondrodysplasia punctata 1)	2.3	2.47E-03
NM_033540	MFN1	Homo sapiens mitofusin 1, nuclear gene encoding mitochondrial protein	2.3	1.09E-03
NM_003128	SPTBN1	Homo sapiens spectrin, beta, non-erythrocytic 1, transcript variant 1	2.3	2.22E-03
NM_021038	MBNL1	Homo sapiens muscleblind-like (Drosophila), transcript variant 1	2.3	4.64E-05
NM_194247	HNRPA3	Homo sapiens heterogeneous nuclear ribonucleoprotein A3	2.3	4.10E-04
NM_003565	ULK1	Homo sapiens unc-51-like kinase 1 (C. elegans)	2.3	4.75E-03
NM_203327	SLC23A2	Homo sapiens solute carrier family 23 (nucleobase transporters), member 2, transcript variant 2	2.3	5.99E-03
NM_014869	IQSEC1	Homo sapiens IQ motif and Sec7 domain 1	2.3	6.23E-03
