Gene symbol	Parametric p-value	FDR	Geometric mean of intensities (class empty/class miR-26a )	Probe set	Description
FKBP1A	0.0013697	0.0557165	0.6788043	233530_at	FK506 binding protein 1A, 12kDa
LOC643401	0.0013717	0.0557165	0.6906384	1557765_at	hypothetical protein LOC643401
LOC647979	0.0013887	0.0560905	0.650629	1558028_x_at	hypothetical protein LOC647979
LOC728142 /// LOC730648	0.0013904	0.0560905	0.7083122	231226_at	hypothetical protein LOC728142 /// hypothetical protein LOC730648
TAF5	0.0014087	0.0566355	1.4171378	210053_at	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa
BRCA1	0.0014208	0.0569283	1.4712202	204531_s_at	breast cancer 1, early onset
MGC17330	0.0014352	0.0569991	0.7062406	221756_at	HGFL gene /// HGFL gene
EIF4E	0.0014461	0.0569991	1.828419	201436_at	eukaryotic translation initiation factor 4E
CHD9	0.0014589	0.0569991	0.7197404	229586_at	chromodomain helicase DNA binding protein 9
RFC3	0.0014589	0.0569991	1.4231784	204127_at	replication factor C (activator 1) 3, 38kDa
FZD6	0.0014611	0.0569991	0.696321	203987_at	frizzled homolog 6 (Drosophila)
LOC91431	0.0014629	0.0569991	1.5067071	228859_at	prematurely terminated mRNA decay factor-like
IFIT2	0.0014648	0.0569991	0.6539171	217502_at	interferon-induced protein with tetratricopeptide repeats 2
KIAA0286	0.0014657	0.0569991	1.4001904	212621_at	KIAA0286 protein
SPATA5	0.0014677	0.0569991	0.690902	241546_at	spermatogenesis associated 5
DAZ1 /// DAZ3 /// DAZ2 /// DAZ4	0.0014795	0.0569991	1.4539284	216351_x_at	deleted in azoospermia 1 /// deleted in azoospermia 3 /// deleted in azoospermia 2 /// deleted in azoospermia 4
LRP11	0.0014866	0.0569991	1.4011606	1561180_at	Low density lipoprotein receptor-related protein 11
ZNF346	0.0014924	0.0569991	0.7020155	232753_at	Zinc finger protein 346
	0.0014939	0.0569991	0.6842107	238389_s_at
CHORDC1	0.0014942	0.0569991	1.5163129	218566_s_at	cysteine and histidine-rich domain (CHORD)-containing 1
RAB33A	0.0014949	0.0569991	1.4636782	206039_at	RAB33A, member RAS oncogene family
USP48	0.001501	0.0570477	1.4723629	220079_s_at	ubiquitin specific peptidase 48
CDKN1A	0.0015152	0.0573492	0.7208312	202284_s_at	cyclin-dependent kinase inhibitor 1A (p21, Cip1)
C1orf112	0.0015303	0.0573492	0.7049922	231111_at	Chromosome 1 open reading frame 112
JMJD1C	0.0015343	0.0573492	0.6791818	230007_at	jumonji domain containing 1C
LOC642441 /// LOC730256 /// LOC730257	0.0015369	0.0573492	0.699865	229264_at	hypothetical LOC642441 /// hypothetical protein LOC730256 /// hypothetical protein LOC730257
RALGPS2	0.0015428	0.0573492	0.7137949	242458_at	Ral GEF with PH domain and SH3 binding motif 2
TMEM165	0.001545	0.0573492	0.6872344	227531_at	Transmembrane protein 165
KIAA1279	0.0015453	0.0573492	1.377623	212453_at	KIAA1279
PSAT1	0.0015482	0.0573492	1.421406	220892_s_at	phosphoserine aminotransferase 1
HIST1H4H	0.0015526	0.0573492	0.6432994	232035_at	histone cluster 1, H4h
ZNF655	0.0015645	0.0576087	0.6905215	1554726_at	zinc finger protein 655
OXTR	0.0015715	0.0576867	1.4146729	206825_at	oxytocin receptor
	0.0015801	0.0578016	0.7215015	228919_at
MYCBP	0.0015863	0.0578016	1.4224987	203360_s_at	c-myc binding protein
SERBP1	0.0015893	0.0578016	1.5538872	227369_at	SERPINE1 mRNA binding protein 1
ZNF567	0.0016086	0.0582252	0.6793401	242429_at	zinc finger protein 567
CFLAR	0.0016108	0.0582252	0.632442	239629_at	CASP8 and FADD-like apoptosis regulator
LCOR	0.0016241	0.0584282	0.6968646	226520_at	Ligand dependent nuclear receptor corepressor
TMPO	0.0016263	0.0584282	1.4391276	224944_at	thymopoietin
C1orf176	0.0016444	0.0586038	1.3973477	219567_s_at	chromosome 1 open reading frame 176
MEF2A	0.0016509	0.0586038	0.7122188	239571_at	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)
BRMS1L	0.0016559	0.0586038	0.707708	226580_at	breast cancer metastasis-suppressor 1-like
CLCN5	0.0016591	0.0586038	0.6666547	232127_at	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)
LOC158863	0.0016643	0.0586038	0.6384681	232179_at	Hypothetical protein LOC158863
KIAA1641	0.0016684	0.0586038	0.7223965	220940_at	KIAA1641
C18orf50	0.0016705	0.0586038	1.44188	1570552_at	chromosome 18 open reading frame 50
FBXW2	0.0016726	0.0586038	1.4352989	209630_s_at	F-box and WD-40 domain protein 2
DUSP21	0.0016854	0.0586038	1.4208672	220515_at	dual specificity phosphatase 21
	0.0016935	0.0586038	0.6825241	241853_at	Transcribed locus
TLR9	0.0016944	0.0586038	0.7042626	223903_at	toll-like receptor 9
MALAT1	0.0016958	0.0586038	0.6999232	226675_s_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
MGC29506	0.001699	0.0586038	0.7014578	223565_at	hypothetical protein MGC29506
SULT1A4	0.0017006	0.0586038	0.6667984	214712_at	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4
MR1	0.0017127	0.0588088	0.7264789	210223_s_at	major histocompatibility complex, class I-related
KIF14	0.0017165	0.0588088	1.4608431	236641_at	kinesin family member 14
E2F2	0.0017225	0.0588438	1.3828671	228361_at	E2F transcription factor 2
DTL	0.0017321	0.0590012	1.421823	222680_s_at	denticleless homolog (Drosophila)
FLJ39660	0.0017425	0.0591849	1.4809883	1553459_at	hypothetical protein FLJ39660
KIFAP3	0.0017572	0.0592503	0.7030825	233799_at	Kinesin-associated protein 3
LBA1	0.0017652	0.0592503	0.7217446	213261_at	lupus brain antigen 1
CAMSAP1	0.0017673	0.0592503	1.4617318	212710_at	calmodulin regulated spectrin-associated protein 1
ATAD2	0.001773	0.0592503	1.3870516	222740_at	ATPase family, AAA domain containing 2
SFXN1	0.0017732	0.0592503	1.4009072	218392_x_at	sideroflexin 1
VPS13C	0.0017745	0.0592503	0.6220457	232386_at	vacuolar protein sorting 13 homolog C (S. cerevisiae)
	0.0018166	0.0602492	0.7216584	235736_at	Homo sapiens, clone IMAGE:5167600, mRNA
CHD2	0.0018192	0.0602492	0.6986266	1554015_a_at	chromodomain helicase DNA binding protein 2
GLUL	0.0018272	0.0602492	0.6773437	217202_s_at	glutamate-ammonia ligase (glutamine synthetase)
NINJ2	0.0018332	0.0602492	0.7109061	228647_at	Ninjurin 2
	0.0018338	0.0602492	0.7248866	243780_at	CDNA FLJ46553 fis, clone THYMU3038879
SAPS3	0.001835	0.0602492	0.6697141	232312_at	SAPS domain family, member 3
ZDHHC20	0.0018402	0.0602525	1.4136149	225365_at	zinc finger, DHHC-type containing 20
	0.0018759	0.0611628	1.4541207	235971_at	Transcribed locus
	0.0018858	0.0611628	0.7158445	244194_at	Transcribed locus
C18orf24	0.0018874	0.0611628	1.4129427	217640_x_at	chromosome 18 open reading frame 24
N6AMT1	0.0018887	0.0611628	0.6885483	220311_at	N-6 adenine-specific DNA methyltransferase 1 (putative)
C1GALT1C1	0.0018946	0.0611863	0.6959741	219283_at	C1GALT1-specific chaperone 1
EXOSC8	0.0019023	0.0612534	1.3732518	215136_s_at	exosome component 8
TRBV21-1 /// TRBV19 /// TRBV7-2 /// TRBV5-4 /// TRBV3-1 /// TRBC1	0.0019164	0.0612534	0.611352	211796_s_at	T cell receptor beta variable 21-1 /// T cell receptor beta variable 19 /// T cell receptor beta variable 7-2 /// T cell receptor beta variable 5-4 /// T cell receptor beta variable 3-1 /// T cell receptor beta constant 1
CPOX	0.0019195	0.0612534	1.453415	204172_at	coproporphyrinogen oxidase
BBX	0.0019216	0.0612534	0.7229348	1557240_a_at	Bobby sox homolog (Drosophila)
CUTL1	0.0019262	0.0612534	0.7250294	227069_at	Cut-like 1, CCAAT displacement protein (Drosophila)
MLLT10	0.0019316	0.0612534	0.7120305	238257_at	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10
ZMAT3	0.0019341	0.0612534	0.7329104	1555609_a_at	zinc finger, matrin type 3
HLA-DQA1	0.0019474	0.0612534	0.5479401	213831_at	major histocompatibility complex, class II, DQ alpha 1
	0.0019485	0.0612534	0.6836246	243918_at	Transcribed locus
MOXD1	0.0019485	0.0612534	0.6309462	1554474_a_at	monooxygenase, DBH-like 1
CDC25A	0.0019729	0.0617329	1.3642922	1555772_a_at	cell division cycle 25 homolog A (S. cerevisiae)
SSU72	0.0019742	0.0617329	1.5068707	229329_s_at	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
SLC2A11	0.0019997	0.0623598	0.680038	1558540_s_at	solute carrier family 2 (facilitated glucose transporter), member 11
FLJ32810	0.0020048	0.0623598	0.7160539	230047_at	hypothetical protein FLJ32810
GCLM	0.0020185	0.0624361	1.3937065	203925_at	glutamate-cysteine ligase, modifier subunit
UQCRC2	0.0020229	0.0624361	0.727503	239465_at	Ubiquinol-cytochrome c reductase core protein II
	0.0020231	0.0624361	1.3598332	243049_at
C17orf58	0.0020446	0.0626399	1.3760084	226901_at	chromosome 17 open reading frame 58
MALAT1	0.0020477	0.0626399	0.694195	224567_x_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)
CHD2	0.0020504	0.0626399	0.7256322	1554014_at	chromodomain helicase DNA binding protein 2
LOC144874	0.0020519	0.0626399	1.5292534	1556021_at	hypothetical protein LOC144874
	0.0020562	0.0626399	0.72318	239830_at
PLCXD2	0.0020689	0.0628648	0.7079439	235230_at	Phosphatidylinositol-specific phospholipase C, X domain containing 2
BACE2	0.0020885	0.0632143	1.708141	217867_x_at	beta-site APP-cleaving enzyme 2
LNPEP	0.0020911	0.0632143	0.7298163	236728_at	leucyl/cystinyl aminopeptidase
C9orf123	0.0021017	0.0632191	0.6825826	224860_at	chromosome 9 open reading frame 123
C6orf106	0.0021021	0.0632191	1.3648085	217924_at	chromosome 6 open reading frame 106
STS-1	0.0021085	0.0632191	1.5151591	238587_at	Cbl-interacting protein Sts-1
ALKBH7	0.0021172	0.0632191	0.711116	223318_s_at	alkB, alkylation repair homolog 7 (E. coli)
AADACL1	0.002118	0.0632191	1.4301393	225847_at	arylacetamide deacetylase-like 1
CHN2	0.0021277	0.0633486	0.7260009	211419_s_at	chimerin (chimaerin) 2
FBXO31	0.0021567	0.0637369	1.3833125	219785_s_at	F-box protein 31
DEPDC1 /// LOC730888	0.0021611	0.0637369	1.3782252	220295_x_at	DEP domain containing 1 /// similar to DEP domain containing 1
AMPD3	0.0021611	0.0637369	0.6963842	207992_s_at	adenosine monophosphate deaminase (isoform E)
	0.0021641	0.0637369	0.5696113	244337_at	Transcribed locus
TIFA	0.0021677	0.0637369	1.3735597	238858_at	TRAF-interacting protein with a forkhead-associated domain
HELLS	0.0021881	0.064177	1.3691602	220085_at	helicase, lymphoid-specific
CENPJ	0.0022084	0.0646121	1.4702673	223513_at	centromere protein J
ITGB3BP	0.002216	0.0646744	1.3559061	205176_s_at	integrin beta 3 binding protein (beta3-endonexin)
MBNL2	0.0022517	0.0655544	0.7297491	232369_at	Muscleblind-like 2 (Drosophila)
ELP4	0.0022955	0.0666654	0.7313618	1570335_at	Elongation protein 4 homolog (S. cerevisiae)
SESN1	0.002306	0.0668062	0.7376469	236512_at	Sestrin 1
	0.0023186	0.067007	1.414916	228529_at	Transcribed locus
TncRNA	0.0023265	0.0670713	0.5457627	238320_at	trophoblast-derived noncoding RNA
	0.0023409	0.0673222	1.4021888	228987_at	Transcribed locus
INHBE	0.0023638	0.0677614	1.6431191	210587_at	inhibin, beta E
	0.0023721	0.0677614	0.7386373	1558527_at	CDNA clone IMAGE:5259766
PLD4	0.0023749	0.0677614	0.7215534	235802_at	phospholipase D family, member 4
BP75	0.0023791	0.0677614	1.3590113	221093_at	bromodomain containing protein 75 kDa pseudogene
RAD18	0.0023951	0.0679553	1.4412441	238670_at	RAD18 homolog (S. cerevisiae)
KIAA1704	0.0024105	0.0679553	1.3666116	223606_x_at	KIAA1704
KIAA1191	0.0024108	0.0679553	0.7270877	224502_s_at	KIAA1191 /// KIAA1191
KCNIP3	0.0024224	0.0679553	1.4269062	234198_at	Kv channel interacting protein 3, calsenilin
E2F8	0.002424	0.0679553	1.3724356	219990_at	E2F transcription factor 8
IFIT3	0.0024344	0.0679553	0.7212035	204747_at	interferon-induced protein with tetratricopeptide repeats 3
	0.0024347	0.0679553	0.5878244	235360_at	CDNA clone IMAGE:30408657
PQLC3	0.0024406	0.0679553	0.7380107	225579_at	PQ loop repeat containing 3
	0.0024412	0.0679553	1.5266539	229490_s_at	Transcribed locus
CASD1	0.0024434	0.0679553	0.70803	219342_at	CAS1 domain containing 1
LOC729013	0.0024759	0.0686975	0.6738491	235010_at	hypothetical protein LOC729013
KLRC3	0.002499	0.0691761	0.7009758	207723_s_at	killer cell lectin-like receptor subfamily C, member 3
SAMD9	0.0025253	0.0696939	0.5465001	228531_at	sterile alpha motif domain containing 9
IL10RA	0.0025295	0.0696939	0.7348942	204912_at	interleukin 10 receptor, alpha
NUMB	0.0025386	0.069757	0.6904252	230462_at	numb homolog (Drosophila)
CCS	0.0025494	0.069757	0.7259692	203522_at	copper chaperone for superoxide dismutase
KIAA1212	0.0025504	0.069757	0.6928007	1562648_at	KIAA1212
CTSS	0.0025615	0.069757	0.6864933	202902_s_at	cathepsin S
STIL	0.0025625	0.069757	1.3923284	205339_at	SCL/TAL1 interrupting locus
MEF2C	0.0025678	0.069757	0.7071688	244230_at	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)
FLJ20920	0.0025731	0.069757	0.7197685	218844_at	hypothetical protein FLJ20920
NASP	0.0025825	0.0698516	1.4218382	201969_at	nuclear autoantigenic sperm protein (histone-binding)
ORC6L	0.0025964	0.0700672	1.4533367	219105_x_at	origin recognition complex, subunit 6 like (yeast)
CDKN3	0.0026089	0.0702442	1.3611364	1555758_a_at	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
CASC5	0.0026269	0.0702969	1.3512237	228323_at	cancer susceptibility candidate 5
PTBP2	0.0026271	0.0702969	0.6934929	1554614_a_at	polypyrimidine tract binding protein 2
P2RY10	0.0026287	0.0702969	0.7112045	1553856_s_at	purinergic receptor P2Y, G-protein coupled, 10
C18orf54	0.0026612	0.0707234	1.6263365	241733_at	Chromosome 18 open reading frame 54
PSPC1	0.0026616	0.0707234	1.3428233	218371_s_at	paraspeckle component 1
USP53	0.0026626	0.0707234	0.7098297	216775_at	ubiquitin specific peptidase 53
	0.002672	0.0707508	0.7274557	232533_at	CDNA FLJ13334 fis, clone OVARC1001846 /// CDNA FLJ31054 fis, clone HSYRA2000706
SAMD9	0.0026756	0.0707508	0.6331365	219691_at	sterile alpha motif domain containing 9
STK39	0.0026858	0.070862	1.5040983	202786_at	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
VPS13B	0.002703	0.0710093	0.7316592	213243_at	vacuolar protein sorting 13 homolog B (yeast)
SLC41A2	0.0027034	0.0710093	0.7457011	223798_at	solute carrier family 41, member 2
LRP10	0.0027109	0.0710484	0.7445112	201412_at	low density lipoprotein receptor-related protein 10
RPS6KA2	0.0027311	0.0710992	0.6933784	212912_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2
C14orf10	0.0027326	0.0710992	1.3512979	218852_at	chromosome 14 open reading frame 10
ETNK1	0.0027337	0.0710992	0.7402566	242059_at	Ethanolamine kinase 1
C20orf74	0.0027369	0.0710992	0.7177017	239660_at	chromosome 20 open reading frame 74
C8orf13	0.0027591	0.0711101	1.3612868	226614_s_at	chromosome 8 open reading frame 13
	0.0027598	0.0711101	1.4736402	217426_at
MGC22014	0.0027609	0.0711101	1.3964816	235542_at	hypothetical protein MGC22014
TMPO	0.0027673	0.0711101	1.3802062	203432_at	thymopoietin
LOC646080	0.0027674	0.0711101	0.7401106	227576_at	Similar to Rab coupling protein isoform 1
GMDS	0.0027853	0.0713319	1.3539937	214106_s_at	GDP-mannose 4,6-dehydratase
	0.0027881	0.0713319	0.7057187	232064_at	CDNA FLJ35001 fis, clone OCBBF2011887
PBK	0.0027979	0.071428	1.339909	219148_at	PDZ binding kinase
CUGBP2	0.0028176	0.0716418	0.7193129	242268_at	CUG triplet repeat, RNA binding protein 2
LOC646080	0.0028272	0.0716418	0.742367	238918_at	Similar to Rab coupling protein isoform 1
TGDS	0.0028282	0.0716418	0.7354819	237346_at	TDP-glucose 4,6-dehydratase
DNAJB4	0.0028317	0.0716418	0.713378	203811_s_at	DnaJ (Hsp40) homolog, subfamily B, member 4
C9orf95	0.0028412	0.0716418	0.7374005	219147_s_at	chromosome 9 open reading frame 95
SF3A1	0.0028448	0.0716418	1.3874381	227516_at	splicing factor 3a, subunit 1, 120kDa
TAF5	0.0028487	0.0716418	1.3507702	1553528_a_at	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa
PILRA	0.0028572	0.071703	0.6790637	219788_at	paired immunoglobin-like type 2 receptor alpha
FEN1	0.0028851	0.0722497	1.395168	204767_s_at	flap structure-specific endonuclease 1
CASP1	0.0029239	0.0727326	0.7039775	211366_x_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
CDCA3	0.0029243	0.0727326	1.3585049	223307_at	cell division cycle associated 3
ZNF519	0.0029256	0.0727326	1.4967053	1557283_a_at	zinc finger protein 519
	0.002937	0.0727326	0.7201116	235134_at	CDNA FLJ30156 fis, clone BRACE2000487
HSPA14	0.002937	0.0727326	1.3557868	227650_at	heat shock 70kDa protein 14
ATPAF1	0.0029413	0.0727326	1.3723243	224729_s_at	ATP synthase mitochondrial F1 complex assembly factor 1
NAPE-PLD	0.0029636	0.0731116	0.7329007	238722_x_at	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
PHF11	0.002969	0.0731116	0.6795337	243788_at	PHD finger protein 11
TSPYL1	0.0029842	0.0733331	0.6970688	221493_at	TSPY-like 1
	0.0029948	0.0734379	1.3405293	227728_at	CDNA FLJ42306 fis, clone TRACH2001646
ATRX /// LOC728849	0.0030049	0.0734379	0.7411679	208859_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) /// similar to transcriptional regulator ATRX isoform 1
NDUFS4	0.0030071	0.0734379	0.7190585	1555057_at	NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
C17orf27	0.0030197	0.0735	0.7166147	225931_s_at	chromosome 17 open reading frame 27
HNRPD	0.0030237	0.0735	1.4779771	227744_s_at	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
PIGM	0.0030283	0.0735	0.661156	236622_at	phosphatidylinositol glycan anchor biosynthesis, class M
HLA-DRB1	0.0030465	0.0737787	0.5867751	236203_at	Major histocompatibility complex, class II, DR beta 1
ABAT	0.0030643	0.0737787	0.5845421	209459_s_at	4-aminobutyrate aminotransferase
	0.0030732	0.0737787	1.3902423	227349_at
IQWD1	0.0030809	0.0737787	0.7266369	235613_at	IQ motif and WD repeats 1
BRAF	0.0030839	0.0737787	0.7454031	243829_at	v-raf murine sarcoma viral oncogene homolog B1
NPTN	0.0030843	0.0737787	0.7362415	242279_at	Neuroplastin
ERICH1	0.003086	0.0737787	0.747575	229249_at	Glutamate-rich 1
EBI2	0.0030959	0.0737787	0.6889613	205419_at	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)
TSGA14	0.0031004	0.0737787	1.3573188	225485_at	testis specific, 14
ZNF519	0.0031022	0.0737787	1.453049	1564190_x_at	zinc finger protein 519
TRA2A	0.0031174	0.0739544	0.6604323	213575_at	transformer-2 alpha
HNRPD	0.0031221	0.0739544	1.3535021	221480_at	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
FLJ10038	0.0031344	0.0740972	0.715381	205511_at	hypothetical protein FLJ10038
SAMD9L	0.0031522	0.0742899	0.6435262	226603_at	sterile alpha motif domain containing 9-like
BTBD14A	0.0031627	0.0742899	0.7432846	230050_at	BTB (POZ) domain containing 14A
CHD9	0.0031671	0.0742899	0.7497437	239654_at	Chromodomain helicase DNA binding protein 9
RBM25	0.0031783	0.0742899	0.7370816	1557081_at	RNA binding motif protein 25
DEPDC1	0.0031812	0.0742899	1.3473415	222958_s_at	DEP domain containing 1
C6orf157	0.0031961	0.0742899	0.6869238	1569262_x_at	chromosome 6 open reading frame 157
CCNB1	0.0031971	0.0742899	1.3400383	214710_s_at	cyclin B1
LOC201725	0.0031979	0.0742899	1.3845716	235088_at	hypothetical protein LOC201725
TCF12	0.003201	0.0742899	0.6069254	233678_at	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
SEC22A	0.0032054	0.0742899	1.390769	238078_at	SEC22 vesicle trafficking protein homolog A (S. cerevisiae)
TGOLN2	0.0032142	0.074348	0.7298366	203833_s_at	trans-golgi network protein 2
ARPP-19	0.0032232	0.0744106	1.3634521	221482_s_at	cyclic AMP phosphoprotein, 19 kD
CXorf40A	0.0032353	0.0745443	1.3303447	228809_at	chromosome X open reading frame 40A
ZBTB1	0.0032466	0.0746592	0.7410104	1557036_at	Zinc finger and BTB domain containing 1
TAPBP	0.0032574	0.0747621	0.70928	210294_at	TAP binding protein (tapasin)
LOC400027	0.0032722	0.0749562	0.7481588	226413_at	hypothetical gene supported by BC047417
	0.0033019	0.0754339	0.7280188	236125_at	CDNA FLJ31332 fis, clone MAMGL1000096
PDCD4	0.0033072	0.0754339	0.6909478	202731_at	programmed cell death 4 (neoplastic transformation inhibitor)
LOC641522	0.0033122	0.0754339	1.3328376	1555144_at	ADP-ribosylation factor-like protein
HEATR2	0.0033201	0.0754684	1.4001583	225108_at	HEAT repeat containing 2
SPINK2	0.0033371	0.0755583	1.4595945	206310_at	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)
ZBTB10	0.0033419	0.0755583	0.7321463	222863_at	zinc finger and BTB domain containing 10
WNT3	0.0033462	0.0755583	1.4963881	229103_at	wingless-type MMTV integration site family, member 3
CLGN	0.0033544	0.0755583	1.329101	205830_at	calmegin
CXXC6	0.0033573	0.0755583	1.3354066	228906_at	CXXC finger 6
ARHGAP24	0.0033642	0.0755583	0.7037292	1566825_at	Rho GTPase activating protein 24
CARD6	0.0033688	0.0755583	0.7317354	224414_s_at	caspase recruitment domain family, member 6 /// caspase recruitment domain family, member 6
CCT8	0.0033765	0.0755876	0.7443095	210436_at	chaperonin containing TCP1, subunit 8 (theta)
LOC152485 /// TPM3	0.0034167	0.0760907	0.7243957	243617_at	Hypothetical protein LOC152485 /// Tropomyosin 3
CDK8	0.0034298	0.0760907	1.3586751	1553112_s_at	cyclin-dependent kinase 8
CALML4	0.0034325	0.0760907	1.3742269	64408_s_at	calmodulin-like 4
LOC643837	0.0034325	0.0760907	1.3337384	1557055_s_at	hypothetical protein LOC643837
GRAP	0.0034367	0.0760907	1.3598601	235102_x_at	GRB2-related adaptor protein
CCDC75	0.0034376	0.0760907	1.3261621	228495_at	Coiled-coil domain containing 75
GKAP1	0.003452	0.0762666	1.4479615	229311_at	G kinase anchoring protein 1
C6orf166	0.0034631	0.0763691	0.7011562	227368_at	Chromosome 6 open reading frame 166
NCOA1	0.0034752	0.0764531	0.7073049	243826_at	Nuclear receptor coactivator 1
OXR1	0.0034899	0.0764531	0.728176	223879_s_at	oxidation resistance 1
CENPN	0.0034909	0.0764531	1.3811386	222118_at	centromere protein N
	0.003506	0.0764531	1.3462169	242325_at
KIAA0143	0.0035068	0.0764531	0.7154165	242593_at	KIAA0143 protein
	0.0035155	0.0764531	0.748758	240574_at	CDNA clone IMAGE:5262677
MAPK13	0.0035292	0.0764531	1.3252683	210058_at	mitogen-activated protein kinase 13
	0.0035302	0.0764531	0.6909817	1566284_at	PA4=candidate oncogene {3 region} [human, HEN-16, HEN-16T transformed endocervical cell lines, mRNA Partial, 315 nt]
C3orf62	0.0035487	0.0764531	0.7373111	241817_at	chromosome 3 open reading frame 62
UBE2D3	0.0035503	0.0764531	0.7433718	240383_at	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)
ING3	0.0035588	0.0764531	0.7523629	242293_at	inhibitor of growth family, member 3
TRIM11	0.0035594	0.0764531	1.3383655	238797_at	tripartite motif-containing 11
	0.0035601	0.0764531	0.7542432	219880_at
LRCH3	0.0035661	0.0764531	0.6931592	240926_at	leucine-rich repeats and calponin homology (CH) domain containing 3
ZMAT3	0.0035681	0.0764531	0.7504482	219628_at	zinc finger, matrin type 3
XRCC4	0.0035704	0.0764531	1.3412369	205072_s_at	X-ray repair complementing defective repair in Chinese hamster cells 4
GTSE1	0.0035987	0.0768151	1.4042593	215942_s_at	G-2 and S-phase expressed 1
CSNK1A1	0.0036003	0.0768151	0.7289964	208866_at	casein kinase 1, alpha 1
PSMA3	0.0036085	0.0768321	0.6940066	241774_at	Proteasome (prosome, macropain) subunit, alpha type, 3
LNPEP	0.0036141	0.0768321	0.7136554	207904_s_at	leucyl/cystinyl aminopeptidase
CENPF	0.0036264	0.0769552	1.3582556	207828_s_at	centromere protein F, 350/400ka (mitosin)
GSTK1	0.0036467	0.0771529	0.6765627	217751_at	glutathione S-transferase kappa 1
SLC7A11	0.0036505	0.0771529	1.3490988	217678_at	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
PBLD	0.0036553	0.0771529	0.6766841	219543_at	phenazine biosynthesis-like protein domain containing
METTL4	0.0036774	0.0772128	1.3355	232194_at	methyltransferase like 4
PEX1	0.0036814	0.0772128	1.374818	242708_at	Peroxisome biogenesis factor 1
WHSC1	0.0036868	0.0772128	1.406943	222777_s_at	Wolf-Hirschhorn syndrome candidate 1
LOC153222	0.0036904	0.0772128	0.7297953	225957_at	adult retina protein
ASB7	0.0036908	0.0772128	0.7533206	233807_at	ankyrin repeat and SOCS box-containing 7
C9orf40	0.0037112	0.0775024	1.3662612	218904_s_at	chromosome 9 open reading frame 40
ARL4C	0.003732	0.0777994	1.3216844	202206_at	ADP-ribosylation factor-like 4C
FBXO43	0.0037497	0.0779478	1.4070825	236852_at	F-box protein 43
CASP1 /// COP1	0.00376	0.0779478	0.73231	1552703_s_at	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) /// caspase-1 dominant-negative inhibitor pseudo-ICE
DDX59	0.0037632	0.0779478	1.342365	228385_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
CDKN3	0.0037655	0.0779478	1.414267	209714_s_at	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
ARNTL2	0.0037805	0.0779852	1.4394258	223586_at	aryl hydrocarbon receptor nuclear translocator-like 2
BMP2K	0.0037831	0.0779852	1.383935	219546_at	BMP2 inducible kinase
UBE2H	0.0037871	0.0779852	0.7016272	222420_s_at	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)
DKFZP434A0131 /// LOC442582	0.0037999	0.0781127	0.6543578	223724_s_at	DKFZp434A0131 protein /// STAG3-like
SLC1A4	0.0038187	0.0782549	1.4634565	212811_x_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
CCDC91	0.0038261	0.0782549	0.7533494	1570571_at	Coiled-coil domain containing 91
FAM18B	0.0038283	0.0782549	0.7539322	218446_s_at	family with sequence similarity 18, member B
	0.0038333	0.0782549	1.4848424	235058_at	CDNA FLJ42803 fis, clone BRCAN2002826
PLXNC1	0.0038461	0.078267	0.7503137	206470_at	plexin C1
MORC2	0.0038535	0.078267	0.7289502	234091_at	MORC family CW-type zinc finger 2
