ID	P.Value	FC	Gene Symbol	Gene Name
202723_s_at	1.86E-04	2.0749	FOXO1A	FORKHEAD BOX O1A (RHABDOMYOSARCOMA)
212187_x_at	5.13E-05	2.0748	PTGDS	PROSTAGLANDIN D2 SYNTHASE 21KDA (BRAIN)
202484_s_at	6.78E-04	2.0747	MBD2	METHYL-CPG BINDING DOMAIN PROTEIN 2
NA	3.70E-04	2.0741	BIOB	PUTATIVE ENZYME BIOC
205988_at	1.68E-04	2.0736	CD84	CD84 ANTIGEN (LEUKOCYTE ANTIGEN)
212785_s_at	4.44E-04	2.0707	HDCMA18P	DKFZP564K112 PROTEIN
213437_at	3.53E-04	2.0646	NA	SIMILAR TO RUN AND FYVE DOMAIN-CONTAINING 2; RUN-AND FYVE-DOMAIN CONT
206171_at	3.10E-04	2.0630	ADORA3	ADENOSINE A3 RECEPTOR
205112_at	7.30E-04	2.0602	PLCE1	PHOSPHOLIPASE C, EPSILON 1
NA	2.17E-04	2.0556	BIOD	DETHIOBIOTIN SYNTHETASE
218700_s_at	2.83E-04	2.0537	RAB7L1	RAB7, MEMBER RAS ONCOGENE FAMILY-LIKE 1
209508_x_at	6.32E-05	2.0522	CFLAR	CASP8 AND FADD-LIKE APOPTOSIS REGULATOR
221747_at	7.17E-04	2.0442	TNS1	TENSIN 1
205846_at	2.79E-04	2.0403	PTPRB	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, B
209070_s_at	3.55E-04	2.0331	RGS5	REGULATOR OF G-PROTEIN SIGNALLING 5
214181_x_at	3.57E-05	2.0328	LST1	LEUKOCYTE-SPECIFIC TRANSCRIPT 1
201346_at	2.38E-04	2.0281	ADIPOR2	ADIPONECTIN RECEPTOR 2
202994_s_at	6.35E-04	2.0242	FBLN1	FIBULIN 1
213656_s_at	2.70E-04	2.0226	KNS2	KINESIN 2
214829_at	6.12E-04	2.0223	AASS	AMINOADIPATE-SEMIALDEHYDE SYNTHASE
NA	1.99E-04	2.0216	BIOC	BIOTIN SYNTHESIS, SULFUR INSERTION?
204342_at	4.01E-04	2.0179	SLC25A24	SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER; PHOSPHATE CARRIER), M...
201939_at	2.83E-05	0.1330	PLK2	POLO-LIKE KINASE 2 (DROSOPHILA)
206115_at	2.22E-06	0.1342	EGR3	EARLY GROWTH RESPONSE 3
204339_s_at	1.24E-04	0.1399	RGS4	REGULATOR OF G-PROTEIN SIGNALLING 4
206552_s_at	4.88E-04	0.1414	TAC1	TACHYKININ, PRECURSOR 1 (SUBSTANCE K, SUBSTANCE P, NEUROKININ 1, NEURO...
203999_at	4.34E-05	0.1420	SYT1	SYNAPTOTAGMIN I
220359_s_at	6.21E-05	0.1433	ARPP-21	CYCLIC AMP-REGULATED PHOSPHOPROTEIN, 21 KD
206678_at	1.63E-04	0.1443	GABRA1	GAMMA-AMINOBUTYRIC ACID (GABA) A RECEPTOR, ALPHA 1
214230_at	4.53E-05	0.1454	CDC42	CELL DIVISION CYCLE 42 (GTP BINDING PROTEIN, 25KDA)
203001_s_at	3.02E-04	0.1476	STMN2	STATHMIN-LIKE 2
201340_s_at	3.92E-04	0.1477	ENC1	ECTODERMAL-NEURAL CORTEX (WITH BTB-LIKE DOMAIN)
204035_at	1.68E-04	0.1490	SCG2	SECRETOGRANIN II (CHROMOGRANIN C)
221916_at	1.94E-04	0.1507	NEFL	NEUROFILAMENT, LIGHT POLYPEPTIDE 68KDA
204722_at	7.20E-05	0.1540	SCN3B	SODIUM CHANNEL, VOLTAGE-GATED, TYPE III, BETA
220979_s_at	4.01E-05	0.1559	ST6GALNAC 5	ST6 (ALPHA-N-ACETYL-NEURAMINYL-2,3-BETA-GALACTOSYL-1,3)-N-ACETYLGALACT...
201341_at	7.04E-05	0.1583	ENC1	ECTODERMAL-NEURAL CORTEX (WITH BTB-LIKE DOMAIN)
215303_at	1.70E-04	0.1663	DCAMKL1	DOUBLECORTIN AND CAM KINASE-LIKE 1
206290_s_at	4.13E-05	0.1677	RGS7	REGULATOR OF G-PROTEIN SIGNALLING 7
213436_at	7.96E-05	0.1686	CNR1	CANNABINOID RECEPTOR 1 (BRAIN)
206384_at	6.45E-05	0.1727	CACNG3	CALCIUM CHANNEL, VOLTAGE-DEPENDENT, GAMMA SUBUNIT 3
205110_s_at	6.30E-05	0.1738	FGF13	FIBROBLAST GROWTH FACTOR 13
214811_at	1.37E-04	0.1740	RIMBP2	RIMS BINDING PROTEIN 2
204260_at	4.14E-04	0.1750	CHGB	CHROMOGRANIN B (SECRETOGRANIN 1)
210016_at	7.02E-05	0.1754	MYT1L	MYELIN TRANSCRIPTION FACTOR 1-LIKE
221801_x_at	2.40E-04	0.1760	NEFL	NEUROFILAMENT, LIGHT POLYPEPTIDE 68KDA
215241_at	6.52E-05	0.1780	TMEM16C	TRANSMEMBRANE PROTEIN 16C
203797_at	2.43E-04	0.1794	VSNL1	VISININ-LIKE 1
219896_at	3.46E-04	0.1825	DRD1IP	DOPAMINE RECEPTOR D1 INTERACTING PROTEIN
205278_at	4.44E-04	0.1827	GAD1	GLUTAMATE DECARBOXYLASE 1 (BRAIN, 67KDA)
213808_at	2.80E-04	0.1845	ADAM23	ADAM METALLOPEPTIDASE DOMAIN 23
204230_s_at	7.64E-04	0.1847	SLC17A7	SOLUTE CARRIER FAMILY 17 (SODIUM-DEPENDENT INORGANIC PHOSPHATE COTRANS...
209755_at	6.98E-04	0.1856	NMNAT2	NICOTINAMIDE NUCLEOTIDE ADENYLYLTRANSFERASE 2
204465_s_at	2.65E-04	0.1882	INA	INTERNEXIN NEURONAL INTERMEDIATE FILAMENT PROTEIN, ALPHA
204471_at	4.59E-05	0.1893	GAP43	GROWTH ASSOCIATED PROTEIN 43
210181_s_at	3.00E-04	0.1928	CABP1	CALCIUM BINDING PROTEIN 1 (CALBRAIN)
211685_s_at	1.64E-04	0.1958	NCALD	NEUROCALCIN DELTA
206275_s_at	2.87E-04	0.1969	MICAL2	MICROTUBULE ASSOCIATED MONOXYGENASE, CALPONIN AND LIM DOMAIN CONTAININ...
211616_s_at	1.39E-04	0.1972	HTR2A	5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2A
204953_at	1.14E-04	0.1989	SNAP91	SYNAPTOSOMAL-ASSOCIATED PROTEIN, 91KDA HOMOLOG (MOUSE)
206698_at	2.81E-05	0.2016	XK	X-LINKED KX BLOOD GROUP (MCLEOD SYNDROME)
203413_at	1.27E-04	0.2017	NELL2	NEL-LIKE 2 (CHICKEN)
219855_at	4.10E-06	0.2029	NUDT11	NUDIX (NUCLEOSIDE DIPHOSPHATE LINKED MOIETY X)-TYPE MOTIF 11
207853_s_at	1.34E-04	0.2029	SNCB	SYNUCLEIN, BETA
204723_at	4.09E-05	0.2035	SCN3B	SODIUM CHANNEL, VOLTAGE-GATED, TYPE III, BETA
210232_at	8.59E-04	0.2041	CDC42	CELL DIVISION CYCLE 42 (GTP BINDING PROTEIN, 25KDA)
218625_at	2.43E-05	0.2055	NRN1	NEURITIN 1
207957_s_at	1.64E-04	0.2071	PRKCB1	PROTEIN KINASE C, BETA 1
212554_at	9.39E-05	0.2105	CAP2	CAP, ADENYLATE CYCLASE-ASSOCIATED PROTEIN, 2 (YEAST)
204869_at	1.91E-05	0.2137	PCSK2	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 2
209990_s_at	2.10E-05	0.2159	GABBR2	GAMMA-AMINOBUTYRIC ACID (GABA) B RECEPTOR, 2
214998_at	3.48E-05	0.2165	DKFZP686K1 6132	SIMILAR TO BMP2 INDUCIBLE KINASE
214945_at	3.94E-04	0.2166	NY-REN-7/NA	KIAA0752 PROTEIN
219368_at	1.18E-04	0.2170	NAP1L2	NUCLEOSOME ASSEMBLY PROTEIN 1-LIKE 2
214956_at	5.79E-04	0.2171	DKFZP686K1 6132	SIMILAR TO BMP2 INDUCIBLE KINASE
210247_at	2.98E-05	0.2172	SYN2	SYNAPSIN II
214098_at	1.40E-04	0.2175	KIAA1107	KIAA1107
210222_s_at	3.26E-04	0.2178	RTN1	RETICULON 1
219308_s_at	1.18E-04	0.2182	AK5	ADENYLATE KINASE 5
205230_at	3.56E-04	0.2196	RPH3A	RABPHILIN 3A HOMOLOG (MOUSE)
221914_at	1.50E-05	0.2201	SYN1	SYNAPSIN I
202854_at	4.18E-04	0.2226	HPRT1	HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE 1 (LESCH-NYHAN SYNDROME)
206051_at	5.51E-05	0.2239	ELAVL4	ELAV (EMBRYONIC LETHAL, ABNORMAL VISION, DROSOPHILA)-LIKE 4 (HU ANTIGE...
206731_at	2.03E-04	0.2253	CNKSR2	CONNECTOR ENHANCER OF KINASE SUPPRESSOR OF RAS 2
217077_s_at	6.71E-05	0.2254	GABBR2	GAMMA-AMINOBUTYRIC ACID (GABA) B RECEPTOR, 2
219736_at	1.64E-05	0.2267	TRIM36	TRIPARTITE MOTIF-CONTAINING 36
203159_at	3.55E-04	0.2278	GLS	GLUTAMINASE
205551_at	1.88E-05	0.2295	SV2B	SYNAPTIC VESICLE GLYCOPROTEIN 2B
219463_at	4.59E-04	0.2297	C20ORF103	CHROMOSOME 20 OPEN READING FRAME 103
213486_at	5.04E-05	0.2332	DKFZP761N0 9121/COPG2	COATOMER PROTEIN COMPLEX, SUBUNIT GAMMA 2
205489_at	6.27E-04	0.2332	CRYM	CRYSTALLIN, MU
213920_at	2.47E-04	0.2344	CUTL2	CUT-LIKE 2 (DROSOPHILA)
218404_at	1.13E-04	0.2348	SNX10	SORTING NEXIN 10
206481_s_at	6.48E-05	0.2349	LDB2	LIM DOMAIN BINDING 2
215161_at	7.89E-05	0.2355	CAMK1G	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IG
210040_at	2.93E-04	0.2373	SLC12A5	SOLUTE CARRIER FAMILY 12, (POTASSIUM-CHLORIDE TRANSPORTER) MEMBER 5
211451_s_at	1.48E-04	0.2383	KCNJ4	POTASSIUM INWARDLY-RECTIFYING CHANNEL, SUBFAMILY J, MEMBER 4
206013_s_at	4.77E-04	0.2407	ACTL6B	ACTIN-LIKE 6B
213938_at	2.88E-04	0.2409	CAST1	CAZ-ASSOCIATED STRUCTURAL PROTEIN
209372_x_at	2.48E-05	0.2416	TUBB2ATUB B2B	TUBULIN, BETA 2A AND BETA 2B
209991_x_at	2.22E-04	0.2424	GABBR2	GAMMA-AMINOBUTYRIC ACID (GABA) B RECEPTOR, 2
204675_at	3.76E-04	0.2445	SRD5A1	STEROID-5-ALPHA-REDUCTASE, ALPHA POLYPEPTIDE 1 (3-OXO-5 ALPHA-STEROID ...
213200_at	4.92E-05	0.2448	SYP	SYNAPTOPHYSIN
219619_at	1.15E-04	0.2468	DIRAS2	DIRAS FAMILY, GTP-BINDING RAS-LIKE 2
205751_at	6.85E-04	0.2481	SH3GL2	SH3-DOMAIN GRB2-LIKE 2
203889_at	6.26E-04	0.2481	SGNE1	SECRETORY GRANULE, NEUROENDOCRINE PROTEIN 1 (7B2 PROTEIN)
205635_at	2.36E-04	0.2483	KALRN	KALIRIN, RHOGEF KINASE
204364_s_at	2.55E-04	0.2487	REEP1	RECEPTOR ACCESSORY PROTEIN 1
204995_at	1.73E-04	0.2491	CDK5R1	CYCLIN-DEPENDENT KINASE 5, REGULATORY SUBUNIT 1 (P35)
204697_s_at	3.11E-05	0.2510	CHGA	CHROMOGRANIN A (PARATHYROID SECRETORY PROTEIN 1)
204540_at	1.03E-04	0.2518	EEF1A2	EUKARYOTIC TRANSLATION ELONGATION FACTOR 1 ALPHA 2
215972_at	4.04E-05	0.2518	NA	,CONSENSUS INCLUDES GB:AF070547.1 /DEF=HOMO SAPIENS CLONE 24820 MRNA S
218868_at	4.01E-05	0.2526	ACTR3B	ARP3 ACTIN-RELATED PROTEIN 3 HOMOLOG B (YEAST)
212551_at	1.61E-04	0.2528	CAP2	CAP, ADENYLATE CYCLASE-ASSOCIATED PROTEIN, 2 (YEAST)
202395_at	9.68E-04	0.2555	NSF	N-ETHYLMALEIMIDE-SENSITIVE FACTOR
205257_s_at	6.61E-04	0.2556	AMPH	AMPHIPHYSIN (STIFF-MAN SYNDROME WITH BREAST CANCER 128KDA AUTOANTIGEN)
213040_s_at	2.70E-05	0.2557	NPTXR	NEURONAL PENTRAXIN RECEPTOR
205737_at	2.18E-05	0.2563	KCNQ2	POTASSIUM VOLTAGE-GATED CHANNEL, KQT-LIKE SUBFAMILY, MEMBER 2
201387_s_at	2.40E-04	0.2580	UCHL1	UBIQUITIN CARBOXYL-TERMINAL ESTERASE L1 (UBIQUITIN THIOLESTERASE)
207135_at	1.67E-05	0.2589	HTR2A	5-HYDROXYTRYPTAMINE (SEROTONIN) RECEPTOR 2A
213435_at	3.37E-04	0.2593	SATB2	SATB FAMILY MEMBER 2
221288_at	2.81E-05	0.2606	GPR22	G PROTEIN-COUPLED RECEPTOR 22
204870_s_at	9.38E-05	0.2608	PCSK2	PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 2
209583_s_at	2.15E-04	0.2608	CD200	CD200 ANTIGEN
214874_at	1.33E-04	0.2611	PKP4	PLAKOPHILIN 4
205678_at	7.98E-05	0.2612	AP3B2	ADAPTOR-RELATED PROTEIN COMPLEX 3, BETA 2 SUBUNIT
206089_at	1.12E-04	0.2621	NELL1	NEL-LIKE 1 (CHICKEN)
209582_s_at	3.15E-04	0.2633	CD200	CD200 ANTIGEN
202508_s_at	5.46E-04	0.2642	SNAP25	SYNAPTOSOMAL-ASSOCIATED PROTEIN, 25KDA
212930_at	6.83E-05	0.2734	ATP2B1	ATPASE, CA++ TRANSPORTING, PLASMA MEMBRANE 1
205325_at	8.56E-06	0.2739	PHYHIP	PHYTANOYL-COA 2-HYDROXYLASE INTERACTING PROTEIN
204141_at	1.11E-04	0.2742	TUBB2A	TUBULIN, BETA 2A
208002_s_at	2.04E-04	0.2753	ACOT7	ACYL-COA THIOESTERASE 7
206780_at	4.11E-04	0.2754	GAD2	GLUTAMATE DECARBOXYLASE 2 (PANCREATIC ISLETS AND BRAIN, 65KDA)
209200_at	3.20E-04	0.2755	MEF2C	MADS BOX TRANSCRIPTION ENHANCER FACTOR 2, POLYPEPTIDE C (MYOCYTE ENHAN...
218332_at	1.93E-04	0.2765	BEX1	BRAIN EXPRESSED, X-LINKED 1
217128_s_at	2.41E-04	0.2767	CAMK1G	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE IG
211071_s_at	1.85E-04	0.2775	MLLT11	MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA (TRITHORAX HOMOLOG, DROSOPH...
218623_at	1.67E-04	0.2792	HMP19	HMP19 PROTEIN
208851_s_at	6.11E-05	0.2807	THY1	THY-1 CELL SURFACE ANTIGEN
205348_s_at	9.67E-04	0.2810	DYNC1I1	DYNEIN, CYTOPLASMIC 1, INTERMEDIATE CHAIN 1
204743_at	2.25E-04	0.2810	TAGLN3	TRANSGELIN 3
205352_at	7.11E-04	0.2822	SERPINI1	SERPIN PEPTIDASE INHIBITOR, CLADE I (NEUROSERPIN), MEMBER 1
204229_at	1.21E-04	0.2825	SLC17A7	SOLUTE CARRIER FAMILY 17 (SODIUM-DEPENDENT INORGANIC PHOSPHATE COTRANS...
202438_x_at	3.30E-04	0.2827	IDS	IDURONATE 2-SULFATASE (HUNTER SYNDROME)
212976_at	6.88E-05	0.2834	LRRC8B	LEUCINE RICH REPEAT CONTAINING 8 FAMILY, MEMBER B
213927_at	2.46E-04	0.2847	MAP3K9	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 9
213496_at	1.40E-04	0.2847	LPPR4	PLASTICITY RELATED GENE 1
206448_at	9.36E-04	0.2858	ZNF365	ZINC FINGER PROTEIN 365
210227_at	1.49E-05	0.2867	DLGAP2	DISCS, LARGE (DROSOPHILA) HOMOLOG-ASSOCIATED PROTEIN 2
207548_at	1.70E-06	0.2869	GRM7	GLUTAMATE RECEPTOR, METABOTROPIC 7
204945_at	7.16E-05	0.2874	PTPRN	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, N
219532_at	1.18E-04	0.2877	ELOVL4	ELONGATION OF VERY LONG CHAIN FATTY ACIDS (FEN1/ELO2, SUR4/ELO3, YEAST...
213558_at	8.85E-05	0.2880	PCLO	PICCOLO (PRESYNAPTIC CYTOMATRIX PROTEIN)
204586_at	7.60E-05	0.2881	BSN	BASSOON (PRESYNAPTIC CYTOMATRIX PROTEIN)
209598_at	1.64E-04	0.2886	PNMA2	PARANEOPLASTIC ANTIGEN MA2
215143_at	2.00E-04	0.2896	FLJ36166	HYPOTHETICAL PROTEIN FLJ36166
204081_at	2.17E-04	0.2898	NRGN	NEUROGRANIN (PROTEIN KINASE C SUBSTRATE, RC3)
202712_s_at	3.32E-04	0.2901	CKMT1A/CK MT1B	CREATINE KINASE, MITOCHONDRIAL 1B
218720_x_at	3.36E-04	0.2902	SEZ6L2	SEIZURE RELATED 6 HOMOLOG (MOUSE)-LIKE 2
205850_s_at	3.58E-04	0.2942	GABRB3	GAMMA-AMINOBUTYRIC ACID (GABA) A RECEPTOR, BETA 3
204749_at	4.18E-04	0.2951	NAP1L3	NUCLEOSOME ASSEMBLY PROTEIN 1-LIKE 3
208121_s_at	8.45E-04	0.2961	PTPRO	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, O
216963_s_at	1.94E-05	0.2961	GAP43	GROWTH ASSOCIATED PROTEIN 43
215267_s_at	2.55E-05	0.2962	SLC8A2	SOLUTE CARRIER FAMILY 8 (SODIUM-CALCIUM EXCHANGER), MEMBER 2
210781_x_at	1.22E-04	0.2965	GRIN1	GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL D-ASPARTATE 1
214120_at	1.66E-04	0.2988	RFPL1S	RET FINGER PROTEIN-LIKE 1 ANTISENSE
210650_s_at	8.40E-04	0.2995	PCLO	PICCOLO (PRESYNAPTIC CYTOMATRIX PROTEIN)
203264_s_at	2.00E-04	0.2996	ARHGEF9	CDC42 GUANINE NUCLEOTIDE EXCHANGE FACTOR (GEF) 9
219497_s_at	3.51E-04	0.3003	BCL11A	B-CELL CLL/LYMPHOMA 11A (ZINC FINGER PROTEIN)
214596_at	8.33E-05	0.3012	CHRM3	CHOLINERGIC RECEPTOR, MUSCARINIC 3
218273_s_at	2.95E-04	0.3020	PPM2C	PROTEIN PHOSPHATASE 2C, MAGNESIUM-DEPENDENT, CATALYTIC SUBUNIT
214217_at	3.10E-04	0.3026	GRM5	GLUTAMATE RECEPTOR, METABOTROPIC 5
209159_s_at	2.38E-04	0.3026	NDRG4	NDRG FAMILY MEMBER 4
201313_at	5.91E-05	0.3038	ENO2	ENOLASE 2 (GAMMA, NEURONAL)
206161_s_at	1.49E-04	0.3040	SYT5	SYNAPTOTAGMIN V
210015_s_at	7.59E-04	0.3054	MAP2	MICROTUBULE-ASSOCIATED PROTEIN 2
220030_at	3.46E-05	0.3056	STYK1	SERINE/THREONINE/TYROSINE KINASE 1
211679_x_at	2.92E-05	0.3057	GABBR2	GAMMA-AMINOBUTYRIC ACID (GABA) B RECEPTOR, 2
37566_at	2.95E-04	0.3058	KIAA1045	KIAA1045
203607_at	3.80E-04	0.3062	INPP5F	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE F
214293_at	2.08E-04	0.3064	11-Sep	SEPTIN 11
213308_at	2.68E-04	0.3078	SHANK2	SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS 2
219073_s_at	2.69E-04	0.3083	OSBPL10	HYPOTHETICAL PROTEIN FLJ20363
204506_at	5.21E-04	0.3083	PPP3R1	PROTEIN PHOSPHATASE 3 (FORMERLY 2B), REGULATORY SUBUNIT B, 19KDA, ALPH...
206773_at	4.58E-05	0.3086	LY6H	LYMPHOCYTE ANTIGEN 6 COMPLEX, LOCUS H
219937_at	5.85E-04	0.3090	TRHDE	THYROTROPIN-RELEASING HORMONE DEGRADING ENZYME
205795_at	5.16E-05	0.3092	NRXN3	NEUREXIN 3
204793_at	2.67E-04	0.3113	GPRASP1	G PROTEIN-COUPLED RECEPTOR ASSOCIATED SORTING PROTEIN 1
202154_x_at	2.62E-05	0.3133	TUBB3/MC1 R	MELANOCORTIN 1 RECEPTOR (ALPHA MELANOCYTE STIMULATING HORMONE RECEPTOR...
201962_s_at	9.27E-05	0.3133	RNF41	RING FINGER PROTEIN 41
204762_s_at	7.87E-04	0.3147	GNAO1	GUANINE NUCLEOTIDE BINDING PROTEIN (G PROTEIN), ALPHA ACTIVATING ACTIV...
208321_s_at	8.63E-05	0.3158	CABP1	CALCIUM BINDING PROTEIN 1 (CALBRAIN)
205744_at	3.30E-05	0.3159	DOC2A	DOUBLE C2-LIKE DOMAINS, ALPHA
222005_s_at	3.09E-04	0.3168	GNG3	GUANINE NUCLEOTIDE BINDING PROTEIN (G PROTEIN), GAMMA 3
219659_at	4.01E-04	0.3181	ATP8A2	ATPASE, AMINOPHOSPHOLIPID TRANSPORTER-LIKE, CLASS I, TYPE 8A, MEMBER 2
213222_at	2.75E-04	0.3183	PLCB1	PHOSPHOLIPASE C, BETA 1 (PHOSPHOINOSITIDE-SPECIFIC)
204165_at	1.54E-04	0.3201	WASF1	WAS PROTEIN FAMILY, MEMBER 1
212473_s_at	1.81E-05	0.3201	MICAL2	MICROTUBULE ASSOCIATED MONOXYGENASE, CALPONIN AND LIM DOMAIN CONTAININ...
209556_at	2.39E-05	0.3203	NCDN	NEUROCHONDRIN
220131_at	3.03E-04	0.3225	FXYD7	FXYD DOMAIN CONTAINING ION TRANSPORT REGULATOR 7
206233_at	5.12E-04	0.3226	B4GALT6	UDP-GAL:BETAGLCNAC BETA 1,4-GALACTOSYLTRANSFERASE, POLYPEPTIDE 6
205549_at	6.51E-04	0.3233	PCP4	PURKINJE CELL PROTEIN 4
204718_at	1.09E-04	0.3239	EPHB6	EPH RECEPTOR B6
213666_at	1.20E-04	0.3241	6-Sep	SEPTIN 6
208850_s_at	3.35E-04	0.3246	THY1	THY-1 CELL SURFACE ANTIGEN
206045_s_at	6.26E-06	0.3253	NOL4	NUCLEOLAR PROTEIN 4
204592_at	5.46E-05	0.3277	DLG4	DISCS, LARGE HOMOLOG 4 (DROSOPHILA)
213476_x_at	4.61E-05	0.3280	MC1R/TUBB 3	MELANOCORTIN 1 RECEPTOR (ALPHA MELANOCYTE STIMULATING HORMONE RECEPTOR...
213131_at	2.01E-04	0.3283	OLFM1	OLFACTOMEDIN 1
205531_s_at	1.08E-04	0.3284	GLS2	GLUTAMINASE 2 (LIVER, MITOCHONDRIAL)
206253_at	8.55E-04	0.3289	DLG2	DISCS, LARGE HOMOLOG 2, CHAPSYN-110 (DROSOPHILA)
205031_at	1.44E-04	0.3290	EFNB3	EPHRIN-B3
214111_at	3.28E-05	0.3295	OPCML	OPIOID BINDING PROTEIN/CELL ADHESION MOLECULE-LIKE
205948_at	1.64E-04	0.3296	PTPRT	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, T
206162_x_at	5.25E-05	0.3303	SYT5	SYNAPTOTAGMIN V
216944_s_at	5.98E-04	0.3304	ITPR1	INOSITOL 1,4,5-TRIPHOSPHATE RECEPTOR, TYPE 1
214978_s_at	4.38E-04	0.3317	PPFIA4	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE, F POLYPEPTIDE (PTPRF), IN...
52837_at	3.92E-04	0.3318	KIAA1644	KIAA1644 PROTEIN
204546_at	7.09E-05	0.3324	KIAA0513	KIAA0513
221874_at	2.13E-04	0.3325	KIAA1324	KIAA1324
206280_at	9.86E-05	0.3328	CDH18	CADHERIN 18, TYPE 2
219734_at	1.40E-05	0.3339	SIDT1	SID1 TRANSMEMBRANE FAMILY, MEMBER 1
211125_x_at	7.74E-05	0.3365	GRIN1	GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL D-ASPARTATE 1
214078_at	1.88E-04	0.3377	PAK3	P21 (CDKN1A)-ACTIVATED KINASE 3
205899_at	5.07E-04	0.3385	CCNA1	CYCLIN A1
206381_at	3.70E-04	0.3386	SCN2A2	SODIUM CHANNEL, VOLTAGE-GATED, TYPE II, ALPHA 2
213338_at	2.47E-04	0.3389	RIS1	RAS-INDUCED SENESCENCE 1
213967_at	2.03E-04	0.3396	LOC138046	HYPOTHETICAL PROTEIN LOC138046
200623_s_at	2.61E-04	0.3403	CALM1 / CALM12 / CALM13	CALMODULIN 1 (PHOSPHORYLASE KINASE, DELTA)
221727_at	1.71E-04	0.3404	SUB1/NA	SUB1 HOMOLOG (S. CEREVISIAE)
205277_at	2.12E-04	0.3408	PRDM2	PR DOMAIN CONTAINING 2, WITH ZNF DOMAIN
212990_at	1.41E-04	0.3409	SYNJ1	SYNAPTOJANIN 1
212559_at	4.66E-05	0.3418	PRKAR1B	PROTEIN KINASE, CAMP-DEPENDENT, REGULATORY, TYPE I, BETA
214044_at	3.38E-04	0.3419	RYR2	RYANODINE RECEPTOR 2 (CARDIAC)
202391_at	4.96E-05	0.3427	BASP1	BRAIN ABUNDANT, MEMBRANE ATTACHED SIGNAL PROTEIN 1
207035_at	4.90E-05	0.3452	SLC30A3	SOLUTE CARRIER FAMILY 30 (ZINC TRANSPORTER), MEMBER 3
213904_at	2.37E-05	0.3453	NA	,CONSENSUS INCLUDES GB:AL390170.1 /DEF=HOMO SAPIENS MRNA; CDNA DKFZP54
219461_at	1.81E-04	0.3454	PAK6	P21(CDKN1A)-ACTIVATED KINASE 6
205268_s_at	8.96E-04	0.3459	ADD2	ADDUCIN 2 (BETA)
219877_at	7.10E-05	0.3477	ZMAT4	ZINC FINGER, MATRIN TYPE 4
59697_at	5.56E-05	0.3488	RAB15	RAB15, MEMBER RAS ONOCOGENE FAMILY
220999_s_at	1.60E-04	0.3491	CYFIP2	CYTOPLASMIC FMR1 INTERACTING PROTEIN 2
213869_x_at	7.20E-05	0.3495	THY1	THY-1 CELL SURFACE ANTIGEN
204467_s_at	1.06E-04	0.3500	SNCA	SYNUCLEIN, ALPHA (NON A4 COMPONENT OF AMYLOID PRECURSOR)
214376_at	1.95E-04	0.3504	NA	,CONSENSUS INCLUDES GB:AI263044 /FEA=EST /DB_XREF=GI:3871247 /DB_XREF=
203069_at	1.31E-04	0.3504	SV2A	SYNAPTIC VESICLE GLYCOPROTEIN 2A
203110_at	1.20E-05	0.3508	PTK2B	PTK2B PROTEIN TYROSINE KINASE 2 BETA
212624_s_at	2.38E-04	0.3510	CHN1	CHIMERIN (CHIMAERIN) 1
219032_x_at	1.21E-04	0.3513	OPN3	OPSIN 3 (ENCEPHALOPSIN, PANOPSIN)
205454_at	7.46E-05	0.3518	HPCA	HIPPOCALCIN
214285_at	3.59E-04	0.3521	FABP3	FATTY ACID BINDING PROTEIN 3, MUSCLE AND HEART (MAMMARY-DERIVED GROWTH...
217979_at	4.64E-04	0.3523	TSPAN13	TETRASPANIN 13
211597_s_at	4.27E-06	0.3529	HOP	HOMEODOMAIN-ONLY PROTEIN
209683_at	1.52E-04	0.3536	FAM49A	FAMILY WITH SEQUENCE SIMILARITY 49, MEMBER A
212751_at	6.89E-05	0.3544	UBE2N	UBIQUITIN-CONJUGATING ENZYME E2N (UBC13 HOMOLOG, YEAST)
204679_at	1.53E-04	0.3552	KCNK1	POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 1
202206_at	3.63E-04	0.3554	ARL4C	ADP-RIBOSYLATION FACTOR-LIKE 4C
214772_at	6.82E-04	0.3566	C11ORF41	CHROMOSOME 11 OPEN READING FRAME 41
220246_at	4.54E-04	0.3567	CAMK1D	CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE ID
