Probeset ID	Gene symbol	Description	FC (log2ratio)	Function
212667_at	SPARC	SPARC precursor (Secreted protein acidic and rich in cysteine)	-1.31	signal transduction
201288_at	ARHGDIB	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Rho-GDI beta)	-1.28	signal transduction
205204_at	NMB	Neuromedin B-32 precursor	-1.28	signal transduction
204081_at	NRGN	Neurogranin (Ng) (RC3).	-1.27	signal transduction
204479_at	OSTF1	Osteoclast-stimulating factor 1.	-1.21	signal transduction
201080_at	PIP5K2B	Phosphatidylinositol-4-phosphate 5-kinase type II beta	-1.2	signal transduction
203081_at	CTNNBIP1	Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf- 4).	-1.19	signal transduction
213618_at	CENTD1	Centaurin-delta 1 (Cnt-d1)	-1.19	signal transduction
222294_s_at	RAB27A	Ras-related protein Rab-27A (Rab-27)	-1.16	signal transduction
210904_s_at	IL13RA1	Interleukin-13 receptor alpha-1 chain precursor	-1.16	signal transduction
219538_at	WDR5B	WD repeat domain 5B	-1.16	signal transduction
218858_at	DEPDC6	DEP domain containing 6	-1.14	signal transduction
205805_s_at	ROR1	Tyrosine-protein kinase transmembrane receptor ROR1 precursor	-1.09	signal transduction
208091_s_at	ECOP	EGFR-coamplified and overexpressed protein	-1.06	signal transduction
219749_at	SH2D4A	SH2 domain containing 4A	-1.06	signal transduction
211121_s_at	DOK1	Docking protein 1 (Downstream of tyrosine kinase 1)	-1.03	signal transduction
202286_s_at	TACSTD2	Tumor-associated calcium signal transducer 2 precursor (Pancreatic carcinoma marker protein GA733-1)	-1.01	signal transduction
209336_at	PWP2H	Periodic tryptophan protein 2 homolog.	-1	signal transduction
201341_at	ENC1	Ectoderm-neural cortex 1 protein (ENC-1) (p53-induced protein 10) (Nuclear matrix protein NRP/B)	-3.49	development/differentiation/growth
220407_s_at	TGFB2	Transforming growth factor beta-2 precursor (TGF-beta-2) (Glioblastoma-derived T-cell suppressor factor)	-3.35	development/differentiation/growth
211959_at	IGFBP5	Insulin-like growth factor binding protein 5 precursor	-2.69	development/differentiation/growth
206382_s_at	BDNF	Brain-derived neurotrophic factor precursor (BDNF).	-2.34	development/differentiation/growth
213030_s_at	PLXNA2	plexin A2	-2.23	development/differentiation/growth
202765_s_at	FBN1	Fibrillin-1 precursor.	-2.1	development/differentiation/growth
203148_s_at	TRIM14	Tripartite motif protein 14.	-2	development/differentiation/growth
205258_at	INHBB	Inhibin beta B chain precursor (Activin beta-B chain).	-1.79	development/differentiation/growth
201058_s_at	MYL9	Myosin regulatory light chain 2, smooth muscle isoform (Myosin RLC)	-1.38	development/differentiation/growth
203243_s_at	PDLIM5	PDZ and LIM domain protein 5 (Enigma homolog)	-1.36	development/differentiation/growth
207390_s_at	SMTN	Smoothelin.	-1.3	development/differentiation/growth
205547_s_at	TAGLN	Transgelin (Smooth muscle protein 22-alpha)	-1.27	development/differentiation/growth
205283_at	FCMD	Fukutin  (Fukuyama-type congenital muscular dystrophy protein).	-1.22	development/differentiation/growth
207559_s_at	ZMYM3	Zinc finger protein 261 (Zinc finger MYM-type protein 3)	-1.19	development/differentiation/growth
209344_at	TPM4	Tropomyosin alpha-4 chain (Tropomyosin-4) (TM30p1).	-1.19	development/differentiation/growth
219330_at	VANGL1	Vang-like protein 1 (Van Gogh-like protein 1)	-1.16	development/differentiation/growth
203152_at	MRPL40	39S ribosomal protein L40, mitochondrial precursor	-1.1	development/differentiation/growth
202551_s_at	CRIM1	Cysteine-rich motor neuron 1 protein precursor (CRIM-1)	-1.09	development/differentiation/growth
209486_at	SAS10_HUMAN	Something about silencing protein 10 (Disrupter of silencing SAS10)	-1	development/differentiation/growth
213019_at	RANBP6	Ran-binding protein 6 (RanBP6).	-2.89	transport
205196_s_at	AP1S1	Adapter-related protein complex 1 sigma 1A subunit (Sigma-adaptin 1A)	-2.66	transport
204823_at	NAV3	neuron navigator 3	-2.32	transport
205097_at	SLC26A2	Sulfate transporter (Diastrophic dysplasia protein)	-2.05	transport
203980_at	FABP4	Fatty acid-binding protein, adipocyte (AFABP)	-1.94	transport
219869_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	-1.82	transport
220559_at	EN1	Homeobox protein engrailed-1 (Hu-En-1).	-1.81	transport
206504_at	CYP24A1	Cytochrome P450 24A1, mitochondrial precursor	-1.79	transport
212361_s_at	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2)	-1.78	transport
219545_at	KCTD14	Potassium channel tetramerisation domain containing protein 14.	-1.75	transport
201051_at	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A)	-1.58	transport
208972_s_at	ATP5G1	ATP synthase lipid-binding protein, mitochondrial precursor	-1.56	transport
218357_s_at	TIMM8B	Mitochondrial import inner membrane translocase subunit TIM8 B	-1.5	transport
204087_s_at	SLC5A6	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter).	-1.46	transport
209627_s_at	OSBPL3	Oxysterol binding protein-related protein 3	-1.46	transport
217289_s_at	SLC37A4	Glucose-6-phosphate translocase (Glucose-5-phosphate transporter)	-1.42	transport
209871_s_at	APBA2	Amyloid beta A4 precursor protein-binding family A member 2	-1.42	transport
205217_at	TIMM8A	Mitochondrial import inner membrane translocase subunit TIM8 A	-1.4	transport
203410_at	AP3M2	Adapter-related protein complex 3 mu 2 subunit	-1.32	transport
204477_at	RABIF	Guanine nucleotide exchange factor MSS4 (Rab-interacting factor).	-1.32	transport
207057_at	SLC16A7	Monocarboxylate transporter 2 (MCT 2).	-1.29	transport
221932_s_at	GLRX5	Glutaredoxin-related protein 5.	-1.28	transport
203658_at	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	-1.27	transport
218408_at	TIMM10	Mitochondrial import inner membrane translocase subunit TIM10.	-1.26	transport
213587_s_at	ATP6V0E2L	ATPase, H+ transporting, V0 subunit	-1.25	transport
209366_x_at	CYB5	Cytochrome b5.	-1.24	transport
212161_at	AP2A2	Adapter-related protein complex 2 alpha 2 subunit (Alpha-adaptin C)	-1.21	transport
209003_at	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP)	-1.19	transport
202368_s_at	TRAM2	Translocation associated membrane protein 2.	-1.17	transport
210692_s_at	SLC43A3	solute carrier family 43, member 3	-1.16	transport
203340_s_at	SLC25A12	Calcium-binding mitochondrial carrier protein Aralar1	-1.15	transport
202839_s_at	NDUFB7	NADH-ubiquinone oxidoreductase B18 subunit (Cell adhesion protein SQM1).	-1.14	transport
212625_at	STX10	Syntaxin-10	-1.14	transport
202942_at	ETFB	Electron transfer flavoprotein beta-subunit (Beta-ETF).	-1.13	transport
206284_x_at	CLTB	Clathrin light chain B (Lcb).	-1.12	transport
218211_s_at	MLPH	Melanophilin (Exophilin-3) (Synaptotagmin-like protein 2a)	-1.1	transport
219868_s_at	ANKFY1	Ankyrin repeat and FYVE domain protein 1	-1.1	transport
208998_at	UCP2	Mitochondrial uncoupling protein 2 (UCP 2) (UCPH).	-1.08	transport
209078_s_at	TXN2	thioredoxin 2	-1.07	transport
204690_at	STX8	Syntaxin-8.	-1.06	transport
200011_s_at	ARF3	ADP-ribosylation factor 3.	-1.05	transport
218190_s_at	UCRC	ubiquinol-cytochrome c reductase complex 7.2kDa protein isoform b	-1.05	transport
205094_at	PEX12	Peroxisome assembly protein 12 (Peroxin-12)	-1.04	transport
200900_s_at	M6PR	Cation-dependent mannose-6-phosphate receptor precursor (CD Man-6-P receptor)	-1.04	transport
204788_s_at	PPOX	Protoporphyrinogen oxidase	-1.04	transport
202785_at	NDUFA7	NADH-ubiquinone oxidoreductase subunit B14.5a	-1.04	transport
219575_s_at	COG8	Peptide deformylase, mitochondrial precursor	-1.04	transport
221487_s_at	ENSA	Alpha-endosulfine.	-1.04	transport
201580_s_at	TXNDC13	Thioredoxin domain-containing protein 13 precursor.	-1.03	transport
203682_s_at	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial precursor	-1.03	transport
203606_at	NDUFS6	NADH-ubiquinone oxidoreductase 13 kDa-A subunit, mitochondrial precursor	-1.02	transport
209389_x_at	DBI	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor)	-1.01	transport
214830_at	SLC38A6	N system amino acid transporter NAT-1	-1	transport
219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	-1	transport
203626_s_at	SKP2	S-phase kinase-associated protein 2 (F-box protein Skp2) (Cyclin A/CDK2-associated protein p45)	-3.71	cell cycle/proliferation
211792_s_at	CDKN2C	Cyclin-dependent kinase 6 inhibitor (Cyclin-dependent kinase 4 inhibitor C)	-2.54	cell cycle/proliferation
204827_s_at	CCNF	G2/mitotic-specific cyclin-F.	-2.54	cell cycle/proliferation
205677_s_at	DLEU1	Leukemia associated protein 1 (Deleted in lymphocytic leukemia 1).	-2.22	cell cycle/proliferation
213523_at	CCNE1	G1/S-specific cyclin-E1.	-2.14	cell cycle/proliferation
204200_s_at	PDGFB	Platelet-derived growth factor B chain precursor (Platelet-derived growth factor beta polypeptide) (PDGF-2)	-1.78	cell cycle/proliferation
208711_s_at	CCND1	G1/S-specific cyclin-D1 (PRAD1 oncogene) (BCL-1 oncogene).	-1.71	cell cycle/proliferation
210559_s_at	CDC2	Cell division control protein 2 homolog	-1.58	cell cycle/proliferation
203418_at	CCNA2	Cyclin-A2 (Cyclin-A).	-1.57	cell cycle/proliferation
212020_s_at	MKI67	Antigen KI-67.	-1.57	cell cycle/proliferation
201700_at	CCND3	G1/S-specific cyclin-D3.	-1.55	cell cycle/proliferation
204510_at	CDC7	Cell division cycle 7-related protein kinase	-1.55	cell cycle/proliferation
211017_s_at	NF2	Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2)	-1.49	cell cycle/proliferation
216862_s_at	MTCP1	P8 MTCP-1 protein (Mature T-cell proliferation-1 type A)	-1.38	cell cycle/proliferation
204247_s_at	CDK5	Cell division protein kinase 5 (Tau protein kinase II catalytic subunit)	-1.34	cell cycle/proliferation
203270_at	DTYMK	Thymidylate kinase	-1.28	cell cycle/proliferation
215731_s_at	MPHOSPH9	M-phase phosphoprotein 9.	-1.28	cell cycle/proliferation
208944_at	TGFBR2	TGF-beta receptor type II precursor (TGF-beta type II receptor).	-1.21	cell cycle/proliferation
209083_at	CORO1A	Coronin-1A (Coronin-like protein p57)	-1.2	cell cycle/proliferation
209714_s_at	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2- associated dual specificity phosphatase)	-1.2	cell cycle/proliferation
222199_s_at	BIN3	Bridging integrator 3.	-1.19	cell cycle/proliferation
203272_s_at	TUSC2	Tumor suppressor candidate 2 (PDGFA-associated protein 2)	-1.17	cell cycle/proliferation
209464_at	AURKB	Serine/threonine-protein kinase 12 (Aurora- and Ipl1- like midbody-associated protein 1)	-1.15	cell cycle/proliferation
204238_s_at	RCL_HUMAN	c-Myc-responsive protein Rcl.	-1.12	cell cycle/proliferation
215509_s_at	BUB1	Mitotic checkpoint serine/threonine-protein kinase BUB1	-1.12	cell cycle/proliferation
217721_at	7-Sep	Septin-7 (CDC10 protein homolog).	-1.11	cell cycle/proliferation
205245_at	PARD6A	Partitioning defective 6 homolog alpha (PAR-6 alpha)	-1.06	cell cycle/proliferation
203114_at	SSSCA1	Sjogrens syndrome/scleroderma autoantigen 1 (Autoantigen p27).	-1.04	cell cycle/proliferation
208079_s_at	STK6	Serine/threonine-protein kinase 6	-1.03	cell cycle/proliferation
211080_s_at	NEK2	Serine/threonine-protein kinase Nek2	-1.02	cell cycle/proliferation
213005_s_at	ANKRD15	Ankyrin repeat domain protein 15 (Kidney ankyrin repeat-containing protein).	-1.01	cell cycle/proliferation
202658_at	PEX11B	Peroxisomal membrane protein 11B	-2.24	cell organization and biogenesis
209567_at	RRS1	Ribosome biogenesis regulatory protein homolog.	-1.87	cell organization and biogenesis
219306_at	KIF15	kinesin family member 15	-1.65	cell organization and biogenesis
205436_s_at	H2AFX	Histone H2A.x	-1.61	cell organization and biogenesis
206554_x_at	SETMAR	SET domain and mariner transposase fusion gene	-1.45	cell organization and biogenesis
209286_at	CDC42EP3	Cdc42 effector protein 3 (Binder of Rho GTPases 2)	-1.42	cell organization and biogenesis
203274_at	F8A1	coagulation factor VIII-associated (intronic transcript) 3 (F8A3), mRNA	-1.3	cell organization and biogenesis
218755_at	KIF20A	Kinesin family member 20A (Rabkinesin-6)	-1.29	cell organization and biogenesis
220386_s_at	EML4	Echinoderm microtubule-associated protein-like 4	-1.23	cell organization and biogenesis
201605_x_at	CNN2	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin).	-1.19	cell organization and biogenesis
201616_s_at	CALD1	Caldesmon (CDM).	-1.18	cell organization and biogenesis
202326_at	EHMT2	Histone-lysine N-methyltransferase, H3 lysine-9 specific 3	-1.12	cell organization and biogenesis
209680_s_at	KIFC1	Kinesin-like protein KIFC1	-1.1	cell organization and biogenesis
212320_at	TUBB	Tubulin beta-2 chain.	-1.07	cell organization and biogenesis
218530_at	FHOD1	FH1/FH2 domain-containing protein (Formin homolog overexpressed in spleen)	-1.02	cell organization and biogenesis
211966_at	COL4A2	Collagen, type IV, alpha 2 (Fragment).	-1.28	extracellular matrix organization and biogenesis
211981_at	COL4A1	Collagen alpha-1(IV) chain precursor.	-1.12	extracellular matrix organization and biogenesis
201628_s_at	RRAGA	Ras-related GTP binding A	-1.01	cell death
205681_at	BCL2A1	Bcl-2-related protein A1 (BFL-1 protein) (Hemopoietic-specific early response protein)	-3.31	apoptosis
203685_at	BCL2	Apoptosis regulator Bcl-2.	-2.26	apoptosis
211573_x_at	TGM2	Protein-glutamine gamma-glutamyltransferase 2	-2.3	apoptosis
207075_at	CIAS1	Cold autoinflammatory syndrome 1 protein (Cryopyrin)	-2	apoptosis
211704_s_at	SPIN2	Spindlin-like protein 2	-1.83	apoptosis
205345_at	BARD1	BRCA1-associated RING domain protein 1	-1.61	apoptosis
204862_s_at	NME3	Nucleoside diphosphate kinase 3	-1.6	apoptosis
202984_s_at	BAG5	BAG family molecular chaperone regulator 5 (BCL2-associated athanogene 5)	-1.51	apoptosis
37384_at	PPM1F	Ca(2+)/calmodulin-dependent protein kinase phosphatase	-1.42	apoptosis
221666_s_at	PYCARD	Apoptosis-associated speck-like protein containing a CARD (hASC)	-1.41	apoptosis
210026_s_at	CARD10	Caspase recruitment domain protein 10 (CARD-containing MAGUK protein 3)	-1.38	apoptosis
202094_at	BIRC5	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor survivin)	-1.37	apoptosis
206752_s_at	DFFB	DNA fragmentation factor 40 kDa subunit (Caspase-activated deoxyribonuclease)	-1.28	apoptosis
211862_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator precursor (Cellular FLICE-like inhibitory protein) (c-FLIP)	-1.25	apoptosis
212367_at	FEM1B	fem-1 homolog b	-1.15	apoptosis
212312_at	BCL2L1	Apoptosis regulator Bcl-X (Bcl-2-like 1 protein).	-1.14	apoptosis
204278_s_at	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells (Cancer associated surface antigen RCAS1)	-1.02	apoptosis
218995_s_at	EDN1	Endothelin-1 precursor (Preproendothelin-1) (PPET1)	-3.81	cell communication/cell-cell signaling
205014_at	FGFBP1	fibroblast growth factor binding protein 1	-1.8	cell communication/cell-cell signaling
206814_at	NGFB	Beta-nerve growth factor precursor (Beta-NGF).	-1.28	cell communication/cell-cell signaling
209098_s_at	JAG1	Jagged-1 precursor (Jagged1) (hJ1) (CD339 antigen).	-1.05	cell communication/cell-cell signaling
205534_at	PCDH7	Protocadherin 7 precursor (Brain-heart protocadherin) (BH-Pcdh).	-2.95	cell adhesion
203779_s_at	EVA1	Epithelial V-like antigen 1 precursor.	-2.77	cell adhesion
201108_s_at	THBS1	Thrombospondin-1 precursor.	-2.49	cell adhesion
211573_x_at	TGM2	Protein-glutamine gamma-glutamyltransferase 2 (Tissue transglutaminase)	-2.3	cell adhesion
206908_s_at	CLDN11	Claudin-11 (Oligodendrocyte-specific protein).	-2.04	cell adhesion
210764_s_at	CYR61	CYR61 protein precursor (Cysteine-rich, angiogenic inducer, 61)	-2.01	cell adhesion
202997_s_at	LOXL2	Lysyl oxidase homolog 2 precursor	-1.91	cell adhesion
204627_s_at	ITGB3	Integrin beta-3 precursor (Platelet membrane glycoprotein IIIa)	-1.78	cell adhesion
209101_at	CTGF	Connective tissue growth factor precursor (Hypertrophic chondrocyte- specific protein 24).	-1.49	cell adhesion
201506_at	TGFBI	Transforming growth factor-beta-induced protein ig-h3 precursor	-1.45	cell adhesion
204949_at	ICAM3	Intercellular adhesion molecule 3 precursor (ICAM-3) (ICAM-R) (CDw50) (CD50 antigen).	-1.42	cell adhesion
214702_at	FN1	Fibronectin precursor (FN) (Cold-insoluble globulin) (CIG).	-1.27	cell adhesion
209356_x_at	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2 precursor	-1.27	cell adhesion
60474_at	URP1_HUMAN	Unc-112-related protein 1 (Kindlin-1) (Kindlerin)	-1.21	cell adhesion
202637_s_at	ICAM1	Intercellular adhesion molecule 1 precursor (ICAM-1) (Major group rhinovirus receptor) (CD54 antigen)	-1.18	cell adhesion
221731_x_at	CSPG2	Versican core protein precursor (Large fibroblast proteoglycan)	-1.17	cell adhesion
200931_s_at	VCL	Vinculin (Metavinculin).	-1.16	cell adhesion
208024_s_at	DGCR6	DGCR6 protein (DiGeorge syndrome critical region 6).	-1.16	cell adhesion
201927_s_at	PKP4	Plakophilin-4 (p0071). [Source:Uniprot/SWISSPROT;Acc:Q99569]	-1.16	cell adhesion
215836_s_at	PCDHGA8	Protocadherin gamma C3 precursor (PCDH-gamma-C3) (Protocadherin 43)	-1.15	cell adhesion
202008_s_at	NID1	Nidogen precursor (Entactin).	-1.1	cell adhesion
203019_x_at	SSX2IP	Afadin- and alpha-actinin-binding protein (SSX2-interacting protein).	-1.08	cell adhesion
209114_at	TSPAN1	Tetraspanin-1 (Tspan-1) (Tetraspan NET-1) (Tetraspanin TM4-C).	-1.04	cell adhesion
201310_s_at	NP311_HUMAN	Neuronal protein 3.1 (p311 protein).	-3.24	others
219010_at		NA	-2.85	others
221787_at		NA	-2.54	others
206170_at	Q13715_HUMAN	NA	-2.49	others
221011_s_at		NA	-2.43	others
203002_at	AMOTL2	Angiomotin-like protein 2 (Leman coiled-coil protein) (LCCP).	-2.39	others
219522_at		four jointed box 1 (Drosophila) (FJX1), mRNA	-2.38	others
220770_s_at		transposon-derived Buster3 transposase-like	-2.36	others
218953_s_at		NA	-2.33	others
204012_s_at	LCMT2	Leucine carboxyl methyltransferase 2 (p21WAF1/CIP1 promoter-interacting protein).	-2.22	others
221436_s_at	CDCA3	trigger of mitotic entry 1	-2.17	others
212791_at		NA	-2.17	others
212573_at	K0830_HUMAN	Probable endonuclease KIAA0830 precursor	-2.16	others
204222_s_at	GLIPR1	Glioma pathogenesis-related protein 1 precursor (RTVP-1 protein).	-2.12	others
212500_at	CJ022_HUMAN	NA	-2.11	others
218904_s_at	CI040_HUMAN	NA	-1.99	others
221912_s_at	CCDC28B	coiled-coil domain containing 28B	-1.97	others
221818_at	KIAA1698	NA	-1.96	others
221573_at		NA	-1.9	others
201896_s_at		p53-regulated DDA3 isoform a	-1.89	others
203941_at		integrator complex subunit 9	-1.87	others
219120_at		NA	-1.85	others
219428_s_at	PXMP4	Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein).	-1.82	others
212109_at	CRAMP1L	Hematological and neurological expressed 1-like protein (HN1-like protein).	-1.8	others
212858_at	PAQR4	Progestin and adipoQ receptor family member IV.	-1.78	others
218897_at		NA	-1.78	others
219299_at	TRMT12	homolog of yeast tRNA methyltransferase	-1.76	others
216048_s_at	RHOBTB3	Rho-related BTB domain-containing protein 3.	-1.73	others
203276_at	LMNB1	Lamin B1.	-1.73	others
212909_at	LYPD1	LY6/PLAUR domain containing 1	-1.72	others
212407_at	KIAA0859	NA	-1.72	others
212880_at	WDR7	WD-repeat protein 7 (TGF-beta resistance-associated protein TRAG)	-1.71	others
220183_s_at	NUDT6	Nucleoside diphosphate-linked moiety X motif 6 (Antisense basic fibroblast growth factor).	-1.67	others
213246_at	CN109_HUMAN	NA	-1.67	others
220934_s_at	Q8WUC5_HUMAN	MGC3196 protein (Fragment).	-1.66	others
213528_at		NA	-1.66	others
221096_s_at		NA	-1.66	others
216074_x_at		KIBRA protein	-1.63	others
214772_at	Q12914_HUMAN	G2 (Fragment).	-1.63	others
201421_s_at	WDR77	Methylosome protein 50 (MEP50 protein) (WD-repeat protein 77).	-1.61	others
212154_at	SDC2	Syndecan-2 precursor (Fibroglycan) (Heparan sulfate proteoglycan core protein)	-1.56	others
217645_at	CN112_HUMAN	Protein C14orf112 precursor.	-1.56	others
212796_s_at	TBC1D2B	NA	-1.56	others
216309_x_at	Q8TB58_HUMAN	NA	-1.54	others
203323_at	CAV2	Caveolin-2.	-1.53	others
209445_x_at		NA	-1.53	others
203799_at	CD302	CD302 antigen	-1.52	others
213454_at	APITD1	Cortistatin precursor [Contains: Cortistatin-29; Cortistatin-17].	-1.52	others
218789_s_at		NA	-1.52	others
213227_at	PGRMC2	Membrane associated progesterone receptor component 2 (Progesterone membrane binding protein)	-1.5	others
220466_at	CCDC15	coiled-coil domain containing 15	-1.5	others
221135_s_at	ASTE1	NA	-1.5	others
221843_s_at		NA	-1.48	others
205449_at	SAC3D1	SAC3 domain containing 1	-1.47	others
218403_at	15E1_HUMAN	UPF0203 protein 15E1.1.	-1.47	others
201906_s_at	CTDSPL	CTD small phosphatase-like protein (Small C-terminal domain phosphatase 3)	-1.46	others
202444_s_at	SPFH1	SPFH domain protein 1 precursor (Protein KE04).	-1.45	others
212256_at	GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10	-1.45	others
218342_s_at	KIAA1815	NA	-1.45	others
221909_at		NA	-1.45	others
209836_x_at	BOLA2	BolA-like protein 2.	-1.43	others
213152_s_at	NM_032102.1	Splicing factor, arginine/serine-rich, 46kD (SRP46), mRNA	-1.43	others
218517_at	PHF17	Jade1 protein long isoform	-1.43	others
218587_s_at		NA	-1.42	others
218992_at	CI046_HUMAN	NA	-1.42	others
209373_at	MALL	MAL-like protein (Protein BENE).	-1.41	others
214051_at	TMSL8	NB thymosin beta (Thymosin-like protein 8).	-1.41	others
218399_s_at	CDCA4	Cell division cycle-associated protein 4 (Hematopoietic progenitor protein).	-1.41	others
218060_s_at		NA	-1.41	others
210868_s_at	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids	-1.4	others
218480_at		NA	-1.4	others
65585_at	Q96HX9_HUMAN	NA	-1.4	others
201969_at	NASP	Nuclear autoantigenic sperm protein (NASP).	-1.39	others
218563_at	NDUFA3	NADH-ubiquinone oxidoreductase B9 subunit	-1.39	others
202796_at	SYNPO	Synaptopodin.	-1.38	others
204488_at	TMEM15	Transmembrane protein 15.	-1.38	others
218734_at		NA	-1.38	others
201720_s_at	LAPTM5	Lysosomal-associated multitransmembrane protein (Retinoic acid- inducible E3 protein)	-1.36	others
219271_at	GALNT14	Polypeptide N-acetylgalactosaminyltransferase 14	-1.36	others
217992_s_at	EFHD2	EF-hand domain-containing protein 2 (Swiprosin-1).	-1.34	others
219219_at		NA	-1.34	others
220014_at		mesenchymal stem cell protein DSC54	-1.33	others
209001_s_at	ANAPC13	anaphase promoting complex subunit 13	-1.32	others
209031_at	IGSF4	immunoglobulin superfamily, member 4	-1.32	others
211767_at		SLD5	-1.32	others
219156_at	SYNJ2BP	Synaptojanin 2 binding protein (Mitochondrial outer membrane protein 25).	-1.32	others
219843_at	Q5RGR8_HUMAN	Intracisternal A particle-promoted polypeptide (Fragment).	-1.32	others
202238_s_at	NNMT	Nicotinamide N-methyltransferase	-1.3	others
204386_s_at	MRP63	mitochondrial ribosomal protein 63	-1.3	others
219997_s_at	COPS7B	COP9 signalosome complex subunit 7b (JAB1-containing signalosome subunit 7b).	-1.3	others
218597_s_at	CJ070_HUMAN	NA	-1.3	others
206593_s_at	SURF5	Surfeit locus protein 5.	-1.29	others
208832_at	ATXN10	Ataxin-10 (Spinocerebellar ataxia type 10 protein)	-1.29	others
213727_x_at	MPPE1	metallophosphoesterase 1 isoform b precursor	-1.29	others
212005_at		putative MAPK activating protein PM20,PM21	-1.29	others
218795_at	ACP6	Lysophosphatidic acid phosphatase type 6 precursor	-1.29	others
220085_at		helicase, lymphoid-specific	-1.29	others
201843_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1 precursor (Fibulin-3)	-1.27	others
202440_s_at	ST5	suppression of tumorigenicity 5 isoform 2	-1.26	others
214804_at	FSHPRH1	Follicle-stimulating hormone primary response protein	-1.26	others
218935_at	EHD3	EH-domain containing protein 3.	-1.26	others
203259_s_at	HDDC2	HDDC2 protein (Fragment).	-1.25	others
206448_at	ZNF365	Talanin.	-1.25	others
213508_at	CN147_HUMAN	NA	-1.25	others
219061_s_at	LAGE3_HUMAN	L antigen family member 3 (ITBA2 protein) (ESO-3 protein).	-1.24	others
219709_x_at		NA	-1.24	others
201361_at	TMEM109	Mitsugumin-23 precursor (Mg23).	-1.23	others
213761_at	MDM1	Mdm4, transformed 3T3 cell double minute 1, p53 binding protein isoform 1	-1.22	others
219072_at		B-cell CLL/lymphoma 7C	-1.22	others
219479_at	KDELC1	KDEL (Lys-Asp-Glu-Leu) containing 1	-1.22	others
220651_s_at	MCM10	minichromosome maintenance protein 10 isoform 2	-1.22	others
219633_at	CT121_HUMAN	NA	-1.22	others
220092_s_at	ANTXR1	Anthrax toxin receptor 1 precursor (Tumor endothelial marker 8).	-1.21	others
216251_s_at	K0153_HUMAN	NA	-1.21	others
202592_at	BLOC1S1	Biogenesis of lysosome-related organelles complex-1, subunit 1 (GCN5-like protein 1) (RT14 protein)	-1.2	others
212083_at	TEX261	testis expressed sequence 261	-1.2	others
212792_at	DPY19L1	DPY19L1 protein.	-1.2	others
219260_s_at		S-phase 2 protein isoform 1	-1.2	others
220945_x_at	MANSC1	MANSC domain containing protein 1 precursor.	-1.2	others
202250_s_at	WDR42A	H326	-1.19	others
217974_at	TM7SF3	Transmembrane 7 superfamily protein member 3 precursor	-1.19	others
201858_s_at	PRG1	Secretory granule proteoglycan core protein precursor (Platelet proteoglycan core protein)	-1.17	others
218161_s_at	CLN6	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6).	-1.17	others
212969_x_at		echinoderm microtubule associated protein like 3	-1.16	others
212121_at		NA	-1.16	others
219353_at	Q9NXN1_HUMAN	NA	-1.16	others
221591_s_at	FAM64A	NA	-1.16	others
204610_s_at	DIPA_HUMAN	Delta-interacting protein A (Hepatitis delta antigen-interacting protein A).	-1.15	others
212337_at		taurine upregulated gene 1 (TUG1) on chromosome 22	-1.15	others
217896_s_at	NIP30_HUMAN	NEFA-interacting nuclear protein NIP30.	-1.15	others
45714_at	HCFC1R1	host cell factor C1 regulator 1 (XPO1 dependant) isoform 1	-1.15	others
218108_at	CN130_HUMAN	NA	-1.15	others
218503_at	KIAA1797	NA	-1.15	others
218126_at	FAM82C	family with sequence similarity 82, member C	-1.14	others
203420_at	FAM8A1	Protein FAM8A1 (Autosomal highly conserved protein).	-1.13	others
220261_s_at	ZDHHC4	Probable palmitoyltransferase ZDHHC4 (Zinc finger DHHC domain-containing protein 4)	-1.13	others
222173_s_at	TBC1D2	TBC1 domain family member 2 (Prostate antigen recognized and indentified by SEREX)	-1.13	others
218112_at	MRPS34	Mitochondrial 28S ribosomal protein S34 (S34mt) (MRP-S34).	-1.12	others
218410_s_at		PREDICTED: similar to RIKEN cDNA 1700012G19	-1.12	others
