GeneID, ranked according to fold change	gene symbol	Fold change after EZH2 knockdown	Corresponding change after NIPP1 knockdown	Expression
10314	LANCL1	1.84	1.4	Upregulated genes
9903	KLHL21	1.83	0.93	Upregulated genes
7290	HIRA	1.83	1.09	Upregulated genes
29940	DSE	1.83	1.03	Upregulated genes
390	RND3	1,83; 1,78; 1,77; 1,77; 1,75; 1,74; 1,74; 1,74; 1,73; 1,72	1,29; 1,23; 1,26; 1,31; 1,25; 1,24; 1,26; 1,25; 1,22; 1,24	Upregulated genes
90693	CCDC126	1.83	1.16	Upregulated genes
22859	LPHN1	1.83	1.07	Upregulated genes
5048	PAFAH1B1	1.83	1.18	Upregulated genes
57146	TMEM159	1.83	1.34	Upregulated genes
6102	RP2	1.82	1.18	Upregulated genes
5565	PRKAB2	1,82; 1,66; 1,57	0,92; 0,99; 0,98	Upregulated genes
22868	FASTKD2	1.82	1.02	Upregulated genes
116843	C6orf192	1.82	1.75	Upregulated genes
6238	RRBP1	1.82	0.95	Upregulated genes
9948	WDR1	1,82; 1,62; 1,60	1,32; 1,33; 1,28	Upregulated genes
10010	TANK	1.82	1.45	Upregulated genes
3553	IL1B	1.81	0.88	Upregulated genes
10099	TSPAN3	1.81	1.04	Upregulated genes
23463	ICMT	1.81	0.9	Upregulated genes
64343	AZI2	1.81	1.54	Upregulated genes
56062	KLHL4	1.81	0.98	Upregulated genes
22898	DENND3	1.81	0.91	Upregulated genes
5570	PKIB	1.81	1.01	Upregulated genes
23670	TMEM2	1.81	1.33	Upregulated genes
148022	TICAM1	1.81	1.24	Upregulated genes
25932	CLIC4	1,81; 1,69; 1,53; 1,52	0,90; 0,81; 0,95; 0,98	Upregulated genes
51131	PHF11	1.81	1.33	Upregulated genes
9871	SEC24D	1.81	1.93	Upregulated genes
151636	DTX3L	1,80; 1,55	1,51; 1,35	Upregulated genes
54541	DDIT4	1.8	1.36	Upregulated genes
334	APLP2	1.8	1.13	Upregulated genes
5099	PCDH7	1.8	1.16	Upregulated genes
10105	PPIF	1.8	1.3	Upregulated genes
22808	MRAS	1.8	1.03	Upregulated genes
8601	RGS20	1.8	1.25	Upregulated genes
7184	HSP90B1	1,80; 1,76; 1,65; 1,51	0,99; 0,90; 0,97; 0,95	Upregulated genes
950	SCARB2	1.8	1.04	Upregulated genes
83544	DNAL1	1.8	2.01	Upregulated genes
386617	KCTD8	1.8	1.67	Upregulated genes
27430	MAT2B	1,80; 1,71	1,96; 1,85	Upregulated genes
488	ATP2A2	1.8	0.73	Upregulated genes
2776	GNAQ	1,80; 1,62	1,46; 1,25	Upregulated genes
10297	APC2	1.8	1.05	Upregulated genes
25852	ARMC8	1.79	1.66	Upregulated genes
8862	APLN	1.79	1.04	Upregulated genes
2852	GPR30	1.79	0.93	Upregulated genes
4856	NOV	1.79	0.76	Upregulated genes
56905	C15orf39	1.79	1.25	Upregulated genes
7048	TGFBR2	1.79	1.16	Upregulated genes
1528	CYB5A	1.79	1.09	Upregulated genes
10384	BTN3A3	1.79	1.35	Upregulated genes
7084	TK2	1.79	1.12	Upregulated genes
2335	FN1	1.79	0.97	Upregulated genes
4121	MAN1A1	1,79; 1,66	1,07; 1,19	Upregulated genes
2690	GHR	1.79	1.33	Upregulated genes
26040	SETBP1	1.79	1.55	Upregulated genes
4440	MSI1	1.79	0.98	Upregulated genes
148932	MOBKL2C	1.79	1.16	Upregulated genes
6342	SCP2	1.78	1	Upregulated genes
113540	CMTM1	1.78	1.17	Upregulated genes
9550	ATP6V1G1	1.78	0.7	Upregulated genes
146227	BEAN	1.78	1.06	Upregulated genes
9891	NUAK1	1.78	1.22	Upregulated genes
10672	GNA13	1,78; 1,62	1,33; 1,41	Upregulated genes
5270	SERPINE2	1.78	1.01	Upregulated genes
27113	BBC3	1.78	1	Upregulated genes
79630	C1orf54	1.77	0.98	Upregulated genes
6507	SLC1A3	1.77	1.65	Upregulated genes
2308	FOXO1	1.77	1.42	Upregulated genes
56990	CDC42SE2	1.77	2.17	Upregulated genes
6809	STX3	1.77	1.26	Upregulated genes
57574	MARCH4	1.77	1.62	Upregulated genes
259230	SGMS1	1.77	1.1	Upregulated genes
619279	ZNF704	1.77	1.37	Upregulated genes
29950	SERTAD1	1.77	1.07	Upregulated genes
197259	MLKL	1,77; 1,72	1,22; 1,11	Upregulated genes
84159	ARID5B	1,77; 1,60	1,02; 1,02	Upregulated genes
92737	DNER	1.77	1.05	Upregulated genes
8497	PPFIA4	1.77	1.31	Upregulated genes
9235	IL32	1.76	1.02	Upregulated genes
966	CD59	1.76	1.11	Upregulated genes
55640	FLVCR2	1.76	0.85	Upregulated genes
55323	LARP6	1.76	1.5	Upregulated genes
81618	ITM2C	1.76	1.44	Upregulated genes
10965	ACOT2	1,76; 1,58	1,49; 1,33	Upregulated genes
55818	JMJD1A	1,76; 1,70; 1,60	1,55; 1,55; 1,58	Upregulated genes
5526	PPP2R5B	1.76	1.26	Upregulated genes
7980	TFPI2	1.76	0.65	Upregulated genes
147138	TMC8	1.76	0.97	Upregulated genes
64432	MRPS25	1.76	1.8	Upregulated genes
2202	EFEMP1	1.75	1.68	Upregulated genes
54583	EGLN1	1.75	1.75	Upregulated genes
375056	MIA3	1.75	1.07	Upregulated genes
7424	VEGFC	1.75	1.52	Upregulated genes
5325	PLAGL1	1.75	1.11	Upregulated genes
91452	ACBD5	1.75	0.9	Upregulated genes
162394	SLFN5	1.75	1.67	Upregulated genes
10938	EHD1	1,74; 1,63	1,21; 1,15	Upregulated genes
9236	CCPG1	1,74; 1,72; 1,71; 1,71; 1,70; 1,70; 1,69; 1,69; 1,69; 1,66; 1,64	1,06; 1,05; 1,06, 1,10; 1,04; 1,13; 1,00; 1,05; 1,03; 1,05; 1,02	Upregulated genes
10867	TSPAN9	1.74	1.11	Upregulated genes
80856	KIAA1715	1.74	1.16	Upregulated genes
129880	BBS5	1.74	1.35	Upregulated genes
9241	NOG	1.74	1.05	Upregulated genes
56681	SAR1A	1,74; 1,49	1,61; 1,41	Upregulated genes
6275	S100A4	1.74	1.06	Upregulated genes
27351	D15Wsu75e	1.74	1.27	Upregulated genes
55013	CCDC109B	1.74	0.83	Upregulated genes
114294	LACTB	1.74	1.33	Upregulated genes
9958	USP15	1,74; 1,69	1,02; 1,69	Upregulated genes
8878	SQSTM1	1.73	1.2	Upregulated genes
167681	PRSS35	1.73	0.94	Upregulated genes
170384	FUT11	1.73	1.14	Upregulated genes
2500	FTHL7	1.73	1.1	Upregulated genes
6737	TRIM21	1.72	1.43	Upregulated genes
4884	NPTX1	1.72	0.62	Upregulated genes
160897	GPR180	1,72; 1,66	0,99; 1,29	Upregulated genes
302	ANXA2	1,72; 1,71; 1,70; 1,61	0,92; 0,99; 0,97; 0,99	Upregulated genes
8527	DGKD	1.72	1.82	Upregulated genes
9331	B4GALT6	1,72; 1,69	0,82; 0,66	Upregulated genes
1051	CEBPB	1.72	1.26	Upregulated genes
3831	KLC1	1.72	1.19	Upregulated genes
8905	AP1S2	1,72; 1,69	1,13; 1,12	Upregulated genes
23360	FNBP4	1.72	1.28	Upregulated genes
5626	PROP1	1.72	1.17	Upregulated genes
571	BACH1	1.72	0.8	Upregulated genes
323	APBB2	1.71	1.33	Upregulated genes
161742	SPRED1	1.71	1.2	Upregulated genes
6942	TCF20	1.71	1.49	Upregulated genes
23433	RHOQ	1.71	0.98	Upregulated genes
375790	AGRN	1.71	1.11	Upregulated genes
5017	OVOL1	1.71	0.9	Upregulated genes
55654	TMEM127	1.71	1.47	Upregulated genes
9830	TRIM14	1,71; 1,55	1,13; 0,98	Upregulated genes
59269	HIVEP3	1.71	1.19	Upregulated genes
154	ADRB2	1.71	1.21	Upregulated genes
139886	RP11-93B10.1	1.71	1.66	Upregulated genes
79073	TMEM109	1.7	1.37	Upregulated genes
81493	SYNC1	1.7	1.24	Upregulated genes
285195	SLC9A9	1.7	1.39	Upregulated genes
79668	PARP8	1.7	0.7	Upregulated genes
90427	BMF	1.7	1.22	Upregulated genes
154664	ABCA13	1.7	0.8	Upregulated genes
4928	NUP98	1.7	0.91	Upregulated genes
4615	MYD88	1.7	1.06	Upregulated genes
56180	MOSPD1	1.7	0.95	Upregulated genes
4792	NFKBIA	1.7	1.23	Upregulated genes
57491	AHRR	1.7	1.83	Upregulated genes
10390	CEPT1	1.7	1.84	Upregulated genes
167153	PAPD4	1,70; 1,59	2,34; 2,18	Upregulated genes
115273	RAB42	1.7	1.09	Upregulated genes
8325	FZD8	1.7	2.04	Upregulated genes
7675	ZNF121	1.7	1.08	Upregulated genes
9020	MAP3K14	1.69	0.72	Upregulated genes
5066	PAM	1.69	1.35	Upregulated genes
51714	SELT	1.69	1.36	Upregulated genes
90102	PHLDB2	1.69	1.05	Upregulated genes
2589	GALNT1	1.69	0.91	Upregulated genes
10096	ACTR3	1,69; 1,55; 1,51	1,23; 1,24; 1,23	Upregulated genes
29970	SCHIP1	1.69	1.19	Upregulated genes
55333	SYNJ2BP	1.69	0.49	Upregulated genes
256714	MAP7D2	1.69	0.98	Upregulated genes
4940	OAS3	1.69	1.34	Upregulated genes
5610	EIF2AK2	1.69	1.43	Upregulated genes
659	BMPR2	1.69	0.54	Upregulated genes
23503	ZFYVE26	1,68; 1,60	1,50; 1,31	Upregulated genes
51479	ANKFY1	1.68	1.18	Upregulated genes
4306	NR3C2	1.68	1.24	Upregulated genes
1075	CTSC	1.68	2.37	Upregulated genes
6892	TAPBP	1,68; 1,53	0,87; 0,88	Upregulated genes
80760	ITIH5	1.68	1.01	Upregulated genes
8444	DYRK3	1,68; 1,52	1,24; 1,13	Upregulated genes
4148	MATN3	1.68	1.03	Upregulated genes
10100	TSPAN2	1.68	1.86	Upregulated genes
84340	GFM2	1.68	2.35	Upregulated genes
63939	C20orf177	1.67	1.09	Upregulated genes
23179	RGL1	1.67	1.03	Upregulated genes
25816	TNFAIP8	1.67	1.4	Upregulated genes
5641	LGMN	1.67	1.1	Upregulated genes
4084	MXD1	1.67	0.73	Upregulated genes
55967	NDUFA12	1.67	1.86	Upregulated genes
56648	EIF5A2	1.67	1.2	Upregulated genes
25819	CCRN4L	1.67	1.29	Upregulated genes
103	ADAR	1.67	1.31	Upregulated genes
9315	C5orf13	1.67	1.64	Upregulated genes
90203	SNX21	1,67; 1,45	0,94; 0,83	Upregulated genes
57584	ARHGAP21	1.67	1.24	Upregulated genes
5500	PPP1CB	1.67	0.69	Upregulated genes
201595	STT3B	1.66	1.54	Upregulated genes
5860	QDPR	1.66	0.9	Upregulated genes
4947	OAZ2	1.66	1.25	Upregulated genes
160335	TMTC2	1.66	0.79	Upregulated genes
55112	WDR60	1.66	1.2	Upregulated genes
85456	TNKS1BP1	1.66	1.12	Upregulated genes
7043	TGFB3	1.66	1.2	Upregulated genes
56548	CHST7	1.66	1.27	Upregulated genes
4683	NBN	1.66	1.44	Upregulated genes
8482	SEMA7A	1.66	0.94	Upregulated genes
56882	CDC42SE1	1.66	0.94	Upregulated genes
2869	GRK5	1.66	0.98	Upregulated genes
8682	PEA15	1.66	1.26	Upregulated genes
23306	KIAA0286	1.66	1.98	Upregulated genes
1746	DLX2	1.66	0.68	Upregulated genes
51762	RAB8B	1.65	0.73	Upregulated genes
10522	DEAF1	1.65	1.21	Upregulated genes
387914	TMEM46	1.65	0.74	Upregulated genes
5019	OXCT1	1.65	1.05	Upregulated genes
140809	SRXN1	1.65	1.24	Upregulated genes
152007	C9orf19	1.65	1.24	Upregulated genes
23505	TMEM131	1.65	0.95	Upregulated genes
4779	NFE2L1	1.65	0.97	Upregulated genes
83597	RTP3	1.65	1.14	Upregulated genes
64118	DUS1L	1.65	1.41	Upregulated genes
3939	LDHA	1,65; 1,65	1,40; 1,29	Upregulated genes
10486	CAP2	1.65	1.25	Upregulated genes
114990	VASN	1.65	0.65	Upregulated genes
969	CD69	1.65	1.01	Upregulated genes
7262	PHLDA2	1.65	0.37	Upregulated genes
7453	WARS	1.65	0.95	Upregulated genes
11041	B3GNT1	1.65	1.12	Upregulated genes
3909	LAMA3	1.65	1.12	Upregulated genes
9532	BAG2	1.65	1.63	Upregulated genes
10458	BAIAP2	1.65	1.38	Upregulated genes
6690	SPINK1	1.64	1.16	Upregulated genes
10987	COPS5	1,64; 1,61	1,50; 1,45	Upregulated genes
81894	SLC25A28	1.64	1.3	Upregulated genes
27	ABL2	1.64	1.12	Upregulated genes
8313	AXIN2	1.64	1.11	Upregulated genes
54902	TTC19	1,64; 1,50	0,99; 1,07	Upregulated genes
4082	MARCKS	1.64	1.21	Upregulated genes
4012	LNPEP	1.64	1.32	Upregulated genes
79770	C5orf14	1.64	1.04	Upregulated genes
3726	JUNB	1.64	1.06	Upregulated genes
5274	SERPINI1	1.64	1.58	Upregulated genes
10783	NEK6	1.64	1.22	Upregulated genes
9982	FGFBP1	1.64	0.56	Upregulated genes
84984	C3orf34	1.64	1.52	Upregulated genes
1540	CYLD	1.64	1.19	Upregulated genes
5291	PIK3CB	1.63	0.87	Upregulated genes
286	ANK1	1.63	1.18	Upregulated genes
4643	MYO1E	1.63	1.19	Upregulated genes
2280	FKBP1A	1,63; 1,60	0,96; 1,01	Upregulated genes
2887	GRB10	1.63	1.44	Upregulated genes
5208	PFKFB2	1.63	1.43	Upregulated genes
5792	PTPRF	1.63	1.4	Upregulated genes
27286	SRPX2	1.63	1.13	Upregulated genes
5768	QSOX1	1.63	0.86	Upregulated genes
3664	IRF6	1.63	1.08	Upregulated genes
22978	NT5C2	1.63	1.04	Upregulated genes
10558	SPTLC1	1.63	1.6	Upregulated genes
9945	GFPT2	1.63	1.08	Upregulated genes
2669	GEM	1.63	1.63	Upregulated genes
81537	SGPP1	1.63	0.46	Upregulated genes
960	CD44	1.62	1.51	Upregulated genes
25893	TRIM58	1.62	0.89	Upregulated genes
54899	PXK	1.62	0.8	Upregulated genes
26499	PLEK2	1.62	1.26	Upregulated genes
8634	RTCD1	1.62	0.88	Upregulated genes
8674	VAMP4	1.62	1.59	Upregulated genes
3841	KPNA5	1.62	0.67	Upregulated genes
83896	KRTAP3-1	1.62	2.62	Upregulated genes
9308	CD83	1.62	0.8	Upregulated genes
9518	GDF15	1.62	0.99	Upregulated genes
5305	PIP5K2A	1,62; 1,58; 1,52	0,88; 1,04; 1,11	Upregulated genes
80235	PIGZ	1.62	1.6	Upregulated genes
8877	SPHK1	1.62	1.27	Upregulated genes
6197	RPS6KA3	1.62	1.39	Upregulated genes
4232	MEST	1.61	1.59	Upregulated genes
51566	ARMCX3	1.61	1.37	Upregulated genes
8671	SLC4A4	1.61	2.59	Upregulated genes
83604	TMEM47	1.61	1.56	Upregulated genes
84856	MGC16291	1.61	1.71	Upregulated genes
5266	PI3	1.61	0.85	Upregulated genes
25963	TMEM87A	1.61	0.98	Upregulated genes
1491	CTH	1.61	1.11	Upregulated genes
6675	UAP1	1.61	1.5	Upregulated genes
22809	ATF5	1.6	0.68	Upregulated genes
463	ATBF1	1.6	0.86	Upregulated genes
1965	EIF2S1	1,60; 1,53	1,67; 1,69	Upregulated genes
3572	IL6ST	1,60; 1,57	0,67; 0,77	Upregulated genes
84255	SLC37A3	1.6	1.16	Upregulated genes
8473	OGT	1.6	2.31	Upregulated genes
4131	MAP1B	1.6	1.22	Upregulated genes
9491	PSMF1	1.6	1.1	Upregulated genes
1534	CYB561	1.6	1.04	Upregulated genes
152559	PAQR3	1.6	1.3	Upregulated genes
10565	ARFGEF1	1.6	1.56	Upregulated genes
90637	ZFAND2A	1.6	1.11	Upregulated genes
56262	LRRC8A	1.6	0.8	Upregulated genes
627	BDNF	1.6	1.42	Upregulated genes
22800	RRAS2	1.6	1.4	Upregulated genes
5361	PLXNA1	1.6	1.22	Upregulated genes
2023	ENO1	1.6	1.13	Upregulated genes
290	ANPEP	1.6	0.53	Upregulated genes
2720	GLB1	1.59	1.31	Upregulated genes
65981	CAPRIN2	1,59; 1,58	1,15; 1,13	Upregulated genes
2919	CXCL1	1.59	1.98	Upregulated genes
8739	HRK	1.59	1.08	Upregulated genes
998	CDC42	1.59	1.01	Upregulated genes
80195	C10orf57	1.59	1.59	Upregulated genes
10296	MAEA	1,59; 1,51	1,45; 1,22	Upregulated genes
55122	C6orf166	1.59	1.61	Upregulated genes
4482	MSRA	1.59	0.97	Upregulated genes
10725	NFAT5	1.59	0.9	Upregulated genes
54585	LZTFL1	1.59	0.79	Upregulated genes
23654	PLXNB2	1,59; 1,55	0,81; 0,81	Upregulated genes
2697	GJA1	1.59	0.97	Upregulated genes
55435	C4orf16	1.59	1.55	Upregulated genes
5930	RBBP6	1.59	1.13	Upregulated genes
3371	TNC	1.58	1.34	Upregulated genes
10049	DNAJB6	1.58	1.25	Upregulated genes
6185	RPN2	1.58	1.56	Upregulated genes
51397	COMMD10	1.58	1.37	Upregulated genes
51274	KLF3	1.58	1.18	Upregulated genes
64398	MPP5	1.58	1.09	Upregulated genes
79776	ZFHX4	1.58	0.96	Upregulated genes
54981	C9orf95	1.58	1.81	Upregulated genes
60468	BACH2	1.58	1.15	Upregulated genes
166785	MMAA	1.58	1.57	Upregulated genes
113201	CASC4	1.58	1.03	Upregulated genes
4043	LRPAP1	1,58; 1,55	0,99; 1,03	Upregulated genes
10135	PBEF1	1,58; 1,52	1,15; 1,21	Upregulated genes
3958	LGALS3	1.58	1.03	Upregulated genes
4189	DNAJB9	1.58	1.23	Upregulated genes
26355	C3orf28	1.58	1.9	Upregulated genes
79627	OGFRL1	1.58	1.01	Upregulated genes
9567	GTPBP1	1.58	1.26	Upregulated genes
5480	PPIC	1.58	1.42	Upregulated genes
1026	CDKN1A	1.58	1.11	Upregulated genes
55024	BANK1	1.58	1.15	Upregulated genes
9353	SLIT2	1.58	0.78	Upregulated genes
10904	BLCAP	1.57	0.95	Upregulated genes
8498	RANBP3	1.57	1.38	Upregulated genes
5698	PSMB9	1.57	1.25	Upregulated genes
747	DAGLA	1.57	1.01	Upregulated genes
6045	RNF2	1.57	1.4	Upregulated genes
79098	C1orf116	1.57	0.99	Upregulated genes
79602	ADIPOR2	1.57	1.31	Upregulated genes
1983	EIF5	1.57	0.97	Upregulated genes
29110	TBK1	1.57	1.37	Upregulated genes
4247	MGAT2	1.57	0.88	Upregulated genes
10745	PHTF1	1.57	0.49	Upregulated genes
8553	BHLHB2	1.57	1.14	Upregulated genes
1959	EGR2	1.57	1.88	Upregulated genes
1979	EIF4EBP2	1.57	1.25	Upregulated genes
3920	LAMP2	1.57	0.61	Upregulated genes
27252	KLHL20	1.57	1.24	Upregulated genes
54206	ERRFI1	1.57	1.1	Upregulated genes
1009	CDH11	1.57	0.51	Upregulated genes
949	SCARB1	1.57	1.18	Upregulated genes
150275	CCDC117	1.57	1.47	Upregulated genes
5290	PIK3CA	1.57	1.12	Upregulated genes
152100	MGC61571	1.57	1.41	Upregulated genes
150483	TEKT4	1.57	1.17	Upregulated genes
91947	ARRDC4	1.57	1.15	Upregulated genes
1845	DUSP3	1.56	1.11	Upregulated genes
80745	THUMPD2	1.56	1.42	Upregulated genes
79925	FLJ23577	1.56	1.75	Upregulated genes
64855	FAM129B	1.56	1.04	Upregulated genes
84892	C3orf39	1.56	1.1	Upregulated genes
5980	REV3L	1.56	1.04	Upregulated genes
11080	DNAJB4	1.56	1.39	Upregulated genes
25825	BACE2	1,56; 1,55	0,95; 0,95	Upregulated genes
56061	UBFD1	1.56	1.05	Upregulated genes
64645	HIAT1	1.56	1.01	Upregulated genes
57089	ENTPD7	1,56; 1,52	1,10; 1,05	Upregulated genes
9098	USP6	1.56	1.11	Upregulated genes
56951	C5orf15	1.56	0.67	Upregulated genes
5515	PPP2CA	1.56	1.01	Upregulated genes
284252	KCTD1	1.56	1.03	Upregulated genes
151354	FAM84A	1,56; 1,52	0,60; 0,86	Upregulated genes
2040	STOM	1.56	1.02	Upregulated genes
23636	NUP62	1.56	1.61	Upregulated genes
9043	SPAG9	1.56	1.36	Upregulated genes
23603	CORO1C	1.56	1.29	Upregulated genes
123879	DCUN1D3	1.56	1.02	Upregulated genes
1490	CTGF	1.56	2	Upregulated genes
11077	HSF2BP	1.55	1.11	Upregulated genes
5721	PSME2	1.55	1.05	Upregulated genes
55889	GOLGA	1.55	1.24	Upregulated genes
282809	WDR51B	1.55	1.64	Upregulated genes
2959	GTF2B	1.55	1.33	Upregulated genes
6446	SGK	1.55	1.45	Upregulated genes
5638	PRRG1	1.55	1.03	Upregulated genes
140686	WFDC3	1.55	1.05	Upregulated genes
164091	PAQR7	1.55	0.98	Upregulated genes
92305	TMEM129	1.55	1.53	Upregulated genes
1289	COL5A1	1.55	1.09	Upregulated genes
2530	FUT8	1,55; 1,55	1,21; 1,24	Upregulated genes
3376	IARS	1.55	1.78	Upregulated genes
55359	STYK1	1.55	1.24	Upregulated genes
10628	TXNIP	1.55	0.71	Upregulated genes
10402	ST3GAL6	1,55; 1,55; 1,54; 1,53; 1,53; 1,51; 1,50; 1,48	1,55; 1,58; 1,58; 1,59; 1,57; 1,55; 1,56; 1,59	Upregulated genes
10284	SAP18	1.55	1.22	Upregulated genes
9616	RNF7	1.55	1.49	Upregulated genes
7347	UCHL3	1.55	1.3	Upregulated genes
55601	FLJ20035	1.55	1.5	Upregulated genes
55186	SLC25A36	1.55	1.27	Upregulated genes
10342	TFG	1.54	1.07	Upregulated genes
165324	UBXD4	1.54	1.23	Upregulated genes
3725	JUN	1.54	1.47	Upregulated genes
1649	DDIT3	1.54	1.1	Upregulated genes
161176	C14orf49	1.54	1.11	Upregulated genes
9194	SLC16A7	1.54	0.84	Upregulated genes
29071	C1GALT1C1	1.54	1.16	Upregulated genes
153562	MARVELD2	1.54	1.37	Upregulated genes
64224	HERPUD2	1.54	1.42	Upregulated genes
5090	PBX3	1.54	1.51	Upregulated genes
84458	LCOR	1,54; 1,46	1,14; 1,12	Upregulated genes
56776	FMN2	1.54	1.4	Upregulated genes
267004	PGBD3	1.54	1.06	Upregulated genes
6993	DYNLT1	1.54	1.16	Upregulated genes
1186	CLCN7	1.54	1.01	Upregulated genes
523	ATP6V1A	1.54	0.72	Upregulated genes
79048	SECISBP2	1,55; 1,47	1,95; 1,91	Upregulated genes
91107	TRIM47	1.54	0.81	Upregulated genes
25945	PVRL3	1.54	1.6	Upregulated genes
134266	GRPEL2	1.54	1.23	Upregulated genes
6932	TCF7	1.53	0.88	Upregulated genes
55785	FGD6	1,53; 1,47	1,01; 1,01	Upregulated genes
55151	TMEM38B	1.53	1.02	Upregulated genes
1827	DSCR1	1.53	0.82	Upregulated genes
2121	EVC	1.53	1.11	Upregulated genes
55255	WDR41	1.53	1.53	Upregulated genes
3301	DNAJA1	1.53	0.93	Upregulated genes
53836	GPR87	1.53	1.45	Upregulated genes
7167	TPI1	1.53	1.16	Upregulated genes
26579	MYEOV	1.53	1.06	Upregulated genes
219855	SLC37A2	1.53	0.64	Upregulated genes
23095	KIF1B	1.53	0.94	Upregulated genes
5597	MAPK6	1.53	0.41	Upregulated genes
4047	LSS	1.53	1	Upregulated genes
2252	FGF7	1.53	1.38	Upregulated genes
10409	BASP1	1.53	1.37	Upregulated genes
8915	BCL10	1.53	1.26	Upregulated genes
7162	TPBG	1.53	1.1	Upregulated genes
54925	ZNF434	1.53	1.33	Upregulated genes
2734	GLG1	1.53	0.92	Upregulated genes
5604	MAP2K1	1.53	1.14	Upregulated genes
54852	PAQR5	1.53	0.82	Upregulated genes
25934	NIPSNAP3A	1.53	1.25	Upregulated genes
4086	SMAD1	1.52	0.96	Upregulated genes
10669	CGREF1	1.52	1.51	Upregulated genes
5681	PSKH1	1.52	1.1	Upregulated genes
22837	COBLL1	1.52	1.02	Upregulated genes
284339	TMEM145	1.52	0.94	Upregulated genes
375513	GUSBL2	1.52	1.3	Upregulated genes
8202	NCOA3	1,52; 1,49	1,28; 1,08	Upregulated genes
55114	ARHGAP17	1.52	1.13	Upregulated genes
57700	KIAA1600	1.52	1.16	Upregulated genes
6091	ROBO1	1.51	0.54	Upregulated genes
84881	RPUSD4	1.51	1.25	Upregulated genes
5052	PRDX1	1,51; 1,50	1,25; 1,26	Upregulated genes
23043	TNIK	1.51	2.03	Upregulated genes
5621	PRNP	1.51	0.94	Upregulated genes
6415	SEPW1	1.51	1.18	Upregulated genes
55113	XKR8	1.51	1.17	Upregulated genes
79180	EFHD2	1.51	1.04	Upregulated genes
25841	ABTB2	1.51	1.25	Upregulated genes
439921	MXRA7	1,51; 1,48	1,11; 0,96	Upregulated genes
8731	RNMT	1.51	1.09	Upregulated genes
11343	MGLL	1.5	1	Upregulated genes
387628	KGFLP1	1.5	1.43	Upregulated genes
159	ADSS	1.5	1.49	Upregulated genes
440026	TMEM41B	1.5	0.72	Upregulated genes
29915	HCFC2	1.5	1.01	Upregulated genes
91663	MYADM	1.5	0.91	Upregulated genes
3096	HIVEP1	1.5	1.07	Upregulated genes
377	ARF3	1.5	1.12	Upregulated genes
5445	PON2	1.5	0.94	Upregulated genes
4212	MEIS2	1.5	1.11	Upregulated genes
23081	JMJD2C	1.5	1.43	Upregulated genes
115548	FCHO2	1.5	1.34	Upregulated genes
3693	ITGB5	1.5	0.7	Upregulated genes
11190	CEP250	1.5	1.06	Upregulated genes
125228	C18orf19	1.5	0.79	Upregulated genes
84945	ABHD13	1.5	1.29	Upregulated genes
126321	C19orf28	1.49	0.83	Upregulated genes
10159	ATP6AP2	1.49	1.37	Upregulated genes
1788	DNMT3A	1.49	1.19	Upregulated genes
9135	RABEP1	1.49	1.35	Upregulated genes
134430	WDR36	1.49	1.46	Upregulated genes
1203	CLN5	1.49	1	Upregulated genes
56902	PNO1	1.49	1.78	Upregulated genes
388650	FAM69A	1.49	1.09	Upregulated genes
57153	SLC44A2	1.49	1.17	Upregulated genes
813	CALU	1.49	1.08	Upregulated genes
2876	GPX1	1.49	1.14	Upregulated genes
9454	HOMER3	1.49	0.99	Upregulated genes
246330	PELI3	1.49	1.07	Upregulated genes
51304	ZDHHC3	1.49	0.77	Upregulated genes
22894	DIS3	1.49	1.89	Upregulated genes
51522	TMEM14C	1.49	1.07	Upregulated genes
23580	CDC42EP4	1.49	0.81	Upregulated genes
54807	ZNF586	1.49	1.33	Upregulated genes
389	RHOC	1.49	0.76	Upregulated genes
4601	MXI1	1.49	0.68	Upregulated genes
64754	SMYD3	1.49	1.2	Upregulated genes
771	CA12	1.49	0.8	Upregulated genes
8514	KCNAB2	1.49	1.18	Upregulated genes
23127	GLT25D2	1.49	0.89	Upregulated genes
85369	FAM40A	1.48	1.31	Upregulated genes
55279	ZNF654	1.48	1.02	Upregulated genes
4204	MECP2	1.48	1.4	Upregulated genes
11244	ZHX1	1.48	1.07	Upregulated genes
284942	MGC70863	1.48	1.5	Upregulated genes
41	ACCN2	1.48	1.83	Upregulated genes
360	AQP3	1.48	0.95	Upregulated genes
537	ATP6AP1	1.48	0.84	Upregulated genes
4690	NCK1	1.48	1.21	Upregulated genes
80728	KIAA1688	1.48	1.21	Upregulated genes
9572	NR1D1	1.48	1.05	Upregulated genes
51676	ASB2	1.48	0.81	Upregulated genes
51256	TBC1D7	1.48	1.53	Upregulated genes
23461	ABCA5	1.48	1.25	Upregulated genes
23204	ARL6IP1	1.48	1.27	Upregulated genes
53358	SHC3	1.48	1.34	Upregulated genes
10123	ARL4C	1.47	1.45	Upregulated genes
64840	PORCN	1.47	1.01	Upregulated genes
2230	FDX1	1.47	1.64	Upregulated genes
308	ANXA5	1.47	1.09	Upregulated genes
7422	VEGFA	1,47; 1,46	0,72; 0,61	Upregulated genes
201164	LOC201164	1.47	1.05	Upregulated genes
2631	GBAS	1.47	1.69	Upregulated genes
51426	POLK	1.47	0.99	Upregulated genes
80232	WDR26	1.47	0.87	Upregulated genes
8721	EDF1	1.47	1.07	Upregulated genes
