Refseq	Geneid	Gene symbol	Gene name	Fold Change	q-value (%)	Negative Fold Change
NM_030928	81620	CDT1	DNA replication factor	2.15534529	2.5903232	NA
NM_005760	10153	CEBPZ	CCAAT/enhancer binding protein zeta	0.30521099	1.7079054	-3.276421993
NM_017829	27440	CECR5	cat eye syndrome chromosome region, candidate 5	1.86172247	8.8660141	NA
NM_033070	27440	CECR5	cat eye syndrome chromosome region, candidate 5	1.86172247	8.8660141	NA
NM_001812	1060	CENPC1	centromere protein C 1	0.33260686	3.6724243	-3.006552541
NM_015230	116984	CENTD1	centaurin, delta 1	0.25301928	1.7079054	-3.952267985
NM_139182	116984	CENTD1	centaurin, delta 1	0.25301928	1.7079054	-3.952267985
NM_025009	9662	CEP135	centrosomal protein 135kDa	0.39512409	2.0161834	-2.530850498
NM_018069	55125	CEP192	centrosomal protein 192kDa	0.27287847	1.7079054	-3.66463503
NM_032142	55125	CEP192	centrosomal protein 192kDa	0.27287847	1.7079054	-3.66463503
NM_014810	9857	CEP350	centrosomal protein 350kDa	0.38928395	9.0782945	-2.568818982
NM_005507	1072	CFL1	cofilin 1 (non-muscle)	2.18832892	7.2505573	NA
NM_016016	51629	CGI-69	CGI-69 protein	4.7302902	0.637618	NA
NM_203298	118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	1.69590429	9.0782945	NA
NM_016139	51142	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	2.71230741	0.637618	NA
NM_017812	54927	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	2.01672285	2.6012277	NA
NM_144636	131474	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	2.70358091	3.2351467	NA
NM_032309	84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2.43114244	1.4706181	NA
NM_032343	84303	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	1.74901845	8.1979458	NA
NM_001011669	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.88605998	5.0573729	NA
NM_001011671	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.95860089	4.3199052	NA
NM_001011668	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.99575943	3.797649	NA
NM_001011670	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.84894515	5.9122677	NA
NM_024300	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.99575943	3.797649	NA
NM_001011667	79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	1.88605998	5.0573729	NA
NM_016565	51287	CHCHD8	coiled-coil-helix-coiled-coil-helix domain containing 8	2.49030424	6.3497914	NA
NM_001270	1105	CHD1	chromodomain helicase DNA binding protein 1	0.47148241	8.0395314	-2.1209699
NM_012110	26511	CHIC2	cysteine-rich hydrophobic domain 2	1.70232404	7.2505573	NA
NM_005198	1120	CHKB	choline kinase beta	1.80240486	8.7274414	NA
NM_198426	27243	CHMP2A	chromatin modifying protein 2A	1.79447849	5.9122677	NA
NM_014453	27243	CHMP2A	chromatin modifying protein 2A	1.79447849	5.9122677	NA
NM_014169	29082	CHMP4A	chromatin modifying protein 4A	1.97716001	2.6012277	NA
NM_152272	91782	CHMP7	CHMP family, member 7	2.16057776	3.753678	NA
NM_007236	11261	CHP	calcium binding protein P22	1.67765942	6.3497914	NA
NM_018413	50515	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	1.89335853	1.5613079	NA
NM_018641	55501	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	0.35475459	1.7079054	-2.818850068
NM_004267	9435	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2	2.44121303	3.3991674	NA
NM_022092	63922	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	1.89810254	4.9341886	NA
NM_020313	57019	CIAPIN1	cytokine induced apoptosis inhibitor 1	1.52318403	9.8653909	NA
NM_006384	10519	CIB1	calcium and integrin binding 1 (calmyrin)	2.3737295	3.797649	NA
NM_006383	10518	CIB2	calcium and integrin binding family member 2	1.77801168	2.5903232	NA
NM_001008938	9793	CKAP5	cytoskeleton associated protein 5	0.34382637	4.3199052	-2.908444748
NM_014756	9793	CKAP5	cytoskeleton associated protein 5	0.34382637	4.3199052	-2.908444748
NM_001827	1164	CKS2	CDC28 protein kinase regulatory subunit 2	3.08565778	9.8653909	NA
NM_015097	23122	CLASP2	cytoplasmic linker associated protein 2	0.5334817	8.8660141	-1.874478544
NM_012128	22802	CLCA4	chloride channel, calcium activated, family member 4	8.96198195	0	NA
NM_013246	23529	CLCF1	cardiotrophin-like cytokine factor 1	1.71619604	7.2505573	NA
NM_194284	137075	CLDN23	claudin 23	3.22853921	0.637618	NA
NM_001288	1192	CLIC1	chloride intracellular channel 1	2.25485797	2.3206861	NA
NM_004669	9022	CLIC3	chloride intracellular channel 3	1.96842172	6.3497914	NA
NM_018941	2055	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	1.68918097	4.6110465	NA
NM_006012	8192	CLPP	ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)	1.89945234	4.6110465	NA
NM_001833	1211	CLTA	clathrin, light polypeptide (Lca)	1.63089075	8.593663	NA
NM_007096	1211	CLTA	clathrin, light polypeptide (Lca)	1.64133943	8.27025	NA
NM_001834	1212	CLTB	clathrin, light polypeptide (Lcb)	3.77318218	0.637618	NA
NM_007097	1212	CLTB	clathrin, light polypeptide (Lcb)	3.56767104	0.637618	NA
NM_004859	1213	CLTC	clathrin, heavy polypeptide (Hc)	0.46870657	3.2351467	-2.133531006
NM_020311	57007	CMKOR1	chemokine orphan receptor 1	3.23690734	5.5989565	NA
NM_138410	112616	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	1.98194544	7.2505573	NA
NM_181472	112616	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	1.98194544	7.2505573	NA
NM_173515	154043	CNKSR3	CNKSR family member 3	0.44998024	6.3497914	-2.222319807
NM_004368	1265	CNN2	calponin 2	1.93756788	3.753678	NA
NM_201277	1265	CNN2	calponin 2	1.93756788	3.753678	NA
NM_001839	1266	CNN3	calponin 3, acidic	1.75980082	9.6306887	NA
NM_018366	55330	CNO	cappuccino homolog (mouse)	2.20950907	1.9393426	NA
NM_054026	29883	CNOT7	CCR4-NOT transcription complex, subunit 7	1.65823862	4.9341886	NA
NM_025233	80347	COASY	Coenzyme A synthase	1.71823097	8.27025	NA
NM_015386	25839	COG4	component of oligomeric golgi complex 4	1.66710338	8.27025	NA
NM_004370	1303	COL12A1	collagen, type XII, alpha 1	0.35412187	5.9122677	-2.82388659
NM_080645	1303	COL12A1	collagen, type XII, alpha 1	0.30175609	5.9122677	-3.313934774
NM_033641	1288	COL4A6	collagen, type IV, alpha 6	0.31200895	1.7079054	-3.205036266
NM_001847	1288	COL4A6	collagen, type IV, alpha 6	0.31200895	1.7079054	-3.205036266
NM_000393	1290	COL5A2	collagen, type V, alpha 2	3.0652551	0.637618	NA
NM_014066	28991	COMMD5	COMM domain containing 5	1.626675	6.3497914	NA
NM_203495	170622	COMMD6	COMM domain containing 6	1.89864753	4.6110465	NA
NM_203497	170622	COMMD6	COMM domain containing 6	1.90060167	3.9508566	NA
NM_144589	118881	COMTD1	catechol-O-methyltransferase domain containing 1	2.11938429	3.9508566	NA
NM_199444	11316	COPE	coatomer protein complex, subunit epsilon	3.30365068	0.8369687	NA
NM_199442	11316	COPE	coatomer protein complex, subunit epsilon	3.4030581	0.8855806	NA
NM_007263	11316	COPE	coatomer protein complex, subunit epsilon	3.4030581	0.8855806	NA
NM_004236	9318	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	1.52396866	9.6306887	NA
NM_006833	10980	COPS6	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	2.4453462	1.9982331	NA
NM_016319	50813	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)	2.41373924	1.5613079	NA
NM_022730	64708	COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)	2.10631553	3.9508566	NA
NM_016057	22818	COPZ1	coatomer protein complex, subunit zeta 1	2.08142235	6.3497914	NA
NM_015697	27235	COQ2	coenzyme Q2 homolog, prenyltransferase (yeast)	0.48149393	3.753678	-2.07686938
NM_020312	57017	COQ9	coenzyme Q9 homolog (S. cerevisiae)	1.75183474	6.3497914	NA
NM_007074	11151	CORO1A	coronin, actin binding protein, 1A	2.03465134	8.593663	NA
NM_020441	57175	CORO1B	coronin, actin binding protein, 1B	1.9142646	8.593663	NA
NM_001018070	57175	CORO1B	coronin, actin binding protein, 1B	1.9142646	8.593663	NA
NM_021149	23406	COTL1	coactosin-like 1 (Dictyostelium)	2.47216319	1.0218237	NA
NM_005694	10063	COX17	COX17 cytochrome c oxidase assembly homolog (S. cerevisiae)	2.51443207	1.9393426	NA
NM_001862	1329	COX5B	cytochrome c oxidase subunit Vb	2.05599804	2.5903232	NA
NM_001863	1340	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	2.12321852	3.2351467	NA
NM_001865	1347	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	1.68625061	3.9508566	NA
NM_004718	9167	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	1.99621437	6.8159167	NA
NM_004074	1351	COX8A	cytochrome c oxidase subunit 8A (ubiquitous)	1.75219385	6.8159167	NA
NM_001304	1362	CPD	carboxypeptidase D	0.41404317	9.6306887	-2.415207091
NM_153634	144402	CPNE8	copine VIII	0.34890365	2.0161834	-2.866120776
NM_001875	1373	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	0.35059396	2.0161834	-2.852302418
NM_032179	54973	CPSF3L	cleavage and polyadenylation specific factor 3-like	1.96155976	9.4283268	NA
NM_006693	10898	CPSF4	cleavage and polyadenylation specific factor 4, 30kDa	2.0077912	3.2351467	NA
NM_003805	8738	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	1.61272005	9.4283268	NA
NM_174881	92359	CRB3	crumbs homolog 3 (Drosophila)	1.70634327	9.8653909	NA
NM_139161	92359	CRB3	crumbs homolog 3 (Drosophila)	1.70634327	9.8653909	NA
NM_006368	10488	CREB3	cAMP responsive element binding protein 3	2.75275752	1.0218237	NA
NM_024324	79174	CRELD2	cysteine-rich with EGF-like domains 2	0.54394618	9.8653909	-1.838417176
NM_001881	1390	CREM	cAMP responsive element modulator	1.98759239	7.2505573	NA
NM_001312	1397	CRIP2	cysteine-rich protein 2	2.26028145	2.5903232	NA
NM_014171	9419	CRIPT	postsynaptic protein CRIPT	1.71686382	9.4283268	NA
NM_016507	51755	CRKRS	Cdc2-related kinase, arginine/serine-rich	0.46806677	7.6537443	-2.136447328
NM_019095	54675	CRLS1	cardiolipin synthase 1	3.22478213	0.8369687	NA
NM_004229	9282	CRSP2	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	0.47052626	4.6110465	-2.125279894
NM_015979	9439	CRSP3	cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	0.52530499	8.27025	-1.903656008
NM_004830	9439	CRSP3	cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa	0.43512415	2.0161834	-2.298194665
NM_001885	1410	CRYAB	crystallin, alpha B	3.86267385	0.637618	NA
NM_015974	51084	CRYL1	crystallin, lambda 1	1.64001104	8.593663	NA
NM_001316	1434	CSE1L	CSE1 chromosome segregation 1-like (yeast)	0.51822928	8.27025	-1.929647819
NM_139062	1453	CSNK1D	casein kinase 1, delta	2.19755295	0.637618	NA
NM_001893	1453	CSNK1D	casein kinase 1, delta	2.0690596	1.219488	NA
NM_001319	1455	CSNK1G2	casein kinase 1, gamma 2	1.59537235	8.593663	NA
NM_001895	1457	CSNK2A1	casein kinase 2, alpha 1 polypeptide	1.6023151	7.6537443	NA
NM_177560	1457	CSNK2A1	casein kinase 2, alpha 1 polypeptide	1.6023151	7.6537443	NA
NM_177559	1457	CSNK2A1	casein kinase 2, alpha 1 polypeptide	1.6023151	7.6537443	NA
NM_001320	1460	CSNK2B	casein kinase 2, beta polypeptide	1.98659116	8.593663	NA
NM_005445	9126	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	0.26160391	2.5903232	-3.822572835
NM_004078	1465	CSRP1	cysteine and glycine-rich protein 1	2.40907655	3.2351467	NA
NM_001321	1466	CSRP2	cysteine and glycine-rich protein 2	3.52211666	0.637618	NA
NM_001323	1474	CST6	cystatin E/M	10.12188893	0	NA
NM_015703	27341	CTA-126B4.3	CGI-96 protein	2.05036901	2.3697766	NA
NM_001013694	402055	CTB-1048E9.5	similar to SRR1-like protein	2.10482101	2.3206861	NA
NM_001012614	1487	CTBP1	C-terminal binding protein 1	1.76780255	6.5999626	NA
NM_001328	1487	CTBP1	C-terminal binding protein 1	1.76780255	6.5999626	NA
NM_004388	1486	CTBS	chitobiase, di-N-acetyl-	0.38424237	8.7274414	-2.602524027
NM_048368	9150	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	0.44301822	8.0395314	-2.257243506
NM_004715	9150	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	0.44301822	8.0395314	-2.257243506
NM_005730	10106	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	1.93678421	5.9122677	NA
NM_148170	1075	CTSC	cathepsin C	0.52540984	8.7274414	-1.903276117
NM_000396	1513	CTSK	cathepsin K (pycnodysostosis)	0.41622344	2.6012277	-2.402555704
NM_001912	1514	CTSL	cathepsin L	0.41778187	3.2351467	-2.393593576
NM_145918	1514	CTSL	cathepsin L	0.41778187	3.2351467	-2.393593576
NM_001334	1519	CTSO	cathepsin O	1.86207314	8.7274414	NA
NM_138565	2017	CTTN	cortactin	2.9485861	0.637618	NA
NM_005231	2017	CTTN	cortactin	2.9485861	0.637618	NA
NM_018704	55917	CTTNBP2NL	CTTNBP2 N-terminal like	0.53571059	4.6110465	-1.866679544
NM_024040	79004	CUEDC2	CUE domain containing 2	2.23891938	2.3697766	NA
NM_003591	8453	CUL2	cullin 2	0.27013329	1.7079054	-3.701876211
NM_001014433	51596	CUTA	cutA divalent cation tolerance homolog (E. coli)	1.55897773	8.593663	NA
NM_001014837	51596	CUTA	cutA divalent cation tolerance homolog (E. coli)	1.55897773	8.593663	NA
NM_001014838	51596	CUTA	cutA divalent cation tolerance homolog (E. coli)	1.55897773	8.593663	NA
NM_001014840	51596	CUTA	cutA divalent cation tolerance homolog (E. coli)	1.55897773	8.593663	NA
NM_015921	51596	CUTA	cutA divalent cation tolerance homolog (E. coli)	1.55897773	8.593663	NA
NM_015960	51076	CUTC	cutC copper transporter homolog (E. coli)	2.38107505	3.797649	NA
NM_001913	1523	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	1.91279888	1.9982331	NA
NM_181500	1523	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	1.91279888	1.9982331	NA
NM_181552	1523	CUTL1	cut-like 1, CCAAT displacement protein (Drosophila)	0.46448172	8.0395314	-2.152937257
NM_207318	139231	CXorf39	chromosome X open reading frame 39	2.29776307	1.4567723	NA
NM_003928	8933	CXX1	CAAX box 1	1.86069134	5.7639809	NA
NM_014593	30827	CXXC1	CXXC finger 1 (PHD domain)	2.89266981	0.637618	NA
NM_016463	51523	CXXC5	CXXC finger 5	2.87004664	2.5903232	NA
NM_001914	1528	CYB5A	cytochrome b5 type A (microsomal)	2.70972286	3.3991674	NA
NM_148923	1528	CYB5A	cytochrome b5 type A (microsomal)	2.81628364	2.5903232	NA
NM_030579	80777	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	1.81622267	5.7639809	NA
NM_016229	51700	CYB5R2	cytochrome b5 reductase 2	2.96264318	1.0218237	NA
NM_001001336	51700	CYB5R2	cytochrome b5 reductase 2	2.96264318	1.0218237	NA
NM_001916	1537	CYC1	cytochrome c-1	2.2208073	1.4567723	NA
NM_018947	54205	CYCS	cytochrome c, somatic	0.56288637	7.6537443	-1.776557496
NM_014376	26999	CYFIP2	cytoplasmic FMR1 interacting protein 2	2.96084991	2.5903232	NA
NM_134268	114757	CYGB	cytoglobin	3.55467363	0	NA
NM_032687	50626	CYHR1	cysteine/histidine-rich 1	1.8972898	3.9508566	NA
NM_000896	4051	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3	2.00029708	3.9508566	NA
NM_052954	116159	CYYR1	cysteine/tyrosine-rich 1	4.64874035	0.637618	NA
NM_015704	27351	D15Wsu75e	DNA segment, Chr 15, Wayne State University 75, expressed	2.98726408	0.637618	NA
NM_001344	1603	DAD1	defender against cell death 1	2.16632631	2.1038158	NA
NM_018114	55152	DALRD3	DALR anticodon binding domain containing 3	1.67775256	8.27025	NA
NM_001009996	55152	DALRD3	DALR anticodon binding domain containing 3	1.67775256	8.27025	NA
NM_004394	1611	DAP	death-associated protein	1.68047972	8.8660141	NA
NM_001350	1616	DAXX	death-associated protein 6	1.93512471	8.27025	NA
NM_020548	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	1.95585594	1.5613079	NA
NM_033542	55861	DBNDD2	dysbindin (dystrobrevin binding protein 1) domain containing 2	1.55313864	8.593663	NA
NM_018478	55861	DBNDD2	dysbindin (dystrobrevin binding protein 1) domain containing 2	2.090792	5.9122677	NA
NM_001352	1628	DBP	D site of albumin promoter (albumin D-box) binding protein	2.65256401	8.593663	NA
NM_173674	285761	DCBLD1	discoidin, CUB and LCCL domain containing 1	0.53170351	9.6306887	-1.880747411
NM_001919	1632	DCI	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)	1.60388687	8.593663	NA
NM_022487	64421	DCLRE1C	DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)	0.3751761	8.8660141	-2.665414988
NM_133507	1634	DCN	decorin	2.83729964	0.637618	NA
NM_001920	1634	DCN	decorin	2.95611904	0.637618	NA
NM_133505	1634	DCN	decorin	2.61630493	0.637618	NA
NM_133504	1634	DCN	decorin	2.95611904	0.637618	NA
NM_133503	1634	DCN	decorin	2.95611904	0.637618	NA
NM_133506	1634	DCN	decorin	2.75708055	0.637618	NA
NM_014026	28960	DCPS	decapping enzyme, scavenger	2.01609703	6.8159167	NA
NM_001921	1635	DCTD	dCMP deaminase	1.72069397	7.2505573	NA
NM_001012732	1635	DCTD	dCMP deaminase	1.72069397	7.2505573	NA
NM_006400	10540	DCTN2	dynactin 2 (p50)	1.63696089	7.6537443	NA
NM_016221	51164	DCTN4	dynactin 4 (p62)	0.60431433	9.8653909	-1.654767975
NM_032486	84516	DCTN5	dynactin 5 (p25)	1.83745772	5.7639809	NA
NM_173475	123879	DCUN1D3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	4.82705143	0.637618	NA
NM_032299	84259	DCUN1D5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	1.80236194	8.593663	NA
NM_024050	79016	DDA1	DDA1	2.71543446	3.9508566	NA
NM_013974	23564	DDAH2	dimethylarginine dimethylaminohydrolase 2	1.68491943	8.27025	NA
NM_018482	50807	DDEF1	development and differentiation enhancing factor 1	0.57982862	8.8660141	-1.724647535
NM_004083	1649	DDIT3	DNA-damage-inducible transcript 3	1.74557956	6.5999626	NA
NM_001355	1652	DDT	D-dopachrome tautomerase	2.66790751	1.9393426	NA
NM_007204	11218	DDX20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	0.46793207	9.8653909	-2.13706233
NM_182540	203522	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	0.3324201	1.7079054	-3.00824168
NM_005804	10212	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	2.10303228	3.797649	NA
NM_138998	10212	DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	2.10303228	3.797649	NA
NM_016222	51428	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	2.61128303	0.637618	NA
NM_019082	54606	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	2.01947175	9.0782945	NA
NM_021008	10522	DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	2.03626504	2.5903232	NA
NM_020664	26063	DECR2	2,4-dienoyl CoA reductase 2, peroxisomal	1.80434764	8.593663	NA
NM_032998	9191	DEDD	death effector domain containing	1.98162136	2.4738185	NA
NM_133328	162989	DEDD2	death effector domain containing 2	2.14380959	5.5989565	NA
NM_144780	8560	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	0.37933135	9.8653909	-2.63621765
NM_003676	8560	DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	0.37933135	9.8653909	-2.63621765
NM_024820	57706	DENND1A	DENN/MADD domain containing 1A	2.12338352	6.8159167	NA
NM_005848	10260	DENND4A	DENN/MADD domain containing 4A	0.38991526	2.4912595	-2.564659819
NM_017925	55667	DENND4C	DENN/MADD domain containing 4C	0.32094779	2.3697766	-3.115771571
NM_014015	28955	DEXI	dexamethasone-induced transcript	2.38974545	2.9727196	NA
NM_213566	1676	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	1.56585603	9.8653909	NA
NM_004401	1676	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	1.77628015	8.0395314	NA
NM_015404	25861	DFNB31	deafness, autosomal recessive 31	0.49683893	5.7639809	-2.012724728
NM_012079	8694	DGAT1	diacylglycerol O-acyltransferase homolog 1 (mouse)	1.85564177	5.3706176	NA
NM_022719	8220	DGCR14	DiGeorge syndrome critical region gene 14	1.48435912	8.8660141	NA
NM_201533	8525	DGKZ	diacylglycerol kinase, zeta 104kDa	1.60296947	7.6537443	NA
NM_201532	8525	DGKZ	diacylglycerol kinase, zeta 104kDa	1.60296947	7.6537443	NA
NM_003646	8525	DGKZ	diacylglycerol kinase, zeta 104kDa	1.60296947	7.6537443	NA
NM_080918	1716	DGUOK	deoxyguanosine kinase	1.70304	5.0573729	NA
NM_080916	1716	DGUOK	deoxyguanosine kinase	1.57469762	7.6537443	NA
NM_001361	1723	DHODH	dihydroorotate dehydrogenase	2.25265178	9.4283268	NA
NM_001025193	1723	DHODH	dihydroorotate dehydrogenase	2.25265178	9.4283268	NA
NM_013406	1725	DHPS	deoxyhypusine synthase	1.94985224	3.753678	NA
NM_001930	1725	DHPS	deoxyhypusine synthase	2.11754316	2.4738185	NA
NM_013407	1725	DHPS	deoxyhypusine synthase	1.89033341	4.9341886	NA
NM_016245	51170	DHRS8	dehydrogenase/reductase (SDR family) member 8	0.26168703	3.6724243	-3.821358666
NM_019030	54505	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	0.34783227	1.7079054	-2.874948894
NM_020865	170506	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	0.48494752	5.7639809	-2.0620788
NM_198963	90957	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	0.47676513	8.27025	-2.097468831
NM_014974	22982	DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	0.50945364	9.8653909	-1.962887143
NM_199336	151313	DKFZp434N062	hypothetical protein DKFZp434N062	1.95125229	5.0573729	NA
NM_001001991	25891	DKFZP586H2123	regeneration associated muscle protease	5.19072355	0	NA
NM_015430	25891	DKFZP586H2123	regeneration associated muscle protease	5.19072355	0	NA
NM_005509	1657	DMXL1	Dmx-like 1	0.24196865	1.7079054	-4.132766786
NM_006736	3300	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	2.02840319	7.2505573	NA
NM_058246	10049	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	1.76647948	8.7274414	NA
NM_022365	64215	DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1	0.37350582	3.9508566	-2.677334452
NM_018981	54431	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	0.47374183	7.2505573	-2.110854344
NM_014280	22826	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	2.06992484	5.7639809	NA
NM_001009934	1774	DNASE1L1	deoxyribonuclease I-like 1	2.02838982	5.0573729	NA
NM_001009933	1774	DNASE1L1	deoxyribonuclease I-like 1	2.02838982	5.0573729	NA
NM_006730	1774	DNASE1L1	deoxyribonuclease I-like 1	2.02838982	5.0573729	NA
NM_001009932	1774	DNASE1L1	deoxyribonuclease I-like 1	2.02838982	5.0573729	NA
NM_139072	92737	DNER	delta-notch-like EGF repeat-containing transmembrane	0.32092883	2.3697766	-3.115955647
NM_012100	23549	DNPEP	aspartyl aminopeptidase	1.84355814	8.1979458	NA
NM_052951	116092	DNTTIP1	deoxynucleotidyltransferase, terminal, interacting protein 1	1.97172212	5.9122677	NA
NM_033407	85440	DOCK7	dedicator of cytokinesis 7	0.46704419	3.2351467	-2.141125019
NM_005510	1797	DOM3Z	dom-3 homolog Z (C. elegans)	1.95305181	2.0161834	NA
NM_015018	23033	DOPEY1	dopey family member 1	0.43800749	6.3497914	-2.283065981
NM_006268	5977	DPF2	D4, zinc and double PHD fingers family 2	1.54164553	8.593663	NA
NM_003863	8818	DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	2.60527283	5.0573729	NA
NM_013379	29952	DPP7	dipeptidyl-peptidase 7	2.58281124	1.4567723	NA
NM_000110	1806	DPYD	dihydropyrimidine dehydrogenase	0.38600727	3.753678	-2.590624783
NM_001938	1810	DR1	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	2.04815605	2.3206861	NA
NM_006442	10589	DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	2.84450578	2.3697766	NA
NM_152945	129831	DRB1	developmentally regulated RNA-binding protein 1	0.48398449	8.0395314	-2.066181914
NM_004147	4733	DRG1	developmentally regulated GTP binding protein 1	1.64398124	8.27025	NA
NM_001388	1819	DRG2	developmentally regulated GTP binding protein 2	2.03425927	8.593663	NA
NM_004949	1824	DSC2	desmocollin 2	0.50775449	9.8653909	-1.96945575
NM_024422	1824	DSC2	desmocollin 2	0.50775449	9.8653909	-1.96945575
NM_203433	8624	DSCR2	Down syndrome critical region gene 2	1.60086487	9.8653909	NA
NM_003720	8624	DSCR2	Down syndrome critical region gene 2	1.60086487	9.8653909	NA
NM_006870	11034	DSTN	destrin (actin depolymerizing factor)	1.54991671	8.27025	NA
NM_001011546	11034	DSTN	destrin (actin depolymerizing factor)	1.54991671	8.27025	NA
NM_015343	23399	DULLARD	dullard homolog (Xenopus laevis)	1.66164086	8.593663	NA
NM_020175	56931	DUS3L	dihydrouridine synthase 3-like (S. cerevisiae)	1.9880836	3.6724243	NA
NM_007026	11072	DUSP14	dual specificity phosphatase 14	2.14056309	8.27025	NA
NM_030640	80824	DUSP16	dual specificity phosphatase 16	0.48503929	8.1979458	-2.061688652
NM_017823	54935	DUSP23	dual specificity phosphatase 23	1.80258132	5.9122677	NA
NM_004423	1857	DVL3	dishevelled, dsh homolog 3 (Drosophila)	1.72227798	8.593663	NA
NM_016008	51626	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	0.37289273	6.5999626	-2.68173638
NM_080677	140735	DYNLL2	dynein, light chain, LC8-type 2	1.8749435	7.2505573	NA
NM_001004023	8444	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.00626625	1.4567723	NA
NM_003582	8444	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	2.00626625	1.4567723	NA
NM_014648	9666	DZIP3	zinc finger DAZ interacting protein 3	0.34574829	2.0161834	-2.8922775
