Gen Symbol	Fold Change	Log Odds
Slc25a36	-1.84	3.01
Rras	-1.84	7.76
Trex1	-1.84	6.18
Dact1	-1.84	7.58
Sfxn3	-1.84	5.8
Dpyd	-1.84	3.48
Scotin	-1.84	4.83
Dtna	-1.85	5.37
Cd38	-1.85	3.03
Gnas	-1.85	4.43
Gpr34	-1.85	7
Csf1	-1.85	7
Polr3gl	-1.85	6.36
Birc3	-1.85	8.21
S100a13	-1.85	4.2
Ankrd47	-1.85	7.23
Cyp27a1	-1.86	4.72
Rab3il1	-1.86	6.81
Axl	-1.86	5.19
Dnajb4	-1.86	4.95
Klf6	-1.86	4.63
Flot2	-1.86	4.36
Lzp-s	-1.86	4.62
Ppp1r1a	-1.86	3.65
Pdha1	-1.86	6.16
Coch	-1.87	5.5
Klb	-1.87	4.86
Emr1	-1.87	4.83
Frzb	-1.87	3.1
Spon2	-1.87	5.5
Naalad2	-1.87	8.6
Mylk2	-1.87	6.71
Hoxd9	-1.87	5.74
Hexa	-1.87	5.96
Pbxip1	-1.87	3.03
Acacb	-1.87	4.98
Lip1	-1.87	5.68
Capn3	-1.87	6.23
Serpina3n	-1.87	5.82
Cd83	-1.87	7.39
Gypc	-1.88	4.81
Mylip	-1.88	7.81
Lrrfip1	-1.88	6.91
Plxnd1	-1.88	5.58
Il1rl1	-1.88	4.96
Angptl4	-1.88	6.27
Arl6ip5	-1.88	3.24
Adam19	-1.88	7.37
Cspg2	-1.88	7.71
Ptp4a2	-1.88	4.64
Gstz1	-1.89	8.04
Gusb	-1.89	5.06
Rdh9	-1.89	3.27
Reln	-1.89	8.49
Brp44l	-1.89	6.86
Alpk3	-1.89	4.11
Sparc	-1.89	5.11
Arsa	-1.89	3.5
Dleu2	-1.89	4.57
Fez2	-1.89	8.83
Gfpt2	-1.89	3.96
Irf1	-1.89	4.47
Rsu1	-1.89	6.56
Jak1	-1.89	6.1
Vnn1	-1.9	4.23
Ncf4	-1.9	7.37
Pdgfra	-1.9	6.54
Aco1	-1.9	4.43
Ptprm	-1.9	8.33
Akr1c13	-1.9	7.12
Cst3	-1.9	8.47
Sgcb	-1.9	5.41
Gbas	-1.9	3.93
Ephx2	-1.9	7.52
Ahr	-1.9	7.58
P2rx4	-1.9	6.93
Lyn	-1.9	5.79
Tmem160	-1.9	3
spt4	-1.91	5.15
Hip1	-1.91	4.19
Glul	-1.91	8.56
Lpl	-1.91	7.4
Phkg1	-1.91	6.49
Ephx1	-1.91	6.26
Mcpt4	-1.91	8.42
Sp100	-1.91	6.43
Ifi35	-1.91	6.86
Pitx2	-1.91	5.57
Dhx30	-1.91	3.96
Mlxipl	-1.91	8.5
Cyp2j6	-1.91	9.03
Aspa	-1.91	7.18
Nol3	-1.91	7.96
Pdia5	-1.91	8.46
Acsbg1	-1.91	6.47
Rasa3	-1.92	6.08
Acsl4	-1.92	4.69
Nnat	-1.92	3.23
Fth1	-1.92	8.22
Ifitm2	-1.93	6.41
Aldh3a1	-1.93	8.61
Galnt7	-1.93	3.27
Acadsb	-1.93	6.06
Isl1	-1.93	5.3
Jam2	-1.93	7.09
Sdha	-1.93	5.2
Sgca	-1.93	9.18
Coq9	-1.94	7.07
Cd81	-1.94	5.53
Npy1r	-1.94	3.25
Lgals8	-1.94	6.91
Clock	-1.94	5.84
Ncam1	-1.94	3.67
Hsd3b7	-1.95	6.18
Fkbp10	-1.95	4.59
Adhfe1	-1.95	8.4
Cotl1	-1.95	3.15
Serinc3	-1.95	3.69
Irs1	-1.96	7.52
Etnk1	-1.96	7.03
Pdgfd	-1.96	8.34
Mpdz	-1.96	7.2
Slfn8	-1.96	6.41
Gng11	-1.96	8.38
Aldoa	-1.96	5.54
Gmpr	-1.96	7.92
Tcf4	-1.96	3.35
Ltc4s	-1.96	6.17
Zfp364	-1.96	6.55
Twist2	-1.96	9.16
Akr1b8	-1.97	8.6
Enpp2	-1.97	5.64
Selm	-1.97	7.92
Scd1	-1.97	9.17
Ms4a8a	-1.97	7.21
Cxx1c	-1.97	8.38
Dap	-1.97	9.08
Evi2b	-1.97	6.64
Mapk12	-1.98	5.01
Ube2d1	-1.98	6.45
Emr4	-1.98	4.38
Fah	-1.98	4.47
B3galnt1	-1.98	5.54
Ramp2	-1.98	4.18
Lst1	-1.98	5.88
Cd86	-1.99	6.38
Sema3b	-1.99	6.4
Cav3	-1.99	5.88
Grb14	-1.99	6.67
Marveld1	-1.99	9.27
Oas2	-1.99	7.22
Emb	-1.99	6.81
Glud1	-1.99	7.16
Slc2a4	-2	6.39
Lrrc33	-2	8.77
Cyb5r1	-2	6.39
Pde2a	-2	5.85
Fcgr3	-2	6.91
Podxl	-2	9.43
Nucb2	-2	5.28
Pts	-2	6.67
Cybb	-2	3.41
Gas1	-2	4.44
Pygl	-2.01	8.48
Dnase1l1	-2.01	7.23
Lmo2	-2.01	7
Nfkbia	-2.01	6.43
Cd209e	-2.01	5.61
Agl	-2.01	5.92
Vcam1	-2.01	7.88
Armcx2	-2.01	5.06
Osmr	-2.02	7.72
Mpp1	-2.02	10.01
P2ry6	-2.02	5.25
Ltbp1	-2.02	5.33
Popdc3	-2.02	6.4
Slc7a10	-2.02	5.86
Gstt2	-2.03	6.37
Cyp2f2	-2.03	3.53
Atp1b2	-2.03	4.16
Btbd1	-2.03	8.64
Fyco1	-2.03	4.04
Prdx6	-2.03	7.09
Rgs10	-2.03	7.72
Dapk1	-2.03	6.92
F13a1	-2.03	5.56
Tyki	-2.03	6.84
Ccl27	-2.03	3.15
Hpgd	-2.04	7.75
Slfn1	-2.04	8.27
Ccl6	-2.04	8.86
Abcg2	-2.04	6.18
Hrnr	-2.04	6.2
Armcx4	-2.04	5.47
Nck1	-2.04	5.88
Mettl7a	-2.04	5.04
Cpxm1	-2.05	4.57
Ccr1	-2.05	7.41
BC013712	-2.05	4.54
Ehd2	-2.05	5.78
Thy1	-2.05	4.43
Tmem106a	-2.05	9.49
Stat1	-2.06	9.19
Casp4	-2.06	7.13
Lgals1	-2.06	8.35
Prkcb1	-2.06	9.31
Gsn	-2.07	5.31
Ifnar2	-2.07	7.25
Slfn2	-2.07	6.25
Car8	-2.07	7.98
B2m	-2.07	4.32
Cd59a	-2.07	9.82
Pdpn	-2.07	8.15
Gpr137b	-2.07	5.47
Dcamkl1	-2.08	7.18
Ctss	-2.08	7.04
Ccdc80	-2.08	7.12
Gns	-2.09	7.86
Slc28a2	-2.09	9.28
Olfm1	-2.09	6.5
Eltd1	-2.09	9.35
Cat	-2.09	4.59
Larp6	-2.09	9.97
Nnt	-2.1	8.73
Fa2h	-2.1	5.95
Fap	-2.1	7.56
Grem2	-2.1	8.83
Cacnb1	-2.1	3.89
Thbs3	-2.1	5.36
Parp12	-2.11	8.75
Csf2rb2	-2.11	5.97
Tor3a	-2.11	7.76
Tspo	-2.11	6.44
Sox17	-2.11	7.94
Tmem140	-2.11	8.52
Hoxc8	-2.11	8.41
Nova1	-2.11	7.53
Coro1a	-2.11	6.95
Cd97	-2.12	7.75
Gmfg	-2.12	6.47
Satb1	-2.12	5.28
Hnmt	-2.13	4.74
Lgals3bp	-2.13	5.99
Gucy1b3	-2.13	7.82
Ndrg2	-2.13	6.56
Mfap2	-2.13	6.78
C1qc	-2.14	3.62
Pink1	-2.14	8.92
Psmb10	-2.14	5.37
Gpr133	-2.14	10.55
Pkd2	-2.14	10.71
Plac9	-2.14	6.18
Ntrk2	-2.14	7.4
Gnb4	-2.14	6.57
Cav2	-2.14	8.53
Epdr2	-2.15	9.65
Ifitm3	-2.15	5.89
Pea15	-2.15	8.23
Cp	-2.15	3.37
Gpt2	-2.15	5.05
Mrc1	-2.16	7.01
Galnact2	-2.16	6.32
Lbp	-2.16	6.27
Mpeg1	-2.16	9.36
Trim25	-2.16	8.22
Pde8a	-2.16	7.14
Flg	-2.17	5.16
Prkcdbp	-2.17	6.38
Ints6	-2.17	5.97
Lamb2	-2.17	5.39
Lims2	-2.17	9.25
Ntn1	-2.17	10.01
Sprrl7	-2.17	4.15
C2	-2.17	9.02
Srpx	-2.18	8.37
Dbp	-2.18	7.88
Adamts15	-2.18	6.99
Smarcd3	-2.18	7.61
Nr3c1	-2.18	9.12
Armcx3	-2.18	5.78
Rnasel	-2.19	7.72
Pscdbp	-2.19	6.05
Olfml2b	-2.19	9.64
Fmod	-2.19	6.17
Itgb2	-2.19	8.56
Rhoq	-2.19	10.7
Entpd2	-2.19	9.94
Cd93	-2.2	5.72
Exoc6	-2.2	4.42
Hdgfrp3	-2.2	6.72
Mpz	-2.2	5.73
Fut8	-2.2	7.82
Sec24d	-2.21	6.7
Pfkfb3	-2.21	8.32
Cd68	-2.21	10.53
Krt79	-2.21	9.51
Msr2	-2.21	9.26
Elk3	-2.21	4.94
Pparg	-2.22	6.94
Ppap2b	-2.22	6.33
F2r	-2.22	6.63
Tnmd	-2.22	6.78
Taok3	-2.22	4.95
Gpm6b	-2.22	5.65
Cd207	-2.22	8.25
Cyba	-2.23	5.42
Ms4a6b	-2.23	8.11
Defb6	-2.23	4.42
Ptpla	-2.23	8.14
Cfl2	-2.23	6.48
Ppic	-2.23	7.51
Gpx7	-2.23	9.28
Ank1	-2.23	10.63
Nfix	-2.23	9.01
Nmi	-2.23	8.78
Sgce	-2.23	7.17
Cfp	-2.23	10.48
Smarca2	-2.23	3.63
Postn	-2.24	6.08
Zcd1	-2.24	8.53
Cfb	-2.24	6.8
Cd163	-2.24	6.07
Cxcl9	-2.24	7.68
Lsp1	-2.24	7.07
Gup1	-2.24	8.96
Dynlt1	-2.24	7.48
Chst1	-2.24	7.85
Sypl2	-2.25	7.17
Cd53	-2.25	7.61
Slc16a1	-2.25	4.7
Arhgdib	-2.25	10
Psmb9	-2.25	6.26
Qpct	-2.25	9.63
Abcc9	-2.26	7.48
Mef2a	-2.26	6.17
Ly6a	-2.26	9.61
Hfe	-2.26	11.36
Aldh6a1	-2.26	6.35
Ptpro	-2.27	10.08
Tpm1	-2.27	11.14
Mgll	-2.27	7.62
Tbx15	-2.27	7.8
Igf1	-2.27	8.64
Emp3	-2.28	8.8
Fxr1h	-2.28	5.07
Ndrg4	-2.28	7.89
Tmem45b	-2.28	3.61
Il2rg	-2.28	3.49
Esam1	-2.29	9.8
Retn	-2.29	5.94
Hsd17b11	-2.29	8.65
Plvap	-2.29	8.44
Csprs	-2.29	8.99
Wnt2	-2.29	9.82
Ech1	-2.3	8.99
Fcgr1	-2.3	9.74
Aadac	-2.3	7.48
Eln	-2.3	4.07
Vim	-2.3	4.28
Apod	-2.3	9.91
Myoc	-2.3	5.18
Twist1	-2.31	5.98
Cidec	-2.31	4.93
Casp12	-2.31	6.28
Hmgn3	-2.31	8.96
Cstf2t	-2.31	8.03
Cugbp2	-2.31	8.83
Ms4a4c	-2.31	7.39
Osr1	-2.31	3.83
Sh3bgrl	-2.31	5.5
Phkb	-2.32	9.5
Sdc2	-2.32	8.63
Fcna	-2.32	8.85
Lgals9	-2.32	7.74
Adam12	-2.32	10.27
Edg2	-2.32	8.3
Gpc3	-2.32	5.01
Irf4	-2.32	8.73
Cxcl4	-2.32	6.11
Fxyd2	-2.33	6.99
Pecam1	-2.33	8.8
P4ha2	-2.33	7.77
H2-DMb1	-2.33	10.15
Fxyd6	-2.33	5.81
Mfap4	-2.33	7.81
Meox2	-2.33	10.33
Aldh1a7	-2.33	5.25
Cd14	-2.33	8.06
Hspb3	-2.33	6.28
Lass5	-2.33	11.05
H2-T24	-2.34	9.75
Cd248	-2.34	9.26
Alox5ap	-2.34	10.09
Kdelr3	-2.34	5.9
Tmem109	-2.35	4.67
Hoxa9	-2.35	10.88
Sln	-2.35	7.95
Rgs18	-2.35	8.63
Mmd	-2.35	8.44
Lcp1	-2.35	8.29
Ptgfr	-2.36	9.89
Tgfb2	-2.36	3.38
Schip1	-2.36	8.18
H2-M3	-2.36	10.09
Slamf9	-2.36	6.13
Asahl	-2.36	8.8
Tfpi	-2.36	10.02
Rbp7	-2.36	10.55
Abhd3	-2.37	6.98
Cdh11	-2.37	3.47
Fcer1g	-2.37	6.16
Colec12	-2.37	5.15
G0s2	-2.38	7.24
Krt15	-2.38	9.66
Sema3c	-2.38	3.66
Svep1	-2.38	9.91
Zfp106	-2.38	8.73
Enpep	-2.38	9.91
Cldn5	-2.39	6.88
Peg3	-2.39	6.12
Il18	-2.39	6.75
Abcd2	-2.39	3.95
Tgm2	-2.39	8.68
C4b	-2.4	7.65
Slc43a3	-2.4	8.53
Spp1	-2.4	3.59
Ifih1	-2.4	9.36
Ets1	-2.4	6.54
Cfh	-2.41	2.56
Sycp3	-2.41	7.66
Crip1	-2.42	8.23
Angptl2	-2.42	9.12
Wipf1	-2.42	5.59
Nr1d2	-2.42	9.07
Iigp2	-2.42	11.05
Nrp1	-2.43	8.66
Mmp2	-2.43	3.34
Itgbl1	-2.43	6.78
Brd4	-2.43	10.83
Ghr	-2.43	9.99
Dpep1	-2.44	6.78
Plek	-2.44	9.55
Aif1	-2.44	9.27
Dst	-2.44	3.11
Pttg1ip	-2.44	6.98
Pon1	-2.45	6.43
Cmtm3	-2.45	9.97
Pros1	-2.45	6.75
Serpina12	-2.45	10.86
Omd	-2.45	8.79
Parp9	-2.46	9.79
C1qa	-2.46	7.71
Vldlr	-2.46	4.32
Cabc1	-2.46	8.62
Fkbp9	-2.46	7.14
Darc	-2.46	10.4
Ctla2b	-2.46	7.44
Hrasls3	-2.47	6.08
Zfhx1a	-2.47	10.73
Ptrf	-2.47	9.27
Asb12	-2.47	10.11
Zic1	-2.47	11.54
Elovl6	-2.47	6.84
Pdgfc	-2.47	7.08
Sepw1	-2.48	11.47
pPtp4a3	-2.48	8.38
Ndufv1	-2.48	6.85
Usp18	-2.48	10.84
Mmp23	-2.48	7.84
Tgfbr2	-2.49	7.78
Ms4a6d	-2.49	9.24
Nope	-2.49	8.24
Spon1	-2.49	8.09
Pde4b	-2.49	10.41
Fbln5	-2.49	10.26
Serpinb6a	-2.49	9.78
Serpinh1	-2.49	2.82
Sfrp4	-2.5	11.58
Susd2	-2.5	8.79
Synpo2	-2.5	10.73
Thbs2	-2.5	5.79
Zbp1	-2.5	7.41
Samhd1	-2.51	8.6
Col1a2	-2.51	7.52
Isg15	-2.51	11.22
Tmem47	-2.51	6.23
Ms4a4d	-2.51	6.61
Sprrl2	-2.52	8.36
Cd302	-2.52	10.01
Htra3	-2.52	4.78
Rsad2	-2.53	4.56
Fn1	-2.53	4.55
Cav1	-2.53	8.63
Ldb2	-2.53	4.48
Tlr4	-2.53	8.39
Egln3	-2.53	10
Smtnl1	-2.53	5.44
Fundc2	-2.54	10.04
Cd209d	-2.54	10.33
Nupr1	-2.54	10.54
Slc1a5	-2.54	9.22
Lep	-2.54	8.41
Fmo1	-2.54	10.91
Emcn	-2.55	9.47
Thbd	-2.55	3.59
Zfp521	-2.55	9.45
Cma1	-2.55	7.29
Aoc3	-2.55	8.78
Pon3	-2.55	8.25
Slc25a4	-2.55	11.96
Pmp22	-2.55	9.04
Col6a3	-2.56	3.66
Fcgrt	-2.56	11.85
Myl1	-2.56	9.12
Phka1	-2.56	11.73
Adamts5	-2.56	6.73
Folr2	-2.57	9.72
Igtp	-2.58	7.65
Elovl4	-2.58	4.38
Cyp4v3	-2.58	10.14
Parp14	-2.59	10.06
Cryab	-2.59	11.37
Cryab	-2.59	7.97
Gzmc	-2.59	12.65
Sprrl5	-2.59	9.48
Clec4a2	-2.59	7.78
Psmb8	-2.6	10.13
Clec4b1	-2.6	9.18
Ifi47	-2.6	7.86
Ddr2	-2.6	6.97
Ccl9	-2.61	8.33
Vamp5	-2.61	10.54
Islr	-2.61	11.62
Mgl1	-2.62	7.45
Lum	-2.62	9.28
Vwf	-2.62	10.51
Lama4	-2.62	11.62
Igh-6	-2.62	9.84
Clec3b	-2.62	5.03
Bnip3	-2.63	10.48
Ptgs1	-2.63	7.5
Serpina3c	-2.63	9.85
C1qb	-2.63	5.39
Gnai1	-2.63	10.67
Trf	-2.63	8.15
Dnm3os	-2.63	3.63
Gbp3	-2.64	8.46
Ogn	-2.64	3.03
Car3	-2.64	5.11
Chpt1	-2.64	9.11
Cd55	-2.65	5.38
Lama2	-2.65	9.73
Cidea	-2.65	10
Tmem38a	-2.65	10.26
Cd48	-2.65	8.5
Svil	-2.66	9.26
Dab2	-2.66	11.32
Gbp2	-2.66	10.77
Ifi202b	-2.67	6.62
Clec2d	-2.68	8.94
Plekhc1	-2.68	8.98
Irgm	-2.68	10.78
Cnp1	-2.68	9.02
Plagl1	-2.68	7.6
Col5a1	-2.69	5.67
Aebp1	-2.69	9.31
Pck1	-2.7	9.39
Man1a	-2.7	9.21
Neu2	-2.7	6.87
Chrdl1	-2.7	7.59
Gyg	-2.7	8.46
Ifit2	-2.71	7.48
Add3	-2.71	5.96
Serping1	-2.71	7.78
Gimap4	-2.71	9.83
H2-DMa	-2.71	12.15
Pgm2	-2.72	9.02
C1r	-2.72	7.47
C1s	-2.72	9.91
Ifi27	-2.72	10.05
Fstl1	-2.73	8
S3-12	-2.73	11.8
Col5a2	-2.73	11.02
Kctd12	-2.74	9.46
St3gal6	-2.74	8.13
Oas1a	-2.75	12.35
Zbtb20	-2.76	11.58
Ugp2	-2.76	10.19
Trim30	-2.76	11.67
Cd209a	-2.76	12.59
Rhoj	-2.77	4.2
Bin1	-2.77	10.78
Pip5k2a	-2.77	8.34
Cebpd	-2.77	12.03
Aldh1a1	-2.77	10.4
Ccl21b	-2.78	13.01
Anxa3	-2.78	11.56
Ap1s2	-2.78	10.19
Cd1d1	-2.78	10.75
Gp49a	-2.78	10.28
Loxl1	-2.79	8.45
Cap2	-2.8	8.77
Il1r2	-2.8	11.37
Cd34	-2.81	8.27
Reck	-2.81	11.98
Cyp4b1	-2.81	11.39
Fkbp7	-2.81	12.19
Fcgr2b	-2.82	9.72
Grb10	-2.82	11.2
Bicc1	-2.82	12.81
Lmcd1	-2.83	8.5
Pgcp	-2.83	12.25
Dpt	-2.83	8.97
Serpinb1a	-2.84	9.54
Klhl13	-2.84	6.97
Tek	-2.84	11.74
Ccr2	-2.85	4.29
Tnxb	-2.85	8.98
Slit2	-2.85	8.91
Aqp1	-2.85	4.58
Calcrl	-2.85	8.6
St8sia4	-2.85	7.43
Ramp1	-2.86	8.9
Plac8	-2.86	9.63
Pla1a	-2.86	7.51
Cpa3	-2.86	10.99
Nnmt	-2.87	8.04
Ly6c	-2.87	9.88
Calm4	-2.87	10.08
Fbp2	-2.87	10.12
Sorbs1	-2.87	5.88
Paqr7	-2.88	10.99
Krtdap	-2.88	11.63
Gbp6	-2.88	11.76
Klf2	-2.88	8.94
Loh11cr2a	-2.88	10.28
Gstm2	-2.89	9.32
	-2.89	10.41
Atp1a2	-2.89	10.12
Rcn3	-2.89	10.63
Evi2a	-2.9	13.26
Scd3	-2.91	11.14
Col3a1	-2.91	7.98
Il6st	-2.91	7.28
Cd52	-2.91	12.72
Aspn	-2.92	6.94
Cacna1s	-2.93	12.45
Scara5	-2.93	11.96
Nid1	-2.94	6.25
Ptplad2	-2.94	8.35
Tmem100	-2.94	6.36
Tmeff2	-2.94	9.09
Scara3	-2.95	10.67
Cyp2g1	-2.95	8.52
Ifi205	-2.95	8.42
Txnip	-2.95	11.49
Hal	-2.96	7.68
Akr1c18	-2.96	12.15
Rarres2	-2.96	12.84
Tspan8	-2.96	3.65
Cxcl13	-2.96	9.49
Pdlim7	-2.98	11.99
Art3	-2.98	10.56
Myf6	-2.99	12.77
Adipoq	-2.99	10.27
Igfbp6	-2.99	12.25
Hspb7	-3.01	12.67
Aqp4	-3.02	11.12
Sspn	-3.03	10.51
Gstt1	-3.04	8.76
H2-Aa	-3.04	11.99
Acsl1	-3.04	9.98
Gstm1	-3.04	13.18
Ddit4l	-3.04	9.1
Pdgfrb	-3.05	4.26
Aox1	-3.05	11.04
Laptm5	-3.06	11.73
Efemp1	-3.07	9.44
Fgl2	-3.07	10.87
Sult1a1	-3.07	10.56
Gbp1	-3.09	12.35
H2-Ab1	-3.09	10.36
Oasl2	-3.09	11.46
Klf9	-3.1	9.02
Sdpr	-3.1	10.92
Cd74	-3.11	6.1
Tnfaip2	-3.11	10.16
Ebf1	-3.11	4.92
Lmod2	-3.11	8.18
Htra1	-3.12	11.6
Fbn1	-3.12	13.43
Slfn4	-3.12	9.62
Ccl24	-3.12	8.39
Thrsp	-3.13	11.78
Timp2	-3.13	3.12
Sncg	-3.14	10.64
Ptprc	-3.14	12.37
Serpinf1	-3.14	12.76
Antxr2	-3.15	7.48
Anxa5	-3.15	11.6
Abca8a	-3.16	11.78
Dhrs7	-3.17	8.96
Cd209b	-3.17	9.49
Ifit1	-3.18	10.88
Rtp4	-3.18	10.35
Cd47	-3.18	10.45
Abi3bp	-3.22	8.44
Fgf13	-3.23	13.53
Mmp3	-3.23	12.55
Orm1	-3.25	12.8
Cxcr7	-3.25	11.75
Serpinb7	-3.26	7.52
Cd36	-3.27	11.81
Ly86	-3.27	11.04
Col14a1	-3.27	12.48
C3	-3.27	8.81
Cmbl	-3.31	9.53
Fabp4	-3.32	4.13
Tnnc2	-3.38	10.6
Ear1	-3.38	10.4
Sprrl3	-3.4	9.76
Tsc22d3	-3.41	9.78
Des	-3.41	5.73
Ctsk	-3.44	9.66
Igfbp3	-3.44	4.72
Mpa2l	-3.45	13.11
Ccng1	-3.46	14.13
Fndc1	-3.47	12.51
Pcolce	-3.48	11.35
Ear5	-3.51	9.08
Nov	-3.53	5.01
S100a4	-3.54	13.17
Ndg2	-3.58	9.18
Ifitm6	-3.6	8.63
Ear2	-3.61	10.24
Mgl2	-3.62	10.7
Acaa1b	-3.62	11.18
A2bp1	-3.63	14.2
Npr3	-3.65	11.26
Mfap5	-3.65	14.18
Sgcg	-3.65	13.16
Ifi44	-3.67	12.22
Prrx1	-3.69	11.91
Fhl1	-3.7	12.01
Pi16	-3.71	12.85
Trim54	-3.71	11.66
Hamp2	-3.73	9.4
Pcolce2	-3.75	8.27
Serpine2	-3.75	8.27
Iigp1	-3.75	7.57
H28	-3.75	13.27
Rbp4	-3.78	8.69
Amy1	-3.78	13.01
Mef2c	-3.79	13.77
Mylpf	-3.82	10.55
Tgfbi	-3.84	11.26
Dscr1l1	-3.84	11.35
H19	-3.84	13.14
Acyp2	-3.84	12.64
Eef1a2	-3.85	8.9
Tgtp	-3.86	11.51
Myoz2	-3.88	12.54
Fxyd1	-3.88	11.43
Antxr1	-3.9	9.08
Nrap	-3.95	10.81
Gtl2	-3.97	14.62
Amot	-3.97	11.47
Ppp1r3c	-3.97	11.15
Itm2a	-4.01	13.51
Luc7l2	-4.03	7.81
Akr1c14	-4.03	9.09
Dusp1	-4.05	11.92
Clca1	-4.05	14.12
Cdo1	-4.05	14.86
Ckm	-4.08	9.79
H2-T22	-4.1	14.47
Krt77	-4.1	8.67
Ifit3	-4.11	11.61
Lor	-4.18	13.11
Hrc	-4.19	10.89
Akap12	-4.2	14.64
Itgb1bp2	-4.21	12.53
Pdlim5	-4.21	12.44
Mbp	-4.24	12.83
Tpm2	-4.27	6.77
Asb11	-4.28	15.07
Ndn	-4.3	13.13
Cd209g	-4.31	15.1
Pdk4	-4.31	13.58
Ces3	-4.32	12.08
Ptger3	-4.35	13.08
Clca2	-4.4	12.2
Pde4dip	-4.43	11.24
Myom1	-4.45	13.49
Pfkm	-4.48	14.49
Fabp3	-4.52	16.22
Cox7a1	-4.55	12.86
Myh1	-4.56	11.67
Ryr1	-4.63	15.62
Mup1	-4.65	10.74
Myoz1	-4.66	15.18
Tnni2	-4.68	12.87
Pkia	-4.75	13.72
Myom2	-4.76	12.45
Art1	-4.77	16.07
l3l	-4.77	13.18
Rpl3l	-4.77	12.52
Txlnb	-4.86	11.99
Adssl1	-4.87	12.58
Asph	-4.92	10.25
Pdlim3	-4.92	9.19
Atp2a1	-4.92	6.5
Pygm	-5.07	11.1
Eno3	-5.09	15.84
Sh3bgr	-5.13	13.09
Mapre2	-5.28	3.64
H2-T23	-5.34	14.48
Pvalb	-5.36	8.1
Ldb3	-5.45	16.79
Tnnt3	-5.48	15.07
Tcap	-5.48	16.44
Cmya5	-5.6	16.21
Mmp11	-5.62	7.65
Asb5	-5.78	15.38
Myh4	-5.8	12.45
Rtn2	-5.85	17.28
Cox8b	-5.87	11.39
Tmod4	-5.88	14.01
Myh2	-5.89	16.3
Pgam2	-5.9	12.87
Csrp3	-5.94	13.98
Casq1	-6.07	17.3
Smpx	-6.44	14.89
Trdn	-6.6	17.17
Cox6a2	-6.63	13.01
Mb	-6.73	15.52
Actn3	-6.98	17.18
Apobec2	-7.06	17.86
Myot	-7.55	16.95
Ckmt2	-7.76	15.93
Ttn	-8.3	9.49
Cyp2e1	-8.71	15.43
H2-Eb1	-9.55	19.17
Ifi203	-19.79	13.27
H2-D1	-20.53	17.4
H2-Ea	-22.92	16.84
