ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue
ENSMUSG00000041625		MTG_602475310	-1.27	0.02108
ENSMUSG00000047250	Prostaglandin G/H synthase 1 precursor (EC 1.14.99.1) (Cyclooxygenase -1) (COX-1) (Prostaglandin-endoperoxi	MTG_602472169	-1.27	0.013
ENSMUSG00000007891	Cathepsin D precursor (EC 3.4.23.5). [Source:Uniprot/SWISSPROT;Acc:P18242]	MTG_602468473	-1.26	0.0032
ENSMUSG00000020402	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (mVDAC1) (mVDAC5) (Outer mitochondrial mem	gbctl04_plate13_P05	-1.26	0.02101
ENSMUSG00000024378	StAR-related lipid transfer protein 4 (StARD4) (START domain- containing protein 4). [Source:Uniprot/SWISSPR	MTG_602477738	-1.26	0.00456
ENSMUSG00000024962	Vascular endothelial growth factor B precursor (VEGF-B) (VEGF related factor) (VRF). [Source:Uniprot/SWISSP	MTG_602470611	-1.26	0.009
ENSMUSG00000055319		MTG_602310504	-1.26	0.03839
ENSMUSG00000001323	Serine racemase (EC 5.1.1.-). [Source:Uniprot/SWISSPROT;Acc:Q9QZX7]	MTG_602310559	-1.25	0.00466
ENSMUSG00000018171		MTG_602475157	-1.25	0.0127
ENSMUSG00000019558	solute carrier family 6 (neurotransmitter transporter, creatine), member 8; creatine transporter. [Source:RefSeq;A	gbctl04_plate13_E04	-1.25	0.02797
ENSMUSG00000019872	Acid sphingomyelinase-like phosphodiesterase 3a precursor (EC 3.1.4.-) (ASM-like phosphodiesterase 3a). [Sour	cMTG_602469643	-1.25	0.01379
ENSMUSG00000028107		MTG_602467307	-1.25	0.00309
ENSMUSG00000002332	Dehydrogenase/reductase SDR family member 1 (EC 1.1.-.-). [Source:Uniprot/SWISSPROT;Acc:Q99L04	MTG_602474836	-1.24	0.00427
ENSMUSG00000026526	Fumarate hydratase, mitochondrial precursor (EC 4.2.1.2) (Fumarase) (EF-3). [Source:Uniprot/SWISSPROT;Acc:	MTG_602475932	-1.24	0.00411
ENSMUSG00000030541	Isocitrate dehydrogenase [NADP], mitochondrial precursor (EC 1.1.1.42) (Oxalosuccinate decarboxylase) (IDH) (N	gbctl04_plate8_A11	-1.24	0.00884
ENSMUSG00000033530		gbctl04_plate15_G03	-1.24	0.01347
ENSMUSG00000017929	Beta-1,4-galactosyltransferase 5 (EC 2.4.1.-) (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (UDP-galactose:be	MTG_602310569	-1.23	0.00718
ENSMUSG00000021957	Transketolase (EC 2.2.1.1) (TK) (P68). [Source:Uniprot/SWISSPROT;Acc:P40142]	gbctl04_plate5_M12	-1.23	0.00927
ENSMUSG00000028603	Nonspecific lipid-transfer protein, mitochondrial precursor (NSL-TP) (Sterol carrier protein 2) (SCP-2) (Sterol carri	gbctl04_plate17_N17	-1.23	0.01026
ENSMUSG00000031310	zinc finger protein 261; DXHXS6673E. [Source:RefSeq;Acc:NM_019831	gbctl04_plate6_C01	-1.23	0.00963
ENSMUSG00000059456	Protein tyrosine kinase 2 beta (EC 2.7.1.112) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2)	MTG_602473227	-1.23	0.00436
ENSMUSG00000003420	IgG receptor FcRn large subunit p51 precursor (FcRN) (Neonatal Fc receptor) (IgG Fc fragment receptor transpor	tMTG_602474622	-1.22	0.03845
ENSMUSG00000026791	Solute carrier family 2, facilitated glucose transporter, member 8 (Glucose transporter type 8) (Glucose transporte	rMTG_602472123	-1.22	0.00358
ENSMUSG00000027367	StAR-related lipid transfer protein 7 (StARD7) (START domain- containing protein 7). [Source:Uniprot/SWISSPR	MTG_602470612	-1.22	0.03582
ENSMUSG00000031065	Serine/threonine-protein kinase PCTAIRE-1 (EC 2.7.1.37) (PCTAIRE-motif protein kinase 1) (CRK5). [Source:Uni	pgbctl04_plate6_L08	-1.22	0.00436
ENSMUSG00000034573	Protein tyrosine phosphatase, non-receptor type 13 (EC 3.1.3.48) (Protein tyrosine phosphatase PTP-BL) (Protei	gbctl04_plate17_D01	-1.22	0.03489
ENSMUSG00000001665	glutathione S-transferase, theta 3. [Source:RefSeq;Acc:NM_133994]	MTG_602468106	-1.21	0.0052
ENSMUSG00000004069	DnaJ homolog subfamily A member 3, mitochondrial precursor (Tumorous imaginal discs protein Tid56 homolog)	MTG_602474729	-1.21	0.00803
ENSMUSG00000028571	cytochrome P450, family 2, subfamily j, polypeptide 13; cytochrome P450, 2j13. [Source:RefSeq;Acc:NM_14554	MTG_602474129	-1.21	0.00707
ENSMUSG00000035473	aldose 1-epimerase. [Source:RefSeq;Acc:NM_176963]	MTG_602475851	-1.21	0.00411
ENSMUSG00000054522	malonyl-CoA decarboxylase. [Source:RefSeq;Acc:NM_019966	MTG_602472542	-1.21	0.00647
ENSMUSG00000008540	Microsomal glutathione S-transferase 1 (EC 2.5.1.18) (Microsomal GST- 1) (Microsomal GST-I). [Source:Uniprot/	gbctl04_plate6_A22	-1.2	0.00536
ENSMUSG00000021981	MO25-like protein. [Source:Uniprot/SWISSPROT;Acc:Q9DB16]	MTG_602138927	-1.2	0.00451
ENSMUSG00000028692	Alcohol dehydrogenase [NADP+] (EC 1.1.1.2) (Aldehyde reductase) (Aldo- keto reductase family 1 member A1). [	gbctl04_plate17_E21	-1.2	0.00512
ENSMUSG00000035637	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79). [Source:Uniprot/SWISSPROT;Acc:Q91Z53	MTG_602474459	-1.2	0.00665
ENSMUSG00000033386	stromal cell derived factor receptor 2. [Source:RefSeq;Acc:NM_009146]	MTG_602476253	-1.19	0.00415
ENSMUSG00000034850		MTG_602472477	-1.19	0.01625
ENSMUSG00000049755		MTG_602471626	-1.19	0.00842
ENSMUSG00000051483	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 1). [Source:Uniprot/SWIS	MTG_602472054	-1.19	0.00772
ENSMUSG00000054226	MDRWMS1 protein. [Source:Uniprot/SPTREMBL;Acc:Q8CHL1]	MTG_602476416	-1.19	0.00756
ENSMUSG00000020918	General control of amino acid synthesis protein 5-like 2 (EC 2.3.1.48) (Histone acetyltransferase GCN5) (mmGC	gbctl04_plate4_C20	-1.18	0.01308
ENSMUSG00000022346	Myc proto-oncogene protein (c-myc). [Source:Uniprot/SWISSPROT;Acc:P01108]	gbctl04_plate15_A06	-1.18	0.00781
ENSMUSG00000024843	Choline kinase alpha (EC 2.7.1.32) (CK) (CHETK-alpha). [Source:Uniprot/SWISSPROT;Acc:O54804]	MTG_602474696	-1.18	0.01145
ENSMUSG00000028403	Zinc finger DHHC domain containing protein 21. [Source:Uniprot/SWISSPROT;Acc:Q9D270]	MTG_602476526	-1.18	0.00342
ENSMUSG00000031247	transforming acidic coiled-coil containing protein 1 short isoform; transforming acidic coiled-coil containing protein	gbctl04_plate14_J06	-1.18	0.04197
ENSMUSG00000031977	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2; ppGaNTase-T2. [Source:	MTG_602475620	-1.18	0.04585
ENSMUSG00000001467	cytochrome P450, 51. [Source:RefSeq;Acc:NM_020010]	MTG_602467247	-1.17	0.00415
ENSMUSG00000007656	cAMP-regulated phosphoprotein 19 (ARPP-19). [Source:Uniprot/SWISSPROT;Acc:P56212]	MTG_602477288	-1.17	0.02277
ENSMUSG00000024661	Ferritin heavy chain (Ferritin H subunit). [Source:Uniprot/SWISSPROT;Acc:P09528]	gbctl04_plate3_C17	-1.17	0.00385
ENSMUSG00000026853	Carnitine O-acetyltransferase (EC 2.3.1.7) (Carnitine acetylase) (CAT). [Source:Uniprot/SWISSPROT;Acc:P4793	MTG_602473466	-1.17	0.01342
ENSMUSG00000027947	Interleukin-6 receptor alpha chain precursor (IL-6R-alpha) (IL-6R 1). [Source:Uniprot/SWISSPROT;Acc:P22272]	MTG_602470948	-1.17	0.04664
ENSMUSG00000032278		MTG_602476382	-1.17	0.01124
ENSMUSG00000042272		MTG_602476094	-1.17	0.03935
ENSMUSG00000049090		gbctl04_plate6_K19	-1.17	0.01414
ENSMUSG00000021238	aldehyde dehydrogenase family 6, subfamily A1. [Source:RefSeq;Acc:NM_134042	MTG_602471347	-1.16	0.00484
ENSMUSG00000023092	Skeletal muscle LIM-protein 1 (SLIM 1) (Four and a half LIM domains protein 1) (FHL-1) (KyoT) (RBP associated	mMTG_602472327	-1.16	0.00931
ENSMUSG00000024213	nudix (nucleotide diphosphate linked moiety X)-type motif 3; diphosphoinositol polyphosphate phosphohydrolase.	MTG_602474525	-1.16	0.00446
ENSMUSG00000024781	Lysosomal acid lipase/cholesteryl ester hydrolase precursor (EC 3.1.1.13) (LAL) (Acid cholesteryl ester hydrolase	)MTG_602471643	-1.16	0.03697
ENSMUSG00000039568		MTG_602476263	-1.16	0.00678
ENSMUSG00000040105		MTG_602469345	-1.16	0.03656
ENSMUSG00000051043	G protein-coupled receptor family C group 5 member C precursor (Retinoic acid induced gene 3 protein) (RAIG-3	gbctl04_plate14_P24	-1.16	0.02022
ENSMUSG00000052459	Vacuolar ATP synthase catalytic subunit A, ubiquitous isoform (EC 3.6.3.14) (V-ATPase A subunit 1) (Vacuolar pr	MTG_602477178	-1.16	0.04384
ENSMUSG00000021577		gbctl04_plate4_A23	-1.15	0.02036
ENSMUSG00000031545	putative lysophosphatidic acid acyltransferase. [Source:RefSeq;Acc:NM_018743	MTG_602472154	-1.15	0.03499
ENSMUSG00000038014		MTG_602475260	-1.15	0.0447
ENSMUSG00000061410	BDG-29 protein. [Source:RefSeq;Acc:NM_080855]	gbctl04_plate6_I12	-1.15	0.01811
ENSMUSG00000027597	Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase) (Liver copper bindin	ggbctl04_plate7_C23	-1.14	0.00474
ENSMUSG00000031482	Mitochondrial ornithine transporter 1 (Solute carrier family 25, member 15). [Source:Uniprot/SWISSPROT;Acc:Q9	WMTG_602467719	-1.14	0.01586
ENSMUSG00000032062		MTG_602475353	-1.14	0.00744
ENSMUSG00000003099	Serine/threonine protein phosphatase 5 (EC 3.1.3.16) (PP5) (Protein phosphatase T) (PPT). [Source:Uniprot/SWI	SMTG_602470962	-1.13	0.00822
ENSMUSG00000009090	Adapter-related protein complex 1 beta 1 subunit (Beta-adaptin 1) (Adaptor protein complex AP-1 beta-1 subunit)	MTG_602477418	-1.13	0.01206
ENSMUSG00000028673	fucosidase, alpha-L- 1, tissue; alpha-L-fucosidase. [Source:RefSeq;Acc:NM_024243	MTG_602471057	-1.13	0.01834
ENSMUSG00000036138	acetyl-Coenzyme A acyltransferase 1; 3-ketoacyl-CoA thiolase A; peroxisomal 3-oxoacyl-Coenzyme A thiolase; p	MTG_602473252	-1.13	0.00696
ENSMUSG00000038712	RIKEN cDNA 4930504E06; cDNA sequence, clone 2-4; NF-E2 inducible protein. [Source:RefSeq;Acc:NM_13385	8MTG_602472305	-1.13	0.01205
ENSMUSG00000059400	Glyceraldehyde 3-phosphate dehydrogenase (EC 1.2.1.12) (GAPDH). [Source:Uniprot/SWISSPROT;Acc:P16858	gbctl04_plate16_K07	-1.13	0.0294
ENSMUSG00000025731		MTG_602474429	-1.12	0.02725
ENSMUSG00000025781	ATP synthase gamma chain, mitochondrial precursor (EC 3.6.3.14). [Source:Uniprot/SWISSPROT;Acc:Q91VR2	MTG_602467184	-1.12	0.00884
ENSMUSG00000025950	Isocitrate dehydrogenase [NADP] cytoplasmic (EC 1.1.1.42) (Oxalosuccinate decarboxylase) (IDH) (NADP+-spec	gbctl04_plate10_A13	-1.12	0.02204
ENSMUSG00000032294	Pyruvate kinase, M2 isozyme (EC 2.7.1.40). [Source:Uniprot/SWISSPROT;Acc:P52480	MTG_602467405	-1.12	0.00767
ENSMUSG00000034424		MTG_602475019	-1.12	0.00474
ENSMUSG00000037300		MTG_602474524	-1.12	0.0105
ENSMUSG00000055639	Dachshund homolog 1 (Dach1). [Source:Uniprot/SWISSPROT;Acc:Q9QYB2]	gbctl04_plate10_L14	-1.12	0.00524
ENSMUSG00000003345	casein kinase 1, gamma 2. [Source:RefSeq;Acc:NM_134002]	MTG_602475625	-1.11	0.03795
ENSMUSG00000019809	Peroxisomal assembly protein PEX3 (Peroxin-3). [Source:Uniprot/SWISSPROT;Acc:Q9QXY9	MTG_602470589	-1.11	0.00954
ENSMUSG00000020941	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.1.37) (NF- kappa beta-inducing kinase) (Serine/threoni	MTG_602476535	-1.11	0.00628
ENSMUSG00000034903	cobl-related 1. [Source:RefSeq;Acc:NM_177025]	MTG_602310687	-1.11	0.01359
ENSMUSG00000036427	Glucose-6-phosphate isomerase (EC 5.3.1.9) (GPI) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomer	MTG_602469383	-1.11	0.00382
ENSMUSG00000048058		MTG_602474708	-1.11	0.03019
ENSMUSG00000052369		MTG_602474145	-1.11	0.00944
ENSMUSG00000005069	Peroxisomal targeting signal 1 receptor (Peroxismore receptor 1) (Peroxisomal C-terminal targeting signal import	rgbctl04_plate16_O15	-1.1	0.00824
ENSMUSG00000025209	twinkle; T7 gp4-like protein with intramitochondrial nucleoid localization. [Source:RefSeq;Acc:NM_153796	MTG_602471167	-1.1	0.02963
ENSMUSG00000026383	erythrocyte protein band 4.1-like 5. [Source:RefSeq;Acc:NM_145506	MTG_602474140	-1.1	0.04551
ENSMUSG00000028691	Peroxiredoxin 1 (EC 1.11.1.-) (Thioredoxin peroxidase 2) (Thioredoxin- dependent peroxide reductase 2) (Osteob	lgbctl04_plate4_I06	-1.1	0.02475
ENSMUSG00000031299	Pyruvate dehydrogenase E1 component alpha subunit, somatic form, mitochondrial precursor (EC 1.2.4.1) (PDH	MTG_602469742	-1.1	0.00528
ENSMUSG00000035936		gbctl04_plate16_D22	-1.1	0.00756
ENSMUSG00000039105	Vacuolar ATP synthase subunit G 1 (EC 3.6.3.14) (V-ATPase G subunit 1) (Vacuolar proton pump G subunit 1) (V	gbctl04_plate14_N13	-1.1	0.02819
ENSMUSG00000047843	Brain protein I3. [Source:Uniprot/SWISSPROT;Acc:P28662]	gbctl04_plate17_A15	-1.1	0.00818
ENSMUSG00000058488	klotho. [Source:RefSeq;Acc:NM_013823]	MTG_602477773	-1.1	0.0143
ENSMUSG00000004207	Sulfated glycoprotein 1 precursor (SGP-1) (Prosaposin). [Source:Uniprot/SWISSPROT;Acc:Q61207]	MTG_602470084	-1.09	0.00899
ENSMUSG00000005982		MTG_602475618	-1.09	0.01788
ENSMUSG00000021193	pitrilysin metalloprotease 1; nuclear transplantation upregulated protein 1. [Source:RefSeq;Acc:NM_145131	MTG_602472160	-1.09	0.0372
ENSMUSG00000028700	O-mannosyl N-acetylglucosaminyltransferase. [Source:RefSeq;Acc:NM_026651	MTG_602471965	-1.09	0.03169
ENSMUSG00000029455	Aldehyde dehydrogenase, mitochondrial precursor (EC 1.2.1.3) (ALDH class 2) (AHD-M1) (ALDHI) (ALDH-E2). [	MTG_602470576	-1.09	0.00373
ENSMUSG00000030530	Furin precursor (EC 3.4.21.75) (Paired basic amino acid residue cleaving enzyme) (PACE) (Dibasic processing e	MTG_602475185	-1.09	0.02253
ENSMUSG00000033307	Macrophage migration inhibitory factor (MIF) (Phenylpyruvate tautomerase) (EC 5.3.2.1) (Glycosylation-inhibiting	fMTG_602477624	-1.09	0.0206
ENSMUSG00000037443		gbctl04_plate12_L17	-1.09	0.00813
ENSMUSG00000013160	Vacuolar ATP synthase subunit d (EC 3.6.3.14) (V-ATPase d subunit) (Vacuolar proton pump d subunit) (V-ATPa	sgbctl04_plate3_H01	-1.08	0.00982
ENSMUSG00000016319	ADP,ATP carrier protein, fibroblast isoform (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2)	.MTG_602467047	-1.08	0.00379
ENSMUSG00000020733	Ezrin-radixin-moesin binding phosphoprotein 50 (EBP50) (Na(+)/H(+) exchange regulatory cofactor NHE-RF) (NH	MTG_602477766	-1.08	0.0038
ENSMUSG00000022477	aconitase 2, mitochondrial. [Source:RefSeq;Acc:NM_080633]	gbctl04_plate14_L23	-1.08	0.01618
ENSMUSG00000023010	testis enhanced gene transcript; Bax inhibitor-1. [Source:RefSeq;Acc:NM_026669	gbctl04_plate10_E02	-1.08	0.00899
ENSMUSG00000023175	Basigin precursor (Basic immunoglobulin superfamily) (Membrane glycoprotein GP42). [Source:Uniprot/SWISSP	MTG_602469230	-1.08	0.00551
ENSMUSG00000027809	electron transferring flavoprotein, dehydrogenase. [Source:RefSeq;Acc:NM_025794	MTG_602472029	-1.08	0.00451
ENSMUSG00000031696	Vacuolar protein sorting 35 (Vesicle protein sorting 35) (Maternal- embryonic 3). [Source:Uniprot/SWISSPROT;A	MTG_602468875	-1.08	0.03841
ENSMUSG00000045934	cisplatin resistance associated. [Source:RefSeq;Acc:NM_181409]	MTG_602471373	-1.08	0.00436
ENSMUSG00000047735		MTG_602473419	-1.08	0.03777
ENSMUSG00000021414		MTG_602139088	-1.07	0.02494
ENSMUSG00000024253	dynein 2 light intermediate chain. [Source:RefSeq;Acc:NM_172256	MTG_602473673	-1.07	0.00921
ENSMUSG00000024354	Solute carrier family 23, member 1 (Sodium-dependent vitamin C transporter 1) (Na(+)/L-ascorbic acid transporte	gbctl04_plate5_G04	-1.07	0.01187
ENSMUSG00000024818		gbctl04_plate14_M18	-1.07	0.01359
ENSMUSG00000032353	integral type I protein. [Source:RefSeq;Acc:NM_025360]	MTG_602471971	-1.07	0.00899
ENSMUSG00000037669		gbctl04_plate7_D22	-1.07	0.00464
ENSMUSG00000050043		MTG_602476542	-1.07	0.01778
ENSMUSG00000055720	Ubiquitin-like protein SB132. [Source:Uniprot/SWISSPROT;Acc:Q91W67]	MTG_602475784	-1.07	0.01899
ENSMUSG00000061838	Succinyl-CoA ligase [GDP-forming] beta-chain, mitochondrial precursor (EC 6.2.1.4) (Succinyl-CoA synthetase, b	gbctl04_plate17_H03	-1.07	0.00446
ENSMUSG00000005683	citrate synthase. [Source:RefSeq;Acc:NM_026444]	MTG_602477578	-1.06	0.00578
ENSMUSG00000009563	torsin family 2, member A. [Source:RefSeq;Acc:NM_152800]	MTG_602474383	-1.06	0.00656
ENSMUSG00000022199	solute carrier family 22 (organic cation transporter), member 17; organic cation transporter BOCT. [Source:RefSe	MTG_602474203	-1.06	0.00581
ENSMUSG00000024309	Prefoldin subunit 6 (Protein Ke2). [Source:Uniprot/SWISSPROT;Acc:Q03958]	gbctl04_plate7_P14	-1.06	0.00717
ENSMUSG00000025968	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial precursor (EC 1.6.5.3) (EC 1.6.99.3) (Complex I	-gbctl04_plate16_G05	-1.06	0.00561
ENSMUSG00000040813	testis expressed gene 264. [Source:RefSeq;Acc:NM_011573]	gbctl04_plate9_K12	-1.06	0.00536
ENSMUSG00000048763	Homeobox protein Hox-B3 (Hox-2.7) (MH-23). [Source:Uniprot/SWISSPROT;Acc:P09026]	gbctl04_plate13_G02	-1.06	0.04965
ENSMUSG00000002393	Orphan nuclear receptor EAR-2 (V-erbA related protein EAR-2). [Source:Uniprot/SWISSPROT;Acc:P43136	MTG_602474704	-1.05	0.00436
ENSMUSG00000024187		MTG_602473232	-1.05	0.00528
ENSMUSG00000025453	NAD(P) transhydrogenase, mitochondrial precursor (EC 1.6.1.2) (Pyridine nucleotide transhydrogenase) (Nicotin	gbctl04_plate12_G01	-1.05	0.01884
ENSMUSG00000026832	pleckstrin homology, Sec7 and coiled-coil domains, binding protein; cytohesin binding protein; pleckstrin homology	MTG_602477258	-1.05	0.01132
ENSMUSG00000029247	Multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole- succinocarboxamide synthase (EC 6.3.2.	gbctl04_plate6_B05	-1.05	0.01335
ENSMUSG00000038879		MTG_602473359	-1.05	0.03873
ENSMUSG00000048833	CDNA FLJ11274 FIS. [Source:Uniprot/SPTREMBL;Acc:Q8BFU1]	gbctl04_plate5_D13	-1.05	0.01423
ENSMUSG00000054474		MTG_602477201	-1.05	0.02434
ENSMUSG00000005881	Serologically defined breast cancer antigen NY-BR-84 homolog. [Source:Uniprot/SWISSPROT;Acc:Q9CQE7	MTG_602467769	-1.04	0.0166
ENSMUSG00000015027	galactosamine (N-acetyl)-6-sulfate sulfatase; N-acetylgalactosamine-6-sulfate sulfatase. [Source:RefSeq;Acc:NM	gbctl04_plate7_B06	-1.04	0.01741
ENSMUSG00000031447	Lysosome-associated membrane glycoprotein 1 precursor (LAMP-1) (LGP-A) (LGP-120) (CD107A) (P2B). [Sourc	gbctl04_plate6_D08	-1.04	0.02668
ENSMUSG00000032050	Radixin (ESP10). [Source:Uniprot/SWISSPROT;Acc:P26043]	gbctl04_plate16_B07	-1.04	0.03507
ENSMUSG00000036712	cylindromatosis (turban tumor syndrome). [Source:RefSeq;Acc:NM_173369	MTG_602474533	-1.04	0.01093
ENSMUSG00000037049	Sphingomyelin phosphodiesterase precursor (EC 3.1.4.12) (Acid sphingomyelinase) (aSMase). [Source:Uniprot/S	MTG_602477151	-1.04	0.00635
ENSMUSG00000041995		gbctl04_plate8_B05	-1.04	0.01734
ENSMUSG00000044443		MTG_602467955	-1.04	0.0199
ENSMUSG00000055553		MTG_602473619	-1.04	0.01046
ENSMUSG00000056124	Beta-1,4-galactosyltransferase 6 (EC 2.4.1.-) (Beta-1,4-GalTase 6) (Beta4Gal-T6) (b4Gal-T6) (UDP-galactose:be	MTG_602470271	-1.04	0.02332
ENSMUSG00000060181	solute carrier family 35, member E3. [Source:RefSeq;Acc:NM_029875]	MTG_602475521	-1.04	0.02036
ENSMUSG00000000823		MTG_602476539	-1.03	0.01045
ENSMUSG00000015647	Laminin alpha-5 chain precursor. [Source:Uniprot/SWISSPROT;Acc:Q61001]	MTG_602475821	-1.03	0.0179
ENSMUSG00000024151	DNA mismatch repair protein Msh2. [Source:Uniprot/SWISSPROT;Acc:P43247]	MTG_602476651	-1.03	0.04834
ENSMUSG00000031708	Synaptic glycoprotein SC2. [Source:Uniprot/SWISSPROT;Acc:Q9CY27]	MTG_602474922	-1.03	0.03969
ENSMUSG00000032246	calmodulin-like 4. [Source:RefSeq;Acc:NM_138304]	gbctl04_plate5_D08	-1.03	0.03291
ENSMUSG00000033722		MTG_602472777	-1.03	0.00972
ENSMUSG00000038889		MTG_602476413	-1.03	0.00872
ENSMUSG00000040998	nephronectin. [Source:RefSeq;Acc:NM_033525]	MTG_602470182	-1.03	0.01003
ENSMUSG00000052151	Lipid phosphate phosphohydrolase 2 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2c) (Phosphatidate phosphoh	MTG_602473038	-1.03	0.00866
ENSMUSG00000063931	Xaa-Pro dipeptidase (EC 3.4.13.9) (X-Pro dipeptidase) (Proline dipeptidase) (Prolidase) (Imidodipeptidase) (Pepti	dgbctl04_plate14_C20	-1.03	0.01188
ENSMUSG00000002059	Ras-related protein Rab-34 (Rab-39) (Ras-related protein Rah) (Ras- related homolog). [Source:Uniprot/SWISSP	MTG_602468730	-1.02	0.00807
ENSMUSG00000024527	Similar to AFG3 ATPase family gene 3-like 2 (Yeast) (RIKEN cDNA 2310036I02 gene). [Source:Uniprot/SPTREM	MTG_602470346	-1.02	0.01419
ENSMUSG00000025399	retinol dehydrogenase 6; retinol dehydrogenase type 6. [Source:RefSeq;Acc:NM_009040	MTG_602475228	-1.02	0.03113
ENSMUSG00000025503	Transaldolase (EC 2.2.1.2). [Source:Uniprot/SWISSPROT;Acc:Q93092]	MTG_602477145	-1.02	0.02343
ENSMUSG00000029190		MTG_602468416	-1.02	0.03451
ENSMUSG00000032897	Nuclear transcription factor Y subunit gamma (NF-Y protein chain C) (Nuclear factor YC) (NF-YC) (CCAAT-bindin	gMTG_602471634	-1.02	0.01694
ENSMUSG00000052102	Glucosamine-6-phosphate isomerase (EC 3.5.99.6) (Glucosamine-6- phosphate deaminase) (GNPDA) (GlcN6P	gbctl04_plate9_O02	-1.02	0.00871
ENSMUSG00000057562		gbctl04_plate13_F13	-1.02	0.00432
ENSMUSG00000001663	Glutathione S-transferase theta 1 (EC 2.5.1.18) (GST class-theta). [Source:Uniprot/SWISSPROT;Acc:Q64471	MTG_602472489	-1.01	0.011
ENSMUSG00000005514	NADPH--cytochrome P450 reductase (EC 1.6.2.4) (CPR) (P450R). [Source:Uniprot/SWISSPROT;Acc:P37040]	MTG_602474665	-1.01	0.00708
ENSMUSG00000027634	NDRG3 protein (Ndr3 protein). [Source:Uniprot/SWISSPROT;Acc:Q9QYF9]	MTG_602476372	-1.01	0.01941
ENSMUSG00000039682	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (Leucyl aminopeptidase) (Proline aminop	MTG_602469881	-1.01	0.02163
	EST	MTG_602469058	-2.12	0.04108
	EST	gbctl04_plate6_I09	-1.87	0.00815
	EST	gbctl04_plate7_A23	-1.84	0.02565
	EST	gbctl04_plate4_A10	-1.74	0.04271
	EST	gbctl04_plate14_L01	-1.72	0.0207
	EST	gbctl04_plate6_G16	-1.7	0.00503
	EST	gbctl04_plate6_O19	-1.69	0.03344
	EST	MTG_602469860	-1.65	0.02394
	EST	gbctl04_plate4_N01	-1.65	0.00312
	EST	gbctl04_plate16_E20	-1.62	0.00596
	EST	MTG_602468678	-1.61	0.03496
	EST	MTG_602467489	-1.6	0.03387
	EST	gbctl04_plate14_G11	-1.59	0.02933
	EST	MTG_602467577	-1.59	0.02725
	EST	MTG_602469355	-1.56	0.0192
	EST	gbctl04_plate9_K21	-1.54	0.03235
	EST	MTG_602468170	-1.53	0.03985
	EST	gbctl04_plate15_P20	-1.53	0.00781
	EST	MTG_602469792	-1.52	0.04332
	EST	gbctl04_plate15_O20	-1.48	0.0462
	EST	gbctl04_plate7_G16	-1.45	0.04471
	EST	MTG_602468108	-1.45	0.03148
	EST	MTG_602467460	-1.41	0.00374
	EST	gbctl04_plate8_K13	-1.33	0.01053
	EST	MTG_602476820	-1.3	0.04185
	EST	MTG_602467106	-1.28	0.03656
	EST	MTG_602471804	-1.27	0.03272
	EST	MTG_602473555	-1.27	0.02355
	EST	gbctl04_plate6_H11	-1.24	0.01206
	EST	MTG_602477007	-1.18	0.01491
	EST	gbctl04_plate5_O12	-1.16	0.0038
	EST	gbctl04_plate6_D12	-1.12	0.03021
	EST	MTG_602476883	-1.1	0.01889
	EST	MTG_602476632	-1.02	0.03074
