Annotation	Name	GenBank	Regulated genes d14(-) vrs d30(+) Rv WT	Regulated genes d14(-) vrs d30(+) Rv KO	Regulated genes d14(-) vrs d30(+) Ra WT	Regulated genes d14(-) vrs d30(+) Ra KO	Regulated genes Ra(-) vrs Rv(+) d14 WT	Regulated genes Ra(-) vrs Rv(+) d14 KO	Regulated genes Ra(-) vrs Rv(+) d30 WT	Regulated genes Ra(-) vrs Rv(+) d30 KO	Function
caspase 9, apoptosis-related cysteine peptidase	CASP9	NM_015733			-3.1	-3.4				2.1	VI. Immunosuppression and cell death
B-cell CLL/lymphoma 3	BCL3	NM_033601	-2.1	2.2			2.6		2.3	6.2	VI. Immunosuppression and cell death
BCL6 co-repressor	BCOR	NM_175046			-2.3	-3			-2.1	-2.1	VI. Immunosuppression and cell death
myeloid cell leukemia sequence 1 (BCL2-related)	MCL1	NM_008562		2.3						2.1	VI. Immunosuppression and cell death
CASP8 and FADD-like apoptosis regulator	CFLAR	AK053567	2.1	4.3	2.9	3.3	2.1			2.5	VI. Immunosuppression and cell death
hypoxia inducible factor 1, alpha subunit	HIF1A	NM_010431	2.2						2.1	2.5	VI. Immunosuppression and cell death
apoptosis inhibitor 5	API5	AK078801			2.7	3.8				-2.6	VI. Immunosuppression and cell death
suppressor of cytokine signaling 1	SOCS1	NM_009896	2.1	6	5.9		3.1	2		2.4	VI. Immunosuppression and cell death
suppressor of cytokine signaling 6	SOCS6	AK053803		-2	2.3			2.5	-2.4		VI. Immunosuppression and cell death
suppressor of cytokine signaling 7	SOCS7	NM_138657			2.5				-2.7		VI. Immunosuppression and cell death
CD47 molecule	CD47	AA204140			-3.3	-3.9	-2.8			2.4	VI. Immunosuppression and cell death
lysosomal multispanning membrane protein 5	LAPTM5	NM_010686			-2.3	-3.2			2.7	5.7	VI. Immunosuppression and cell death
macrophage scavenger receptor 1	MSR1	AK028480	4	5.9			3.3	5		2.2	VI. Immunosuppression and cell death
leukocyte immunoglobulin-like receptor, B4	LILRB4	NM_013532		3.5					2.1	3.8	VI. Immunosuppression and cell death
chemokine binding protein 2	CCBP2	NM_021609	-2.2		-2.5	-2.7				3	VI. Immunosuppression and cell death
