Probe ID	Gene symbol	Gene title	P value	Expression difference
223187_s_at	ORMDL1	ORM1-like 1 (S. cerevisiae)	4.91E-06	2.110438406
231715_s_at	PYCR2	pyrroline-5-carboxylate reductase family, member 2	0.003465279	2.183081958
219991_at	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9	0.004181122	2.268165908
217970_s_at	CNOT6	CCR4-NOT transcription complex, subunit 6	0.000761526	2.211232414
212572_at	STK38L	serine/threonine kinase 38 like	0.009854811	2.009381264
218156_s_at	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	0.005708321	2.082365758
222417_s_at	SNX5	sorting nexin 5	0.002944416	2.342413404
208447_s_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1	0.000928154	2.250399113
209963_s_at	EPOR	erythropoietin receptor	0.002171666	2.380770999
243734_x_at	---	Transcribed locus	0.004974843	2.112697879
1569617_at	OSBP2	Oxysterol binding protein 2	0.002962129	2.392942086
212418_at	ELF1	E74-like factor 1 (ets domain transcription factor)	0.002973014	2.363696836
229773_at	---	---	0.009247532	2.359889929
202658_at	PEX11B	peroxisomal biogenesis factor 11B	0.004277498	2.37762088
223046_at	EGLN1	egl nine homolog 1 (C. elegans)	0.001698809	2.165222474
203591_s_at	CSF3R	colony stimulating factor 3 receptor (granulocyte)	0.009876015	2.007150969
201689_s_at	TPD52	tumor protein D52	0.001458955	2.309062452
212096_s_at	MTUS1	mitochondrial tumor suppressor 1	0.002108918	2.229372824
201698_s_at	SFRS9	splicing factor, arginine/serine-rich 9	0.000630696	2.123444652
202696_at	OXSR1	oxidative-stress responsive 1	0.001743887	2.346606479
202915_s_at	FAM20B	family with sequence similarity 20, member B	0.002210187	2.315886757
AFFX-r2-Bs-phe-5_at	---	---	0.000275429	2.175896519
214141_x_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	0.00014554	2.227910946
217960_s_at	TOMM22	translocase of outer mitochondrial membrane 22 homolog (yeast)	0.00937723	2.411153839
229704_at	APRIN	Androgen-induced proliferation inhibitor	0.006487428	2.063797086
205105_at	MAN2A1	mannosidase, alpha, class 2A, member 1	0.000604777	2.294101625
216640_s_at	PDIA6	protein disulfide isomerase family A, member 6	0.001517322	2.080446779
201484_at	SUPT4H1	suppressor of Ty 4 homolog 1 (S. cerevisiae)	0.000567201	2.083111239
1553030_a_at	SUOX	sulfite oxidase	0.006817762	2.291523439
221622_s_at	TMEM126B	transmembrane protein 126B	0.000498811	2.13575457
205371_s_at	DBT	dihydrolipoamide branched chain transacylase E2	0.004161009	2.126644771
225290_at	ETNK1	ethanolamine kinase 1	0.000105221	2.230780484
209002_s_at	CALCOCO1	calcium binding and coiled-coil domain 1	0.000126209	2.202704787
208290_s_at	EIF5	eukaryotic translation initiation factor 5	0.000793098	2.287290693
209860_s_at	ANXA7	annexin A7	0.00096138	2.300383496
207459_x_at	GYPB	glycophorin B (MNS blood group)	0.003682123	2.084309762
244287_at	SFRS12	splicing factor, arginine/serine-rich 12	0.001488958	2.138534065
204194_at	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	0.000816926	2.32007957
218209_s_at	P15RS	hypothetical protein FLJ10656	0.002135602	2.348170131
218972_at	TTC17	tetratricopeptide repeat domain 17	0.002934854	2.362085069
202487_s_at	H2AFV	H2A histone family, member V	0.000296953	2.084019432
218386_x_at	USP16	ubiquitin specific peptidase 16	0.000162876	2.187830424
226946_at	C5orf33	chromosome 5 open reading frame 33	0.001365769	2.226823757
227395_at	---	CDNA FLJ38498 fis, clone FELNG2000241	0.003371258	2.186498299
206782_s_at	DNAJC4	DnaJ (Hsp40) homolog, subfamily C, member 4	0.000361034	2.261292281
225964_at	ZXDC	ZXD family zinc finger C	0.002335532	2.199435797
240579_at	NAG	neuroblastoma-amplified protein	0.006004581	2.1631455
225829_at	PDZD8	PDZ domain containing 8	0.004435375	2.413548147
202446_s_at	PLSCR1	phospholipid scramblase 1	0.001502978	2.004570616
1558136_s_at	TAF11	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	0.000367358	2.213654636
202491_s_at	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	0.001246644	2.073905583
226421_at	AMMECR1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1	0.001747724	2.361777006
211015_s_at	HSPA4	heat shock 70kDa protein 4	0.001072562	2.252398042
202670_at	MAP2K1	mitogen-activated protein kinase kinase 1	6.40E-05	2.087733267
221245_s_at	FZD5	frizzled homolog 5 (Drosophila)	0.00311055	2.242738343
222555_s_at	MRPL44	mitochondrial ribosomal protein L44	0.001596716	2.288606924
212461_at	AZIN1	antizyme inhibitor 1	0.000499831	2.101064029
226199_at	UPRT	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)	0.000206344	2.173355008
238856_s_at	PANK2	Pantothenate kinase 2 (Hallervorden-Spatz syndrome)	0.00338733	2.144580366
234726_s_at	TMEM168	transmembrane protein 168	0.000712437	2.144468572
220690_s_at	DHRS7B	dehydrogenase/reductase (SDR family) member 7B	0.003793079	2.329210993
209090_s_at	SH3GLB1	SH3-domain GRB2-like endophilin B1	0.000492706	2.109415868
209091_s_at	SH3GLB1	SH3-domain GRB2-like endophilin B1	8.16E-05	2.147328481
226191_at	---	MRNA; cDNA DKFZp686L15210 (from clone DKFZp686L15210)	0.000387048	2.124108362
200970_s_at	SERP1	stress-associated endoplasmic reticulum protein 1	0.002299189	2.401052126
203827_at	WIPI1	WD repeat domain, phosphoinositide interacting 1	0.001294148	2.238847066
221449_s_at	ITFG1	integrin alpha FG-GAP repeat containing 1	9.71E-06	2.168013992
202717_s_at	CDC16	cell division cycle 16 homolog (S. cerevisiae)	0.000808435	2.346591036
224967_at	UGCG	UDP-glucose ceramide glucosyltransferase	0.001776338	2.335874756
200996_at	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	0.001791061	2.265407231
213594_x_at	FUSIP1	FUS interacting protein (serine/arginine-rich) 1	0.006093953	2.318434528
216048_s_at	RHOBTB3	Rho-related BTB domain containing 3	0.002833277	2.188544604
212240_s_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	0.001169434	2.174006901
212154_at	SDC2	syndecan 2	0.000602279	2.203481962
212726_at	PHF2	PHD finger protein 2	0.00010614	2.134361334
202381_at	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	0.000290523	2.18217134
229671_s_at	C21orf45	Chromosome 21 open reading frame 45	0.007453847	2.288353038
217732_s_at	ITM2B	integral membrane protein 2B	0.000217006	2.24582269
222518_at	ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	0.000749173	2.277237411
226238_at	MCEE	methylmalonyl CoA epimerase	0.001105915	2.163688522
226797_at	---	MRNA; cDNA DKFZp434G0972 (from clone DKFZp434G0972)	0.000178055	2.05714982
217851_s_at	SLMO2	slowmo homolog 2 (Drosophila)	0.002759034	2.323705513
230063_at	ZNF264	zinc finger protein 264	0.004534405	2.110015293
226948_at	RHBDD1	rhomboid domain containing 1	0.000506081	2.181062185
212150_at	KIAA0143	KIAA0143 protein	0.001718456	2.117856372
213838_at	NOL7	nucleolar protein 7, 27kDa	0.006906379	2.493619127
212160_at	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	0.000605292	2.134151966
204252_at	CDK2	cyclin-dependent kinase 2	0.00568379	2.412597168
209977_at	PLG	plasminogen	0.000723849	2.324372743
226617_at	ARL5A	ADP-ribosylation factor-like 5A	0.001116891	2.075408829
201096_s_at	ARF4	ADP-ribosylation factor 4	0.000137853	2.259713749
211162_x_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0.008741031	2.510797485
217993_s_at	MAT2B	methionine adenosyltransferase II, beta	0.001737883	2.417422295
218539_at	FBXO34	F-box protein 34	0.0069165	2.494119682
202885_s_at	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	0.001835315	2.355989847
213599_at	OIP5	Opa interacting protein 5	0.006637247	2.567041514
1558014_s_at	MLSTD2	male sterility domain containing 2	0.00203148	2.134640855
204624_at	ATP7B	ATPase, Cu++ transporting, beta polypeptide	0.000685729	2.298274078
208842_s_at	GORASP2	golgi reassembly stacking protein 2, 55kDa	0.000348778	2.043007364
209004_s_at	FBXL5	F-box and leucine-rich repeat protein 5	1.31E-05	2.176719318
1558942_at	ZNF765	zinc finger protein 765	0.004885932	2.055051524
219017_at	ETNK1	ethanolamine kinase 1	0.006329711	2.11197159
204127_at	RFC3	replication factor C (activator 1) 3, 38kDa	8.02E-05	2.210343216
1555705_a_at	CMTM3	CKLF-like MARVEL transmembrane domain containing 3	0.002773797	2.145607585
225617_at	ODF2	outer dense fiber of sperm tails 2	0.000385423	2.159762895
226458_at	---	CDNA FLJ30340 fis, clone BRACE2007411	0.004610684	2.104664363
229673_at	---	Full-length cDNA clone CS0CAP006YP08 of Thymus of Homo sapiens (human)	0.003096327	2.1861762
201832_s_at	VDP	vesicle docking protein p115	3.52E-05	2.136152931
205761_s_at	DUS4L	dihydrouridine synthase 4-like (S. cerevisiae)	0.007137579	2.127448901
202142_at	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)	0.005722874	2.061615371
1553227_s_at	BRWD1	bromodomain and WD repeat domain containing 1	0.003559127	2.011053903
213134_x_at	BTG3	BTG family, member 3	0.000139788	2.214005233
212006_at	UBXD2	UBX domain containing 2	0.001436401	2.338657294
219819_s_at	MRPS28	mitochondrial ribosomal protein S28	8.50E-06	2.225715494
223649_s_at	SLC25A39	solute carrier family 25, member 39	0.003551744	2.382750265
210156_s_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.00343489	2.386377949
223494_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0.003529831	2.198728899
202119_s_at	CPNE3	copine III	0.001663116	2.035606719
241968_at	---	Transcribed locus	0.000750729	2.04627622
201089_at	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0.001825539	2.266400535
226021_at	RDH10	retinol dehydrogenase 10 (all-trans)	0.005309923	2.06955862
1558143_a_at	BCL2L11	BCL2-like 11 (apoptosis facilitator)	0.006761173	2.295481859
218582_at	5-Mar	membrane-associated ring finger (C3HC4) 5	0.003740486	2.474533648
228418_at	EXOC5	exocyst complex component 5	0.007013961	2.507648539
226541_at	FBXO30	F-box protein 30	0.005074082	2.525123419
242844_at	PGGT1B	Protein geranylgeranyltransferase type I, beta subunit	0.002155567	2.415854522
209330_s_at	HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	0.000131241	2.182232964
213000_at	MORC3	MORC family CW-type zinc finger 3	0.001747632	2.410946202
216969_s_at	KIF22	kinesin family member 22	0.004911652	2.187821702
222573_s_at	SAV1	salvador homolog 1 (Drosophila)	0.003350138	2.295701575
204725_s_at	NCK1	NCK adaptor protein 1	0.000361648	2.327405103
201599_at	OAT	ornithine aminotransferase (gyrate atrophy)	0.000828571	2.351832903
202353_s_at	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	0.002662169	2.461717105
202604_x_at	ADAM10	ADAM metallopeptidase domain 10	0.003028992	2.089450645
218095_s_at	TMEM165	transmembrane protein 165	0.001405725	2.085600985
208383_s_at	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	0.002828747	2.168415646
201041_s_at	DUSP1	dual specificity phosphatase 1	0.001163075	2.234265124
216988_s_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	5.66E-05	2.138910474
200831_s_at	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	0.001382137	2.399560338
200064_at	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	0.003602925	2.004140398
201403_s_at	MGST3	microsomal glutathione S-transferase 3	0.000436664	2.342841514
217971_at	MAP2K1IP1	mitogen-activated protein kinase kinase 1 interacting protein 1	0.000224605	2.246250372
206542_s_at	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	0.000376455	2.075030663
209585_s_at	MINPP1	multiple inositol polyphosphate histidine phosphatase, 1	0.000433389	2.293687369
224644_at	---	CDNA clone IMAGE:5278517	0.000678977	2.068955091
218432_at	FBXO3	F-box protein 3	0.001561501	2.225156954
202950_at	CRYZ	crystallin, zeta (quinone reductase)	0.001211404	2.318757106
209108_at	TSPAN6	tetraspanin 6	0.000193624	2.32986324
200778_s_at	2-Sep	septin 2	0.001393221	2.10788152
222262_s_at	ETNK1	ethanolamine kinase 1	0.00587791	2.505027003
222452_s_at	GPBP1L1	GC-rich promoter binding protein 1-like 1	0.000217152	2.224337368
210978_s_at	TAGLN2	transgelin 2	0.002310037	2.35002736
225928_at	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	0.000854891	2.280397298
224643_at	PRRC1	proline-rich coiled-coil 1	0.0003619	2.227308183
213239_at	C13orf24	chromosome 13 open reading frame 24	5.59E-05	2.222692283
224819_at	TCEAL8	transcription elongation factor A (SII)-like 8	0.000503362	2.35290586
202168_at	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	0.000939113	2.395710766
220990_s_at	MIRN21	transmembrane protein 49	0.000463051	2.262691773
209218_at	SQLE	squalene epoxidase	0.00279065	2.473058255
202691_at	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	0.001512508	2.229411666
215038_s_at	SETD2	SET domain containing 2	0.001304541	2.091079327
202194_at	TMED5	transmembrane emp24 protein transport domain containing 5	0.000234576	2.223569517
203087_s_at	KIF2A	kinesin heavy chain member 2A	0.002632296	2.06703434
201663_s_at	SMC4	structural maintenance of chromosomes 4	0.003538253	2.514172926
221770_at	RPE	ribulose-5-phosphate-3-epimerase	0.003715467	2.284663945
225222_at	HIAT1	hippocampus abundant transcript 1	0.002625507	2.298091113
224939_at	---	CDNA FLJ10976 fis, clone PLACE1001399	0.001264415	2.256067472
1554241_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	0.001307628	2.14349546
203207_s_at	MTFR1	mitochondrial fission regulator 1	0.002421724	2.197479396
240926_at	LRCH3	leucine-rich repeats and calponin homology (CH) domain containing 3	0.006466079	2.180067489
214876_s_at	TUBGCP5	tubulin, gamma complex associated protein 5	0.000280963	2.1970786
206992_s_at	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	0.008077052	2.547785869
210416_s_at	CHEK2	CHK2 checkpoint homolog (S. pombe)	0.003247197	2.481832407
206989_s_at	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	7.62E-05	2.1973716
200670_at	XBP1	X-box binding protein 1	0.001546517	2.455603578
206875_s_at	SLK	STE20-like kinase (yeast)	0.000358537	2.267832462
209704_at	---	Full length insert cDNA clone YY61D04	0.001534044	2.362601437
224647_at	---	---	0.000996429	2.243710789
223110_at	KIAA1429	KIAA1429	0.000510474	2.083557401
225074_at	RAB2B	RAB2B, member RAS oncogene family	0.009223321	2.626761634
201848_s_at	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	0.000976107	2.432596223
225997_at	MOBKL1A	MOB1, Mps One Binder kinase activator-like 1A (yeast)	0.003044842	2.450982836
225127_at	TMEM181	transmembrane protein 181	0.000744681	2.110271809
211997_x_at	H3F3B	H3 histone, family 3B (H3.3B)	0.000653657	2.111922151
213312_at	C6orf162	chromosome 6 open reading frame 162	0.003670684	2.027077026
209300_s_at	NECAP1	NECAP endocytosis associated 1	0.004346173	2.478405066
201619_at	PRDX3	peroxiredoxin 3	0.001292648	2.376578953
220099_s_at	LUC7L2	LUC7-like 2 (S. cerevisiae)	0.000189863	2.318144284
236769_at	LOC158402	hypothetical protein LOC158402	5.17E-05	2.247237001
224481_s_at	HECTD1	HECT domain containing 1	0.000374793	2.305229889
225805_at	HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	0.000160097	2.282542589
221965_at	MPHOSPH9	M-phase phosphoprotein 9	0.003009055	2.346067167
212083_at	TEX261	testis expressed 261	0.003834494	2.099242901
202427_s_at	BRP44	brain protein 44	0.000622757	2.418579965
224655_at	AK3	adenylate kinase 3	0.001279357	2.43883263
203874_s_at	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	0.000134815	2.267316484
225107_at	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	8.49E-06	2.245532754
201266_at	TXNRD1	thioredoxin reductase 1	4.40E-05	2.32055692
218755_at	KIF20A	kinesin family member 20A	0.000117993	2.342454089
205763_s_at	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	0.003907057	2.318197585
211352_s_at	NCOA3	nuclear receptor coactivator 3	0.000521894	2.103135887
211159_s_at	PPP2R5D	protein phosphatase 2, regulatory subunit B, delta isoform	0.000947059	2.326311934
217915_s_at	C15orf15	chromosome 15 open reading frame 15	0.000872875	2.265115382
226329_s_at	MITD1	MIT, microtubule interacting and transport, domain containing 1	0.00039011	2.234844231
227787_s_at	THRAP6	thyroid hormone receptor associated protein 6	0.000143618	2.264138092
229610_at	CKAP2L	cytoskeleton associated protein 2-like	0.003452647	2.593276616
218107_at	WDR26	WD repeat domain 26	0.001515418	2.430941073
218793_s_at	SCML1	sex comb on midleg-like 1 (Drosophila)	0.00191269	2.494136878
221556_at	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	0.003618173	2.077891435
210649_s_at	ARID1A	AT rich interactive domain 1A (SWI-like)	0.000483468	2.145506567
224705_s_at	TNRC6A	trinucleotide repeat containing 6A	0.005825201	2.028706292
208944_at	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	0.001598624	2.075142748
222035_s_at	PAPOLA	poly(A) polymerase alpha	7.09E-05	2.330322172
203254_s_at	TLN1	talin 1	0.001280487	2.42749482
206316_s_at	KNTC1	kinetochore associated 1	3.10E-05	2.255990417
227501_at	---	Transcribed locus	0.00153704	2.367255865
225821_s_at	FAM44A	family with sequence similarity 44, member A	0.001172556	2.153801839
219292_at	THAP1	THAP domain containing, apoptosis associated protein 1	0.004607548	2.290714183
224572_s_at	IRF2BP2	interferon regulatory factor 2 binding protein 2	0.003467131	2.327207119
226050_at	TMCO3	transmembrane and coiled-coil domains 3	0.000746208	2.451841777
230142_s_at	CIRBP	cold inducible RNA binding protein	0.007606536	2.035812546
204361_s_at	SKAP2	src kinase associated phosphoprotein 2	0.000718278	2.258068043
208716_s_at	TMCO1	transmembrane and coiled-coil domains 1	0.000327347	2.158860294
213416_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	0.005745818	2.651285796
201238_s_at	CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	0.002167814	2.542241266
207387_s_at	GK	glycerol kinase	0.001384213	2.066342541
208786_s_at	MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	0.001613168	2.263563783
204505_s_at	EPB49	erythrocyte membrane protein band 4.9 (dematin)	0.008379877	2.748746168
217986_s_at	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	0.001045731	2.491806774
233380_s_at	RUFY1	RUN and FYVE domain containing 1	0.005035391	2.519270528
213882_at	TM2D1	TM2 domain containing 1	0.004183749	2.093591233
209236_at	SLC23A2	solute carrier family 23 (nucleobase transporters), member 2	0.005385801	2.124794618
208828_at	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	0.002718467	2.560145882
203376_at	CDC40	cell division cycle 40 homolog (S. cerevisiae)	0.000933683	2.238512363
204117_at	PREP	prolyl endopeptidase	0.000281331	2.25257943
229841_at	---	Transcribed locus	0.007213214	2.573662214
203599_s_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	0.000180971	2.249155728
212742_at	ZNF364	zinc finger protein 364	0.000103729	2.287577347
201239_s_at	LOC653566	signal peptidase complex subunit 2 homolog (S. cerevisiae)	1.98E-05	2.318064433
239577_at	---	Homo sapiens, clone IMAGE:4182817, mRNA	0.000968213	2.126754879
206364_at	KIF14	kinesin family member 14	0.003522658	2.510716241
209902_at	ATR	ataxia telangiectasia and Rad3 related	0.003903126	2.308868464
209180_at	RABGGTB	Rab geranylgeranyltransferase, beta subunit	0.006725707	2.253072693
221925_s_at	CSPP1	centrosome and spindle pole associated protein 1	0.000157014	2.30078413
218379_at	RBM7	RNA binding motif protein 7	0.000346699	2.393246848
224996_at	---	CDNA FLJ39064 fis, clone NT2RP7014583	0.000774222	2.242908852
223328_at	ARMC10	armadillo repeat containing 10	0.005677545	2.683592237
217786_at	PRMT5	protein arginine methyltransferase 5	7.82E-05	2.30995964
221627_at	TRIM10	tripartite motif-containing 10	0.000876884	2.453211344
218172_s_at	DERL1	Der1-like domain family, member 1	0.000224785	2.333030276
201734_at	CLCN3	Chloride channel 3	0.001908338	2.542519512
219611_s_at	CCDC21	coiled-coil domain containing 21	6.11E-05	2.286875596
207983_s_at	STAG2	stromal antigen 2	0.000821688	2.477768391
228201_at	ARL13B	ADP-ribosylation factor-like 13B	0.001383552	2.305691514
212291_at	HIPK1	homeodomain interacting protein kinase 1	0.006262214	2.587623849
219940_s_at	PCID2	PCI domain containing 2	0.000114283	2.300965205
222987_s_at	TMEM9	transmembrane protein 9	0.000453857	2.413179186
238513_at	PRRG4	Proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	0.002587542	2.464817114
222386_s_at	COPZ1	coatomer protein complex, subunit zeta 1	8.18E-05	2.234144893
201493_s_at	PUM2	pumilio homolog 2 (Drosophila)	0.000499904	2.272719767
208724_s_at	RAB1A	RAB1A, member RAS oncogene family	0.000581636	2.146009784
201630_s_at	ACP1	acid phosphatase 1, soluble	1.37E-05	2.290017644
212157_at	SDC2	syndecan 2	0.000745091	2.385550955
216242_x_at	POLR2J2	DNA directed RNA polymerase II polypeptide J-related	2.45E-05	2.312932152
226031_at	CCDC132	coiled-coil domain containing 132	8.82E-05	2.31988583
221763_at	JMJD1C	jumonji domain containing 1C	7.73E-05	2.180607941
227121_at	---	MRNA; cDNA DKFZp586K1922 (from clone DKFZp586K1922)	0.001922817	2.119799948
1554333_at	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	0.004270608	2.531356541
225806_at	JUB	jub, ajuba homolog (Xenopus laevis)	5.27E-05	2.306276173
222037_at	MCM4	minichromosome maintenance complex component 4	0.005439451	2.711595333
206173_x_at	GABPB2	GA binding protein transcription factor, beta subunit 2	0.002624305	2.463171175
214279_s_at	NDRG2	NDRG family member 2	0.001413885	2.289849231
212061_at	SR140	U2-associated SR140 protein	0.000301664	2.415028456
1559965_at	---	CDNA clone IMAGE:4811567	0.003835108	2.567975575
226134_s_at	---	Transcribed locus	0.001350197	2.082882078
1558699_a_at	HERPUD2	HERPUD family member 2	0.000564943	2.392551837
224720_at	MIB1	mindbomb homolog 1 (Drosophila)	3.74E-05	2.217470824
203125_x_at	SLC11A2	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2	0.001168712	2.423108335
225032_at	FNDC3B	fibronectin type III domain containing 3B	0.005573948	2.184666675
203630_s_at	COG5	component of oligomeric golgi complex 5	0.003876474	2.195628981
225766_s_at	---	CDNA FLJ31107 fis, clone IMR322000152	0.000390098	2.39913657
229075_at	---	Transcribed locus	0.00088381	2.28447336
208264_s_at	EIF3S1	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	0.001456835	2.50081739
223027_at	SNX9	sorting nexin 9	0.002745707	2.522530007
217909_s_at	MLX	MAX-like protein X	0.000433906	2.331222874
208742_s_at	SAP18	Sin3A-associated protein, 18kDa	0.000112985	2.2721337
201986_at	THRAP1	thyroid hormone receptor associated protein 1	0.001995897	2.109303729
219588_s_at	NCAPG2	non-SMC condensin II complex, subunit G2	0.004554428	2.195060634
1552789_at	TLOC1	translocation protein 1	0.000522378	2.257841351
227771_at	LIFR	leukemia inhibitory factor receptor alpha	0.008271094	2.302283041
231252_at	FLJ23861	hypothetical protein FLJ23861	0.003971755	2.172455388
204031_s_at	PCBP2	poly(rC) binding protein 2	0.00049557	2.39809386
243828_at	---	---	0.001706753	2.481482565
208800_at	SRP72	signal recognition particle 72kDa	0.008904414	2.697926119
210320_s_at	DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	0.000672111	2.308947586
209861_s_at	METAP2	methionyl aminopeptidase 2	0.000952017	2.47867058
212672_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	0.000271716	2.290955538
219757_s_at	C14orf101	chromosome 14 open reading frame 101	0.000363539	2.174581296
1558249_s_at	STX16	syntaxin 16	0.007245554	2.330810255
1557067_s_at	LUC7L	LUC7-like (S. cerevisiae)	0.001531559	2.26066763
230027_s_at	MRPL43	mitochondrial ribosomal protein L43	0.005207684	2.27560076
214785_at	VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae)	0.006519771	2.722978757
203518_at	LYST	lysosomal trafficking regulator	0.007308271	2.726975133
209786_at	HMGN4	high mobility group nucleosomal binding domain 4	0.002291355	2.110685202
218295_s_at	NUP50	nucleoporin 50kDa	0.000311191	2.417861359
209520_s_at	NCBP1	nuclear cap binding protein subunit 1, 80kDa	0.000289907	2.400284317
223542_at	ANKRD32	ankyrin repeat domain 32	0.000168573	2.303085834
227033_at	PDIA3	protein disulfide isomerase family A, member 3	0.000916366	2.166057245
219917_at	ZCCHC4	zinc finger, CCHC domain containing 4	0.002122898	2.34323841
223650_s_at	NRBF2	nuclear receptor binding factor 2	0.000165683	2.421478774
244742_at	PAH	phenylalanine hydroxylase	0.003635436	2.539704595
224786_at	SCOC	short coiled-coil protein	0.000202445	2.465883242
209080_x_at	TXNL2	thioredoxin-like 2	0.000173384	2.453436031
223797_at	PRO2852	hypothetical protein PRO2852	0.004082041	2.351631236
220408_x_at	FAM48A	family with sequence similarity 48, member A	0.004694265	2.147072802
222703_s_at	YRDC	yrdC domain containing (E. coli)	0.001304227	2.365416087
205188_s_at	SMAD5	SMAD family member 5	0.006559905	2.182217328
201243_s_at	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	0.001265731	2.530775818
215548_s_at	SCFD1	sec1 family domain containing 1	4.59E-05	2.268704174
241385_at	LARP7	La ribonucleoprotein domain family, member 7	0.006140956	2.057081838
225325_at	FLJ20160	FLJ20160 protein	0.005491976	2.099466505
225707_at	ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6	0.00620981	2.590474764
209186_at	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	7.24E-05	2.349357764
204853_at	ORC2L	origin recognition complex, subunit 2-like (yeast)	0.001015716	2.324393731
243387_at	MESP1	mesoderm posterior 1 homolog (mouse)	0.00697653	2.032902549
230478_at	OIT3	oncoprotein induced transcript 3	0.003854983	2.577306507
210983_s_at	MCM7	minichromosome maintenance complex component 7	0.002991555	2.682388432
226302_at	ATP8B1	ATPase, Class I, type 8B, member 1	0.002002282	2.313432943
223025_s_at	AP1M1	adaptor-related protein complex 1, mu 1 subunit	0.008997203	2.255498282
207753_at	ZNF304	zinc finger protein 304	7.11E-05	2.358528913
221918_at	PCTK2	PCTAIRE protein kinase 2	6.47E-06	2.363946008
225095_at	SPTLC2	Serine palmitoyltransferase, long chain base subunit 2	0.001462302	2.571081724
222467_s_at	SAPS3	SAPS domain family, member 3	0.000304391	2.418472832
226505_x_at	USP32	ubiquitin specific peptidase 32	0.004329775	2.579555782
225162_at	SH3D19	SH3 domain protein D19	0.001822999	2.190942858
201894_s_at	SSR1	signal sequence receptor, alpha (translocon-associated protein alpha)	6.60E-05	2.393206646
