Gene Symbol	Description	CM/EB Fold Change	FH/EB Fold Change	AH/EB Fold change
SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	12.85	21.29	55.66
NRIP2	nuclear receptor interacting protein 2	10.13	30.44	37.72
CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	3.78	5.37	4.31
TCP11L2	t-complex 11 (mouse) like 2	21.01	60.99	36.45
FLJ36748	hypothetical protein FLJ36748	5.97	19.52	9.02
NFIB	nuclear factor I/B	4.42	29.03	26.23
JOSD2	Josephin domain containing 2	3.87	2.55	2.62
TXNDC13	thioredoxin domain containing 13	3.73	3.67	7.81
ALPK3	alpha-kinase 3	55.6	120.45	140.76
TRAK2	trafficking protein, kinesin binding 2	4.25	3.6	9.71
SLCO3A1	solute carrier organic anion transporter family, member 3A1	7.55	6.07	5.61
ASB8	ankyrin repeat and SOCS box-containing 8	2.71	2.42	4.8
HMFN0839	lysophosphatidic acid acyltransferase theta	16.08	81.55	72.32
PAM	peptidylglycine alpha-amidating monooxygenase	5.62	7.39	8.05
RBM9	RNA binding motif protein 9	6.46	2.48	3.09
LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	2.69	4.71	4.26
FLJ33718	docking protein 7	47.48	264.95	429.62
LIN9	lin-9 homolog (C. elegans)	5.93	2.64	2.75
TNNI3	troponin I type 3 (cardiac)	19.37	86.79	261.22
USP15	ubiquitin specific peptidase 15	3.92	2.61	4.19
KIAA1128	KIAA1128	2.34	2.74	5.15
ASB4	ankyrin repeat and SOCS box-containing 4	9.25	119.6	4.69
CPEB3	cytoplasmic polyadenylation element binding protein 3	2.33	6.94	7.66
LOC349236	chromosome 9 open reading frame 164	5.84	2.36	8.23
PTPN21	protein tyrosine phosphatase, non-receptor type 21	9.78	9.51	4.72
TDRD9	tudor domain containing 9	5.85	69.73	186.76
ASB2	ankyrin repeat and SOCS box-containing 2	3.96	3.31	3.99
CAV2	caveolin 2	10.09	14.82	15.81
AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)	5.53	2.66	3.91
HSPB2	heat shock 27kDa protein 2	14.04	66.35	36.45
FBXO3	F-box protein 3	2.48	2	3.68
SCAND2	SCAN domain containing 2	2.24	6.67	2.29
ZNF626	zinc finger protein 626	7.61	3.29	3.35
PPFIA4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	2.59	5.81	2.89
C21orf34	chromosome 21 open reading frame 34	2.68	5.5	22.68
ZFP3	zinc finger protein 3 homolog (mouse)	5.57	20.03	17.45
LOC285193	similar to RIKEN cDNA 0710001B24	3.24	3.33	3.92
PSD3	pleckstrin and Sec7 domain containing 3	2.78	4.87	2.85
CTF1	cardiotrophin 1	3.79	3.33	3.67
LOC401431	hypothetical gene LOC401431	4.53	2.91	2.58
MGC13057	hypothetical protein MGC13057	7.95	7.64	7.57
VIPR2	vasoactive intestinal peptide receptor 2	5.85	20.84	9.78
GENX-3414	genethonin 1	5.62	3.59	3.19
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	5.3	673.85	803.82
SFXN4	sideroflexin 4	3.43	6.31	2.49
ZCWPW1	zinc finger, CW type with PWWP domain 1	3.55	2.31	2.6
TPM1	tropomyosin 1 (alpha)	6.24	7.29	11.15
ABRA	actin-binding Rho activating protein	96.72	310.26	351.92
DTNA	dystrobrevin, alpha	13.85	20.44	44.93
DTNA	dystrobrevin, alpha	12.29	17.67	38.11
PLCL2	phospholipase C-like 2	3.78	5.32	4.95
RGN	regucalcin (senescence marker protein-30)	9.68	5.15	10.92
CAST	calpastatin	6	10.37	15.12
SGCA	sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)	6.96	32.82	63.04
DKK3	dickkopf homolog 3 (Xenopus laevis)	6.25	6.16	8.3
GPR146	G protein-coupled receptor 146	4.61	122.14	87.39
FAM54B	family with sequence similarity 54, member B	3.03	2.64	4.63
MGST2	microsomal glutathione S-transferase 2	4.3	3.25	4.79
FLNC	filamin C, gamma (actin binding protein 280)	3.1	4.19	6.34
IQWD1	IQ motif and WD repeats 1	3.82	3.47	9.11
EEF1A2	eukaryotic translation elongation factor 1 alpha 2	6.32	13.04	18.78
ANTXR2	anthrax toxin receptor 2	4.13	3.61	3.24
FBXO32	F-box protein 32	10.4	21.73	5.48
ZNF364	zinc finger protein 364	5.72	4.94	5.82
MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	4.37	4.59	2.49
FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)	3.43	11.27	14.04
PTP4A3	protein tyrosine phosphatase type IVA, member 3	4.28	8.34	18.12
TM6SF1	transmembrane 6 superfamily member 1	5.77	4.65	6.87
SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	5.91	3.9	11.48
MOAP1	modulator of apoptosis 1	4.35	2.27	3.39
DMPK	dystrophia myotonica-protein kinase	2.83	4.74	6.06
PDK4	pyruvate dehydrogenase kinase, isozyme 4	5.79	64.27	62.32
QKI	quaking homolog, KH domain RNA binding (mouse)	2.83	3.02	2.88
ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)	4.78	2.77	9.15
PDK2	pyruvate dehydrogenase kinase, isozyme 2	2.89	3.23	4.93
COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	7.75	7.64	8.76
CYP39A1	cytochrome P450, family 39, subfamily A, polypeptide 1	2.64	2.93	2.01
RNF103	ring finger protein 103	2.13	3.01	3.43
ASPH	aspartate beta-hydroxylase	3.73	3.07	3.76
MBNL1	muscleblind-like (Drosophila)	3.55	4.83	9.5
LRRC2	leucine rich repeat containing 2	4.43	5.07	153.16
FAM71B	family with sequence similarity 71, member B	4.42	44.21	14.1
DSCR1	Down syndrome critical region gene 1	5.83	2.9	4.47
CYB5R1	cytochrome b5 reductase 1	2.87	3.63	6.45
SYNPO2	synaptopodin 2	4.36	5.64	120.58
BAG3	BCL2-associated athanogene 3	3.61	4.12	4.95
MAP4	microtubule-associated protein 4	7.74	7.81	32.91
RASSF4		3.13	3.7	4.67
GEM	GTP binding protein overexpressed in skeletal muscle	2.56	7.55	2.83
ABLIM1	actin binding LIM protein 1	5.5	9.85	14.57
MGST3	microsomal glutathione S-transferase 3	4.68	3.48	4.98
TRIM29	tripartite motif-containing 29	4.83	7.11	4.47
CPEB4	cytoplasmic polyadenylation element binding protein 4	5.07	7.54	10.78
ATXN1	ataxin 1	2.4	3.44	2.41
CALCOCO1	calcium binding and coiled-coil domain 1	2.19	3.58	3.96
TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	14.63	26.41	17.22
SPTB	spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)	9.88	19.46	25.02
GPD1L	glycerol-3-phosphate dehydrogenase 1-like	3.17	12.55	24.56
CDADC1	cytidine and dCMP deaminase domain containing 1	11.79	70.54	9.07
CDH2	cadherin 2, type 1, N-cadherin (neuronal) 2.61	2.03	2.56
ACOT2	acyl-CoA thioesterase 2	3.91	7.07	12.66
IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	6.1	9.71	17.14
CALD1	caldesmon 1	4.83	7.48	4.62
KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	3.59	3.93	4.28
SLC2A11	solute carrier family 2 (facilitated glucose transporter), member 11	2.83	2.04	2.3
DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	3.14	3.17	5.38
PSCD4	pleckstrin homology, Sec7 and coiled-coil domains 4	3.12	500.66	396.69
EIF2C4	eukaryotic translation initiation factor 2C, 4	3.99	2.96	3.25
B3GALT3	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	7.4	36.33	23.33
PYGB	phosphorylase, glycogen; brain	5.07	5.42	6.11
STK38L	serine/threonine kinase 38 like	2.89	3.21	3.26
PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	2.74	11.99	8.38
LYL1	lymphoblastic leukemia derived sequence 1	3.1	23.36	10.06
SIDT1	SID1 transmembrane family, member 1	2.5	37.27	10.22
NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	3.46	2.4	3.72
RIN2	Ras and Rab interactor 2	2.8	3.65	3.49
CYCS	cytochrome c, somatic	2.65	4.46	5.46
PRKY	protein kinase, Y-linked	3.94	22.8	85.71
LAMB2	laminin, beta 2 (laminin S)	2.42	3.93	4.73
MYO18A	myosin XVIIIA	3.37	5.35	4.3
TDRD6	tudor domain containing 6	2.1	2.09	3.87
PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	3.44	3.94	4.68
C1orf190	chromosome 1 open reading frame 190	6.1	5.09	4.8
GUCA1C	guanylate cyclase activator 1C	5.25	6.52	96.14
TNIK	TRAF2 and NCK interacting kinase	2.63	2.99	2.96
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3.63	10.31	6.65
MOSC2	MOCO sulphurase C-terminal domain containing 2	4.88	7	5.54
NDRG4	NDRG family member 4	2.64	12.4	21.29
FGF18		2.05	11.42	5.98
MGC17330	HGFL gene	2.76	3.23	4.57
PEA15	phosphoprotein enriched in astrocytes 15	3.13	2.34	2.46
MLYCD	malonyl-CoA decarboxylase	3.53	7.34	13.26
PRDM8	PR domain containing 8	5.91	61.28	6.03
PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	25.39	74.46	95.11
LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)	3.54	18.12	9.62
TCTA	T-cell leukemia translocation altered gene	4.09	2.69	2.71
MEF2D	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D) 2.39	3.51	3.53
CD36	CD36 molecule (thrombospondin receptor)	4.19	73.24	296.24
MGLL	monoglyceride lipase	3.33	27.81	330.8
HSPC268	hypothetical protein HSPC268	2.22	3.65	4.59
ACACB	acetyl-Coenzyme A carboxylase beta	4.04	10.2	11.81
PNKD	paroxysmal nonkinesiogenic dyskinesia	3.22	2.33	2.2
GEM	GTP binding protein overexpressed in skeletal muscle	2.26	4.44	3.44
IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	2.35	2.38	6.97
OSBP2	oxysterol binding protein 2	3.21	3.62	2.26
SLMAP	sarcolemma associated protein	4.55	4.55	8.95
MLF1	myeloid leukemia factor 1	4.17	3.14	3.5
GAS6	growth arrest-specific 6	2.28	3.74	4.42
MYOM3	myomesin family, member 3	11.46	645.94	9136.12
TSPAN7	tetraspanin 7	3.19	2.13	2.19
HAGH	hydroxyacylglutathione hydrolase	3.11	2.05	4.27
QIL1	hypothetical protein P117	3.1	2.6	4.65
PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	2.51	3.38	2.49
C9orf3	chromosome 9 open reading frame 3	2	2.87	6.63
DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	2.53	3.55	7.7
RP13-15M17.2 hypothetical protein LOC199953		3.06	4.75	3.74
HSPB1	heat shock 27kDa protein 1	3.38	3.95	4.65
TP53INP2	tumor protein p53 inducible nuclear protein 2	4.07	7.97	13.95
GPX3	glutathione peroxidase 3 (plasma)	6.14	18.8	50.51
MRRF	mitochondrial ribosome recycling factor	3.26	2.76	3.37
LCE1D	late cornified envelope 1D	2.29	3.58	5.08
MFN2	mitofusin 2	4.24	3.49	8.3
PTPRE	protein tyrosine phosphatase, receptor type, E	2.38	3.76	4.73
CPEB2	cytoplasmic polyadenylation element binding protein 2	3.75	4.95	14.53
AAK1	AP2 associated kinase 1	2.91	28.6	3
CAV3	caveolin 3	25.73	1327.73	762.09
NR1D2	nuclear receptor subfamily 1, group D, member 2	2.98	3.07	4.78
GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	3.64	4.5	10.13
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	9.13	8.15	22.34
PCBD1		3.34	2.73	10.02
PLA2G4C	phospholipase A2, group IVC (cytosolic, calcium-independent)	10.36	16.37	70.8
NKG7	natural killer cell group 7 sequence	2.78	725.45	226.48
C2orf7	chromosome 2 open reading frame 7	3.84	3.44	6.9
TACC2	transforming, acidic coiled-coil containing protein 2	2.43	6.13	6.92
KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	9.87	34.11	12.29
SLC6A9	solute carrier family 6 (neurotransmitter transporter, glycine), member 9	2.93	4.21	7.49
FECH	ferrochelatase (protoporphyria)	2.84	3.84	2.28
EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	2.62	328.78	42964.97
RGS18	regulator of G-protein signalling 18	3.71	279.8	9.98
COQ6	coenzyme Q6 homolog, monooxygenase (S. cerevisiae)	2.36	2.3	3.76
COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	14.5	47.7	353.28
DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	5.64	50.03	58.32
CACNB2	calcium channel, voltage-dependent, beta 2 subunit	2.57	3353.83	2248.81
MSRA	methionine sulfoxide reductase A	2.65	2.96	4.81
LOC124751	KRAB-A domain containing 2	2.28	8.16	3.61
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	2.51	4.01	3.77
NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	3.56	2.97	4.1
HSPA1A	heat shock 70kDa protein 1A	2.08	4.56	5.57
ACO2	aconitase 2, mitochondrial	2.87	5.66	13.65
FYCO1	FYVE and coiled-coil domain containing 1	3.1	4.04	12.29
GBAS	glioblastoma amplified sequence	2.58	2.54	5.34
INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	2.92	3.14	3.89
PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	2.22	2.48	4.31
FRMD5	FERM domain containing 5	7.37	41.78	33.08
HSDL2	hydroxysteroid dehydrogenase like 2	2.17	2.48	6.12
VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	106.4	93.89	143.93
DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	5.12	4.23	7.15
ACOX2	acyl-Coenzyme A oxidase 2, branched chain	2.66	4.52	6.51
MDH1	malate dehydrogenase 1, NAD (soluble)	3.78	3.21	5.88
RAB21	RAB21, member RAS oncogene family	2.4	3.75	6.39
P8	nuclear protein 1	2.82	7.38	12.97
DSTN	destrin (actin depolymerizing factor)	2.72	3.47	4.44
RHOQ	ras homolog gene family, member Q	2.6	5.74	6.32
ACOT11	acyl-CoA thioesterase 11	5.75	31.42	30.37
C14orf159	chromosome 14 open reading frame 159	2.56	6.79	9.3
TMEM127	transmembrane protein 127	2.26	2.06	2.24
TESSP2	testis serine protease 2	2.37	8.76	5.35
CACNB2	calcium channel, voltage-dependent, beta 2 subunit	5.89	675.33	84.78
PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	7.98	9.31	16.12
GPR158	G protein-coupled receptor 158	25.11	54.44	36.05
ZNF76	zinc finger protein 76 (expressed in testis)	2.85	2.89	3.49
A2M	alpha-2-macroglobulin	2.39	5.51	6.55
TESC	tescalcin	5.55	17.88	26.74
LRRC8C	leucine rich repeat containing 8 family, member C	2.02	3.08	2.15
KLHL3	kelch-like 3 (Drosophila)	2.9	4.48	3.23
C22orf16	chromosome 22 open reading frame 16	4.02	6.77	14.9
SORBS1	sorbin and SH3 domain containing 1	3.84	98.24	55.85
SPTB	spectrin, beta, erythrocytic (includes spherocytosis, clinical type I)	96.44	217.65	135.14
C20orf39	chromosome 20 open reading frame 39	3.52	3.93	4.47
CRY2	cryptochrome 2 (photolyase-like)	2.41	4.03	6.41
PFKM	phosphofructokinase, muscle	2.04	2.99	7.75
USP2	ubiquitin specific peptidase 2	3.53	7.39	8.55
