Affy ID	Gene Rank	Gene Name	Symbol	Mean Fold-Difference†
218151_x_at	389	G protein-coupled receptor 172A	GPR172A	-1.2
204072_s_at	390	hypothetical protein CG003	13CDNA73	2.1
212068_s_at	391	KIAA0515	KIAA0515	1.4
201810_s_at	392	SH3-domain binding protein 5 (BTK-associated)	SH3BP5	-1.5
204316_at	393	regulator of G-protein signalling 10	RGS10	-1.2
201207_at	394	tumor necrosis factor, alpha-induced protein 1 (endothelial)	TNFAIP1	1.3
213025_at	395	THUMP domain containing 1	THUMPD1	1.5
203700_s_at	396	deiodinase, iodothyronine, type II	DIO2	1.6
217787_s_at	397	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GALNT2	-1.3
204075_s_at	398	glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein	GlyBP	1.2
206704_at	399	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	CLCN5	1.6
212209_at	400	thyroid hormone receptor associated protein 2	THRAP2	1.5
219641_at	401	de-etiolated homolog 1 (Arabidopsis)	DET1	1.3
202905_x_at	402	nibrin	NBN	-1.5
219763_at	403	KIAA1608	KIAA1608	-1.2
204604_at	404	PFTAIRE protein kinase 1	PFTK1	1.5
200746_s_at	405	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1	1.4
218683_at	406	polypyrimidine tract binding protein 2	PTBP2	1.7
208002_s_at	407	brain acyl-CoA hydrolase	BACH	1.6
211941_s_at	408	prostatic binding protein	PBP	1.5
212416_at	409	secretory carrier membrane protein 1	SCAMP1	1.4
215311_at	410	MRNA full length insert cDNA clone EUROIMAGE 21920	---	2.3
221885_at	411	KIAA1277	KIAA1277	-1.2
220134_x_at	412	chromosome 1 open reading frame 78	C1orf78	-1.4
215690_x_at	413	GPAA1P anchor attachment protein 1 homolog (yeast)	GPAA1	-1.3
217863_at	414	protein inhibitor of activated STAT, 1	PIAS1	1.3
209702_at	415	fatso	FTO	1.3
209253_at	416	vinexin beta (SH3-containing adaptor molecule-1)	SCAM-1	-1.2
203476_at	417	trophoblast glycoprotein	TPBG	-1.8
202959_at	418	methylmalonyl Coenzyme A mutase	MUT	1.4
218900_at	419	cyclin M4	CNNM4	-1.1
203100_s_at	420	chromodomain protein, Y-like	CDYL	1.3
201032_at	421	bladder cancer associated protein	BLCAP	1.9
202854_at	422	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	HPRT1	1.5
219506_at	423	chromosome 1 open reading frame 54	C1orf54	-1.5
202579_x_at	424	high mobility group nucleosomal binding domain 4	HMGN4	1.3
213161_at	425	chromosome 9 open reading frame 97 /// chromosome 9 open reading frame 97	C9orf97	1.3
212655_at	426	zinc finger, CCHC domain containing 14	ZCCHC14	1.5
213224_s_at	427	hypothetical protein LOC92482	LOC92482	1.4
203510_at	428	met proto-oncogene (hepatocyte growth factor receptor)	MET	2.1
221969_at	429	Paired box gene 5 (B-cell lineage specific activator)	PAX5	1.8
213946_s_at	430	KIAA0657 protein	KIAA0657	-1.4
208978_at	431	cysteine-rich protein 2	CRIP2	1.6
218373_at	432	fused toes homolog (mouse)	FTS	1.3
213021_at	433	golgi SNAP receptor complex member 1	GOSR1	1.2
212309_at	434	cytoplasmic linker associated protein 2	CLASP2	1.5
209695_at	435	protein tyrosine phosphatase type IVA, member 3	PTP4A3	-1.5
203745_at	436	holocytochrome c synthase (cytochrome c heme-lyase)	HCCS	1.5
209657_s_at	437	heat shock transcription factor 2	HSF2	1.5
219372_at	438	carnitine deficiency-associated, expressed in ventricle 1	CDV1	1.3
205042_at	439	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	1.4
213185_at	440	KIAA0556 protein	KIAA0556	1.3
219146_at	441	chromosome 17 open reading frame 42	C17orf42	1.2
204662_at	442	CP110 protein	CP110	1.3
208916_at	443	solute carrier family 1 (neutral amino acid transporter), member 5	SLC1A5	-1.2
202783_at	444	nicotinamide nucleotide transhydrogenase	NNT	1.5
207785_s_at	445	recombining binding protein suppressor of hairless (Drosophila)	RBPSUH	1.7
213251_at	446	Hypothetical LOC 441046	---	1.6
218528_s_at	447	ring finger protein 38	RNF38	1.4
217967_s_at	448	chromosome 1 open reading frame 24	C1orf24	-1.8
203565_s_at	449	menage a trois 1 (CAK assembly factor)	MNAT1	1.4
204726_at	450	cadherin 13, H-cadherin (heart)	CDH13	1.5
202724_s_at	451	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	1.7
212211_at	452	ankyrin repeat domain 17	ANKRD17	1.4
213365_at	453	similar to RIKEN cDNA 4933424N09 gene	MGC16943	1.4
219048_at	454	phosphatidylinositol glycan, class N	PIGN	1.2
218099_at	455	uncharacterized hypothalamus protein HT008	HT008	1.2
218857_s_at	456	asparaginase like 1	ASRGL1	1.4
209737_at	457	membrane associated guanylate kinase, WW and PDZ domain containing 2	MAGI2	1.5
221482_s_at	458	cyclic AMP phosphoprotein, 19 kD	ARPP-19	1.6
220014_at	459	mesenchymal stem cell protein DSC54	LOC51334	-1.4
201370_s_at	460	cullin 3	CUL3	1.4
203297_s_at	461	Jumonji, AT rich interactive domain 2	JARID2	1.5
206695_x_at	462	zinc finger protein 43 (HTF6)	ZNF43	1.3
204093_at	463	cyclin H	CCNH	1.3
201644_at	464	tissue specific transplantation antigen P35B	TSTA3	-1.3
204600_at	465	EPH receptor B3	EPHB3	-1.3
209863_s_at	466	tumor protein p73-like	TP73L	-1.3
212710_at	467	calmodulin regulated spectrin-associated protein 1	CAMSAP1	1.4
209084_s_at	468	RAB28, member RAS oncogene family	RAB28	1.3
217964_at	469	tetratricopeptide repeat domain 19	TTC19	1.4
215185_at	470	hypothetical gene supported by AK024177	LOC441468	-1.1
213960_at	471	CDNA FLJ37610 fis, clone BRCOC2011398	---	1.9
204485_s_at	472	target of myb1-like 1 (chicken)	TOM1L1	1.7
212547_at	473	FLJ35348	FLJ35348	1.4
209111_at	474	ring finger protein 5	RNF5	1.3
217977_at	475	selenoprotein X, 1	SEPX1	1.3
201218_at	476	C-terminal binding protein 2	CTBP2	1.6
212815_at	477	activating signal cointegrator 1 complex subunit 3	ASCC3	1.4
221933_at	478	neuroligin 4, X-linked	NLGN4X	1.7
201566_x_at	479	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein	ID2 /// ID2B	-1.4
212607_at	480	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3	1.4
206737_at	481	wingless-type MMTV integration site family, member 11	WNT11	-1.3
222025_s_at	482	5-oxoprolinase (ATP-hydrolysing)	OPLAH	-1.2
201829_at	483	neuroepithelial cell transforming gene 1	NET1	1.6
209435_s_at	484	rho/rac guanine nucleotide exchange factor (GEF) 2	ARHGEF2	1.3
221836_s_at	485	IKK2 binding protein	T1	-1.2
205665_at	486	tetraspanin 9	TSPAN9	-1.1
206498_at	487	oculocutaneous albinism II (pink-eye dilution homolog, mouse)	OCA2	-1.2
208857_s_at	488	protein-L-isoaspartate (D-aspartate) O-methyltransferase	PCMT1	1.6
213852_at	489	RNA binding motif protein 8A	RBM8A	1.3
217525_at	490	olfactomedin-like 1	OLFML1	-1.4
212774_at	491	zinc finger protein 238	ZNF238	1.7
212928_at	492	TSPY-like 4	TSPYL4	1.5
203660_s_at	493	pericentrin 2 (kendrin)	PCNT2	1.4
202777_at	494	soc-2 suppressor of clear homolog (C. elegans)	SHOC2	1.4
213689_x_at	495	Hypothetical LOC388650	LOC388650	1.4
213059_at	496	cAMP responsive element binding protein 3-like 1	CREB3L1	-1.3
220512_at	497	deleted in liver cancer 1	DLC1	-1.2
218612_s_at	498	tumor suppressing subtransferable candidate 4	TSSC4	-1.2
212322_at	499	sphingosine-1-phosphate lyase 1	SGPL1	1.4
219025_at	500	CD248 antigen, endosialin	CD248	-1.3
204500_s_at	501	ATP/GTP binding protein 1	AGTPBP1	1.3
207191_s_at	502	immunoglobulin superfamily containing leucine-rich repeat	ISLR	-1.7
204983_s_at	503	glypican 4	GPC4	-1.4
218686_s_at	504	rhomboid family 1 (Drosophila)	RHBDF1	-1.3
201018_at	505	eukaryotic translation initiation factor 1A, X-linked	EIF1AX	1.6
208051_s_at	506	poly(A) binding protein interacting protein 1	PAIP1	1.6
204201_s_at	507	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	PTPN13	-1.2
220694_at	508	HSPC054 protein	HSPC054	-1.3
203073_at	509	component of oligomeric golgi complex 2	COG2	1.2
204208_at	510	RNA guanylyltransferase and 5-phosphatase	RNGTT	1.2
205911_at	511	parathyroid hormone receptor 1	PTHR1	-1.2
201735_s_at	512	chloride channel 3	CLCN3	1.4
212498_at	513	Membrane-associated ring finger (C3HC4) 6	MARCH-VI	1.4
212987_at	514	F-box protein 9	FBXO9	1.4
204071_s_at	515	topoisomerase I binding, arginine/serine-rich	TOPORS	1.2
201696_at	516	splicing factor, arginine/serine-rich 4	SFRS4	1.2
201010_s_at	517	thioredoxin interacting protein	TXNIP	1.5
202614_at	518	solute carrier family 30 (zinc transporter), member 9	SLC30A9	1.4
222236_s_at	519	development and differentiation enhancing factor-like 1	DDEFL1	-1.2
208644_at	520	poly (ADP-ribose) polymerase family, member 1	PARP1	1.4
219932_at	521	solute carrier family 27 (fatty acid transporter), member 6	SLC27A6	1.6
219276_x_at	522	chromosome 9 open reading frame 82	C9orf82	1.3
203062_s_at	523	mediator of DNA damage checkpoint 1	MDC1	1.4
203909_at	524	solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	SLC9A6	1.4
221730_at	525	collagen, type V, alpha 2	COL5A2	-2.0
205510_s_at	526	hypothetical protein FLJ10038	FLJ10038	1.2
205651_x_at	527	Rap guanine nucleotide exchange factor (GEF) 4	RAPGEF4	1.2
212678_at	528	Neurofibromin 1 (neurofibromatosis, von Recklinghausen disease, Watson disease)	NF1	1.3
203175_at	529	ras homolog gene family, member G (rho G)	RHOG	-1.2
201975_at	530	restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)	RSN	1.4
212997_s_at	531	tousled-like kinase 2	TLK2	1.2
206100_at	532	carboxypeptidase M	CPM	-1.5
205336_at	533	parvalbumin	PVALB	-1.2
212760_at	534	ubiquitin protein ligase E3 component n-recognin 2	UBR2	1.3
