Probe set	Symbol	Name	Fold-difference
218217_at	SCPEP1	serine carboxypeptidase 1	2.1535308
223398_at	C9orf89	chromosome 9 open reading frame 89	2.1492799
235623_at	STATIP1	Signal transducer and activator of transcription 3 interacting protein 1	2.1485009
1560271_at	PTBP2	Polypyrimidine tract binding protein 2	2.1484985
231946_at	ZFHX2	zinc finger homeobox 2	2.1444841
207104_x_at	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	2.1425538
230215_at	SEC61A2	Sec61 alpha 2 subunit (S. cerevisiae)	2.1421928
205179_s_at	ADAM8	ADAM metallopeptidase domain 8 /// ADAM metallopeptidase domain 8	2.1315832
216605_s_at	CEACAM21	carcinoembryonic antigen-related cell adhesion molecule 21	2.1300608
1559988_at	ZNF483	zinc finger protein 483	2.1299439
215099_s_at	RXRB	retinoid X receptor, beta	2.1271887
201050_at	PLD3	phospholipase D family, member 3	2.1247647
218599_at	REC8L1	REC8-like 1 (yeast)	2.1208655
1552613_s_at	CDC42SE2	CDC42 small effector 2	2.1198115
218929_at	CARF	collaborates/cooperates with ARF (alternate reading frame) protein	2.1162036
225725_at	---	CDNA clone IMAGE:5261213	2.1147035
222366_at	ADNP	Activity-dependent neuroprotector	2.1136554
203281_s_at	UBE1L	ubiquitin-activating enzyme E1-like	2.1094129
244131_at	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	2.0986562
227983_at	MGC7036	hypothetical protein MGC7036	2.0952835
231403_at	TRIO	Triple functional domain (PTPRF interacting)	2.0886152
211156_at	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	2.0784015
1568846_at	PVT1	Pvt1 oncogene homolog, MYC activator (mouse)	2.0782972
223032_x_at	PX19	px19-like protein	2.0781329
230225_x_at	C14orf118	Chromosome 14 open reading frame 118	2.0717501
1559167_x_at	MPV17L	MPV17 mitochondrial membrane protein-like	2.071693
1554569_a_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	2.0669202
202820_at	AHR	aryl hydrocarbon receptor	2.0546281
210797_s_at	OASL	2-5-oligoadenylate synthetase-like	2.0489549
219078_at	GPATC2	G patch domain containing 2	2.0467302
239571_at	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	2.0383834
202682_s_at	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	2.0277818
1569495_at	FLJ30655	Hypothetical protein FLJ30655	2.0248668
213649_at	SFRS7	splicing factor, arginine/serine-rich 7, 35kDa	2.0200996
223465_at	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	2.0163085
209501_at	CDR2	cerebellar degeneration-related protein 2, 62kDa	2.0127171
1557915_s_at	GSTO1	glutathione S-transferase omega 1	2.0120162
229787_s_at	---	Transcribed locus	2.0110287
201935_s_at	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	2.0083064
204258_at	CHD1	chromodomain helicase DNA binding protein 1	2.0073236
231576_at	ETNK1	Ethanolamine kinase 1	2.0066024
203402_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	2.0061922
1568678_s_at	FGFR1OP /// C9orf4	FGFR1 oncogene partner /// chromosome 9 open reading frame 4	2.0059729
216902_s_at	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	2.0037121
203374_s_at	TPP2	tripeptidyl peptidase II	2.0024269
1569952_x_at	---	CDNA clone IMAGE:4814292	2.0020807
239886_at	RNF130	Ring finger protein 130	1.998149
230328_at	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	1.9936461
208721_s_at	ANAPC5	anaphase promoting complex subunit 5	1.9931554
222625_s_at	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	1.9912262
235110_at	HRASLS3	HRAS-like suppressor 3	1.988648
203311_s_at	ARF6	ADP-ribosylation factor 6	1.9793803
237465_at	USP53	Ubiquitin specific peptidase 53	1.9738367
201363_s_at	IVNS1ABP	influenza virus NS1A binding protein	1.9691418
216554_s_at	---	---	1.9639512
209575_at	IL10RB	interleukin 10 receptor, beta	1.9602773
213732_at	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	1.9575145
202157_s_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	1.9378528
211133_x_at	LILRB2 /// LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	1.9373169
1294_at	UBE1L	ubiquitin-activating enzyme E1-like	1.9357332
210784_x_at	LILRB2 /// LILRB3	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	1.9353892
201456_s_at	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	1.9345064
213453_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	1.9307815
206245_s_at	IVNS1ABP	influenza virus NS1A binding protein	1.92755
221845_s_at	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	1.9272956
231094_s_at	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	1.9269231
217398_x_at	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	1.9265174
222262_s_at	ETNK1	ethanolamine kinase 1	1.922818
208723_at	USP11	ubiquitin specific peptidase 11	1.9177977
204761_at	USP6NL	USP6 N-terminal like	1.910196
235760_at	---	---	1.9040838
242038_at	LRRC8B	leucine rich repeat containing 8 family, member B	1.8991066
1554310_a_at	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	1.8951817
225169_at	INTS4	integrator complex subunit 4	1.8910653
208699_x_at	TKT	transketolase (Wernicke-Korsakoff syndrome)	1.8882362
208915_s_at	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	1.8829832
216211_at	C10orf18	Chromosome 10 open reading frame 18	1.8801473
229429_x_at	FAM91A2	family with sequence similarity 91, member A2	1.8797583
1560128_x_at	RAD50	RAD50 homolog (S. cerevisiae)	1.8797208
243757_at	---	---	1.8769577
207187_at	JAK3	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	1.8690329
225331_at	CCDC50	coiled-coil domain containing 50	1.8689205
231302_at	---	---	1.8682803
214359_s_at	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	1.8636182
201089_at	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	1.8608788
229571_at	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	1.8358156
1552627_a_at	ARHGAP5	Rho GTPase activating protein 5	1.834036
212392_s_at	PDE4DIP /// LOC642537 /// LOC652526	phosphodiesterase 4D interacting protein (myomegalin) /// similar to phosphodiesterase 4D interacting protein isoform 2 /// similar to phosphodiesterase 4D interacting protein isoform 2	1.8234691
201470_at	GSTO1	glutathione S-transferase omega 1	1.8021264
201577_at	NME1	non-metastatic cells 1, protein (NM23A) expressed in	1.7933455
217732_s_at	ITM2B	integral membrane protein 2B	1.7919588
202446_s_at	PLSCR1	phospholipid scramblase 1	1.7893789
200741_s_at	RPS27	ribosomal protein S27 (metallopanstimulin 1)	1.7633349
241540_at	---	---	1.7473212
211074_at	FOLR1	folate receptor 1 (adult) /// folate receptor 1 (adult)	1.7171166
201171_at	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	1.6606958
217769_s_at	POMP	proteasome maturation protein	1.5638624
200765_x_at	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	0.6805116
212465_at	SETD3	SET domain containing 3	0.6572779
202852_s_at	FLJ11506	hypothetical protein FLJ11506	0.6434256
228760_at	---	Transcribed locus	0.6361707
214323_s_at	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	0.6360215
223457_at	COPG2	coatomer protein complex, subunit gamma 2	0.632156
217870_s_at	CMPK	cytidylate kinase	0.6310998
212648_at	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	0.6307389
243_g_at	MAP4	microtubule-associated protein 4	0.6289612
226715_at	FOXK1	forkhead box K1	0.6288987
217846_at	QARS	glutaminyl-tRNA synthetase	0.6285955
225545_at	EEF2K	eukaryotic elongation factor-2 kinase	0.6265429
222840_at	C14orf103	Chromosome 14 open reading frame 103	0.6247056
227981_at	---	---	0.6242219
225785_at	REEP3	Receptor accessory protein 3	0.6207119
224990_at	C4orf34	chromosome 4 open reading frame 34	0.6190095
209368_at	EPHX2	epoxide hydrolase 2, cytoplasmic	0.6153207
214924_s_at	TRAK1	trafficking protein, kinesin binding 1	0.6143458
212138_at	SCC-112	SCC-112 protein	0.6116182
1554555_a_at	SETD6	SET domain containing 6	0.6080192
225658_at	LOC339745	hypothetical protein LOC339745	0.606201
225405_at	HNRPUL2	heterogeneous nuclear ribonucleoprotein U-like 2	0.6049277
1558845_at	PARD6G	Par-6 partitioning defective 6 homolog gamma (C. elegans)	0.6035558
237333_at	SYNC1	Syncoilin, intermediate filament 1	0.6014993
221725_at	---	CDNA clone IMAGE:3030163	0.6001121
213154_s_at	BICD2	bicaudal D homolog 2 (Drosophila)	0.598881
221522_at	ANKRD27	ankyrin repeat domain 27 (VPS9 domain)	0.5979431
238669_at	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	0.596499
204587_at	SLC25A14	solute carrier family 25 (mitochondrial carrier, brain), member 14	0.5961769
203530_s_at	STX4	syntaxin 4	0.5936293
202587_s_at	AK1	adenylate kinase 1	0.5924134
44120_at	ADCK2	aarF domain containing kinase 2	0.5922478
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase	0.5918728
200864_s_at	RAB11A	RAB11A, member RAS oncogene family	0.5908843
201161_s_at	CSDA	cold shock domain protein A	0.5882893
214694_at	M-RIP	myosin phosphatase-Rho interacting protein	0.5872805
228386_s_at	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	0.5862206
236629_at	C1orf69	chromosome 1 open reading frame 69	0.5858277
222400_s_at	ADI1	acireductone dioxygenase 1	0.5857854
226013_at	TRAK1	trafficking protein, kinesin binding 1	0.5848325
208702_x_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.582889
204119_s_at	ADK	adenosine kinase	0.5824681
235281_x_at	AHNAK	AHNAK nucleoprotein (desmoyokin)	0.5819458
229495_at	ACY1L2	Aminoacylase 1-like 2	0.5818756
225663_at	ACBD5	acyl-Coenzyme A binding domain containing 5	0.5808835
224986_s_at	PDPK1	3-phosphoinositide dependent protein kinase-1	0.5807918
212512_s_at	CARM1	coactivator-associated arginine methyltransferase 1	0.5798161
236506_at	NIN	Ninein (GSK3B interacting protein)	0.5796114
206929_s_at	NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	0.5790817
1554482_a_at	SAR1B	SAR1 gene homolog B (S. cerevisiae)	0.5789055
218091_at	HRB /// LOC649094	HIV-1 Rev binding protein /// region containing hypothetical protein LOC285086; HIV-1 Rev binding protein	0.5788822
1560051_at	---	Transcribed locus	0.576006
214299_at	TOP3A	topoisomerase (DNA) III alpha	0.5753064
213203_at	SNAPC5	Small nuclear RNA activating complex, polypeptide 5, 19kDa	0.5721278
229392_s_at	PIK3R2	Phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)	0.5715658
225125_at	TMEM32	transmembrane protein 32	0.5712823
225483_at	VPS26B	vacuolar protein sorting 26 homolog B (S. cerevisiae)	0.571117
209630_s_at	FBXW2	F-box and WD-40 domain protein 2	0.5703443
203822_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)	0.5702978
223346_at	VPS18	vacuolar protein sorting protein 18	0.57022
210312_s_at	IFT20	intraflagellar transport 20 homolog (Chlamydomonas)	0.5690312
244665_at	ITGA6	Integrin, alpha 6	0.5682495
202417_at	KEAP1	kelch-like ECH-associated protein 1	0.5675647
202633_at	TOPBP1	topoisomerase (DNA) II binding protein 1	0.5674122
212641_at	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	0.5673978
1558154_at	LLGL2	Lethal giant larvae homolog 2 (Drosophila)	0.5669802
222423_at	NDFIP1	Nedd4 family interacting protein 1	0.5667593
225673_at	MYADM	myeloid-associated differentiation marker	0.5664496
223400_s_at	PB1	polybromo 1	0.5660079
202722_s_at	GFPT1	glutamine-fructose-6-phosphate transaminase 1	0.5654098
205202_at	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase	0.5653359
209252_at	HARSL	histidyl-tRNA synthetase-like	0.5646749
213720_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.5637409
200601_at	ACTN4	actinin, alpha 4	0.5630686
242753_x_at	C4orf16	chromosome 4 open reading frame 16	0.5628404
223000_s_at	F11R	F11 receptor	0.5626744
210216_x_at	RAD1	RAD1 homolog (S. pombe)	0.5625124
1554878_a_at	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	0.562334
201529_s_at	RPA1	replication protein A1, 70kDa	0.562159
200070_at	C2orf24	chromosome 2 open reading frame 24 /// chromosome 2 open reading frame 24	0.5619327
226336_at	---	---	0.560962
200849_s_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	0.5599213
219306_at	KIF15 /// C7orf9	kinesin family member 15 /// chromosome 7 open reading frame 9	0.5590141
212765_at	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	0.5585568
202370_s_at	CBFB	core-binding factor, beta subunit	0.5574562
206958_s_at	UPF3A	UPF3 regulator of nonsense transcripts homolog A (yeast)	0.5571195
1553974_at	LOC128977	hypothetical protein LOC128977	0.5570737
226016_at	CD47	CD47 molecule	0.5559076
213049_at	GARNL1	GTPase activating Rap/RanGAP domain-like 1	0.5556613
223452_s_at	DKFZP564J0863	DKFZP564J0863 protein	0.5549733
37433_at	PIAS2	protein inhibitor of activated STAT, 2	0.554768
238841_at	PTPDC1	protein tyrosine phosphatase domain containing 1	0.5546775
1555501_s_at	RSRC1	arginine/serine-rich coiled-coil 1	0.5540935
212098_at	LOC151162	hypothetical protein LOC151162	0.5524266
222980_at	RAB10	RAB10, member RAS oncogene family	0.5521437
222661_at	AGGF1	angiogenic factor with G patch and FHA domains 1	0.5517235
216936_at	---	---	0.551689
200783_s_at	STMN1	stathmin 1/oncoprotein 18	0.5511627
203599_s_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	0.5509084
203719_at	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	0.5496552
225792_at	HOOK1	hook homolog 1 (Drosophila)	0.5483287
210148_at	---	---	0.5478683
209817_at	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	0.5475936
221553_at	RP11-217H1.1 /// LOC644741	implantation-associated protein /// similar to implantation-associated protein	0.5473718
224639_at	UNQ1887	signal peptide peptidase 3	0.5469152
218323_at	RHOT1	ras homolog gene family, member T1	0.5465194
205928_at	ZNF443	zinc finger protein 443	0.54574
207413_s_at	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)	0.5453396
201403_s_at	MGST3	microsomal glutathione S-transferase 3	0.5452766
232000_at	C9orf52	Chromosome 9 open reading frame 52	0.5451549
223046_at	EGLN1	egl nine homolog 1 (C. elegans)	0.5450646
1552643_at	ZNF626	zinc finger protein 626	0.544278
213531_s_at	RAB3GAP1	RAB3 GTPase activating protein subunit 1 (catalytic)	0.5442087
222936_s_at	C1orf121	chromosome 1 open reading frame 121	0.5441626
223337_at	SDCCAG10	serologically defined colon cancer antigen 10	0.5440854
215000_s_at	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	0.5435209
215991_s_at	KIAA0090	KIAA0090	0.5433669
214763_at	ACOT11	acyl-CoA thioesterase 11	0.5430516
200848_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	0.5429063
241474_at	---	---	0.5422828
204255_s_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	0.5419523
206451_at	TBCCD1	TBCC domain containing 1	0.5418413
224076_s_at	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	0.5418239
218407_x_at	NENF	neuron derived neurotrophic factor	0.5415495
235331_x_at	PCGF5	polycomb group ring finger 5	0.541282
225426_at	---	---	0.5411349
201675_at	AKAP1	A kinase (PRKA) anchor protein 1	0.5410716
206059_at	ZNF91	zinc finger protein 91	0.5409912
203531_at	CUL5	cullin 5	0.5408847
243867_at	ZNF518	Zinc finger protein 518	0.5398193
228634_s_at	CSDA	Cold shock domain protein A	0.5396179
219520_s_at	WWC3	WWC family member 3	0.5394697
212373_at	FEM1B	fem-1 homolog b (C. elegans)	0.5393396
221802_s_at	KIAA1598	KIAA1598	0.538585
222203_s_at	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	0.5384166
222745_s_at	C15orf29	chromosome 15 open reading frame 29	0.5383189
212882_at	KLHL18	kelch-like 18 (Drosophila)	0.5375777
218735_s_at	ZNF544	zinc finger protein 544	0.5373912
209788_s_at	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	0.537309
236826_at	C9orf52	Chromosome 9 open reading frame 52	0.5366255
218417_s_at	FLJ20489	hypothetical protein FLJ20489	0.5357821
205298_s_at	BTN2A2	butyrophilin, subfamily 2, member A2	0.535598
204460_s_at	RAD1	RAD1 homolog (S. pombe)	0.5352443
211404_s_at	APLP2	amyloid beta (A4) precursor-like protein 2	0.5343551
237495_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	0.5333539
201567_s_at	GOLGA4	golgi autoantigen, golgin subfamily a, 4	0.5318252
235616_at	---	---	0.5315769
229374_at	EPHA4	EPH receptor A4	0.5314633
226662_at	---	Full-length cDNA clone CS0DB009YL20 of Neuroblastoma Cot 10-normalized of Homo sapiens (human)	0.5305117
213260_at	---	CDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene	0.5292707
53968_at	INTS5	integrator complex subunit 5	0.5290265
240181_at	ZNF96	Zinc finger protein 96	0.5287221
219205_at	SRR	serine racemase	0.5283299
219565_at	CYP20A1	cytochrome P450, family 20, subfamily A, polypeptide 1	0.5277944
237006_at	AFF1	AF4/FMR2 family, member 1	0.5275052
235310_at	GCET2	germinal center expressed transcript 2	0.5270082
228129_at	SERBP1	SERPINE1 mRNA binding protein 1	0.5257324
212310_at	MIA3	melanoma inhibitory activity family, member 3	0.5253309
226656_at	CRTAP	cartilage associated protein	0.5253283
204004_at	PAWR	PRKC, apoptosis, WT1, regulator	0.5252009
218821_at	NPEPL1	aminopeptidase-like 1	0.5246929
221599_at	C11orf67	chromosome 11 open reading frame 67	0.5244975
214493_s_at	INADL	InaD-like (Drosophila)	0.5237303
206050_s_at	RNH1	ribonuclease/angiogenin inhibitor 1	0.5235136
225572_at	FAM119A	Family with sequence similarity 119, member A	0.5233354
215606_s_at	ERC1 /// LOC653152	ELKS/RAB6-interacting/CAST family member 1 /// similar to RAB6 interacting protein 2	0.5218559
209922_at	BRAP	BRCA1 associated protein	0.5209481
238658_at	---	Transcribed locus	0.5203115
226409_at	TBC1D20	TBC1 domain family, member 20	0.5202011
200762_at	DPYSL2	dihydropyrimidinase-like 2	0.520181
206875_s_at	SLK	STE20-like kinase (yeast)	0.5200781
205172_x_at	CLTB	clathrin, light polypeptide (Lcb)	0.5192809
220094_s_at	C6orf79	chromosome 6 open reading frame 79	0.5192809
213518_at	PRKCI	protein kinase C, iota	0.5192551
227409_at	PPP1R3E	protein phosphatase 1, regulatory (inhibitor) subunit 3E	0.5192422
201701_s_at	PGRMC2	progesterone receptor membrane component 2	0.5190461
202151_s_at	UBADC1	ubiquitin associated domain containing 1	0.5189788
231932_at	TRAF3IP3	TRAF3 interacting protein 3	0.5187747
201874_at	MPZL1	myelin protein zero-like 1	0.5186816
244834_at	---	---	0.5186483
203736_s_at	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	0.5184375
37590_g_at	ZNF710	Zinc finger protein 710 /// MRNA full length insert cDNA clone EUROIMAGE 375854	0.5171965
209472_at		kynurenine aminotransferase III	0.5170786
228320_x_at	CCDC64	coiled-coil domain containing 64	0.516772
227422_at	---	---	0.5166297
225546_at	EEF2K	eukaryotic elongation factor-2 kinase	0.5164678
221535_at	LSG1	large subunit GTPase 1 homolog (S. cerevisiae)	0.5161077
1552257_a_at	TTLL12	tubulin tyrosine ligase-like family, member 12	0.5157285
224888_at	SELI	selenoprotein I	0.515635
223411_at	MIF4GD	MIF4G domain containing	0.515327
220199_s_at	C1orf80	chromosome 1 open reading frame 80	0.5153039
230053_at	---	Transcribed locus	0.5148887
224844_at	KIAA1458	KIAA1458	0.5147753
231953_at	FALZ	fetal Alzheimer antigen	0.5141634
202351_at	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	0.5140826
239072_at	---	CDNA FLJ46881 fis, clone UTERU3015647, moderately  similar to Embigin precursor	0.513548
241808_at	C8orf70	Chromosome 8 open reading frame 70	0.5133713
225376_at	C20orf11	chromosome 20 open reading frame 11	0.5129874
224484_s_at	BRMS1L	breast cancer metastasis-suppressor 1-like /// breast cancer metastasis-suppressor 1-like	0.5128975
237231_at	PIP5K1B	Phosphatidylinositol-4-phosphate 5-kinase, type I, beta	0.5125952
56256_at	SIDT2	SID1 transmembrane family, member 2	0.5124198
222759_at	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	0.5121435
215022_x_at	ZNF33B	zinc finger protein 33B	0.5118889
201022_s_at	DSTN	destrin (actin depolymerizing factor)	0.5118002
228516_at	CDAN1	congenital dyserythropoietic anemia, type I	0.5117474
204329_s_at	ZNF202	zinc finger protein 202	0.5116148
211043_s_at	CLTB	clathrin, light polypeptide (Lcb) /// clathrin, light polypeptide (Lcb)	0.5112909
201207_at	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	0.5110072
229025_s_at	IMMP1L	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	0.5108418
228031_at	C20orf121	chromosome 20 open reading frame 121	0.5105258
221878_at	LOC388969	hypothetical LOC388969	0.5105147
201885_s_at	CYB5R3	cytochrome b5 reductase 3	0.5102139
203430_at	HEBP2	heme binding protein 2	0.5099554
213935_at	ABHD5	abhydrolase domain containing 5	0.508711
211552_s_at	ALDH4A1	aldehyde dehydrogenase 4 family, member A1	0.5086122
214314_s_at	EIF5B	eukaryotic translation initiation factor 5B	0.5080777
225445_at	FLJ25778	Hypothetical protein FLJ25778	0.5072151
244727_at	KCNQ1OT1	KCNQ1 overlapping transcript 1	0.5071174
225327_at	KIAA1370	KIAA1370	0.506967
220141_at	C11orf63	chromosome 11 open reading frame 63	0.50693
224725_at	MIB1	mindbomb homolog 1 (Drosophila)	0.5063196
219821_s_at	GFOD1	glucose-fructose oxidoreductase domain containing 1	0.5061849
231092_s_at	ZNRF1	Zinc and ring finger 1	0.5061192
227279_at	TCEAL3	transcription elongation factor A (SII)-like 3	0.5060036
201745_at	PTK9	PTK9 protein tyrosine kinase 9	0.5051829
1555890_at	OR2A7	Olfactory receptor, family 2, subfamily A, member 7	0.5051595
228050_at	UTP15	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)	0.5050702
229643_at	---	---	0.5050189
222631_at	PI4K2B	phosphatidylinositol 4-kinase type 2 beta	0.5046977
219330_at	VANGL1	vang-like 1 (van gogh, Drosophila)	0.5046478
227579_at	---	---	0.5043541
221568_s_at	LIN7C	lin-7 homolog C (C. elegans)	0.5039812
218648_at	CRTC3	CREB regulated transcription coactivator 3	0.5032803
221996_s_at	CLTB	Clathrin, light polypeptide (Lcb)	0.5032668
222405_at	LOC652500	similar to butyrate-induced transcript 1	0.5031972
213282_at	SATL1	Spermidine/spermine N1-acetyl transferase-like 1	0.5031618
226605_at	DGKQ	diacylglycerol kinase, theta 110kDa	0.5031293
201594_s_at	PPP4R1	protein phosphatase 4, regulatory subunit 1	0.5028344
227003_at	RAB28	RAB28, member RAS oncogene family	0.5022508
233971_at	LOC401565	similar to 4931415M17 protein	0.5022335
226738_at	WDR81	WD repeat domain 81	0.5015466
225330_at	MGC18216	hypothetical protein MGC18216	0.5007106
221736_at	KIAA1219	KIAA1219 /// KIAA1219	0.500608
228486_at	SLC44A1	solute carrier family 44, member 1	0.5002441
227986_at	ZNF343	zinc finger protein 343	0.4999413
1555830_s_at	FAM62B	family with sequence similarity 62 (C2 domain containing) member B	0.4997283
201887_at	IL13RA1	interleukin 13 receptor, alpha 1	0.4992852
210825_s_at	PEBP1	phosphatidylethanolamine binding protein 1	0.4991353
227642_at	TFCP2L1	Transcription factor CP2-like 1	0.4987065
206156_at	GJB5	gap junction protein, beta 5 (connexin 31.1)	0.4986829
225018_at	SPIRE1	spire homolog 1 (Drosophila)	0.4986274
203098_at	CDYL	chromodomain protein, Y-like	0.4986244
227085_at	H2AFV	H2A histone family, member V	0.4981763
226820_at	FLJ25476	FLJ25476 protein	0.4981498
222755_s_at	CHD7	chromodomain helicase DNA binding protein 7	0.497605
206284_x_at	CLTB	clathrin, light polypeptide (Lcb)	0.497185
227840_at	LOC130355	hypothetical protein LOC130355	0.4968776
210020_x_at	CALML3	calmodulin-like 3	0.4967516
220041_at	PIGZ	phosphatidylinositol glycan anchor biosynthesis, class Z	0.4967042
226965_at	FAM116A	family with sequence similarity 116, member A	0.4965774
213281_at	JUN	V-jun sarcoma virus 17 oncogene homolog (avian)	0.4963468
234984_at	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	0.4959871
202387_at	BAG1	BCL2-associated athanogene /// BCL2-associated athanogene	0.4959654
1555388_s_at	SNX25	sorting nexin 25	0.4949701
222437_s_at	VPS24	vacuolar protein sorting 24 homolog (S. cerevisiae)	0.4941933
244581_at	---	---	0.4934191
203627_at	IGF1R	Insulin-like growth factor 1 receptor	0.493244
221981_s_at	WDR59	WD repeat domain 59	0.4927616
204333_s_at	AGA	aspartylglucosaminidase	0.4926527
203015_s_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	0.4926251
212758_s_at	TCF8	transcription factor 8 (represses interleukin 2 expression)	0.4923538
208873_s_at	REEP5	receptor accessory protein 5	0.4921477
223713_at	RSHL2	radial spokehead-like 2	0.4916084
213852_at	RBM8A	RNA binding motif protein 8A	0.4912979
208986_at	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	0.4911955
211444_at	HN1	Hematological and neurological expressed 1	0.4908743
1554021_a_at	ZNF12	zinc finger protein 12	0.4905371
205353_s_at	PEBP1	phosphatidylethanolamine binding protein 1	0.4904613
221014_s_at	RAB33B	RAB33B, member RAS oncogene family /// RAB33B, member RAS oncogene family	0.4900663
205024_s_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	0.4899455
229265_at	---	---	0.489627
212342_at	YIPF6	Yip1 domain family, member 6	0.489282
218100_s_at	IFT57	intraflagellar transport 57 homolog (Chlamydomonas)	0.4890895
218099_at	TEX2	testis expressed sequence 2	0.4888273
225746_at	RAB11FIP4	RAB11 family interacting protein 4 (class II)	0.4886983
225927_at	MAP3K1	mitogen-activated protein kinase kinase kinase 1	0.4883849
224614_at	DYNC1LI2	dynein, cytoplasmic 1, light intermediate chain 2	0.4876503
202056_at	KPNA1	karyopherin alpha 1 (importin alpha 5)	0.4866828
226395_at	LOC286170	hypothetical protein LOC286170	0.486636
219543_at	MAWBP	MAWD binding protein	0.4859361
201398_s_at	TRAM1	translocation associated membrane protein 1	0.4853122
235459_at	---	Transcribed locus	0.484943
225096_at	C17orf79	chromosome 17 open reading frame 79	0.484743
